StdIW,TimeElapsed,MaxIW,MinIW,VarianceInitializer,EpThisIter,ReturnMeanIW,EmpiricalD2Harmonic,ESSRenyiArithmetic,InitialReturnMin,EpRewMean,Iteration,InitialReturnStd,InitialBound,ReturnStepMax,Inner Iteration,MeanD2-0,EpisodesSoFar,MinBehavPdf,Bound,MeanIW,InitialReturnMean,Weights,StdWReturnMean,EpLenMean,TimestepsSoFar,WReturnMean,MeanEntropy,MinTargetPdf,InitialReturnMax,DivergenceHarmonic,LearnableVariance,EmpiricalD2Arithmetic,ESSRenyiHarmonic,Penalization,ReturnStepMaxmin
962.15125,11.471788167953491,8536.943,0.17044017,-1,100,83205300.0,1.0,100.0,19.96762,470.6932687164164,11,342.63486,-536497.5,10.0,1,1.0,1100,-76.68616,-1720970900000.0,255.752,470.69327,[-0.123  0.155 -0.547 -1.181],,48.09,39174,338950.78,0.4189424,-76.68616,1849.7571,75887030000000.0,,1.0,100.0,True,10.0
8.374101,12.699052095413208,52.634274,0.043278534,-1,100,3890831.2,1.0,100.0,9.979724,593.8318576141022,12,405.82227,-645452.56,10.0,1,1.0,1200,-72.98422,-323865970000.0,5.4677033,593.83185,[-0.032  0.192 -0.581 -1.25 ],,60.41,45215,517327.94,0.4189424,-72.98422,1489.6901,6389366000000.0,,1.0,100.0,True,10.0
891014.3,14.076313018798828,8024196.5,0.14600947,-1,100,101259780000.0,1.0,100.0,19.965004,544.5805357360687,13,431.4732,-704423.7,10.0,1,1.0,1300,-72.74141,-5.5362755e+22,160773.98,544.5805,[-0.093  0.18  -0.59  -1.252],,55.48,50763,482737.06,0.4189424,-72.74141,1959.5188,6.2367573e+34,,1.0,100.0,True,10.0
12.537931,15.07715892791748,61.47446,0.2328357,-1,100,4848027.0,1.0,100.0,9.979958,565.6422431038392,14,324.74734,-582518.1,10.0,1,1.0,1400,-88.5248,-3673803000000.0,11.079823,565.6422,[ 0.006  0.255 -0.605 -1.257],,57.59,56522,425412.0,0.4189424,-88.5248,1649.5908,546823220000000.0,,1.0,100.0,True,10.0
64040.457,16.235194206237793,643685.6,0.102417864,-1,100,1536707700.0,1.0,100.0,9.98066,606.9561861206827,15,396.05557,-784601.25,10.0,1,1.0,1500,-78.25184,-1487951100000.0,7145.9404,606.9562,[-0.111  0.233 -0.636 -1.234],,61.72,62694,525255.8,0.4189424,-78.25184,2119.4292,32849248000000.0,,1.0,100.0,True,10.0
394662.9,17.710277557373047,3966662.5,0.05513702,-1,100,176640180000.0,1.0,100.0,,680.0165592427765,16,387.30453,-869322.9,10.0,1,1.0,1600,-88.64486,-1.1171278e+23,39842.01,680.01666,[-0.109  0.357 -0.652 -1.244],,69.03,69597,612427.3,0.4189424,-88.64486,2109.3945,1.891018e+35,,1.0,100.0,True,10.0
204573.03,19.025813817977905,2052624.6,0.053619917,-1,100,32879772000.0,1.0,100.0,,728.3488445578276,17,380.07596,-845690.0,10.0,1,1.0,1700,-81.83091,-9919835000000000.0,24547.38,728.3488,[-0.222  0.355 -0.677 -1.29 ],,73.86,76983,674949.8,0.4189424,-81.83091,1719.6787,3.3754991e+21,,1.0,100.0,True,10.0
7694.9287,20.459915161132812,52919.027,0.006981278,-1,100,623500700.0,1.0,100.0,9.982322,535.4053077686028,18,238.05743,-423673.7,10.0,1,1.0,1800,-52.581146,-7838249000000.0,1968.866,535.40533,[-0.346  0.351 -0.695 -1.288],,54.56,82439,343330.2,0.4189424,-52.581146,1179.6553,9516338000000000.0,,1.0,100.0,True,10.0
2757.6855,21.99938678741455,21199.299,0.022808097,-1,100,721440640.0,1.0,100.0,,766.6322325969365,19,454.69785,-1084008.0,10.0,1,1.0,1900,-111.16759,-738477800000.0,587.27936,766.63226,[-0.235  0.394 -0.705 -1.325],,77.69,90208,794475.0,0.4189424,-111.16759,2239.3833,6492822000000.0,,1.0,100.0,True,10.0
121920.5,23.760684728622437,768210.4,0.050828326,-1,100,11501659000.0,1.0,100.0,9.981762,612.7746711139372,20,310.6022,-671641.9,10.0,1,1.0,2000,-88.125565,-217439460000000.0,34423.55,612.77466,[-0.311  0.344 -0.774 -1.376],,62.3,96438,471966.53,0.4189424,-88.125565,1859.6956,1.1857268e+18,,1.0,100.0,True,10.0
550583.2,25.320425033569336,5514481.5,0.06929939,-1,100,63167066000.0,1.0,100.0,9.980168,799.3882845804325,21,424.18335,-1137564.4,10.0,1,1.0,2100,-110.06037,-968990400000000.0,63889.97,799.3883,[-0.237  0.444 -0.784 -1.365],,80.97,104535,818953.1,0.4189424,-110.06037,2349.1455,9.248343e+18,,1.0,100.0,True,10.0
80107.35,26.828206300735474,550964.25,0.06064702,-1,100,7780893700.0,1.0,100.0,9.980709,719.966484824985,22,266.88373,-836884.0,9.999999,1,1.0,2200,-82.58206,-1727216100000000.0,16588.996,719.9665,[-0.336  0.401 -0.817 -1.419],,73.02,111837,589578.7,0.4189424,-82.58206,2069.6465,4.8778232e+19,,1.0,100.0,True,9.999999
138.83426,29.029664039611816,944.39087,0.049230687,-1,100,84666660.0,1.0,100.0,9.983452,917.1643698416603,23,466.58078,-1399617.9,10.0,1,1.0,2300,-98.72682,-26784242000.0,43.997406,917.16437,[-0.234  0.469 -0.822 -1.444],,92.75,121112,1058888.1,0.4189424,-98.72682,2429.3176,6140346000.0,,1.0,100.0,True,10.0
1146575.8,30.901766300201416,8453413.0,0.2914432,-1,100,117424190000.0,1.0,100.0,,927.7239135074685,24,447.3627,-1529562.6,10.0,1,1.0,2400,-133.7366,-5.726733e+17,228477.45,927.724,[-0.231  0.388 -0.854 -1.534],,93.8,130492,1060805.0,0.4189424,-133.7366,2849.4001,1.4925238e+24,,1.0,100.0,True,10.0
1121784.6,33.07507872581482,11126988.0,0.07178478,-1,100,336355400000.0,1.0,100.0,9.983377,882.2273162143242,25,495.51675,-1334343.2,10.0,1,1.0,2500,-94.59213,-1.5095282e+19,152483.23,882.22736,[-0.148  0.48  -0.871 -1.54 ],,89.26,139418,1023861.8,0.4189424,-94.59213,2318.9805,2.363825e+27,,1.0,100.0,True,10.0
2.5438054,35.31562948226929,20.495445,0.044150647,-1,100,3742922.0,1.0,100.0,9.982691,874.9270884725296,26,594.49243,-1521089.9,10.0,1,1.0,2600,-115.152054,-234696460000.0,1.8680835,874.927,[-0.073  0.574 -0.903 -1.546],,88.53,148271,1118918.6,0.4189424,-115.152054,2639.276,340550350000.0,,1.0,100.0,True,10.0
1138323.6,37.77302050590515,11089698.0,0.05033188,-1,100,432615420000.0,1.0,100.0,9.982251,942.7076203150469,27,629.1287,-1642263.5,10.0,1,1.0,2700,-127.51729,-1.4719421e+20,145056.31,942.70764,[-0.133  0.566 -0.92  -1.547],,95.31,157802,1284500.6,0.4189424,-127.51729,2489.298,1.6927587e+29,,1.0,100.0,True,10.0
18.87794,41.08527183532715,188.16801,0.04991943,-1,100,30364008.0,1.0,100.0,9.985132,1257.7786809803104,28,806.9644,-3027058.5,10.0,1,1.0,2800,-155.77917,-78973444000.0,5.664161,1257.7788,[-0.035  0.485 -1.028 -1.734],,126.83,170485,2233198.5,0.4189424,-155.77917,3708.0947,9888857000.0,,1.0,100.0,True,10.0
115.20158,44.387354373931885,1124.1132,0.07343134,-1,100,157897540.0,1.0,100.0,39.930336,1430.4915629503791,29,881.7703,-4266099.5,10.0,1,1.0,2900,-201.41791,-4234936800000.0,22.289772,1430.4916,[-0.064  0.435 -1.046 -1.749],,144.1,184895,2823825.2,0.4189424,-201.41791,4998.0737,8621287000000.0,,1.0,100.0,True,10.0
210.2797,48.03602743148804,1372.7185,0.054597024,-1,100,189054510.0,1.0,100.0,19.96265,1396.3165132239135,30,808.4278,-3540649.0,10.0,1,1.0,3000,-166.18805,-13241304000.0,85.71536,1396.3165,[-0.12   0.41  -1.058 -1.746],,140.68,198963,2603255.0,0.4189424,-166.18805,4029.395,193879820.0,,1.0,100.0,True,10.0
121.56196,51.65150213241577,927.97784,0.2652649,-1,100,144273950.0,1.0,100.0,19.969296,1487.6586787371496,31,891.6782,-3859064.8,10.0,1,1.0,3100,-173.63261,-453936400000.0,41.38194,1487.6586,[-0.068  0.44  -1.074 -1.755],,149.82,213945,3008218.5,0.4189424,-173.63261,3838.8774,284458020000.0,,1.0,100.0,True,10.0
14456.136,55.911933183670044,141784.06,0.068894,-1,100,16710113000.0,1.0,100.0,,1433.530779404702,32,982.1709,-4416671.5,10.0,1,1.0,3200,-225.09781,-5.691467e+19,2063.8772,1433.5309,[-0.025  0.457 -1.115 -1.751],,144.41,228386,3019670.0,0.4189424,-225.09781,4919.004,1.6598202e+27,,1.0,100.0,True,10.0
24.759043,60.4530246257782,240.3476,0.14770637,-1,100,67972504.0,1.0,100.0,,1704.5465530871213,33,1237.4456,-5879690.5,10.0,1,1.0,3300,-207.91861,-345243000000.0,7.7769685,1704.5465,[-0.025  0.366 -1.153 -1.828],,171.49,245535,4436750.5,0.4189424,-207.91861,4999.223,57225548000.0,,1.0,100.0,True,10.0
7765895.5,65.75886845588684,52770540.0,0.10418281,-1,100,15623139000000.0,1.0,100.0,9.982183,1818.575646448588,34,1097.275,-5953773.5,10.0,1,1.0,3400,-214.00307,-2.344009e+23,2077707.0,1818.5757,[-0.062  0.404 -1.18  -1.847],,182.91,263826,4511230.0,0.4189424,-214.00307,4998.535,2.6403944e+34,,1.0,100.0,True,10.0
2.574227,70.1331295967102,17.214708,0.018540023,-1,100,10551441.0,1.0,100.0,49.92131,1498.386044314012,35,1110.0813,-4920009.0,10.0,1,1.0,3500,-226.2118,-20067325000000.0,3.0786703,1498.386,[-2.202e-04  4.962e-01 -1.211e+00 -1.798e+00],,150.88,278914,3477441.2,0.4189424,-226.2118,4998.5815,193514110000000.0,,1.0,100.0,True,10.0
60.510174,75.24688291549683,571.7454,0.01910696,-1,100,100255496.0,1.0,100.0,,1643.7623430693807,36,1064.1981,-4857336.5,10.0,1,1.0,3600,-193.21292,-61582650000.0,15.090534,1643.7622,[-0.054  0.472 -1.223 -1.816],,165.44,295458,3834472.2,0.4189424,-193.21292,4209.083,3613040400.0,,1.0,100.0,True,10.0
440.2294,80.18880558013916,3958.237,0.13912088,-1,100,497331170.0,1.0,100.0,,1782.254158996401,37,873.9479,-4948687.0,10.0,1,1.0,3700,-189.86102,-187496400000.0,125.088066,1782.2543,[-0.084  0.429 -1.229 -1.848],,179.28,313386,3940214.8,0.4189424,-189.86102,4179.365,34384187000.0,,1.0,100.0,True,10.0
53198.918,85.74183011054993,469712.22,0.043070026,-1,100,124172000000.0,1.0,100.0,,2202.612502018167,38,1296.5496,-7975290.0,10.0,1,1.0,3800,-233.0645,-3.8651655e+17,8735.021,2202.6125,[-0.052  0.51  -1.286 -1.917],,221.3,335516,6532542.0,0.4189424,-233.0645,4998.885,7.177359e+22,,1.0,100.0,True,10.0
407.55518,91.3736035823822,2482.1472,0.08251952,-1,100,425065920.0,1.0,100.0,,1866.6090330731968,39,1033.7793,-5995067.0,10.0,1,1.0,3900,-227.14575,-6590320000000.0,173.09291,1866.6093,[-0.098  0.429 -1.357 -1.872],,187.7,354286,4552929.0,0.4189424,-227.14575,4997.833,20881000000000.0,,1.0,100.0,True,10.0
154.02739,98.13272523880005,1476.6724,0.09626921,-1,100,378530000.0,1.0,100.0,9.980098,2075.2997173096605,40,1463.4031,-7891278.5,10.0,1,1.0,4000,-219.325,-3219639200000.0,31.500174,2075.2998,[-0.038  0.438 -1.357 -1.888],,208.52,375138,6448417.5,0.4189424,-219.325,4999.082,4978201000000.0,,1.0,100.0,True,10.0
189.76776,103.72257423400879,1838.8143,0.035938065,-1,100,724146200.0,1.0,100.0,9.9804325,2146.2234495637276,41,1582.9535,-8554742.0,10.0,1,1.0,4100,-224.66081,-1.5409697e+18,37.688923,2146.2236,[ 1.653e-03  4.005e-01 -1.370e+00 -1.916e+00],,215.59,396697,7112016.5,0.4189424,-224.66081,4998.8467,1.1408543e+24,,1.0,100.0,True,10.0
8325.038,109.81035280227661,83379.81,0.11962082,-1,100,5320624000.0,1.0,100.0,9.980106,2148.2996679761195,42,1139.2941,-7356054.0,10.0,1,1.0,4200,-230.6664,-8.530109e+17,1419.2397,2148.2998,[-0.058  0.386 -1.382 -1.915],,215.86,418283,5913182.5,0.4189424,-230.6664,4999.1006,3.4951266e+23,,1.0,100.0,True,10.0
11.468407,117.17835259437561,80.45478,0.25113243,-1,100,86529170.0,1.0,100.0,,2406.175799258285,43,1481.4075,-9427194.0,10.0,1,1.0,4300,-221.3657,-4641446700000.0,9.151104,2406.1758,[ 0.004  0.39  -1.388 -1.921],,241.61,442444,7984250.5,0.4189424,-221.3657,4999.2207,10346718000000.0,,1.0,100.0,True,10.0
7009.119,123.59126543998718,63583.67,0.027427984,-1,100,8642690000.0,1.0,100.0,19.961895,2362.517829528727,44,1196.4277,-8455970.0,10.0,1,1.0,4400,-231.48305,-7.331316e+16,1497.7928,2362.5178,[-0.046  0.376 -1.417 -1.94 ],,237.26,466170,7012930.0,0.4189424,-231.48305,4999.3896,2.5811728e+21,,1.0,100.0,True,10.0
30.438522,129.45088291168213,161.03215,0.13306542,-1,100,284823100.0,1.0,100.0,,2196.3104569902275,45,1658.6807,-9017906.0,10.0,1,1.0,4500,-213.65062,-6.931235e+17,20.338861,2196.3105,[ 0.013  0.356 -1.422 -1.948],,220.56,488226,7575000.5,0.4189424,-213.65062,4999.158,2.3075706e+23,,1.0,100.0,True,10.0
2544.341,136.874929189682,20107.723,0.104781866,-1,100,5053090300.0,1.0,100.0,19.961884,2597.5362908528336,46,1360.5303,-10041198.0,10.0,1,1.0,4600,-263.8202,-1.0449249e+18,833.36224,2597.5364,[-0.048  0.345 -1.434 -1.949],,260.74,514300,8598237.0,0.4189424,-263.8202,4999.25,5.244113e+23,,1.0,100.0,True,10.0
23.889826,143.59077906608582,200.74133,0.45331493,-1,100,164873140.0,1.0,100.0,,2278.9012821982274,47,1708.5219,-9555385.0,10.0,1,1.0,4700,-225.88432,-2.3507297e+18,12.448236,2278.9014,[ 0.013  0.359 -1.438 -1.952],,228.8,537180,8112437.5,0.4189424,-225.88432,4999.2295,2.654082e+24,,1.0,100.0,True,10.0
1143.9069,150.26876711845398,7589.7583,0.032037217,-1,100,2583216600.0,1.0,100.0,39.937416,2399.3711260006403,48,1222.7014,-8694838.0,10.0,1,1.0,4800,-242.77834,-3424915600000000.0,450.09796,2399.371,[-0.048  0.364 -1.449 -1.946],,240.94,561274,7251980.0,0.4189424,-242.77834,4999.0728,5.634592e+18,,1.0,100.0,True,10.0
117.59778,157.15313601493835,746.85815,0.035148438,-1,100,570387460.0,1.0,100.0,59.90162,2529.458716555699,49,1576.6176,-10326790.0,10.0,1,1.0,4900,-245.76675,-6.9658344e+20,36.292973,2529.4587,[ 0.009  0.361 -1.453 -1.973],,253.91,586665,8883885.0,0.4189424,-245.76675,4999.1533,2.3306752e+29,,1.0,100.0,True,10.0
3154.0906,164.32226085662842,31458.793,0.09730595,-1,100,1370845700.0,1.0,100.0,349.69955,2594.3701985896614,50,1410.8335,-10164236.0,10.0,1,1.0,5000,-226.0472,-5078295000000.0,500.74606,2594.37,[-0.052  0.375 -1.461 -1.971],,260.39,612704,8721208.0,0.4189424,-226.0472,4999.3667,12378344000000.0,,1.0,100.0,True,10.0
152700.83,172.6260781288147,1513845.4,0.012671781,-1,100,473173800000.0,1.0,100.0,,2829.2551334050554,51,1550.204,-11850854.0,10.0,1,1.0,5100,-224.04694,-9.4131177e+21,19384.762,2829.255,[-0.012  0.418 -1.466 -1.95 ],,283.83,641087,10407816.0,0.4189424,-224.04694,4999.379,4.2552395e+31,,1.0,100.0,True,10.0
183.21484,179.43023324012756,1350.5294,0.1353518,-1,100,306862530.0,1.0,100.0,9.981137,2203.2018464796197,52,1114.9958,-7540448.5,10.0,1,1.0,5200,-202.93808,-266122940000.0,68.62817,2203.202,[-0.073  0.417 -1.478 -1.943],,221.36,663223,6097314.0,0.4189424,-202.93808,4999.5547,33928016000.0,,1.0,100.0,True,10.0
188921.12,186.70905828475952,1891240.4,0.18712193,-1,100,165637500000.0,1.0,100.0,,2720.3568195918524,53,1510.8224,-11126078.0,10.0,1,1.0,5300,-228.19989,-2.6752686e+17,23642.744,2720.3564,[-0.038  0.464 -1.481 -1.919],,272.98,690521,9682925.0,0.4189424,-228.19989,4999.579,3.436542e+22,,1.0,100.0,True,10.0
5.699137,193.198828458786,46.600616,0.041931313,-1,100,42184532.0,1.0,100.0,19.960987,2324.900894740035,54,1508.8535,-9124849.0,10.0,1,1.0,5400,-232.77428,-432155180000000.0,4.4710765,2324.901,[ 0.02   0.456 -1.494 -1.938],,233.44,713865,7681803.0,0.4189424,-232.77428,4999.399,8.968699e+16,,1.0,100.0,True,10.0
96427.516,201.44322967529297,944813.94,0.16151977,-1,100,94023930000.0,1.0,100.0,,2834.820850773588,55,1571.9785,-11950327.0,10.0,1,1.0,5500,-240.22403,-1.2390136e+21,15675.557,2834.821,[-0.04   0.471 -1.507 -1.938],,284.4,742305,10507326.0,0.4189424,-240.22403,4999.3154,7.37278e+29,,1.0,100.0,True,10.0
7.6328893,207.81886982917786,69.73201,0.012442245,-1,100,47853620.0,1.0,100.0,9.979178,2326.945341287279,56,1573.985,-9335040.0,10.0,1,1.0,5600,-237.6842,-5229855600000.0,4.135198,2326.9456,[ 0.02   0.475 -1.521 -1.952],,233.62,765667,7892103.0,0.4189424,-237.6842,4999.21,13136728000000.0,,1.0,100.0,True,10.0
13879.065,216.9691846370697,120632.07,0.1342821,-1,100,59314045000.0,1.0,100.0,,3359.7281550303105,57,1538.937,-15099198.0,10.0,1,1.0,5700,-223.02289,-7.238926e+16,2452.1836,3359.7285,[-0.036  0.5   -1.533 -1.944],,336.8,799347,13656100.0,0.4189424,-223.02289,4999.4756,2.5163494e+21,,1.0,100.0,True,10.0
1467.055,223.36427235603333,9458.443,0.056825656,-1,100,3060760300.0,1.0,100.0,,2350.1722005486167,58,1174.6167,-8345951.5,10.0,1,1.0,5800,-219.92488,-1.0726351e+16,638.98,2350.172,[-0.088  0.518 -1.562 -1.946],,236.04,822951,6903033.0,0.4189424,-219.92488,4999.1787,5.526248e+19,,1.0,100.0,True,10.0
8099.9517,231.38542890548706,62778.21,0.0715958,-1,100,20218081000.0,1.0,100.0,269.75012,3082.3963347299728,59,1736.8079,-13960749.0,10.0,1,1.0,5900,-265.9033,-1.712141e+16,1562.5474,3082.3965,[-0.027  0.531 -1.563 -1.945],,309.05,853856,12517669.0,0.4189424,-265.9033,4999.4497,1.407701e+20,,1.0,100.0,True,10.0
2.4655428,239.5478219985962,12.272049,0.0069414447,-1,100,39680056.0,1.0,100.0,19.959606,2929.7771485285907,60,1550.6478,-12431094.0,10.0,1,1.0,6000,-237.7731,-27280816000000.0,3.908784,2929.7776,[ 0.023  0.502 -1.58  -1.96 ],,293.87,883243,10988102.0,0.4189424,-237.7731,4999.299,357436070000000.0,,1.0,100.0,True,10.0
17015.73,249.5447940826416,134665.19,0.07900786,-1,100,47038650000.0,1.0,100.0,,3311.5453886306627,61,1466.6805,-14560581.0,10.0,1,1.0,6100,-228.15213,-7187080000000000.0,3391.9397,3311.5454,[-0.039  0.504 -1.589 -1.96 ],,332.03,916446,13117484.0,0.4189424,-228.15213,4999.4756,2.4804057e+19,,1.0,100.0,True,10.0
7195684.5,258.5899245738983,72324950.0,0.13151616,-1,100,11225847000000.0,1.0,100.0,299.83737,3384.5122442145007,62,1664.7179,-15669276.0,10.0,1,1.0,6200,-239.24448,-3.6130744e+18,729800.5,3384.5122,[-0.022  0.609 -1.641 -1.999],,339.23,950369,14226209.0,0.4189424,-239.24448,4999.422,6.2689265e+24,,1.0,100.0,True,10.0
2.3260353,266.0507137775421,11.789314,0.0215403,-1,100,21016720.0,1.0,100.0,,2514.425016222443,63,1685.2998,-10605636.0,10.0,1,1.0,6300,-231.6501,-259265120000.0,2.9346616,2514.425,[ 0.035  0.611 -1.658 -2.018],,252.33,975602,9162568.0,0.4189424,-231.6501,4999.4346,32274194000.0,,1.0,100.0,True,10.0
178.80798,276.1078631877899,1379.9008,0.1990991,-1,100,983650240.0,1.0,100.0,,3599.4422011150773,64,1699.0654,-17285846.0,10.0,1,1.0,6400,-250.2318,-2.9865748e+18,48.213272,3599.4421,[-0.022  0.587 -1.671 -2.022],,360.57,1011659,15842806.0,0.4189424,-250.2318,4999.374,4.2835674e+24,,1.0,100.0,True,10.0
8884.062,285.82786321640015,57048.68,0.08268589,-1,100,37358230000.0,1.0,100.0,259.7354,3518.0122372954634,65,1292.5347,-15490155.0,10.0,1,1.0,6500,-238.64383,-3.9932455e+17,3347.6885,3518.0122,[-0.068  0.619 -1.698 -2.019],,352.63,1046922,14047057.0,0.4189424,-238.64383,4999.4746,7.657301e+22,,1.0,100.0,True,10.0
4469.936,295.8542892932892,44945.043,0.077942155,-1,100,11783021000.0,1.0,100.0,9.979453,3595.667401152446,66,1727.9491,-17357816.0,10.0,1,1.0,6600,-236.62817,-1.2535132e+21,475.54492,3595.6675,[-0.006  0.61  -1.701 -2.026],,360.2,1082942,15914632.0,0.4189424,-236.62817,4999.6235,7.544489e+29,,1.0,100.0,True,10.0
38880.914,304.4585106372833,259748.28,0.045842208,-1,100,115207650000.0,1.0,100.0,19.968676,3412.723150794661,67,1572.716,-15563248.0,10.0,1,1.0,6700,-233.68164,-1.3746006e+20,11134.775,3412.7231,[-0.058  0.578 -1.713 -2.032],,342.08,1117150,14120115.0,0.4189424,-233.68164,4999.538,9.07308e+27,,1.0,100.0,True,10.0
24.5985,313.7628104686737,212.91666,0.32984552,-1,100,182480320.0,1.0,100.0,289.74606,3577.325950168009,68,1621.2563,-16868774.0,10.0,1,1.0,6800,-244.72075,-9.500904e+19,10.675778,3577.3262,[ 0.003  0.589 -1.715 -2.033],,358.43,1152993,15425733.0,0.4189424,-244.72075,4999.376,4.3349884e+27,,1.0,100.0,True,10.0
24977.922,322.8516364097595,189754.84,0.11451108,-1,100,63018484000.0,1.0,100.0,29.945461,3422.5441745253884,69,1368.3049,-15029142.0,10.0,1,1.0,6900,-230.78653,-1.8201001e+19,7934.3726,3422.5444,[-0.057  0.581 -1.73  -2.029],,343.1,1187303,13586067.0,0.4189424,-230.78653,4999.437,1.5908435e+26,,1.0,100.0,True,10.0
48.245564,331.7005281448364,308.25473,0.11695148,-1,100,367495940.0,1.0,100.0,,3487.4611113523515,70,1769.5256,-16736737.0,10.0,1,1.0,7000,-234.7006,-1.016789e+17,17.225306,3487.461,[ 0.003  0.599 -1.733 -2.024],,349.35,1222238,15293606.0,0.4189424,-234.7006,4999.533,4.9643815e+21,,1.0,100.0,True,10.0
1696.5763,342.2602729797363,12726.949,0.054168843,-1,100,8299086300.0,1.0,100.0,19.961845,3750.31818296557,71,1301.6512,-17202250.0,10.0,1,1.0,7100,-238.69522,-7735393400000000.0,498.88104,3750.318,[-0.059  0.602 -1.744 -2.02 ],,375.8,1259818,15759182.0,0.4189424,-238.69522,4999.4214,2.8734668e+19,,1.0,100.0,True,10.0
2292727.2,352.9778299331665,16959382.0,0.11820646,-1,100,11678527000000.0,1.0,100.0,19.961994,3960.9583532948045,72,1549.9692,-19534634.0,10.0,1,1.0,7200,-249.63625,-8.862194e+23,482800.88,3960.9585,[-0.006  0.572 -1.745 -2.037],,396.62,1299480,18091596.0,0.4189424,-249.63625,4999.365,3.771762e+35,,1.0,100.0,True,10.0
