EmpiricalD2Harmonic,StdIW,Inner Iteration,InitialReturnMax,MaxIW,VarianceInitializer,MeanIW,InitialReturnMean,ReturnStepMaxmin,EmpiricalD2Arithmetic,Iteration,StdWReturnMean,WReturnMean,ReturnMeanIW,DivergenceHarmonic,MinTargetPdf,MeanD2-0,ReturnStepMax,InitialReturnMin,ESSRenyiHarmonic,EpisodesSoFar,TimestepsSoFar,LearnableVariance,MinBehavPdf,MinIW,InitialBound,EpThisIter,InitialReturnStd,TimeElapsed,Bound,EpLenMean,Penalization,ESSRenyiArithmetic,EpRewMean,MeanEntropy,Weights
1.0,14594.911,1,4169.083,146619.98,-1,1655.705,829.3845,10.0,1.0,13,,1078297.4,5650958300.0,2.0262318e+30,-171.55171,1.0,10.0,,100.0,1300,56134,,-171.55171,0.029032566,-2081809.0,100,624.8351,37.18554186820984,-1.42845e+21,83.97,True,100.0,829.3844564932048,0.4189424,[-0.033  0.225 -0.991 -1.108]
1.0,12399.174,1,1609.6606,111374.66,-1,3189.2363,642.2283,10.0,1.0,14,,555097.56,1997825400.0,4.3743484e+33,-72.76091,1.0,10.0,,100.0,1400,62659,,-72.76091,0.017339973,-704689.94,100,377.6777,41.17102813720703,-9.893836e+21,65.25,True,100.0,642.2282517921736,0.4189424,[ 0.033  0.128 -1.011 -1.145]
1.0,21.75507,1,1959.4824,138.24818,-1,12.249216,590.1613,10.0,1.0,15,,525819.1,7163090.5,98657470000.0,-88.10567,1.0,10.0,9.982016,100.0,1500,68663,,-88.10567,0.051464763,-747497.56,100,421.3416,44.89922070503235,-69635670000.0,60.04,True,100.0,590.1613061177189,0.4189424,[-0.067  0.065 -1.024 -1.186]
1.0,115.24782,1,2539.3042,1131.7375,-1,19.6643,764.92773,10.0,1.0,16,,898198.8,65144990.0,118434530000.0,-107.6393,1.0,10.0,9.979937,100.0,1600,76415,,-107.6393,0.15904415,-1270479.6,100,559.5394,49.14717507362366,-128182510000.0,77.52,True,100.0,764.9277070419505,0.4189424,[-0.011  0.093 -1.029 -1.19 ]
1.0,17.693998,1,2469.4336,94.66699,-1,11.005772,629.26385,10.0,1.0,17,,578995.44,4396574.5,1785048300.0,-96.71542,1.0,10.0,,100.0,1700,82810,,-96.71542,0.027825715,-931070.7,100,427.81137,52.42456007003784,-14879469000.0,63.95,True,100.0,629.2637812410029,0.4189424,[-0.065  0.101 -1.056 -1.206]
1.0,58.97571,1,3329.4878,587.3976,-1,9.894851,923.3739,10.0,1.0,18,,1304152.6,38435490.0,771112060.0,-146.16594,1.0,10.0,,100.0,1800,92147,,-146.16594,0.3222489,-1944176.8,100,671.9622,57.71122765541077,-17811118000.0,93.37,True,100.0,923.3739625748223,0.4189424,[-0.006  0.123 -1.058 -1.205]
1.0,241.28377,1,3519.1812,2219.7095,-1,56.97058,822.1501,10.0,1.0,19,,1073011.4,32901588.0,15873920000.0,-158.75757,1.0,10.0,,100.0,1900,100471,,-158.75757,0.08754585,-1788041.8,100,630.14325,63.15868163108826,-90120440000.0,83.24,True,100.0,822.1501234444678,0.4189424,[-0.054  0.145 -1.084 -1.227]
1.0,12.256225,1,2888.6377,106.79039,-1,8.133901,938.3011,10.0,1.0,20,,1309099.6,15915357.0,238015890000.0,-123.710556,1.0,10.0,19.964443,100.0,2000,109958,,-123.710556,0.09478972,-1790856.4,100,654.74475,69.52825784683228,-235048730000.0,94.87,True,100.0,938.3010459741054,0.4189424,[-0.004  0.182 -1.091 -1.228]
1.0,352.696,1,2639.2874,3335.5103,-1,73.708565,824.9224,10.0,1.0,21,,896805.56,75058184.0,12496169000000.0,-114.10107,1.0,10.0,9.983754,100.0,2100,118310,,-114.10107,0.11425015,-1298980.2,100,465.08987,74.81021785736084,-1421752800000.0,83.52,True,100.0,824.9224452734883,0.4189424,[-0.059  0.173 -1.106 -1.252]
1.0,3461.699,1,4978.242,28094.15,-1,791.1195,1020.2675,10.0,1.0,22,,1865136.2,7291262500.0,1.9575719e+30,-217.95229,1.0,10.0,9.980745,100.0,2200,128617,,-217.95229,0.0077243866,-3295985.2,100,907.8493,81.3140275478363,-2.0019364e+21,103.07,True,100.0,1020.2675081147539,0.4189424,[-6.855e-04  1.945e-01 -1.109e+00 -1.250e+00]
1.0,267.5774,1,2489.0498,2514.627,-1,70.27382,1042.78,10.0,1.0,23,,1470714.8,126070456.0,13208692000000.0,-110.980865,1.0,10.0,49.917973,100.0,2300,139149,,-110.980865,0.26145935,-1828406.5,100,619.1321,87.87868762016296,-1300105400000.0,105.32,True,100.0,1042.780013608249,0.4189424,[-0.068  0.279 -1.164 -1.222]
1.0,1.953391,1,3559.042,10.943169,-1,2.6854622,768.8819,10.0,1.0,24,,1014951.06,3178781.0,60530205000.0,-130.45,1.0,10.0,9.981554,100.0,2400,146941,,-130.45,0.05765451,-1746271.0,100,650.97754,93.04418659210205,-179928250000.0,77.92,True,100.0,768.8818703696005,0.4189424,[-0.01   0.3   -1.172 -1.224]
1.0,540.807,1,3648.4734,4908.2485,-1,134.26787,1213.9749,10.0,1.0,25,,2033946.8,189873630.0,1540788800000.0,-151.52829,1.0,10.0,9.980133,100.0,2500,159185,,-151.52829,0.15748231,-2802483.5,100,748.4731,102.11068844795227,-954156800000.0,122.44,True,100.0,1213.9747979798385,0.4189424,[-0.063  0.28  -1.186 -1.245]
1.0,5.082735,1,3049.1304,44.216278,-1,3.5973692,1083.0481,10.0,1.0,26,,1654316.0,7002412.5,1045606200000000.0,-133.20164,1.0,10.0,19.965368,100.0,2600,170120,,-133.20164,0.043729592,-2191093.0,100,693.7745,109.01923847198486,-17357038000000.0,109.35,True,100.0,1083.0480286207517,0.4189424,[-0.014  0.315 -1.199 -1.243]
1.0,49.383354,1,2799.0542,389.72403,-1,19.339487,1158.1874,10.0,1.0,27,,1786590.8,34903296.0,101368250000.0,-122.6396,1.0,10.0,9.981454,100.0,2700,181806,,-122.6396,0.05082484,-2238930.5,100,667.22784,116.46844100952148,-144051620000.0,116.86,True,100.0,1158.1873077956086,0.4189424,[-0.071  0.294 -1.206 -1.254]
1.0,41.792088,1,4998.729,409.21948,-1,9.900202,1262.6075,10.0,1.0,28,,2624126.2,86361860.0,378617200000000.0,-205.4151,1.0,10.0,,100.0,2800,194536,,-205.4151,0.03644334,-4066777.5,100,1014.86383,123.60951447486877,-28071140000000.0,127.3,True,100.0,1262.6074732408972,0.4189424,[-0.018  0.272 -1.219 -1.275]
1.0,73.77757,1,4099.134,462.97824,-1,30.276602,1207.3849,10.0,1.0,29,,2006199.0,47699364.0,143089200.0,-153.40913,1.0,10.0,9.981455,100.0,2900,206714,,-153.40913,0.12901571,-2976321.0,100,740.5545,130.88779163360596,-11652214000.0,121.78,True,100.0,1207.384819308514,0.4189424,[-0.068  0.275 -1.241 -1.304]
1.0,25410.81,1,4998.5596,234501.95,-1,3819.6096,1274.1034,10.0,1.0,30,,2692224.0,12812423000.0,1.4332034e+34,-230.7747,1.0,10.0,,100.0,3000,219558,,-230.7747,0.20674933,-4134778.0,100,1033.8687,138.79713940620422,-1.7269631e+23,128.44,True,100.0,1274.1033724830575,0.4189424,[-0.032  0.323 -1.255 -1.294]
1.0,2.139053,1,4958.196,9.75175,-1,3.3225646,1184.5107,10.0,1.0,31,,2610171.0,5771206.0,1094734100000000.0,-213.27505,1.0,10.0,9.979948,100.0,3100,231508,,-213.27505,0.0097640185,-4029520.8,100,1098.6835,145.78292226791382,-46961407000000.0,119.5,True,100.0,1184.510654241034,0.4189424,[ 0.037  0.259 -1.299 -1.364]
1.0,11273.714,1,4998.716,99341.35,-1,1706.7284,1553.0491,10.0,1.0,32,,3542782.5,13659659000.0,1.3887502e+22,-203.03474,1.0,10.0,9.983584,100.0,3200,247142,,-203.03474,0.14785971,-4985428.5,100,1063.4005,153.43781685829163,-1.7000762e+17,156.34,True,100.0,1553.0491192592208,0.4189424,[-0.02   0.235 -1.309 -1.369]
1.0,11937.657,1,4108.6904,120048.15,-1,1286.4221,1028.3467,10.0,1.0,33,,1662620.6,11303373000.0,1.3165884e+36,-167.26653,1.0,10.0,9.9803505,100.0,3300,257530,,-167.26653,0.07414036,-2637270.5,100,777.89703,159.06012272834778,-1.1183333e+24,103.88,True,100.0,1028.3466495774474,0.4189424,[ 0.035  0.258 -1.321 -1.382]
1.0,226.28392,1,3289.5767,2058.9502,-1,68.952286,1189.9777,10.0,1.0,34,,1781867.2,91204270.0,930618800000.0,-114.337265,1.0,10.0,9.979878,100.0,3400,269533,,-114.337265,0.09229839,-2406640.0,100,604.8309,165.51604747772217,-602797000000.0,120.03,True,100.0,1189.9777640984687,0.4189424,[-0.081  0.23  -1.351 -1.401]
1.0,5367.745,1,4999.179,53194.69,-1,808.95557,1694.5891,10.0,1.0,35,,4271331.0,14417241000.0,1.1016713e+21,-203.96133,1.0,10.0,,100.0,3500,286583,,-203.96133,0.18303844,-5714245.5,100,1183.0886,174.9485743045807,-4.789199e+16,170.5,True,100.0,1694.5891039806304,0.4189424,[-0.02   0.243 -1.352 -1.405]
1.0,4.7903266,1,4999.1816,21.13991,-1,5.6429834,1363.423,10.0,1.0,36,,3281081.8,19348230.0,2110310300000.0,-217.8324,1.0,10.0,9.980754,100.0,3600,300320,,-217.8324,0.13987438,-4723995.5,100,1192.5435,182.75141167640686,-2096111600000.0,137.37,True,100.0,1363.422913319346,0.4189424,[ 0.035  0.236 -1.368 -1.428]
1.0,8756.851,1,4999.031,78408.2,-1,1854.365,1791.7811,10.0,1.0,37,,4655677.5,18446289000.0,3.0432297e+29,-202.0729,1.0,10.0,109.8638,100.0,3700,318341,,-202.0729,0.12079933,-6098507.0,100,1202.1638,195.1686794757843,-7.9593636e+20,180.21,True,100.0,1791.7811909188206,0.4189424,[-0.021  0.213 -1.377 -1.444]
1.0,6.0105863,1,4999.034,40.891502,-1,6.631289,1570.1531,10.0,1.0,38,,3937366.5,18520664.0,1452098500000.0,-200.04047,1.0,10.0,,100.0,3800,334147,,-200.04047,0.14930503,-5380196.0,100,1213.2544,205.78755044937134,-1738658300000.0,158.06,True,100.0,1570.153136302001,0.4189424,[ 0.041  0.208 -1.386 -1.45 ]
1.0,4970.7695,1,4999.083,35772.13,-1,1152.4086,1871.0275,10.0,1.0,39,,5523267.5,9620781000.0,2.1843684e+26,-236.76224,1.0,10.0,,100.0,3900,352955,,-236.76224,0.070324674,-6966128.0,100,1422.1547,219.30664324760437,-2.1324703e+19,188.08,True,100.0,1871.027497524146,0.4189424,[-0.019  0.195 -1.395 -1.462]
1.0,4.7186875,1,4998.4854,35.93058,-1,4.5323677,1342.8516,10.0,1.0,40,,2844817.2,11052886.0,55439036000.0,-222.37837,1.0,10.0,19.972633,100.0,4000,366487,,-222.37837,0.015999336,-4287329.0,100,1020.5719,228.84008526802063,-339655130000.0,135.32,True,100.0,1342.851592632344,0.4189424,[ 0.043  0.2   -1.399 -1.469]
1.0,4112.3066,1,4999.409,36290.58,-1,884.9357,2004.1444,10.0,1.0,41,,6220433.5,7880639500.0,2.8890428e+21,-227.99611,1.0,10.0,49.916042,100.0,4100,386626,,-227.99611,0.18976729,-7663483.0,100,1484.5334,242.27419257164001,-7.756285e+16,201.39,True,100.0,2004.1441451873598,0.4189424,[-0.014  0.224 -1.408 -1.464]
1.0,2.187274,1,4998.67,11.069461,-1,3.7256756,1365.8308,10.0,1.0,42,,2998530.2,8368056.0,282279550.0,-238.73862,1.0,10.0,9.982242,100.0,4200,400388,,-238.73862,0.2056136,-4441148.5,100,1064.4417,250.8182656764984,-24245877000.0,137.62,True,100.0,1365.8308134279857,0.4189424,[ 0.042  0.24  -1.426 -1.481]
1.0,13171.324,1,4999.077,120191.11,-1,2858.5122,2242.0276,10.0,1.0,43,,6928505.5,33082070000.0,1.0131726e+31,-226.88812,1.0,10.0,39.940186,100.0,4300,422908,,-226.88812,0.106320746,-8371365.0,100,1379.0641,263.1931312084198,-4.592623e+21,225.2,True,100.0,2242.0276242152686,0.4189424,[-0.019  0.247 -1.44  -1.487]
1.0,2.8590946,1,4998.7656,22.974833,-1,4.056024,1361.7534,10.0,1.0,44,,3104813.8,9032699.0,5036983300.0,-223.38042,1.0,10.0,9.9805765,100.0,4400,436627,,-223.38042,0.009022872,-4547487.0,100,1118.2313,271.2613580226898,-102397300000.0,137.19,True,100.0,1361.7533556251358,0.4189424,[ 0.039  0.268 -1.449 -1.497]
1.0,86472.83,1,4999.252,839425.0,-1,14411.762,2313.2222,10.0,1.0,45,,7554848.5,195320970000.0,1.3202961e+32,-233.15291,1.0,10.0,,100.0,4500,459856,,-233.15291,0.11958341,-8997810.0,100,1484.5375,284.55609822273254,-1.658002e+22,232.29,True,100.0,2313.222261836721,0.4189424,[-0.022  0.267 -1.464 -1.498]
1.0,3.410346,1,4999.2534,16.563309,-1,4.242772,1595.3729,10.0,1.0,46,,4250902.0,16187071.0,18839796000.0,-231.36812,1.0,10.0,9.979157,100.0,4600,475912,,-231.36812,0.28406706,-5693858.5,100,1306.0195,293.0931017398834,-198072090000.0,160.56,True,100.0,1595.3730272539228,0.4189424,[ 0.039  0.279 -1.471 -1.497]
1.0,165206.84,1,4999.1367,1476072.0,-1,26776.15,2411.5505,10.0,1.0,47,,7811289.0,307529550000.0,1.1638218e+33,-223.8321,1.0,10.0,19.964611,100.0,4700,500123,,-223.8321,0.09541661,-9254184.0,100,1412.6967,306.440025806427,-4.9223515e+22,242.11,True,100.0,2411.5507282345575,0.4189424,[-0.018  0.263 -1.484 -1.511]
1.0,2.4814777,1,4998.9756,13.890995,-1,4.138301,1608.4578,10.0,1.0,48,,4286347.0,14978760.0,41379140000.0,-216.01062,1.0,10.0,,100.0,4800,516308,,-216.01062,0.013854302,-5729143.0,100,1303.5378,316.8992142677307,-293504160000.0,161.85,True,100.0,1608.4577026214472,0.4189424,[ 0.041  0.272 -1.501 -1.517]
1.0,1576.2749,1,4999.074,15091.274,-1,357.33972,2226.821,10.0,1.0,49,,7365043.0,2857927700.0,1.3176635e+22,-217.18091,1.0,10.0,9.982368,100.0,4900,538674,,-217.18091,0.02050691,-8807901.0,100,1551.2291,328.99012756347656,-1.6562308e+17,223.66,True,100.0,2226.8209287569225,0.4189424,[-0.02   0.27  -1.513 -1.518]
1.0,48.624233,1,4998.3223,404.9583,-1,12.559065,1775.5962,10.0,1.0,50,,4903900.0,119788840.0,2.5403715e+17,-225.74869,1.0,10.0,,100.0,5000,556536,,-225.74869,0.18213576,-6346321.0,100,1323.3136,339.8699595928192,-727003700000000.0,178.62,True,100.0,1775.596167481816,0.4189424,[ 0.037  0.247 -1.517 -1.526]
1.0,71651.734,1,4999.407,632636.2,-1,14099.778,2562.2576,10.0,1.0,51,,8686616.0,117396100000.0,1.7053246e+25,-218.441,1.0,10.0,,100.0,5100,582251,,-218.441,0.13924405,-10129668.0,100,1456.5206,357.2280316352844,-5.9590897e+18,257.15,True,100.0,2562.257642915874,0.4189424,[-0.019  0.273 -1.526 -1.526]
1.0,4.7361436,1,4998.105,35.806885,-1,3.9435914,1496.0626,10.0,1.0,52,,3448091.0,14651621.0,15811697000000.0,-201.7102,1.0,10.0,,100.0,5200,597316,,-201.7102,0.040009916,-4890384.0,100,1099.9489,365.81909799575806,-5735093000000.0,150.65,True,100.0,1496.062736204166,0.4189424,[ 0.042  0.28  -1.534 -1.533]
1.0,25.494564,1,4999.1704,138.30461,-1,12.269177,2699.7554,10.0,1.0,53,,9886367.0,89743880.0,166454430.0,-231.94197,1.0,10.0,,100.0,5300,624404,,-231.94197,0.26299986,-11329284.0,100,1611.7344,381.3952217102051,-18705596000.0,270.88,True,100.0,2699.755347243394,0.4189424,[-0.014  0.301 -1.542 -1.517]
1.0,18.663303,1,4999.3247,176.39026,-1,11.315585,2244.0117,10.0,1.0,54,,7576094.0,129185220.0,7.598824e+19,-232.60773,1.0,10.0,9.982058,100.0,5400,646940,,-232.60773,0.28339168,-9019097.0,100,1593.8961,394.76212334632874,-1.2578686e+16,225.36,True,100.0,2244.0117958739747,0.4189424,[ 0.016  0.307 -1.546 -1.518]
1.0,2840.041,1,4999.246,21278.535,-1,1025.747,2172.465,10.0,1.0,55,,6094163.5,4683618000.0,8.992656e+23,-229.88304,1.0,10.0,49.91752,100.0,5500,668767,,-229.88304,0.071519375,-7537120.0,100,1172.4165,407.81165981292725,-1.368335e+18,218.27,True,100.0,2172.4649055070754,0.4189424,[-0.038  0.278 -1.555 -1.521]
1.0,16.556463,1,4999.0967,109.20614,-1,9.754749,2282.5461,10.0,1.0,56,,7778724.5,114619400.0,1.073743e+26,-229.6333,1.0,10.0,19.9641,100.0,5600,691686,,-229.6333,0.104649246,-9221596.0,100,1602.7188,421.997216463089,-1.4951081e+19,229.19,True,100.0,2282.546284529939,0.4189424,[ 0.023  0.291 -1.554 -1.519]
1.0,22955.746,1,4999.049,230162.84,-1,3108.3325,2244.7786,10.0,1.0,57,,6667030.0,20149793000.0,9.679121e+28,-240.90912,1.0,10.0,19.966042,100.0,5700,714234,,-240.90912,0.091435604,-8109873.5,100,1275.9308,435.1469645500183,-4.488819e+20,225.48,True,100.0,2244.778462581843,0.4189424,[-0.036  0.292 -1.571 -1.531]
1.0,13.338177,1,4999.169,108.986404,-1,9.693699,2378.4812,10.0,1.0,58,,8096448.0,84233976.0,1.2733945e+16,-240.77165,1.0,10.0,9.982484,100.0,5800,738114,,-240.77165,0.037369102,-9539362.0,100,1561.8181,449.3831958770752,-162823350000000.0,238.8,True,100.0,2378.4810863383937,0.4189424,[ 0.022  0.312 -1.574 -1.539]
1.0,2192.0798,1,4999.339,13812.021,-1,1019.86804,2535.4143,10.0,1.0,59,,8189053.5,7610537500.0,1.7029526e+36,-233.68591,1.0,10.0,379.69183,100.0,5900,763566,,-233.68591,0.09519485,-9632066.0,100,1326.9241,465.54983043670654,-1.8830671e+24,254.52,True,100.0,2535.4144414207535,0.4189424,[-0.032  0.296 -1.589 -1.562]
1.0,11.580773,1,4999.1533,82.44821,-1,7.571296,2431.4846,10.0,1.0,60,,8446333.0,80006770.0,16503545000000.0,-241.54512,1.0,10.0,49.916965,100.0,6000,787974,,-241.54512,0.3893831,-9889238.0,100,1591.922,480.6494607925415,-5861744300000.0,244.08,True,100.0,2431.4846005627696,0.4189424,[ 0.029  0.312 -1.591 -1.562]
1.0,24789.775,1,4999.4053,247974.6,-1,3312.867,2896.4429,10.0,1.0,61,,10345301.0,19466330000.0,1.5029392e+19,-227.7833,1.0,10.0,309.77136,100.0,6100,817031,,-227.7833,0.11952048,-11788354.0,100,1398.5427,498.77749156951904,-5594332300000000.0,290.57,True,100.0,2896.4425451297416,0.4189424,[-0.03   0.316 -1.611 -1.571]
1.0,9.346493,1,4998.9224,65.17416,-1,8.001413,2505.6729,10.0,1.0,62,,8835430.0,86348390.0,2446026800000000.0,-240.01556,1.0,10.0,39.934303,100.0,6200,842178,,-240.01556,0.041127816,-10278203.0,100,1599.0728,515.1132922172546,-71354820000000.0,251.47,True,100.0,2505.672834412442,0.4189424,[ 0.03   0.302 -1.616 -1.581]
1.0,10.654975,1,4999.4497,48.422974,-1,7.4075294,2649.7297,10.0,1.0,63,,9589854.0,45165810.0,168222820.0,-242.7518,1.0,10.0,,100.0,6300,868764,,-242.7518,0.1426201,-11032932.0,100,1602.7435,531.5485634803772,-18761736000.0,265.86,True,100.0,2649.729681066011,0.4189424,[-0.03   0.305 -1.628 -1.593]
1.0,1284.7496,1,4999.4844,12650.665,-1,206.41602,3050.1384,10.0,1.0,64,,12270530.0,2586828300.0,17472901000000.0,-244.29271,1.0,10.0,39.92945,100.0,6400,899339,,-244.29271,0.19954313,-13713630.0,100,1722.5525,548.1028363704681,-6034739400000.0,305.75,True,100.0,3050.138291741113,0.4189424,[ 8.738e-04  3.070e-01 -1.631e+00 -1.598e+00]
1.0,14.16638,1,4999.2812,139.0813,-1,7.740308,2685.6438,10.0,1.0,65,,10160083.0,90168940.0,3812352600000000.0,-241.41376,1.0,10.0,19.960537,100.0,6500,926284,,-241.41376,0.24348018,-11603064.0,100,1716.7994,563.1293263435364,-89094625000000.0,269.45,True,100.0,2685.6438694339804,0.4189424,[ 0.04   0.307 -1.667 -1.63 ]
1.0,72151.25,1,4999.2876,695780.4,-1,14260.634,3154.6208,10.0,1.0,66,,12259056.0,179171400000.0,5.1901803e+33,-233.32828,1.0,10.0,29.943138,100.0,6600,957911,,-233.32828,0.11593252,-13702044.0,100,1519.02,580.5725779533386,-1.0395535e+23,316.27,True,100.0,3154.6210923461927,0.4189424,[-0.021  0.304 -1.677 -1.634]
1.0,8.3095875,1,4999.391,42.639984,-1,8.251672,2821.1838,10.0,1.0,67,,11073919.0,90654720.0,33071690000000.0,-245.31126,1.0,10.0,,100.0,6700,986204,,-245.31126,0.1075732,-12516964.0,100,1764.891,595.6446824073792,-8298633400000.0,282.93,True,100.0,2821.183883957319,0.4189424,[ 0.038  0.301 -1.684 -1.652]
1.0,10.164497,1,4999.5166,72.205086,-1,7.214548,3034.6404,10.0,1.0,68,,11651226.0,71274136.0,83743340.0,-253.4153,1.0,10.0,19.961445,100.0,6800,1016635,,-253.4153,0.11934189,-13094345.0,100,1562.7491,614.1995151042938,-13277252000.0,304.31,True,100.0,3034.6404058952135,0.4189424,[-0.023  0.29  -1.694 -1.654]
1.0,1464.253,1,4999.4727,11807.922,-1,427.24734,3518.951,10.0,1.0,69,,15218881.0,8760814000.0,1.4391128e+29,-244.73093,1.0,10.0,,100.0,6900,1051892,,-244.73093,0.0093347505,-16661978.0,100,1684.003,635.5232429504395,-5.474383e+20,352.57,True,100.0,3518.9509678062686,0.4189424,[ 0.008  0.293 -1.695 -1.657]
1.0,755.0618,1,4998.8213,5018.6294,-1,320.31454,1852.201,10.0,1.0,70,,4301738.5,871693060.0,1.788355e+18,-222.51599,1.0,10.0,,100.0,7000,1070517,,-222.51599,0.033397928,-5744447.5,100,933.32153,646.3580453395844,-1929308200000000.0,186.25,True,100.0,1852.20116275173,0.4189424,[-0.048  0.272 -1.709 -1.662]
1.0,389947.2,1,4999.379,2873738.2,-1,75888.72,3494.4731,10.0,1.0,71,,14855233.0,1308291100000.0,8.039016e+30,-229.44518,1.0,10.0,339.73376,100.0,7100,1105527,,-229.44518,0.028408103,-16298276.0,100,1626.0039,664.2059383392334,-4.0914094e+21,350.1,True,100.0,3494.4732421967665,0.4189424,[ 0.011  0.292 -1.71  -1.668]
1.0,322581.56,1,4999.4653,2993554.5,-1,55937.746,2820.998,10.0,1.0,72,,11041885.0,382928980000.0,2.7018426e+31,-243.13329,1.0,10.0,49.932514,100.0,7200,1133818,,-243.13329,0.06666339,-12484973.0,100,1756.0907,681.2242605686188,-7.5009546e+21,282.91,True,100.0,2820.99830201901,0.4189424,[-0.002  0.184 -1.766 -1.643]
