Inner Iteration,EmpiricalD2Harmonic,EmpiricalD2Arithmetic,InitialReturnMin,Bound,ESSRenyiHarmonic,LearnableVariance,WReturnMean,TimestepsSoFar,MeanD2-0,InitialReturnStd,EpLenMean,MinBehavPdf,MinTargetPdf,MinIW,EpRewMean,MeanIW,ReturnMeanIW,EpThisIter,ESSRenyiArithmetic,Weights,InitialReturnMax,ReturnStepMaxmin,MeanEntropy,Iteration,StdWReturnMean,InitialBound,TimeElapsed,MaxIW,EpisodesSoFar,DivergenceHarmonic,ReturnStepMax,StdIW,VarianceInitializer,InitialReturnMean,Penalization
1,1.0,1.0,,-28036280000000.0,100.0,,6331119.5,498088,1.0,1464.3923,205.62,-217.33829,-217.33829,0.0017891144,2046.13649602976,31.044285,357465300.0,100,100.0,[-2.319e-04  3.522e-01 -1.306e+00 -1.688e+00],4999.0156,10.0,0.4189424,44,,-7773942.0,104.5538899898529,1895.159,4400,377583460000000.0,10.0,189.81454,-1,2046.1366,True
1,1.0,1.0,,-65125680000000.0,100.0,,6513416.0,519783,1.0,1359.9636,216.95,-223.12218,-223.12218,0.23213907,2159.610041852828,173.32867,1038786600.0,100,100.0,[-0.046  0.388 -1.323 -1.673],4999.111,10.0,0.4189424,45,,-7956294.5,109.75471019744873,2714.8975,4500,2037233600000000.0,10.0,446.48114,-1,2159.6099,True
1,1.0,1.0,9.979741,-427788780000000.0,100.0,,5297025.5,538619,1.0,1337.1356,188.36,-222.24321,-222.24321,0.01538242,1873.2575406538206,8.776151,57600720.0,100,100.0,[ 0.004  0.399 -1.357 -1.682],4998.991,10.0,0.4189424,46,,-6739833.0,114.14869403839111,119.63606,4600,8.791244e+16,10.0,16.875423,-1,1873.2574,True
1,1.0,1.0,49.923176,-1.7215561e+21,100.0,,5949110.0,559587,1.0,1263.167,209.68,-234.31242,-234.31242,0.11642445,2086.5089195870414,8430.605,40516207000.0,100,100.0,[-0.041  0.356 -1.367 -1.689],4998.948,10.0,0.4189424,47,,-7391894.0,118.92581081390381,577042.25,4700,1.4238001e+30,10.0,57693.934,-1,2086.5088,True
1,1.0,1.0,,-149818430000.0,100.0,,4090950.5,576361,1.0,1145.5499,167.74,-204.68329,-204.68329,0.15912607,1666.933195184954,5.439768,21043594.0,100,100.0,[ 0.019  0.372 -1.375 -1.689],4998.731,10.0,0.4189424,48,,-5533606.0,123.09252905845642,152.75906,4800,10781785000.0,10.0,15.647295,-1,1666.9331,True
1,1.0,1.0,19.965706,-3681975000000.0,100.0,,6111795.0,597233,1.0,1341.145,208.72,-210.37286,-210.37286,0.093432695,2076.8063731291118,44.086582,493391070.0,100,100.0,[-0.031  0.394 -1.396 -1.668],4999.244,10.0,0.4189424,49,,-7554749.0,127.41211652755737,1012.45715,4900,6509522000000.0,10.0,131.87614,-1,2076.8062,True
1,1.0,1.0,19.96167,-5210879000000000.0,100.0,,5575564.5,616701,1.0,1350.9008,194.68,-228.09543,-228.09543,0.65032524,1936.654854497235,6.1196547,52703824.0,100,100.0,[ 0.014  0.364 -1.426 -1.674],4999.0957,10.0,0.4189424,50,,-7018432.5,131.64776396751404,65.00333,5000,1.3042997e+19,10.0,9.927322,-1,1936.655,True
1,1.0,1.0,,-102020210000.0,100.0,,8039156.5,642141,1.0,1272.2596,254.4,-228.42244,-228.42244,0.13167882,2533.8730498180535,80.98927,742237800.0,100,100.0,[-0.044  0.38  -1.442 -1.671],4998.801,10.0,0.4189424,51,,-9481859.0,137.84981107711792,2708.4011,5100,4928194600.0,10.0,296.76056,-1,2533.873,True
1,1.0,1.0,49.910755,-1.1265256e+23,100.0,,9187889.0,667007,1.0,1746.4949,248.66,-236.97531,-236.97531,0.055380695,2477.427053975518,29072.76,491013800000.0,100,100.0,[-0.01   0.428 -1.492 -1.77 ],4999.2197,10.0,0.4189424,52,,-10630832.0,143.30101370811462,1401018.4,5200,6.0952924e+33,10.0,172711.5,-1,2477.427,True
1,1.0,1.0,,-9.8401814e+23,100.0,,5216015.0,685085,1.0,1408.5406,180.78,-224.62465,-224.62465,0.28282148,1797.7843740064168,56.821808,270830430.0,100,100.0,[ 0.055  0.375 -1.581 -1.743],4999.1445,10.0,0.4189424,53,,-6658910.0,147.51164507865906,1828.5458,5300,4.650983e+35,10.0,188.94011,-1,1797.7844,True
