EmpiricalD2,EpRewMean,Iteration,TimestepsSoFar,InitialReturnMean,MaxIW,ReturnMeanIW,J_sample_variance,MinIW,TimeElapsed,EpThisIter,InitialReturnStd,EpisodesSoFar,InitialBound,InitialReturnMax,Weights,Bound,EpLenMean,MeanIW,InitialReturnMin,StdIW
1.0006497,-138.36392598198896,21,90301,-1.0147095e-05,1.097082,229.29631,25.281105,0.94485295,207.3195366859436,100,1.6455187,2100,-215963820000000.0,4.669113,[ 0.57  -0.548  0.242  0.407  0.003],-215963820000000.0,42.19,1.0057907,-2.0447235,0.024176657
1.0015209,-140.61986162851446,22,94763,2.4414062e-06,1.1401744,216.7713,60.624477,0.8699386,217.6072175502777,100,1.7859881,2200,-227434000000000.0,5.2452164,[ 0.569 -0.548  0.241  0.406  0.003],-227434000000000.0,44.62,1.0058229,-2.2733078,0.043355547
1.0007126,-135.14424477463572,23,98625,2.670288e-06,1.095199,250.8639,31.791485,0.92532074,226.57980227470398,100,1.3484175,2300,-265514680000000.0,5.3669662,[ 0.571 -0.546  0.24   0.405  0.001],-265514680000000.0,38.62,1.004635,-1.7341919,0.026228545
1.0010747,-140.33536858393964,24,103050,1.3122559e-05,1.0995104,218.6283,35.33962,0.8553358,236.59992337226868,100,1.7146907,2400,-194682400000000.0,5.996292,[ 0.571 -0.546  0.239  0.406  0.001],-194682400000000.0,44.25,1.0048022,-2.2984695,0.030980136
1.0064551,-139.165056386338,25,107345,-1.2207031e-06,1.2518795,225.3773,199.60501,0.7939324,246.11277222633362,100,1.8063822,2500,-186750930000000.0,6.54068,[ 0.57  -0.546  0.24   0.406  0.001],-186750930000000.0,42.95,1.0057701,-2.0744858,0.07869611
1.0014088,-136.45621452589472,26,111356,-1.5258789e-06,1.1350374,241.35522,61.64812,0.9130825,255.17945098876953,100,1.7650506,2600,-227434000000000.0,6.272911,[ 5.695e-01 -5.479e-01  2.374e-01  4.056e-01 -2.019e-04],-227434000000000.0,40.11,1.0034071,-2.0676727,0.0381049
1.0015296,-138.2422010305957,27,115590,-3.3569336e-06,1.1200731,228.0948,52.211933,0.90656406,264.192848443985,100,1.7529438,2700,-247028420000000.0,5.4769516,[ 0.57  -0.548  0.236  0.405  0.002],-247028420000000.0,42.34,1.0052052,-2.2724228,0.03763209
1.0003676,-135.39544091774596,28,119502,-2.9754638e-06,1.0909759,247.25874,20.292658,0.96631676,273.99271631240845,100,1.5908239,2800,-380231540000000.0,4.893936,[ 0.57  -0.548  0.237  0.405  0.002],-380231540000000.0,39.12,1.0050137,-2.0498047,0.018371115
1.0009116,-142.53300987092,29,124147,-3.0517577e-07,1.0913578,208.38087,21.420887,0.9400909,283.7205550670624,100,1.7981958,2900,-225093620000000.0,5.4323273,[ 0.569 -0.548  0.238  0.404  0.002],-225093620000000.0,46.45,1.0061159,-2.1234741,0.027178707
1.0020633,-136.51690603706268,30,128186,-2.8991699e-06,1.1084815,239.3078,78.28739,0.8828587,292.9304447174072,100,1.816082,3000,-229798000000000.0,6.948227,[ 0.569 -0.547  0.239  0.403  0.002],-229798000000000.0,40.39,1.004933,-2.1586456,0.042480998
1.0016584,-139.92026920238385,31,132589,6.5612794e-06,1.1360705,219.42119,58.923492,0.87034535,303.56517601013184,100,1.8722858,3100,-252178180000000.0,7.9687576,[ 0.567 -0.547  0.238  0.402 -0.002],-252178180000000.0,44.03,1.0047231,-2.3358536,0.0377675
1.0007364,-137.52028309837414,32,136702,8.392334e-07,1.0883769,235.4549,23.597698,0.92606235,313.18531560897827,100,1.4467059,3200,-276677080000000.0,5.36203,[ 0.567 -0.546  0.237  0.405 -0.003],-276677080000000.0,41.13,1.0049317,-1.714714,0.023821574
1.0008849,-136.8878004891818,33,140785,-7.400513e-06,1.1280338,236.65364,38.419533,0.928785,321.61075925827026,100,1.7499955,3300,-241981140000000.0,5.765526,[ 0.567 -0.546  0.238  0.405 -0.003],-241981140000000.0,40.83,1.0057298,-2.1376877,0.030811343
1.0025373,-140.6083154658715,34,145237,4.9591063e-06,1.18322,217.30807,69.770035,0.9001952,331.86375880241394,100,1.7130343,3400,-130785090000000.0,6.0417023,[ 0.568 -0.546  0.239  0.404 -0.003],-130785090000000.0,44.52,1.0047038,-2.0910187,0.047384765
1.0043684,-137.45118546635769,35,149342,-1.0681152e-06,1.251951,235.87085,129.16243,0.8525481,340.84465503692627,100,1.7860285,3500,-154753430000000.0,5.645912,[ 0.568 -0.546  0.237  0.404 -0.002],-154753430000000.0,41.05,1.0049368,-2.0156937,0.059422243
1.0003147,-138.24354389355702,36,153504,-5.340576e-07,1.0478204,233.07123,16.427496,0.94803274,349.93551683425903,100,1.4371812,3600,-218211990000000.0,4.4471207,[ 0.567 -0.548  0.235  0.406 -0.002],-218211990000000.0,41.62,1.0052359,-1.6445312,0.018477857
1.0068287,-139.64131690349708,37,157847,6.713867e-06,1.230094,222.78029,171.37186,0.78084266,359.47594475746155,100,1.6541227,3700,-122745120000000.0,5.36364,[ 0.567 -0.547  0.235  0.406 -0.002],-122745120000000.0,43.43,1.0037102,-2.10672,0.07096295
1.0043212,-139.1032164923932,38,162151,6.866455e-06,1.1991478,224.68661,141.17365,0.81594956,369.708792924881,100,1.9638417,3800,-260099550000000.0,6.901535,[ 0.567 -0.552  0.234  0.408 -0.005],-260099550000000.0,43.04,1.0047039,-2.3257751,0.06590268
1.0037569,-141.4370529284313,39,166702,-6.408691e-06,1.1700633,212.4031,102.29076,0.8337077,380.4523723125458,100,1.8915538,3900,-120171100000000.0,6.979042,[ 0.567 -0.552  0.237  0.408 -0.004],-120171100000000.0,45.51,1.0064151,-2.2465897,0.059360564
1.0005869,-136.6997307114726,40,170746,-5.4931643e-06,1.1007276,239.21976,23.930735,0.9306521,389.4447011947632,100,1.8452332,4000,-220482870000000.0,7.1737213,[ 0.567 -0.55   0.239  0.407 -0.002],-220482870000000.0,40.44,1.004939,-2.059906,0.024621407
1.0007665,-137.42133465132403,41,174890,-2.9754638e-06,1.0787741,233.104,23.578218,0.9285513,398.8168568611145,100,1.6837502,4100,-332852350000000.0,4.9738083,[ 0.567 -0.551  0.238  0.407 -0.002],-332852350000000.0,41.44,1.0050645,-2.3964767,0.025297863
1.0016516,-135.15155344161366,42,178785,2.2888185e-06,1.1219093,248.22511,70.38177,0.9004061,407.3404083251953,100,1.6566682,4200,-282428800000000.0,4.7488403,[ 0.568 -0.55   0.239  0.407 -0.002],-282428800000000.0,38.95,1.0047209,-2.1877747,0.0404226
1.0029328,-141.50286334517637,43,183333,-5.1879883e-06,1.2019987,212.69507,73.85162,0.8903564,417.32288241386414,100,1.7721423,4300,-254792140000000.0,4.9880676,[ 0.568 -0.549  0.24   0.408 -0.001],-254792140000000.0,45.48,1.007223,-2.2319946,0.053966533
1.0022315,-138.9083071209752,44,187596,7.6293944e-08,1.1429045,227.0663,72.58455,0.8876605,426.7106328010559,100,1.6677474,4400,-188704000000000.0,6.031494,[ 0.567 -0.55   0.238  0.407 -0.001],-188704000000000.0,42.63,1.0049431,-1.8815155,0.04366735
1.0032464,-140.97667070734119,45,192104,-2.4414062e-06,1.2168097,214.44673,103.437004,0.86131364,435.8421370983124,100,1.6321561,4500,-196715580000000.0,4.3788376,[ 5.678e-01 -5.496e-01  2.357e-01  4.078e-01 -7.178e-05],-196715580000000.0,45.08,1.0057358,-2.2503815,0.062328655
1.0010084,-137.76570104354232,46,196255,1.5258789e-07,1.0949763,233.13757,32.778217,0.8898203,444.06140756607056,100,1.5507071,4600,-209353350000000.0,4.249359,[ 0.568 -0.549  0.238  0.407  0.001],-209353350000000.0,41.51,1.004151,-1.8800125,0.029733535
1.000691,-135.2347590329605,47,200190,-3.6621093e-06,1.1144803,245.18785,24.610458,0.9395882,452.62969493865967,100,1.9928788,4700,-244492090000000.0,5.764099,[ 5.675e-01 -5.486e-01  2.397e-01  4.075e-01  5.445e-04],-244492090000000.0,39.35,1.0046415,-2.231041,0.023421712
1.0010831,-138.8131104496354,48,204419,6.790161e-06,1.0808786,229.22806,31.663788,0.92904437,461.85550689697266,100,1.5876259,4800,-179131980000000.0,5.6369095,[ 0.569 -0.548  0.239  0.408 -0.001],-179131980000000.0,42.29,1.0047528,-1.727417,0.028309418
1.0154657,-134.54507467379423,49,208217,3.967285e-06,1.3929515,255.19696,692.66724,0.60372233,470.6914002895355,100,1.4847914,4900,-291276130000000.0,5.081253,[ 0.57  -0.547  0.24   0.41  -0.002],-291276130000000.0,37.98,1.0035653,-1.8357391,0.11973632
1.0019135,-140.0631736451939,50,212614,-1.6021728e-06,1.1163685,220.01381,53.734226,0.8761961,479.88458275794983,100,1.6810924,5000,-257432490000000.0,5.0369797,[ 0.57  -0.543  0.244  0.407 -0.008],-257432490000000.0,43.97,1.0054761,-2.102539,0.042447913
1.0012408,-142.51623348267668,51,217242,5.8746336e-06,1.1065525,209.30974,37.199677,0.9185287,490.00502943992615,100,1.6869069,5100,-143791680000000.0,5.622505,[ 0.569 -0.543  0.242  0.408 -0.006],-143791680000000.0,46.28,1.0056633,-1.9795914,0.03541784
1.0005969,-138.1387753528769,52,221449,-1.1291504e-05,1.1051203,229.75104,20.2924,0.94169956,499.87310004234314,100,1.7195915,5200,-249590350000000.0,6.2324142,[ 0.569 -0.544  0.241  0.408 -0.006],-249590350000000.0,42.07,1.0057906,-2.2028046,0.024015777
1.0006489,-134.3636006906143,53,225249,3.8146973e-07,1.0682209,254.62283,25.499386,0.92814976,508.0568037033081,100,1.6630301,5300,-368742140000000.0,6.1809387,[ 0.569 -0.544  0.242  0.408 -0.006],-368742140000000.0,38.0,1.0041025,-1.9588089,0.022702236
1.0004383,-138.6797894625213,54,229499,-3.8146973e-06,1.0531071,227.62665,14.317442,0.9443406,516.7475793361664,100,1.6327254,5400,-222776650000000.0,4.7367325,[ 0.57  -0.543  0.242  0.408 -0.007],-222776650000000.0,42.5,1.0053082,-2.201332,0.018527798
1.0017014,-140.33305698718047,55,233927,-1.2512207e-05,1.1418202,218.42487,50.998383,0.89122456,526.0451729297638,100,1.7761163,5500,-316215660000000.0,4.940178,[ 0.57  -0.542  0.242  0.409 -0.007],-316215660000000.0,44.28,1.0058131,-2.2813263,0.039468326
1.0008781,-140.59975512390508,56,238375,-7.6293944e-08,1.0954795,217.55472,27.818384,0.933792,535.9596066474915,100,1.7162011,5600,-237034300000000.0,7.677414,[ 0.572 -0.54   0.242  0.41  -0.005],-237034300000000.0,44.48,1.0056279,-2.1875381,0.029854944
1.0006704,-136.7392082827885,57,242402,3.1280517e-06,1.0670217,240.56264,27.315495,0.94021636,544.6194448471069,100,1.5258911,5700,-336281200000000.0,6.19738,[ 0.572 -0.541  0.241  0.41  -0.006],-336281200000000.0,40.27,1.0051739,-1.9023743,0.024291884
1.0013632,-138.75239203622317,58,246653,-2.4414062e-06,1.108722,227.68431,41.162045,0.9125277,553.8102858066559,100,1.5538691,5800,-232185900000000.0,4.748352,[ 0.572 -0.54   0.242  0.41  -0.006],-232185900000000.0,42.51,1.0067915,-2.1667938,0.036222875
1.002228,-144.48228047985697,59,251479,-9.994506e-06,1.1253083,200.8107,52.470573,0.9104783,563.6203453540802,100,1.554073,5900,-164782930000000.0,5.5555496,[ 0.573 -0.538  0.242  0.41  -0.004],-164782930000000.0,48.26,1.0058745,-2.0437698,0.044103846
1.0368927,-140.2120025432406,60,255903,1.5258789e-07,1.6062809,218.87057,1154.1577,0.36780038,574.0933067798615,100,1.6174939,6000,-129411215000000.0,5.7999268,[ 0.573 -0.539  0.24   0.41  -0.007],-129411215000000.0,44.24,1.0089649,-2.1848755,0.19452259
1.0009172,-137.526852737885,61,260002,2.7465821e-06,1.0756606,236.48466,31.424852,0.9192265,583.39959192276,100,1.4672472,6100,-249590350000000.0,5.795326,[ 0.574 -0.538  0.249  0.414 -0.003],-249590350000000.0,40.99,1.0046244,-1.9677505,0.027695345
1.0010425,-139.82648948504772,62,264357,5.340576e-07,1.0864916,222.34232,28.490885,0.92358094,593.0624854564667,100,1.6356007,6200,-260099550000000.0,4.9152985,[ 0.574 -0.538  0.25   0.415 -0.004],-260099550000000.0,43.55,1.0053102,-1.983429,0.026832025
1.0008932,-138.6655341608369,63,268631,-1.2969971e-06,1.1148082,226.01181,30.962624,0.9194856,602.4583027362823,100,1.8557794,6300,-225093620000000.0,6.3265915,[ 0.574 -0.537  0.252  0.415 -0.003],-225093620000000.0,42.74,1.0048975,-2.306488,0.029423641
1.0007836,-137.4333532688795,64,272749,7.2479247e-06,1.1199017,234.95734,27.034233,0.9420862,611.2943959236145,100,1.6009334,6400,-68569540000000.0,5.0397415,[ 0.574 -0.537  0.253  0.416 -0.002],-68569540000000.0,41.18,1.0060157,-2.0487595,0.025052866
1.0003597,-131.91979097275834,65,276303,-9.9182125e-06,1.0623491,272.09567,21.707298,0.9462452,619.1047623157501,100,1.4273493,6500,-319476440000000.0,5.4185715,[ 0.573 -0.538  0.254  0.416 -0.003],-319476440000000.0,35.54,1.0041988,-1.8612442,0.01971655
1.0008489,-135.1707248977006,66,280214,-3.0517579e-06,1.1203861,246.96793,46.618652,0.9396014,628.3127608299255,100,1.6212676,6600,-271039780000000.0,4.7722473,[ 0.573 -0.538  0.255  0.416 -0.003],-271039780000000.0,39.11,1.0044326,-2.0369263,0.029483216
1.000834,-138.09276988387134,67,284402,8.163453e-06,1.1051508,231.03064,31.27671,0.9360684,637.6205794811249,100,1.7256062,6700,-322770180000000.0,5.106346,[ 0.573 -0.537  0.256  0.415 -0.002],-322770180000000.0,41.88,1.0053504,-2.15374,0.02871906
1.0004822,-139.06899785379602,68,288702,1.1444092e-06,1.0730729,224.85625,23.889553,0.9459806,646.705644607544,100,1.9079062,6800,-190676800000000.0,6.9146576,[ 0.574 -0.538  0.255  0.414 -0.003],-190676800000000.0,43.0,1.0055921,-2.1437302,0.022433095
1.0015879,-140.05161977614182,69,293131,4.196167e-06,1.2760613,217.94234,46.88093,0.90924346,657.1912567615509,100,2.0513592,6900,-142287750000000.0,8.110977,[ 0.574 -0.537  0.256  0.414 -0.003],-142287750000000.0,44.29,1.0059093,-2.5110855,0.040223047
1.0054026,-135.3948632848422,70,296999,-9.155273e-07,1.219482,250.73062,209.59616,0.7857452,665.4631903171539,100,1.1541326,7000,-254792140000000.0,3.6521454,[ 5.723e-01 -5.376e-01  2.565e-01  4.161e-01  1.388e-04],-254792140000000.0,38.68,1.0048641,-1.480896,0.068368845
1.0016836,-137.38851240643018,71,301155,-1.6098022e-05,1.1481657,232.18234,59.543476,0.92030036,674.5082716941833,100,1.9462419,7100,-181008090000000.0,7.0798035,[ 5.719e-01 -5.368e-01  2.602e-01  4.172e-01  1.821e-04],-181008090000000.0,41.56,1.0048496,-2.4542618,0.03651218
1.0023619,-137.51517999423575,72,305298,-9.918213e-07,1.1474937,233.3371,103.48849,0.85007894,682.5666768550873,100,1.6018943,7200,-101339695000000.0,4.2421265,[ 0.573 -0.537  0.258  0.419  0.001],-101339695000000.0,41.43,1.0046077,-2.0459137,0.051063877
1.0015996,-137.5359925816316,73,309481,-2.7465821e-06,1.1180282,230.52736,45.167747,0.8912549,691.6958088874817,100,1.8179609,7300,-209353350000000.0,4.9650803,[ 0.573 -0.536  0.26   0.418  0.001],-209353350000000.0,41.83,1.0051271,-2.5920486,0.03311515
1.000641,-138.499844296425,74,313720,-9.918213e-07,1.1012324,228.10501,25.767733,0.9274535,701.7881441116333,100,1.6890751,7400,-205055800000000.0,5.286743,[ 5.725e-01 -5.356e-01  2.622e-01  4.184e-01  9.919e-05],-205055800000000.0,42.39,1.0049732,-2.1809235,0.024460608
1.0008235,-136.22708155209025,75,317735,7.400513e-06,1.0763612,240.64894,29.652859,0.9226428,710.1989943981171,100,1.9099737,7500,-186750930000000.0,6.475342,[ 0.572 -0.536  0.263  0.421 -0.001],-186750930000000.0,40.15,1.0043185,-2.238861,0.026474586
1.0008873,-135.55249112276945,76,321668,-8.239746e-06,1.0836852,245.85506,30.334373,0.9439787,719.8900148868561,100,1.532244,7600,-247028420000000.0,5.2663727,[ 0.571 -0.536  0.264  0.422 -0.001],-247028420000000.0,39.33,1.00507,-2.0608673,0.026979476
1.0010561,-134.8902156691133,77,325538,-9.155274e-06,1.1003125,249.78227,55.266773,0.9114425,728.79390001297,100,1.7146857,7700,-184817380000000.0,6.5503693,[ 0.572 -0.535  0.265  0.423 -0.001],-184817380000000.0,38.7,1.004674,-2.080925,0.033783775
1.0029182,-135.38971139326034,78,329463,7.400513e-06,1.1588289,246.27246,138.13808,0.8306562,737.4517662525177,100,1.741822,7800,-268263360000000.0,7.1119995,[ 0.573 -0.533  0.265  0.423 -0.001],-268263360000000.0,39.25,1.0047429,-2.2642517,0.05793456
1.0024567,-137.06782953078172,79,333542,3.8146973e-07,1.1537888,237.19514,70.624,0.872561,746.1643826961517,100,1.6666365,7900,-353952000000000.0,5.5431976,[ 0.575 -0.531  0.266  0.424 -0.001],-353952000000000.0,40.79,1.0048704,-2.0162964,0.044093873
1.0008732,-134.71384647476228,80,337400,-7.476807e-06,1.083817,250.4339,30.419592,0.92963713,754.9008166790009,100,1.742601,8000,-175435840000000.0,5.290016,[ 0.574 -0.533  0.264  0.424 -0.002],-175435840000000.0,38.58,1.0050067,-2.1448364,0.026355557
1.0012401,-136.89991199196407,81,341467,-4.653931e-06,1.0990708,237.8373,38.47328,0.9280427,763.1883895397186,100,1.6395205,8100,-300394300000000.0,4.9397964,[ 0.574 -0.534  0.264  0.424 -0.002],-300394300000000.0,40.67,1.0053546,-2.152008,0.032000467
1.0005071,-138.87083658825034,82,345768,-4.272461e-06,1.0637916,224.52248,20.041737,0.9604646,772.4191513061523,100,1.7602651,8200,-232185900000000.0,6.123459,[ 0.573 -0.535  0.263  0.423 -0.003],-232185900000000.0,43.01,1.0051373,-2.4833145,0.02027667
1.0008578,-137.89782758827135,83,349950,-2.822876e-06,1.1166569,231.16158,38.530556,0.93905824,781.2714600563049,100,1.8183898,8300,-285348370000000.0,4.6916046,[ 0.573 -0.535  0.262  0.423 -0.002],-285348370000000.0,41.82,1.0055399,-2.2808533,0.030937873
1.0017368,-136.93227073575568,84,354059,-1.15966795e-05,1.1234273,234.8261,66.772606,0.8700185,790.7277498245239,100,1.9907442,8400,-339744700000000.0,7.2271194,[ 0.574 -0.535  0.263  0.423 -0.002],-339744700000000.0,41.09,1.0058275,-2.2520828,0.040449377
1.0003163,-135.68893710010892,85,358019,-1.9073486e-06,1.0985049,244.00105,18.166193,0.9440118,799.4483497142792,100,1.7103221,8500,-202939220000000.0,6.147629,[ 0.575 -0.534  0.264  0.422 -0.003],-202939220000000.0,39.6,1.0046889,-2.146698,0.021340169
1.002018,-137.0335379120857,86,362118,1.5258789e-07,1.1520388,235.74881,80.60364,0.89288557,807.9358749389648,100,1.8699801,8600,-372533520000000.0,6.1921997,[ 0.575 -0.534  0.263  0.423 -0.002],-372533520000000.0,40.99,1.0057055,-2.1938019,0.04602486
1.0016431,-137.5895333454163,87,366266,-4.577637e-06,1.131273,233.06229,62.3402,0.8788038,816.3188147544861,100,1.629273,8700,-234597910000000.0,5.6660767,[ 0.575 -0.531  0.263  0.421 -0.004],-234597910000000.0,41.48,1.0050178,-2.151146,0.03900001
1.0003122,-136.10980427055804,88,370275,1.2893677e-05,1.0680329,240.90054,19.244064,0.9623867,825.0138690471649,100,1.9603422,8800,-186750930000000.0,5.6495743,[ 0.576 -0.53   0.265  0.42  -0.005],-186750930000000.0,40.09,1.0045619,-2.1845245,0.017936086
1.0007601,-132.73151111122965,89,373946,-6.1035157e-06,1.1058048,262.87537,43.252453,0.93497527,833.4309086799622,100,1.533825,8900,-332852350000000.0,4.2348785,[ 0.576 -0.53   0.266  0.42  -0.004],-332852350000000.0,36.71,1.0039092,-2.2031403,0.02892737
1.0014037,-141.91914828764723,90,378535,-2.670288e-06,1.1642225,210.82747,47.48618,0.92445266,843.1176526546478,100,1.96265,9000,-213738160000000.0,6.4844513,[ 0.576 -0.531  0.264  0.42  -0.004],-213738160000000.0,45.89,1.0067064,-2.207161,0.037177954
1.0077327,-136.0752887645732,91,382512,1.2969971e-06,1.2822382,243.10138,221.8647,0.71314466,852.5581908226013,100,1.5990052,9100,-171813250000000.0,6.5176086,[ 0.576 -0.531  0.263  0.419 -0.004],-171813250000000.0,39.77,1.0042555,-2.169693,0.07096266
1.0002284,-131.7671777083047,92,386053,-1.8463135e-05,1.0427644,273.05707,12.558832,0.96505123,860.66171002388,100,1.5520933,9200,-329457800000000.0,5.5731354,[ 0.576 -0.533  0.268  0.417 -0.004],-329457800000000.0,35.41,1.0042174,-2.0927887,0.013290933
1.0008118,-136.90344207309093,93,390121,-1.5258789e-07,1.0940516,237.72797,20.904734,0.92725533,869.6872885227203,100,1.6425146,9300,-161372340000000.0,5.4157257,[ 0.575 -0.534  0.269  0.417 -0.005],-161372340000000.0,40.68,1.0051535,-2.0698853,0.021531073
1.0053447,-135.0452926069923,94,394010,-7.095337e-06,1.2396609,248.4229,183.43517,0.80617,877.6928343772888,100,1.6817521,9400,-312987450000000.0,6.705063,[ 0.574 -0.534  0.27   0.416 -0.005],-312987450000000.0,38.89,1.0066675,-2.0426025,0.06782552
1.001207,-138.033621724079,95,398212,-2.8991699e-06,1.105548,229.94328,28.846315,0.8997985,888.0480763912201,100,1.760859,9500,-288297330000000.0,5.242668,[ 0.579 -0.533  0.271  0.412 -0.003],-288297330000000.0,42.02,1.004752,-2.04776,0.028832084
1.000574,-133.1254902022792,96,401928,-6.790161e-06,1.0974433,259.62137,32.06134,0.94757533,896.4397189617157,100,1.760171,9600,-109207270000000.0,6.0729523,[ 0.579 -0.534  0.273  0.414 -0.004],-109207270000000.0,37.16,1.0045238,-2.297882,0.02448543
