InitialReturnStd,MeanIW,J_sample_variance,EpLenMean,Weights,ReturnMeanIW,InitialReturnMax,TimestepsSoFar,MaxIW,TimeElapsed,EmpiricalD2,Iteration,StdIW,EpThisIter,InitialBound,MinIW,InitialReturnMin,EpRewMean,Bound,EpisodesSoFar,InitialReturnMean
13.008176,1.0047667,332.73236,34.23,[-0.567 -1.099 -0.804 -1.038  0.012],234.05867,37.413307,181843,1.2258205,411.06860852241516,1.0026749,51,0.0513921,100,-1515505100000000.0,0.88430053,-16.430397,-108.06424187665594,-1515505100000000.0,5100,2.670288e-06
13.488142,1.0050745,262.7278,36.88,[-0.567 -1.1   -0.804 -1.036  0.013],211.39009,51.730736,185531,1.1214447,419.42958974838257,1.0010629,52,0.034213174,100,-1484910600000000.0,0.92310476,-18.25206,-106.94263131848112,-1484910600000000.0,5200,-5.722046e-07
13.349697,1.0046855,250.0216,36.92,[-0.567 -1.1   -0.804 -1.035  0.012],211.84225,38.502693,189223,1.1627988,428.17513155937195,1.0029054,53,0.04695334,100,-1454925000000000.0,0.88419175,-19.57425,-107.3754338573043,-1454925000000000.0,5300,-2.670288e-06
12.800542,1.0049955,206.99669,37.41,[-0.567 -1.101 -0.802 -1.034  0.012],210.13779,43.695045,192964,1.1500517,436.4779357910156,1.0016048,54,0.042263936,100,-1578569900000000.0,0.9241664,-16.505157,-108.18198672978393,-1578569900000000.0,5400,-8.544922e-06
13.062316,1.0070475,212.99312,36.73,[-0.567 -1.1   -0.799 -1.033  0.014],214.84137,41.19674,196637,1.1583432,444.9899597167969,1.0030193,55,0.05343348,100,-1546720500000000.0,0.85756105,-18.716743,-108.1813295819858,-1546720500000000.0,5500,-7.6293944e-08
12.755198,1.005033,203.45123,35.15,[-0.566 -1.098 -0.8   -1.034  0.014],225.67578,32.5388,200152,1.0996358,452.9198441505432,1.0005577,56,0.02401706,100,-1546720500000000.0,0.93251634,-17.678741,-107.57863558638255,-1546720500000000.0,5600,4.6920777e-06
13.881695,1.0058483,243.58908,35.29,[-0.566 -1.098 -0.801 -1.033  0.014],223.70424,47.683266,203681,1.0993681,460.44620394706726,1.0014367,57,0.03557388,100,-1531034400000000.0,0.91152424,-16.259987,-107.0808010704978,-1531034400000000.0,5700,6.8664554e-07
14.456437,1.0060775,208.0961,36.66,[-0.566 -1.097 -0.801 -1.033  0.015],212.39659,41.148674,207347,1.1504294,469.33886075019836,1.0010928,58,0.034146383,100,-1396732200000000.0,0.90967107,-17.435188,-106.65579364633021,-1396732200000000.0,5800,-3.4332274e-06
15.22883,1.0053481,382.5706,38.07,[-0.566 -1.096 -0.802 -1.034  0.015],201.87285,49.180573,211154,1.2092415,478.2177984714508,1.0039077,59,0.05709677,100,-1248255500000000.0,0.89734733,-18.410904,-106.37554181262277,-1248255500000000.0,5900,-3.4332274e-06
14.524065,1.0049396,241.40468,38.06,[-0.565 -1.095 -0.8   -1.032  0.013],202.54489,37.240852,214960,1.1431209,486.96665692329407,1.0016416,60,0.043615013,100,-1454925000000000.0,0.91746473,-19.045692,-106.60496960710373,-1454925000000000.0,6000,6.4849854e-07
12.577047,1.0052869,260.69785,36.99,[-0.565 -1.095 -0.801 -1.033  0.015],211.59529,39.027477,218659,1.1895685,495.60234451293945,1.0019758,61,0.044516485,100,-1515505100000000.0,0.864427,-16.46254,-107.39441205927058,-1515505100000000.0,6100,-5.683899e-06
14.909769,1.0052958,262.2169,35.96,[-0.564 -1.095 -0.802 -1.031  0.015],217.18831,59.055344,222255,1.1024628,503.8237318992615,1.0011278,62,0.031414498,100,-1382545800000000.0,0.8917903,-17.618752,-106.56384647051478,-1382545800000000.0,6200,-1.7929077e-06
12.082904,1.0048245,189.96342,33.03,[-0.563 -1.096 -0.803 -1.029  0.014],244.82729,37.37892,225558,1.059967,511.2764596939087,1.0007306,63,0.022573551,100,-1644221900000000.0,0.9257018,-15.25045,-108.03115145135561,-1644221900000000.0,6300,3.8146973e-06
13.201921,1.0049167,238.30165,34.71,[-0.564 -1.098 -0.803 -1.03   0.015],227.50316,47.961308,229029,1.1131619,519.070228099823,1.0009408,64,0.029525636,100,-1300357700000000.0,0.9236337,-16.082932,-106.79662300007107,-1300357700000000.0,6400,1.4495849e-06
11.699954,1.0055583,186.45149,34.49,[-0.563 -1.098 -0.804 -1.028  0.014],230.62689,32.648846,232478,1.1084776,526.8359303474426,1.000944,65,0.03208476,100,-1594736400000000.0,0.93924534,-13.88253,-107.32621064371985,-1594736400000000.0,6500,-2.1362305e-06
15.218987,1.0067832,340.57452,40.34,[-0.563 -1.097 -0.804 -1.029  0.014],187.76712,56.576973,236512,1.1417813,535.6590843200684,1.0029603,66,0.052059688,100,-1425536000000000.0,0.888309,-19.23484,-106.38440390181327,-1425536000000000.0,6600,5.760193e-06
13.049774,1.0052096,214.2152,33.96,[-0.564 -1.098 -0.803 -1.028  0.014],234.0938,38.335663,239908,1.1163175,544.0155375003815,1.0009294,67,0.027717302,100,-1531034400000000.0,0.9267726,-15.995598,-106.90460526355285,-1531034400000000.0,6700,-4.5776366e-07
12.104427,1.0061963,180.75975,39.12,[-0.564 -1.098 -0.803 -1.03   0.014],197.92593,32.94586,243820,1.1258609,553.3991587162018,1.0011257,68,0.035702575,100,-1578569900000000.0,0.919617,-18.246262,-107.6942903894803,-1578569900000000.0,6800,-1.9073487e-07
14.0786,1.0063593,280.55258,38.88,[-0.563 -1.097 -0.804 -1.028  0.015],198.64824,40.312492,247708,1.1427094,562.5139346122742,1.0022389,69,0.042102024,100,-1382545800000000.0,0.89966536,-19.089836,-107.48992023324543,-1382545800000000.0,6900,-2.2506713e-06
12.079416,1.0059457,182.05798,35.69,[-0.563 -1.098 -0.803 -1.026  0.014],222.45963,36.703632,251277,1.1006657,570.1963183879852,1.0008041,70,0.030060692,100,-1500130900000000.0,0.93791187,-15.98259,-108.0456331454892,-1500130900000000.0,7000,6.713867e-06
13.831678,1.0054871,196.44432,34.71,[-0.563 -1.098 -0.803 -1.025  0.014],229.2168,59.038494,254748,1.0902776,577.6393501758575,1.001371,71,0.036381286,100,-1411061800000000.0,0.8982969,-15.771538,-107.5502982794595,-1411061800000000.0,7100,-2.5939942e-06
14.469058,1.0070513,287.70517,35.42,[-0.562 -1.098 -0.804 -1.026  0.015],222.6678,53.153305,258290,1.1645143,586.0735142230988,1.0026546,72,0.04554039,100,-1327205000000000.0,0.85694706,-17.259071,-107.24932453996573,-1327205000000000.0,7200,6.4849854e-07
11.679555,1.00546,296.64017,35.08,[-0.562 -1.096 -0.804 -1.027  0.014],227.01222,34.174496,261798,1.2842563,593.522313117981,1.0063418,73,0.08656287,100,-1531034400000000.0,0.8108407,-14.44487,-107.88693311097514,-1531034400000000.0,7300,-1.3732911e-06
14.251072,1.005986,256.8297,35.97,[-0.561 -1.095 -0.805 -1.029  0.016],220.10074,76.201096,265395,1.1111704,602.1962034702301,1.0011415,74,0.03126739,100,-1173926000000000.0,0.90760195,-16.67421,-108.00453979027428,-1173926000000000.0,7400,6.1035155e-07
11.209429,1.0058545,190.28925,33.25,[-0.561 -1.094 -0.806 -1.03   0.016],243.4867,48.621807,268720,1.1598508,609.7214179039001,1.002646,75,0.054504734,100,-1354597400000000.0,0.87124693,-12.574249,-108.30297337359012,-1354597400000000.0,7500,-3.8146973e-07
14.182791,1.0063133,307.035,36.63,[-0.56  -1.092 -0.807 -1.03   0.017],213.75735,42.773384,272383,1.1714851,617.943247795105,1.0023277,76,0.053560566,100,-1546720500000000.0,0.873866,-16.35614,-107.28859188719746,-1546720500000000.0,7600,-3.6239624e-06
14.404562,1.0050956,229.0973,35.08,[-0.56  -1.088 -0.806 -1.029  0.019],225.30402,59.888474,275891,1.0746195,626.2965455055237,1.0003692,77,0.019808492,100,-1425536000000000.0,0.96556526,-16.057854,-107.19185722061331,-1425536000000000.0,7700,-1.1062622e-06
12.810687,1.0044789,292.3493,35.5,[-0.559 -1.089 -0.806 -1.029  0.021],223.508,50.973007,279441,1.1575892,634.3344604969025,1.0022881,78,0.04678758,100,-1261085300000000.0,0.8975084,-14.976402,-107.95410882817612,-1261085300000000.0,7800,2.7465821e-06
12.853197,1.0051341,208.7085,35.56,[-0.56  -1.09  -0.805 -1.029  0.02 ],221.95673,38.786777,282997,1.1140234,642.6386005878448,1.0008786,79,0.03065908,100,-1644221900000000.0,0.9257933,-17.505676,-107.25163145238167,-1644221900000000.0,7900,6.6375733e-06
12.981061,1.004891,218.28796,31.2,[-0.559 -1.09  -0.806 -1.028  0.02 ],259.29602,36.209213,286117,1.0776155,649.5192492008209,1.0010111,80,0.030377813,100,-1531034400000000.0,0.8983946,-13.518196,-106.71725521648196,-1531034400000000.0,8000,-6.866455e-06
13.132248,1.0057812,305.61768,32.9,[-0.559 -1.09  -0.807 -1.028  0.02 ],243.71251,41.629505,289407,1.160733,657.6553485393524,1.0031744,81,0.052669656,100,-1454925000000000.0,0.8759654,-16.026611,-107.01124075195052,-1454925000000000.0,8100,5.455017e-06
13.864146,1.0053757,239.95743,34.14,[-0.558 -1.089 -0.805 -1.031  0.016],232.99088,50.465153,292821,1.0953745,665.1714923381805,1.0010086,82,0.031062813,100,-1611066000000000.0,0.9027539,-15.845955,-107.08229243390491,-1611066000000000.0,8200,-1.2207031e-06
13.050864,1.0051451,182.90402,35.01,[-0.559 -1.089 -0.805 -1.032  0.015],225.51236,35.556084,296322,1.0663698,672.8759455680847,1.0009252,83,0.027755952,100,-1578569900000000.0,0.9154261,-16.705109,-106.94781489498439,-1578569900000000.0,8300,3.1280517e-06
14.253156,1.0048386,791.24677,37.13,[-0.559 -1.089 -0.805 -1.033  0.014],209.89415,48.750362,300035,1.4777853,680.5456852912903,1.0193343,84,0.14036964,100,-1327205000000000.0,0.60300905,-16.803719,-107.12308553346507,-1327205000000000.0,8400,-1.0681152e-06
12.662125,1.0076562,238.07674,38.09,[-0.559 -1.088 -0.804 -1.04   0.007],203.8093,47.009758,303844,1.1591499,688.4215474128723,1.0020105,85,0.044764314,100,-1578569900000000.0,0.88604426,-18.468529,-107.20666228499478,-1578569900000000.0,8500,-8.850097e-06
15.854489,1.0068744,370.53757,38.66,[-0.56  -1.09  -0.803 -1.039  0.008],197.5091,53.933834,307710,1.2101606,697.145586013794,1.0044922,86,0.067038186,100,-1313714000000000.0,0.8305342,-19.528427,-106.05777931658878,-1313714000000000.0,8600,1.6021728e-06
15.024536,1.0073886,251.69722,36.56,[-0.559 -1.089 -0.805 -1.04   0.009],211.97353,43.958,311366,1.0930592,705.2562129497528,1.0011824,87,0.034515124,100,-1440156600000000.0,0.9126992,-17.851051,-106.17600749997004,-1440156600000000.0,8700,6.8664554e-07
14.423421,1.0054741,255.53754,35.48,[-0.559 -1.089 -0.806 -1.041  0.009],220.42944,41.990894,314914,1.1325185,713.8756327629089,1.0009737,88,0.03297296,100,-1440156600000000.0,0.9148834,-18.480598,-106.38062506202608,-1440156600000000.0,8800,7.05719e-06
15.796845,1.0053385,285.22864,40.14,[-0.559 -1.089 -0.807 -1.041  0.011],188.79886,44.58252,318928,1.1077752,722.9393804073334,1.0010018,89,0.032454662,100,-1578569900000000.0,0.9103417,-21.072556,-106.14783434699596,-1578569900000000.0,8900,-6.1035157e-06
13.226215,1.0089564,241.40526,39.09,[-0.56  -1.09  -0.806 -1.04   0.011],197.37337,43.10605,322837,1.2083158,731.3722655773163,1.0077178,90,0.07046956,100,-1354597400000000.0,0.8054247,-18.222183,-107.5245565015184,-1354597400000000.0,9000,7.400513e-06
14.039162,1.0050356,293.81357,34.23,[-0.559 -1.088 -0.808 -1.042  0.01 ],230.34335,52.48019,326260,1.1088941,739.4878008365631,1.0012206,91,0.037212323,100,-1274044700000000.0,0.89255667,-16.612022,-106.33389086315246,-1274044700000000.0,9100,-6.904602e-06
13.929297,1.0057323,240.49477,37.2,[-0.559 -1.089 -0.806 -1.042  0.011],208.25986,48.250713,329980,1.1361073,746.7977879047394,1.0010362,92,0.03269466,100,-1396732200000000.0,0.90718794,-16.078117,-106.5511527444441,-1396732200000000.0,9200,-3.967285e-06
12.990146,1.0045922,199.76826,31.91,[-0.56  -1.089 -0.805 -1.043  0.011],252.03757,46.50555,333171,1.0793728,754.0742108821869,1.0004189,93,0.020219246,100,-1340832400000000.0,0.9532598,-13.469322,-106.68162060154407,-1340832400000000.0,9300,-2.784729e-06
15.3204975,1.0044969,320.37027,37.28,[-0.56  -1.089 -0.805 -1.042  0.011],206.28036,48.504025,336899,1.1341869,763.3381400108337,1.0017254,94,0.03737403,100,-1235554000000000.0,0.89257056,-19.08033,-105.85017970359603,-1235554000000000.0,9400,-2.2888183e-07
13.09043,1.005189,220.5877,37.01,[-0.561 -1.089 -0.803 -1.043  0.01 ],211.7415,39.24212,340600,1.1109053,772.0508201122284,1.0010328,95,0.031709872,100,-1440156600000000.0,0.9182354,-16.035263,-107.60439292031042,-1440156600000000.0,9500,2.2506713e-06
13.976959,1.0062206,215.90317,36.79,[-0.56  -1.088 -0.801 -1.044  0.011],210.20012,42.07524,344279,1.1260397,781.0769197940826,1.0020076,96,0.038245738,100,-1515505100000000.0,0.9142226,-18.10038,-105.99774569974824,-1515505100000000.0,9600,-5.4931643e-06
