EmpiricalD2,StdIW,InitialReturnStd,EpThisIter,Bound,TimeElapsed,J_sample_variance,InitialReturnMax,Iteration,InitialReturnMean,MaxIW,TimestepsSoFar,InitialBound,EpisodesSoFar,MeanIW,ReturnMeanIW,EpRewMean,MinIW,InitialReturnMin,Weights,EpLenMean
1.218572,0.4029008,5.6655903,100,-3105883700000.0,230.52436923980713,111.73627,14.573662,47,7.2479247e-07,3.1680307,82046,-3105883700000.0,4700,0.98025125,39.70895,-109.36208296343231,0.3395108,-14.094955,[-0.873  0.639 -0.661  0.469  0.118],17.31
2.2480776,0.9128886,6.017771,100,-4260471500000.0,234.89873337745667,208.94073,15.359949,48,9.155273e-07,7.814304,83768,-4260471500000.0,4800,0.91681,39.611217,-109.29524172897477,0.06999911,-13.595766,[-0.879  0.638 -0.636  0.469  0.147],17.22
1.2531236,0.5429959,6.123932,100,-1650594000000.0,239.95472073554993,124.19352,14.130562,49,-2.5749207e-06,3.739835,85636,-1650594000000.0,4900,1.0023831,37.750175,-110.5195299562567,0.274767,-14.00449,[-0.873  0.623 -0.594  0.495  0.144],18.68
2.425121,1.0935748,6.0031953,100,-1485534500000.0,245.4335446357727,107.205086,13.678926,50,1.7166138e-07,13.540991,87571,-1485534500000.0,5000,1.021311,36.130478,-110.53669810310934,0.13432443,-15.711897,[-0.876  0.621 -0.565  0.495  0.162],19.35
1.9139647,0.8467974,6.58328,100,-877193300000.0,250.53420853614807,157.71135,16.078598,51,-3.9100647e-07,4.524679,89467,-877193300000.0,5100,1.0589062,36.074425,-111.19736963829877,0.15116239,-13.502409,[-0.918  0.591 -0.543  0.487  0.213],18.96
1.1612884,0.36735952,6.4595966,100,-1203283000000.0,255.877605676651,67.67628,13.203871,52,4.863739e-07,3.2136164,91492,-1203283000000.0,5200,1.0105742,35.200127,-112.0106092361423,0.31764707,-17.407352,[-0.928  0.565 -0.514  0.509  0.209],20.25
1.6767642,1.3670822,6.845215,100,-974659260000.0,260.8133478164673,181.05019,14.388635,53,-5.1498415e-07,12.306723,93489,-974659260000.0,5300,1.1703596,35.096863,-112.28311997811835,0.06612074,-14.77248,[-0.937  0.54  -0.529  0.477  0.233],19.97
1.8802745,0.71059173,6.401788,100,-1336981200000.0,266.36065673828125,66.37707,12.894596,54,-4.1007996e-07,5.096028,95506,-1336981200000.0,5400,0.95600796,35.251553,-112.51828998935446,0.11059088,-14.694466,[-0.923  0.527 -0.494  0.51   0.226],20.17
1.1086688,0.31396574,6.730541,100,-1082954700000.0,271.86775064468384,84.317154,13.20775,55,3.8146972e-08,2.2798553,97618,-1082954700000.0,5500,1.0261667,33.7361,-112.82309832866368,0.39508355,-13.2495365,[-0.916  0.545 -0.535  0.508  0.238],21.12
1.7114104,0.8477825,7.0977807,100,-877193300000.0,277.4738130569458,262.21826,13.881906,56,4.7683716e-07,6.1540375,99742,-877193300000.0,5600,1.0350269,33.75998,-112.94810869343358,0.06262323,-17.834215,[-0.917  0.544 -0.515  0.515  0.241],21.24
1.5803467,1.1007625,6.145142,100,-877193300000.0,282.5026514530182,87.04436,14.441789,57,2.0217894e-06,9.3622465,101777,-877193300000.0,5700,1.1300796,34.89038,-112.92110668557599,0.18024476,-13.2639065,[-0.915  0.559 -0.451  0.514  0.226],20.35
1.206243,0.50172526,6.8361287,100,-974659260000.0,288.21172738075256,93.91863,14.006495,58,-8.010864e-07,2.8199499,103840,-974659260000.0,5800,1.0628338,34.009296,-112.88766590238211,0.17532861,-15.439253,[-0.91   0.602 -0.457  0.495  0.229],20.63
1.1925038,0.45824087,6.5184336,100,-466176500000.0,294.49605441093445,64.767654,12.1865835,59,1.7261505e-06,3.0142655,105987,-466176500000.0,5900,0.9946294,33.4111,-113.43343435940011,0.27875167,-13.052397,[-0.909  0.6   -0.431  0.509  0.224],21.47
1.3738915,0.6722749,6.2742095,100,-466176500000.0,300.37681126594543,89.88247,10.449109,60,-1.8119812e-06,5.6210337,108194,-466176500000.0,6000,1.1572868,32.91006,-114.1588086200731,0.12351272,-17.040382,[-0.913  0.578 -0.422  0.518  0.223],22.07
1.5191611,0.75334436,6.576863,100,-575526540000.0,305.82551074028015,114.834114,11.82013,61,2.479553e-07,4.8777103,110363,-575526540000.0,6100,1.1005975,33.196793,-113.59022656269067,0.15474886,-13.212893,[-0.927  0.567 -0.411  0.451  0.228],21.69
1.896905,0.85417944,7.1535954,100,-339842660000.0,311.5698480606079,217.97495,13.026418,62,3.2424927e-07,12.826217,112636,-339842660000.0,6200,0.9779494,31.782461,-114.78395274017385,0.09953117,-14.652475,[-0.924  0.555 -0.379  0.468  0.245],22.73
1.1456809,0.41624576,6.8941417,100,-162545700000.0,317.65209317207336,124.22723,12.179855,63,-4.386902e-07,3.8621304,115109,-162545700000.0,6300,1.0733713,30.363974,-117.45846621536197,0.40848157,-18.72076,[-0.922  0.563 -0.345  0.517  0.293],24.73
1.1647731,0.42729416,6.625315,100,-162545700000.0,323.7946991920471,92.36787,12.268452,64,1.4305115e-07,3.7582064,117530,-162545700000.0,6400,1.0360078,30.566336,-117.71340514043771,0.37380904,-17.102997,[-0.923  0.574 -0.313  0.488  0.309],24.21
1.8844886,0.81357247,6.3251657,100,-517973870000.0,330.5750560760498,147.68085,11.0012455,65,-1.5258789e-06,5.9006653,120198,-517973870000.0,6500,1.0219504,29.067951,-119.5372736309645,0.11638715,-15.550718,[-0.921  0.572 -0.287  0.497  0.314],26.68
1.2300837,0.5377144,6.1967974,100,-86383450000.0,337.33928084373474,67.24885,9.748256,66,8.869171e-07,3.3847878,123096,-86383450000.0,6600,1.0378661,26.785707,-122.60290840608963,0.32751596,-20.013014,[-0.917  0.57  -0.23   0.488  0.334],28.98
1.1373132,0.43809745,5.861851,100,-19761762000.0,343.6619334220886,72.66634,9.801607,67,5.7220458e-08,3.1507182,125963,-19761762000.0,6700,1.0423939,27.123875,-122.12036972536629,0.41261712,-18.85359,[-0.921  0.56  -0.204  0.49   0.343],28.67
7.5878506,1.6550479,6.367418,100,-262886620.0,350.88338685035706,101.52471,9.098579,68,-6.4849854e-07,22.96837,129182,-262886640.0,6800,0.8982625,25.249258,-125.12612846787479,0.0049066846,-14.839443,[-0.924  0.571 -0.175  0.468  0.348],32.19
2.2235467,1.048258,5.4678,100,-292096260.0,359.36205410957336,86.08729,6.961631,69,-7.6293944e-08,7.3067217,132726,-292096260.0,6900,0.98855484,23.50681,-128.80051921201482,0.07195071,-17.490963,[-0.959  0.494 -0.135  0.472  0.372],35.44
1.3697897,0.5875751,4.654168,100,-21957513000.0,369.0917618274689,40.809547,5.2577176,70,1.1157989e-06,4.4651814,136775,-21957513000.0,7000,1.0746788,21.45217,-133.58193240583907,0.20395519,-13.096381,[-0.959  0.456 -0.094  0.49   0.362],40.49
1.5189325,0.91683203,5.3060427,100,-2402568700.0,377.93307089805603,63.43639,7.0353327,71,-4.386902e-07,5.4369917,140610,-2402568700.0,7100,1.062858,21.880173,-131.7984408221006,0.11047756,-13.93959,[-0.97   0.418 -0.119  0.473  0.366],38.35
2120447500000000.0,51.068848,5.074042,100,-2549367.2,387.29748487472534,35529.87,6.5503206,72,1.2779236e-06,9401.8125,145032,-2549387.2,7200,0.7921662,39.549526,-136.71358933323833,1.6428711e-10,-13.950367,[-0.978  0.422 -0.075  0.461  0.347],44.22
1.4094326,0.5594326,3.7917874,100,-400680740.0,399.4120557308197,28.3341,8.613596,73,-1.1014938e-06,3.6965666,149787,-400680740.0,7300,1.0769558,18.857386,-137.8227036127166,0.28778118,-12.281576,[-0.972  0.308  0.133  0.283  0.283],47.55
172673240000000.0,34.648598,3.853344,100,-22228.55,411.43649411201477,1547.2726,5.304101,74,6.294251e-07,3087.4417,155286,-22235.518,7400,1.156424,22.744335,-144.55731339324237,3.99901e-16,-13.304903,[-0.978  0.294  0.143  0.246  0.309],54.99
1.0,3.7269918e-05,1.1891096,100,-2694.9773,430.9992518424988,1.4282993,5.2895484,75,-3.004074e-07,1.0001184,164695,-2694.9773,7500,0.9999997,10.258287,-176.69145182557114,0.99986404,-1.3558102,[-1.065  0.078  0.079  0.264  0.065],94.09
117941200000.0,19.73542,1.1254996,100,-120060.52,450.63473105430603,13529.564,3.224186,76,-9.250641e-07,1960.6519,174603,-120070.58,7600,0.53648484,20.239609,-181.39756977967866,1.7448997e-09,-2.8657246,[-1.065  0.078  0.079  0.264  0.065],99.08
1.5121614,0.6518806,1.5702275,100,-4.0171237,482.2999687194824,3.025382,4.229814,77,3.0517577e-07,6.5897746,189252,-4.088978,7700,1.0307034,6.0969396,-200.94109587347563,0.13183485,-2.1361866,[-1.189  0.079  0.095  0.064  0.081],146.49
2.214428,0.8654344,1.5345786,100,-3.7763214,511.4396381378174,7.5197663,4.563879,78,-1.3828277e-07,10.804548,203407,-4.058987,7800,1.0013577,6.45823,-192.6973958278811,0.1791352,-2.1428094,[-1.191  0.078  0.079  0.058  0.075],141.55
1.0,,1.7272651,100,-4.8351464,540.3717994689941,3.01358,4.9206247,79,-1.04904174e-07,1.0,218545,-4.8351464,7900,1.0,5.2152343,-191.40136062377752,1.0,-2.481629,[-1.194  0.092  0.077  0.028  0.073],151.38
1.3097006,0.43049037,1.3783033,100,-5.2627325,568.8770751953125,2.862283,4.1028066,80,-2.6226044e-07,4.6610937,233526,-5.330156,8000,1.0291818,4.8403873,-187.1065973263563,0.22985949,-2.0296364,[-1.194  0.092  0.077  0.028  0.073],149.81
1.0,,1.5943056,100,-4.5269136,595.6416547298431,2.567485,4.4235864,81,-4.1007996e-07,1.0,246627,-4.5269136,8100,1.0,5.5260754,-168.93637440301117,1.0,-2.3401146,[-1.194  0.1    0.083  0.013  0.072],131.01
1.2834067,0.49846545,1.5453396,100,-4.4983163,622.1636900901794,3.6139023,4.4315886,82,-6.198883e-08,3.5587497,260324,-4.5559473,8200,0.95922685,5.5982385,-177.13900107570976,0.22588682,-2.2512279,[-1.194  0.1    0.083  0.013  0.072],136.97
8.365224,1.5489779,1.8028302,100,-5.4222426,650.6944541931152,3.6991127,4.1445665,83,-1.2397766e-07,21.626434,274938,-5.6111865,8300,0.8313723,4.68111,-173.87532597721906,0.026650902,-9.446377,[-1.196  0.107  0.083 -0.002  0.069],146.14
1.0,,1.6926651,100,-7.155816,686.9183712005615,2.8940554,5.6040387,84,-4.2915346e-08,1.0,292979,-7.155816,8400,1.0,2.8945644,-183.20292875320564,1.0,-2.6351023,[-1.212  0.08   0.078 -0.026  0.066],180.41
3.2331011,1.2033588,1.8017197,100,-7.550579,724.6886322498322,4.366745,4.817936,85,2.3841858e-08,16.449799,311985,-7.6579638,8500,1.1270332,2.6034482,-184.80141530883233,0.026818354,-9.8421135,[-1.212  0.08   0.078 -0.026  0.066],190.06
1.0,,2.0571494,100,-7.87142,759.2400517463684,4.2746105,4.0277634,86,4.720688e-07,1.0,330041,-7.87142,8600,1.0,2.179898,-172.6173536862034,1.0,-12.891054,[-1.217  0.084  0.07  -0.049  0.068],180.56
1.0,,1.8547986,100,-7.63313,795.5642166137695,3.475027,4.811433,87,-2.9563904e-07,1.0,348596,-7.63313,8700,1.0,2.4178565,-179.7402224829788,1.0,-8.177956,[-1.217  0.084  0.07  -0.049  0.068],185.55
2.3352342,0.7300305,1.5169569,100,-7.9520864,830.506632566452,3.3038018,3.4438963,88,4.053116e-07,5.3275595,367500,-8.044502,8800,0.92144406,2.182295,-172.11896778093785,0.01974676,-2.6600528,[-1.217  0.084  0.07  -0.049  0.068],189.04
2.247058,0.8788217,1.5136867,100,-7.778982,865.975114107132,4.788882,3.8831148,89,-6.055832e-07,6.4471436,384776,-7.8690667,8900,1.08475,2.397383,-158.58870798683012,0.033007003,-2.7553344,[-1.217  0.091  0.069 -0.069  0.063],172.76
1.4168316,0.5173522,2.1239774,100,-6.763498,895.6483426094055,3.5670881,4.653382,90,2.3841858e-07,4.937043,399441,-6.8211465,9000,0.97279555,3.313293,-150.54584867599485,0.23699684,-9.466591,[-1.217  0.102  0.079 -0.087  0.061],146.65
1.0,,1.5962585,100,-7.7960606,929.8474745750427,2.5737793,3.4314573,91,8.106232e-08,1.0,416768,-7.7960606,9100,1.0,2.2543318,-157.95895394251318,1.0,-2.841928,[-1.224  0.087  0.074 -0.087  0.06 ],173.27
1.0,,1.5672818,100,-8.029771,965.4592661857605,2.4811842,4.2488184,92,3.528595e-07,1.0,434105,-8.029771,9200,1.0,2.0206306,-153.93859140256177,1.0,-2.6949925,[-1.224  0.087  0.074 -0.087  0.06 ],173.37
1.0,,2.5584722,100,-7.8449907,995.8286929130554,6.611899,4.5461483,93,3.0994414e-07,1.0,450012,-7.8449907,9300,1.0,2.2075014,-148.57821611107315,1.0,-12.691975,[-1.224  0.087  0.074 -0.087  0.06 ],159.07
1.0,,1.7645209,100,-7.425117,1028.0039970874786,3.1449838,3.819911,94,4.053116e-07,1.0,466646,-7.425117,9400,1.0,2.6252742,-154.18698315196932,1.0,-3.0761423,[-1.224  0.087  0.074 -0.087  0.06 ],166.34
1.0,,1.8845477,100,-7.16162,1059.0263576507568,3.5873938,4.564493,95,1.3828277e-07,1.0,482196,-7.16162,9500,1.0,2.889083,-151.0258551645569,1.0,-5.216967,[-1.224  0.087  0.074 -0.087  0.06 ],155.5
1.0,,1.7985574,100,-8.067389,1092.9948823451996,3.2674837,5.3735027,96,-1.3828277e-07,1.0,499718,-8.067389,9600,1.0,1.9837524,-161.09344684868643,1.0,-7.8007774,[-1.224  0.087  0.074 -0.087  0.06 ],175.22
2.2352033,0.931218,1.7378156,100,-7.949439,1126.5102791786194,4.465501,4.5886955,97,1.001358e-06,6.379282,516802,-8.044603,9700,0.99713594,2.1839874,-154.2425723639145,0.02728505,-2.9106417,[-1.224  0.087  0.074 -0.087  0.06 ],170.84
1.0,,2.324393,100,-7.8530684,1156.5065834522247,5.457377,4.8144064,98,-2.193451e-07,1.0,532553,-7.8530684,9800,1.0,2.1990862,-144.55898489225657,1.0,-13.4867935,[-1.226  0.095  0.071 -0.106  0.053],157.51
3.2898657,1.045891,1.5377505,100,-7.992581,1188.2737979888916,3.817443,4.605789,99,2.2411346e-07,8.925628,548726,-8.101905,9900,1.0678144,2.1675801,-145.09711819947537,0.02618551,-2.5852242,[-1.226  0.095  0.071 -0.106  0.053],161.73
1.6583834,0.67311364,1.9538366,100,-7.0085793,1215.6221454143524,5.56861,4.5414257,100,-2.3365021e-07,11.911391,562526,-7.082138,10000,1.1009467,3.1201172,-136.9947459448221,0.101970956,-6.7036467,[-1.229  0.101  0.075 -0.13   0.049],138.0
