InitialBound,MinIW,TimestepsSoFar,ReturnMeanIW,InitialReturnStd,EpLenMean,Iteration,InitialReturnMin,InitialReturnMax,Weights,MaxIW,StdIW,Bound,TimeElapsed,EmpiricalD2,EpRewMean,EpisodesSoFar,InitialReturnMean,MeanIW,J_sample_variance,EpThisIter
-871587500000000.0,0.7255327,51833,200.57278,1.8931223,48.2,12,-2.2860336,5.6039658,[ 0.578 -0.55   0.232  0.409  0.006],1.3266865,0.064875886,-871587500000000.0,114.12117838859558,1.0052167,-144.02934420965983,1200,7.5531007e-06,1.0067611,112.42195,100
-762153800000000.0,0.8855928,56079,228.15851,1.5346543,42.46,13,-1.807869,6.117279,[ 0.575 -0.552  0.235  0.409  0.005],1.1336684,0.03841373,-762153800000000.0,123.09408402442932,1.0017053,-138.87472687401055,1300,2.1362305e-06,1.005592,55.753757,100
-1198206200000000.0,0.8315636,59988,247.64923,1.5567652,39.09,14,-1.8380051,5.8130646,[ 0.575 -0.551  0.237  0.409  0.005],1.2131393,0.06192074,-1198206200000000.0,131.20418071746826,1.0036972,-135.48217105876077,1400,-2.8991699e-06,1.0033233,184.70912,100
-594113600000000.0,0.8944429,64687,205.90144,1.9783051,46.99,15,-2.097252,7.5160522,[ 0.573 -0.548  0.233  0.404  0.005],1.0993899,0.030772936,-594113600000000.0,140.45973658561707,1.0009481,-143.0111390306457,1500,-6.1798096e-06,1.0062265,30.932755,100
-1287135300000000.0,0.9053087,68672,242.75325,1.7436868,39.85,16,-1.9788742,4.9248657,[ 0.573 -0.548  0.235  0.404  0.005],1.1347063,0.039043043,-1287135300000000.0,149.2859182357788,1.0012465,-136.10200042374217,1600,2.822876e-06,1.0050788,70.83682,100
-606621250000000.0,0.9077905,73323,208.27046,1.6916592,46.51,17,-2.0504074,5.5325623,[ 0.573 -0.548  0.236  0.402  0.003],1.1051866,0.032349244,-606621250000000.0,159.3091003894806,1.0013471,-142.7200599008311,1700,2.9754638e-06,1.0062983,31.293163,100
-845049900000000.0,0.8866747,77520,230.5039,1.77506,41.97,18,-2.177597,6.328804,[ 0.573 -0.548  0.238  0.403  0.002],1.1627537,0.04575375,-845049900000000.0,168.857764005661,1.0025507,-138.16492960366944,1800,-6.1035155e-07,1.0054927,83.21625,100
-569840150000000.0,0.9616562,81610,236.17755,1.567875,40.9,19,-2.1456375,5.472801,[ 0.571 -0.546  0.24   0.405  0.002],1.0852662,0.01725864,-569840150000000.0,177.72429203987122,1.0003017,-136.89842163667134,1900,-2.822876e-06,1.0049664,13.149979,100
-513259030000000.0,0.9373036,86082,215.97386,1.8347349,44.72,20,-2.5507278,6.234085,[ 0.57  -0.547  0.241  0.407  0.003],1.1708745,0.026687866,-513259030000000.0,186.83422470092773,1.0005387,-140.5175607533409,2000,7.476807e-06,1.0056355,28.546984,100
-716271000000000.0,0.94485295,90301,229.29631,1.6455187,42.19,21,-2.0447235,4.669113,[ 0.57  -0.548  0.242  0.407  0.003],1.097082,0.024176657,-716271000000000.0,195.71821236610413,1.0006497,-138.36392598198896,2100,-1.0147095e-05,1.0057907,25.281105,100
-754313300000000.0,0.8699386,94763,216.7713,1.7859881,44.62,22,-2.2733078,5.2452164,[ 0.569 -0.548  0.241  0.406  0.003],1.1401744,0.043355547,-754313300000000.0,206.18751978874207,1.0015209,-140.61986162851446,2200,2.4414062e-06,1.0058229,60.624477,100
-880612600000000.0,0.92532074,98625,250.8639,1.3484175,38.62,23,-1.7341919,5.3669662,[ 0.571 -0.546  0.24   0.405  0.001],1.095199,0.026228545,-880612600000000.0,214.64846086502075,1.0007126,-135.14424477463572,2300,2.670288e-06,1.004635,31.791485,100
-645688500000000.0,0.8553358,103050,218.6283,1.7146907,44.25,24,-2.2984695,5.996292,[ 0.571 -0.546  0.239  0.406  0.001],1.0995104,0.030980136,-645688500000000.0,224.15237712860107,1.0010747,-140.33536858393964,2400,1.3122559e-05,1.0048022,35.33962,100
-619382800000000.0,0.7939324,107345,225.3773,1.8063822,42.95,25,-2.0744858,6.54068,[ 0.57  -0.546  0.24   0.406  0.001],1.2518795,0.07869611,-619382800000000.0,233.02967309951782,1.0064551,-139.165056386338,2500,-1.2207031e-06,1.0057701,199.60501,100
-754313300000000.0,0.9130825,111356,241.35522,1.7650506,40.11,26,-2.0676727,6.272911,[ 5.695e-01 -5.479e-01  2.374e-01  4.056e-01 -2.019e-04],1.1350374,0.0381049,-754313300000000.0,241.95679211616516,1.0014088,-136.45621452589472,2600,-1.5258789e-06,1.0034071,61.64812,100
-819300600000000.0,0.90656406,115590,228.0948,1.7529438,42.34,27,-2.2724228,5.4769516,[ 0.57  -0.548  0.236  0.405  0.002],1.1200731,0.03763209,-819300600000000.0,252.19746255874634,1.0015296,-138.2422010305957,2700,-3.3569336e-06,1.0052052,52.211933,100
-1261085300000000.0,0.96631676,119502,247.25874,1.5908239,39.12,28,-2.0498047,4.893936,[ 0.57  -0.548  0.237  0.405  0.002],1.0909759,0.018371115,-1261085300000000.0,260.5582449436188,1.0003676,-135.39544091774596,2800,-2.9754638e-06,1.0050137,20.292658,100
-746551150000000.0,0.9400909,124147,208.38087,1.7981958,46.45,29,-2.1234741,5.4323273,[ 0.569 -0.548  0.238  0.404  0.002],1.0913578,0.027178707,-746551150000000.0,271.06065797805786,1.0009116,-142.53300987092,2900,-3.0517577e-07,1.0061159,21.420887,100
-762153800000000.0,0.8828587,128186,239.3078,1.816082,40.39,30,-2.1586456,6.948227,[ 0.569 -0.547  0.239  0.403  0.002],1.1084815,0.042480998,-762153800000000.0,279.32292127609253,1.0020633,-136.51690603706268,3000,-2.8991699e-06,1.004933,78.28739,100
-836380400000000.0,0.87034535,132589,219.42119,1.8722858,44.03,31,-2.3358536,7.9687576,[ 0.567 -0.547  0.238  0.402 -0.002],1.1360705,0.0377675,-836380400000000.0,288.59278178215027,1.0016584,-139.92026920238385,3100,6.5612794e-06,1.0047231,58.923492,100
-917634000000000.0,0.92606235,136702,235.4549,1.4467059,41.13,32,-1.714714,5.36203,[ 0.567 -0.546  0.237  0.405 -0.003],1.0883769,0.023821574,-917634000000000.0,297.1653037071228,1.0007364,-137.52028309837414,3200,8.392334e-07,1.0049317,23.597698,100
-802560700000000.0,0.928785,140785,236.65364,1.7499955,40.83,33,-2.1376877,5.765526,[ 0.567 -0.546  0.238  0.405 -0.003],1.1280338,0.030811343,-802560700000000.0,306.06602454185486,1.0008849,-136.8878004891818,3300,-7.400513e-06,1.0057298,38.419533,100
-433765120000000.0,0.9001952,145237,217.30807,1.7130343,44.52,34,-2.0910187,6.0417023,[ 0.568 -0.546  0.239  0.404 -0.003],1.18322,0.047384765,-433765120000000.0,316.013662815094,1.0025373,-140.6083154658715,3400,4.9591063e-06,1.0047038,69.770035,100
-513259030000000.0,0.8525481,149342,235.87085,1.7860285,41.05,35,-2.0156937,5.645912,[ 0.568 -0.546  0.237  0.404 -0.002],1.251951,0.059422243,-513259030000000.0,325.06693482398987,1.0043684,-137.45118546635769,3500,-1.0681152e-06,1.0049368,129.16243,100
-723727300000000.0,0.94803274,153504,233.07123,1.4371812,41.62,36,-1.6445312,4.4471207,[ 0.567 -0.548  0.235  0.406 -0.002],1.0478204,0.018477857,-723727300000000.0,335.44468808174133,1.0003147,-138.24354389355702,3600,-5.340576e-07,1.0052359,16.427496,100
-407099550000000.0,0.78084266,157847,222.78029,1.6541227,43.43,37,-2.10672,5.36364,[ 0.567 -0.547  0.235  0.406 -0.002],1.230094,0.07096295,-407099550000000.0,345.3028483390808,1.0068287,-139.64131690349708,3700,6.713867e-06,1.0037102,171.37186,100
-862652600000000.0,0.81594956,162151,224.68661,1.9638417,43.04,38,-2.3257751,6.901535,[ 0.567 -0.552  0.234  0.408 -0.005],1.1991478,0.06590268,-862652600000000.0,354.37007093429565,1.0043212,-139.1032164923932,3800,6.866455e-06,1.0047039,141.17365,100
-398562430000000.0,0.8337077,166702,212.4031,1.8915538,45.51,39,-2.2465897,6.979042,[ 0.567 -0.552  0.237  0.408 -0.004],1.1700633,0.059360564,-398562430000000.0,363.71897768974304,1.0037569,-141.4370529284313,3900,-6.408691e-06,1.0064151,102.29076,100
-731259000000000.0,0.9306521,170746,239.21976,1.8452332,40.44,40,-2.059906,7.1737213,[ 0.567 -0.55   0.239  0.407 -0.002],1.1007276,0.024621407,-731259000000000.0,372.3797559738159,1.0005869,-136.6997307114726,4000,-5.4931643e-06,1.004939,23.930735,100
-1103946450000000.0,0.9285513,174890,233.104,1.6837502,41.44,41,-2.3964767,4.9738083,[ 0.567 -0.551  0.238  0.407 -0.002],1.0787741,0.025297863,-1103946450000000.0,381.2549843788147,1.0007665,-137.42133465132403,4100,-2.9754638e-06,1.0050645,23.578218,100
-936710400000000.0,0.9004061,178785,248.22511,1.6566682,38.95,42,-2.1877747,4.7488403,[ 0.568 -0.55   0.239  0.407 -0.002],1.1219093,0.0404226,-936710400000000.0,389.4774212837219,1.0016516,-135.15155344161366,4200,2.2888185e-06,1.0047209,70.38177,100
-845049900000000.0,0.8903564,183333,212.69507,1.7721423,45.48,43,-2.2319946,4.9880676,[ 0.568 -0.549  0.24   0.408 -0.001],1.2019987,0.053966533,-845049900000000.0,399.47956132888794,1.0029328,-141.50286334517637,4300,-5.1879883e-06,1.007223,73.85162,100
-625860400000000.0,0.8876605,187596,227.0663,1.6677474,42.63,44,-1.8815155,6.031494,[ 0.567 -0.55   0.238  0.407 -0.001],1.1429045,0.04366735,-625860400000000.0,408.59195160865784,1.0022315,-138.9083071209752,4400,7.6293944e-08,1.0049431,72.58455,100
-652431800000000.0,0.86131364,192104,214.44673,1.6321561,45.08,45,-2.2503815,4.3788376,[ 5.678e-01 -5.496e-01  2.357e-01  4.078e-01 -7.178e-05],1.2168097,0.062328655,-652431800000000.0,419.4145121574402,1.0032464,-140.97667070734119,4500,-2.4414062e-06,1.0057358,103.437004,100
-694346560000000.0,0.8898203,196255,233.13757,1.5507071,41.51,46,-1.8800125,4.249359,[ 0.568 -0.549  0.238  0.407  0.001],1.0949763,0.029733535,-694346560000000.0,427.6698567867279,1.0010084,-137.76570104354232,4600,1.5258789e-07,1.004151,32.778217,100
-810888550000000.0,0.9395882,200190,245.18785,1.9928788,39.35,47,-2.231041,5.764099,[ 5.675e-01 -5.486e-01  2.397e-01  4.075e-01  5.445e-04],1.1144803,0.023421712,-810888550000000.0,436.0009551048279,1.000691,-135.2347590329605,4700,-3.6621093e-06,1.0046415,24.610458,100
-594113600000000.0,0.92904437,204419,229.22806,1.5876259,42.29,48,-1.727417,5.6369095,[ 0.569 -0.548  0.239  0.408 -0.001],1.0808786,0.028309418,-594113600000000.0,445.1311421394348,1.0010831,-138.8131104496354,4800,6.790161e-06,1.0047528,31.663788,100
-966053700000000.0,0.60372233,208217,255.19696,1.4847914,37.98,49,-1.8357391,5.081253,[ 0.57  -0.547  0.24   0.41  -0.002],1.3929515,0.11973632,-966053700000000.0,452.5577554702759,1.0154657,-134.54507467379423,4900,3.967285e-06,1.0035653,692.66724,100
-853807000000000.0,0.8761961,212614,220.01381,1.6810924,43.97,50,-2.102539,5.0369797,[ 0.57  -0.543  0.244  0.407 -0.008],1.1163685,0.042447913,-853807000000000.0,461.8580482006073,1.0019135,-140.0631736451939,5000,-1.6021728e-06,1.0054761,53.734226,100
-476903100000000.0,0.9185287,217242,209.30974,1.6869069,46.28,51,-1.9795914,5.622505,[ 0.569 -0.543  0.242  0.408 -0.006],1.1065525,0.03541784,-476903100000000.0,471.4012084007263,1.0012408,-142.51623348267668,5100,5.8746336e-06,1.0056633,37.199677,100
-827797600000000.0,0.94169956,221449,229.75104,1.7195915,42.07,52,-2.2028046,6.2324142,[ 0.569 -0.544  0.241  0.408 -0.006],1.1051203,0.024015777,-827797600000000.0,480.88130617141724,1.0005969,-138.1387753528769,5200,-1.1291504e-05,1.0057906,20.2924,100
-1222979300000000.0,0.92814976,225249,254.62283,1.6630301,38.0,53,-1.9588089,6.1809387,[ 0.569 -0.544  0.242  0.408 -0.006],1.0682209,0.022702236,-1222979300000000.0,489.19323801994324,1.0006489,-134.3636006906143,5300,3.8146973e-07,1.0041025,25.499386,100
-738866600000000.0,0.9443406,229499,227.62665,1.6327254,42.5,54,-2.201332,4.7367325,[ 0.57  -0.543  0.242  0.408 -0.007],1.0531071,0.018527798,-738866600000000.0,498.5118889808655,1.0004383,-138.6797894625213,5400,-3.8146973e-06,1.0053082,14.317442,100
-1048768740000000.0,0.89122456,233927,218.42487,1.7761163,44.28,55,-2.2813263,4.940178,[ 0.57  -0.542  0.242  0.409 -0.007],1.1418202,0.039468326,-1048768740000000.0,508.3800458908081,1.0017014,-140.33305698718047,5500,-1.2512207e-05,1.0058131,50.998383,100
-786153830000000.0,0.933792,238375,217.55472,1.7162011,44.48,56,-2.1875381,7.677414,[ 0.572 -0.54   0.242  0.41  -0.005],1.0954795,0.029854944,-786153830000000.0,517.6195640563965,1.0008781,-140.59975512390508,5600,-7.6293944e-08,1.0056279,27.818384,100
-1115318700000000.0,0.94021636,242402,240.56264,1.5258911,40.27,57,-1.9023743,6.19738,[ 0.572 -0.541  0.241  0.41  -0.006],1.0670217,0.024291884,-1115318700000000.0,526.2972030639648,1.0006704,-136.7392082827885,5700,3.1280517e-06,1.0051739,27.315495,100
-770073600000000.0,0.9125277,246653,227.68431,1.5538691,42.51,58,-2.1667938,4.748352,[ 0.572 -0.54   0.242  0.41  -0.006],1.108722,0.036222875,-770073600000000.0,534.9487788677216,1.0013632,-138.75239203622317,5800,-2.4414062e-06,1.0067915,41.162045,100
-546523150000000.0,0.9104783,251479,200.8107,1.554073,48.26,59,-2.0437698,5.5555496,[ 0.573 -0.538  0.242  0.41  -0.004],1.1253083,0.044103846,-546523150000000.0,543.8578023910522,1.002228,-144.48228047985697,5900,-9.994506e-06,1.0058745,52.470573,100
-429208460000000.0,0.36780038,255903,218.87057,1.6174939,44.24,60,-2.1848755,5.7999268,[ 0.573 -0.539  0.24   0.41  -0.007],1.6062809,0.19452259,-429208460000000.0,553.2742660045624,1.0368927,-140.2120025432406,6000,1.5258789e-07,1.0089649,1154.1577,100
-827797600000000.0,0.9192265,260002,236.48466,1.4672472,40.99,61,-1.9677505,5.795326,[ 0.574 -0.538  0.249  0.414 -0.003],1.0756606,0.027695345,-827797600000000.0,561.4790623188019,1.0009172,-137.526852737885,6100,2.7465821e-06,1.0046244,31.424852,100
-862652600000000.0,0.92358094,264357,222.34232,1.6356007,43.55,62,-1.983429,4.9152985,[ 0.574 -0.538  0.25   0.415 -0.004],1.0864916,0.026832025,-862652600000000.0,570.8577065467834,1.0010425,-139.82648948504772,6200,5.340576e-07,1.0053102,28.490885,100
-746551150000000.0,0.9194856,268631,226.01181,1.8557794,42.74,63,-2.306488,6.3265915,[ 0.574 -0.537  0.252  0.415 -0.003],1.1148082,0.029423641,-746551150000000.0,580.4856486320496,1.0008932,-138.6655341608369,6300,-1.2969971e-06,1.0048975,30.962624,100
-227419440000000.0,0.9420862,272749,234.95734,1.6009334,41.18,64,-2.0487595,5.0397415,[ 0.574 -0.537  0.253  0.416 -0.002],1.1199017,0.025052866,-227419440000000.0,590.147825717926,1.0007836,-137.4333532688795,6400,7.2479247e-06,1.0060157,27.034233,100
-1059583500000000.0,0.9462452,276303,272.09567,1.4273493,35.54,65,-1.8612442,5.4185715,[ 0.573 -0.538  0.254  0.416 -0.003],1.0623491,0.01971655,-1059583500000000.0,597.3196067810059,1.0003597,-131.91979097275834,6500,-9.9182125e-06,1.0041988,21.707298,100
-898937260000000.0,0.9396014,280214,246.96793,1.6212676,39.11,66,-2.0369263,4.7722473,[ 0.573 -0.538  0.255  0.416 -0.003],1.1203861,0.029483216,-898937260000000.0,605.8255743980408,1.0008489,-135.1707248977006,6600,-3.0517579e-06,1.0044326,46.618652,100
-1070507600000000.0,0.9360684,284402,231.03064,1.7256062,41.88,67,-2.15374,5.106346,[ 0.573 -0.537  0.256  0.415 -0.002],1.1051508,0.02871906,-1070507600000000.0,615.6871671676636,1.000834,-138.09276988387134,6700,8.163453e-06,1.0053504,31.27671,100
-632403500000000.0,0.9459806,288702,224.85625,1.9079062,43.0,68,-2.1437302,6.9146576,[ 0.574 -0.538  0.255  0.414 -0.003],1.0730729,0.022433095,-632403500000000.0,624.7283442020416,1.0004822,-139.06899785379602,6800,1.1444092e-06,1.0055921,23.889553,100
-471915100000000.0,0.90924346,293131,217.94234,2.0513592,44.29,69,-2.5110855,8.110977,[ 0.574 -0.537  0.256  0.414 -0.003],1.2760613,0.040223047,-471915100000000.0,633.5943419933319,1.0015879,-140.05161977614182,6900,4.196167e-06,1.0059093,46.88093,100
-845049900000000.0,0.7857452,296999,250.73062,1.1541326,38.68,70,-1.480896,3.6521454,[ 5.723e-01 -5.376e-01  2.565e-01  4.161e-01  1.388e-04],1.219482,0.068368845,-845049900000000.0,642.5296902656555,1.0054026,-135.3948632848422,7000,-9.155273e-07,1.0048641,209.59616,100
-600335970000000.0,0.92030036,301155,232.18234,1.9462419,41.56,71,-2.4542618,7.0798035,[ 5.719e-01 -5.368e-01  2.602e-01  4.172e-01  1.821e-04],1.1481657,0.03651218,-600335970000000.0,652.491183757782,1.0016836,-137.38851240643018,7100,-1.6098022e-05,1.0048496,59.543476,100
-336105750000000.0,0.85007894,305298,233.3371,1.6018943,41.43,72,-2.0459137,4.2421265,[ 0.573 -0.537  0.258  0.419  0.001],1.1474937,0.051063877,-336105750000000.0,661.5962114334106,1.0023619,-137.51517999423575,7200,-9.918213e-07,1.0046077,103.48849,100
-694346560000000.0,0.8912549,309481,230.52736,1.8179609,41.83,73,-2.5920486,4.9650803,[ 0.573 -0.536  0.26   0.418  0.001],1.1180282,0.03311515,-694346560000000.0,670.0659692287445,1.0015996,-137.5359925816316,7300,-2.7465821e-06,1.0051271,45.167747,100
-680093200000000.0,0.9274535,313720,228.10501,1.6890751,42.39,74,-2.1809235,5.286743,[ 5.725e-01 -5.356e-01  2.622e-01  4.184e-01  9.919e-05],1.1012324,0.024460608,-680093200000000.0,678.8249089717865,1.000641,-138.499844296425,7400,-9.918213e-07,1.0049732,25.767733,100
-619382800000000.0,0.9226428,317735,240.64894,1.9099737,40.15,75,-2.238861,6.475342,[ 0.572 -0.536  0.263  0.421 -0.001],1.0763612,0.026474586,-619382800000000.0,688.6799261569977,1.0008235,-136.22708155209025,7500,7.400513e-06,1.0043185,29.652859,100
-819300600000000.0,0.9439787,321668,245.85506,1.532244,39.33,76,-2.0608673,5.2663727,[ 0.571 -0.536  0.264  0.422 -0.001],1.0836852,0.026979476,-819300600000000.0,696.8622214794159,1.0008873,-135.55249112276945,7600,-8.239746e-06,1.00507,30.334373,100
-612969950000000.0,0.9114425,325538,249.78227,1.7146857,38.7,77,-2.080925,6.5503693,[ 0.572 -0.535  0.265  0.423 -0.001],1.1003125,0.033783775,-612969950000000.0,705.1798386573792,1.0010561,-134.8902156691133,7700,-9.155274e-06,1.004674,55.266773,100
-889728900000000.0,0.8306562,329463,246.27246,1.741822,39.25,78,-2.2642517,7.1119995,[ 0.573 -0.533  0.265  0.423 -0.001],1.1588289,0.05793456,-889728900000000.0,714.2034997940063,1.0029182,-135.38971139326034,7800,7.400513e-06,1.0047429,138.13808,100
-1173926000000000.0,0.872561,333542,237.19514,1.6666365,40.79,79,-2.0162964,5.5431976,[ 0.575 -0.531  0.266  0.424 -0.001],1.1537888,0.044093873,-1173926000000000.0,722.0062773227692,1.0024567,-137.06782953078172,7900,3.8146973e-07,1.0048704,70.624,100
-581854900000000.0,0.92963713,337400,250.4339,1.742601,38.58,80,-2.1448364,5.290016,[ 0.574 -0.533  0.264  0.424 -0.002],1.083817,0.026355557,-581854900000000.0,729.5100231170654,1.0008732,-134.71384647476228,8000,-7.476807e-06,1.0050067,30.419592,100
-996295240000000.0,0.9280427,341467,237.8373,1.6395205,40.67,81,-2.152008,4.9397964,[ 0.574 -0.534  0.264  0.424 -0.002],1.0990708,0.032000467,-996295240000000.0,737.7029299736023,1.0012401,-136.89991199196407,8100,-4.653931e-06,1.0053546,38.47328,100
-770073600000000.0,0.9604646,345768,224.52248,1.7602651,43.01,82,-2.4833145,6.123459,[ 0.573 -0.535  0.263  0.423 -0.003],1.0637916,0.02027667,-770073600000000.0,746.8320691585541,1.0005071,-138.87083658825034,8200,-4.272461e-06,1.0051373,20.041737,100
-946393400000000.0,0.93905824,349950,231.16158,1.8183898,41.82,83,-2.2808533,4.6916046,[ 0.573 -0.535  0.262  0.423 -0.002],1.1166569,0.030937873,-946393400000000.0,755.762866973877,1.0008578,-137.89782758827135,8300,-2.822876e-06,1.0055399,38.530556,100
-1126805700000000.0,0.8700185,354059,234.8261,1.9907442,41.09,84,-2.2520828,7.2271194,[ 0.574 -0.535  0.263  0.423 -0.002],1.1234273,0.040449377,-1126805700000000.0,765.7348651885986,1.0017368,-136.93227073575568,8400,-1.15966795e-05,1.0058275,66.772606,100
-673073250000000.0,0.9440118,358019,244.00105,1.7103221,39.6,85,-2.146698,6.147629,[ 0.575 -0.534  0.264  0.422 -0.003],1.0985049,0.021340169,-673073250000000.0,774.4011356830597,1.0003163,-135.68893710010892,8500,-1.9073486e-06,1.0046889,18.166193,100
-1235554000000000.0,0.89288557,362118,235.74881,1.8699801,40.99,86,-2.1938019,6.1921997,[ 0.575 -0.534  0.263  0.423 -0.002],1.1520388,0.04602486,-1235554000000000.0,783.1540265083313,1.002018,-137.0335379120857,8600,1.5258789e-07,1.0057055,80.60364,100
-778073300000000.0,0.8788038,366266,233.06229,1.629273,41.48,87,-2.151146,5.6660767,[ 0.575 -0.531  0.263  0.421 -0.004],1.131273,0.03900001,-778073300000000.0,792.2004261016846,1.0016431,-137.5895333454163,8700,-4.577637e-06,1.0050178,62.3402,100
-619382800000000.0,0.9623867,370275,240.90054,1.9603422,40.09,88,-2.1845245,5.6495743,[ 0.576 -0.53   0.265  0.42  -0.005],1.0680329,0.017936086,-619382800000000.0,800.6673147678375,1.0003122,-136.10980427055804,8800,1.2893677e-05,1.0045619,19.244064,100
-1103946450000000.0,0.93497527,373946,262.87537,1.533825,36.71,89,-2.2031403,4.2348785,[ 0.576 -0.53   0.266  0.42  -0.004],1.1058048,0.02892737,-1103946450000000.0,808.7908799648285,1.0007601,-132.73151111122965,8900,-6.1035157e-06,1.0039092,43.252453,100
-708889250000000.0,0.92445266,378535,210.82747,1.96265,45.89,90,-2.207161,6.4844513,[ 0.576 -0.531  0.264  0.42  -0.004],1.1642225,0.037177954,-708889250000000.0,818.1482784748077,1.0014037,-141.91914828764723,9000,-2.670288e-06,1.0067064,47.48618,100
-569840150000000.0,0.71314466,382512,243.10138,1.5990052,39.77,91,-2.169693,6.5176086,[ 0.576 -0.531  0.263  0.419 -0.004],1.2822382,0.07096266,-569840150000000.0,826.6370897293091,1.0077327,-136.0752887645732,9100,1.2969971e-06,1.0042555,221.8647,100
-1092688000000000.0,0.96505123,386053,273.05707,1.5520933,35.41,92,-2.0927887,5.5731354,[ 0.576 -0.533  0.268  0.417 -0.004],1.0427644,0.013290933,-1092688000000000.0,834.6367576122284,1.0002284,-131.7671777083047,9200,-1.8463135e-05,1.0042174,12.558832,100
-535211540000000.0,0.92725533,390121,237.72797,1.6425146,40.68,93,-2.0698853,5.4157257,[ 0.575 -0.534  0.269  0.417 -0.005],1.0940516,0.021531073,-535211540000000.0,843.3587844371796,1.0008118,-136.90344207309093,9300,-1.5258789e-07,1.0051535,20.904734,100
-1038062050000000.0,0.80617,394010,248.4229,1.6817521,38.89,94,-2.0426025,6.705063,[ 0.574 -0.534  0.27   0.416 -0.005],1.2396609,0.06782552,-1038062050000000.0,852.4468688964844,1.0053447,-135.0452926069923,9400,-7.095337e-06,1.0066675,183.43517,100
-956174200000000.0,0.8997985,398212,229.94328,1.760859,42.02,95,-2.04776,5.242668,[ 0.579 -0.533  0.271  0.412 -0.003],1.105548,0.028832084,-956174200000000.0,862.1752736568451,1.001207,-138.033621724079,9500,-2.8991699e-06,1.004752,28.846315,100
-362199560000000.0,0.94757533,401928,259.62137,1.760171,37.16,96,-2.297882,6.0729523,[ 0.579 -0.534  0.273  0.414 -0.004],1.0974433,0.02448543,-362199560000000.0,871.398246049881,1.000574,-133.1254902022792,9600,-6.790161e-06,1.0045238,32.06134,100
