Weights,EpisodesSoFar,InitialReturnStd,MaxIW,J_sample_variance,ReturnMeanIW,InitialReturnMean,EpThisIter,StdIW,InitialReturnMin,Iteration,Bound,InitialBound,MinIW,TimeElapsed,EpRewMean,TimestepsSoFar,EmpiricalD2,EpLenMean,InitialReturnMax,MeanIW
[ 0.174 -0.771  0.068  0.299 -0.412],1400,1.1489019,5.246093,2.2449815,8.302417,5.76973e-07,100,0.66798776,-1.2948418,14,-1.8248339,-1.8955326,0.14597231,243.51124787330627,-227.1335664373589,119869,1.5241065,133.92,3.3411012,1.0039672
[ 0.173 -0.773  0.057  0.292 -0.411],1500,1.0528597,2.8143249,1.4916867,6.898698,1.335144e-07,100,0.4151702,-2.4672623,15,-3.196682,-3.242567,0.29686472,273.3407955169678,-255.31193968951808,135928,1.1775043,160.59,3.4588852,1.0952746
[ 0.172 -0.773  0.063  0.281 -0.416],1600,1.2469543,1.0,1.570601,7.7624865,-4.005432e-07,100,,-1.3255901,16,-2.2880125,-2.2880125,1.0,300.4308760166168,-234.26227240153455,150203,1.0,142.75,3.1241279,1.0
[ 0.172 -0.773  0.063  0.281 -0.416],1700,1.2346337,4.371276,2.9499335,7.979561,4.1484833e-07,100,0.46464974,-1.4098225,17,-2.142396,-2.2165165,0.20754695,326.7630863189697,-234.24991639383137,164342,1.2355794,141.39,3.1675353,1.0623323
[ 0.169 -0.774  0.07   0.268 -0.419],1800,1.2850326,4.3375454,2.02123,8.694311,1.2397766e-07,100,0.57120055,-1.9309015,18,-1.4399242,-1.5361738,0.18591857,351.13953256607056,-223.3615678060738,177449,1.5546892,131.07,3.1917892,0.9596818
[ 0.168 -0.775  0.058  0.271 -0.417],1900,1.2383013,1.0,1.548879,7.4539924,7.581711e-07,100,,-1.5895786,19,-2.5963912,-2.5963912,1.0,379.2756323814392,-247.27703662068893,192889,1.0,154.4,3.691918,1.0
[ 0.168 -0.775  0.058  0.271 -0.417],2000,1.1189376,1.0,1.2646675,7.3272147,5.0544736e-07,100,,-1.1006298,20,-2.7231774,-2.7231774,1.0,406.4946210384369,-243.7289446192746,207810,1.0,149.21,3.4664598,1.0
[ 0.168 -0.775  0.058  0.271 -0.417],2100,1.2183708,1.0,1.4994218,7.138128,-1.3828277e-07,100,,-1.2539015,21,-2.9122577,-2.9122577,1.0,433.55433082580566,-249.9725863067592,223536,1.0,157.26,3.859744,1.0
[ 0.168 -0.775  0.058  0.271 -0.417],2200,1.122163,1.0,1.2719693,6.854473,-4.863739e-07,100,,-1.2046719,22,-3.195921,-3.195921,1.0,463.2569851875305,-254.70553201533167,239826,1.0,162.9,3.4462147,1.0
[ 0.168 -0.775  0.058  0.271 -0.417],2300,1.2032303,1.0,1.462387,7.4216995,7.4863436e-07,100,,-1.3172379,23,-2.628685,-2.628685,1.0,490.25601863861084,-240.53545212514075,254718,1.0,148.92,4.1463833,1.0
[ 0.168 -0.775  0.058  0.271 -0.417],2400,1.0921887,1.0,1.2049252,7.5055137,7.2479247e-07,100,,-1.100359,24,-2.5448718,-2.5448718,1.0,515.4625074863434,-241.2167292394561,269431,1.0,147.13,3.3168197,1.0
[ 0.168 -0.775  0.058  0.271 -0.417],2500,1.2251015,3.4603243,3.872552,8.420791,-2.0980835e-07,100,0.5919419,-1.349638,25,-1.8232756,-1.9936953,0.054526404,540.148398399353,-233.0046373665213,283389,1.5608274,139.58,4.0900335,1.0671612
[ 0.158 -0.781  0.066  0.245 -0.417],2600,1.1983168,1.0002018,1.4504552,7.3049717,-1.4305115e-07,100,7.332226e-05,-1.4032669,26,-2.7454166,-2.7454252,0.9998178,568.8389458656311,-244.7649295485424,298776,1.0,153.87,3.5238047,1.0000099
[ 0.158 -0.781  0.066  0.245 -0.417],2700,1.2056116,1.0,1.4681808,7.910541,6.8664554e-07,100,,-1.6486177,27,-2.1398473,-2.1398473,1.0,597.5025498867035,-232.0183508827002,312742,1.0,139.66,3.2328548,1.0
[ 0.158 -0.781  0.066  0.245 -0.417],2800,1.3714325,1.0,1.8998255,7.2351403,-7.4863436e-07,100,,-1.2788382,28,-2.8152432,-2.8152432,1.0,623.8039698600769,-243.73583074411337,327941,1.0,151.99,4.137761,1.0
[ 0.158 -0.781  0.066  0.245 -0.417],2900,1.048112,1.0,1.109635,7.0370417,-3.33786e-08,100,,-1.167223,29,-3.013339,-3.013339,1.0,651.6879756450653,-254.1668907071513,343967,1.0,160.26,3.7418323,1.0
[ 0.158 -0.781  0.066  0.245 -0.417],3000,1.1681882,1.0,1.3784479,7.041858,-2.9563904e-07,100,,-1.7748365,30,-3.0085864,-3.0085864,1.0,679.1976182460785,-250.06870242833858,359891,1.0,159.24,3.1576242,1.0
[ 0.158 -0.781  0.066  0.245 -0.417],3100,1.1217346,1.0,1.2709985,7.205534,-1.001358e-07,100,,-1.3692083,31,-2.8448467,-2.8448467,1.0,705.5192544460297,-248.1355537589935,375311,1.0,154.2,2.9653654,1.0
[ 0.158 -0.781  0.066  0.245 -0.417],3200,1.1227833,34.57805,22.708622,8.747927,-2.1457672e-07,100,1.708244,-1.2146282,32,-1.921855,-2.3692217,0.005632961,733.0168685913086,-238.92736844425102,389820,51.871727,145.09,3.5055408,0.82055336
[ 0.147 -0.741  0.037  0.252 -0.409],3300,1.2451133,1.0,1.5659667,6.5195494,2.3365021e-07,100,,-1.2647524,33,-3.5308294,-3.5308294,1.0,765.1231117248535,-268.12589958639563,407420,1.0,176.0,3.369361,1.0
[ 0.147 -0.741  0.037  0.252 -0.409],3400,1.2130014,4.0185084,2.152069,6.2875805,1.14440915e-07,100,0.62420475,-1.1576271,34,-3.838522,-3.9049578,0.09300435,797.9357326030731,-269.37775594489716,425414,1.6864805,179.94,3.2484102,1.1070614
[ 0.148 -0.74   0.047  0.251 -0.409],3500,1.3148599,1.0,1.7463194,7.772825,1.4781952e-07,100,,-1.3270016,35,-2.2775607,-2.2775607,1.0,824.6981427669525,-236.5239585896493,439788,1.0,143.74,3.0924234,1.0
[ 0.148 -0.74   0.047  0.251 -0.409],3600,1.2682464,4.7031684,3.6695669,7.72868,3.3855437e-07,100,0.57232356,-1.5570116,36,-2.433597,-2.567113,0.2551041,853.8381145000458,-242.36003770801787,454782,1.2836845,149.94,3.6530428,1.0291147
[ 0.142 -0.734  0.047  0.226 -0.411],3700,1.1809096,77.220314,9.369646,7.153692,5.626678e-07,100,2.8174293,-1.2945347,37,-3.2891488,-3.5079222,0.009338209,886.5252652168274,-267.0512918104447,472321,6.9076586,175.39,2.9725394,1.2504107
[ 0.151 -0.731  0.062  0.262 -0.401],3800,1.0605003,7.3593187,1.7998266,7.735344,1.0967255e-07,100,0.5737893,-1.1068449,38,-2.3788729,-2.439299,0.18636769,914.5412285327911,-238.90617640978027,486811,1.4807861,144.9,2.631444,1.0279964
[ 0.152 -0.741  0.053  0.261 -0.388],3900,1.1196263,28.163479,2.5421362,7.30922,-7.152558e-08,100,1.2267287,-1.2450523,39,-2.84724,-2.9468746,0.019702204,945.3079421520233,-251.23263504930802,502674,2.0919795,158.63,3.0788574,1.0453289
[ 0.152 -0.743  0.039  0.258 -0.389],4000,1.2502851,1.0,1.5790027,6.585962,1.7166138e-07,100,,-1.7260971,40,-3.4645581,-3.4645581,1.0,975.9922196865082,-269.3627129756303,520337,1.0,176.63,3.774819,1.0
[ 0.152 -0.743  0.039  0.258 -0.389],4100,1.2434328,1.0,1.5617423,7.1424694,-2.8610229e-08,100,,-1.7752762,41,-2.9079132,-2.9079132,1.0,1003.317981004715,-251.45347129817117,536251,1.0,159.14,3.294221,1.0
[ 0.152 -0.743  0.039  0.258 -0.389],4200,1.3043176,3.9137468,2.4548843,6.4694743,-4.7683716e-07,100,0.5821124,-4.3097286,42,-3.65585,-3.7709036,0.17425425,1037.4100720882416,-268.05287942824225,554051,1.5029852,178.0,3.6711435,1.0553045
[ 0.145 -0.75   0.032  0.242 -0.391],4300,1.297406,2.6255412,1.9119725,6.5909753,1.5735627e-07,100,0.34618637,-1.4531393,43,-3.4916196,-3.5997438,0.14361049,1070.6103913784027,-273.0267198610281,572251,1.2286425,182.0,4.1243877,0.9572362
[ 0.145 -0.753  0.036  0.24  -0.411],4400,1.210111,1.0,1.4791601,5.7876315,4.720688e-07,100,,-1.2929258,44,-4.262749,-4.262749,1.0,1105.1839663982391,-286.6104703941687,592050,1.0,197.99,3.4210844,1.0
[ 0.145 -0.753  0.036  0.24  -0.411],4500,1.1687878,1.0,1.3798635,6.3262773,2.7656554e-07,100,,-1.270751,45,-3.7241044,-3.7241044,1.0,1138.5157341957092,-269.35760329632564,609975,1.0,179.25,2.9449153,1.0
[ 0.145 -0.753  0.036  0.24  -0.411],4600,1.2347497,3.9259279,2.3511262,6.1313367,2.4318695e-07,100,0.5390346,-1.2176085,46,-4.02056,-4.122125,0.16900125,1174.0364184379578,-285.7160506429262,629448,1.5478697,194.73,3.1049147,1.0409613
[ 0.141 -0.753  0.03   0.219 -0.417],4700,1.3195755,1.0,1.758868,6.5380836,4.5776366e-07,100,,-1.6774273,47,-3.5122943,-3.5122943,1.0,1208.3481452465057,-274.9848611015585,647989,1.0,185.41,3.0375357,1.0
[ 0.141 -0.753  0.03   0.219 -0.417],4800,1.2080995,4.3704424,2.1141193,5.8956223,7.4386594e-07,100,0.70320356,-1.1908836,48,-4.236245,-4.307176,0.054263927,1242.8589062690735,-278.4960645978266,667141,1.8914077,191.52,3.8707638,1.0801438
[ 0.139 -0.755  0.041  0.214 -0.417],4900,1.3085076,17.710714,4.4332194,6.797039,2.479553e-07,100,1.3387299,-1.4085054,49,-3.436595,-3.5812778,0.06604493,1276.0990912914276,-271.11995351218116,685148,4.0878644,180.07,3.862914,1.1290723
[ 0.152 -0.726  0.033  0.193 -0.392],5000,1.3650635,22.069016,4.173068,7.2140265,6.532669e-07,100,1.0718685,-3.8238564,50,-2.9674635,-3.1231976,0.07506268,1305.72687625885,-255.39764434779502,701711,1.619733,165.63,3.4686933,1.103475
[ 0.147 -0.738  0.041  0.175 -0.396],5100,1.160042,4.5646963,2.087718,7.4584336,-6.198883e-07,100,0.60884815,-1.2813292,51,-2.7103515,-2.8485198,0.0073646926,1335.2713468074799,-246.34547573121887,717205,2.128831,154.94,3.3565302,0.97054756
[ 0.147 -0.739  0.055  0.167 -0.398],5200,1.2354616,1.0,1.5417832,6.720433,4.1484833e-07,100,,-1.2650023,52,-3.3299475,-3.3299475,1.0,1367.2515654563904,-259.7600241462136,734020,1.0,168.15,3.4178562,1.0
[ 0.147 -0.739  0.055  0.167 -0.398],5300,1.2710739,4.8655257,2.0322683,6.675972,2.670288e-07,100,0.53407794,-1.2699661,53,-3.4424934,-3.515769,0.14755934,1397.3213348388672,-258.70286264270703,750956,1.406624,169.36,3.9141788,1.0052925
[ 0.148 -0.743  0.047  0.176 -0.403],5400,1.1164252,1.0,1.258995,6.399692,5.8174135e-07,100,,-1.123744,54,-3.6506915,-3.6506915,1.0,1429.9698886871338,-264.0080375651057,768265,1.0,173.09,3.5608726,1.0
[ 0.148 -0.743  0.047  0.176 -0.403],5500,1.1083164,1.0,1.2407727,6.1750937,-2.3365021e-07,100,,-1.388195,55,-3.8752975,-3.8752975,1.0,1459.9519670009613,-263.43439484406275,785716,1.0,174.51,3.9285326,1.0
[ 0.148 -0.743  0.047  0.176 -0.403],5600,1.2259378,1.0,1.5181047,6.894796,4.529953e-07,100,,-1.073576,56,-3.1555867,-3.1555867,1.0,1489.5342798233032,-253.4184639355364,801750,1.0,160.34,3.6318903,1.0
[ 0.148 -0.743  0.047  0.176 -0.403],5700,1.1364852,1.0,1.3046448,6.2214694,4.7683715e-09,100,,-1.3625164,57,-3.8289132,-3.8289132,1.0,1522.3409769535065,-269.88365704865464,819800,1.0,180.5,2.9581919,1.0
[ 0.148 -0.743  0.047  0.176 -0.403],5800,1.3588359,2.1030612,2.2521822,7.0211115,-5.865097e-07,100,0.2951953,-1.3503752,58,-3.0510683,-3.0768204,0.33107603,1551.5839622020721,-253.7796731784828,836095,1.1244248,162.95,3.6722116,0.9914787
[ 0.147 -0.751  0.043  0.182 -0.41 ],5900,1.270937,1.0,1.6315964,6.419146,-7.2479247e-07,100,,-1.3086166,59,-3.6312356,-3.6312356,1.0,1585.002244234085,-273.5875366600978,854225,1.0,181.3,3.283836,1.0
[ 0.147 -0.751  0.043  0.182 -0.41 ],6000,1.2811108,1.0,1.6578227,6.70567,7.6293946e-07,100,,-1.3957815,60,-3.3447099,-3.3447099,1.0,1616.103221654892,-264.0822117824196,871524,1.0,172.99,3.1132278,1.0
[ 0.147 -0.751  0.043  0.182 -0.41 ],6100,1.3891066,3.335537,2.4098945,6.619667,5.340576e-07,100,0.48459697,-1.4536953,61,-3.4815187,-3.542696,0.10593685,1648.8255097866058,-262.9365250809078,888996,1.3872186,174.72,4.125394,1.0265137
[ 0.146 -0.752  0.052  0.179 -0.409],6200,1.1731782,1.0,1.3902491,6.799445,-2.7656554e-07,100,,-1.2358179,62,-3.2509365,-3.2509365,1.0,1678.2881321907043,-259.1512452568011,905638,1.0,166.42,3.6826744,1.0
[ 0.146 -0.752  0.052  0.179 -0.409],6300,1.1500968,1.0014,1.3362668,6.9687657,-4.053116e-07,100,0.00031070368,-1.3713303,63,-3.081615,-3.0816755,0.9991428,1707.4808011054993,-257.25963684676094,922166,1.0,165.28,2.6700659,1.0000147
[ 0.146 -0.752  0.052  0.179 -0.409],6400,1.2899022,1.0,1.6806542,7.221449,6.294251e-07,100,,-1.502655,64,-2.8289318,-2.8289318,1.0,1735.8312242031097,-251.97122750124979,938206,1.0,160.4,2.7518926,1.0
[ 0.146 -0.752  0.052  0.179 -0.409],6500,1.2715375,9.54657,2.3601606,6.963925,-1.14440915e-07,100,0.9863153,-1.3780594,65,-3.1781535,-3.2707214,0.018990101,1767.0040984153748,-251.1085201091186,954484,1.9184515,162.78,2.9857464,1.1504087
[ 0.142 -0.757  0.048  0.183 -0.448],6600,1.2868981,1.0,1.6728348,6.6022396,1.001358e-07,100,,-1.3100586,66,-3.448141,-3.448141,1.0,1797.8555481433868,-258.07439705948707,971324,1.0,168.4,3.0829744,1.0
[ 0.142 -0.757  0.048  0.183 -0.448],6700,1.3381145,1.0,1.8086364,7.1997952,-4.7683716e-07,100,,-1.5202036,67,-2.8505874,-2.8505874,1.0,1826.6507551670074,-249.54917380146443,987255,1.0,159.31,3.8118734,1.0
[ 0.142 -0.757  0.048  0.183 -0.448],6800,1.23115,1.0,1.5310404,6.8201504,-5.197525e-07,100,,-1.2039471,68,-3.2302322,-3.2302322,1.0,1857.4631967544556,-258.3990645860785,1003831,1.0,165.76,3.0184088,1.0
[ 0.142 -0.757  0.048  0.183 -0.448],6900,1.1724421,2.6979213,1.8860741,6.2056556,4.053116e-07,100,0.41860926,-1.2173328,69,-3.8990512,-3.958065,0.12752055,1890.9660086631775,-279.45510994974813,1022642,1.3075505,188.11,3.2184405,1.0062269
[ 0.145 -0.762  0.053  0.198 -0.45 ],7000,1.327745,1.0,1.7807137,6.5477085,7.2956084e-07,100,,-1.3036299,70,-3.5026712,-3.5026712,1.0,1922.4422929286957,-264.179793129418,1040005,1.0,173.63,3.1141605,1.0
[ 0.145 -0.762  0.053  0.198 -0.45 ],7100,1.2546332,1.0,1.5900038,6.5370836,6.389618e-07,100,,-1.1854239,71,-3.5132952,-3.5132952,1.0,1954.6855618953705,-267.2161164265725,1057438,1.0,174.33,3.4317718,1.0
[ 0.145 -0.762  0.053  0.198 -0.45 ],7200,1.0590895,4.756555,2.6666245,6.898187,7.8201293e-07,100,0.68680334,-1.1654377,72,-3.3097367,-3.4455066,0.1398538,1985.1575632095337,-261.40560114200485,1074364,1.8585773,169.26,3.5927386,1.0545629
[ 0.151 -0.755  0.045  0.172 -0.452],7300,1.1014692,1.0,1.225489,6.70725,4.196167e-07,100,,-1.2270813,73,-3.3431306,-3.3431306,1.0,2017.5390758514404,-258.72025187845475,1091059,1.0,166.95,3.7355633,1.0
[ 0.151 -0.755  0.045  0.172 -0.452],7400,1.192059,12.966991,3.161877,6.7155247,-1.2874604e-07,100,1.2343163,-1.3082676,74,-3.45712,-3.5375514,0.11480637,2050.6544167995453,-267.48031159246534,1108670,1.6453098,176.11,3.012846,1.2089899
[ 0.151 -0.754  0.038  0.19  -0.437],7500,1.2835349,1.0,1.6641026,5.9938083,-7.2956084e-07,100,,-1.2309189,75,-4.056581,-4.056581,1.0,2087.8067219257355,-284.1101790409679,1127932,1.0,192.62,3.8634596,1.0
[ 0.151 -0.754  0.038  0.19  -0.437],7600,1.2119954,1.0,1.4837703,6.1867137,-4.2915346e-08,100,,-1.276968,76,-3.8636642,-3.8636642,1.0,2121.6306822299957,-274.6158262486431,1146361,1.0,184.29,3.1343088,1.0
[ 0.151 -0.754  0.038  0.19  -0.437],7700,1.3360146,1.0,1.8029648,6.0165124,1.7166138e-07,100,,-1.3881102,77,-4.0338683,-4.0338683,1.0,2155.4940152168274,-278.11210163747836,1165387,1.0,190.26,3.8382692,1.0
[ 0.151 -0.754  0.038  0.19  -0.437],7800,1.322136,1.0,1.7657006,6.4594827,-1.14440915e-07,100,,-1.3157148,78,-3.590898,-3.590898,1.0,2185.7301762104034,-270.1670115211366,1183251,1.0,178.64,3.5592065,1.0
[ 0.151 -0.754  0.038  0.19  -0.437],7900,1.1951185,1.0,1.4427353,6.469657,-2.2888183e-07,100,,-1.4041023,79,-3.5807219,-3.5807219,1.0,2215.5311241149902,-264.0350617255911,1200733,1.0,174.82,3.1501884,1.0
[ 0.151 -0.754  0.038  0.19  -0.437],8000,1.2885932,7.6871643,2.2991939,5.956993,-6.4849854e-07,100,0.89569426,-1.3084211,80,-4.1723137,-4.24016,0.087927245,2251.5806007385254,-287.88190624393917,1220605,1.8645389,198.72,3.0748053,1.1340612
[ 0.148 -0.756  0.027  0.193 -0.437],8100,1.3121537,1.0,1.7391385,6.2857733,-3.33786e-08,100,,-1.5506344,81,-3.7646055,-3.7646055,1.0,2286.5724420547485,-274.86641150517846,1239301,1.0,186.96,3.5016813,1.0
[ 0.148 -0.756  0.027  0.193 -0.437],8200,1.2454329,1.0,1.5667704,5.740432,6.198883e-08,100,,-1.2637796,82,-4.309946,-4.309946,1.0,2321.5959022045135,-288.1316628172398,1259216,1.0,199.15,3.6932306,1.0
[ 0.148 -0.756  0.027  0.193 -0.437],8300,1.2439947,1.0,1.5631545,6.2115726,-2.8610229e-08,100,,-1.2999563,83,-3.8388052,-3.8388052,1.0,2355.198837518692,-277.9026045844124,1277885,1.0,186.69,3.4509106,1.0
[ 0.148 -0.756  0.027  0.193 -0.437],8400,1.1832892,1.0,1.4143165,5.455331,7.200241e-07,100,,-1.229064,84,-4.595047,-4.595047,1.0,2392.457108974457,-294.14476678257137,1298563,1.0,206.78,3.2972822,1.0
[ 0.148 -0.756  0.027  0.193 -0.437],8500,1.3099147,15.262114,2.962498,6.679191,1.039505e-06,100,0.9264416,-1.6712208,85,-3.456161,-3.5589776,0.06393522,2424.011029481888,-271.0749180095196,1316908,1.866814,183.45,3.8036208,1.0874869
[ 0.148 -0.757  0.016  0.19  -0.438],8600,1.1451473,5.2678814,1.80815,6.2286816,-8.6784365e-07,100,0.54399484,-1.2896605,86,-3.876297,-3.9837747,0.11476187,2459.343028306961,-281.015300657702,1335949,1.4008406,190.41,3.2996788,1.0897855
[ 0.147 -0.764  0.01   0.2   -0.454],8700,1.1420609,3.4524262,1.6594774,5.710164,2.6226044e-07,100,0.33962312,-1.1535721,87,-4.369542,-4.478624,0.26136926,2495.491626262665,-286.1177043409261,1355820,1.2025098,198.71,3.1492224,1.012663
[ 0.146 -0.776  0.005  0.196 -0.462],8800,1.1818528,1.0,1.4108851,5.506306,9.059906e-08,100,,-1.2261333,88,-4.5440717,-4.5440717,1.0,2533.744733572006,-298.5148509472956,1376735,1.0,209.15,3.7670145,1.0
[ 0.146 -0.776  0.005  0.196 -0.462],8900,1.283323,1.0,1.6635532,6.0883417,-8.72612e-07,100,,-1.4260178,89,-3.9620361,-3.9620361,1.0,2569.2778408527374,-285.1210139952276,1396193,1.0,194.58,3.1000466,1.0
[ 0.146 -0.776  0.005  0.196 -0.462],9000,1.1833978,1.0,1.4145756,6.1300073,1.04904174e-07,100,,-1.2684479,90,-3.9203706,-3.9203706,1.0,2604.209011554718,-282.0764995914171,1415223,1.0,190.3,3.2650962,1.0
[ 0.146 -0.776  0.005  0.196 -0.462],9100,1.2240844,1.0,1.5135176,5.37633,-4.005432e-07,100,,-1.2549591,91,-4.674048,-4.674048,1.0,2643.1015236377716,-309.49581737862934,1437152,1.0,219.29,3.601635,1.0
[ 0.146 -0.776  0.005  0.196 -0.462],9200,1.2116593,1.0,1.482948,5.7356176,-8.010864e-07,100,,-1.2771978,92,-4.31476,-4.31476,1.0,2679.3807678222656,-295.2797454609061,1457605,1.0,204.53,3.2498226,1.0
[ 0.146 -0.776  0.005  0.196 -0.462],9300,1.3365937,6.1028194,2.6283467,5.940724,8.4400176e-07,100,0.63287383,-1.434598,93,-4.1773295,-4.23541,0.06429561,2715.026469230652,-293.4135678391357,1478026,1.6544108,204.21,3.8016024,1.0446795
[ 0.146 -0.773 -0.004  0.194 -0.461],9400,1.2640897,1.0,1.6140633,5.4971123,5.483627e-07,100,,-1.3013697,94,-4.5532656,-4.5532656,1.0,2753.887349128723,-299.5749048318793,1499159,1.0,211.33,3.5172024,1.0
[ 0.146 -0.773 -0.004  0.194 -0.461],9500,1.3014853,1.0,1.7109737,5.981491,7.152558e-08,100,,-1.2113047,95,-4.0688868,-4.0688868,1.0,2789.4530725479126,-285.8729300039481,1518530,1.0,193.71,3.6594696,1.0
[ 0.146 -0.773 -0.004  0.194 -0.461],9600,1.4482617,4.7097178,3.0408702,6.3722415,2.0503998e-07,100,0.54973954,-1.4393988,96,-3.7345004,-3.7900538,0.22860986,2822.79839015007,-281.11439989219207,1537506,1.2751191,189.76,4.0036764,1.0296597
[ 1.461e-01 -7.737e-01  3.197e-04  1.787e-01 -4.665e-01],9700,1.1993212,1.0,1.4529002,5.638866,7.2479247e-07,100,,-1.2852869,97,-4.411512,-4.411512,1.0,2859.875133037567,-295.8759887781894,1558149,1.0,206.43,3.8778958,1.0
[ 1.461e-01 -7.737e-01  3.197e-04  1.787e-01 -4.665e-01],9800,1.3990589,4.796228,2.6485615,6.1838617,2.3841858e-07,100,0.62956554,-1.3737717,98,-3.9213352,-3.972776,0.09328924,2894.5034408569336,-277.3813153837724,1577052,1.4296347,189.03,4.2946787,1.1028223
[ 0.147 -0.775 -0.007  0.169 -0.466],9900,1.0875671,1.0,1.1947495,5.3462567,7.724762e-07,100,,-1.1421614,99,-4.704121,-4.704121,1.0,2931.3858602046967,-297.3397876967615,1598028,1.0,209.76,3.5015874,1.0
[ 0.147 -0.775 -0.007  0.169 -0.466],10000,1.2171775,13.597759,2.2056248,5.8787055,-7.6293944e-08,100,1.3239353,-1.2203035,100,-4.3276134,-4.4755073,0.011407306,2966.5118787288666,-287.98061101586467,1618119,3.824819,200.91,3.431076,1.0787768
[ 0.146 -0.776  0.007  0.171 -0.466],10100,1.2822496,1.0,1.6607718,6.223908,-6.3419344e-07,100,,-1.4031057,101,-3.82647,-3.82647,1.0,2999.620089530945,-277.9658593238991,1636924,1.0,188.05,4.2042475,1.0
[ 0.146 -0.776  0.007  0.171 -0.466],10200,1.2897077,1.0,1.6801474,5.81342,5.6743625e-07,100,,-1.5773029,102,-4.236958,-4.236958,1.0,3037.113274335861,-295.3983409737086,1657702,1.0,207.78,3.0472465,1.0
[ 0.146 -0.776  0.007  0.171 -0.466],10300,1.202204,1.0,1.4598932,5.8740487,-5.912781e-07,100,,-1.236126,103,-4.176329,-4.176329,1.0,3074.007651567459,-284.5080266710269,1677169,1.0,194.67,2.9569302,1.0
