TimestepsSoFar,MaxIW,TimeElapsed,EpThisIter,Weights,StdIW,EpLenMean,InitialBound,J_sample_variance,Bound,InitialReturnMax,MinIW,MeanIW,InitialReturnMin,InitialReturnStd,EpRewMean,EpisodesSoFar,Iteration,EmpiricalD2,InitialReturnMean,ReturnMeanIW
168313,1.3670218,408.6432089805603,100,[-0.816 -0.497 -0.47  -0.748  0.007],0.0942664,38.75,-1027462300000000.0,414.7161,-1027462300000000.0,50.229527,0.7626917,1.0059676,-18.454185,13.327593,-107.89297939264064,4700,47,1.0086341,-2.632141e-06,200.0746
172073,1.1256375,418.01556730270386,100,[-0.818 -0.499 -0.468 -0.746  0.007],0.031454194,37.6,-1248255500000000.0,288.22266,-1248255500000000.0,68.143936,0.9427902,1.005547,-18.182709,15.077721,-106.5651042842369,4800,48,1.0009396,1.1825562e-06,205.29886
175524,1.1257254,425.9024066925049,100,[-0.818 -0.499 -0.467 -0.746  0.007],0.038251568,34.51,-1578569900000000.0,148.97041,-1578569900000000.0,27.5918,0.90934706,1.005813,-14.589561,10.888471,-107.65908412929646,4900,49,1.0017715,6.8664554e-07,231.01701
178958,1.066532,434.16543650627136,100,[-0.817 -0.498 -0.467 -0.746  0.007],0.023534287,34.34,-1440156600000000.0,191.65173,-1440156600000000.0,27.999,0.9402254,1.004428,-14.616272,11.879168,-107.86965951135,5000,50,1.0007677,7.209778e-06,232.84668
182607,1.3645099,443.14067244529724,100,[-0.818 -0.498 -0.467 -0.748  0.006],0.086992614,36.49,-1440156600000000.0,446.62836,-1440156600000000.0,46.407055,0.7773151,1.0073731,-16.316284,12.5966425,-107.76562607760266,5100,51,1.0065827,3.0517577e-07,215.9334
186253,1.274047,451.12608194351196,100,[-0.82  -0.499 -0.468 -0.745  0.009],0.07933358,36.46,-1484910600000000.0,278.85254,-1484910600000000.0,29.377445,0.78603137,1.0060719,-16.538345,11.483807,-107.86053689324241,5200,52,1.0069249,6.8664554e-07,216.14246
189866,1.0947104,459.92853116989136,100,[-0.82  -0.498 -0.469 -0.748  0.009],0.031534653,36.13,-1340832400000000.0,200.61247,-1340832400000000.0,35.29037,0.9232135,1.0045848,-15.694405,11.209384,-108.40046126605705,5300,53,1.0009959,-2.8991699e-06,219.53427
193635,1.1710541,469.2313013076782,100,[-0.82  -0.498 -0.467 -0.748  0.009],0.063120015,37.69,-1531034400000000.0,240.24069,-1531034400000000.0,49.217896,0.81527364,1.0051109,-17.239532,12.215958,-108.07086413779176,5400,54,1.0040852,-3.2806397e-06,207.78168
197576,1.2619705,478.06366443634033,100,[-0.822 -0.499 -0.466 -0.746  0.009],0.074665524,39.41,-1235554000000000.0,224.8689,-1235554000000000.0,33.39451,0.828679,1.0060558,-17.024529,11.868824,-109.17781877051142,5500,55,1.0062486,1.3732911e-06,198.35374
201033,1.0896229,486.71180033683777,100,[-0.823 -0.499 -0.467 -0.75   0.009],0.030586688,34.57,-1500130900000000.0,152.94945,-1500130900000000.0,27.237206,0.8874643,1.0048571,-14.522743,11.036742,-107.93989771144562,5600,56,1.0008849,2.632141e-06,231.16605
204465,1.2148149,495.0477361679077,100,[-0.823 -0.5   -0.467 -0.749  0.009],0.039066415,34.32,-1313714000000000.0,202.90149,-1313714000000000.0,30.095959,0.89394844,1.0045379,-14.318703,11.121387,-107.17928419585412,5700,57,1.0015668,-2.5558472e-06,231.69696
207869,1.115528,503.4545624256134,100,[-0.824 -0.5   -0.465 -0.751  0.01 ],0.035789564,34.04,-1411061800000000.0,193.09973,-1411061800000000.0,40.42257,0.8961256,1.0049521,-13.96637,11.491093,-107.60536308130264,5800,58,1.0014348,4.196167e-06,234.81873
211827,1.2026595,512.7837200164795,100,[-0.824 -0.499 -0.465 -0.752  0.01 ],0.065861434,39.58,-1411061800000000.0,239.833,-1411061800000000.0,43.248856,0.7953112,1.0068129,-17.780106,12.644567,-107.74514019244396,5900,59,1.004679,-2.822876e-06,194.74529
215209,1.1522511,520.9011669158936,100,[-0.822 -0.499 -0.468 -0.75   0.008],0.03522621,33.82,-1578569900000000.0,214.19028,-1578569900000000.0,35.841125,0.92263436,1.0052824,-15.112846,12.156888,-107.89725058638481,6000,60,1.0011567,-6.3705443e-06,237.3447
219049,1.1690644,529.7214787006378,100,[-0.822 -0.5   -0.467 -0.75   0.011],0.04735194,38.4,-1300357700000000.0,267.84576,-1300357700000000.0,40.55455,0.9054642,1.0058595,-16.92772,12.372122,-107.98379885837578,6100,61,1.0018653,-2.861023e-06,202.61388
