BatchSize,MinNormIw,MinVanillaIw,AvgNormIw,J,AvgEpLen,VarVanillaIw,MaxVanillaIw,ESSClassic,VarRet,Bound,MaxNormIw,AvgVanillaIw,VarDiscRet,VarJ,AvgDiscRet,VarNormIw,eRenyi2,AvgRet,ESSRenyi
100,0.00064742094,0.06401715,0.01,-7.565083,200.0,0.092830025,1.2557987,91.40808959240795,50.579413772525065,-9.572893,0.012700196,0.98880255,50.579413772525065,7.2128477,-7.722662138777862,9.494439e-06,1.0739918,-7.722662138777862,93.11058266927849
100,8.4179247e-10,7.147484e-08,0.01,-6.554428,200.0,0.7562711,2.4214096,49.05510018701143,46.67606514010823,-9.1865225,0.02851807,0.8490791,46.67606514010823,9.014605,-7.746913084955185,0.0001049014,1.7903363,-7.746913084955185,55.85542935283045
100,0.009186904,0.8986162,0.01,-7.011076,200.0,0.013973402,1.6200533,98.57472816266703,51.30803324869472,-9.014479,0.016562438,0.9781491,51.30803324869472,7.13566,-7.07615138231571,1.4604682e-06,1.0278013,-7.07615138231571,97.29507289758476
100,0.007548263,0.7331362,0.01,-7.317662,200.0,0.07762428,2.851801,92.46738179691596,51.11873574684128,-9.332366,0.029361725,0.9712648,51.11873574684128,7.292393,-7.435372719422535,8.228531e-06,1.0801371,-7.435372719422535,92.58083708951271
100,0.0078111645,0.80695677,0.01,-8.675676,200.0,0.28900746,5.420287,78.85897185219947,45.311487863308834,-10.815314,0.05246719,1.0330813,45.311487863308834,6.8211303,-9.132927217228922,2.7079466e-05,1.184242,-9.132927217228922,84.44219943705254
100,0.00083077495,0.07831492,0.01,-8.487709,200.0,0.1348764,1.4664716,86.93671835882044,50.77615228127642,-10.589815,0.015556523,0.9426731,50.77615228127642,7.825633,-8.775526929917891,1.5177974e-05,1.1251268,-8.775526929917891,88.87886819672465
100,0.0053477976,0.5570827,0.009999999,-6.603645,200.0,0.711851,6.901316,60.62686755875774,47.581227785565524,-8.955239,0.0662502,1.0417049,47.581227785565524,7.8722663,-7.457834328490785,6.559936e-05,1.5295424,-7.457834328490785,65.37902903747035
100,1.6991702e-08,1.6000447e-06,0.01,-7.3745575,200.0,0.6232023,2.2130709,58.96980629233571,58.95979341514452,-9.916267,0.023501744,0.9416624,58.95979341514452,9.740523,-8.153996755228144,7.028112e-05,1.6531341,-8.153996755228144,60.49116011876407
100,1.1899601e-32,1.0925437e-30,0.01,-5.0556765,200.0,1.7959578,4.1118445,32.16258088614108,49.42544063620348,-8.466154,0.044784766,0.9181347,49.42544063620348,8.232568,-7.028029699296975,0.00021305085,2.952109,-7.028029699296975,33.874086853033866
100,3.831494e-05,0.003986028,0.01,-7.1433973,200.0,0.23580234,1.5851213,82.25752785195424,50.96920165572248,-9.338713,0.015236679,1.0403324,50.96920165572248,7.532163,-7.793914153888076,2.1787315e-05,1.2519611,-7.793914153888076,79.87468543528595
