ESSClassic,ReturnMeanIW,EpRewMean,LearnableVariance,OptimizationReturnMax,MaxIWNorm,EmpiricalD2,Bound,StdIW,InitialBound,MaxIW,TimestepsSoFar,InitialReturnStd,ReturnStepMaxmin,InitialReturnMean,VarianceInit,EpThisIter,OptimizationReturnMin,Iteration,InitialReturnMin,EpLenMean,MinIW,MinIWNorm,ESSRenyi,MeanEntropy,ReturnStepMax,InitialReturnMax,StdIWNorm,Weights,J_sample_variance,MeanIW,OptimizationReturnMean,EpisodesSoFar,TimeElapsed,MeanIWNorm
6.9478936,1246.7042,660.1774879227695,True,1329.7368,0.56025684,8.167907,588.46814,4.8057923,429.86032,28.012842,52700,233.04634,10.0,660.1774,-1,50,,27,,67.04,0.0055595385,0.00011119077,6.1215196,0.45103887,10.0,1329.7368,0.09611584,[-1.371  0.975 -1.708 -2.354 -0.858],9588300.0,1.9306091,660.1774,1350,397.6074137687683,0.038612183
30.054289,774.219,627.9737252569024,True,739.8823,0.107748084,1.7515713,519.8345,0.9557235,435.76337,5.3874044,55891,203.42253,10.0,627.97375,-1,50,,28,369.8445,63.82,0.19962811,0.003992562,28.545797,0.5094584,10.0,1109.7268,0.01911447,[-1.464  1.052 -1.679 -2.287 -0.968],439116.0,1.1731696,258.12924,1400,422.53175044059753,0.02346339
47.31863,695.7676,652.7685053160511,True,1219.9735,0.032914963,1.0912023,402.6999,0.25056314,372.2152,1.6457481,59206,234.34592,9.999999,652.7685,-1,50,,29,399.80136,66.3,0.5414399,0.010828798,45.82102,0.48601267,9.999999,1619.7749,0.005011262,[-1.463  1.055 -1.69  -2.319 -0.909],261025.4,1.0525794,252.96715,1450,444.8461298942566,0.021051586
5.5255313,1325.0345,595.9789234127715,True,1069.7717,0.67162603,9.753209,740.97314,5.216561,408.9604,33.581303,62237,173.20619,9.999998,595.9789,-1,50,,30,9.980409,60.62,0.00639328,0.0001278656,5.126518,0.41882095,9.999998,1079.7522,0.104331225,[-1.473  1.056 -1.705 -2.342 -0.933],19955556.0,1.8387215,585.99854,1500,465.1671552658081,0.036774427
28.00203,823.9146,681.3473708795672,True,1109.8964,0.1279741,1.6748248,483.257,1.054473,418.11856,6.3987045,65695,231.97014,9.999999,681.34735,-1,50,,31,409.85583,69.16,0.077244624,0.0015448924,29.853868,0.3768929,9.999999,1519.7522,0.02108946,[-1.38   1.068 -1.673 -2.412 -1.   ],457783.62,1.189704,271.49155,1550,489.98908400535583,0.023794081
40.42956,732.5885,656.962568453591,True,719.95056,0.052889403,1.2800941,511.19525,0.5516687,461.28387,2.6444702,69031,163.50551,9.999999,656.9626,-1,50,,32,409.80066,66.72,0.3188054,0.0063761077,39.059628,0.36673233,9.999999,1129.7512,0.011033373,[-1.426  1.082 -1.688 -2.387 -1.042],271618.84,1.1338668,247.16191,1600,516.5353167057037,0.022677338
48.99886,622.84515,616.569101063763,True,929.8555,0.026905358,1.02278,391.6827,0.14259568,387.99542,1.3452679,72165,176.47716,9.999999,616.5691,-1,50,,33,389.81512,62.68,0.7298876,0.014597752,48.88637,0.3538018,9.999999,1319.6707,0.0028519137,[-1.397  1.062 -1.681 -2.441 -1.052],200358.2,0.99759203,226.75398,1650,539.147739648819,0.019951839
9.63975,1217.7728,612.5735664376832,True,610.0063,0.42407164,8.697116,686.6369,4.244322,432.47174,21.203583,75279,143.81915,9.999999,612.5736,-1,50,,34,429.81195,62.28,0.00029147862,5.8295723e-06,5.7490325,0.3392369,9.999999,1039.8182,0.08488644,[-1.399  1.065 -1.679 -2.436 -1.065],1397367.8,2.0742652,182.76163,1700,558.427583694458,0.041485306
8.717025,1057.5326,660.7780731442114,True,1159.9197,0.49737442,3.960132,526.8308,3.6430671,394.0948,24.868721,78634,202.0206,10.0,660.77814,-1,50,,35,379.77667,67.1,0.073141836,0.0014628366,12.625842,0.40150803,10.0,1539.6963,0.07286134,[-1.441  1.017 -1.674 -2.405 -1.08 ],1172052.2,1.6740401,281.00137,1750,581.6504156589508,0.0334808
34.461967,711.12537,593.5757908827999,True,699.9148,0.07482142,1.5538958,480.15704,0.763819,408.29025,3.741071,81653,166.61635,9.999999,593.5758,-1,50,,36,369.83154,60.38,0.15524304,0.0031048607,32.17719,0.35046396,9.999999,1069.7463,0.01527638,[-1.506  1.036 -1.678 -2.361 -1.017],335680.28,1.1375289,223.74423,1800,607.1982231140137,0.022750579
