MinIWNorm,J_sample_variance,OptimizationReturnMin,InitialReturnMax,Iteration,InitialReturnStd,EpThisIter,ESSClassic,VarianceInit,TimeElapsed,OptimizationReturnMax,EpLenMean,EpisodesSoFar,EmpiricalD2,MeanIWNorm,InitialReturnMean,OptimizationReturnMean,MeanIW,TimestepsSoFar,MaxIW,EpRewMean,Bound,InitialBound,MaxIWNorm,ESSRenyi,Weights,InitialReturnMin,StdIW,StdIWNorm,LearnableVariance,ReturnMeanIW,MinIW,MeanEntropy,ReturnStepMaxmin,ReturnStepMax
3.2701246e-06,40454590000.0,,2239.6582,24,364.22052,50,1.0122489,-1,646.8992204666138,1730.035,124.92,1200,3627.4304,0.88897,1238.9207,729.2974,44.448505,94671,2208.9312,1238.9205757500665,27811.81,851.00037,44.178623,0.013783862,[-0.344  0.645 -1.28  -1.528 -1.285],509.62317,309.21265,6.1842527,True,51175.527,0.00016350624,0.16483262,10.0,10.0
0.0037818498,965277.75,,2759.7637,25,510.64532,50,41.95863,-1,700.084671497345,2759.7637,144.82,1250,1.1776048,0.021301463,1437.8531,1437.8531,1.0650733,101912,2.3734965,1437.8531665458183,1055.2593,959.84796,0.04746993,42.459064,[-0.296  0.687 -1.277 -1.547 -1.254],,0.4662663,0.009325326,True,1573.9784,0.18909249,0.15709727,10.0,10.0
0.00011854868,744488700.0,,2949.445,26,519.23694,50,1.6474532,-1,746.6617767810822,2299.8472,152.12,1300,77.22315,0.19015902,1510.7905,861.19244,9.507952,109518,367.00922,1510.790449356237,7148.94,999.93164,7.340184,0.6474742,[-0.298  0.709 -1.292 -1.56  -1.262],649.598,51.50983,1.0301967,True,11638.199,0.005927434,0.2033398,10.0,10.0
0.0023088674,3074752.2,,2439.6443,27,332.6979,50,27.166885,-1,784.1161921024323,1959.9381,122.2,1350,2.1428258,0.027041648,1211.6898,731.9835,1.3520824,115628,7.4743237,1211.689686072159,1117.8044,789.1309,0.14948647,23.333673,[-0.307  0.636 -1.264 -1.485 -1.216],479.70618,1.2395551,0.0247911,True,1736.3627,0.11544338,0.1558075,10.0,10.0
0.002257196,13100284.0,,2189.6682,28,463.22186,50,17.587961,-1,828.2993626594543,2189.6682,119.18,1400,3.0545719,0.029982777,1181.4772,1181.4772,1.499139,121587,10.56207,1181.4772278548628,1296.5354,802.2155,0.2112414,16.368906,[-0.329  0.655 -1.267 -1.489 -1.263],,2.0351074,0.040702146,True,1959.3835,0.1128598,0.21318051,10.0,10.0
0.00050065585,177933010.0,,3019.3762,29,581.80505,50,4.963787,-1,880.4172775745392,3009.3943,142.14,1450,6.978973,0.029046824,1411.0747,1401.093,1.4523412,128694,31.595806,1411.0748990175105,1621.3392,888.10364,0.6319161,7.164378,[-0.348  0.691 -1.283 -1.514 -1.206],9.981914,4.374647,0.087492935,True,3002.9116,0.025032792,0.2205502,10.0,10.0
8.248233e-08,197461970000.0,,2719.2314,30,548.6428,50,1.2251307,-1,921.7230582237244,2689.2827,132.52,1500,214.86783,0.51848286,1314.7855,1284.8368,25.924145,135320,1169.1888,1314.7854684878932,60300.43,843.8007,23.383776,0.2327012,[-0.335  0.727 -1.324 -1.49  -1.198],29.948715,163.57286,3.2714577,True,67204.3,4.1241165e-06,0.14880358,9.999999,9.999999
0.00012506612,1063457900.0,,3548.8035,31,641.0581,50,1.7866539,-1,964.804340839386,3368.9944,131.14,1550,22.015985,0.048220687,1301.0155,1121.2065,2.4110346,141877,89.9375,1301.015582844783,2756.8616,686.34485,1.7987499,2.2710772,[-0.389  0.779 -1.326 -1.426 -1.27 ],179.80898,12.524686,0.25049374,True,5640.97,0.006253306,0.17567621,10.0,10.0
0.0027735792,7450607.0,,3239.0056,32,453.7494,50,24.262857,-1,1006.7960736751556,3039.1873,136.52,1600,2.0205247,0.023974732,1354.8324,1155.014,1.1987365,148703,7.582662,1354.8323618436643,1057.2336,793.82007,0.15165325,24.746046,[-0.353  0.763 -1.307 -1.492 -1.243],199.81836,1.2346188,0.024692375,True,1854.6854,0.13867897,0.16144711,10.0,10.0
0.0057097105,1808104.5,,3559.5225,33,592.0503,50,38.397858,-1,1045.0718948841095,3549.5398,139.92,1650,1.3110064,0.022337291,1388.8553,1378.8729,1.1168647,155699,3.6139827,1388.8554208204541,926.8669,772.328,0.072279654,38.138638,[-0.361  0.734 -1.311 -1.466 -1.257],9.982558,0.61392623,0.012278524,True,1632.7858,0.28548554,0.13303371,10.0,10.0
0.0023649537,3154757.2,,2129.3906,34,448.50363,50,23.749048,-1,1080.265527009964,2119.409,124.36,1700,1.913323,0.025032802,1233.2457,1223.264,1.2516402,161917,6.715951,1233.2458188133319,1075.4209,864.42456,0.13431902,26.132545,[-0.363  0.73  -1.329 -1.448 -1.286],9.981784,1.3159183,0.026318368,True,1585.5852,0.118247695,0.12215428,10.0,10.0
0.003059956,28571634.0,,2729.5498,35,496.5097,50,8.356218,-1,1114.031766653061,2719.5674,134.94,1750,2.283053,0.028031105,1339.0923,1329.1099,1.4015553,168664,22.256783,1339.0922646782458,1213.8605,866.32043,0.44513565,21.9005,[-0.344  0.706 -1.317 -1.478 -1.297],9.982411,3.1288185,0.062576376,True,1928.2081,0.1529978,0.15984958,10.0,10.0
