Weights,StdIW,MeanEntropy,OptimizationReturnMin,VarianceInit,MaxIW,MinIWNorm,OptimizationReturnMean,TimestepsSoFar,Bound,EpisodesSoFar,ESSRenyi,MinIW,StdIWNorm,MeanIWNorm,ESSClassic,InitialBound,TimeElapsed,InitialReturnMax,EmpiricalD2,ReturnMeanIW,ReturnStepMax,MeanIW,Iteration,J_sample_variance,OptimizationReturnMax,ReturnStepMaxmin,MaxIWNorm,EpLenMean,EpRewMean,InitialReturnMean,EpThisIter,InitialReturnMin,LearnableVariance,InitialReturnStd
[-0.887  0.432 -1.187 -1.125 -0.824],2.4641573,0.6843873,,-1,14.078564,0.0024349499,363.23657,13219,264.92575,550,17.975906,0.121747494,0.049283147,0.030589888,13.905813,210.45168,121.38889122009277,939.739,2.781501,536.3868,9.999999,1.5294946,11,1051963.1,929.75635,9.999999,0.28157127,38.34,373.21924834647353,373.2192,50,9.982668,True,165.36113
[-0.918  0.41  -1.217 -1.104 -0.735],6.418753,0.66848654,,-1,45.7497,5.5988636e-05,329.6507,14968,1241.3142,600,9.535106,0.0027994318,0.12837505,0.037190985,3.871533,52.172333,136.47904348373413,1659.6497,5.2437806,1899.5769,9.999999,1.8595493,12,113436720.0,1649.6683,9.999999,0.91499394,34.98,339.63204735413666,339.63208,50,9.981349,True,245.32504
[-0.942  0.469 -1.306 -1.356 -0.75 ],2.2435195,0.66330564,,-1,16.078907,0.002007479,349.70297,17067,309.26315,650,22.848972,0.10037396,0.044870395,0.026140554,12.6698065,241.66527,155.94838213920593,969.6501,2.1882823,557.7065,9.999999,1.3070276,13,651664.5,909.73944,9.999999,0.32157815,41.98,409.61360780008755,409.61365,50,59.91066,True,141.6398
[-0.877  0.514 -1.28  -1.392 -0.756],2.7321167,0.65448725,,-1,19.16049,0.0020611247,485.2352,19644,458.15134,700,15.970548,0.10305623,0.054642335,0.02833313,10.594636,302.60736,175.40345883369446,1169.6984,3.130763,816.62695,10.0,1.4166566,14,4733387.5,1149.7285,10.0,0.3832098,51.54,505.20508183471225,505.20508,50,19.969875,True,242.99637
[-0.873  0.491 -1.31  -1.564 -0.764],0.9357368,0.68213624,,-1,4.932896,0.0033688073,476.4286,22127,340.9381,750,30.993952,0.16844037,0.018714735,0.022968244,30.049633,273.43167,192.95012855529785,1229.6238,1.613218,611.4457,9.999996,1.1484122,15,838416.3,1219.6437,9.999996,0.09865792,49.66,486.4087412214539,486.40875,50,9.98009,True,245.9184
[-0.887  0.538 -1.325 -1.501 -0.737],0.6638405,0.72933483,,-1,2.9675016,0.0058712703,470.03616,24578,369.31894,800,34.419163,0.29356351,0.013276811,0.023784503,38.121346,294.72174,205.6578848361969,1069.7998,1.4526792,592.6494,9.999999,1.1892253,16,229129.14,1059.8196,9.999999,0.059350032,49.02,480.0164641373899,480.01648,50,9.980281,True,200.1363
[-0.904  0.579 -1.331 -1.493 -0.69 ],2.2659898,0.75802046,,-1,11.448015,0.0025001387,404.54483,27301,431.03647,850,18.77572,0.12500694,0.045319796,0.028479366,14.155085,343.90417,222.21315789222717,1099.68,2.6630137,741.85986,9.999999,1.4239683,17,928441.44,969.8505,9.999999,0.2289603,54.46,534.3743657309665,534.3744,50,129.82954,True,181.5555
[-0.857  0.611 -1.387 -1.564 -0.661],2.0916088,0.8372577,,-1,14.017656,0.0032117479,525.2188,30028,475.55673,900,18.105608,0.1605874,0.041832183,0.027501056,15.088507,323.92728,241.39230847358704,1219.7919,2.7615752,826.65186,10.0,1.3750529,18,3191954.0,1209.8093,10.0,0.28035313,54.54,535.2014128269547,535.2014,50,9.982577,True,231.00067
[-0.966  0.69  -1.438 -1.638 -0.582],1.0752373,0.8861083,,-1,4.8752403,0.0059151244,491.2118,32585,424.2701,950,28.0288,0.29575622,0.021504743,0.026560256,30.201498,328.01593,259.03301191329956,999.8322,1.7838795,655.5674,10.0,1.328013,19,387130.12,989.8521,10.0,0.0975048,51.14,501.1919097069331,501.19193,50,9.980096,True,215.49266
[-0.931  0.709 -1.437 -1.691 -0.533],0.12515178,0.87729764,,-1,1.2469335,0.013839955,532.5887,35299,375.7987,1000,49.118835,0.69199777,0.0025030358,0.020128155,49.23857,373.2738,274.55841279029846,919.80493,1.0179394,536.53625,10.0,1.0064077,20,45370.656,919.80493,10.0,0.024938669,54.28,532.5886724208032,532.5887,50,,True,199.25758
[-0.924  0.7   -1.437 -1.701 -0.542],484.64087,0.71367866,,-1,3463.0276,4.305585e-09,546.4082,38182,39856.297,1050,0.0071411817,2.1527926e-07,9.692817,1.4208398,1.0517849,353.38977,292.7423813343048,1229.6565,7001.642,57677.8,10.0,71.041985,21,153365680000.0,1209.6923,10.0,69.26055,57.66,566.3724760841429,566.37244,50,19.964272,True,214.17018
[-0.763  0.677 -1.48  -1.993 -0.705],6.025971,0.6271137,,-1,39.787582,1.4954854e-06,707.59875,41871,1029.3221,1100,3.3779652,7.4774274e-05,0.1205194,0.041036945,5.194752,499.00195,317.6021480560303,1319.5718,14.80181,1908.6505,9.999999,2.0518472,22,54465740.0,1299.612,9.999999,0.79575163,73.78,727.5585196149452,727.5586,50,19.959658,True,259.5336
[-0.87   0.705 -1.529 -1.913 -0.792],1.4718839,0.5898764,,-1,9.394184,0.0015981927,251.78682,45180,524.4453,1150,20.755692,0.07990964,0.02943768,0.021887347,17.800398,407.40146,340.6257104873657,1409.6687,2.4089777,903.40594,10.0,1.0943675,23,1905602.9,1009.8923,10.0,0.18788368,66.18,651.5632232922982,651.5632,50,399.77643,True,214.2406
[-0.859  0.753 -1.54  -1.882 -0.829],0.3299265,0.5871646,,-1,2.3049142,0.010643033,741.53845,48939,487.6612,1200,45.972538,0.5321517,0.0065985294,0.021218471,45.590946,445.42892,367.93726801872253,1709.5896,1.0876058,796.469,9.999999,1.0609236,24,175885.14,1709.5896,9.999999,0.046098284,75.18,741.5384487407774,741.53845,50,,True,277.9317
[-0.882  0.77  -1.556 -1.942 -0.832],0.43929616,0.56307775,,-1,2.561522,0.004833113,474.2659,53411,621.26404,1250,41.894894,0.24165566,0.008785923,0.020548882,42.27223,570.65906,392.93923115730286,1809.7252,1.1934628,963.6987,10.0,1.027444,25,514311.2,1399.8784,10.0,0.051230438,89.44,884.1126989914674,884.11273,50,409.8468,True,326.85
[-0.869  0.77  -1.574 -1.961 -0.856],3.121291,0.5739114,,-1,19.980583,0.00090987404,267.72134,56750,620.6275,1300,12.093691,0.045493703,0.06242582,0.029837737,9.298513,460.14276,415.02953004837036,1139.762,4.134387,1022.0303,9.999999,1.4918869,26,1154099.1,749.9279,9.999999,0.39961165,66.78,657.5553929142293,657.5554,50,389.83405,True,153.99931
[-0.806  0.771 -1.596 -2.009 -0.845],1.3286889,0.61013794,,-1,7.31349,0.003496615,322.16675,60811,671.14954,1350,23.971794,0.17483075,0.026573777,0.026865484,25.27293,545.6241,442.5436704158783,1479.7649,2.0857847,1041.3083,10.0,1.3432744,27,720351.9,1000.0048,10.0,0.1462698,81.22,801.9268274529226,801.9269,50,479.76007,True,237.32697
[-0.842  0.776 -1.601 -1.964 -0.809],2.5309556,0.688865,,-1,16.16826,0.0009204808,680.17267,64313,612.69214,1400,16.6369,0.046024043,0.050619114,0.03113372,13.723354,482.36652,466.6135549545288,1199.6564,3.0053675,972.9108,9.999999,1.556686,28,1847304.0,1189.6759,9.999999,0.3233652,70.04,690.1530881149531,690.1531,50,9.980414,True,223.30737
[-0.834  0.77  -1.612 -1.942 -0.73 ],1.0823618,0.69777584,,-1,4.993112,0.0052741454,735.5934,68242,681.3567,1450,26.933777,0.26370728,0.021647235,0.026910825,30.35695,507.11615,495.6626036167145,1549.7366,1.8564051,1047.0819,10.0,1.3455412,29,700207.8,1509.7915,10.0,0.09986224,78.58,775.5384316027071,775.53845,50,39.945084,True,288.2781
[-0.901  0.808 -1.634 -1.886 -0.721],24.041626,0.5871584,,-1,169.63237,3.9478894e-07,735.13983,71969,2771.2476,1500,0.41713044,1.9739447e-05,0.48083255,0.097031705,1.956476,485.7845,522.9254393577576,1439.6536,119.866585,5501.2793,9.999999,4.851586,30,1078367200.0,1439.6536,9.999999,3.3926473,74.54,735.1397713368337,735.13983,50,,True,248.43369
[-1.009  0.786 -1.663 -1.855 -0.832],0.7353795,0.5361863,,-1,3.3829174,0.003619381,556.4293,74952,393.37292,1550,34.5391,0.18096906,0.0147075895,0.020234091,32.715176,343.93964,548.8277907371521,1399.6941,1.4476347,685.0641,10.0,1.0117044,31,721042.1,1369.7496,10.0,0.06765835,59.66,586.3737812147258,586.37384,50,29.944427,True,235.60152
[-1.032  0.818 -1.664 -1.835 -0.883],317.37473,0.32408237,,-1,2267.3542,3.9862478e-09,291.7043,78461,15267.504,1600,0.010120265,1.993124e-07,6.347494,0.9155648,1.0190619,466.4303,570.3525633811951,1299.7556,4940.582,31091.326,10.0,45.778244,32,8393790500.0,899.90533,10.0,45.347084,70.18,691.5545893130925,691.5546,50,399.85028,True,221.37498
[-1.034  0.919 -1.655 -1.741 -1.095],0.15918496,0.33101186,,-1,1.3204517,0.013892336,429.54175,82659,360.02893,1650,48.745827,0.6946168,0.0031836992,0.02033712,48.803974,347.89758,599.9159255027771,2779.5874,1.0257288,847.6217,9.999999,1.016856,33,318337.56,2379.793,9.999999,0.026409034,83.96,829.3362608523566,829.33624,50,399.79446,True,368.204
[-1.034  0.917 -1.672 -1.755 -1.088],419.6198,0.13311537,,-1,2997.458,2.0344195e-09,290.02243,86759,78327.28,1700,0.01460635,1.0172098e-07,8.392396,1.2024114,1.0057255,537.83826,627.0308156013489,1569.7249,3423.1687,94234.65,9.999999,60.12057,34,199113900000.0,1050.0247,9.999999,59.949158,82.0,809.7226353021388,809.72266,50,519.7002,True,258.39618
[-1.104  0.919 -1.684 -1.704 -1.286],11.72614,0.13887027,,-1,83.90363,0.00019934635,229.56473,90307,1089.2118,1750,2.5520747,0.009967318,0.23452277,0.044789948,1.7595532,472.51837,656.4791827201843,1309.625,19.591904,2093.24,9.999999,2.2394974,35,39144610.0,839.83765,9.999999,1.6780726,70.96,699.3520880482882,699.3521,50,469.78735,True,153.18073
[-1.069  0.956 -1.702 -1.689 -1.28 ],2.157786,0.187683,,-1,14.022616,0.002180571,385.16306,94733,823.915,1800,14.328772,0.10902855,0.043155715,0.027977524,14.795754,587.45703,689.7340960502625,1659.7107,3.4894826,1360.9141,10.0,1.3988763,36,4404479.5,1169.9464,10.0,0.2804523,88.52,874.9272980084274,874.92737,50,489.7643,True,273.11096
[-1.047  0.968 -1.688 -1.697 -1.231],0.6172296,0.18458039,,-1,2.7981215,0.0035809267,252.67061,98996,702.32196,1850,36.44479,0.17904633,0.01234459,0.022612505,38.519997,603.36816,720.4316794872284,1379.7666,1.3719382,982.2417,10.0,1.1306254,37,562417.8,790.0864,10.0,0.05596243,85.26,842.3508036229085,842.35077,50,589.6802,True,196.16522
[-1.079  1.012 -1.697 -1.674 -1.234],1.0374392,0.13366523,,-1,5.4845324,0.002193747,270.68436,103349,771.11755,1900,24.614668,0.10968736,0.020748783,0.025744118,30.31084,598.85156,750.9814648628235,1509.6155,2.0313091,1143.7794,10.0,1.2872059,38,1126614.1,919.9751,10.0,0.109690644,87.06,860.3247503954797,860.32477,50,589.6404,True,231.83748
[-1.065  0.982 -1.704 -1.706 -1.285],2.0652344,0.0648663,,-1,11.748799,0.0009832006,285.49548,107727,873.8022,1950,20.233839,0.049160033,0.041304693,0.03167484,18.515272,593.4695,781.1138699054718,1569.7594,2.471108,1301.2072,10.0,1.583742,39,1132010.1,989.895,10.0,0.23497598,87.56,865.3598276237805,865.35974,50,579.8644,True,228.43564
[-1.074  1.004 -1.714 -1.683 -1.354],1.515908,0.031520993,,-1,6.0430045,0.0010859048,292.31097,112139,791.8008,2000,17.809427,0.05429524,0.03031816,0.02781596,22.851887,615.85693,810.9939072132111,1479.6643,2.8075018,1221.2224,10.0,1.3907981,40,949939.75,899.833,10.0,0.120860085,88.24,872.1422619743026,872.1423,50,579.8313,True,199.96979
[-1.059  1.008 -1.706 -1.765 -1.387],1.7708827,0.09474617,,-1,11.241659,0.0031781755,814.35443,116262,753.07965,2050,18.088877,0.15890878,0.035417654,0.02559648,17.154991,590.9583,840.8750004768372,1289.7777,2.7641296,1124.4906,9.999999,1.2798243,41,3795506.0,1289.7777,9.999999,0.22483318,82.46,814.3544312544126,814.35443,50,,True,201.9238
[-1.054  1.019 -1.7   -1.759 -1.324],0.4285425,0.12068745,,-1,2.3880937,0.009375061,369.87054,120961,622.5934,2100,41.609795,0.46875307,0.008570851,0.021284575,43.023693,545.07605,877.8365263938904,2219.7676,1.2016401,1044.0524,10.0,1.0642289,42,704841.1,1660.0869,10.0,0.047761872,93.98,929.5511960063061,929.5511,50,559.6806,True,286.64212
[-1.059  1.032 -1.7   -1.755 -1.298],1.4463807,0.15222166,,-1,9.355798,0.0043157306,852.15454,125323,729.4279,2150,26.764715,0.21578653,0.028927615,0.027276516,23.532421,512.31586,909.5579800605774,2019.6833,1.8681312,1207.5597,10.0,1.3638257,43,1996686.4,2009.7026,10.0,0.18711595,87.24,862.1352462937907,862.1353,50,9.980741,True,300.73785
[-1.084  1.068 -1.703 -1.718 -1.267],1.5174997,0.09790343,,-1,6.5446663,0.0008426267,246.78398,129707,828.8105,2200,19.250038,0.042131335,0.030349994,0.02744051,22.4891,608.5427,939.7220540046692,1489.6267,2.5973976,1244.6323,10.0,1.3720256,44,1087711.0,869.85706,10.0,0.13089332,87.68,866.5536449412762,866.55365,50,619.76965,True,213.94547
[-1.08   1.094 -1.713 -1.716 -1.321],0.17997047,0.08414873,,-1,1.4069893,0.012571461,830.96906,133963,575.0817,2250,48.19149,0.62857306,0.0035994095,0.020338887,48.48161,562.1361,973.4777677059174,1609.732,1.0375276,859.0789,10.0,1.0169445,45,91698.8,1599.7513,10.0,0.028139787,85.12,840.949812064057,840.94977,50,9.9807625,True,248.78716
[-1.086  1.098 -1.726 -1.728 -1.335],1.003819,0.050797753,,-1,4.780475,0.0018644574,239.78178,138512,723.3456,2300,28.246948,0.09322287,0.02007638,0.025632255,30.989008,610.3609,1005.0582911968231,1669.5974,1.7701027,1108.0894,10.0,1.2816128,46,885820.4,1009.8356,10.0,0.0956095,90.98,899.5436035033625,899.5436,50,659.76184,True,229.67865
[-1.081  1.076 -1.724 -1.768 -1.368],0.11086376,0.054098945,,-1,1.2870522,0.015227661,203.0109,142777,573.0397,2350,48.93044,0.76138306,0.002217275,0.020226317,49.40626,563.92554,1029.880949497223,1609.7773,1.0218588,854.89215,9.999999,1.0113158,47,470225.72,970.0411,9.999999,0.025741043,85.3,842.7471558304883,842.74713,50,639.73627,True,188.26141
[-1.079  1.076 -1.724 -1.782 -1.365],1.4333918,0.045471203,,-1,10.026206,0.002959417,953.3547,147595,737.90405,2400,32.039368,0.14797086,0.028667837,0.023062581,19.645117,643.36975,1057.7693450450897,1789.6995,1.5605801,1125.1472,10.0,1.1531292,48,1820558.4,1789.6995,10.0,0.20052412,96.36,953.3547468738186,953.3547,50,,True,286.9786
[-1.091  1.092 -1.72  -1.723 -1.373],10.341152,0.08113457,,-1,71.72566,0.00020855854,253.64818,152013,2218.2817,2450,1.7715734,0.010427928,0.20682307,0.058091678,3.6561353,580.6711,1083.756718635559,1689.6316,28.2235,3773.023,10.0,2.9045844,49,121336504.0,1069.9559,10.0,1.4345132,88.36,873.3238531493396,873.32385,50,619.67566,True,200.27837
[-1.069  1.121 -1.71  -1.64  -1.338],5.2962923,0.016384423,,-1,34.387398,0.00037650182,264.24078,156684,1376.3025,2500,4.956382,0.018825091,0.10592584,0.039905358,6.214283,684.94824,1112.0844004154205,1379.801,10.088004,2135.369,10.0,1.995268,50,9799309.0,720.105,10.0,0.68774796,93.42,923.9368235255159,923.93677,50,659.69604,True,158.01141
[-1.064  1.16  -1.766 -1.628 -1.403],2326.148,0.09612594,,-1,16615.48,3.7541897e-05,304.37683,161606,281180.5,2550,0.0012985395,0.001877095,46.52296,6.6488924,1.0008125,679.7426,1140.229130268097,1699.6802,38504.797,338948.22,10.0,332.44458,51,726265800000.0,1029.9211,10.0,332.3096,98.44,974.1358088855235,974.1358,50,669.759,True,215.10912
[-1.146  1.202 -1.76  -1.507 -1.323],0.6770177,0.06763546,,-1,3.1959138,0.006216097,1040.9211,166912,798.52844,2600,36.959976,0.31080487,0.013540354,0.022829905,36.988697,714.9651,1166.2490417957306,1939.5284,1.3528147,1189.2577,10.0,1.1414952,52,681334.5,1929.5483,10.0,0.06391828,106.12,1050.9013686482076,1050.9014,50,9.980159,True,359.45712
[-1.147  1.213 -1.763 -1.491 -1.351],0.37917238,0.078257754,,-1,2.3001523,0.00899906,923.13416,171629,685.2848,2650,43.487804,0.449953,0.0075834473,0.021572446,44.500763,638.7311,1191.221335887909,1699.623,1.1497476,1000.94116,10.0,1.0786223,53,188805.36,1689.6427,10.0,0.046003044,94.34,933.1143981562108,933.11444,50,9.980294,True,271.55927
[-1.165  1.226 -1.769 -1.482 -1.341],1.9932213,0.12329296,,-1,11.804207,0.0037516265,421.68848,176287,822.3638,2700,18.923359,0.18758133,0.03986442,0.029309861,17.544601,623.47754,1215.3768463134766,1719.4333,2.642237,1306.4602,10.0,1.4654932,54,1289879.4,1219.8296,10.0,0.23608413,93.16,921.2921730695531,921.2922,50,499.6037,True,214.20609
[-1.158  1.238 -1.77  -1.451 -1.296],1.5568253,0.11219805,,-1,8.54818,0.0007606851,903.1394,180954,762.1717,2750,21.65787,0.038034257,0.031136503,0.023842916,18.481703,646.0345,1243.5605182647705,1599.6497,2.3086298,1183.1528,9.999999,1.192146,55,2884951.5,1579.6873,9.999999,0.17096359,93.34,923.1018904288262,923.1019,50,19.962463,True,269.10754
[-1.145  1.262 -1.787 -1.456 -1.307],4.2171845,0.13334875,,-1,30.233932,0.00018008902,871.56665,185863,1189.9604,2800,6.9494348,0.009004451,0.08434369,0.030845854,5.898502,600.9125,1271.2734022140503,2139.5366,7.19483,2183.9702,10.0,1.5422928,56,75205310.0,2039.612,10.0,0.60467863,98.18,971.4911723876512,971.4911,50,99.92453,True,356.40155
[-1.117  1.284 -1.86  -1.472 -1.286],4.0740924,0.10854609,,-1,22.80849,0.00033565512,753.21533,190830,1141.229,2850,9.58134,0.016782757,0.08148186,0.03440739,7.566432,662.7096,1297.659194946289,1849.6492,5.218477,1873.0787,9.999999,1.7203695,57,13294768.0,1619.7861,9.999999,0.4561698,99.34,983.0782380913952,983.0783,50,229.86299,True,379.7671
[-1.145  1.259 -1.876 -1.48  -1.31 ],2.614319,0.16939476,,-1,11.633068,0.0013960685,993.1278,195947,967.416,2900,12.653211,0.069803424,0.05228638,0.031963628,13.6022215,701.3843,1320.6168336868286,1799.6426,3.9515662,1587.0447,10.0,1.5981815,58,7355840.0,1779.6788,10.0,0.23266135,102.34,1013.0915237913288,1013.09155,50,19.963749,True,344.1659
[-1.123  1.248 -1.874 -1.505 -1.25 ],2.5932238,0.13093567,,-1,14.822422,0.00051588897,479.8569,200997,1019.39435,2950,12.6553755,0.02579445,0.051864475,0.032744087,14.2497,492.29453,1341.0276148319244,2929.4692,3.9508903,2027.9435,9.999999,1.6372046,59,10862020.0,2409.6326,9.999999,0.29644844,101.0,999.6935440821861,999.6934,50,519.8367,True,330.86322
[-1.162  1.244 -1.946 -1.483 -1.288],0.43196857,0.145632,,-1,3.5086987,0.010727874,1009.1079,206144,666.2754,3000,44.436134,0.5363937,0.008639373,0.020660393,42.558308,620.8208,1366.8892426490784,2299.419,1.1252104,1088.7451,10.0,1.0330197,60,601669.0,2289.435,10.0,0.07017397,102.94,1019.0918707491907,1019.092,50,9.984004,True,312.21936
[-1.174  1.268 -1.957 -1.502 -1.273],0.70752084,0.13519993,,-1,3.576933,0.0054719704,899.7123,210694,709.9415,3050,35.16046,0.27359852,0.0141504165,0.023080017,36.339996,617.4511,1381.46151137352,1629.6353,1.4220519,1046.5374,10.0,1.154001,61,520179.25,1629.6353,10.0,0.07153866,91.0,899.7122584852611,899.7123,50,,True,297.3084
[-1.183  1.251 -1.955 -1.501 -1.284],1.0904,0.15459456,,-1,5.504986,0.00315762,423.76642,215662,822.6847,3100,26.691113,0.157881,0.021808,0.02520679,28.595798,643.8926,1397.5797562599182,1959.6295,1.8732827,1287.2388,10.0,1.2603394,62,1255015.1,1400.0854,10.0,0.11009971,99.36,983.310407628783,983.31036,50,559.544,True,285.30515
[-1.161  1.252 -1.953 -1.525 -1.264],1.0254866,0.17883836,,-1,4.5885496,0.0032000588,419.3675,220709,873.01245,3150,28.845255,0.16000295,0.020509731,0.023808153,28.700819,715.0978,1415.1435825824738,1639.6855,1.7333874,1246.9241,10.0,1.1904076,63,965211.9,1059.9535,10.0,0.09177099,100.94,999.0995833526318,999.0996,50,579.73206,True,235.584
[-1.157  1.26  -1.997 -1.569 -1.24 ],0.80424696,0.21290551,,-1,5.3852324,0.0068539847,404.26315,225731,760.2691,3200,35.55323,0.34269923,0.01608494,0.02306559,33.64045,677.20856,1433.8735780715942,1829.7081,1.406342,1136.0961,10.0,1.1532795,64,625205.94,1239.8479,10.0,0.10770465,100.44,994.1233636088098,994.12335,50,589.8602,True,244.78543
[-1.165  1.265 -1.991 -1.554 -1.206],0.61432487,0.18199801,,-1,2.7396579,0.0050495164,744.92694,230956,768.92267,3250,37.92524,0.25247583,0.012286496,0.022013944,38.124233,709.1247,1456.0606172084808,1879.675,1.3183832,1142.7441,10.0,1.1006972,65,428347.94,1589.908,10.0,0.054793157,104.5,1034.6939109932628,1034.6938,50,289.7671,True,292.62637
[-1.179  1.28  -1.981 -1.545 -1.237],6.267983,0.07266256,,-1,44.421173,0.00018600494,1002.71716,236071,1468.233,3300,5.1534214,0.009300247,0.12535964,0.033628624,3.3565512,683.67444,1477.8011066913605,1899.631,9.702292,2493.0989,10.0,1.6814312,66,140721500.0,1889.648,10.0,0.88842344,102.3,1012.7001535221348,1012.7001,50,9.982985,True,356.6542
[-1.165  1.256 -1.992 -1.529 -1.346],0.08327807,0.07585118,,-1,1.223259,0.016780036,445.9142,241351,763.52814,3350,49.655567,0.8390018,0.0016655612,0.020211075,49.662735,747.85205,1500.2381799221039,1719.7651,1.0069364,1062.4315,10.0,1.0105537,67,439735.1,1119.9551,10.0,0.02446518,105.6,1045.7241955209581,1045.7242,50,599.81,True,235.11397
[-1.176  1.268 -2.003 -1.542 -1.343],0.2785914,0.05667106,,-1,1.8902786,0.01133823,743.65894,246520,780.17334,3400,46.11277,0.5669115,0.0055718278,0.020128572,46.44143,756.8115,1523.447342157364,1539.7673,1.0842984,1057.8824,10.0,1.0064286,68,257497.5,1259.9192,10.0,0.037805572,103.38,1023.507018876839,1023.507,50,279.84808,True,246.6782
[-1.178  1.268 -2.011 -1.537 -1.362],1.9552583,0.07869332,,-1,10.918369,0.002163902,515.28143,251447,837.3605,3450,18.172134,0.108195096,0.039105166,0.02876225,17.55302,644.39825,1549.7661790847778,1909.4729,2.7514656,1385.9609,10.0,1.4381126,69,1420939.1,1449.6256,10.0,0.21836738,98.54,975.1287029798383,975.1287,50,459.84726,True,239.32973
[-1.154  1.276 -2.01  -1.537 -1.34 ],0.24626505,0.08995803,,-1,1.8713661,0.012290938,1042.3193,256760,790.3428,3500,45.817673,0.6145469,0.004925301,0.021062177,47.407574,745.8155,1581.743987083435,1769.4873,1.091282,1110.5098,9.999999,1.0531087,70,192497.61,1759.507,9.999999,0.03742732,106.26,1052.2996865303824,1052.2996,50,9.980314,True,298.5195
