Weights,ESSClassic,StdIW,EpRewMean,ReturnStepMax,VarianceInit,MeanIW,TimestepsSoFar,EpisodesSoFar,MinIW,InitialReturnMax,TimeElapsed,InitialReturnMin,Iteration,ReturnStepMaxmin,MeanEntropy,StdIWNorm,OptimizationReturnMean,OptimizationReturnMin,OptimizationReturnMax,MaxIWNorm,ESSRenyi,EmpiricalD2,MinIWNorm,MaxIW,ReturnMeanIW,Bound,InitialReturnMean,EpThisIter,MeanIWNorm,J_sample_variance,InitialBound,LearnableVariance,EpLenMean,InitialReturnStd
[-1.244  0.946 -1.486 -1.804 -0.574],23.531769,1.4602911,633.5447847985846,9.999999,-1,1.3769059,16691,550,0.07663775,1379.5364,12.708797693252563,329.78345,11,9.999999,0.811622,0.029205821,303.76135,,1049.7529,0.15849921,16.618355,3.0087214,0.001532755,7.9249606,1069.3768,654.9148,633.5448,50,0.02753812,1595556.9,394.6021,True,64.38,226.56555
[-1.453  1.18  -1.726 -1.943 -0.607],24.624636,1.2044795,632.7537606963843,9.999999,-1,1.1865284,19906,600,0.111697994,1299.6187,14.688803911209106,9.979616,12,9.999999,0.76800656,0.024089588,622.7742,,1289.639,0.11202962,25.653732,1.9490341,0.0022339597,5.601481,822.33746,508.0795,632.7537,50,0.023730569,1125170.9,407.65317,True,64.3,245.63948
[-1.413  1.212 -1.715 -1.921 -0.651],10.406227,2.9389212,693.147404095746,10.0,-1,1.5066805,23423,650,0.11053626,1139.5708,16.60852026939392,,13,10.0,0.83875,0.058778424,693.14734,,1139.5708,0.37063873,10.511768,4.7565737,0.002210725,18.531937,1158.5488,728.07275,693.14734,50,0.03013361,6985400.0,495.76788,True,70.34,209.78957
[-1.386  1.204 -1.721 -2.021 -0.58 ],11.270348,2.2923598,657.1484549410633,10.0,-1,1.2366011,26760,700,0.11768788,1509.6797,18.1405611038208,,14,10.0,0.7884772,0.045847192,657.14844,,1509.6797,0.30300942,19.184048,2.606332,0.0023537576,15.150472,993.2665,571.1228,657.14844,50,0.024732022,5555815.5,395.66425,True,66.74,261.51538
[-1.304  1.203 -1.732 -2.014 -0.63 ],34.88056,0.747186,711.7451274233047,9.999999,-1,1.1348872,30370,750,0.14483404,1409.7075,20.376030445098877,,15,9.999999,0.7358466,0.014943719,711.7452,,1409.7075,0.074703336,34.146862,1.4642634,0.0028966807,3.735167,833.8297,538.3693,711.7452,50,0.022697745,532661.6,467.5766,True,72.2,199.82889
[-1.34   1.244 -1.729 -2.058 -0.683],46.17029,0.29386893,750.3526725613149,10.0,-1,1.0203567,34173,800,0.2956098,1509.6057,22.5078604221344,19.969976,16,10.0,0.7185722,0.005877379,730.3826,,1489.6357,0.031564157,45.25875,1.1047587,0.005912196,1.5782079,786.15497,511.32892,750.35266,50,0.020407133,169025.25,488.8813,True,76.06,263.42133
[-1.328  1.237 -1.733 -2.085 -0.7  ],9.9258995,2.789735,799.7286451448613,9.999999,-1,1.3884045,38223,850,0.036037154,1629.5743,24.48072052001953,309.86237,17,9.999999,0.6441591,0.055794705,489.8663,,1319.7119,0.3551576,12.201486,4.097862,0.0007207431,17.757881,1233.7544,662.38965,799.7287,50,0.02776809,5861011.5,517.4781,True,81.0,260.0922
[-1.3    1.271 -1.767 -2.101 -0.775],42.764797,0.4263278,836.1198330310121,9.999999,-1,1.0364811,42455,900,0.34927887,1199.5721,26.829707622528076,389.82468,18,9.999999,0.6547246,0.008526556,446.2951,,809.74744,0.049766086,43.112812,1.1597481,0.0069855773,2.4883044,882.43396,658.68097,836.1199,50,0.020729626,295120.53,628.3478,True,84.64,190.4201
[-1.333  1.306 -1.795 -2.084 -0.764],1.80716,17.753746,828.724393781204,9.999999,-1,3.43793,46650,950,0.00023827983,1579.6282,29.052398681640625,359.6903,19,9.999999,0.5845336,0.3550749,469.03415,,1219.9379,2.5409658,1.2645583,39.539497,4.7655963e-06,127.048294,2778.8064,1058.3998,828.72437,50,0.06875859,66803030.0,555.12476,True,83.9,239.90125
[-1.373  1.236 -1.752 -1.95  -0.834],7.093893,5.102373,788.9294815603114,10.0,-1,2.0746984,50646,1000,0.0014537603,1449.5867,31.456323385238647,369.85187,20,10.0,0.468791,0.102047466,419.07758,,1079.7349,0.50373006,4.9754834,10.049274,2.9075205e-05,25.186504,1601.2091,805.28406,788.92944,50,0.041493963,5189175.5,537.85364,True,79.92,206.36305
[-1.379  1.208 -1.797 -2.01  -0.95 ],9.132713,3.4389844,750.1474632931458,9.999999,-1,1.6257069,54448,1050,0.095803834,1299.6985,33.46885800361633,429.84076,21,9.999999,0.5017907,0.06877969,320.30667,,869.8577,0.45142683,10.774769,4.640471,0.0019160766,22.571342,1289.4274,804.4915,750.1475,50,0.03251414,3041595.8,525.0331,True,76.04,163.46417
[-1.38   1.252 -1.697 -1.908 -0.917],1.7408968,17.463863,828.9388790009835,9.999999,-1,3.316937,58644,1100,0.0056287455,2589.4463,35.44614052772522,,22,9.999999,0.52444273,0.34927723,828.9389,,2589.4463,2.5012689,1.6847814,29.67744,0.00011257491,125.063446,7247.386,4804.064,828.9389,50,0.06633873,2091059800.0,380.4336,True,83.92,371.3633
[-1.321  1.251 -1.708 -2.061 -0.894],3.6846356,8.623188,817.3445358259434,10.0,-1,2.4322183,62782,1150,0.020970196,1499.72,38.202893018722534,9.982133,23,10.0,0.5726538,0.17246374,807.3624,,1489.7378,1.2292975,4.343902,11.510388,0.0004194039,61.464878,2107.157,1225.8732,817.34454,50,0.048644368,69184900.0,557.5853,True,82.76,218.94067
[-1.325  1.229 -1.738 -2.22  -0.846],39.436905,0.5513858,807.7158423067563,9.999999,-1,1.0653965,66872,1200,0.08840494,1809.6416,40.79312753677368,19.966244,24,9.999999,0.5618895,0.011027715,787.74963,,1789.6754,0.0530071,38.61585,1.2948052,0.0017680987,2.650355,897.44745,540.7866,807.71594,50,0.02130793,445716.84,494.2767,True,81.8,278.74002
[-1.319  1.215 -1.743 -2.279 -0.857],28.844002,1.0989144,727.9371740057901,10.0,-1,1.2831424,70563,1250,0.102888554,1209.6744,42.90433311462402,,25,10.0,0.56570655,0.021978287,727.9372,,1209.6744,0.09954265,26.728952,1.8706307,0.002057771,4.9771323,896.2184,609.6534,727.9372,50,0.025662849,642310.94,518.4154,True,73.82,187.76195
[-1.314  1.173 -1.748 -2.341 -0.853],9.070439,4.2896376,710.946202234098,10.0,-1,2.0193715,74169,1300,0.006678827,1629.7107,45.62383198738098,,26,10.0,0.50021416,0.08579275,710.9462,,1629.7107,0.43255684,7.393732,6.7624846,0.00013357654,21.627842,1555.1027,821.05493,710.9462,50,0.040387426,11845748.0,428.672,True,72.12,239.25677
[-1.327  1.24  -1.738 -2.238 -0.919],22.936342,1.2806203,782.5109988677104,10.0,-1,1.1789334,78133,1350,0.06550072,1749.7079,48.098228454589844,459.79083,27,10.0,0.44015485,0.025612403,322.72018,,1289.917,0.13807358,24.226484,2.063857,0.0013100144,6.9036794,1011.19824,575.82074,782.511,50,0.023578668,1895328.0,479.4527,True,79.28,224.11414
[-1.313  1.23  -1.779 -2.289 -0.979],43.403976,0.4072538,795.7274553765808,10.0,-1,1.044694,82163,1400,0.4923866,1929.6567,50.208242893218994,539.8189,28,10.0,0.46688825,0.008145076,255.90855,,1389.8379,0.04677769,43.16586,1.1583228,0.009847732,2.3388846,867.24744,507.53497,795.72736,50,0.020893877,522859.53,461.50107,True,80.6,221.686
[-1.332  1.252 -1.792 -2.29  -0.952],40.882008,0.5344907,832.7163776453655,9.999998,-1,1.1317657,86378,1450,0.3109658,1449.6912,52.714256286621094,479.69635,29,9.999998,0.4995112,0.010689814,353.02,,969.9948,0.060855854,39.57783,1.2633334,0.006219316,3.0427928,948.25366,666.02893,832.71643,50,0.022635313,403890.88,581.6225,True,84.3,203.0034
[-1.345  1.275 -1.798 -2.312 -0.919],3.7804725,6.9247513,820.5316157874782,10.0,-1,1.9804528,90532,1500,0.03910321,1959.6688,55.515427112579346,9.980732,30,10.0,0.548736,0.13849503,810.55084,,1949.6881,0.72256505,3.9684558,12.5993595,0.00078206416,36.128254,2791.6096,1586.8025,820.5316,50,0.039609052,137810350.0,481.10696,True,83.08,264.32
[-1.346  1.343 -1.823 -2.252 -0.87 ],47.894547,0.22198556,807.7455682749188,10.0,-1,1.0587546,94622,1550,0.5595921,1699.6603,58.252702474594116,,31,10.0,0.5441266,0.004439711,807.7455,,1699.6603,0.03297725,46.71378,1.070348,0.011191842,1.6488625,855.71606,551.14734,807.7455,50,0.021175092,100871.72,513.35583,True,81.8,261.4778
[-1.355  1.366 -1.834 -2.251 -0.875],1.8763999,20.214455,866.7201076210622,9.999999,-1,3.9915879,99007,1600,0.004881555,1669.7261,61.230897188186646,609.62256,32,9.999999,0.6241145,0.40428907,257.09756,,1060.1035,2.8872051,1.2808992,39.03508,9.7631106e-05,144.36026,4430.1035,2623.2065,866.72015,50,0.079831764,150864080.0,577.515,True,87.7,215.15573
[-1.44   1.438 -1.857 -2.155 -0.795],29.266127,1.0058718,835.5306821107332,9.999999,-1,1.195047,103236,1650,0.37065876,1469.5798,64.47327756881714,,33,9.999999,0.649481,0.020117434,835.53064,,1469.5798,0.14887425,34.818405,1.4360222,0.007413175,7.4437127,989.91345,684.88916,835.53064,50,0.023900943,780977.7,580.99194,True,84.58,267.3702
[-1.491  1.495 -1.879 -2.144 -0.769],23.734089,1.3885113,879.1068118963163,10.0,-1,1.3198953,107683,1700,0.10537164,1829.69,67.19687414169312,359.80585,34,10.0,0.6788,0.027770225,519.30096,,1469.884,0.16112028,24.270235,2.0601366,0.0021074328,8.056014,1174.3796,719.51086,879.1069,50,0.026397908,1251286.4,562.1952,True,88.94,278.47867
[-1.461  1.487 -1.881 -2.211 -0.74 ],4.2839217,9.158864,874.8855171123547,9.999999,-1,2.8036764,112109,1750,0.007997482,1869.5803,69.90084719657898,159.89552,35,9.999999,0.66485023,0.18317726,714.99,,1709.6848,0.9428304,2.3421357,21.348038,0.00015994963,47.14152,3210.3254,1714.1459,874.8855,50,0.056073524,113455464.0,551.0647,True,88.52,277.99298
[-1.42   1.559 -1.886 -2.179 -0.754],1.0296568,402.16888,959.5101931367826,9.999999,-1,58.31606,116958,1800,3.0557417e-06,1639.581,72.54559421539307,,36,9.999999,0.55664283,8.043378,959.51013,,1639.581,57.46558,0.0043422417,11514.79,6.111483e-08,2873.279,68931.51,38458.066,959.51013,50,1.1663212,233645210000.0,675.5264,True,96.98,268.04947
[-1.527  1.481 -1.892 -2.156 -0.862],19.872438,1.6051549,793.1307694896132,10.0,-1,1.3036487,120975,1850,0.056778625,1189.581,75.82541799545288,9.980536,37,10.0,0.60635215,0.032103095,783.1502,,1179.6005,0.14880268,17.622559,2.8372724,0.0011355724,7.440134,1118.1191,771.0586,793.1307,50,0.026072973,2942993.5,587.08923,True,80.34,226.47685
[-1.513  1.512 -1.905 -2.181 -0.813],1.2284312,35.465473,883.297498896846,9.999998,-1,5.6285667,125443,1900,0.0058567775,1549.6847,79.29439115524292,509.81976,38,9.999998,0.6982407,0.7093095,373.47772,,1039.865,5.076083,0.36707863,136.2106,0.00011713555,253.80415,7268.7505,4136.118,883.2975,50,0.112571344,894016800.0,614.8842,True,89.36,230.25208
[-1.468  1.538 -1.917 -2.303 -0.721],41.578255,0.47345984,900.7080820929212,10.0,-1,1.0519985,129998,1950,0.31019986,1599.6631,83.650634765625,609.5387,39,10.0,0.70099545,0.009469196,291.16937,,990.1244,0.058642756,43.667103,1.1450267,0.006203997,2.932138,943.2122,646.73114,900.70807,50,0.021039968,524317.4,623.6383,True,91.1,229.92752
[-1.486  1.548 -1.925 -2.358 -0.718],4.019962,5.9762588,881.1207326291546,9.999999,-1,1.7670779,134455,2000,0.00055875815,1459.595,86.98577833175659,559.80865,40,9.999999,0.5967325,0.11952516,321.31207,,899.7863,0.8202723,4.3543468,11.482779,1.1175162e-05,41.01362,1984.7316,1128.0558,881.1207,50,0.035341557,28209942.0,628.31146,True,89.14,206.48228
[-1.497  1.496 -1.911 -2.375 -0.822],21.589886,1.4335831,806.7343034817725,10.0,-1,1.2497169,138540,2050,0.057729725,1489.632,90.27574348449707,,41,10.0,0.5775473,0.028671665,806.7343,,1489.632,0.14097326,22.410957,2.2310514,0.0011545945,7.048663,1080.5247,695.14,806.7343,50,0.024994338,2035433.0,548.72253,True,81.7,302.1788
[-1.484  1.533 -1.906 -2.332 -0.841],4.1968803,4.949681,907.7114582098444,10.0,-1,1.49828,143130,2100,0.0431848,1909.6041,94.6908700466156,9.980988,42,10.0,0.64914095,0.098993614,897.73047,,1899.6232,0.70716107,6.9578385,7.1861396,0.0008636959,35.358055,2068.075,1181.4258,907.7114,50,0.029965602,89324900.0,576.9584,True,91.8,257.39127
[-1.53   1.605 -1.921 -2.298 -0.77 ],21.167147,1.3535135,888.5113930068635,10.0,-1,1.1597115,147624,2150,0.14490257,1709.7533,98.46613836288452,349.73895,43,10.0,0.6149887,0.027070269,538.7724,,1360.0144,0.14211877,28.516428,1.7533753,0.0028980514,7.1059384,1098.3412,706.20984,888.5114,50,0.02319423,1262671.0,592.3734,True,89.88,246.88329
[-1.51   1.601 -1.936 -2.36  -0.804],44.430164,0.3827978,855.3467142872879,10.0,-1,1.0811539,151952,2200,0.41809502,1579.6399,102.46161890029907,,44,10.0,0.61019886,0.0076559554,855.34674,,1579.6399,0.049068466,43.51826,1.148943,0.0083619,2.4534233,923.6031,630.3329,855.34674,50,0.021623077,193741.92,581.7451,True,86.56,260.14877
[-1.516  1.59  -1.954 -2.318 -0.809],33.35757,0.85241973,931.5037384434204,10.0,-1,1.2068195,156661,2250,0.221247,1849.4658,106.88535165786743,559.7654,45,10.0,0.6383038,0.017048394,371.7384,,1289.7004,0.07552262,31.958845,1.5645121,0.00442494,3.776131,1112.6978,712.0189,931.5037,50,0.024136389,703737.1,611.1669,True,94.18,254.33522
[-1.545  1.594 -1.96  -2.371 -0.781],10.503694,2.7690437,918.9333122109217,10.0,-1,1.4279814,161307,2300,0.0684349,1979.6283,110.72989463806152,,46,10.0,0.5576409,0.055380866,918.9333,,1979.6283,0.36170924,13.379256,3.7371285,0.001368698,18.085463,1743.679,1080.832,918.9333,50,0.028559625,26209144.0,576.05164,True,92.92,302.11966
[-1.54   1.621 -1.961 -2.356 -0.861],1.0412571,73.79301,963.3342602712734,10.0,-1,10.761655,166175,2350,3.6424802e-07,1539.7034,115.86659121513367,639.73376,47,10.0,0.3859461,1.4758602,323.6005,,899.9696,10.546107,0.11533745,433.51056,7.28496e-09,527.30536,16218.344,10665.7295,963.3342,50,0.21523307,4354070000.0,696.64984,True,97.36,216.85097
[-1.564  1.58  -2.    -2.42  -1.033],1.0002747,7555.2266,927.3212753538843,10.0,-1,1079.4692,170863,2400,0.00032787357,1619.825,120.86461186408997,639.83484,48,10.0,0.5123822,151.10452,287.48645,,979.9901,1079.321,1.741011e-05,2871894.5,6.5574714e-06,53966.055,863323.56,387864.7,927.32135,50,21.589384,1976329700000.0,646.7593,True,93.76,219.90782
[-1.494  1.638 -2.012 -2.435 -0.907],27.211916,1.0856249,906.1364064121112,9.999998,-1,1.1863297,175445,2450,0.17571849,1939.7036,125.2509388923645,9.980663,49,9.999998,0.5432739,0.021712499,896.15576,,1929.7229,0.119806916,29.29577,1.706731,0.0035143697,5.990346,1188.1805,749.26746,906.1365,50,0.023726592,2270651.0,570.1698,True,91.64,281.1705
[-1.482  1.63  -2.024 -2.497 -0.876],2.0661507,53.677414,951.9315524310393,10.0,-1,11.144264,180256,2500,1.1475376e-05,1589.641,129.1718454360962,659.6904,50,10.0,0.4967856,1.0735482,292.24112,,929.95056,7.4951134,0.16773155,298.09537,2.295075e-07,374.75568,10541.854,5788.093,951.9316,50,0.22288525,207428210.0,676.59766,True,96.22,170.64355
[-1.51   1.556 -2.041 -2.662 -0.922],40.866814,0.49482027,948.5374515377216,10.0,-1,1.0466981,185050,2550,0.40816915,2309.627,134.06802916526794,,51,10.0,0.52014154,0.009896405,948.5375,,2309.627,0.061059617,41.923965,1.1926353,0.008163383,3.052981,1036.3085,599.4343,948.5375,50,0.020933963,702722.6,548.49835,True,95.88,371.85703
[-1.523  1.581 -2.052 -2.658 -0.899],11.274996,2.3685377,885.5532578540291,10.0,-1,1.2780349,189529,2600,0.03805678,1359.7139,138.3659737110138,,52,10.0,0.46115056,0.047370754,885.5533,,1359.7139,0.21190012,12.33146,4.05467,0.0007611356,10.595006,1278.3623,804.13574,885.5533,50,0.0255607,7379926.0,650.04395,True,89.58,259.69147
[-1.488  1.595 -2.069 -2.681 -0.958],36.069878,0.6769131,926.9507231166205,10.0,-1,1.0892501,194215,2650,0.33893085,1759.6798,143.21928095817566,,53,10.0,0.48791298,0.013538261,926.9506,,1759.6798,0.06228476,36.5429,1.3682549,0.006778617,3.114238,1050.3036,693.7886,926.9506,50,0.021785002,659940.6,622.16516,True,93.72,264.74307
[-1.484  1.604 -2.096 -2.719 -0.931],5.1772323,12.788292,940.5372816313429,10.0,-1,4.346223,198969,2700,0.000885249,1629.7352,146.9570541381836,639.78796,54,10.0,0.34123078,0.25576583,300.74933,,989.94727,1.3559729,1.3880973,36.02053,1.7704979e-05,67.798645,4653.12,2958.9668,940.53735,50,0.08692445,51517440.0,658.2589,True,95.08,212.86284
[-1.514  1.623 -2.109 -2.72  -1.078],31.328253,0.8067398,901.552667928589,10.0,-1,1.0449828,203528,2750,0.14292209,1529.7578,151.04771208763123,19.967798,55,10.0,0.2934579,0.016134797,881.5849,,1509.79,0.08606983,33.10261,1.5104549,0.0028584418,4.3034916,1002.39087,676.75134,901.5527,50,0.020899655,1143125.2,636.5908,True,91.18,215.3148
[-1.523  1.628 -2.109 -2.709 -1.125],49.74514,0.0727351,1011.7565492790601,10.0,-1,1.0161846,208638,2800,0.8086935,1579.7388,155.06102299690247,649.64343,56,10.0,0.29237792,0.0014547021,362.1131,,930.09534,0.023712508,49.707706,1.0058802,0.01617387,1.1856254,1028.0613,753.63916,1011.75665,50,0.020323692,511029.66,738.13776,True,102.2,250.7875
[-1.538  1.643 -2.138 -2.716 -1.127],8.238195,3.4487798,1054.5584538044682,10.0,-1,1.5317643,213962,2850,0.028023755,2709.697,159.6234633922577,669.66455,57,10.0,0.26771167,0.068975605,384.89395,,2040.0325,0.43202698,9.652633,5.179934,0.0005604751,21.601349,1933.2194,865.04175,1054.5585,50,0.03063528,9981306.0,585.2251,True,106.48,383.95865
[-1.5    1.656 -2.145 -2.728 -1.151],17.12957,1.9822942,939.1643654707008,10.0,-1,1.4309967,218709,2900,0.021868113,1579.7714,164.42033433914185,9.981491,58,10.0,0.243688,0.039645884,929.18286,,1569.7899,0.22064129,14.626675,3.418412,0.00043736227,11.032064,1382.4816,876.5788,939.1643,50,0.028619934,4926104.5,665.5399,True,94.94,253.83257
[-1.463  1.659 -2.132 -2.754 -1.175],39.546616,0.55322856,921.3678539539527,9.999999,-1,1.0760461,223367,2950,0.23796713,1739.7748,169.20459151268005,709.7396,59,9.999999,0.27273554,0.01106457,211.62822,,1030.0352,0.070196204,40.047462,1.2485186,0.0047593424,3.5098104,1016.7135,680.00726,921.3678,50,0.021520924,793770.44,620.02997,True,93.16,199.33916
[-1.474  1.667 -2.134 -2.739 -1.146],2.3558702,25.592033,999.1712082059246,10.0,-1,5.6908326,228414,3000,0.022389699,1909.7501,174.3224229812622,689.838,60,10.0,0.36404335,0.51184064,309.3332,,1219.9121,3.491798,0.94310427,53.016407,0.00044779395,174.5899,7704.7417,5296.2656,999.17126,50,0.113816634,381331600.0,668.3927,True,100.94,251.20634
[-1.461  1.634 -2.15  -2.837 -1.055],29.00666,1.0710785,952.560929694948,9.999999,-1,1.2590108,233228,3050,0.2234476,1749.6884,179.19731092453003,9.980033,61,9.999999,0.41817936,0.02142157,942.5809,,1739.7084,0.12103723,25.947508,1.9269673,0.004468952,6.051862,1282.1403,861.45386,952.5609,50,0.025180215,1850677.6,649.506,True,96.28,276.33316
[-1.455  1.631 -2.142 -2.834 -1.001],3.6519043,13.92158,951.9659129485827,9.999999,-1,3.9077997,238039,3100,0.00073745317,1589.7379,183.914719581604,,62,9.999999,0.2730722,0.2784316,951.96594,,1589.7379,1.5824744,1.3908955,35.948063,1.4749063e-05,79.12372,3480.0195,1829.1077,951.96594,50,0.078155994,149673780.0,676.61523,True,96.22,260.76434
[-1.461  1.644 -2.146 -2.816 -1.146],32.034527,0.8212294,1030.3631870379604,9.999999,-1,1.0966152,243242,3150,0.1596498,1819.7716,188.91680455207825,639.75525,63,9.999999,0.24519445,0.016424587,390.60794,,1180.0164,0.076439634,32.462498,1.5402389,0.003192996,3.8219817,1188.681,797.5056,1030.3632,50,0.021932302,937639.56,715.16943,True,104.06,265.2943
[-1.441  1.631 -2.148 -2.857 -1.174],1.4813567,40.74937,1030.374425463877,10.0,-1,7.1202683,248445,3200,0.011941833,1929.7784,194.06744289398193,709.7422,64,10.0,0.34088415,0.81498754,320.63223,,1220.0363,5.834312,0.6763089,73.93072,0.00023883667,291.7156,5760.3403,2886.3816,1030.3745,50,0.14240536,30649634.0,696.12695,True,104.06,281.76364
[-1.503  1.671 -2.165 -2.811 -1.078],30.861286,0.8738853,1037.5605534748997,10.0,-1,1.1096988,253684,3250,0.12540329,2509.7368,199.8567214012146,,65,10.0,0.29450887,0.017477706,1037.5607,,2509.7368,0.096960835,31.29788,1.5975523,0.0025080657,4.848042,1258.9719,709.53687,1037.5607,50,0.022193974,3021929.0,602.8614,True,104.78,340.7595
[-1.503  1.673 -2.17  -2.838 -1.124],21.91935,1.5767629,959.566410440862,9.999999,-1,1.393082,258533,3300,0.13139199,1579.7806,204.7382471561432,719.70856,66,9.999999,0.34807187,0.03153526,239.85785,,860.0721,0.1518038,19.891684,2.5136132,0.0026278398,7.5901904,1329.5255,895.70844,959.5664,50,0.027861638,1303013.9,685.94037,True,96.98,189.46637
[-1.525  1.677 -2.183 -2.831 -1.071],45.30473,0.34300253,924.7503040112358,10.0,-1,1.0654635,263208,3350,0.501867,1569.7635,209.10003662109375,639.712,67,10.0,0.36275148,0.006860051,285.03833,,930.0516,0.047471233,44.541603,1.1225461,0.010037339,2.3735616,978.28705,690.2178,924.7503,50,0.021309271,520984.44,652.8594,True,93.5,181.91829
[-1.514  1.674 -2.181 -2.847 -1.056],1.3421502,34.919548,979.1604098041373,10.0,-1,5.7995286,268155,3400,0.00014133521,2039.7666,213.14635515213013,689.67004,68,10.0,0.29547223,0.69839096,289.49036,,1350.0966,4.997019,0.29903153,167.20645,2.8267043e-06,249.85094,11036.971,6468.534,979.16034,50,0.11599057,2288714800.0,625.8624,True,98.94,272.3982
[-1.537  1.798 -2.18  -2.786 -1.123],2.051935,28.227556,1070.5672326510098,10.0,-1,5.839417,273559,3450,0.0011829232,2049.6633,218.08910870552063,739.7628,69,10.0,0.21709113,0.5645511,330.8044,,1309.9005,3.9861484,0.7301779,68.47646,2.3658464e-05,199.30742,7075.4287,4137.6855,1070.5671,50,0.11678836,229642130.0,715.55505,True,108.08,293.9408
[-1.553  1.878 -2.181 -2.686 -1.202],1.1815248,52.13349,1080.5845818046985,9.999999,-1,8.110472,279013,3500,2.13115e-05,1719.7886,222.60114169120789,779.7496,70,9.999999,0.0956726,1.0426698,300.83502,,940.039,7.4560165,0.17447539,286.57336,4.2623e-07,372.80084,13269.987,8227.398,1080.5845,50,0.16220942,2340897300.0,782.7085,True,109.08,236.84468
