EmpiricalD2Harmonic,EpRewMean,EpLenMean,Weights,InitialReturnMax,Iteration,MeanD2-0,EpisodesSoFar,Penalization,Inner Iteration,OptimizationReturnMean,MinTargetPdf,ESSRenyiHarmonic,ReturnMeanIW,InitialReturnStd,InitialReturnMean,EmpiricalD2Arithmetic,ReturnStepMaxmin,LearnableVariance,DivergenceHarmonic,OptimizationReturnMax,WReturnMean,EpThisIter,MeanIW,OptimizationReturnMin,StdIW,MaxIW,InitialBound,VarianceInitializer,TimeElapsed,ESSRenyiArithmetic,ReturnStepMax,InitialReturnMin,Epsilon,MinIW,MinBehavPdf,StdWReturnMean,TimestepsSoFar,Bound,MeanEntropy
9247.485,70.87882584654596,8.090909090909092,[-0.569 -0.336 -0.238  0.399],199.95735,12,9247.485,264,True,2,50.91226,-17.088427,0.0011895125,1175150.1,56.156372,70.87883,9247.485,9.999976,,2.6467596e+28,179.99078,1175150.1,11,342.1387,,987.58545,3455.0776,-1.1323352e+18,-1.0,13.062129735946655,0.0011895125,9.999976,19.966568,1.0,7.1244104e-09,-7.7085567,,1659,-1.1323352e+18,0.41894197
1.0,64.50499623940449,7.454545454545454,[-0.569 -0.336 -0.238  0.399],159.93982,13,1.0,275,True,1,54.521828,-11.394374,11.0,758760600.0,42.9198,64.505,1.0,9.999995,,6.4817734e+26,149.95665,6003.003,11,211012.23,,666728.3,2319391.8,-10456.041,-1.0,13.339152574539185,11.0,9.999995,9.983164,1.0,0.05734688,-11.394374,,1741,-1.13371305e+17,0.41894197
113.354126,91.7518794115618,10.181818181818182,[-0.648 -0.55  -0.358 -0.029],149.96188,13,113.354126,286,True,2,51.802513,-18.774889,0.09704102,280.4995,30.990147,91.751884,113.354126,10.0,,1.6403613e+16,110.01251,292.10947,11,0.09381385,,0.23699641,0.83591104,-524199030000.0,-1.0,13.691071033477783,0.09704102,10.0,39.949368,1.0,0.00011346926,-14.277941,,1853,-501388700000.0,0.41894197
1.0,101.74299795060698,11.181818181818182,[-0.623 -0.561 -0.327 -0.03 ],199.93295,14,1.0,297,True,1,51.816685,-10.055652,11.0,44762336.0,45.887913,101.743,1.0,9.999989,,2.0412397e+24,150.00664,12457.34,11,1791.4393,,3096.745,9482.494,-19415.781,-1.0,14.2131986618042,11.0,9.999989,49.926315,1.0,0.724914,-10.055652,,1976,-9941659000000000.0,0.41894197
1050781600000.0,244.4351362526669,25.454545454545453,[-0.699 -0.547 -0.624 -0.982],599.8906,14,1050781600000.0,308,True,2,144.5785,-39.390533,1.0468398e-11,2.386086,146.69398,244.43515,1050781600000.0,9.999996,,inf,500.034,2.386086,11,0.0002262703,,0.0006678757,0.0023358641,-inf,-1.0,14.715044975280762,1.0468398e-11,9.999996,99.85661,1.0,2.7093685e-15,-22.619503,,2256,-inf,0.41894197
1.0,194.4501587172332,20.454545454545453,[-0.699 -0.547 -0.624 -0.982],429.90424,15,1.0,319,True,1,144.54295,-22.291636,11.0,153255650.0,101.11794,194.45015,1.0,9.999998,,7.0695285e+24,379.99704,48035.707,11,3251.0093,,8585.161,30269.848,-80208.37,-1.0,15.211635112762451,11.0,9.999998,49.907204,1.0,6.17918,-22.291636,,2481,-8.554246e+16,0.41894197
inf,327.10215540318626,33.72727272727273,[-0.748  0.375 -0.995 -1.08 ],579.78186,15,inf,330,True,2,317.11905,-130.64157,,162.13016,154.59337,327.10217,inf,9.9999895,,inf,569.79877,162.13016,11,0.10528324,,0.306844,1.072515,-inf,-1.0,16.001305103302002,,9.9999895,9.983115,1.0,,-39.337566,,2852,-inf,0.41894197
1.0,478.86896292286673,48.90909090909091,[-0.748  0.375 -0.995 -1.08 ],1029.6836,16,1.0,341,True,1,219.11249,-44.197083,11.0,559744160000.0,208.54877,478.86896,1.0,9.999997,,9.581676e+35,769.9271,272808.06,11,3531255.0,,10970002.0,38218556.0,-457374.1,-1.0,16.83861231803894,11.0,9.999997,259.75647,1.0,1.5494685,-44.197083,,3390,-1.8066386e+23,0.41894197
1.0193155e+22,627.9125661475478,63.81818181818182,[-0.588  0.563 -1.025 -1.101],989.72046,16,1.0193155e+22,352,True,2,308.04968,-64.02997,1.0791556e-21,1705.2377,201.25433,627.91254,1.0193155e+22,9.999999,,inf,669.85754,1705.2377,11,0.012410573,,0.027083786,0.08318815,-inf,-1.0,17.61702609062195,1.0791556e-21,9.999999,319.86288,1.0,1.2829423e-24,-36.523525,,4092,-inf,0.41894197
1.0,710.6043055117447,72.0909090909091,[-0.588  0.563 -1.025 -1.101],1259.6642,17,1.0,363,True,1,340.794,-48.80853,11.0,20164180.0,230.21654,710.6043,1.0,10.0,,25966990000000.0,889.8539,557958.2,11,40.43633,,87.01662,309.58047,-834177.6,-1.0,18.303789854049683,11.0,10.0,369.81027,1.0,0.5915906,-48.80853,,4885,-1407568800000.0,0.41894197
921.14655,509.80514516244835,52.0,[-0.689  0.505 -1.028 -1.057],769.77704,17,921.14655,374,True,2,180.06898,-33.469822,0.01194164,83908.11,124.61378,509.80515,921.14655,9.999998,,6.147211e+22,440.0409,83908.11,11,0.35564068,,0.6308749,2.140623,-2.5574784e+16,-1.0,19.195153951644897,0.01194164,9.999998,329.73615,1.0,4.784835e-06,-32.501236,,5457,-2.5574784e+16,0.41894197
1.0,414.39458076540774,42.45454545454545,[-0.689  0.505 -1.028 -1.057],659.8656,18,1.0,385,True,1,394.43085,-31.461868,11.0,79159944.0,199.79501,414.39456,1.0,9.999998,,1235454400000.0,639.90186,211640.9,11,526.6476,,1052.3512,3282.4893,-287438.44,-1.0,19.82587242126465,11.0,9.999998,19.963741,1.0,0.3243232,-31.461868,,5924,-84328670000.0,0.41894197
5896045.0,382.5687439778181,39.27272727272727,[-0.709  0.685 -1.024 -0.884],979.7975,18,5896045.0,396,True,2,352.61273,-49.937202,1.8656574e-06,50781760.0,268.0379,382.56876,5896045.0,9.999997,,inf,949.84143,50781760.0,11,53.084774,,167.14311,581.6359,-inf,-1.0,20.260202646255493,1.8656574e-06,9.999997,29.95603,1.0,2.8300595e-09,-42.05548,,6356,-inf,0.41894197
1.0,347.1262586058069,35.72727272727273,[-0.709  0.685 -1.024 -0.884],649.8192,19,1.0,407,True,1,287.18085,-37.628914,11.0,40353864.0,205.26761,347.12625,1.0,10.0,,5.8186467e+24,589.8738,162631.44,11,487.93005,,847.56226,2852.8662,-236138.48,-1.0,21.08641791343689,11.0,10.0,59.94543,1.0,0.38669646,-37.628914,,6749,-1.773124e+17,0.41894197
54596.953,455.262494275585,46.54545454545455,[-0.763  0.519 -1.073 -1.057],659.8241,19,54596.953,418,True,2,105.44067,-32.84582,0.00020147645,4325.539,94.12952,455.2625,54596.953,9.999995,,1.2796864e+32,310.00226,4325.539,11,0.015867215,,0.033149436,0.09562796,-8.573362e+20,-1.0,21.96647620201111,0.00020147645,9.999995,349.82184,1.0,1.6774594e-08,-27.227896,,7261,-8.573362e+20,0.41894197
1.0,437.9824299770211,44.81818181818182,[-0.763  0.519 -1.073 -1.057],709.7164,20,1.0,429,True,1,388.0594,-33.95524,11.0,10952154.0,213.33238,437.98242,1.0,9.99999,,3.6776637e+16,659.79333,237339.31,11,34.0422,,57.75965,202.8397,-325021.97,-1.0,22.588110208511353,11.0,9.99999,49.923065,1.0,0.35335457,-33.95524,,7754,-16815080000000.0,0.41894197
131295.25,509.77438378440473,52.0,[-0.683  0.611 -1.087 -1.082],1159.638,20,131295.25,440,True,2,409.9159,-60.52737,8.378064e-05,622861.9,259.57748,509.77438,131295.25,9.999999,,6.009145e+33,1059.7794,622861.9,11,4.393788,,11.951956,41.80919,-1.8146554e+22,-1.0,23.6302707195282,8.378064e-05,9.999999,99.85849,1.0,1.383733e-12,-46.874252,,8326,-1.8146554e+22,0.41894197
1.0,654.2926236814809,66.45454545454545,[-0.683  0.611 -1.087 -1.082],1329.4467,21,1.0,451,True,1,294.50864,-49.974037,11.0,2725999.2,310.6365,654.2926,1.0,9.999999,,47258505000.0,969.66266,524593.9,11,9.648141,,14.569416,45.266735,-832264.8,-1.0,24.615154266357422,11.0,9.999999,359.784,1.0,0.40978125,-49.974037,,9057,-66887127000.0,0.41894197
