MeanEntropy,MaxIW,TimeElapsed,EmpiricalD2Harmonic,EmpiricalD2Arithmetic,InitialReturnMax,OptimizationReturnMean,InitialBound,LearnableVariance,Epsilon,EpisodesSoFar,EpThisIter,Weights,InitialReturnMin,Iteration,Inner Iteration,Penalization,ReturnStepMax,Bound,StdIW,EpLenMean,VarianceInitializer,InitialReturnStd,TimestepsSoFar,MinIW,WReturnMean,ESSRenyiHarmonic,OptimizationReturnMax,MeanIW,InitialReturnMean,EpRewMean,DivergenceHarmonic,MinBehavPdf,MeanD2-0,ESSRenyiArithmetic,ReturnStepMaxmin,OptimizationReturnMin,ReturnMeanIW,MinTargetPdf,StdWReturnMean
0.41894197,1.4692552,41.44320797920227,2364089900.0,2364089900.0,1469.6804,457.91925,-inf,,1.0,264,11,[-0.073  0.267 -0.947 -3.831],9.985943,12,2,True,9.999988,-inf,0.5157652,47.81818181818182,-1.0,360.79593,6712,2.379508e-15,5548.934,4.6529536e-09,1459.6945,0.25975534,467.90518,467.9051857713424,inf,-72.144516,2364089900.0,4.6529536e-09,9.999988,,5548.934,-85.54809,
0.41894197,16.534994,43.71896576881409,1.0,1.0,1938.8611,428.89798,-1161509.0,,1.0,275,11,[-0.073  0.267 -0.947 -3.831],99.82977,13,1,True,9.999882,-27087717000000.0,5.0699754,53.90909090909091,-1.0,477.03848,7305,0.072913,507118.78,11.0,1839.0312,3.0191789,528.7277,528.727759962199,1713451800000000.0,-70.66025,1.0,11.0,9.999882,,534898.9,-70.66025,
0.41894197,1.9772601,45.732531785964966,73.45679,73.45679,1139.2797,368.00388,-25060134000000.0,,1.0,286,11,[-0.014  0.284 -0.945 -3.821],59.90319,13,2,True,9.99993,-31074548000000.0,0.60452217,43.81818181818182,-1.0,299.49802,7787,0.09387714,84746.8,0.14974791,1079.3765,0.71297425,427.90704,427.9070525052295,1.8914821e+16,-58.5111,73.45679,0.14974791,9.99993,,90366.57,-60.666534,
0.41894197,82.66583,49.306390047073364,1.0,1.0,2769.271,476.4332,-2534109.5,,1.0,297,11,[-0.053  0.322 -0.95  -3.82 ],339.524,14,1,True,9.999988,-141647600000.0,24.226765,82.63636363636364,-1.0,730.3056,8696,0.5430397,1199132.5,11.0,2429.747,17.334972,815.9572,815.9572257406148,11255741000.0,-97.172615,1.0,11.0,9.999988,,15735927.0,-97.172615,
0.41894197,1.9240901,52.200989723205566,25.151533,25.151533,1219.7673,301.89014,-222289430000.0,,1.0,308,11,[ 0.007  0.338 -0.953 -3.828],349.6424,14,2,True,9.999993,-132628810000.0,0.553524,66.18181818181819,-1.0,319.1913,9424,5.6292873e-05,62462.39,0.43734908,870.12494,0.38333607,651.53253,651.5324999454405,262229200000.0,-54.720173,25.151533,0.43734908,9.999993,,86977.39,-59.207497,
0.41894197,56435.035,54.09190559387207,1.0,1.0,529.84454,301.69034,-197428.31,,1.0,319,11,[-3.344e-03  3.574e-01 -9.540e-01 -3.817e+00],59.901127,15,1,True,9.999947,-1.5073863e+18,16025.078,37.18181818181818,-1.0,133.4544,9833,1.4293424,148558.47,11.0,469.94342,6453.9155,361.5915,361.5914705213837,9.5141326e+26,-25.728466,1.0,11.0,9.999947,,1198334800.0,-25.728466,
0.41894197,1.3651099,56.52421975135803,2.4219763e+16,2.4219763e+16,1269.811,494.41483,-inf,,1.0,330,11,[-0.197  0.337 -0.957 -3.661],39.92797,15,2,True,9.999989,-inf,0.39244118,54.45454545454545,-1.0,279.97928,10432,1.2841227e-16,198.1598,4.5417457e-16,1229.883,0.124101974,534.34283,534.342769993449,inf,-51.152203,2.4219763e+16,4.5417457e-16,9.999989,,198.1598,-69.447845,
0.41894197,207.39818,59.515185594558716,1.0,1.0,1399.7867,422.87927,-1107439.0,,1.0,341,11,[-0.197  0.337 -0.957 -3.661],389.6704,16,1,True,9.999991,-12757862000.0,58.28644,82.27272727272727,-1.0,325.7515,11337,0.2816952,766351.0,11.0,1010.11633,24.144964,812.5496,812.5496594701387,1393122800.0,-59.37308,1.0,11.0,9.999991,,26893230.0,-59.37308,
0.41894197,152.86925,62.66451358795166,191.83759,191.83759,2859.6611,819.7967,-622498270000000.0,,1.0,352,11,[-0.14   0.362 -0.962 -3.661],19.966934,16,2,True,9.999998,-602489900000000.0,45.174194,85.0,-1.0,753.60767,12272,8.133896e-05,3710228.0,0.05734017,2839.694,19.185387,839.7637,839.7636692482381,1.791246e+17,-134.905,191.83759,0.05734017,9.999998,,4384170.5,-136.88298,
0.41894197,818832.6,66.09036707878113,1.0,1.0,1749.7512,509.32022,-1527989.5,,1.0,363,11,[-0.142  0.367 -0.962 -3.659],329.47827,17,1,True,9.999985,-4278288000000.0,234097.05,84.9090909090909,-1.0,539.8563,13206,0.85204965,995027.75,11.0,1420.273,82062.75,838.79846,838.7984572287962,64129205000000.0,-69.465355,1.0,11.0,9.999985,,10296462000.0,-69.465355,
0.41894197,1.2275741,69.43837666511536,282071.22,282071.22,1619.7185,811.5607,-inf,,1.0,374,11,[-0.106  0.469 -1.004 -3.706],19.966797,17,2,True,9.999992,-inf,0.3785884,84.18181818181819,-1.0,495.5334,14132,3.7381804e-09,50486.98,3.8997245e-05,1599.7517,0.1812057,831.5275,831.5275072080149,inf,-74.017944,282071.22,3.8997245e-05,9.999992,,50486.98,-78.20529,
0.41894197,5413270.5,72.93679165840149,1.0,1.0,2449.0493,855.1978,-3057995.5,,1.0,385,11,[-0.106  0.469 -1.004 -3.706],399.72437,18,1,True,9.999999,-2.4557118e+21,1548287.1,126.54545454545455,-1.0,662.62604,15524,103.502426,2013903.0,11.0,2049.325,518069.7,1254.9221,1254.922189477306,5.531955e+30,-120.243195,1.0,11.0,9.999999,,639321830000.0,-120.243195,
0.41894197,0.007853814,75.98173499107361,46708000.0,46708000.0,1469.3973,471.6293,-inf,,1.0,396,11,[-0.036  0.568 -1.02  -3.679],419.70807,18,2,True,9.999972,-inf,0.002247378,90.18181818181819,-1.0,353.82123,16516,1.5447275e-10,189.90875,2.355057e-07,1049.6892,0.00074938906,891.33734,891.3373963512854,inf,-59.133705,46708000.0,2.355057e-07,9.999972,,189.90875,-70.42921,
0.41894197,163.9716,82.0566656589508,1.0,1.0,2588.9602,641.7849,-3872407.0,,1.0,407,11,[-0.036  0.568 -1.02  -3.679],899.30743,19,1,True,9.999999,-29478222000.0,45.598038,155.1818181818182,-1.0,575.0156,18223,0.16803089,2705608.8,11.0,1689.6528,23.184132,1541.0923,1541.0923761093538,636291900.0,-105.0052,1.0,11.0,9.999999,,46074610.0,-105.0052,
0.41894197,35.31124,86.95553970336914,389.35925,389.35925,2898.903,1410.3705,-3713160300000000.0,,1.0,418,11,[-0.091  0.539 -1.027 -3.675],29.94369,19,2,True,9.99999,-3327027400000000.0,10.023233,145.0909090909091,-1.0,794.9631,19819,5.1071e-05,4133361.2,0.028251544,2868.9595,3.8516572,1440.3141,1440.3141599784337,5.1723974e+18,-117.71919,389.35925,0.028251544,9.99999,,5427383.5,-121.502754,
0.41894197,369.3903,90.44719743728638,1.0,1.0,2478.776,543.5406,-2375932.5,,1.0,429,11,[-0.082  0.526 -1.027 -3.682],359.69266,20,1,True,9.999985,-23745070000.0,104.14918,91.36363636363636,-1.0,700.3637,20824,0.42976663,1306339.8,11.0,2119.0833,42.210697,903.2332,903.2332800080313,492358750.0,-102.96384,1.0,11.0,9.999985,,11755012.0,-102.96384,
0.41894197,24.52497,93.4450991153717,21.496147,21.496147,2499.508,589.88763,-60935870000.0,,1.0,440,11,[-0.099  0.469 -1.03  -3.702],109.816,20,2,True,9.999998,-1.6409871e+17,7.298837,71.0,-1.0,646.47,21605,3.73538e-05,436075.12,0.5117196,2389.6921,3.3133729,699.7037,699.7036207192726,2.2767011e+22,-105.11169,21.496147,0.5117196,9.999998,,3176824.2,-106.836784,
