EmpiricalD2Harmonic,InitialReturnMax,ESSRenyiHarmonic,TimestepsSoFar,LearnableVariance,Weights,StdIW,EpLenMean,OptimizationReturnMean,MeanEntropy,EpRewMean,InitialReturnMin,InitialBound,MeanD2-0,MaxIW,Bound,Penalization,ReturnStepMax,ReturnMeanIW,MeanIW,EpisodesSoFar,MinIW,DivergenceHarmonic,InitialReturnMean,WReturnMean,ReturnStepMaxmin,OptimizationReturnMin,Epsilon,Iteration,EmpiricalD2Arithmetic,VarianceInitializer,EpThisIter,StdWReturnMean,Inner Iteration,OptimizationReturnMax,TimeElapsed,InitialReturnStd,MinTargetPdf,MinBehavPdf,ESSRenyiArithmetic
151312.5,889.7395,7.2697236e-05,14371,,[-0.368  0.344 -0.622 -1.522],0.9575917,57.36363636363637,473.53952,0.41894197,563.4248607118677,89.88536,-6.900693e+21,151312.5,3.3612428,-6.900693e+21,True,9.999993,173882.2,0.36013925,352,1.476809e-10,2.50754e+33,563.42487,173882.2,9.999993,,1.0,16,151312.5,-1.0,11,,2,799.8541,14.068689584732056,199.84103,-41.93624,-39.742958,7.2697236e-05
1.0,1039.6111,11.0,15050,,[-0.368  0.344 -0.622 -1.522],19208.863,61.72727272727273,207.27208,0.41894197,607.0312303897105,399.75916,-595744.2,1.0,56586.152,-56701588000000.0,True,9.999998,3801940500.0,10007.768,363,1.9634922,9.081603e+16,607.03125,407602.0,9.999998,,1.0,17,1.0,-1.0,11,,1,639.8519,14.588923454284668,197.77534,-59.85643,-59.85643,11.0
28094.494,729.7691,0.00039153578,15568,,[-0.464  0.27  -0.616 -1.552],0.21926452,47.09090909090909,160.7938,0.41894197,460.6590823880624,299.8653,-2.0440537e+20,28094.494,0.7690231,-2.0440537e+20,True,9.999999,14792.79,0.07623278,374,3.853349e-06,4.8613473e+30,460.6591,14792.79,9.999999,,1.0,17,28094.494,-1.0,11,,2,429.9038,14.845272302627563,133.07394,-32.815258,-30.188805,0.00039153578
1.0,829.7179,11.0,16135,,[-0.464  0.27  -0.616 -1.552],80.50691,51.54545454545455,135.46101,0.41894197,505.21383640205727,369.7528,-393542.03,1.0,284.6033,-64387146000.0,True,9.999993,5704857.0,30.243237,385,0.2068519,288611400000.0,505.21384,273701.12,9.999993,,1.0,18,1.0,-1.0,11,,1,459.9651,15.214298009872437,135.86809,-38.395622,-38.395622,11.0
136.33636,869.7641,0.0806828,16625,,[-0.541  0.185 -0.605 -1.504],86.763245,44.54545454545455,315.41785,0.41894197,435.22561596636154,119.807785,-21670595000000.0,136.33636,298.69778,-18063047000000.0,True,9.999999,10034263.0,39.87835,396,0.0054582213,1.8814366e+16,435.2256,8010889.0,9.999999,,1.0,18,136.33636,-1.0,11,,2,749.9563,15.51491379737854,209.32477,-35.87056,-34.085663,0.0806828
1.0,1159.8474,11.0,17140,,[-0.528  0.174 -0.604 -1.519],417.82672,46.81818181818182,338.14404,0.41894197,457.9866975219301,119.84265,-549778.94,1.0,1302.5226,-2672815900000000.0,True,9.999998,37919708.0,261.53278,407,1.3384389,1.3027124e+20,457.9867,315601.12,9.999998,,1.0,19,1.0,-1.0,11,,1,1040.0048,15.865999698638916,325.34488,-43.516205,-43.516205,11.0
7987209400000.0,1239.6461,1.3772018e-12,17844,,[-0.498  0.406 -0.638 -1.439],0.12354485,64.0,609.8282,0.41894197,629.7927154152302,19.964478,-inf,7987209400000.0,0.4297936,-inf,True,9.999992,27.026093,0.039110538,418,3.8135753e-20,inf,629.7927,27.026093,9.999992,,1.0,19,7987209400000.0,-1.0,11,,2,1219.6816,16.46168613433838,303.3438,-61.769478,-44.421432,1.3772018e-12
1.0,949.74963,11.0,18528,,[-0.498  0.406 -0.638 -1.439],600.2281,62.18181818181818,191.83946,0.41894197,611.5821155249906,419.74265,-563194.3,1.0,2066.843,-70722190000000.0,True,9.999997,73731600.0,342.48093,429,0.6286672,2.02856e+17,611.5821,406171.44,9.999997,,1.0,20,1.0,-1.0,11,,1,530.00696,16.944833040237427,179.27286,-45.320885,-45.320885,11.0
677769.8,1399.6923,1.6229698e-05,19359,,[-0.424  0.507 -0.652 -1.433],0.04930084,75.54545454545455,285.51892,0.41894197,745.1749590766998,459.65607,-inf,677769.8,0.16854703,-inf,True,9.999997,8206.475,0.02887281,440,2.6681832e-11,inf,745.175,8206.475,9.999997,,1.0,20,677769.8,-1.0,11,,2,940.0362,17.512200117111206,305.28366,-61.02841,-51.87032,1.6229698e-05
1.0,1709.4835,11.0,20111,,[-0.424  0.507 -0.652 -1.433],538716.5,68.36363636363636,643.4324,0.41894197,673.3761318022778,29.943787,-1118205.8,1.0,1890223.6,-938939440000000.0,True,10.0,44964840000.0,230085.39,451,0.22083788,3.4063387e+18,673.3761,609491.0,10.0,,1.0,21,1.0,-1.0,11,,1,1679.5398,17.94004726409912,395.03867,-64.81703,-64.81703,11.0
17461454.0,2019.0288,6.29959e-07,21127,,[-0.329  0.587 -0.658 -1.433],0.034871224,92.36363636363636,373.50345,0.41894197,913.1808411004683,539.67737,-inf,17461454.0,0.116285086,-inf,True,9.999999,17457.182,0.018224876,462,1.657744e-10,inf,913.18085,17457.182,9.999999,,1.0,21,17461454.0,-1.0,11,,2,1479.3514,18.58591604232788,395.10373,-82.90829,-75.41613,6.29959e-07
1.0,949.7888,11.0,21671,,[-0.329  0.587 -0.658 -1.433],10.808387,49.45454545454545,444.36258,0.41894197,484.312223451894,39.949673,-461560.03,1.0,36.857937,-315875820000000.0,True,9.999995,4115325.0,9.509747,473,1.0739735,4.046118e+18,484.31223,304524.4,9.999995,,1.0,22,1.0,-1.0,11,,1,909.8392,19.034291982650757,264.511,-38.151356,-38.151356,11.0
99842.07,939.8169,0.000110174,22310,,[-0.446  0.543 -0.656 -1.425],0.19577135,58.09090909090909,460.81845,0.41894197,570.6720388003129,109.85356,-2.8250596e+22,99842.07,0.5029793,-2.8250596e+22,True,9.999998,26792.773,0.11962779,484,1.6694134e-11,3.3759516e+34,570.67206,26792.773,9.999998,,1.0,22,99842.07,-1.0,11,,2,829.9633,19.591448307037354,205.79228,-51.145668,-41.584755,0.000110174
1.0,1129.4207,11.0,23168,,[-0.446  0.543 -0.656 -1.425],93205.26,78.0,340.06708,0.41894197,769.694441894068,429.62738,-845919.5,1.0,321488.62,-373254940000000.0,True,9.999998,24499456000.0,44329.535,495,0.872748,2.825174e+18,769.6944,623866.6,9.999998,,1.0,23,1.0,-1.0,11,,1,699.7933,19.97572660446167,177.30489,-46.293213,-46.293213,11.0
654848.8,1829.6459,1.679777e-05,24179,,[-0.351  0.619 -0.679 -1.446],0.10667131,91.9090909090909,658.99084,0.41894197,908.7928239228609,249.80194,-2.9736618e+24,654848.8,0.33086377,-2.9736618e+24,True,9.999994,85051.89,0.07270669,506,1.2590258e-09,2.603928e+37,908.7928,85051.89,9.999994,,1.0,23,654848.8,-1.0,11,,2,1579.844,20.611565589904785,488.90167,-81.2818,-78.49924,1.679777e-05
1.0,1369.3052,11.0,24906,,[-0.351  0.619 -0.679 -1.446],23932.652,66.0909090909091,600.64276,0.41894197,650.5926588195432,49.949913,-912388.06,1.0,83293.98,-1045799800000000.0,True,10.0,14224468000.0,7613.024,517,1.2756269,1.0265927e+19,650.5927,585991.9,10.0,,1.0,24,1.0,-1.0,11,,1,1319.3552,20.966912269592285,403.387,-60.094543,-60.094543,11.0
116835.62,1429.6504,9.414937e-05,25902,,[-0.466  0.576 -0.702 -1.434],25.075453,90.54545454545455,355.3971,0.41894197,895.1529573418829,539.75586,-6.2934044e+21,116835.625,87.4622,-6.2934044e+21,True,9.999999,10017287.0,11.062041,528,0.00013219046,3.128714e+32,895.15295,10017287.0,9.999999,,1.0,24,116835.625,-1.0,11,,2,889.89453,21.506221532821655,240.09195,-61.568596,-58.91849,9.414936e-05
1.0,1499.5139,11.0,26846,,[-0.466  0.576 -0.702 -1.434],4385.917,85.81818181818181,238.16466,0.41894197,847.9106398194616,609.746,-1196041.1,1.0,15326.003,-7345924500000.0,True,9.999999,1764152300.0,1828.1603,539,0.30765048,352043400000000.0,847.9107,804618.4,9.999999,,1.0,25,1.0,-1.0,11,,1,889.76794,21.974697589874268,292.68735,-76.12533,-76.12533,11.0
11049.731,2029.2654,0.0009954993,27638,,[-0.569  0.53  -0.751 -1.457],108.8997,72.0,629.8236,0.41894197,709.70350842249,79.879944,-1.8564904e+19,11049.731,380.12723,-1.8564904e+19,True,10.0,25191286.0,35.931114,550,1.4151897e-07,6.707242e+26,709.7035,25191286.0,10.0,,1.0,25,11049.731,-1.0,11,,2,1949.3855,22.379294872283936,479.48947,-99.35614,-94.085594,0.0009954993
1.0,819.66925,11.0,28209,,[-0.569  0.53  -0.751 -1.457],83.366325,51.90909090909091,478.91406,0.41894197,508.8682504135349,29.95416,-410781.56,1.0,275.6177,-10241168000.0,True,9.999999,11249744.0,47.460682,561,0.10464165,7650745300.0,508.86826,293825.8,9.999999,,1.0,26,1.0,-1.0,11,,1,789.7151,22.801825523376465,186.75896,-35.042027,-35.042027,11.0
234.32945,1229.4108,0.046942458,29003,,[-0.573  0.65  -0.751 -1.422],21.268097,72.18181818181819,271.8494,0.41894197,711.5303842887864,439.68097,-332130300000000.0,234.32944,74.22311,-1.5469128e+18,True,9.999995,1567684.5,6.972873,572,5.264832e-07,3.456667e+25,711.53046,163154.53,9.999995,,1.0,26,234.32944,-1.0,11,,2,789.7298,23.19734787940979,289.45215,-72.86573,-67.01454,0.046942458
1.0,999.83093,11.0,29693,,[-0.48   0.606 -0.763 -1.504],455.972,62.72727272727273,557.1316,0.41894197,617.0325658531576,59.90097,-617500.1,1.0,1554.521,-9502207000000.0,True,9.999999,177320690.0,278.9151,583,0.43769503,2981539000000000.0,617.03253,443480.78,9.999999,,1.0,27,1.0,-1.0,11,,1,939.92993,23.784298181533813,250.50267,-38.202076,-38.202076,11.0
580918.4,1659.576,1.8935534e-05,30805,,[-0.385  0.67  -0.766 -1.453],0.48539314,101.0909090909091,790.70386,0.41894197,1000.554665102503,209.85088,-6.717113e+23,580918.4,1.5634093,-6.717113e+23,True,10.0,144594.69,0.22418647,594,1.7723247e-08,1.9628657e+36,1000.5547,144594.69,10.0,,1.0,27,580918.4,-1.0,11,,2,1449.7252,24.22222638130188,412.3327,-60.373283,-51.883858,1.8935534e-05
1.0,1549.3595,11.0,31621,,[-0.385  0.67  -0.766 -1.453],3828.3513,74.18181818181819,461.66574,0.41894197,731.5238049886149,269.85803,-1110840.2,1.0,13382.271,-1781258100000000.0,True,9.999997,820864260.0,1289.461,605,1.4909054,1.8170148e+19,731.5238,692962.75,9.999997,,1.0,28,1.0,-1.0,11,,1,1279.5015,24.919548749923706,397.28534,-68.03511,-68.03511,11.0
4075619.2,1379.199,2.6989765e-06,32459,,[-0.488  0.604 -0.779 -1.477],0.053977057,76.18181818181819,311.75,0.41894197,751.4881276838373,439.73816,-inf,4075619.2,0.17767513,-inf,True,9.999997,10023.423,0.023675663,616,3.0657543e-13,inf,751.4881,10023.423,9.999997,,1.0,28,4075619.2,-1.0,11,,2,939.4608,25.38257145881653,281.30518,-60.618576,-54.354767,2.6989765e-06
1.0,1119.8057,11.0,33210,,[-0.488  0.604 -0.779 -1.477],4898.8423,68.27272727272727,642.5616,0.41894197,672.5105922566279,29.949026,-745465.6,1.0,16188.227,-19582660000000.0,True,9.999999,1483043000.0,2135.367,627,0.78788406,8046757000000000.0,672.5106,527177.6,9.999999,,1.0,29,1.0,-1.0,11,,1,1089.8567,25.73023223876953,273.6916,-56.16503,-56.16503,11.0
25699.06,739.7219,0.0004280312,33835,,[-0.553  0.507 -0.777 -1.521],0.00708236,56.81818181818182,148.12639,0.41894197,557.9392199102632,409.81284,-4.2429595e+19,25699.062,0.024910668,-4.2429595e+19,True,9.999998,1342.2986,0.002586327,638,5.002579e-10,1.9841652e+29,557.9392,1342.2986,9.999998,,1.0,29,25699.062,-1.0,11,,2,329.9091,26.34788990020752,107.582924,-36.496853,-33.10307,0.00042803117
1.0,969.7046,11.0,34534,,[-0.553  0.507 -0.777 -1.521],569146.4,63.54545454545455,195.52281,0.41894197,625.2170944833541,429.69427,-577261.2,1.0,1979864.6,-5915417000000.0,True,9.999998,33264480000.0,180065.83,649,0.5441782,1291304500000000.0,625.2171,413570.75,9.999998,,1.0,30,1.0,-1.0,11,,1,540.0103,26.669994354248047,150.57986,-42.26358,-42.26358,11.0
66985.625,1129.5944,0.00016421433,35187,,[-0.48   0.597 -0.78  -1.475],0.24517877,59.36363636363637,573.42267,0.41894197,583.4028488417558,9.98016,-1.2760644e+21,66985.625,0.71931636,-1.2760644e+21,True,9.999998,3474.1758,0.12361911,660,7.62835e-08,3.3004192e+31,583.4029,3474.1758,9.999998,,1.0,30,66985.625,-1.0,11,,2,1119.6143,27.18885612487793,306.8016,-52.083843,-43.88944,0.00016421433
1.0,1089.6702,11.0,36021,,[-0.48   0.597 -0.78  -1.475],1017.93176,75.81818181818181,238.10419,0.41894197,747.8850470491416,509.78088,-802745.1,1.0,3485.9836,-151606780000000.0,True,9.999996,264200820.0,549.52734,671,0.1589477,5.3798403e+17,747.885,596047.8,9.999996,,1.0,31,1.0,-1.0,11,,1,579.8893,27.686436891555786,191.6136,-50.56707,-50.56707,11.0
