MinIW,MeanEntropy,StdIW,EpRewMean,DivergenceHarmonic,InitialReturnMax,StdWReturnMean,Weights,InitialReturnMin,Iteration,Epsilon,OptimizationReturnMean,InitialReturnMean,EmpiricalD2Arithmetic,EpThisIter,EpisodesSoFar,TimestepsSoFar,WReturnMean,InitialReturnStd,TimeElapsed,Penalization,ReturnStepMaxmin,InitialBound,EmpiricalD2Harmonic,ReturnStepMax,VarianceInitializer,MeanIW,LearnableVariance,Bound,ESSRenyiHarmonic,OptimizationReturnMax,OptimizationReturnMin,MinBehavPdf,EpLenMean,ESSRenyiArithmetic,MinTargetPdf,MeanD2-0,MaxIW,Inner Iteration,ReturnMeanIW
1.5109349e-05,0.41894197,0.90571725,347.06795230289225,9.5426365e+26,549.80554,,[-0.798  0.413 -0.675 -1.232],119.90379,14,1.0,227.16417,347.06796,5710.8823,11,308,11205,43367.316,99.64184,33.914191007614136,True,9.999993,-1.6255317e+18,5710.8823,9.999993,-1.0,0.3327742,,-1.6255317e+18,0.0019261471,429.90173,,-18.560863,35.72727272727273,0.0019261471,-24.052044,5710.8823,3.181851,2,43367.316
0.15265778,0.41894197,417457860.0,396.1634576678735,5.2891e+36,779.78326,,[-0.798  0.413 -0.675 -1.232],159.74823,15,1.0,236.41522,396.16345,1.0,11,319,11652,179427.89,149.94133,34.859912633895874,True,9.999999,-285278.12,1.0,9.999999,-1.0,132013660.0,,-2.4343428e+23,11.0,620.03503,,-34.773247,40.63636363636363,11.0,-34.773247,1.0,1452131300.0,1,29130340000000.0
7.959096e-05,0.41894197,0.41797268,187.1221229029462,5.3242105e+24,309.8687,,[-0.924  0.2   -0.665 -1.26 ],,15,1.0,187.12213,187.12213,2205.3865,11,330,11869,4778.195,98.76395,35.24617886543274,True,9.999883,-3.856791e+16,2205.3865,9.999883,-1.0,0.29066297,,-3.856791e+16,0.004987788,309.8687,,-14.908111,19.727272727272727,0.004987788,-16.0665,2205.3865,1.2411395,2,4778.195
3.63618,0.41894197,37885.938,264.3797668008487,9.594642e+25,409.89774,,[-0.924  0.2   -0.665 -1.26 ],179.77907,16,1.0,84.60069,264.37976,1.0,11,341,12171,73070.29,56.335,36.159801959991455,True,9.999998,-102318.19,1.0,9.999998,-1.0,17892.324,,-2.8648935e+17,11.0,230.11867,,-17.744831,27.454545454545453,11.0,-17.744831,1.0,104524.28,1,1345891800.0
0.0001745773,0.41894197,0.19302328,206.26085149178672,1161310000000000.0,379.8871,,[-1.223 -0.138 -0.632 -1.047],49.93329,16,1.0,156.32755,206.26083,148.99883,11,352,12409,781.7143,112.50764,36.85182523727417,True,9.999969,-1003449900000.0,148.99883,9.999969,-1.0,0.103968546,,-856103300000.0,0.07382608,329.9538,,-12.337015,21.636363636363637,0.07382608,-14.445303,148.99883,0.6787524,2,1232.4469
1.2453868,0.41894197,91.840935,240.78105194406643,2030249800000.0,559.89124,,[-1.187 -0.202 -0.645 -1.232],119.819214,17,1.0,120.96184,240.78105,1.0,11,363,12685,78950.41,144.82707,37.70234823226929,True,9.999999,-133520.02,1.0,9.999999,-1.0,54.13591,,-77756560000.0,11.0,440.07202,,-31.016466,25.09090909090909,11.0,-31.016466,1.0,334.1488,1,2145194.2
3.062833e-20,0.41894197,0.85528946,289.8582937589485,inf,429.81464,,[-1.118  0.283 -0.741 -1.259],39.932796,17,1.0,249.92549,289.85828,58645990000000.0,11,374,13015,2603.9824,101.52274,38.737815380096436,True,9.999988,-inf,58645987000000.0,9.999988,-1.0,0.28516975,,-inf,1.8756611e-13,389.88184,,-15.973511,30.0,1.875661e-13,-35.87194,58645990000000.0,2.9864953,2,2603.9824
0.051231083,0.41894197,18.388319,276.20036059185145,40852754000.0,369.8952,,[-1.118  0.283 -0.741 -1.259],169.78102,18,1.0,106.41934,276.20038,1.0,11,385,13330,79895.23,60.071453,39.85374307632446,True,9.999885,-103712.99,1.0,9.999885,-1.0,25.320076,,-4815663600.0,11.0,200.11418,,-19.870584,28.636363636363637,11.0,-19.870584,1.0,68.80494,1,1608377.9
5.421079e-10,0.41894197,0.3958347,554.3767942020538,inf,1039.8615,,[-0.952  0.466 -0.757 -1.294],309.78955,18,1.0,244.58722,554.3768,25739502.0,11,396,13951,44926.395,229.52052,41.030261516571045,True,9.999998,-inf,25739502.0,9.999998,-1.0,0.13534197,,-inf,4.2735869e-07,730.0719,,-34.894775,56.45454545454545,4.2735869e-07,-45.562553,25739502.0,1.3857328,2,44926.395
1.6311923,0.41894197,1699.1611,473.4408079550495,2.8239551e+22,829.8551,,[-0.952  0.466 -0.757 -1.294],299.74252,19,1.0,173.69827,473.44083,1.0,11,407,14483,251485.97,165.34737,42.246458768844604,True,9.999994,-371366.5,1.0,9.999994,-1.0,823.2725,,-2.0145428e+16,11.0,530.11255,,-39.56659,48.36363636363637,11.0,-39.56659,1.0,6071.534,1,105114700.0
9.5083274e-20,0.41894197,0.90473914,330.7742009293119,inf,609.809,,[-1.219  0.527 -0.782 -0.877],19.970005,19,1.0,310.8042,330.7742,50167677000.0,11,418,14858,11022.008,140.4411,43.311553955078125,True,9.999999,-inf,50167677000.0,9.999999,-1.0,0.40091613,,-inf,2.1926469e-10,589.839,,-24.839907,34.09090909090909,2.1926469e-10,-46.739674,50167677000.0,2.976397,2,11022.008
0.6152584,0.41894197,641.1784,338.9474778874877,87536796000.0,739.69257,,[-1.219  0.527 -0.782 -0.877],19.966923,20,1.0,318.9806,338.94748,1.0,11,429,15242,145851.94,175.97313,44.17779064178467,True,9.999995,-241097.84,1.0,9.999995,-1.0,206.3211,,-28206970000.0,11.0,719.72565,,-28.060596,34.90909090909091,11.0,-28.060596,1.0,2233.857,1,26982818.0
6.170864e-05,0.41894197,1447.3411,270.7403118664595,2.3796153e+20,539.7652,,[-1.256  0.361 -0.801 -1.059],9.98369,20,1.0,260.75662,270.7403,368.32303,11,440,15551,133455176.0,127.712,45.19798755645752,True,9.999992,-782359300000000.0,368.32303,9.999992,-1.0,459.27316,,-782359300000000.0,0.02986509,529.7815,,-36.19436,28.09090909090909,0.02986509,-31.93216,368.32303,5036.158,2,133455176.0
0.3755275,0.41894197,3076.3,318.9371419701526,2.3114642e+20,519.7057,,[-1.256  0.361 -0.801 -1.059],239.87433,21,1.0,79.06282,318.93713,1.0,11,451,15913,110051.72,91.27327,45.94922614097595,True,9.999997,-157069.12,1.0,9.999997,-1.0,1087.3716,,-714828050000000.0,11.0,279.83136,,-33.769115,32.90909090909091,11.0,-33.769115,1.0,10806.209,1,90802856.0
