MinTargetPdf,EmpiricalD2Arithmetic,Penalization,TimeElapsed,LearnableVariance,MeanIW,OptimizationReturnMean,MaxIW,ESSRenyiArithmetic,OptimizationReturnMax,ReturnStepMaxmin,StdWReturnMean,EpLenMean,TimestepsSoFar,VarianceInitializer,ESSRenyiHarmonic,ReturnStepMax,StdIW,Bound,InitialReturnStd,DivergenceHarmonic,ReturnMeanIW,Iteration,InitialBound,OptimizationReturnMin,EpThisIter,InitialReturnMax,Inner Iteration,WReturnMean,Epsilon,EmpiricalD2Harmonic,EpisodesSoFar,MinIW,Weights,EpRewMean,MeanEntropy,MeanD2-0,InitialReturnMin,MinBehavPdf,InitialReturnMean
-3.603022,1.0,True,13.467629671096802,,10.98476,21.81591,54.78459,11.0,49.967545,9.999767,,4.181818181818182,1373,-1.0,11.0,9.999767,20.141966,-16303714.0,15.8425665,677261900.0,21095.074,12,-1887.9008,,11,59.95169,1,1262.2305,1.0,1.0,253,0.13541901,[-0.175  0.095  0.461  2.388],31.800055437377953,0.41894197,1.0,9.984145,-3.603022,31.800055
-8.199516,2482.7397,True,13.695477962493896,,0.5070126,23.632574,2.5328343,0.0044305893,59.953735,9.999489,,4.363636363636363,1421,-1.0,0.0044305893,9.999489,0.7982036,-4488693400000000.0,17.192654,2.7794708e+25,124.65258,12,-4488693400000000.0,,11,69.93554,2,124.65258,1.0,2482.7397,264,3.2432006e-05,[-0.184 -0.064  0.462  2.194],33.614380005843465,0.41894197,2482.7397,9.981803,-3.6740494,33.61438
-4.737405,1.0,True,14.00183391571045,,136.00899,13.637171,1433.0619,11.0,29.996239,9.99997,,4.363636363636363,1469,-1.0,11.0,9.99997,410.33878,-222955200.0,10.674751,262499010000.0,220344.89,13,-1678.6211,,11,49.973602,1,1243.8872,1.0,1.0,275,0.17668101,[-0.184 -0.064  0.462  2.194],33.61453284995027,0.41894197,1.0,19.977364,-4.737405,33.614532
-9.217908,44.911034,True,14.396050930023193,,3.1740553,22.728956,31.15248,0.24492867,39.988358,9.99989,,4.2727272727272725,1516,-1.0,0.24492867,9.99989,8.861601,-1821267500.0,13.541053,17558497000000.0,2841.915,13,-1834689900.0,,11,49.96814,2,2822.186,1.0,44.911034,286,0.00011339504,[-0.201  0.072  0.454  2.403],32.70873728716196,0.41894197,44.911034,9.979782,-6.374551,32.708736
-6.8534374,1.0,True,14.91521143913269,,916730.56,20.001648,10081139.0,11.0,50.001305,9.999855,,4.0,1560,-1.0,11.0,9.999855,2898040.2,-5.089347e+18,15.9523,6.6026446e+31,2289322500.0,14,-1779.8193,,11,59.983253,1,1153.492,1.0,1.0,297,0.28805327,[-0.206  0.067  0.45   2.407],29.983596268098406,0.41894197,1.0,9.98195,-6.8534374,29.983599
-20.31606,300153730000.0,True,15.287508249282837,,0.16474628,22.71624,1.0971082,3.6647886e-11,39.99021,9.9999895,,4.2727272727272725,1607,-1.0,3.6647886e-11,9.9999895,0.3585749,-inf,13.54362,inf,46.306595,14,-inf,,11,49.980343,2,46.306595,1.0,300153730000.0,308,8.497252e-17,[-0.231 -0.242  0.43   2.016],32.706369166078794,0.41894197,300153730000.0,9.990129,-3.6614285,32.70637
-3.656583,1.0,True,15.670106172561646,,58.4822,17.271206,513.6139,11.0,30.001392,9.999527,,3.727272727272727,1648,-1.0,11.0,9.999527,145.08618,-497760800.0,7.495592,3197609700000.0,56745.637,15,-1077.3905,,11,39.985977,1,799.062,1.0,1.0,319,0.7887971,[-0.231 -0.242  0.43   2.016],27.255791058151306,0.41894197,1.0,9.984584,-3.656583,27.25579
-23.094437,6159201.5,True,15.97791576385498,,0.624153,10.914725,5.01807,1.7859458e-06,20.01631,9.999764,,4.090909090909091,1693,-1.0,1.7859458e-06,9.999764,1.4025655,-inf,7.92643,inf,512.75165,15,-inf,,11,39.986458,2,512.75165,1.0,6159201.5,330,6.279864e-16,[-0.391 -0.188  0.235  2.444],30.884873340907856,0.41894197,6159201.5,19.970148,-5.5924296,30.88487
-2.8208551,1.0,True,16.223567962646484,,15327.625,20.905657,135780.53,11.0,50.00653,9.999873,,4.090909090909091,1738,-1.0,11.0,9.999873,39199.973,-8081392000000000.0,15.640975,1.664157e+26,22437074.0,16,-1825.1809,,11,59.98919,1,1198.7283,1.0,1.0,341,0.6444153,[-0.391 -0.188  0.235  2.444],30.888315599995284,0.41894197,1.0,9.98266,-2.8208551,30.888317
-16.985542,1930599.9,True,16.54372000694275,,0.486403,23.626806,2.7207315,5.697711e-06,39.993275,9.999944,,4.363636363636363,1786,-1.0,5.697711e-06,9.999944,0.89365715,-inf,12.979879,inf,126.894135,16,-inf,,11,49.981586,2,126.894135,1.0,1930599.9,352,6.746259e-13,[-0.399 -0.569  0.345  2.14 ],33.615116988167564,0.41894197,1930599.9,9.988312,-3.3287969,33.615116
-5.6796923,1.0,True,16.807098150253296,,1337840.6,16.358002,13855659.0,11.0,39.980934,9.999898,,4.636363636363637,1837,-1.0,11.0,9.999898,3966024.8,-6.614102e+20,10.674714,1.1163489e+36,2137907000.0,17,-2060.8528,,11,59.967224,1,1434.8573,1.0,1.0,363,1.1974006,[-0.399 -0.569  0.345  2.14 ],36.34429356504447,0.41894197,1.0,19.986292,-5.6796923,36.344296
