EpThisIter,entloss,J_hat,EpisodesSoFar,meankl,DiscEpRewMean,Step_size,Var_J,EpLenMean,TimestepsSoFar,TimeElapsed,optimgain,surrgain,SampleRenyi2,entropy,EpRewMean,ev_tdlam_before
100,,62.65583038330078,9400,0.0102362,62.4756814482,1.0,0.13529589772224426,500.0,4700000,6647.6367309093475,0.00447361,0.00447361,26943.2,1.0972,178.881897915,0.877808734775
100,,62.7598991394043,9500,0.00909173,62.1406108619,1.0,0.11759483069181442,500.0,4750000,6728.777540683746,0.00446886,0.00446886,46052.3,1.06399,178.18598349,0.840933606029
100,,62.45122146606445,9600,0.00848955,62.3690203335,1.0,0.05580814182758331,500.0,4800000,6810.727900505066,0.00408402,0.00408402,3501.6,1.06311,178.633263595,0.840051054955
100,,62.30241394042969,9700,0.00925472,62.3071132393,1.0,0.03440910205245018,500.0,4850000,6891.714150667191,0.00486666,0.00486666,66152.3,1.0487,178.744039385,0.84978826344
100,,62.6024169921875,9800,0.00912512,62.3957131473,1.0,0.02954363077878952,500.0,4900000,6972.005547046661,0.00445334,0.00445334,1883.49,1.03124,178.990765901,0.868801042438
100,,63.26579666137695,9900,0.00893818,62.3537481672,1.0,0.005875842645764351,500.0,4950000,7052.408822774887,0.00492746,0.00492746,14550.5,0.999362,178.662062353,0.84221033752
100,,62.174312591552734,10000,0.00889966,62.3430929824,1.0,0.07242996245622635,500.0,5000000,7133.465514659882,0.00506904,0.00506904,6416.43,0.980832,179.20464781,0.8850145787
100,,61.987579345703125,10100,0.00877084,62.4174551772,1.0,0.07152614742517471,500.0,5050000,7216.015622615814,0.00415054,0.00415054,2115.53,0.94437,179.017633198,0.856337442994
100,,63.25204086303711,10200,0.00930355,62.4250276896,1.0,0.18842017650604248,500.0,5100000,7299.041880607605,0.0047201,0.0047201,5054.95,0.932626,179.019281077,0.864306598902
100,,63.188446044921875,10300,0.00958209,62.5763722688,1.0,0.04680130258202553,500.0,5150000,7381.343800067902,0.00496564,0.00496564,3796.26,0.938314,179.016077071,0.866399556398
100,,62.265235900878906,10400,0.00937703,62.3230488056,1.0,0.0552261583507061,500.0,5200000,7465.039551734924,0.00505393,0.00505393,11222.7,0.946611,178.834413591,0.8664098382
100,,62.03318405151367,10500,0.00949487,62.3313829948,1.0,0.0057992576621472836,500.0,5250000,7546.55054807663,0.00515455,0.00515455,17238.1,0.935556,178.705951035,0.861195906997
100,,62.23332977294922,10600,0.00872713,62.5836154399,1.0,0.12362954765558243,500.0,5300000,7629.745839834213,0.0040519,0.0040519,4421.11,0.94127,179.288124216,0.872027397156
100,,61.42863464355469,10700,0.00963775,62.4330273306,1.0,0.030066397041082382,500.0,5350000,7713.116481781006,0.00562868,0.00562868,28680.0,0.949185,179.01128133,0.865711703897
100,,62.05161666870117,10800,0.00911392,62.472156343,1.0,0.0335676372051239,500.0,5400000,7796.267331361771,0.00401285,0.00401285,418837.0,0.924969,179.568856678,0.885537751019
100,,63.40157699584961,10900,0.00960728,62.5846583281,1.0,0.07195138186216354,500.0,5450000,7879.608509063721,0.00471825,0.00471825,2495.47,0.902821,179.560924436,0.889051020145
100,,62.6168098449707,11000,0.00953558,62.5058381218,1.0,0.04390185698866844,500.0,5500000,7963.798037528992,0.00471276,0.00471276,7576.63,0.904286,179.907517147,0.902335070074
100,,62.272090911865234,11100,0.0098968,62.5907191548,1.0,0.012616804800927639,500.0,5550000,8048.622393131256,0.00494867,0.00494867,199350.0,0.906217,179.715584086,0.912696048617
100,,62.51893615722656,11200,0.00965979,62.6320997653,1.0,0.05686865746974945,500.0,5600000,8134.6407124996185,0.00477356,0.00477356,20137.9,0.895676,179.815554891,0.921326085925
100,,62.3897590637207,11300,0.0104659,62.5567574546,1.0,0.07673387974500656,500.0,5650000,8218.759984731674,0.00504791,0.00504791,32996.0,0.875146,179.658888826,0.910044081509
100,,62.91334915161133,11400,0.00888764,62.7519990519,1.0,0.024105019867420197,500.0,5700000,8304.59032702446,0.00480406,0.00480406,4049.25,0.856305,180.313910591,0.912859626114
100,,63.49991226196289,11500,0.00927389,62.8009936476,1.0,0.11825156211853027,500.0,5750000,8390.288528680801,0.00466437,0.00466437,2753.56,0.834619,179.434765982,0.859916523099
100,,62.60908508300781,11600,0.0091306,62.6241147757,1.0,0.019029147922992706,500.0,5800000,8476.277537584305,0.00456007,0.00456007,21877.0,0.870744,179.945815011,0.889974482358
100,,62.962982177734375,11700,0.0104098,62.7200466455,1.0,0.02179127000272274,500.0,5850000,8561.198901414871,0.00526576,0.00526576,376940.0,0.854803,180.30263353,0.915586650372
100,,63.389896392822266,11800,0.0106499,62.7331959699,1.0,0.005244927946478128,500.0,5900000,8645.610205888748,0.00449104,0.00449104,36669.3,0.816554,180.089113084,0.8853738904
100,,62.953182220458984,11900,0.00932067,62.6751402917,1.0,0.06550270318984985,500.0,5950000,8733.672096967697,0.00456424,0.00456424,3514.03,0.784131,180.122471551,0.890751972795
100,,63.02141189575195,12000,0.00888869,62.5626848903,1.0,0.0077044046483933926,500.0,6000000,8819.124528169632,0.00502477,0.00502477,2571.11,0.770059,179.18187591,0.85937577486
100,,63.0836067199707,12100,0.00862805,62.8096649914,1.0,0.04530661180615425,500.0,6050000,8907.29012465477,0.00408761,0.00408761,694.825,0.763463,179.602414546,0.876190468669
100,,62.61985778808594,12200,0.0092677,62.502192362,1.0,0.014353003352880478,500.0,6100000,8993.510067224503,0.00498548,0.00498548,15527.7,0.768544,179.195124763,0.865591943264
100,,62.178627014160156,12300,0.00951815,62.6682918537,1.0,0.17629612982273102,500.0,6150000,9082.156732797623,0.00518583,0.00518583,3754.23,0.751027,179.565531394,0.87901968509
100,,62.968528747558594,12400,0.00927625,62.5710303403,1.0,0.05060632526874542,500.0,6200000,9170.997294902802,0.00677227,0.00677227,1.17172e+06,0.778026,179.355551617,0.879337869585
100,,63.043548583984375,12500,0.0108499,62.4928419741,1.0,0.03106873854994774,500.0,6250000,9259.909745693207,0.0053709,0.0053709,1299.4,0.750538,178.314984175,0.897317864001
100,,62.21913528442383,12600,0.00953988,62.586578393,1.0,0.06361906975507736,500.0,6300000,9348.74086856842,0.00561049,0.00561049,2225.85,0.736124,178.982177181,0.882416829467
100,,62.790679931640625,12700,0.00941413,62.5368446166,1.0,0.09967981278896332,500.0,6350000,9437.601299285889,0.00516284,0.00516284,1.06616e+06,0.722181,178.926980052,0.868484169245
100,,62.96820831298828,12800,0.00944498,62.6317522469,1.0,0.03888838738203049,500.0,6400000,9526.464754581451,0.00513336,0.00513336,380.382,0.68727,179.377654278,0.904576636851
100,,62.473724365234375,12900,0.00985095,62.7865609811,1.0,0.0004833780403714627,500.0,6450000,9617.506611824036,0.00488792,0.00488792,1903.76,0.669616,179.628725012,0.875754915178
100,,62.0960693359375,13000,0.00916342,62.6608934532,1.0,0.07760653644800186,500.0,6500000,9707.13683128357,0.00437507,0.00437507,100669.0,0.700509,179.228785976,0.859841421247
100,,63.019805908203125,13100,0.00917318,62.6427941541,1.0,0.03780800849199295,500.0,6550000,9796.73190331459,0.00467546,0.00467546,1551.15,0.7036,179.294415387,0.86548602581
100,,62.47773361206055,13200,0.00972803,62.5974152626,1.0,0.0596325509250164,500.0,6600000,9886.559307813644,0.00418365,0.00418365,4313.29,0.677199,179.345402742,0.870698198676
100,,62.972293853759766,13300,0.0101134,62.8250332798,1.0,0.027293257415294647,500.0,6650000,9977.72948884964,0.00428536,0.00428536,775376.0,0.649413,179.870873807,0.888301305473
100,,62.432376861572266,13400,0.00969229,62.8644869289,1.0,0.026921089738607407,500.0,6700000,10068.085189580917,0.00432652,0.00432652,3975.31,0.630923,180.126329706,0.902706936002
100,,63.32218933105469,13500,0.00945876,62.7934749292,1.0,0.04206542298197746,500.0,6750000,10157.962229251862,0.00486788,0.00486788,3463.63,0.619189,179.812207207,0.891033343971
100,,63.621864318847656,13600,0.0116146,62.7910694753,1.0,0.14014273881912231,500.0,6800000,10248.980578660965,0.00482429,0.00482429,7222.07,0.601756,180.168397617,0.909492515028
100,,62.13249969482422,13700,0.00860428,62.7539437303,1.0,0.01131939236074686,500.0,6850000,10340.509316205978,0.00441317,0.00441317,4.62301e+10,0.586439,180.04942137,0.912028700113
100,,63.158592224121094,13800,0.00997018,62.8232677234,1.0,0.02088930830359459,500.0,6900000,10431.749190330505,0.00505949,0.00505949,273292.0,0.567135,179.887271563,0.885792344809
100,,62.998573303222656,13900,0.0114407,62.8518980538,1.0,0.018654240295290947,500.0,6950000,10524.417580604553,0.00536035,0.00536035,27678.8,0.573539,180.096002112,0.888518832624
100,,63.31214904785156,14000,0.00983958,62.7520094699,1.0,0.07647635787725449,500.0,7000000,10617.006035089493,0.00476973,0.00476973,7030.63,0.563232,179.840178525,0.884062997997
100,,62.78135681152344,14100,0.0103556,62.7556221949,1.0,0.024832841008901596,500.0,7050000,10709.341538906097,0.00474716,0.00474716,71191.4,0.572091,179.779753385,0.885542698205
