VarNormIw,VarDiscRet,VanillaAvgRet,VarVanillaIw,AvgNormIw,MaxVanillaIw,AvgEpLen,AvgVanillaIw,eRenyi2,MinVanillaIw,Bound,VarJ,ESSRenyi,MinNormIw,AvgRet,BatchSize,MaxNormIw,IterType,VarRet,Delta,ESSClassic,AvgDiscRet,EpsThisIter,J
5.4346e-20,67.8794470307,-59.8885734755,,0.0025,1.0,88.03,1.0,1.0,1.0,-64.9114,44.1022,500.0,0.0025,-59.8885734755,500,0.0025,2,67.8794470307,1.0,400.0,-59.8885734755,100,-64.9114
4.83802e-06,2574.40828106,-66.4198984684,1.0939,0.002,18.3672,95.29,0.951012,inf,0.000919395,-61.9794,29.7733,,1.93351e-06,-66.4198984684,500,0.0386266,1,2574.40828106,1.0,226.543090683,-66.4198984684,100,-61.9794
3.50449e-18,63.710706943,-59.902108424,,0.01,1.0,88.22,1.0,1.0,1.0,-59.9021,7.94189,500.0,0.01,-59.902108424,500,0.01,2,63.710706943,1.0,100.0,-59.902108424,100,-59.9021
2.1793e-19,2590.53327027,-66.5017610666,,0.005,1.0,95.72,1.0,1.0,1.0,-63.2019,36.397,500.0,0.005,-66.5017610666,500,0.005,2,2590.53327027,1.0,200.000000102,-66.5017610666,100,-63.2019
5.43914e-20,1349.95475581,-62.4196832238,,0.00333333,1.0,90.64,1.0,1.0,1.0,-62.9412,36.4524,500.0,0.00333333,-62.4196832238,500,0.00333333,2,1349.95475581,1.0,299.999969474,-62.4196832238,100,-62.9412
5.4346e-20,63.7813760881,-59.2782222484,,0.0025,1.0,87.4,1.0,1.0,1.0,-62.0254,31.8573,500.0,0.0025,-59.2782222484,500,0.0025,2,63.7813760881,1.0,400.0,-59.2782222484,100,-62.0254
2.92042e-05,1334.59743667,-62.6823670137,8.13949,0.002,51.0743,90.86,1.05586,inf,0.459938,-59.9183,24.2656,,0.000871211,-62.6823670137,500,0.0967446,1,1334.59743667,1.0,60.3394511512,-62.6823670137,100,-59.9183
3.50449e-18,1335.81583496,-62.1549730936,,0.01,1.0,90.0,1.0,1.0,1.0,-62.155,36.3656,500.0,0.01,-62.1549730936,500,0.01,2,1335.81583496,1.0,100.0,-62.1549730936,100,-62.155
2.1793e-19,3833.98490549,-69.1786574125,,0.005,1.0,98.28,1.0,1.0,1.0,-65.6668,50.7088,500.0,0.005,-69.1786574125,500,0.005,2,3833.98490549,1.0,200.000000102,-69.1786574125,100,-65.6668
5.43914e-20,47.4071156008,-57.8551289155,,0.00333333,1.0,84.5,1.0,1.0,1.0,-63.0629,41.7548,500.0,0.00333333,-57.8551289155,500,0.00333333,2,47.4071156008,1.0,299.999969474,-57.8551289155,100,-63.0629
5.4346e-20,1356.6860136,-61.971434039,,0.0025,1.0,89.67,1.0,1.0,1.0,-62.79,40.5413,500.0,0.0025,-61.971434039,500,0.0025,2,1356.6860136,1.0,400.0,-61.971434039,100,-62.79
4.33289e-06,1332.67560278,-63.9202256466,1.10895,0.002,17.9187,92.81,1.01181,inf,0.516029,-60.8109,28.6521,,0.00102001,-63.9202256466,500,0.0354191,1,1332.67560278,1.0,240.262652518,-63.9202256466,100,-60.8109
3.50449e-18,1337.37892138,-61.6567622045,,0.01,1.0,88.74,1.0,1.0,1.0,-61.6568,36.3869,500.0,0.01,-61.6567622045,500,0.01,2,1337.37892138,1.0,100.0,-61.6567622045,100,-61.6568
2.1793e-19,44.8468097198,-58.2542488506,,0.005,1.0,85.38,1.0,1.0,1.0,-59.9555,26.2125,500.0,0.005,-58.2542488506,500,0.005,2,44.8468097198,1.0,200.000000102,-58.2542488506,100,-59.9555
5.43914e-20,1338.18611299,-62.7538756922,,0.00333333,1.0,91.05,1.0,1.0,1.0,-60.8883,30.0234,500.0,0.00333333,-62.7538756922,500,0.00333333,2,1338.18611299,1.0,299.999969474,-62.7538756922,100,-60.8883
5.4346e-20,66.1558360155,-59.4325518109,,0.0025,1.0,87.02,1.0,1.0,1.0,-60.5244,26.3216,500.0,0.0025,-59.4325518109,500,0.0025,2,66.1558360155,1.0,400.0,-59.4325518109,100,-60.5244
6.26092e-06,58.1787958925,-59.674889542,1.43109,0.002,7.86752,87.67,0.95619,inf,1.84689e-18,-58.2209,11.5293,,3.86301e-21,-59.674889542,500,0.016456,1,58.1787958925,1.0,195.152448713,-59.674889542,100,-58.2209
3.50449e-18,1322.1324663,-63.4097743317,,0.01,1.0,91.92,1.0,1.0,1.0,-63.4098,36.1789,500.0,0.01,-63.4097743317,500,0.01,2,1322.1324663,1.0,100.0,-63.4097743317,100,-63.4098
2.1793e-19,2591.10026393,-65.5808662072,,0.005,1.0,94.26,1.0,1.0,1.0,-64.4953,44.0253,500.0,0.005,-65.5808662072,500,0.005,2,2591.10026393,1.0,200.000000102,-65.5808662072,100,-64.4953
5.43914e-20,1337.5855913,-61.7513320391,,0.00333333,1.0,89.41,1.0,1.0,1.0,-63.5807,41.6561,500.0,0.00333333,-61.7513320391,500,0.00333333,2,1337.5855913,1.0,299.999969474,-61.7513320391,100,-63.5807
5.4346e-20,3812.20845822,-70.5616954808,,0.0025,1.0,100.12,1.0,1.0,1.0,-65.3259,47.4772,500.0,0.0025,-70.5616954808,500,0.0025,2,3812.20845822,1.0,400.0,-70.5616954808,100,-65.3259
6.12094e-06,78.2320108457,-58.6117456752,1.42838,0.002,20.9633,85.67,0.966145,inf,0.478058,-61.6102,30.365,,0.000989619,-58.6117456752,500,0.0433958,1,78.2320108457,1.0,197.849453434,-58.6117456752,100,-61.6102
3.50449e-18,1348.81881353,-61.6428611381,,0.01,1.0,89.11,1.0,1.0,1.0,-61.6429,36.5422,500.0,0.01,-61.6428611381,500,0.01,2,1348.81881353,1.0,100.0,-61.6428611381,100,-61.6429
2.1793e-19,2605.97142385,-65.8181972595,,0.005,1.0,94.57,1.0,1.0,1.0,-63.7305,44.2942,500.0,0.005,-65.8181972595,500,0.005,2,2605.97142385,1.0,200.000000102,-65.8181972595,100,-63.7305
5.43914e-20,3807.91829457,-70.1685795249,,0.00333333,1.0,99.77,1.0,1.0,1.0,-65.8765,50.7327,500.0,0.00333333,-70.1685795249,500,0.00333333,2,3807.91829457,1.0,299.999969474,-70.1685795249,100,-65.8765
5.4346e-20,2603.1642763,-65.2129834576,,0.0025,1.0,93.04,1.0,1.0,1.0,-65.7107,50.7417,500.0,0.0025,-65.2129834576,500,0.0025,2,2603.1642763,1.0,400.0,-65.2129834576,100,-65.7107
4.37802e-06,53.3019165422,-58.6413800414,1.20088,0.002,15.3069,85.86,1.04747,inf,0.589993,-62.5497,34.061,,0.00112651,-58.6413800414,500,0.0292265,1,53.3019165422,1.0,238.969507295,-58.6413800414,100,-62.5497
3.50449e-18,52.7527060437,-58.1171134752,,0.01,1.0,85.33,1.0,1.0,1.0,-58.1171,7.2267,500.0,0.01,-58.1171134752,500,0.01,2,52.7527060437,1.0,100.0,-58.1171134752,100,-58.1171
2.1793e-19,2625.55544692,-65.7059814069,,0.005,1.0,94.29,1.0,1.0,1.0,-61.9115,36.6082,500.0,0.005,-65.7059814069,500,0.005,2,2625.55544692,1.0,200.000000102,-65.7059814069,100,-61.9115
5.43914e-20,46.5648602375,-58.3732944025,,0.00333333,1.0,85.46,1.0,1.0,1.0,-60.7321,30.1925,500.0,0.00333333,-58.3732944025,500,0.00333333,2,46.5648602375,1.0,299.999969474,-58.3732944025,100,-60.7321
5.4346e-20,3819.26642342,-69.7873986587,,0.0025,1.0,99.1,1.0,1.0,1.0,-62.9959,40.5504,500.0,0.0025,-69.7873986587,500,0.0025,2,3819.26642342,1.0,400.0,-69.7873986587,100,-62.9959
0.002,1341.73810974,-62.8927333359,,0.002,3.17107e-35,91.51,6.34214e-38,5.36721e+14,,-49.4058,,9.31582194928e-13,,-62.8927333359,500,1.0,1,1341.73810974,1.0,inf,-62.8927333359,100,-49.4058
3.50449e-18,1293.57400684,-76.9866291015,,0.01,1.0,111.56,1.0,1.0,1.0,-76.9866,35.786,500.0,0.01,-76.9866291015,500,0.01,2,1293.57400684,1.0,100.0,-76.9866291015,100,-76.9866
2.1793e-19,96.4538854984,-70.0992364584,,0.005,1.0,102.32,1.0,1.0,1.0,-73.5429,26.4561,500.0,0.005,-70.0992364584,500,0.005,2,96.4538854984,1.0,200.000000102,-70.0992364584,100,-73.5429
5.43914e-20,113.680504729,-70.5150515123,,0.00333333,1.0,102.97,1.0,1.0,1.0,-72.5336,22.4982,500.0,0.00333333,-70.5150515123,500,0.00333333,2,113.680504729,1.0,299.999969474,-70.5150515123,100,-72.5336
5.4346e-20,1291.18238411,-75.5980076373,,0.0025,1.0,109.56,1.0,1.0,1.0,-73.2997,26.4755,500.0,0.0025,-75.5980076373,500,0.0025,2,1291.18238411,1.0,400.0,-75.5980076373,100,-73.2997
0.002,1287.06236281,-76.2486062199,,0.002,5.53799e-37,110.33,1.1076e-39,3.78954e+07,,-58.1555,,1.31942135457e-05,,-76.2486062199,500,1.0,1,1287.06236281,1.0,inf,-76.2486062199,100,-58.1555
3.50449e-18,91.6008529352,-66.5925820859,,0.01,1.0,97.18,1.0,1.0,1.0,-66.5926,9.52286,500.0,0.01,-66.5925820859,500,0.01,2,91.6008529352,1.0,100.0,-66.5925820859,100,-66.5926
2.1793e-19,90.25329945,-66.170687767,,0.005,1.0,96.62,1.0,1.0,1.0,-66.3816,9.49012,500.0,0.005,-66.170687767,500,0.005,2,90.25329945,1.0,200.000000102,-66.170687767,100,-66.3816
5.43914e-20,1310.07641278,-68.7178828181,,0.00333333,1.0,99.06,1.0,1.0,1.0,-67.1604,22.2167,500.0,0.00333333,-68.7178828181,500,0.00333333,2,1310.07641278,1.0,299.999969474,-68.7178828181,100,-67.1604
5.4346e-20,93.480413351,-64.8696734166,,0.0025,1.0,94.98,1.0,1.0,1.0,-66.5877,19.8571,500.0,0.0025,-64.8696734166,500,0.0025,2,93.480413351,1.0,400.0,-64.8696734166,100,-66.5877
0.002,69.8939392943,-64.9980247349,7.23284e-24,0.002,6.01367e-11,94.41,1.20273e-13,240298.0,,-57.4729,9.70009e-08,0.00208074581213,,-64.9980247349,500,1.0,1,69.8939392943,1.0,1.0,-64.9980247349,100,-57.4729
3.50449e-18,69.7842156995,-65.7722653462,,0.01,1.0,96.19,1.0,1.0,1.0,-65.7723,8.31182,500.0,0.01,-65.7722653462,500,0.01,2,69.7842156995,1.0,100.0,-65.7722653462,100,-65.7723
2.1793e-19,3703.69361966,-77.3234099345,,0.005,1.0,109.68,1.0,1.0,1.0,-71.5478,43.6031,500.0,0.005,-77.3234099345,500,0.005,2,3703.69361966,1.0,200.000000102,-77.3234099345,100,-71.5478
5.43914e-20,67.0248326572,-67.1400896661,,0.00333333,1.0,98.28,1.0,1.0,1.0,-70.0786,35.9711,500.0,0.00333333,-67.1400896661,500,0.00333333,2,67.0248326572,1.0,299.999969474,-67.1400896661,100,-70.0786
5.4346e-20,86.9544148646,-65.633349224,,0.0025,1.0,95.75,1.0,1.0,1.0,-68.9673,31.5542,500.0,0.0025,-65.633349224,500,0.0025,2,86.9544148646,1.0,400.0,-65.633349224,100,-68.9673
0.00199999,1334.81291395,-68.3649994828,2.42209e-27,0.002,1.10048e-12,98.7,2.20096e-15,1.64378e+07,,-58.9117,0.00231756,3.04176069763e-05,,-68.3649994828,500,0.999997,1,1334.81291395,1.0,1.00000650241,-68.3649994828,100,-58.9117
3.50449e-18,1307.44142778,-70.806199919,,0.01,1.0,102.07,1.0,1.0,1.0,-70.8062,35.9773,500.0,0.01,-70.806199919,500,0.01,2,1307.44142778,1.0,100.0,-70.806199919,100,-70.8062
2.1793e-19,1314.31015271,-70.1103021121,,0.005,1.0,101.44,1.0,1.0,1.0,-70.4583,36.0262,500.0,0.005,-70.1103021121,500,0.005,2,1314.31015271,1.0,200.000000102,-70.1103021121,100,-70.4583
5.43914e-20,1314.58461727,-69.4019597848,,0.00333333,1.0,100.35,1.0,1.0,1.0,-70.1062,36.0461,500.0,0.00333333,-69.4019597848,500,0.00333333,2,1314.58461727,1.0,299.999969474,-69.4019597848,100,-70.1062
5.4346e-20,1314.75227289,-69.0033741018,,0.0025,1.0,99.25,1.0,1.0,1.0,-69.8305,36.0572,500.0,0.0025,-69.0033741018,500,0.0025,2,1314.75227289,1.0,400.0,-69.0033741018,100,-69.8305
1.89946e-06,3694.40595925,-76.4847479597,0.47512,0.002,6.03584,108.89,1.00027,inf,0.566311,-69.5193,32.381,,0.00113232,-76.4847479597,500,0.0120684,1,3694.40595925,1.0,339.232466245,-76.4847479597,100,-69.5193
3.50449e-18,83.3671382299,-67.0945931606,,0.01,1.0,98.21,1.0,1.0,1.0,-67.0946,9.08479,500.0,0.01,-67.0945931606,500,0.01,2,83.3671382299,1.0,100.0,-67.0945931606,100,-67.0946
2.1793e-19,69.0328036244,-64.7907953078,,0.005,1.0,94.58,1.0,1.0,1.0,-65.9427,8.76155,500.0,0.005,-64.7907953078,500,0.005,2,69.0328036244,1.0,200.000000102,-64.7907953078,100,-65.9427
5.43914e-20,1309.90720142,-70.3823923658,,0.00333333,1.0,101.94,1.0,1.0,1.0,-67.4226,22.0868,500.0,0.00333333,-70.3823923658,500,0.00333333,2,1309.90720142,1.0,299.999969474,-70.3823923658,100,-67.4226
5.4346e-20,79.9361870965,-67.2625511177,,0.0025,1.0,98.27,1.0,1.0,1.0,-67.3826,19.6382,500.0,0.0025,-67.2625511177,500,0.0025,2,79.9361870965,1.0,400.0,-67.2625511177,100,-67.3826
0.00199999,102.936759744,-66.0910973494,1.32753e-33,0.002,8.14717e-16,96.77,1.62944e-18,30262.3,,-58.0031,3.95617e-05,0.0165222006745,,-66.0910973494,500,0.999999,1,102.936759744,1.0,1.00000272912,-66.0910973494,100,-58.0031
3.50449e-18,1319.6677305,-70.0412277956,,0.01,1.0,101.47,1.0,1.0,1.0,-70.0412,36.1451,500.0,0.01,-70.0412277956,500,0.01,2,1319.6677305,1.0,100.0,-70.0412277956,100,-70.0412
2.1793e-19,1288.48578575,-70.6167994247,,0.005,1.0,102.32,1.0,1.0,1.0,-70.329,35.9321,500.0,0.005,-70.6167994247,500,0.005,2,1288.48578575,1.0,200.000000102,-70.6167994247,100,-70.329
5.43914e-20,1291.62565492,-69.2475301041,,0.00333333,1.0,99.66,1.0,1.0,1.0,-69.9685,35.8782,500.0,0.00333333,-69.2475301041,500,0.00333333,2,1291.62565492,1.0,299.999969474,-69.2475301041,100,-69.9685
5.4346e-20,1305.83043269,-72.3337555094,,0.0025,1.0,105.02,1.0,1.0,1.0,-70.5598,35.912,500.0,0.0025,-72.3337555094,500,0.0025,2,1305.83043269,1.0,400.0,-72.3337555094,100,-70.5598
3.1372e-06,96.0382767592,-66.2731764548,20.5432,0.002,65.5915,96.99,5.11792,inf,,-68.5702,25.9694,,,-66.2731764548,500,0.0256321,1,96.0382767592,1.0,280.468543265,-66.2731764548,100,-68.5702
3.50449e-18,85.152650316,-64.9012863816,,0.01,1.0,94.68,1.0,1.0,1.0,-64.9013,9.18156,500.0,0.01,-64.9012863816,500,0.01,2,85.152650316,1.0,100.0,-64.9012863816,100,-64.9013
2.1793e-19,1310.58434492,-68.6473228836,,0.005,1.0,99.04,1.0,1.0,1.0,-66.7743,26.3514,500.0,0.005,-68.6473228836,500,0.005,2,1310.58434492,1.0,200.000000102,-68.6473228836,100,-66.7743
5.43914e-20,71.4510736934,-67.2065505643,,0.00333333,1.0,97.97,1.0,1.0,1.0,-66.9184,22.0579,500.0,0.00333333,-67.2065505643,500,0.00333333,2,71.4510736934,1.0,299.999969474,-67.2065505643,100,-66.9184
5.4346e-20,2522.98607175,-72.9484462991,,0.0025,1.0,104.64,1.0,1.0,1.0,-68.4259,31.5622,500.0,0.0025,-72.9484462991,500,0.0025,2,2522.98607175,1.0,400.0,-72.9484462991,100,-68.4259
0.002,1296.03426362,-70.4560946189,1.52904,0.002,27.65,102.14,0.0553,312.251,,-58.7323,1.9509e-07,1.60127742532,,-70.4560946189,500,1.0,1,1296.03426362,1.0,1.0,-70.4560946189,100,-58.7323
3.50449e-18,2491.59178378,-74.9552814661,,0.01,1.0,107.1,1.0,1.0,1.0,-74.9553,49.6656,500.0,0.01,-74.9552814661,500,0.01,2,2491.59178378,1.0,100.0,-74.9552814661,100,-74.9553
2.1793e-19,2507.89973342,-72.7947812822,,0.005,1.0,103.83,1.0,1.0,1.0,-73.875,49.7586,500.0,0.005,-72.7947812822,500,0.005,2,2507.89973342,1.0,200.000000102,-72.7947812822,100,-73.875
5.43914e-20,75.2697363319,-69.233317356,,0.00333333,1.0,101.3,1.0,1.0,1.0,-72.3278,40.9907,500.0,0.00333333,-69.233317356,500,0.00333333,2,75.2697363319,1.0,299.999969474,-69.233317356,100,-72.3278
5.4346e-20,82.090219158,-64.4564293928,,0.0025,1.0,93.88,1.0,1.0,1.0,-70.36,35.946,500.0,0.0025,-64.4564293928,500,0.0025,2,82.090219158,1.0,400.0,-64.4564293928,100,-70.36
1.45527e-06,68.2946265176,-66.6006179284,0.325737,0.002,8.80638,97.45,0.946218,inf,0.690821,-69.0343,30.1526,,0.00146017,-66.6006179284,500,0.0186138,1,68.2946265176,1.0,366.813436493,-66.6006179284,100,-69.0343
3.50449e-18,1333.96470539,-69.4594484791,,0.01,1.0,100.12,1.0,1.0,1.0,-69.4594,36.3404,500.0,0.01,-69.4594484791,500,0.01,2,1333.96470539,1.0,100.0,-69.4594484791,100,-69.4594
2.1793e-19,2485.27496454,-73.7845487335,,0.005,1.0,105.83,1.0,1.0,1.0,-71.622,43.5339,500.0,0.005,-73.7845487335,500,0.005,2,2485.27496454,1.0,200.000000102,-73.7845487335,100,-71.622
5.43914e-20,74.0255754406,-66.3409419811,,0.00333333,1.0,96.87,1.0,1.0,1.0,-69.8617,35.9735,500.0,0.00333333,-66.3409419811,500,0.00333333,2,74.0255754406,1.0,299.999969474,-66.3409419811,100,-69.8617
5.4346e-20,90.2834805039,-66.9444259316,,0.0025,1.0,98.15,1.0,1.0,1.0,-69.1323,31.5359,500.0,0.0025,-66.9444259316,500,0.0025,2,90.2834805039,1.0,400.0,-66.9444259316,100,-69.1323
0.000997987,71.5151864922,-66.3599376884,775.558,0.002,440.771,96.85,1.76309,687.785,,-58.7319,9.31423,0.726970941395,,-66.3599376884,500,0.499998,1,71.5151864922,1.0,2.00001827245,-66.3599376884,100,-58.7319
3.50449e-18,80.8744536335,-66.3492905857,,0.01,1.0,96.81,1.0,1.0,1.0,-66.3493,8.94794,500.0,0.01,-66.3492905857,500,0.01,2,80.8744536335,1.0,100.0,-66.3492905857,100,-66.3493
2.1793e-19,1315.92670511,-69.1359720843,,0.005,1.0,100.31,1.0,1.0,1.0,-67.7426,26.3317,500.0,0.005,-69.1359720843,500,0.005,2,1315.92670511,1.0,200.000000102,-69.1359720843,100,-67.7426
5.43914e-20,70.5410314952,-66.9616909173,,0.00333333,1.0,97.86,1.0,1.0,1.0,-67.4823,22.0375,500.0,0.00333333,-66.9616909173,500,0.00333333,2,70.5410314952,1.0,299.999969474,-66.9616909173,100,-67.4823
5.4346e-20,1304.3498308,-70.6786538856,,0.0025,1.0,102.13,1.0,1.0,1.0,-68.2814,26.2485,500.0,0.0025,-70.6786538856,500,0.0025,2,1304.3498308,1.0,400.0,-70.6786538856,100,-68.2814
1.72434e-06,77.5897621332,-66.6014108922,0.483622,0.002,3.35135,97.06,1.05919,410.461,0.707107,-67.338,18.3395,1.21814298474,0.00133519,-66.6014108922,500,0.00632817,1,77.5897621332,1.0,349.596742574,-66.6014108922,100,-67.338
3.50449e-18,1309.20639857,-69.4250909595,,0.01,1.0,99.96,1.0,1.0,1.0,-69.4251,36.0016,500.0,0.01,-69.4250909595,500,0.01,2,1309.20639857,1.0,100.0,-69.4250909595,100,-69.4251
2.1793e-19,96.5975681006,-67.1224806182,,0.005,1.0,97.93,1.0,1.0,1.0,-68.2738,26.4045,500.0,0.005,-67.1224806182,500,0.005,2,96.5975681006,1.0,200.000000102,-67.1224806182,100,-68.2738
5.43914e-20,2535.8745133,-72.4136522914,,0.00333333,1.0,103.64,1.0,1.0,1.0,-69.6537,36.131,500.0,0.00333333,-72.4136522914,500,0.00333333,2,2535.8745133,1.0,299.999969474,-72.4136522914,100,-69.6537
5.4346e-20,1293.31361343,-69.1440450042,,0.0025,1.0,99.58,1.0,1.0,1.0,-69.5263,36.0448,500.0,0.0025,-69.1440450042,500,0.0025,2,1293.31361343,1.0,400.0,-69.1440450042,100,-69.5263
5.32494e-05,1318.27846242,-69.5973945494,523612.0,0.002,2833.21,100.35,198.325,2071.47,,-64.3234,34.575,0.241374656957,,-69.5973945494,500,0.0285714,1,1318.27846242,1.0,34.9999984964,-69.5973945494,100,-64.3234
3.50449e-18,1322.09942389,-68.1806528307,,0.01,1.0,98.04,1.0,1.0,1.0,-68.1807,36.1784,500.0,0.01,-68.1806528307,500,0.01,2,1322.09942389,1.0,100.0,-68.1806528307,100,-68.1807
2.1793e-19,2499.73289746,-72.8815642838,,0.005,1.0,104.43,1.0,1.0,1.0,-70.5311,43.5584,500.0,0.005,-72.8815642838,500,0.005,2,2499.73289746,1.0,200.000000102,-72.8815642838,100,-70.5311
5.43914e-20,1282.33843891,-70.5455458386,,0.00333333,1.0,102.02,1.0,1.0,1.0,-70.5359,41.086,500.0,0.00333333,-70.5455458386,500,0.00333333,2,1282.33843891,1.0,299.999969474,-70.5455458386,100,-70.5359
5.4346e-20,1311.28015483,-69.6001198152,,0.0025,1.0,100.38,1.0,1.0,1.0,-70.302,39.8842,500.0,0.0025,-69.6001198152,500,0.0025,2,1311.28015483,1.0,400.0,-69.6001198152,100,-70.302
5.43187e-20,1331.25507841,-69.3310400936,,0.002,1.0,99.86,1.0,1.0,1.0,-70.1078,39.1962,500.0,0.002,-69.3310400936,500,0.002,1,1331.25507841,1.0,500.000006643,-69.3310400936,100,-70.1078
3.50449e-18,3723.65732105,-76.7382702236,,0.01,1.0,108.57,1.0,1.0,1.0,-76.7383,60.7159,500.0,0.01,-76.7382702236,500,0.01,2,3723.65732105,1.0,100.0,-76.7382702236,100,-76.7383
2.1793e-19,96.0291641964,-65.426047089,,0.005,1.0,95.44,1.0,1.0,1.0,-71.0822,43.849,500.0,0.005,-65.426047089,500,0.005,2,96.0291641964,1.0,200.000000102,-65.426047089,100,-71.0822
5.43914e-20,78.4427078624,-64.65140909,,0.00333333,1.0,94.19,1.0,1.0,1.0,-68.9386,36.2891,500.0,0.00333333,-64.65140909,500,0.00333333,2,78.4427078624,1.0,299.999969474,-64.65140909,100,-68.9386
5.4346e-20,1312.13351059,-69.395434494,,0.0025,1.0,99.84,1.0,1.0,1.0,-69.0528,36.228,500.0,0.0025,-69.395434494,500,0.0025,2,1312.13351059,1.0,400.0,-69.395434494,100,-69.0528
5.43187e-20,89.0001154488,-66.1583181773,,0.002,1.0,96.63,1.0,1.0,1.0,-68.4739,32.6946,500.0,0.002,-66.1583181773,500,0.002,1,89.0001154488,1.0,500.000006643,-66.1583181773,100,-68.4739
3.50449e-18,1313.89667078,-68.8662604757,,0.01,1.0,99.39,1.0,1.0,1.0,-68.8663,36.066,500.0,0.01,-68.8662604757,500,0.01,2,1313.89667078,1.0,100.0,-68.8662604757,100,-68.8663
