AvgVanillaIw,AvgDiscRet,VarNormIw,AvgNormIw,MaxNormIw,J,BatchSize,ESSClassic,AvgRet,MinVanillaIw,MaxVanillaIw,IterType,VarDiscRet,VarVanillaIw,MinNormIw,VarJ,VanillaAvgRet,eRenyi2,EpsThisIter,AvgEpLen,Bound,ESSRenyi,VarRet
1.0,7.8230119137607055,3.5044917e-18,0.009999998,0.01,7.8230124,400,100.0,7.8230119137607055,1.0,1.0,2,420.1414997767103,,0.01,20.39461,7.8230119137607055,1.0,100,500.0,2.779714,400.0,420.1414997767103
1.0,5.688782454010884,2.179301e-19,0.0049999994,0.005,5.6887827,400,200.00000010221265,5.688782454010884,1.0,1.0,2,345.31753494791536,,0.005,18.536207,5.688782454010884,1.0,100,500.0,1.9568856,400.0,345.31753494791536
1.0,4.989636040554643,5.4391416e-20,0.0033333336,0.0033333334,4.989636,400,299.999969473632,4.989636040554643,1.0,1.0,2,352.5589476069749,,0.0033333334,18.745232,4.989636040554643,1.0,100,500.0,1.1240978,400.0,352.5589476069749
71238.13,5.515475139234236,0.001464157,0.0025000004,0.758344,-20.141806,500,1.704452818006388,-4.162152494633042,3.2022003e-06,21609204.0,,351.9699334577813,1188865400000.0,1.1237662e-13,89.55938,-4.162152494633042,nan,100,500.0,-inf,nan,155.24887685853727
10.846611,-3.9466614693004765,0.0017063818,0.0019999999,0.9238002,33.85606,500,1.1716674830666607,-3.9466614693004765,0.0001394425,5010.051,1,156.11289044117106,50188.52,2.5711717e-08,53.86917,-3.9466614693004765,9.364318,100,500.0,28.355,53.39417196860966,156.11289044117106
1.0,1.4460975275134238,3.5044917e-18,0.009999998,0.01,1.4460973,500,100.0,1.4460975275134238,1.0,1.0,2,258.39741557183356,,0.01,15.994168,1.4460975275134238,1.0,100,500.0,-3.5243754,500.0,258.39741557183356
1.0,1.647767759214495,2.179301e-19,0.0049999994,0.005,1.6477675,500,200.00000010221265,1.647767759214495,1.0,1.0,2,264.22642339100844,,0.005,16.214354,1.647767759214495,1.0,100,500.0,-1.8668873,500.0,264.22642339100844
1.0,1.0694695149526847,5.4391416e-20,0.0033333336,0.0033333334,1.0694696,500,299.999969473632,1.0694695149526847,1.0,1.0,2,254.48251868539205,,0.0033333334,15.925899,1.0694695149526847,1.0,100,500.0,-1.800234,500.0,254.48251868539205
1.0,1.0949122876823807,5.434597e-20,0.0024999997,0.0025,1.0949122,500,400.0,1.0949122876823807,1.0,1.0,2,242.1058831115084,,0.0025,15.54029,1.0949122876823807,1.0,100,500.0,-1.3903242,500.0,242.1058831115084
31.994278,1.2689556006147977,0.0018920936,0.002,0.9727021,34.619164,500,1.0569094859487638,1.2689556006147977,0.0022008927,15560.45,1,235.9972332044083,484202.78,1.375804e-07,13.491431,1.2689556006147977,6.5598493,100,500.0,28.925922,76.22126363151388,235.9972332044083
1.0,8.012717254951179,3.5044917e-18,0.009999998,0.01,8.012717,500,100.0,8.012717254951179,1.0,1.0,2,335.15407579102254,,0.01,18.215446,8.012717254951179,1.0,100,500.0,2.9982944,500.0,335.15407579102254
1.0,8.909502653726845,2.179301e-19,0.0049999994,0.005,8.909502,500,200.00000010221265,8.909502653726845,1.0,1.0,2,323.1019587299816,,0.005,17.930042,8.909502653726845,1.0,100,500.0,5.3637695,500.0,323.1019587299816
1.0,10.029197495045564,5.4391416e-20,0.0033333336,0.0033333334,10.029198,500,299.999969473632,10.029197495045564,1.0,1.0,2,349.1743847704596,,0.0033333334,18.655039,10.029197495045564,1.0,100,500.0,7.0353875,500.0,349.1743847704596
1.0,10.258863853465714,5.434597e-20,0.0024999997,0.0025,10.258863,500,400.0,10.258863853465714,1.0,1.0,2,326.83597892540894,,0.0025,18.055994,10.258863853465714,1.0,100,500.0,7.6661477,500.0,326.83597892540894
5.472394,9.72614023322349,0.0015219875,0.0020000003,0.8723432,48.09234,500,1.3132464738301781,9.72614023322349,1.46865395e-05,2386.9028,1,325.8014449558415,11394.776,5.3675007e-09,52.792416,9.72614023322349,13.432184,100,500.0,39.59323,37.22402788962124,325.8014449558415
1.0,27.10127876839832,3.5044917e-18,0.009999998,0.01,27.101278,500,100.0,27.10127876839832,1.0,1.0,2,467.88346880963974,,0.01,21.52219,27.10127876839832,1.0,100,500.0,21.110943,500.0,467.88346880963974
