VarDiscRet,MinVanillaIw,EpsThisIter,VarJ,VarVanillaIw,VarRet,ESSRenyi,MaxNormIw,BatchSize,AvgDiscRet,AvgEpLen,AvgVanillaIw,eRenyi2,AvgRet,VarNormIw,MaxVanillaIw,MinNormIw,VanillaAvgRet,AvgNormIw,J,ESSClassic,Bound,IterType
47593.91921214519,0.00032348282,100,1875.8613,4117.6133,47593.91921214519,35.31798976421755,0.66705513,500,476.24024364298486,51.34,4.2788777,14.157091,476.24024364298486,0.0008995924,1427.1238,1.5119983e-07,476.24024364298486,0.0020000003,887.8954,2.217803549419511,712.72205,1
16609.42140641137,1.0,100,128.23154,,16609.42140641137,500.0,0.01,500,427.8893324828805,46.15,1.0,1.0,427.8893324828805,3.5044917e-18,1.0,0.01,427.8893324828805,0.009999998,427.8893,100.0,364.6661,2
39630.38303699334,1.0,100,167.75981,,39630.38303699334,500.0,0.005,500,462.7980154590098,49.96,1.0,1.0,462.7980154590098,2.179301e-19,1.0,0.005,462.7980154590098,0.0049999994,445.34366,200.00000010221265,375.4809,2
30984.172190813235,1.0,100,170.45807,,30984.172190813235,500.0,0.0033333334,500,462.95709430351985,49.91,1.0,1.0,462.95709430351985,5.4391416e-20,1.0,0.0033333334,462.95709430351985,0.0033333336,451.2148,299.999969473632,394.17212,2
29094.620625584423,1.0,100,170.36269,,29094.620625584423,500.0,0.0025,500,463.98213660442167,50.03,1.0,1.0,463.98213660442167,5.434597e-20,1.0,0.0025,463.98213660442167,0.0024999997,454.40662,400.0,405.00616,2
27799.023220562358,4.5282874e-07,100,1904.3237,4380.732,27799.023220562358,16.42054597764149,0.7844346,500,455.24465997933726,49.09,3.7677035,30.449657,455.24465997933726,0.0012343928,1477.7585,2.4037386e-10,455.24465997933726,0.0020000006,991.10803,1.6182228896333752,747.2893,1
52012.09308083111,1.0,100,226.91843,,52012.09308083111,500.0,0.01,500,594.070055201598,64.06,1.0,1.0,594.070055201598,3.5044917e-18,1.0,0.01,594.070055201598,0.009999998,594.07007,100.0,469.91766,2
42190.1196146075,1.0,100,216.46153,,42190.1196146075,500.0,0.005,500,564.0367686235975,60.87,1.0,1.0,564.0367686235975,2.179301e-19,1.0,0.005,564.0367686235975,0.0049999994,579.0534,200.00000010221265,491.2644,2
46561.961767547495,1.0,100,215.8769,,46561.961767547495,500.0,0.0033333334,500,580.252693343428,62.55,1.0,1.0,580.252693343428,5.4391416e-20,1.0,0.0033333334,580.252693343428,0.0033333336,579.4532,299.999969473632,507.77377,2
75157.96840987031,1.0,100,231.44176,,75157.96840987031,500.0,0.0025,500,587.3103336474934,63.31,1.0,1.0,587.3103336474934,5.434597e-20,1.0,0.0025,587.3103336474934,0.0024999997,581.4174,400.0,513.4962,2
35364.80529377636,2.0719968e-13,100,3560.2708,2313.187,35364.80529377636,13.194006004303514,0.74166703,500,538.1909599973641,58.0,2.8899493,37.895996,538.1909599973641,0.001107874,1071.6901,1.4339331e-16,538.1909599973641,0.002,1403.8427,1.8023573638986967,1029.8638,1
64203.90825829427,1.0,100,252.11479,,64203.90825829427,500.0,0.01,500,604.416040728081,65.24,1.0,1.0,604.416040728081,3.5044917e-18,1.0,0.01,604.416040728081,0.009999998,604.416,100.0,482.2682,2
56933.50742642755,1.0,100,245.6251,,56933.50742642755,500.0,0.005,500,642.8181673313643,69.37,1.0,1.0,642.8181673313643,2.179301e-19,1.0,0.005,642.8181673313643,0.0049999994,623.61707,200.00000010221265,537.2455,2
61047.77180555279,1.0,100,245.80786,,61047.77180555279,500.0,0.0033333334,500,607.941870099464,65.61,1.0,1.0,607.941870099464,5.4391416e-20,1.0,0.0033333334,607.941870099464,0.0033333336,618.392,299.999969473632,541.52747,2
48477.194422337845,1.0,100,239.60614,,48477.194422337845,500.0,0.0025,500,641.1216556081359,69.17,1.0,1.0,641.1216556081359,5.434597e-20,1.0,0.0025,641.1216556081359,0.0024999997,624.07446,400.0,557.50775,2
