VarVanillaIw,eRenyi2,BatchSize,AvgRet,MinNormIw,VarJ,MinVanillaIw,AvgDiscRet,VarRet,ESSRenyi,MaxVanillaIw,AvgEpLen,ESSClassic,AvgVanillaIw,AvgNormIw,VarNormIw,VarDiscRet,MaxNormIw,Bound,J,VanillaAvgRet
,1.0,100,1.1368683772161603e-15,0.01,8.914376,1.0,1.1368683772161603e-15,80.26879701517312,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,80.26879701517312,0.01,-0.82230145,5.5879354e-08,-9.772134824273682
,1.0,100,-6.750155989720952e-16,0.01,8.888526,1.0,-6.750155989720952e-16,79.80392999292395,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,79.80392999292395,0.01,-0.8239926,,-9.79099384759132
,1.0,100,-3.552713678800501e-16,0.01,8.858105,1.0,-3.552713678800501e-16,79.25860562167142,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,79.25860562167142,0.01,-0.7986607,-1.0430813e-07,-9.489549376684053
,1.0,100,-5.329070518200751e-16,0.01,8.292763,1.0,-5.329070518200751e-16,69.4645619455657,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,69.4645619455657,0.01,-0.84346753,-6.7055225e-08,-10.02568179527179
,1.0,100,-2.8244073746463984e-15,0.01,8.9352,1.0,-2.8244073746463984e-15,80.64424475957755,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,80.64424475957755,0.01,-0.8325604,1.4901161e-08,-9.89673682498999
,1.0,100,1.0302869668521452e-15,0.01,8.737666,1.0,1.0302869668521452e-15,77.11800057133316,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,77.11800057133316,0.01,-0.87095034,-7.450581e-09,-10.35012753665976
,1.0,100,-6.394884621840901e-16,0.01,8.878432,1.0,-6.394884621840901e-16,79.62279044099213,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,79.62279044099213,0.01,-0.72195816,5.9604645e-08,-8.579246648326407
,1.0,100,-2.486899575160351e-16,0.01,8.952937,1.0,-2.486899575160351e-16,80.96474328023088,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,80.96474328023088,0.01,-0.9235741,1.4901161e-08,-10.973959868551212
,1.0,100,2.042810365310288e-16,0.01,8.694036,1.0,2.042810365310288e-16,76.34974862848668,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,76.34974862848668,0.01,-0.9254505,-1.1920929e-07,-10.996680048460705
,1.0,100,5.417888360170764e-16,0.01,7.7337914,1.0,5.417888360170764e-16,60.415684240796224,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,60.415684240796224,0.01,-0.67803824,,-8.056716568778397
,1.0,100,4.263256414560601e-16,0.01,8.886292,1.0,4.263256414560601e-16,79.76384478085231,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,79.76384478085231,0.01,-0.81887364,7.450581e-09,-9.731877991935013
,1.0,100,-9.592326932761353e-16,0.01,8.099777,1.0,-9.592326932761353e-16,66.26907593688543,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,66.26907593688543,0.01,-0.8099828,2.9802322e-08,-9.6250961348042
,1.0,100,-1.6697754290362353e-15,0.01,8.025743,1.0,-1.6697754290362353e-15,65.06317420958867,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,65.06317420958867,0.01,-0.6649739,3.7252903e-08,-7.90472611094454
,1.0,100,1.3322676295501878e-15,0.01,8.64605,1.0,1.3322676295501878e-15,75.50927438150963,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,75.50927438150963,0.01,-0.83524317,-7.450581e-09,-9.934778376470085
,1.0,100,-1.1368683772161603e-15,0.01,8.6497755,1.0,-1.1368683772161603e-15,75.57435243160539,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,75.57435243160539,0.01,-0.7823134,5.9604645e-08,-9.29550608779686
,1.0,100,-7.105427357601002e-16,0.01,8.183619,1.0,-7.105427357601002e-16,67.64809219615171,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,67.64809219615171,0.01,-0.82358706,1.1920929e-07,-9.785730504569724
,1.0,100,7.904787935331115e-16,0.01,7.9935474,1.0,7.904787935331115e-16,64.54222390243032,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,64.54222390243032,0.01,-0.75139004,5.9604645e-08,-8.928683730886531
,1.0,100,1.1901590823981679e-15,0.01,9.261401,1.0,1.1901590823981679e-15,86.63996814957055,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,86.63996814957055,0.01,-0.92569786,5.9604645e-08,-11.000173797247776
,1.0,100,-2.8688162956314045e-15,0.01,9.131047,1.0,-2.8688162956314045e-15,84.2182053052566,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,84.2182053052566,0.01,-0.94879687,2.9802322e-08,-11.285566050602627
,1.0,100,-7.283063041541026e-16,0.01,8.749743,1.0,-7.283063041541026e-16,77.33132929983228,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,77.33132929983228,0.01,-0.77370346,1.899898e-07,-9.195448663216977
,1.0,100,3.481659405224491e-15,0.01,8.439572,1.0,3.481659405224491e-15,71.94584248664104,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,71.94584248664104,0.01,-0.88508034,-8.940697e-08,-10.516587991170969
,1.0,100,3.348432642269472e-15,0.01,8.770316,1.0,3.348432642269472e-15,77.69540453722571,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,77.69540453722571,0.01,-0.7990061,,-9.495640080085254
,1.0,100,8.348877145181177e-16,0.01,8.205155,1.0,8.348877145181177e-16,68.00462287114296,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,68.00462287114296,0.01,-0.8109295,-1.1920929e-07,-9.642481231919332
,1.0,100,-1.3855583347321954e-15,0.01,8.725844,1.0,-1.3855583347321954e-15,76.90946283060991,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,76.90946283060991,0.01,-0.781963,-2.9802322e-08,-9.29152581306044
,1.0,100,-5.329070518200751e-17,0.01,8.530461,1.0,-5.329070518200751e-17,73.50380274689901,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,73.50380274689901,0.01,-0.83554125,-1.4528632e-07,-9.931296156353154
,1.0,100,-4.796163466380677e-16,0.01,8.762401,1.0,-4.796163466380677e-16,77.55521743362067,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,77.55521743362067,0.01,-0.82663834,-2.9802322e-08,-9.822790973738705
,1.0,100,-2.3092638912203257e-16,0.01,7.3396325,1.0,-2.3092638912203257e-16,54.414354655244,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,54.414354655244,0.01,-0.64821637,2.9802322e-08,-7.71211153058301
,1.0,100,-8.348877145181177e-16,0.01,8.2654295,1.0,-8.348877145181177e-16,69.00740187113189,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,69.00740187113189,0.01,-0.80194116,-2.2351742e-08,-9.528542772598938
,1.0,100,-1.687538997430238e-16,0.01,7.4716268,1.0,-1.687538997430238e-16,56.3890999426373,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,56.3890999426373,0.01,-0.7635515,-3.7252903e-08,-9.074389500888772
,1.0,100,2.042810365310288e-15,0.01,7.985633,1.0,2.042810365310288e-15,64.41448245943725,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,64.41448245943725,0.01,-0.6763301,-2.9802322e-08,-8.036451787758597
,1.0,100,1.1901590823981679e-15,0.01,8.22974,1.0,1.1901590823981679e-15,68.4127549751179,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,68.4127549751179,0.01,-0.83391196,6.3329935e-08,-9.908466442748535
,1.0,100,1.403321903126198e-15,0.01,9.079582,1.0,1.403321903126198e-15,83.27152231725273,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,83.27152231725273,0.01,-0.8115391,-5.9604645e-08,-9.642860829271193
,1.0,100,-2.042810365310288e-16,0.01,8.900096,1.0,-2.042810365310288e-16,80.01183414249523,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,80.01183414249523,0.01,-0.73549455,-8.195639e-08,-8.739591161316085
,1.0,100,-1.4210854715202005e-15,0.01,8.330089,1.0,-1.4210854715202005e-15,70.09129661866636,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,70.09129661866636,0.01,-0.79865426,-5.9604645e-08,-9.489652575505179
,1.0,100,7.993605777301127e-16,0.01,8.133721,1.0,7.993605777301127e-16,66.8256852532012,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,66.8256852532012,0.01,-0.7262045,-5.9604645e-08,-8.62877916917857
,1.0,100,8.881784197001252e-16,0.01,8.881937,1.0,8.881784197001252e-16,79.6856623298283,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,79.6856623298283,0.01,-0.8032791,8.009374e-08,-9.554674142034548
,1.0,100,1.403321903126198e-15,0.01,9.563637,1.0,1.403321903126198e-15,92.38701918491681,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,92.38701918491681,0.01,-0.9382816,7.450581e-09,-11.153194786985837
,1.0,100,1.0658141036401502e-15,0.01,7.997336,1.0,1.0658141036401502e-15,64.60342662774055,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,64.60342662774055,0.01,-0.74199826,-5.9604645e-08,-8.818791766577492
,1.0,100,6.572520305780927e-16,0.01,9.104337,1.0,6.572520305780927e-16,83.72621525974897,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,83.72621525974897,0.01,-0.8623917,9.313226e-09,-10.246810512913013
,1.0,100,1.2612133559741778e-15,0.01,7.5531287,1.0,1.2612133559741778e-15,57.626011507780554,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,57.626011507780554,0.01,-0.76869714,-1.4901161e-08,-9.147524603064005
,1.0,100,-7.105427357601002e-17,0.01,9.008225,1.0,-7.105427357601002e-17,81.9677935381759,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,81.9677935381759,0.01,-0.9620894,2.9802322e-08,-11.43676812103975
,1.0,100,3.552713678800501e-17,0.01,9.31392,1.0,3.552713678800501e-17,87.62537115696296,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,87.62537115696296,0.01,-0.8958865,3.7252903e-08,-10.644846743243512
,1.0,100,-1.652011860642233e-15,0.01,8.5542965,1.0,-1.652011860642233e-15,73.91515315653618,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,73.91515315653618,0.01,-0.77092755,-2.2351742e-08,-9.160087837313574
,1.0,100,-1.2168044349891717e-15,0.01,7.998175,1.0,-1.2168044349891717e-15,64.6169713310404,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,64.6169713310404,0.01,-0.77415746,-7.450581e-09,-9.20839631165203
,1.0,100,-3.552713678800501e-17,0.01,8.320258,1.0,-3.552713678800501e-17,69.92595774356084,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,69.92595774356084,0.01,-0.76454717,5.9604645e-08,-9.097780064893744
,1.0,100,1.936228954946273e-15,0.01,8.69746,1.0,1.936228954946273e-15,76.40990828142164,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,76.40990828142164,0.01,-0.86261797,8.940697e-08,-10.252420693574475
,1.0,100,-1.2434497875801754e-16,0.01,8.466726,1.0,-1.2434497875801754e-16,72.40954386530115,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,72.40954386530115,0.01,-0.84873825,,-10.09138854115492
,1.0,100,1.0302869668521452e-15,0.01,8.516283,1.0,1.0302869668521452e-15,73.2596715975437,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,73.2596715975437,0.01,-0.785431,1.7881393e-07,-9.332754421336551
,1.0,100,-9.769962616701378e-16,0.01,8.269415,1.0,-9.769962616701378e-16,69.07395992388118,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,69.07395992388118,0.01,-0.86330867,8.940697e-08,-10.260640196472908
,1.0,100,1.2789769243681803e-15,0.01,8.524785,1.0,1.2789769243681803e-15,73.40602263003336,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,73.40602263003336,0.01,-0.8676871,4.0978193e-08,-10.31223997404698
,1.0,100,-1.4210854715202005e-15,0.01,8.781196,1.0,-1.4210854715202005e-15,77.88827707711008,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,77.88827707711008,0.01,-0.89001197,4.4703484e-08,-10.574974772701387
,1.0,100,-6.483702463810914e-16,0.01,7.7956657,1.0,-6.483702463810914e-16,61.38627329302832,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,61.38627329302832,0.01,-0.6688517,1.0430813e-07,-7.947201358163852
,1.0,100,4.796163466380677e-16,0.01,8.570224,1.0,4.796163466380677e-16,74.19064479557825,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,74.19064479557825,0.01,-0.87197727,-1.6391277e-07,-10.361380269870917
,1.0,100,-1.7763568394002506e-16,0.01,8.572751,1.0,-1.7763568394002506e-16,74.2343983063797,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,74.2343983063797,0.01,-0.8239478,-2.9802322e-08,-9.79625439479708
,1.0,100,-8.526512829121202e-16,0.01,8.618107,1.0,-8.526512829121202e-16,75.02198001376574,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,75.02198001376574,0.01,-0.8437839,2.2351742e-08,-10.027360553488446
,1.0,100,1.1635137298071641e-15,0.01,8.519021,1.0,1.1635137298071641e-15,73.3067851703128,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,73.3067851703128,0.01,-0.73083115,-9.685755e-08,-8.6839903215065
,1.0,100,2.2826185386293217e-15,0.01,7.5360165,1.0,2.2826185386293217e-15,57.365193894478395,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,57.365193894478395,0.01,-0.66060734,-2.9802322e-08,-7.866563523069227
,1.0,100,1.5898393712632242e-15,0.01,8.900577,1.0,1.5898393712632242e-15,80.0204710226735,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,80.0204710226735,0.01,-0.88113236,7.450581e-09,-10.474296872494078
,1.0,100,4.529709940470639e-16,0.01,8.453285,1.0,4.529709940470639e-16,72.17983437269964,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,72.17983437269964,0.01,-0.75400585,-3.1664968e-08,-8.959961963795955
,1.0,100,4.085620730620576e-16,0.01,7.822931,1.0,4.085620730620576e-16,61.816412301851294,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,61.816412301851294,0.01,-0.72990847,1.3969839e-08,-8.673279740674147
,1.0,100,-6.572520305780927e-16,0.01,8.781791,1.0,-6.572520305780927e-16,77.89883864828224,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,77.89883864828224,0.01,-0.86600167,-1.1175871e-08,-10.304129882227327
,1.0,100,1.580957587066223e-15,0.01,8.332167,1.0,1.580957587066223e-15,70.12626420475212,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,70.12626420475212,0.01,-0.78076065,8.940697e-08,-9.277934205474226
,1.0,100,2.1316282072803005e-16,0.01,8.951858,1.0,2.1316282072803005e-16,80.94520353821731,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,80.94520353821731,0.01,-0.70741415,-1.1920929e-07,-8.4057974547234
,1.0,100,7.727152251391089e-16,0.01,8.533801,1.0,7.727152251391089e-16,73.56138059490549,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,73.56138059490549,0.01,-0.7438552,5.9604645e-08,-8.839145278855447
,1.0,100,3.019806626980426e-16,0.01,8.543527,1.0,3.019806626980426e-16,73.72914796908263,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,73.72914796908263,0.01,-0.76675236,1.4901161e-08,-9.118688356298001
,1.0,100,-2.486899575160351e-16,0.01,8.671663,1.0,-2.486899575160351e-16,75.95730881939423,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,75.95730881939423,0.01,-0.80626875,-1.1920929e-07,-9.58087815724661
,1.0,100,-5.151434834260726e-16,0.01,8.218104,1.0,-5.151434834260726e-16,68.21943356848372,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,68.21943356848372,0.01,-0.7784671,-4.4703484e-08,-9.271725692458894
,1.0,100,-2.2382096176443156e-15,0.01,8.570575,1.0,-2.2382096176443156e-15,74.19672735228917,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,74.19672735228917,0.01,-0.7720132,,-9.173815366042566
,1.0,100,7.815970093361102e-16,0.01,8.21535,1.0,7.815970093361102e-16,68.1737057114056,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,68.1737057114056,0.01,-0.8185556,-1.3411045e-07,-9.748270180566264
,1.0,100,-3.375077994860476e-16,0.01,8.052219,1.0,-3.375077994860476e-16,65.4931800764894,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,65.4931800764894,0.01,-0.87175703,-8.940697e-08,-10.358233642028317
,1.0,100,-7.638334409421077e-16,0.01,8.034643,1.0,-7.638334409421077e-16,65.20758041735652,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,65.20758041735652,0.01,-0.7320224,2.9802322e-08,-8.697787415737658
,1.0,100,2.042810365310288e-15,0.01,8.81534,1.0,2.042810365310288e-15,78.49517219653295,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,78.49517219653295,0.01,-0.8424921,5.9604645e-08,-10.010450608322362
,1.0,100,4.618527782440651e-16,0.01,8.70448,1.0,4.618527782440651e-16,76.53329306504598,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,76.53329306504598,0.01,-0.92357516,,-10.996657920005385
,1.0,100,-1.1191048088221578e-15,0.01,9.042622,1.0,-1.1191048088221578e-15,82.59494733619854,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,82.59494733619854,0.01,-0.84400094,-2.9802322e-08,-10.03092908351378
,1.0,100,-1.4210854715202005e-15,0.01,8.179042,1.0,-1.4210854715202005e-15,67.57245033267701,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,67.57245033267701,0.01,-0.81470823,-4.4703484e-08,-9.681614465390568
,1.0,100,2.460254222569347e-15,0.01,8.35664,1.0,2.460254222569347e-15,70.53882363260247,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,70.53882363260247,0.01,-0.84002167,4.0978193e-08,-9.981028314351962
,1.0,100,-6.572520305780927e-16,0.01,8.109633,1.0,-6.572520305780927e-16,66.43045953337455,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,66.43045953337455,0.01,-0.6868462,,-8.160989746654733
,1.0,100,1.0391687510491465e-15,0.01,8.222222,1.0,1.0391687510491465e-15,68.28781882066271,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,68.28781882066271,0.01,-0.80172455,-7.4505806e-08,-9.529256955281099
,1.0,100,-1.0391687510491465e-15,0.01,7.7154636,1.0,-1.0391687510491465e-15,60.12968223726343,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,60.12968223726343,0.01,-0.65371823,-8.940697e-08,-7.767688638303714
,1.0,100,1.5987211554602255e-15,0.01,8.478632,1.0,1.5987211554602255e-15,72.61333638121017,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,72.61333638121017,0.01,-0.8015549,1.4901161e-08,-9.524087338278537
,1.0,100,1.4566126083082053e-15,0.01,8.199926,1.0,1.4566126083082053e-15,67.91798685167434,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,67.91798685167434,0.01,-0.81286824,-2.9802322e-08,-9.659323229976188
,1.0,100,-6.572520305780927e-16,0.01,8.590018,1.0,-6.572520305780927e-16,74.53376460209584,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,74.53376460209584,0.01,-0.7575335,-1.7881393e-07,-9.010438027817933
,1.0,100,-1.3677947663381929e-15,0.01,8.688556,1.0,-1.3677947663381929e-15,76.25353994242431,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,76.25353994242431,0.01,-0.82315147,5.9604645e-08,-9.784504206939753
,1.0,100,-6.217248937900877e-17,0.01,8.390251,1.0,-6.217248937900877e-17,71.1073932436873,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,71.1073932436873,0.01,-0.77307653,9.685755e-08,-9.185597136464336
,1.0,100,-2.2470914018413167e-15,0.01,9.073694,1.0,-2.2470914018413167e-15,83.16356649645437,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,83.16356649645437,0.01,-0.8911706,-2.9802322e-08,-10.5887405134246
,1.0,100,8.348877145181177e-16,0.01,9.251251,1.0,8.348877145181177e-16,86.45014985331075,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,86.45014985331075,0.01,-0.80991185,-7.4505806e-08,-9.623513702299075
,1.0,100,-3.375077994860476e-16,0.01,8.306656,1.0,-3.375077994860476e-16,69.69750901553486,100.0,1.0,200.0,100.0,1.0,0.009999998,3.5044917e-18,69.69750901553486,0.01,-0.81738067,2.9802322e-08,-9.718280848089593
