BatchSize,VarDiscRet,AvgRet,EpsThisIter,VarVanillaIw,VanillaAvgRet,IterType,VarJ,AvgVanillaIw,AvgNormIw,MaxNormIw,VarRet,eRenyi2,VarNormIw,MaxVanillaIw,AvgEpLen,ESSRenyi,Delta,ESSClassic,MinNormIw,AvgDiscRet,J,Bound,MinVanillaIw
400,12671.1760847,306.552093115,100,,306.552093115,2,112.002,1.0,0.01,0.01,12671.1760847,1.0,3.50449e-18,1.0,33.12,400.0,0.9,100.0,0.01,306.552093115,306.552,280.902,1.0
400,13005.5157266,303.74333224,100,,303.74333224,2,112.747,1.0,0.005,0.005,13005.5157266,1.0,2.1793e-19,1.0,32.82,400.0,0.9,200.000000102,0.005,303.74333224,305.148,285.857,1.0
400,11230.7751895,301.483241197,100,,301.483241197,2,110.38,1.0,0.00333333,0.00333333,11230.7751895,1.0,5.43914e-20,1.0,32.59,400.0,0.9,299.999969474,0.00333333,301.483241197,303.926,288.176,1.0
500,11491.9725003,133.36120025,100,7.4071e+24,133.36120025,,111.111,1.63849e+11,0.0025,0.820808,8076.06737895,0.0971486,0.0017244,5.37956e+13,14.59,5146.75628458,0.9,1.44815124361,1.67352e-17,292.760581484,282.358,-inf,0.00109682
500,10232.0870784,156.772109621,100,4156.49,156.772109621,1,386.114,3.90675,0.002,0.734544,10232.0870784,32.0496,0.00108932,1434.84,17.1,15.6008416494,0.9,1.83294268814,1.99839e-20,156.772109621,375.88,329.676,3.9036e-17
500,15639.6813764,337.001941584,100,,337.001941584,2,124.432,1.0,0.01,0.01,15639.6813764,1.0,3.50449e-18,1.0,36.41,500.0,0.9,100.0,0.01,337.001941584,337.002,312.662,1.0
500,11666.3961695,283.78926744,100,,283.78926744,2,119.266,1.0,0.005,0.005,11666.3961695,1.0,2.1793e-19,1.0,30.7,500.0,0.9,200.000000102,0.005,283.78926744,310.396,292.245,1.0
500,16121.5328214,289.261942878,100,,289.261942878,2,122.075,1.0,0.00333333,0.00333333,16121.5328214,1.0,5.43914e-20,1.0,31.28,500.0,0.9,299.999969474,0.00333333,289.261942878,303.351,285.59,1.0
500,12026.9484424,260.966063022,100,,260.966063022,2,120.375,1.0,0.0025,0.0025,12026.9484424,1.0,5.4346e-20,1.0,28.26,500.0,0.9,400.0,0.0025,260.966063022,292.755,277.373,1.0
500,23219.8982397,297.505733491,100,4225.39,297.505733491,1,1426.23,4.14396,0.002,0.697045,23219.8982397,78.9406,0.000984225,1444.27,32.16,6.3338728826,0.9,2.02786926308,2.11798e-21,297.505733491,657.154,502.794,4.38841e-18
500,10716.154074,381.68294741,100,,381.68294741,2,103.0,1.0,0.01,0.01,10716.154074,1.0,3.50449e-18,1.0,41.15,500.0,0.9,100.0,0.01,381.68294741,381.683,357.479,1.0
500,17380.9183638,395.341160332,100,,395.341160332,2,118.13,1.0,0.005,0.005,17380.9183638,1.0,2.1793e-19,1.0,42.64,500.0,0.9,200.000000102,0.005,395.341160332,388.512,361.878,1.0
500,20304.6433505,414.942710464,100,,414.942710464,2,127.118,1.0,0.00333333,0.00333333,20304.6433505,1.0,5.43914e-20,1.0,44.73,500.0,0.9,299.999969474,0.00333333,414.942710464,397.322,375.576,1.0
500,6407.40571678,364.960058762,100,,364.960058762,2,117.904,1.0,0.0025,0.0025,6407.40571678,1.0,5.4346e-20,1.0,39.35,500.0,0.9,400.0,0.0025,364.960058762,389.232,370.399,1.0
500,14993.6873154,396.093850854,100,561.265,396.093850854,1,939.496,2.133,0.002,0.490297,14993.6873154,16.8336,0.000493456,522.9,42.71,29.7024374232,0.9,4.02845157606,5.84159e-10,396.093850854,577.656,508.545,6.23004e-07
500,25825.3588915,416.236746905,100,,416.236746905,2,159.897,1.0,0.01,0.01,25825.3588915,1.0,3.50449e-18,1.0,44.91,500.0,0.9,100.0,0.01,416.236746905,416.237,377.305,1.0
500,16803.2521533,429.457267266,100,,429.457267266,2,145.413,1.0,0.005,0.005,16803.2521533,1.0,2.1793e-19,1.0,46.32,500.0,0.9,200.000000102,0.005,429.457267266,422.847,395.318,1.0
500,15389.6779853,434.152108831,100,,434.152108831,2,138.577,1.0,0.00333333,0.00333333,15389.6779853,1.0,5.43914e-20,1.0,46.83,500.0,0.9,299.999969474,0.00333333,434.152108831,426.615,404.138,1.0
500,16312.3111269,410.689106218,100,,410.689106218,2,135.969,1.0,0.0025,0.0025,16312.3111269,1.0,5.4346e-20,1.0,44.31,500.0,0.9,400.0,0.0025,410.689106218,422.634,403.168,1.0
500,22055.3324306,436.48386536,100,7785.38,436.48386536,1,1139.02,4.99816,0.002,0.78216,22055.3324306,103.801,0.00124658,1954.68,47.07,4.81692544827,0.9,1.60245283687,4.16957e-18,436.48386536,1056.23,878.845,1.04201e-14
500,36251.9429028,512.986628304,100,,512.986628304,2,189.445,1.0,0.01,0.01,36251.9429028,1.0,3.50449e-18,1.0,55.34,500.0,0.9,100.0,0.01,512.986628304,512.987,472.917,1.0
500,28322.0559218,489.566268984,100,,489.566268984,2,179.168,1.0,0.005,0.005,28322.0559218,1.0,2.1793e-19,1.0,52.81,500.0,0.9,200.000000102,0.005,489.566268984,501.276,472.943,1.0
500,24840.1218591,510.653587276,100,,510.653587276,2,172.098,1.0,0.00333333,0.00333333,24840.1218591,1.0,5.43914e-20,1.0,55.1,500.0,0.9,299.999969474,0.00333333,510.653587276,504.402,481.268,1.0
500,32482.1108958,496.639675432,100,,496.639675432,2,173.965,1.0,0.0025,0.0025,32482.1108958,1.0,5.4346e-20,1.0,53.58,500.0,0.9,400.0,0.0025,496.639675432,502.461,482.427,1.0
500,33752.3558341,490.177429011,100,8307.45,490.177429011,1,912.23,4.84342,0.002,0.840646,33752.3558341,54.417,0.00141652,2035.8,52.89,9.18830451204,0.9,1.41074802751,9.57782e-15,490.177429011,1005.17,869.438,2.31947e-11
500,56796.1593244,578.501824925,100,,578.501824925,2,237.125,1.0,0.01,0.01,56796.1593244,1.0,3.50449e-18,1.0,62.4,500.0,0.9,100.0,0.01,578.501824925,578.502,536.541,1.0
500,38898.2264649,544.242832822,100,,544.242832822,2,218.317,1.0,0.005,0.005,38898.2264649,1.0,2.1793e-19,1.0,58.78,500.0,0.9,200.000000102,0.005,544.242832822,561.372,528.597,1.0
500,63076.0869227,569.423302948,100,,569.423302948,2,229.356,1.0,0.00333333,0.00333333,63076.0869227,1.0,5.43914e-20,1.0,61.41,500.0,0.9,299.999969474,0.00333333,569.423302948,564.056,537.295,1.0
500,54391.1175963,555.911106857,100,,555.911106857,2,230.06,1.0,0.0025,0.0025,54391.1175963,1.0,5.4346e-20,1.0,59.98,500.0,0.9,400.0,0.0025,555.911106857,562.02,538.844,1.0
500,48499.4015323,533.148451103,100,6131.99,533.148451103,1,1382.71,3.86688,0.002,0.905516,48499.4015323,70.7897,0.00164036,1750.76,57.56,7.06317030252,0.9,1.21871135764,1.15386e-23,533.148451103,1324.69,1149.93,2.23092e-20
500,66265.0985349,713.008790482,100,,713.008790482,2,256.13,1.0,0.01,0.01,66265.0985349,1.0,3.50449e-18,1.0,76.99,500.0,0.9,100.0,0.01,713.008790482,713.009,664.916,1.0
500,55315.5817866,707.364569263,100,,707.364569263,2,245.337,1.0,0.005,0.005,55315.5817866,1.0,2.1793e-19,1.0,76.25,500.0,0.9,200.000000102,0.005,707.364569263,710.187,675.375,1.0
500,67786.0313065,664.069747226,100,,664.069747226,2,250.936,1.0,0.00333333,0.00333333,67786.0313065,1.0,5.43914e-20,1.0,71.66,500.0,0.9,299.999969474,0.00333333,664.069747226,694.814,666.14,1.0
500,69550.3867881,678.811369589,100,,678.811369589,2,253.946,1.0,0.0025,0.0025,69550.3867881,1.0,5.4346e-20,1.0,73.2,500.0,0.9,400.0,0.0025,678.811369589,690.814,665.813,1.0
500,72603.5378604,717.351717024,100,5337.33,717.351717024,1,1695.79,3.8541,0.002,0.847448,72603.5378604,56.789,0.00143727,1633.07,77.37,8.80452000111,0.9,1.3904363435,5.50071e-25,717.351717024,1335.73,1166.51,1.06001e-21
500,101245.707759,847.344976247,100,,847.344976247,2,316.596,1.0,0.01,0.01,101245.707759,1.0,3.50449e-18,1.0,91.62,500.0,0.9,100.0,0.01,847.344976247,847.345,788.549,1.0
500,84140.9694936,851.93526053,100,,851.93526053,2,302.938,1.0,0.005,0.005,84140.9694936,1.0,2.1793e-19,1.0,92.01,500.0,0.9,200.000000102,0.005,851.93526053,849.64,808.065,1.0
500,101161.563964,828.814393652,100,,828.814393652,2,307.67,1.0,0.00333333,0.00333333,101161.563964,1.0,5.43914e-20,1.0,89.48,500.0,0.9,299.999969474,0.00333333,828.814393652,842.698,808.312,1.0
500,92782.3985426,820.180114738,100,,820.180114738,2,306.683,1.0,0.0025,0.0025,92782.3985426,1.0,5.4346e-20,1.0,88.68,500.0,0.9,400.0,0.0025,820.180114738,837.069,805.495,1.0
500,63298.7634197,770.732347272,100,2504.24,770.732347272,1,1192.84,3.57746,0.002,0.576468,63298.7634197,43.2724,0.000782685,1031.14,83.22,11.554715375,0.9,2.54738509067,1.78375e-13,770.732347272,1513.55,1327.78,3.19063e-10
500,75882.5981849,910.587039819,100,,910.587039819,2,274.087,1.0,0.01,0.01,75882.5981849,1.0,3.50449e-18,1.0,98.45,500.0,0.9,100.0,0.01,910.587039819,910.587,850.889,1.0
500,109344.158707,952.441249745,100,,952.441249745,2,303.521,1.0,0.005,0.005,109344.158707,1.0,2.1793e-19,1.0,102.95,500.0,0.9,200.000000102,0.005,952.441249745,931.514,889.301,1.0
500,105228.311481,965.552832497,100,,965.552832497,2,310.483,1.0,0.00333333,0.00333333,105228.311481,1.0,5.43914e-20,1.0,104.31,500.0,0.9,299.999969474,0.00333333,965.552832497,942.86,908.394,1.0
500,84779.1889599,877.871837244,100,,877.871837244,2,306.716,1.0,0.0025,0.0025,84779.1889599,1.0,5.4346e-20,1.0,94.93,500.0,0.9,400.0,0.0025,877.871837244,926.613,896.764,1.0
500,105579.859974,890.649043944,100,888.789,890.649043944,1,206.758,1.42743,0.002,0.934,105579.859974,1.0,0.00174482,666.609,96.41,499.999940395,0.9,1.14591430028,1.05539e-26,890.649043944,1377.5,1350.8,7.53246e-24
500,106795.339538,1051.54256263,100,,1051.54256263,2,325.157,1.0,0.01,0.01,106795.339538,1.0,3.50449e-18,1.0,113.86,500.0,0.9,100.0,0.01,1051.54256263,1051.54,989.772,1.0
500,94227.4500884,1058.8714898,100,,1058.8714898,2,315.467,1.0,0.005,0.005,94227.4500884,1.0,2.1793e-19,1.0,114.68,500.0,0.9,200.000000102,0.005,1058.8714898,1055.21,1011.53,1.0
500,125773.172384,1045.43815563,100,,1045.43815563,2,328.44,1.0,0.00333333,0.00333333,125773.172384,1.0,5.43914e-20,1.0,113.15,500.0,0.9,299.999969474,0.00333333,1045.43815563,1051.95,1012.12,1.0
500,102054.946182,998.074966993,100,,998.074966993,2,326.661,1.0,0.0025,0.0025,102054.946182,1.0,5.4346e-20,1.0,108.2,500.0,0.9,400.0,0.0025,998.074966993,1038.48,1003.99,1.0
500,131494.862658,1007.64760733,100,63.6511,1007.64760733,1,1241.85,1.22868,0.002,0.223054,131494.862658,1.0,0.000168651,137.031,109.09,499.998867514,0.9,11.606760613,3.78002e-09,1007.64760733,1269.72,1238.87,2.32222e-06
500,142376.193406,1110.23745384,100,,1110.23745384,2,375.436,1.0,0.01,0.01,142376.193406,1.0,3.50449e-18,1.0,120.44,500.0,0.9,100.0,0.01,1110.23745384,1110.24,1044.66,1.0
500,111596.015625,1038.64312382,100,,1038.64312382,2,356.367,1.0,0.005,0.005,111596.015625,1.0,2.1793e-19,1.0,112.51,500.0,0.9,200.000000102,0.005,1038.64312382,1074.44,1028.07,1.0
500,145994.771774,1043.26081398,100,,1043.26081398,2,364.773,1.0,0.00333333,0.00333333,145994.771774,1.0,5.43914e-20,1.0,113.22,500.0,0.9,299.999969474,0.00333333,1043.26081398,1064.05,1026.19,1.0
500,131427.913847,1013.27661073,100,,1013.27661073,2,364.426,1.0,0.0025,0.0025,131427.913847,1.0,5.4346e-20,1.0,109.69,500.0,0.9,400.0,0.0025,1013.27661073,1051.35,1013.44,1.0
500,138558.02893,985.393301917,100,7601.58,985.393301917,1,2370.17,4.51648,0.002,0.862696,138558.02893,65.1298,0.00149061,1948.18,106.67,7.67697838929,0.9,1.34081917219,4.20206e-15,985.393301917,2154.42,1880.72,9.48927e-12
500,141468.218518,1112.73532445,100,,1112.73532445,2,374.237,1.0,0.01,0.01,141468.218518,1.0,3.50449e-18,1.0,120.4,500.0,0.9,100.0,0.01,1112.73532445,1112.74,1040.99,1.0
500,103229.677527,1113.77492728,100,,1113.77492728,2,348.031,1.0,0.005,0.005,103229.677527,1.0,2.1793e-19,1.0,120.49,500.0,0.9,200.000000102,0.005,1113.77492728,1113.26,1062.52,1.0
500,133371.777319,1131.5258478,100,,1131.5258478,2,353.323,1.0,0.00333333,0.00333333,133371.777319,1.0,5.43914e-20,1.0,122.65,500.0,0.9,299.999969474,0.00333333,1131.5258478,1119.35,1077.04,1.0
500,127882.96333,1040.85310774,100,,1040.85310774,2,355.576,1.0,0.0025,0.0025,127882.96333,1.0,5.4346e-20,1.0,112.64,500.0,0.9,400.0,0.0025,1040.85310774,1099.72,1063.08,1.0
500,131856.307308,1118.95744465,100,4731.14,1118.95744465,1,1543.71,4.02639,0.002,0.764038,131856.307308,22.3003,0.00116733,1538.16,121.26,22.4212531146,0.9,1.71086855787,4.53481e-08,1118.95744465,1491.84,1337.08,9.12944e-05
500,122779.355361,1135.27547184,100,,1135.27547184,2,348.642,1.0,0.01,0.01,122779.355361,1.0,3.50449e-18,1.0,122.84,500.0,0.9,100.0,0.01,1135.27547184,1135.28,1068.74,1.0
500,134677.777663,1145.11024917,100,,1145.11024917,2,357.023,1.0,0.005,0.005,134677.777663,1.0,2.1793e-19,1.0,124.22,500.0,0.9,200.000000102,0.005,1145.11024917,1140.19,1088.88,1.0
500,109688.940078,1131.21588536,100,,1131.21588536,2,348.127,1.0,0.00333333,0.00333333,109688.940078,1.0,5.43914e-20,1.0,122.54,500.0,0.9,299.999969474,0.00333333,1131.21588536,1137.2,1095.3,1.0
500,110865.125273,1117.27331755,100,,1117.27331755,2,344.104,1.0,0.0025,0.0025,110865.125273,1.0,5.4346e-20,1.0,121.1,500.0,0.9,400.0,0.0025,1117.27331755,1132.22,1095.93,1.0
500,148527.048905,1115.37141151,100,4558.23,1115.37141151,1,2574.04,3.92411,0.002,0.769501,148527.048905,28.8224,0.00118406,1509.8,120.79,17.347605261,0.9,1.68677645691,2.42947e-09,1115.37141151,1765.22,1566.34,4.76674e-06
500,129645.962939,1166.05038521,100,,1166.05038521,2,358.259,1.0,0.01,0.01,129645.962939,1.0,3.50449e-18,1.0,126.52,500.0,0.9,100.0,0.01,1166.05038521,1166.05,1104.05,1.0
500,126246.60452,1098.53191203,100,,1098.53191203,2,357.5,1.0,0.005,0.005,126246.60452,1.0,2.1793e-19,1.0,118.96,500.0,0.9,200.000000102,0.005,1098.53191203,1132.29,1087.78,1.0
500,102073.126548,1193.76003172,100,,1193.76003172,2,346.018,1.0,0.00333333,0.00333333,102073.126548,1.0,5.43914e-20,1.0,129.4,500.0,0.9,299.999969474,0.00333333,1193.76003172,1152.78,1113.9,1.0
500,124362.553088,1123.90487625,100,,1123.90487625,2,347.465,1.0,0.0025,0.0025,124362.553088,1.0,5.4346e-20,1.0,121.76,500.0,0.9,400.0,0.0025,1123.90487625,1145.56,1111.89,1.0
500,138342.213146,1160.44477178,100,3491.8,1160.44477178,1,1751.58,3.40338,0.002,0.775623,138342.213146,26.8644,0.00120584,1319.87,125.71,18.6119875161,0.9,1.65641911573,2.33724e-11,1160.44477178,1592.11,1428.69,3.97726e-08
500,109218.697321,1129.81130959,100,,1129.81130959,2,328.826,1.0,0.01,0.01,109218.697321,1.0,3.50449e-18,1.0,122.57,500.0,0.9,100.0,0.01,1129.81130959,1129.81,1070.24,1.0
500,82230.5992324,1200.66194023,100,,1200.66194023,2,309.875,1.0,0.005,0.005,82230.5992324,1.0,2.1793e-19,1.0,130.45,500.0,0.9,200.000000102,0.005,1200.66194023,1165.24,1117.75,1.0
500,104412.122525,1125.54674532,100,,1125.54674532,2,314.358,1.0,0.00333333,0.00333333,104412.122525,1.0,5.43914e-20,1.0,122.2,500.0,0.9,299.999969474,0.00333333,1125.54674532,1152.01,1113.24,1.0
500,122386.314796,1250.10751501,100,,1250.10751501,2,325.9,1.0,0.0025,0.0025,122386.314796,1.0,5.4346e-20,1.0,135.23,500.0,0.9,400.0,0.0025,1250.10751501,1176.53,1136.93,1.0
500,88095.2199809,1206.77450073,100,129.256,1206.77450073,1,4968.62,1.33621,0.002,0.350871,88095.2199809,27.6367,0.000289573,234.419,130.71,18.0918865262,0.9,6.82607456586,4.96149e-18,1206.77450073,1759.62,1573.41,3.3148e-15
500,81498.0193102,1225.15726257,100,,1225.15726257,2,284.048,1.0,0.01,0.01,81498.0193102,1.0,3.50449e-18,1.0,132.68,500.0,0.9,100.0,0.01,1225.15726257,1225.16,1162.21,1.0
500,120601.626785,1208.41146752,100,,1208.41146752,2,316.401,1.0,0.005,0.005,120601.626785,1.0,2.1793e-19,1.0,130.82,500.0,0.9,200.000000102,0.005,1208.41146752,1216.78,1168.49,1.0
500,104552.539095,1199.40877553,100,,1199.40877553,2,318.291,1.0,0.00333333,0.00333333,104552.539095,1.0,5.43914e-20,1.0,129.84,500.0,0.9,299.999969474,0.00333333,1199.40877553,1210.99,1171.56,1.0
500,98572.4617194,1192.3986396,100,,1192.3986396,2,316.928,1.0,0.0025,0.0025,98572.4617194,1.0,5.4346e-20,1.0,128.99,500.0,0.9,400.0,0.0025,1192.3986396,1206.34,1171.92,1.0
500,101251.651693,1134.49941103,100,0.782785,1134.49941103,1,387.046,1.06955,0.002,0.0208537,101251.651693,1.87836,2.73715e-06,11.1521,123.24,266.19000489,0.9,297.103009895,7.51466e-05,1134.49941103,1234.27,1192.08,0.0401866
500,113420.815619,1171.95467334,100,,1171.95467334,2,335.092,1.0,0.01,0.01,113420.815619,1.0,3.50449e-18,1.0,126.87,500.0,0.9,100.0,0.01,1171.95467334,1171.95,1111.77,1.0
500,102457.686996,1212.07914761,100,,1212.07914761,2,327.509,1.0,0.005,0.005,102457.686996,1.0,2.1793e-19,1.0,131.62,500.0,0.9,200.000000102,0.005,1212.07914761,1192.02,1148.08,1.0
500,120776.580679,1214.89756531,100,,1214.89756531,2,333.887,1.0,0.00333333,0.00333333,120776.580679,1.0,5.43914e-20,1.0,131.66,500.0,0.9,299.999969474,0.00333333,1214.89756531,1199.64,1163.77,1.0
500,130073.550821,1192.24603688,100,,1192.24603688,2,340.315,1.0,0.0025,0.0025,130073.550821,1.0,5.4346e-20,1.0,129.18,500.0,0.9,400.0,0.0025,1192.24603688,1197.79,1165.58,1.0
500,124028.780448,1148.8990952,100,12.7439,1148.8990952,1,1268.28,1.15708,0.002,0.130418,124028.780448,4.11933,3.80749e-05,75.4518,124.38,121.378992295,0.9,47.6203641211,8.97132e-06,1148.8990952,1328.42,1269.94,0.00519025
500,90204.1402099,1172.64925572,100,,1172.64925572,2,298.835,1.0,0.01,0.01,90204.1402099,1.0,3.50449e-18,1.0,127.23,500.0,0.9,100.0,0.01,1172.64925572,1172.65,1111.53,1.0
500,102349.33598,1215.60995279,100,,1215.60995279,2,309.476,1.0,0.005,0.005,102349.33598,1.0,2.1793e-19,1.0,131.7,500.0,0.9,200.000000102,0.005,1215.60995279,1194.13,1144.36,1.0
500,134028.312,1208.35206106,100,,1208.35206106,2,328.823,1.0,0.00333333,0.00333333,134028.312,1.0,5.43914e-20,1.0,130.9,500.0,0.9,299.999969474,0.00333333,1208.35206106,1198.87,1151.9,1.0
500,98661.738642,1178.70808758,100,,1178.70808758,2,324.944,1.0,0.0025,0.0025,98661.738642,1.0,5.4346e-20,1.0,127.86,500.0,0.9,400.0,0.0025,1178.70808758,1193.83,1153.15,1.0
500,115614.498568,1175.8477901,100,1.76299,1175.8477901,1,500.779,1.03437,0.002,0.0180164,115614.498568,2.5212,6.59108e-06,9.31782,127.53,198.318415769,0.9,189.073360853,1.68055e-06,1175.8477901,1273.79,1216.02,0.000869155
500,96903.0310621,1215.2213184,100,,1215.2213184,2,309.732,1.0,0.01,0.01,96903.0310621,1.0,3.50449e-18,1.0,131.56,500.0,0.9,100.0,0.01,1215.2213184,1215.22,1152.27,1.0
500,89177.4522936,1228.24756044,100,,1228.24756044,2,303.566,1.0,0.005,0.005,89177.4522936,1.0,2.1793e-19,1.0,133.2,500.0,0.9,200.000000102,0.005,1228.24756044,1221.73,1176.28,1.0
500,136766.012054,1180.80018637,100,,1180.80018637,2,327.017,1.0,0.00333333,0.00333333,136766.012054,1.0,5.43914e-20,1.0,128.36,500.0,0.9,299.999969474,0.00333333,1180.80018637,1208.09,1165.24,1.0
500,99008.6428586,1211.64286013,100,,1211.64286013,2,323.592,1.0,0.0025,0.0025,99008.6428586,1.0,5.4346e-20,1.0,131.24,500.0,0.9,400.0,0.0025,1211.64286013,1208.98,1171.87,1.0
500,88284.7057153,1218.94600159,100,,1218.94600159,1,318.223,1.0,0.002,0.002,88284.7057153,1.0,5.43187e-20,1.0,132.37,500.0,0.9,500.000006643,0.002,1218.94600159,1210.97,1177.78,1.0
500,76043.7351471,1296.39144327,100,,1296.39144327,2,274.378,1.0,0.01,0.01,76043.7351471,1.0,3.50449e-18,1.0,140.3,500.0,0.9,100.0,0.01,1296.39144327,1296.39,1230.62,1.0
500,97717.0323604,1220.97122641,100,,1220.97122641,2,295.692,1.0,0.005,0.005,97717.0323604,1.0,2.1793e-19,1.0,132.41,500.0,0.9,200.000000102,0.005,1220.97122641,1258.68,1205.56,1.0
500,102995.43381,1223.59747879,100,,1223.59747879,2,304.222,1.0,0.00333333,0.00333333,102995.43381,1.0,5.43914e-20,1.0,132.63,500.0,0.9,299.999969474,0.00333333,1223.59747879,1246.99,1203.61,1.0
500,102249.393366,1236.76831477,100,,1236.76831477,2,307.798,1.0,0.0025,0.0025,102249.393366,1.0,5.4346e-20,1.0,134.13,500.0,0.9,400.0,0.0025,1236.76831477,1244.43,1206.87,1.0
500,92430.5749901,1189.84640687,100,,1189.84640687,1,307.522,1.0,0.002,0.002,92430.5749901,1.0,5.43187e-20,1.0,129.15,500.0,0.9,500.000006643,0.002,1189.84640687,1233.52,1199.92,1.0
500,140762.08463,1275.92679418,100,,1275.92679418,2,373.302,1.0,0.01,0.01,140762.08463,1.0,3.50449e-18,1.0,138.22,500.0,0.9,100.0,0.01,1275.92679418,1275.93,1191.81,1.0
500,99520.1177469,1150.56300307,100,,1150.56300307,2,350.526,1.0,0.005,0.005,99520.1177469,1.0,2.1793e-19,1.0,124.98,500.0,0.9,200.000000102,0.005,1150.56300307,1213.24,1153.77,1.0
500,105340.391909,1178.7921595,100,,1178.7921595,2,341.963,1.0,0.00333333,0.00333333,105340.391909,1.0,5.43914e-20,1.0,127.92,500.0,0.9,299.999969474,0.00333333,1178.7921595,1201.76,1153.2,1.0
500,92647.2258404,1200.68151135,100,,1200.68151135,2,332.617,1.0,0.0025,0.0025,92647.2258404,1.0,5.4346e-20,1.0,130.08,500.0,0.9,400.0,0.0025,1200.68151135,1201.49,1159.43,1.0
500,81253.8353398,1247.24734572,100,,1247.24734572,1,323.93,1.0,0.002,0.002,81253.8353398,1.0,5.43187e-20,1.0,135.12,500.0,0.9,500.000006643,0.002,1247.24734572,1210.64,1173.03,1.0
500,120337.693372,1247.7906743,100,,1247.7906743,2,345.158,1.0,0.01,0.01,120337.693372,1.0,3.50449e-18,1.0,135.38,500.0,0.9,100.0,0.01,1247.7906743,1247.79,1181.47,1.0
500,134633.78664,1160.99382835,100,,1160.99382835,2,357.903,1.0,0.005,0.005,134633.78664,1.0,2.1793e-19,1.0,126.0,500.0,0.9,200.000000102,0.005,1160.99382835,1204.39,1157.5,1.0
500,89856.099309,1207.88522586,100,,1207.88522586,2,339.192,1.0,0.00333333,0.00333333,89856.099309,1.0,5.43914e-20,1.0,130.91,500.0,0.9,299.999969474,0.00333333,1207.88522586,1205.56,1166.47,1.0
500,91748.2621214,1224.68368442,100,,1224.68368442,2,330.25,1.0,0.0025,0.0025,91748.2621214,1.0,5.4346e-20,1.0,132.82,500.0,0.9,400.0,0.0025,1224.68368442,1210.34,1176.49,1.0
500,88006.8053564,1210.66785673,100,,1210.66785673,1,323.539,1.0,0.002,0.002,88006.8053564,1.0,5.43187e-20,1.0,131.43,500.0,0.9,500.000006643,0.002,1210.66785673,1210.4,1180.13,1.0
500,71555.7607953,1187.32997572,100,,1187.32997572,2,266.158,1.0,0.01,0.01,71555.7607953,1.0,3.50449e-18,1.0,128.66,500.0,0.9,100.0,0.01,1187.32997572,1187.33,1125.17,1.0
500,105417.856897,1231.49190943,100,,1231.49190943,2,296.799,1.0,0.005,0.005,105417.856897,1.0,2.1793e-19,1.0,133.43,500.0,0.9,200.000000102,0.005,1231.49190943,1209.41,1156.62,1.0
