AvgNormIw,renyi2,VanillaAvgRet,MaxNormIw,VarJ,AvgDiscRet,IterType,AvgEpLen,BatchSize,J,ESSClassic,EpsThisIter,ESSRenyi,VarNormIw,MaxVanillaIw,AvgVanillaIw,delta,Bound,VarRet,MinVanillaIw,SamplesThisIter,MinNormIw,AvgRet,VarVanillaIw,VarDiscRet
2.9836503e-06,nan,258.39862126208465,0.4183585,80832.984,258.39862126208465,1,26.852846401718583,100,261573.62,1.9869719215960546,1862,nan,1.0519841e-06,230779500.0,1645.8735,0.4,1286.8799,109067.39644752597,,50000,,258.39862126208465,320115400000.0,109067.39644752597
3.6216147e-06,nan,315.8596541069535,0.058772307,64017.234,315.8596541069535,1,32.59452411994785,100,426927.38,1.5951166865113808,1534,nan,8.641767e-08,1959659.4,120.756355,0.4,2833.0525,237169.3528749961,,50000,,315.8596541069535,96076740.0,237169.3528749961
4.89908e-06,nan,430.93226032609067,0.058501206,114596.125,430.93226032609067,1,44.091710758377424,100,574519.75,2.1933309725929795,1134,nan,8.2328015e-08,294351.3,24.649923,0.4,3505.197,625767.5966919576,,50000,,430.93226032609067,2084250.0,625767.5966919576
7.1408167e-06,nan,632.9909577093886,0.08412951,105867.375,632.9909577093886,1,64.26735218508998,100,660323.6,2.0115928750114165,778,nan,1.7716637e-07,78811.53,6.689433,0.4,3808.335,1384622.8364014204,,50000,,632.9909577093886,155476.27,1384622.8364014204
2.120441e-05,nan,1901.0028062566453,0.0014932499,35412.72,1901.0028062566453,1,190.83969465648855,100,804214.8,4.8111767155591,262,nan,4.36947e-09,98.79534,1.4029112,0.4,4209.712,4558300.15575783,,50000,,1901.0028062566453,19.126549,4558300.15575783
2.0576132e-05,nan,1844.0900532055152,0.0009895345,37520.53,1844.0900532055152,1,185.1851851851852,100,791091.9,3.242035284144185,270,nan,4.93988e-09,78.43239,1.6309032,0.4,4169.7715,3954598.3884881595,,50000,,1844.0900532055152,31.03454,3954598.3884881595
2.9550827e-05,nan,2653.024197855792,0.0010814125,23102.336,2653.024197855792,1,265.9574468085106,100,820794.75,3.4130142392940113,188,nan,4.1041766e-09,36.33069,0.99277735,0.4,4261.2734,4492555.633314586,,50000,,2653.024197855792,4.6322336,4492555.633314586
2.9868577e-05,nan,2682.6450756555346,0.00094422343,22524.656,2682.6450756555346,1,268.81720430107526,100,833444.56,4.232607140362484,186,nan,3.6007035e-09,27.489069,0.86956054,0.4,4314.127,5337298.4237656165,,50000,,2682.6450756555346,3.0518126,5337298.4237656165
3.5612535e-05,nan,3200.3655825564997,0.00097418326,17276.182,3200.3655825564997,1,320.5128205128205,100,842180.9,2.1438032417663653,156,nan,3.3302767e-09,23.503292,0.8591934,0.4,4329.8555,4571166.103592502,,50000,,3200.3655825564997,1.938458,4571166.103592502
3.6075042e-05,nan,3241.815805493468,0.00065111124,15476.948,3241.815805493468,1,324.6753246753247,100,847363.75,3.478049214991179,154,nan,3.4337142e-09,14.429425,0.79946715,0.4,4318.0146,4730640.115646255,,50000,,3241.815805493468,1.686366,4730640.115646255
4.208754e-05,nan,3784.4313845979245,0.00042944815,11601.928,3784.4313845979245,1,378.7878787878788,100,861143.5,1.881718519988021,132,nan,2.5117972e-09,8.099846,0.7938155,0.4,4352.156,3717413.7920004423,,50000,,3784.4313845979245,0.89354545,3717413.7920004423
3.9682538e-05,nan,3567.456768546876,0.00048928184,14260.437,3567.456768546876,1,357.14285714285717,100,850812.4,2.7142687701601047,140,nan,2.8020832e-09,10.093287,0.81860244,0.4,4343.972,4140975.854147748,3.0208544e-33,50000,1.4643883e-37,3567.456768546876,1.192417,4140975.854147748
3.805175e-05,nan,3420.708434102818,0.0011873996,14318.407,3420.708434102818,1,342.4657534246575,100,855959.0,2.5831929460317444,146,nan,3.5861702e-09,24.742332,0.7928999,0.4,4356.728,4775232.8886918705,,50000,,3420.708434102818,1.5571069,4775232.8886918705
4.4802866e-05,nan,4029.4092058824262,0.00036235843,10350.895,4029.4092058824262,1,403.2258064516129,100,865355.4,1.6956237223527995,124,nan,2.103024e-09,6.6625166,0.82376957,0.4,4364.5566,3150088.242965619,2.000572e-20,50000,1.0880635e-24,4029.4092058824262,0.71095824,3150088.242965619
4.0849674e-05,nan,3672.683764273831,0.00047924664,12150.902,3672.683764273831,1,367.6470588235294,100,859550.0,2.2917112083758084,136,nan,2.8064278e-09,9.2489605,0.78835607,0.4,4350.578,4134039.4910103083,,50000,,3672.683764273831,1.0452533,4134039.4910103083
3.6549707e-05,nan,3285.010120043138,0.00057456066,15306.327,3285.010120043138,1,328.94736842105266,100,852450.6,2.037114175912202,152,nan,3.2241787e-09,12.59685,0.8013274,0.4,4340.3027,4976578.767560695,,50000,,3285.010120043138,1.5497842,4976578.767560695
4.789272e-05,nan,4307.95450847533,0.0003114025,8178.7573,4307.95450847533,1,431.0344827586207,100,872990.44,2.372531131866327,116,nan,1.5417995e-09,5.7401295,0.8828138,0.4,4365.37,2442234.590249374,1.5147808e-17,50000,8.217698e-22,4307.95450847533,0.5238743,2442234.590249374
4.8732945e-05,nan,4383.9076915738715,0.00022717529,7856.529,4383.9076915738715,1,438.5964912280702,100,875179.1,1.4557731161063956,114,nan,1.2702558e-09,4.047996,0.8683637,0.4,4372.181,2258104.7270666934,1.8517531e-11,50000,1.0392118e-15,4383.9076915738715,0.4033195,2258104.7270666934
