EpLenMean,EpisodesSoFar,Weights,InitialReturnMax,TimestepsSoFar,ESSClassic,MaxIWNorm,InitialBound,StdIWNorm,EntropyCoefficient,EpRewMean,Iteration,MinIW,ReturnStepMax,ESSRenyi,InitialReturnMin,ReturnMeanIW,MeanIW,MinIWNorm,InitialReturnMean,ReturnStepMaxmin,EpThisIter,MeanIWNorm,TimeElapsed,MaxIW,EmpiricalD2,MeanEntropy,Bound,InitialReturnStd,J_sample_variance,StdIW
54.77,1700,[ 0.753  0.52   3.358 -2.564 10.999],17.596123,91778,41.115795,0.0682483,124.18579,0.0106608635,10.0,-141.46655625082695,17,0.027123438,100.0,12.726037,-7.3855896,-0.6689422,0.8908351,0.00027123437,1.6021728e-06,94.33015,100,0.008908351,210.30028343200684,6.8248305,7.857906,12.51496,124.48066,5.889371,63.32298,1.0660863
61.93,1800,[ 0.753  0.52   3.358 -2.564 11.095],17.92434,97971,100.0,0.01,125.149605,9.313226e-10,10.0,-144.9600619776597,18,1.0,100.0,100.0,-9.630333,2.2947788e-06,1.0,0.01,2.3651123e-06,94.72368,100,0.009999999,225.27028846740723,1.0,1.0,12.51496,125.149605,7.294658,53.749535,
55.77,1900,[ 0.753  0.52   3.358 -2.564 11.095],26.51612,103548,24.026724,0.080010414,125.149605,0.011539361,10.0,-141.6262176087483,19,0.0025420708,100.0,2.2614379e-06,-8.466156,-0.015007868,0.64893115,2.5420708e-05,2.8991699e-06,94.30397,100,0.006489311,237.682523727417,8.001041,44219652.0,12.703277,127.01776,7.2177367,57.571194,1.1539361
52.67,2000,[ 0.753  0.52   3.358 -2.564 11.285],19.584198,108815,16.47434,0.20466945,127.032776,0.0259107,10.0,-137.8702461816299,20,0.0050942777,100.0,0.008525781,-8.631592,-0.2635115,1.1507294,5.0942777e-05,8.69751e-06,94.14239,100,0.011507294,250.41048574447632,20.466946,11729.13,12.846778,128.20427,6.699051,300.12778,2.5910702
55.07,2100,[ 0.753  0.52   3.358 -2.564 11.428],31.764862,114322,62.68674,0.05019723,128.46777,0.007892025,10.0,-139.2973278650318,21,0.14472713,100.0,52.5268,-9.218864,0.10583974,1.022927,0.0014472712,3.0899048e-06,94.02422,100,0.010229271,263.5563118457794,5.019723,1.9037901,12.913865,129.24449,8.747617,88.68243,0.7892025
45.89,2200,[ 0.753  0.52   3.358 -2.564 11.494],17.411697,118911,72.16051,0.054856207,129.13866,0.006195997,10.0,-134.40953611243296,22,0.17395303,100.0,73.964035,-6.6951294,-0.21353836,0.9975398,0.0017395302,4.5013426e-06,93.76242,100,0.009975399,275.71328616142273,5.485621,1.3520085,12.96574,129.44388,5.81937,36.336758,0.6195997
55.16,2300,[ 0.753  0.52   3.358 -2.564 11.546],35.44828,124427,73.32939,0.039879903,129.65741,0.0057794754,10.0,-140.37761782065817,23,0.26522416,100.0,65.803154,-8.387016,-0.10166937,0.958321,0.0026522416,-2.3651123e-06,94.14788,100,0.00958321,288.52733755111694,3.9879904,1.519684,13.020892,130.10725,8.176871,54.082653,0.57794756
48.57,2400,[ 0.753  0.52   3.358 -2.564 11.602],26.770775,129284,77.42215,0.027201436,130.20892,0.0046051177,10.0,-136.07050782108445,24,0.20904763,100.0,56.96967,-7.723709,0.031336233,0.85277045,0.0020904762,1.6784668e-06,93.93071,100,0.0085277045,299.8679418563843,2.7201438,1.75532,13.086536,130.8967,6.975532,47.98348,0.46051174
52.87,2500,[ 0.753  0.52   3.358 -2.564 11.668],24.987244,134571,100.0,0.01,130.86536,9.313226e-10,10.0,-139.8863117012742,25,1.0,100.0,100.0,-7.3634796,-6.556511e-06,1.0,0.01,-6.5612794e-06,94.150696,100,0.009999999,312.84121966362,1.0,1.0,13.086536,130.86536,5.701405,32.834362,
54.15,2600,[ 0.753  0.52   3.358 -2.564 11.668],26.535423,139986,100.0,0.01,130.86536,9.313226e-10,10.0,-140.21551926772605,26,1.0,100.0,100.0,-8.174812,-1.6242266e-06,1.0,0.01,-1.6021728e-06,94.119705,100,0.009999999,325.2035984992981,1.0,1.0,13.086536,130.86536,7.11298,51.105537,
58.64,2700,[ 0.753  0.52   3.358 -2.564 11.668],41.47813,145850,100.0,0.01,130.86536,9.313226e-10,10.0,-142.1074306083152,27,1.0,100.0,100.0,-9.278191,-7.480383e-06,1.0,0.01,-7.6293945e-06,94.15376,100,0.009999999,338.6937460899353,1.0,1.0,13.086536,130.86536,9.087268,83.41255,
51.16,2800,[ 0.753  0.52   3.358 -2.564 11.668],23.978172,150966,100.0,0.01,130.86536,9.313226e-10,10.0,-136.9220513195457,28,1.0,100.0,100.0,-8.716461,7.044524e-06,1.0,0.01,7.019043e-06,94.03867,100,0.009999999,350.3206446170807,1.0,1.0,13.086536,130.86536,7.0196056,49.77259,
47.42,2900,[ 0.753  0.52   3.358 -2.564 11.668],22.213951,155708,100.0,0.01,130.86536,9.313226e-10,10.0,-136.2098930118562,29,1.0,100.0,100.0,-5.820793,-1.6279519e-06,1.0,0.01,-1.5258789e-06,93.46148,100,0.009999999,361.48812675476074,1.0,1.0,13.086536,130.86536,5.5273075,30.859728,
52.05,3000,[ 0.753  0.52   3.358 -2.564 11.668],21.30532,160913,67.40871,0.04076435,130.86536,0.00673085,10.0,-137.98808870930446,30,0.02939965,100.0,44.919937,-8.450951,-0.12665565,0.9680035,0.0002939965,3.5095215e-06,93.989716,100,0.0096800355,373.7868480682373,4.076435,2.226183,13.160962,131.48296,7.093736,73.48209,0.673085
56.57,3100,[ 0.753  0.52   3.358 -2.564 11.741],25.261917,166570,4.2831345,0.5518129,131.60963,0.060386613,10.0,-140.06287089669783,31,1.7269255e-06,100.0,0.0028008483,-9.895172,14.345842,1.2774011,1.7269254e-08,1.0681152e-05,94.19474,100,0.012774008,386.0657362937927,55.18129,35703.47,12.930283,143.64867,7.705952,19052.855,6.0386615
56.87,3200,[ 0.753  0.52   3.358 -2.564 11.512],24.429176,172257,63.70119,0.037645355,129.30283,0.0070864675,10.0,-141.51980043706456,32,0.043209493,100.0,18.637333,-8.643776,-0.19681957,0.938766,0.0004320949,2.3651123e-06,94.39448,100,0.00938766,399.70619201660156,3.7645354,5.3655744,13.020449,130.00766,7.2102523,139.42784,0.7086468
52.96,3300,[ 0.753  0.52   3.358 -2.564 11.601],23.311028,177553,11.416999,0.2487244,130.20448,0.027677478,10.0,-139.92750677038018,33,0.0010626377,100.0,0.0011280742,-7.8031006,4.7428946,0.993636,1.0626376e-05,1.4495849e-06,94.17603,100,0.009936359,412.25354743003845,24.87244,88646.65,13.192207,136.66496,6.69356,2351.6707,2.767748
59.52,3400,[ 0.753  0.52   3.358 -2.564 11.773],22.575111,183505,100.0,0.01,131.92207,9.313226e-10,10.0,-143.33054075864595,34,1.0,100.0,100.0,-9.195122,-5.2452087e-06,1.0,0.01,-5.264282e-06,94.53257,100,0.009999999,424.99558544158936,1.0,1.0,13.192207,131.92207,7.261444,53.26118,
55.96,3500,[ 0.753  0.52   3.358 -2.564 11.773],34.01131,189101,72.36272,0.033682123,131.92207,0.006044789,10.0,-141.73728338732695,35,0.114285454,100.0,62.730713,-7.729721,-0.004171583,0.9781175,0.0011428546,-1.9454956e-06,94.2881,100,0.009781174,437.3870463371277,3.3682125,1.5941155,13.249807,132.49391,7.509439,48.903927,0.60447896
51.92,3600,[ 0.753  0.52   3.358 -2.564 11.83 ],28.02251,194293,63.750515,0.045450944,132.49808,0.00745915,10.0,-137.85369073347726,36,0.1282374,100.0,48.8075,-8.43779,0.1217811,0.9891913,0.0012823739,4.196167e-07,93.81519,100,0.009891911,449.67401123046875,4.5450945,2.0488656,13.319547,133.31725,6.8502383,101.81214,0.745915
53.44,3700,[ 0.753  0.52   3.358 -2.564 11.899],18.967575,199637,100.0,0.01,133.19547,9.313226e-10,10.0,-138.89755006363498,37,1.0,100.0,100.0,-8.662567,-2.7120113e-06,1.0,0.01,-2.7465821e-06,93.98464,100,0.009999999,462.6442778110504,1.0,1.0,13.319547,133.19547,6.3176527,40.315895,
57.01,3800,[ 0.753  0.52   3.358 -2.564 11.899],26.60529,205338,10.197273,0.010177646,133.19548,0.0013637814,10.0,-140.97464265012678,38,1.9735295e-10,100.0,nan,-9.362129,-0.162275,0.04595598,1.9735294e-12,9.002685e-06,94.45656,100,0.00045955976,474.6394467353821,1.0177646,nan,13.698128,136.819,7.813964,0.35076165,0.13637814
57.59,3900,[ 0.753  0.52   3.358 -2.564 12.28 ],29.42183,211097,100.0,0.01,136.9813,9.313226e-10,10.0,-142.73292024811923,39,1.0,100.0,100.0,-8.930748,8.2701445e-06,1.0,0.01,8.239746e-06,94.444756,100,0.009999999,488.00349020957947,1.0,1.0,13.698128,136.9813,7.151252,51.65697,
55.94,4000,[ 0.753  0.52   3.358 -2.564 12.28 ],21.150322,216691,100.0,0.01,136.98126,9.313226e-10,10.0,-140.73763223826248,40,1.0,100.0,100.0,-9.341637,-8.139759e-06,1.0,0.01,-8.087158e-06,94.26712,100,0.009999999,500.5132038593292,1.0,1.0,13.698128,136.98126,7.0769525,50.58915,
56.56,4100,[ 0.753  0.52   3.358 -2.564 12.28 ],22.61937,222347,87.38794,0.03276539,136.98128,0.003941484,10.0,-140.0244618462749,41,0.5025818,100.0,87.94929,-9.648514,-0.12401214,1.0375102,0.0050258175,-3.1280517e-06,94.58379,100,0.0103751,513.4090714454651,3.2765388,1.1370189,13.731401,137.19,7.961999,74.56693,0.3941484
51.73,4200,[ 0.753  0.52   3.358 -2.564 12.312],31.146229,227520,100.0,0.01,137.31401,9.313226e-10,10.0,-136.26821308261688,42,1.0,100.0,100.0,-9.902748,-1.0505319e-06,1.0,0.01,-1.0299683e-06,94.20854,100,0.009999999,524.2546591758728,1.0,1.0,13.731401,137.31401,7.5045977,56.887863,
59.15,4300,[ 0.753  0.52   3.358 -2.564 12.312],47.2185,233435,27.115255,0.112359226,137.31401,0.017638246,10.0,-142.99886772073484,43,0.008186543,100.0,2.7917275,-9.0811615,-0.5042113,1.0758307,8.186543e-05,4.8828124e-06,94.16488,100,0.010758306,538.080689907074,11.235923,35.820114,13.84301,137.92589,8.513651,269.06213,1.7638246
50.24,4400,[ 0.753  0.52   3.358 -2.564 12.423],22.591469,238459,100.0,0.01,138.4301,9.313226e-10,10.0,-137.96310497770352,44,1.0,100.0,100.0,-7.398369,-3.2708049e-06,1.0,0.01,-3.2806397e-06,93.85479,100,0.009999999,549.8777532577515,1.0,1.0,13.84301,138.4301,6.5675826,43.568832,
55.32,4500,[ 0.753  0.52   3.358 -2.564 12.423],31.33968,243991,49.437107,0.06254431,138.4301,0.0115404045,10.0,-140.3253160912108,45,0.022212919,100.0,28.214321,-8.929314,0.04523197,1.1411209,0.00022212918,3.6621093e-06,94.19217,100,0.011411209,562.8500707149506,6.254431,3.5442994,13.926755,139.31277,8.847175,208.31802,1.1540405
51.13,4600,[ 0.753  0.52   3.358 -2.564 12.507],18.073463,249104,44.1591,0.052124728,139.26755,0.009365852,10.0,-137.73088402501122,46,0.0055100927,100.0,4.4125366,-7.6471786,-0.39523354,0.8328776,5.5100925e-05,4.196167e-06,94.07588,100,0.008328776,575.7960875034332,5.212473,22.662703,14.036145,139.96622,6.003521,77.04553,0.9365852
53.19,4700,[ 0.753  0.52   3.358 -2.564 12.616],36.040462,254423,29.994143,0.12009451,140.36143,0.014909428,10.0,-137.80486972218958,47,0.014409903,100.0,7.3841567,-8.341675,2.4592304,0.9759149,0.00014409903,-1.0261536e-05,94.236115,100,0.009759149,587.746639251709,12.009451,13.542508,14.139937,143.8586,8.073836,1945.4423,1.4909428
55.76,4800,[ 0.753  0.52   3.358 -2.564 12.72 ],31.628586,259999,100.0,0.01,141.39938,9.313226e-10,10.0,-140.06777375188153,48,1.0,100.0,100.0,-9.352684,8.583069e-06,1.0,0.01,8.544922e-06,94.3174,100,0.009999999,599.9984285831451,1.0,1.0,14.139937,141.39938,7.799154,61.441216,
54.37,4900,[ 0.753  0.52   3.358 -2.564 12.72 ],21.337631,265436,40.240494,0.08562313,141.39937,0.013290628,10.0,-141.56685064739355,49,0.1093935,100.0,13.966054,-7.2435684,0.040847376,1.0906205,0.001093935,3.890991e-06,94.30821,100,0.010906204,612.8640382289886,8.562313,7.1602187,14.241639,142.45724,6.2183566,95.29426,1.3290628
54.34,5000,[ 0.753  0.52   3.358 -2.564 12.822],26.1916,270870,90.01009,0.019033449,142.4164,0.0033493142,10.0,-138.56191688566162,50,0.38757923,100.0,87.98241,-9.258347,-0.23331627,1.0053587,0.0038757923,7.476807e-06,94.203766,100,0.010053588,625.6789088249207,1.903345,1.1365908,14.273449,142.50117,7.8374767,65.84819,0.33493143
53.05,5100,[ 0.753  0.52   3.358 -2.564 12.855],33.33768,276175,23.869118,0.16549823,142.73451,0.019397255,10.0,-138.87272392296958,51,0.02368918,100.0,4.3404303,-8.293381,5.430901,1.0861205,0.0002368918,1.0032654e-05,94.141335,100,0.010861205,637.4815442562103,16.549824,23.03919,14.387778,149.30869,7.3279076,3116.5256,1.9397253
63.73,5200,[ 0.753  0.52   3.358 -2.564 12.968],34.753616,282548,17.76238,0.21004142,143.87778,0.021187518,10.0,-148.0574319521111,52,0.011781362,100.0,1.443984,-9.096123,5.317898,0.98468053,0.000117813615,7.6293944e-08,94.63266,100,0.009846806,652.872252702713,21.004143,69.252846,14.497219,150.2901,8.116681,3362.7222,2.1187518
47.71,5300,[ 0.753  0.52   3.358 -2.564 13.078],35.055035,287319,12.828117,0.33224335,144.97221,0.03475848,10.0,-134.12151819834895,53,0.0031705354,100.0,15.132593,-7.983818,6.3144383,1.3333805,3.1705353e-05,9.9182125e-06,93.44814,100,0.013333803,662.9088611602783,33.224335,6.6082525,14.367221,149.98665,8.237658,4306.318,3.4758482
56.71,5400,[ 0.753  0.52   3.358 -2.564 12.949],34.91393,292990,55.314716,0.06666345,143.67223,0.009420325,10.0,-139.95733647987976,54,0.08115592,100.0,23.295837,-8.8437805,-0.10018438,1.048103,0.00081155915,1.1940003e-05,94.06457,100,0.010481031,676.1216790676117,6.6663456,4.2926126,14.452418,144.424,8.397143,102.69888,0.9420326
50.55,5500,[ 0.753  0.52   3.358 -2.564 13.032],33.549732,298045,100.0,0.01,144.52419,9.313226e-10,10.0,-136.31374095235017,55,1.0,100.0,100.0,-8.433182,-4.373491e-06,1.0,0.01,-4.3869018e-06,93.94636,100,0.009999999,687.854318857193,1.0,1.0,14.452418,144.52419,8.395581,71.19776,
60.45,5600,[ 0.753  0.52   3.358 -2.564 13.032],40.550964,304090,100.0,0.01,144.52419,9.313226e-10,10.0,-143.64399779472717,56,1.0,100.0,100.0,-9.382721,-5.9455633e-06,1.0,0.01,-5.8746336e-06,94.41299,100,0.009999999,701.7867548465729,1.0,1.0,14.452418,144.52419,8.98345,81.51755,
54.61,5700,[ 0.753  0.52   3.358 -2.564 13.032],25.876686,309551,68.50848,0.04976576,144.52419,0.0069987164,10.0,-139.8198345737122,57,0.11144688,100.0,63.94814,-8.615669,0.81781876,1.0322709,0.0011144688,4.9591063e-06,94.34447,100,0.010322708,713.8952140808105,4.976576,1.5637672,14.385624,144.67406,7.491029,118.38459,0.69987166
61.08,5800,[ 0.753  0.52   3.358 -2.564 12.967],25.3965,315659,100.0,0.01,143.85623,9.313226e-10,10.0,-143.02779209500417,58,1.0,100.0,100.0,-10.090828,4.887581e-06,1.0,0.01,4.8065185e-06,94.4388,100,0.009999999,728.7361981868744,1.0,1.0,14.385624,143.85623,8.164254,67.32833,
51.55,5900,[ 0.753  0.52   3.358 -2.564 12.967],20.32029,320814,100.0,0.01,143.85623,9.313226e-10,10.0,-139.04627127664224,59,1.0,100.0,100.0,-7.264229,-2.8312206e-06,1.0,0.01,-2.822876e-06,93.60682,100,0.009999999,740.4858140945435,1.0,1.0,14.385624,143.85623,5.9288607,35.506454,
53.34,6000,[ 0.753  0.52   3.358 -2.564 12.967],31.9743,326148,100.0,0.01,143.85623,9.313226e-10,10.0,-139.39777475625198,60,1.0,100.0,100.0,-7.6836243,1.6093254e-06,1.0,0.01,1.5640259e-06,94.244446,100,0.009999999,752.03963971138,1.0,1.0,14.385624,143.85623,7.104783,50.987816,
56.07,6100,[ 0.753  0.52   3.358 -2.564 12.967],25.490135,331755,31.709557,0.123036064,143.85623,0.0162136,10.0,-142.80118016785727,61,0.060170814,100.0,30.889727,-7.6143417,-0.058503702,1.1048278,0.00060170813,-1.2207031e-06,94.271164,100,0.011048276,764.6537549495697,12.303607,3.2373223,14.466485,144.60635,6.738791,97.020485,1.62136
55.87,6200,[ 0.753  0.52   3.358 -2.564 13.047],23.315628,337342,64.27512,0.048438143,144.66486,0.0072702724,10.0,-141.2397353321284,62,0.28273544,100.0,66.53181,-8.733467,0.062662825,0.9751842,0.0028273542,1.2969971e-06,94.46263,100,0.009751841,777.7331864833832,4.8438144,1.5030404,14.521146,145.27412,7.1968894,111.366806,0.7270272
57.08,6300,[ 0.753  0.52   3.358 -2.564 13.102],20.730865,343050,67.53277,0.031521164,145.21146,0.005605197,10.0,-142.3169184074926,63,0.072912164,100.0,31.560745,-8.669312,-0.2494292,0.80839884,0.0007291216,-2.9754638e-06,94.33137,100,0.008083988,791.477379322052,3.1521165,3.168493,14.6020975,145.77155,6.637159,42.762745,0.56051975
52.66,6400,[ 0.753  0.52   3.358 -2.564 13.184],20.322746,348316,3.8216815,0.9318536,146.02098,0.09812826,10.0,-139.6790571631341,64,1.0948115e-05,100.0,2.158953e-12,-7.7166824,7.8663173,1.9560628,1.0948115e-07,3.1280517e-06,93.90954,100,0.019560628,804.0112500190735,93.18536,46318750000000.0,14.835247,156.2188,5.800565,10204.183,9.812827
53.78,6500,[ 0.753  0.52   3.358 -2.564 13.415],31.322842,353694,12.122087,0.28390267,148.35248,0.03373758,10.0,-139.22129437084234,65,0.0005803526,100.0,0.02030062,-8.477074,2.3505876,1.2530338,5.803526e-06,-3.6239624e-06,94.27897,100,0.012530335,817.7814247608185,28.390268,4925.958,14.982154,152.17212,7.9285445,2088.7617,3.373758
54.71,6600,[ 0.753  0.52   3.358 -2.564 13.563],28.159733,359165,100.0,0.01,149.82153,9.313226e-10,10.0,-141.50901760522942,66,1.0,100.0,100.0,-7.9625626,4.0233135e-07,1.0,0.01,3.4332277e-07,94.31336,100,0.009999999,830.5513744354248,1.0,1.0,14.982154,149.82153,6.5024204,42.708557,
50.29,6700,[ 0.753  0.52   3.358 -2.564 13.563],30.590916,364194,100.0,0.01,149.82155,9.313226e-10,10.0,-137.9900584681163,67,1.0,100.0,100.0,-7.374588,9.693205e-06,1.0,0.01,9.727478e-06,93.95912,100,0.009999999,840.6588704586029,1.0,1.0,14.982154,149.82155,6.69956,45.337486,
53.14,6800,[ 0.753  0.52   3.358 -2.564 13.563],30.3816,369508,100.0,0.01,149.82153,9.313226e-10,10.0,-140.49959267451703,68,1.0,100.0,100.0,-7.315239,-3.9860606e-06,1.0,0.01,-3.967285e-06,94.00583,100,0.009999999,853.2576093673706,1.0,1.0,14.982154,149.82153,6.806613,46.79796,
55.01,6900,[ 0.753  0.52   3.358 -2.564 13.563],29.663467,375009,25.810783,0.12796032,149.82153,0.022981638,10.0,-139.29662751851166,69,0.009643852,100.0,1.0885024,-9.564766,2.5667684,1.3555365,9.643852e-05,6.408691e-06,94.30534,100,0.013555365,865.9050929546356,12.796033,91.86934,15.106667,153.63344,8.230802,1135.2787,2.298164
58.53,7000,[ 0.753  0.52   3.358 -2.564 13.687],18.187561,380862,71.802155,0.039385978,151.06667,0.0062290295,10.0,-143.60730819614358,70,0.21237488,100.0,72.66155,-8.063995,-0.33132434,0.9939882,0.0021237487,4.8828124e-06,94.75204,100,0.009939882,878.7090423107147,3.938598,1.3762436,15.154054,151.20921,6.198996,56.721092,0.6229029
55.09,7100,[ 0.753  0.52   3.358 -2.564 13.734],25.676819,386371,12.704693,0.05227357,151.54054,0.007762887,10.0,-140.51532516984196,71,3.0365654e-06,100.0,5.0336275e-27,-8.777298,-0.28164804,0.29614875,3.0365655e-08,-4.272461e-06,94.27033,100,0.0029614873,891.8280539512634,5.2273574,1.986639e+28,15.422538,153.94373,7.3043003,33.292164,0.7762887
60.16,7200,[ 0.753  0.52   3.358 -2.564 14.005],32.664585,392387,78.925835,0.029861433,154.22536,0.004560723,10.0,-142.232706749346,72,0.083035566,100.0,59.93223,-10.245651,-0.31083274,0.8826086,0.0008303556,-1.2817382e-05,94.46347,100,0.008826086,905.6841263771057,2.9861434,1.6685512,15.483714,154.5263,8.846861,63.9389,0.4560723
58.83,7300,[ 0.753  0.52   3.358 -2.564 14.063],51.826294,398270,100.0,0.01,154.83716,9.313226e-10,10.0,-142.16865993383232,73,1.0,100.0,100.0,-9.586739,8.866191e-06,1.0,0.01,8.69751e-06,94.16803,100,0.009999999,919.2623937129974,1.0,1.0,15.483714,154.83716,8.568876,74.16732,
50.56,7400,[ 0.753  0.52   3.358 -2.564 14.063],27.45,403326,43.245167,0.059287462,154.83714,0.0121548455,10.0,-137.01526128671156,74,0.018855311,100.0,34.482155,-8.13269,1.3870072,1.0610034,0.00018855311,3.4332277e-07,93.68241,100,0.010610035,931.2713108062744,5.928746,2.9000506,15.382149,155.2085,7.694204,251.43317,1.2154845
54.15,7500,[ 0.753  0.52   3.358 -2.564 13.962],36.05632,408741,17.849297,0.12818483,153.82149,0.015940927,10.0,-138.20885375407514,75,0.012620261,100.0,0.15429643,-10.164856,2.8574803,0.7430508,0.0001262026,-4.8828124e-06,93.9787,100,0.0074305087,944.436371088028,12.818482,648.10315,15.539557,158.25305,8.631599,429.9034,1.5940927
