MaxIW,Weights,EpThisIter,EpisodesSoFar,J_sample_variance,InitialReturnMax,ReturnStepMax,InitialReturnMean,MinIW,EmpiricalD2,Bound,MeanIW,InitialReturnStd,MinD2w0t,MaxD2w0t,StdIW,ReturnStepMaxmin,TimestepsSoFar,MeanD2w0t,InitialReturnMin,Iteration,ReturnMeanIW,EntropyCoefficient,EpRewMean,MeanEntropy,StdD2w0t,EpLenMean,TimeElapsed,InitialBound
2357.2988,[-0.998 -0.835 -0.435 -0.527 -0.567],100,2800,8397.75,25.323063,100.0,-9.155273e-07,2.2854905e-10,198159090.0,16.332886,4.403753,16.486116,,4864274400.0,57.19326,98.58368,568649,8193717.0,-56.834423,28,8.063217,10.0,-75.07194509824612,0.8269669,87266744.0,360.65,1162.6215488910675,8.473473
3820.5835,[-0.997 -0.827 -0.4   -0.52  -0.592],100,2900,3465726.5,20.214746,100.0,-2.0980835e-07,,inf,189.159,1.446745,13.586577,,inf,50.674587,98.50346,603724,nan,-44.03351,29,181.08931,10.0,-87.07957830232154,0.806968,nan,350.75,1228.1877660751343,9.545589
12669.113,[-0.906 -0.75  -0.443 -0.507 -0.612],100,3000,158199790.0,42.230392,100.0,-3.8146973e-07,,inf,1272.1543,4.9069877,19.554426,,inf,195.78445,97.44838,617105,nan,-41.45169,30,1263.3784,10.0,-103.81121909823058,0.8775889,nan,133.81,1258.0219638347626,43.77133
249.55838,[-0.861 -0.871 -0.494 -0.454 -0.541],100,3100,6097.295,38.524086,100.0,7.8201293e-07,5.0672493e-09,4919550000.0,25.427944,0.5042597,16.461073,,60725637000.0,5.416792,98.16694,645608,188306670.0,-47.46721,31,16.938595,10.0,-118.72445466662626,0.848935,1800851200.0,285.03,1317.6566135883331,18.901733
51.30169,[-0.878 -0.863 -0.48  -0.419 -0.57 ],100,3200,226.23868,16.408957,100.0,-5.722046e-07,2.6304936e-06,3296.8772,7.7274475,0.7824765,8.362904,,9611.195,2.2003956,98.5571,691006,383.17575,-27.849245,32,-0.72458345,10.0,-100.53488490647467,0.8452031,850.61554,453.98,1403.6649861335754,5.930415
160.51666,[-0.9   -0.845 -0.476 -0.424 -0.574],100,3300,361.38092,24.633598,100.0,-8.392334e-07,7.752652e-05,1139.6707,8.4961605,0.98385483,11.290233,,3610.4836,4.2017975,98.54934,734627,148.7066,-46.549793,33,-0.12653711,10.0,-98.2931413725583,0.8622698,318.09827,436.21,1487.0528621673584,4.503767
2932.0261,[-0.921 -0.806 -0.468 -0.397 -0.557],100,3400,95536.625,20.05698,100.0,-1.5640259e-06,5.7124286e-17,2.8044337e+24,43.174965,1.5925461,11.304189,,3.0276233e+25,43.3534,98.62694,779932,5.4855766e+22,-40.111553,34,34.058758,10.0,-84.50857503671847,0.9116209,inf,453.05,1573.595895767212,3.513579
29.137888,[-0.87  -0.797 -0.469 -0.439 -0.507],100,3500,624.1101,36.468895,100.0,-8.010864e-07,0.00083986035,456.3629,27.297512,0.8398915,18.40882,,6287.158,1.5103884,98.17767,805433,52.83988,-51.85889,35,18.441895,10.0,-104.85103313976165,0.8855617,222.68898,255.01,1624.451000213623,19.514713
1004.3042,[-0.885 -0.784 -0.455 -0.424 -0.533],100,3600,97495.266,26.462626,100.0,-9.3460085e-07,2.4935034e-30,inf,41.61773,1.121859,15.623922,,inf,22.217613,98.481476,840734,nan,-47.914036,36,32.628445,10.0,-91.52233559303696,0.8989286,nan,353.01,1693.290803194046,8.809147
6045.58,[-0.932 -0.821 -0.412 -0.43  -0.52 ],100,3700,20339882.0,20.207039,100.0,-3.2424927e-07,,inf,454.2414,1.6745003,8.966719,,inf,76.564804,98.59689,887011,nan,-37.41036,37,446.45343,10.0,-93.27204166556783,0.77879584,nan,462.77,1781.2521858215332,4.3467216
