MaxIW,ReturnMeanIW,MeanIW,TimestepsSoFar,J_sample_variance,TimeElapsed,EpLenMean,MinIW,EmpiricalD2,InitialReturnMax,InitialReturnStd,InitialReturnMin,StdIW,Iteration,EpThisIter,InitialBound,EpRewMean,Bound,InitialReturnMean,EpisodesSoFar,Weights
3314.5566,65.28524,0.21531713,84707,302788.2,245.2162525653839,61.43,,inf,4.701703,3.6682773,-12.834413,18.467947,13,100,14.632241,-150.39545322896154,65.28524,-3.0517577e-07,1300,[-0.401 -0.683 -0.423  0.413 -0.944]
94.96349,0.71460086,0.05839964,134707,4.1782846,358.6448287963867,500.0,,inf,4.6823454,1.2879245,-1.1567192,0.93968487,14,100,0.5261108,-466.6099031342171,0.71460086,-1.04904174e-07,1400,[-0.456 -0.786 -0.242  0.25  -1.232]
1.0,0.38971278,1.0,184707,1.4860959,467.4721186161041,500.0,1.0,1.0,3.8491516,1.2129447,-1.3714256,,15,100,0.38971278,-448.4670497953523,0.38971278,-2.2411346e-07,1500,[-0.439 -0.767 -0.294  0.272 -1.233]
11196.939,15.102244,0.5254379,234707,22647.67,577.6441488265991,500.0,,inf,3.6266155,1.1069778,-1.3194618,61.924084,16,100,0.35891673,-449.5566068535493,15.102244,9.536743e-09,1600,[-0.439 -0.767 -0.294  0.272 -1.233]
269.37094,27.305529,0.07454719,242928,48812.832,600.8032503128052,82.21,1.01011424e-22,inf,3.0986295,1.279138,-1.7320251,3.1734717,17,100,12.0197115,-166.14185735994423,27.305529,6.67572e-08,1700,[-0.436 -0.859 -0.438  0.355 -1.296]
2756.5386,17.015812,3.4467943,249622,890.89276,620.7803635597229,66.94,9.529813e-15,3.112645e+20,4.478491,2.219336,-9.290383,39.59011,18,100,14.057247,-152.54868022288704,17.015812,4.2915343e-07,1800,[-0.572 -0.911 -0.552  0.455 -1.219]
7.314637,14.904987,0.86506623,256353,23.682299,640.2085163593292,67.31,0.004421678,3.5411637,3.1671987,1.4006256,-1.8461552,0.8439192,19,100,14.311262,-150.06860964404171,14.904987,-3.33786e-08,1900,[-0.568 -0.92  -0.56   0.387 -1.232]
61.1801,17.256996,1.5231276,262779,183.02072,659.3997395038605,64.26,2.9737748e-06,4770.0205,3.9878006,2.135736,-10.192671,5.646064,20,100,14.500528,-149.00104387438904,17.256996,2.193451e-07,2000,[-0.571 -0.933 -0.574  0.402 -1.261]
745.5551,28.702019,0.56997585,269302,24059.982,679.2949178218842,65.23,1.3638535e-15,1.9039705e+29,3.402102,1.7741619,-12.058103,7.611652,21,100,14.536635,-148.57886441680827,28.702019,6.67572e-08,2100,[-0.573 -0.954 -0.592  0.443 -1.294]
125.1197,16.068546,0.32338026,275931,406.68073,698.8275446891785,66.29,1.3387252e-07,212444320.0,4.307555,1.2677913,-1.3261242,1.650584,22,100,14.421834,-151.6179985577321,16.068546,3.2424927e-07,2200,[-0.594 -1.011 -0.606  0.39  -1.279]
575.96735,15.722371,0.25392368,283172,1204.363,719.2067277431488,72.41,2.4515297e-17,3.4482027e+22,3.4210997,1.3096905,-1.7892218,3.3086088,23,100,13.16132,-153.63689573975242,15.722371,-4.5776366e-07,2300,[-0.674 -1.021 -0.629  0.369 -1.322]
1231.6082,25.082808,5.6357775,289730,11829.906,737.7042009830475,65.58,1.3511732e-05,20783.264,3.281023,1.7360383,-10.416973,44.718502,24,100,14.536841,-148.72040416743786,25.082808,-3.8146973e-07,2400,[-0.637 -0.994 -0.616  0.42  -1.322]
76.21531,18.863298,0.08648279,296098,2408.9175,755.93905377388,63.68,7.369919e-21,5.3243537e+27,3.7694464,2.227426,-12.425879,1.3337497,25,100,14.738357,-146.62034913504792,18.863298,4.9114226e-07,2500,[-0.603 -0.876 -0.587  0.376 -1.335]
1420.4412,35.044243,0.1225225,303252,37204.562,776.0408523082733,71.54,,inf,3.0992846,1.8884019,-9.434,10.116946,26,100,13.209152,-155.41636655492402,35.044243,-1.8596648e-07,2600,[-0.6   -0.897 -0.55   0.439 -1.343]
238.02493,21.18731,3.1699905,310272,2977.6096,796.9600477218628,70.2,3.616356e-08,23745292000.0,4.0451374,1.2614644,-1.5546169,21.039808,27,100,13.2703,-150.91172039606954,21.18731,6.7710874e-07,2700,[-0.678 -0.976 -0.63   0.324 -1.39 ]
1284.8058,22.591105,0.3407259,317212,13473.283,816.9798464775085,69.4,6.294282e-15,6889092000000.0,3.4391809,1.2729418,-1.5698929,8.221895,28,100,13.72561,-151.39060488635175,22.591105,-8.2969666e-07,2800,[-0.62  -0.912 -0.583  0.336 -1.348]
45.75428,12.477959,0.8404656,326181,260.17264,840.6010763645172,89.69,1.935803e-06,140841.19,3.6819344,1.2059004,-1.4945898,2.268749,29,100,10.355462,-167.12365279494372,12.477959,4.196167e-07,2900,[-0.644 -1.016 -0.584  0.343 -1.425]
163.41446,14.144236,1.0436954,334952,482.74045,864.032728433609,87.71,3.1351213e-11,26295929000.0,3.9997177,1.25848,-1.6772032,6.800728,30,100,10.7861595,-166.8496498413662,14.144236,1.7642975e-07,3000,[-0.591 -0.958 -0.545  0.343 -1.467]
73.023865,12.996723,0.7440521,342956,88.86335,886.0180106163025,80.04,7.943844e-11,6046996.5,3.5244808,1.1686074,-1.5022736,3.0398254,31,100,11.971178,-162.82993966528417,12.996723,9.441376e-07,3100,[-0.598 -1.014 -0.568  0.398 -1.478]
49.023994,14.670827,0.5551859,350351,206.38133,907.0653488636017,73.95,9.927714e-07,442683.2,3.5597467,1.4922057,-1.6332703,1.5621535,32,100,13.050835,-156.8813533181228,14.670827,-6.580353e-07,3200,[-0.577 -1.053 -0.582  0.381 -1.492]
403.393,27.796633,0.19846246,357123,7550.157,926.8603594303131,67.72,1.1643754e-20,4.190183e+25,4.1920404,1.4123541,-1.5863419,3.4951684,33,100,14.255638,-152.49090018344222,27.796633,5.38826e-07,3300,[-0.587 -1.086 -0.611  0.367 -1.511]
51.020504,20.64823,0.6276761,363367,1324.8376,946.1632499694824,62.44,4.459654e-06,9044.02,3.6989422,1.3252304,-1.7659426,2.002289,34,100,15.119486,-145.28841297451697,20.64823,3.7193297e-07,3400,[-0.595 -1.12  -0.661  0.332 -1.528]
99.7359,19.543272,0.21505848,369697,2640.5847,966.0576913356781,63.3,3.3294542e-15,3.2273518e+22,3.3315706,1.4610167,-2.154591,1.8700311,35,100,15.023425,-145.56576478848464,19.543272,1.7642975e-07,3500,[-0.632 -1.209 -0.688  0.359 -1.522]
14916.935,144.08409,1.1565639,375523,1706735.2,982.9547946453094,58.26,1.857839e-25,inf,3.872795,1.3664675,-1.9318266,81.192825,36,100,16.344215,-142.5960208460371,144.08409,-3.1471254e-07,3600,[-0.644 -1.22  -0.737  0.331 -1.496]
99.11805,15.483976,1.3825635,382260,98.13388,1003.3417232036591,67.37,0.0012264489,186.67099,3.3753695,1.309591,-1.8659372,7.0908055,37,100,13.962574,-147.95480181913226,15.483976,-8.583069e-08,3700,[-0.628 -1.112 -0.654  0.242 -1.518]
32638.865,36.617172,1.7280525,389639,66070.59,1022.9875612258911,73.79,5.6308523e-21,3.624065e+25,3.6149783,1.4675481,-2.0490584,173.9082,38,100,12.681958,-151.51293195383283,36.617172,2.3365021e-07,3800,[-0.668 -1.096 -0.663  0.236 -1.539]
2451.1538,32.986294,0.7142328,399472,62989.16,1048.182416677475,98.33,1.634516e-18,9.613976e+23,3.4712758,1.3311651,-1.6943889,29.680948,39,100,9.057818,-166.40093991247494,32.986294,-9.536743e-08,3900,[-0.68  -1.089 -0.621  0.253 -1.539]
377.02304,14.129658,2.2551086,407735,1663.4714,1068.9494142532349,82.63,4.8379086e-08,150503.78,3.268299,1.2537941,-1.682518,19.621443,40,100,10.968813,-156.88208155240028,14.129658,-4.7683716e-07,4000,[-0.662 -1.018 -0.628  0.209 -1.554]
86.31472,16.337385,1.9876128,414921,249.73122,1088.0325407981873,71.86,2.3728226e-06,31570.633,3.7995477,1.3556439,-1.9534492,9.189342,41,100,12.75413,-148.54562234872,16.337385,1.4781952e-07,4100,[-0.692 -0.999 -0.657  0.21  -1.599]
2062.8132,28.90417,0.39927348,421677,30910.365,1105.6772391796112,67.56,1.5758187e-26,1.5384929e+32,3.3142462,1.3112048,-1.8260736,20.184153,42,100,13.652084,-145.44718230729487,28.90417,-7.152558e-08,4200,[-0.651 -0.957 -0.638  0.183 -1.599]
21.432705,15.2379,0.34152004,427950,50.76816,1124.8568978309631,62.73,7.349323e-07,249897.84,3.702159,1.3163877,-1.4577475,0.7637776,43,100,14.529918,-142.0577186696384,15.2379,6.9618227e-07,4300,[-0.639 -1.03  -0.676  0.143 -1.614]
567.8701,22.27209,0.22389632,433783,2837.5916,1141.853340625763,58.33,6.5274217e-09,1487950300.0,3.1357265,1.3834285,-2.2781687,4.7213407,44,100,15.787686,-137.9371291446557,22.27209,9.870529e-07,4400,[-0.618 -1.067 -0.69   0.138 -1.592]
1953.2883,52.3695,0.2860493,439148,86031.55,1158.1670792102814,53.65,2.392982e-36,inf,3.1488276,1.3401078,-1.7629423,15.022846,45,100,16.977516,-132.51512909478717,52.3695,-2.7179718e-07,4500,[-0.612 -1.054 -0.716  0.134 -1.579]
70.890945,18.126818,0.4003627,444655,205.65349,1175.8331804275513,55.07,4.699482e-05,1045.3574,3.5695,1.3082397,-2.105834,1.2623503,46,100,16.834768,-137.68534026342093,18.126818,6.389618e-07,4600,[-0.557 -1.011 -0.675  0.21  -1.579]
488.39752,24.174051,0.19923617,450416,6718.541,1192.5322391986847,57.61,4.7802176e-14,1.1064998e+16,3.707861,1.2267684,-1.6581182,3.9388628,47,100,16.026436,-139.17876055264853,24.174051,1.2111664e-06,4700,[-0.567 -1.017 -0.661  0.209 -1.582]
251.56212,18.097982,1.8983229,456164,443.47885,1210.153772354126,57.48,2.860023e-06,15842.839,3.2674866,1.2906127,-1.9450655,10.881783,48,100,16.149815,-139.08698455427506,18.097982,-3.862381e-07,4800,[-0.557 -1.01  -0.658  0.253 -1.585]
24.565172,18.057676,1.09365,461820,210.73918,1227.2751502990723,56.56,0.008594443,5.4906445,3.5992775,1.2632205,-1.744916,2.2024548,49,100,16.300398,-138.5744026670487,18.057676,-2.5272368e-07,4900,[-0.556 -1.012 -0.683  0.264 -1.609]
1292.425,22.922855,1.8618823,467439,4655.028,1244.0496995449066,56.19,1.3063019e-12,284379000000000.0,3.4547162,1.3201686,-1.7223711,19.515171,50,100,16.471437,-138.1957724650449,22.922855,2.8610229e-08,5000,[-0.548 -0.979 -0.666  0.265 -1.624]
90.35471,20.93982,0.19664723,472792,1920.7986,1259.5961909294128,53.53,9.406154e-10,18970034000.0,3.263136,1.5705695,-8.864848,1.2791055,51,100,17.05866,-135.23700258366466,20.93982,2.2411346e-07,5100,[-0.51  -0.956 -0.68   0.251 -1.626]
381.88986,25.644367,0.117130056,478328,10896.969,1277.3345668315887,55.36,2.1450011e-33,inf,3.5768375,1.3635007,-2.1485224,3.5222158,52,100,16.7254,-137.42338288008506,25.644367,-4.6253206e-07,5200,[-0.521 -0.911 -0.641  0.259 -1.633]
3583.4287,87.16968,3.5543468,483827,365835.88,1294.3518424034119,54.99,2.0122962e-14,1.1299739e+16,3.1054049,1.3264544,-2.1445937,47.415455,53,100,16.62196,-135.07505923899652,87.16968,-4.6253206e-07,5300,[-0.526 -0.925 -0.642  0.187 -1.655]
939.30164,21.791445,5.982699,489058,10503.159,1311.5517904758453,52.31,4.7579572e-11,1948337300.0,3.238863,1.2253088,-2.23845,48.607212,54,100,17.403717,-133.91365098538782,21.791445,7.6770783e-07,5400,[-0.531 -0.916 -0.684  0.189 -1.654]
264.458,21.503855,0.34939617,494483,2203.6904,1328.068371772766,54.25,9.745537e-08,752433.25,3.6997166,1.3267822,-1.6927166,3.3030856,55,100,16.92663,-135.98472008981173,21.503855,3.4332277e-07,5500,[-0.515 -0.941 -0.653  0.187 -1.663]
485.716,47.35751,0.1976325,499754,65881.33,1344.7702474594116,52.71,3.6816836e-25,inf,3.3742542,1.2771709,-1.8769608,5.8276258,56,100,17.344643,-134.4358657575305,47.35751,1.6212464e-07,5600,[-0.534 -0.93  -0.683  0.188 -1.66 ]
1074.9209,22.960373,1.6585329,504702,1748.9886,1361.2129337787628,49.48,3.0686596e-07,1555473.9,3.193246,1.3961996,-2.0422878,14.196557,57,100,18.322412,-129.6608531614466,22.960373,5.6743625e-07,5700,[-0.554 -0.908 -0.719  0.14  -1.655]
79.29232,20.230787,0.9052016,509755,392.42523,1376.6353073120117,50.53,5.8791866e-06,126672.87,3.632012,1.2357857,-1.9939966,6.1862316,58,100,17.758783,-130.31857106160157,20.230787,-3.1471254e-07,5800,[-0.58  -0.889 -0.705  0.116 -1.632]
31576.982,62.405197,2.0201757,514854,223963.73,1392.985197544098,50.99,7.6195327e-13,3833855800000000.0,3.3345447,1.3232409,-1.9806824,154.81152,59,100,17.410948,-128.4750622740383,62.405197,-1.2874604e-07,5900,[-0.574 -0.883 -0.711  0.093 -1.629]
6382.2764,51.043873,0.8663095,519646,82934.32,1408.8960378170013,47.92,7.245798e-10,5237414000.0,3.5288372,1.2998904,-2.222762,47.30443,60,100,18.617086,-127.38887490266019,51.043873,1.8119812e-07,6000,[-0.545 -0.869 -0.721  0.064 -1.641]
75.35271,24.096365,0.24767204,524621,1398.1908,1425.372976064682,49.75,6.7966166e-09,255690240.0,4.1383514,1.2946765,-2.3354397,1.2664866,61,100,17.82356,-128.67170557900158,24.096365,1.2397766e-07,6100,[-0.577 -0.897 -0.712  0.062 -1.636]
32.008934,18.72345,0.929033,529484,59.488815,1440.8329906463623,48.63,0.0025892437,35.15086,3.6033683,1.3333465,-2.0535445,1.8268032,62,100,18.212038,-127.1823711198262,18.72345,-3.1471254e-07,6200,[-0.579 -0.906 -0.738  0.043 -1.649]
3678.7632,46.71942,0.27624533,534392,66263.305,1456.2706923484802,49.08,1.53084e-13,2.2549134e+30,3.6449442,1.3323885,-2.0476847,17.432705,63,100,18.042744,-127.28587477974496,46.71942,1.4305115e-07,6300,[-0.585 -0.911 -0.748  0.059 -1.652]
14.730932,18.221703,0.79792464,539550,150.5481,1472.4774868488312,51.58,0.0009652648,14.107534,3.7951856,1.310341,-2.3621502,1.2734351,64,100,17.051008,-128.47094837745067,18.221703,-4.4345856e-07,6400,[-0.57  -0.784 -0.659  0.076 -1.585]
12384.335,107.474335,30.426373,544529,898236.94,1487.4896984100342,49.79,1.00304444e-16,156268050000.0,3.657331,1.4441268,-2.4379745,321.89175,65,100,17.859457,-127.57626759889307,107.474335,4.7683717e-08,6500,[-0.574 -0.807 -0.683  0.077 -1.597]
39.755978,23.520878,1.3996465,549290,1341.9343,1504.6113092899323,47.61,0.00016542524,61.816372,3.292861,1.6886501,-6.0440464,3.452346,66,100,18.506521,-127.26102063346254,23.520878,1.3017655e-06,6600,[-0.57  -0.832 -0.723  0.115 -1.651]
2955.4902,91.72671,0.36514723,553762,554416.3,1519.231900215149,44.72,1.7123705e-25,2.9498738e+31,3.7680025,2.1524365,-6.837473,21.06474,67,100,19.531622,-126.40293967091262,91.72671,6.580353e-07,6700,[-0.594 -0.854 -0.761  0.124 -1.66 ]
5551.362,66.58887,0.4634479,558146,252238.28,1535.5072350502014,43.84,5.1752626e-23,2.3408723e+32,3.9427285,2.300587,-12.135533,30.463167,68,100,19.826517,-127.35424218197355,66.58887,3.194809e-07,6800,[-0.617 -0.838 -0.763  0.18  -1.659]
4370.9067,30.478071,0.16875762,562953,23562.322,1551.7255730628967,48.07,2.8251545e-22,2.0181768e+27,3.925612,1.4070756,-4.9565935,20.64698,69,100,18.267714,-127.57950200043582,30.478071,-2.7179718e-07,6900,[-0.62  -0.856 -0.768  0.123 -1.685]
712.5762,28.768778,0.6400546,567979,18880.998,1566.77294921875,50.26,9.530501e-08,12970916.0,4.4038696,1.4396635,-2.3796864,7.023522,70,100,17.57757,-126.91525273110469,28.768778,5.4359435e-07,7000,[-0.633 -0.869 -0.737  0.077 -1.676]
95.17365,26.479206,0.25298944,572945,2193.0354,1581.6260435581207,49.66,9.396672e-13,53828090000.0,3.2390108,1.3736054,-2.1608992,1.6758653,71,100,17.74975,-126.28753872159048,26.479206,-2.0980835e-07,7100,[-0.651 -0.819 -0.744  0.091 -1.717]
1290.3013,27.537655,0.13858923,578202,19082.412,1596.5986242294312,52.57,1.6942122e-15,3.0863392e+16,3.5925984,1.3356062,-2.0817828,9.438592,72,100,16.593058,-127.90084838009916,27.537655,3.7193297e-07,7200,[-0.649 -0.803 -0.709  0.103 -1.715]
835.8294,25.259272,0.2380547,583555,10440.808,1611.3444464206696,53.53,1.5958132e-13,1735967000000000.0,3.8782434,1.3382293,-1.9912691,6.1190095,73,100,16.370956,-129.31286934917864,25.259272,1.001358e-07,7300,[-0.677 -0.854 -0.706  0.087 -1.738]
507.49866,25.390211,1.8819753,588769,9790.545,1626.2335574626923,52.14,4.918436e-08,5848642.5,3.1289244,1.389389,-2.5908432,14.9767685,74,100,16.69718,-127.5559296686659,25.390211,-1.9073486e-08,7400,[-0.675 -0.849 -0.719  0.057 -1.738]
2821.0845,30.221916,1.1096218,593972,12427.729,1640.9367837905884,52.03,1.688921e-11,85463110000.0,3.51096,1.2572287,-1.9469581,24.684284,75,100,16.618908,-125.01230475984454,30.221916,2.4318695e-07,7500,[-0.704 -0.827 -0.739  0.078 -1.769]
4373.8003,39.73619,0.10157071,599397,131864.55,1656.3602318763733,54.25,,inf,3.604958,1.2118697,-1.8647299,19.585215,76,100,15.911377,-127.4326134842675,39.73619,1.5735627e-07,7600,[-0.714 -0.829 -0.714  0.086 -1.781]
113.58377,22.063576,2.2561517,604109,530.96576,1670.1384165287018,47.12,2.0368241e-05,10416.453,4.072213,2.5431094,-12.080891,11.623982,77,100,18.422235,-128.272785112739,22.063576,1.0967254e-06,7700,[-0.662 -0.864 -0.771  0.238 -1.777]
20.898643,17.438934,0.5962511,609365,27.067616,1685.5035207271576,52.56,0.00029961983,35.79191,3.6505804,1.2850904,-4.681823,1.1223531,78,100,16.733204,-130.7294784275913,17.438934,7.0095064e-07,7800,[-0.673 -0.885 -0.767  0.231 -1.781]
12315.518,76.205505,0.4263729,614673,405648.7,1700.6846659183502,53.08,1.2671749e-22,3.1782597e+33,3.3417015,2.1270452,-12.016441,56.589703,79,100,16.539442,-131.19469894545807,76.205505,-5.722046e-07,7900,[-0.69  -0.892 -0.768  0.236 -1.787]
137.5446,17.274908,1.0053381,620176,195.30939,1716.0313394069672,55.03,2.40917e-05,1943.0201,3.2469707,1.3323542,-2.2559404,5.0103016,80,100,16.190224,-131.3333881433289,17.274908,2.3365021e-07,8000,[-0.691 -0.883 -0.726  0.186 -1.789]
32.174656,18.244373,0.66706,625637,323.6414,1732.331999540329,54.61,4.3878368e-05,1036.8124,4.342165,1.42443,-2.1615348,2.4389732,81,100,16.48295,-132.85661253446216,18.244373,-2.3841858e-08,8100,[-0.694 -0.903 -0.721  0.179 -1.781]
214.67532,19.556873,0.7814979,631094,1248.3018,1747.4265086650848,54.57,7.7088066e-07,2104771.2,3.310511,1.494421,-2.5698013,5.2165093,82,100,16.314104,-129.49258733641454,19.556873,-2.6226044e-07,8200,[-0.694 -0.894 -0.733  0.173 -1.777]
995.75903,29.173986,0.29452795,636450,22482.2,1762.627433538437,53.56,6.7807995e-11,12246921000.0,4.191552,1.2705793,-2.1842422,9.043495,83,100,16.630352,-130.28015166942697,29.173986,-2.4318695e-07,8300,[-0.703 -0.934 -0.75   0.158 -1.784]
722.2578,32.870075,0.18039583,641748,37512.086,1777.6680271625519,52.98,5.0826246e-15,8026747000000000.0,3.6985223,1.353833,-2.0107698,7.488786,84,100,16.674427,-129.01642213969285,32.870075,-4.2915343e-07,8400,[-0.699 -0.934 -0.769  0.14  -1.793]
953.2095,21.71046,0.7723804,647199,2941.1282,1794.0910975933075,54.51,6.1442724e-13,20392838000000.0,3.3770728,1.3107386,-2.162778,9.615437,85,100,16.279362,-131.79886107302298,21.71046,-1.9550323e-07,8500,[-0.702 -0.928 -0.75   0.167 -1.8  ]
1677.0471,35.356792,0.94041765,652443,28313.342,1809.6123559474945,52.44,2.5710035e-18,6.752946e+22,3.3790731,1.265159,-1.6698651,12.934679,86,100,16.937283,-130.03876076540197,35.356792,8.4400176e-07,8600,[-0.664 -0.918 -0.758  0.155 -1.802]
46.262337,17.72503,0.64666545,657815,261.64438,1826.531379699707,53.72,0.00029580118,547.12085,4.088839,1.4277501,-2.0797849,1.8239999,87,100,16.725433,-132.29235374114194,17.72503,1.2397766e-07,8700,[-0.654 -0.918 -0.734  0.187 -1.809]
256.37198,21.451359,0.3746702,663117,1744.503,1842.7047729492188,53.02,8.5286925e-12,10786827000000.0,3.300478,1.3857334,-2.264336,2.7829459,88,100,16.865303,-129.96811098322448,21.451359,5.7220458e-08,8800,[-0.653 -0.92  -0.751  0.19  -1.811]
698.5758,36.002335,0.29324806,668453,39830.695,1858.3329515457153,53.36,3.793008e-17,5.3698495e+22,3.2743478,1.3347546,-2.032085,10.134505,89,100,16.591116,-130.47966388872956,36.002335,5.76973e-07,8900,[-0.652 -0.949 -0.763  0.163 -1.812]
586.09827,21.620426,2.0842168,673851,4497.0947,1874.8668477535248,53.98,1.1341103e-08,9222308.0,3.639886,1.4195366,-2.1227407,18.842539,90,100,16.622501,-132.74875776602585,21.620426,1.66893e-07,9000,[-0.687 -0.976 -0.77   0.202 -1.796]
406.4328,29.223063,0.23858298,679365,12676.444,1890.2089216709137,55.14,2.9264098e-11,4114457300000.0,3.3615446,1.236404,-1.7525625,5.3896413,91,100,16.271557,-133.89349816743916,29.223063,6.67572e-08,9100,[-0.684 -1.028 -0.769  0.203 -1.8  ]
796.6452,26.63297,0.15828067,685097,20182.566,1907.577232837677,57.32,2.0386693e-19,1.2166253e+24,3.3882446,1.3377112,-2.0849519,5.4410596,92,100,15.80246,-135.60788414135098,26.63297,2.2411346e-07,9200,[-0.677 -1.012 -0.732  0.212 -1.797]
332.34793,28.599499,0.590737,690698,8268.555,1924.6376996040344,56.01,2.9302738e-08,22345694.0,3.3423257,1.1958011,-1.7485228,4.8855295,93,100,16.166033,-135.55503600704006,28.599499,-4.6253206e-07,9300,[-0.699 -1.027 -0.75   0.175 -1.799]
457.37323,29.794767,0.09076078,696214,23434.879,1942.4521901607513,55.16,,inf,3.2143526,1.4243803,-2.0534887,4.2039976,94,100,16.2874,-133.29834155225706,29.794767,-2.8610229e-08,9400,[-0.727 -1.082 -0.796  0.17  -1.798]
5284.905,38.64924,0.1584564,701872,72829.47,1959.762573480606,56.58,,inf,3.358603,1.2771338,-2.2412271,23.879162,95,100,15.7223835,-133.40978674585523,38.64924,-9.059906e-08,9500,[-0.713 -1.093 -0.76   0.095 -1.801]
75.34437,18.263819,1.0306818,707350,743.94916,1977.2568922042847,54.78,3.287592e-05,143.56636,3.7056088,1.1794311,-1.9106922,2.3483765,96,100,16.208141,-132.46519184391371,18.263819,1.3828277e-07,9600,[-0.775 -1.146 -0.85   0.179 -1.872]
20.860716,17.245092,1.0620986,712718,44.01936,1994.5340378284454,53.68,0.010068564,5.9189663,2.9052448,1.3059202,-2.197132,2.484608,97,100,16.576485,-130.77343192238405,17.245092,-2.861023e-07,9700,[-0.798 -1.142 -0.869  0.177 -1.885]
1739.8506,19.425678,0.26737222,718227,1159.5693,2011.584811449051,55.09,6.2281045e-13,613174500000000.0,2.739665,1.2841734,-1.9864521,8.759253,98,100,16.018822,-131.22956920371763,19.425678,-7.152558e-08,9800,[-0.8   -1.134 -0.86   0.178 -1.891]
85.91387,17.726309,0.40734634,723820,566.5416,2027.9998254776,55.93,2.53964e-07,472205.53,3.6128578,1.452826,-2.6426492,1.6642889,99,100,15.963601,-131.47931799718927,17.726309,-1.9550323e-07,9900,[-0.822 -1.111 -0.85   0.203 -1.886]
79.68918,19.286043,0.6414361,729344,1903.9552,2044.0798325538635,55.24,1.0477915e-05,62817.16,3.8460345,1.3283674,-2.074132,2.8234065,100,100,15.990267,-132.58320574488533,19.286043,-3.1471254e-07,10000,[-0.817 -1.123 -0.871  0.199 -1.872]
