Weights,EpThisIter,TimeElapsed,InitialReturnMax,InitialReturnStd,InitialReturnMin,ReturnMeanIW,InitialReturnMean,EpisodesSoFar,MinIW,TimestepsSoFar,EmpiricalD2,J_sample_variance,EpRewMean,Bound,EpLenMean,MaxIW,InitialBound,MeanIW,Iteration,StdIW
[-1.1   -1.289 -1.132 -0.903 -0.324],100,178.9115436077118,10.024315,7.863157,-20.944006,654.61035,-1.6212464e-07,1300,0.00021381296,50528,1717816.6,26512166.0,-106.14563302206926,654.61035,38.5,960.24774,146.11972,4.218307,13,34.47584
[-1.147 -1.386 -1.119 -0.997 -0.249],100,192.91424322128296,9.784631,7.581875,-15.050253,319.46017,1.335144e-07,1400,3.340036e-05,54438,418780.28,4557612.0,-105.2612301920802,319.46017,39.1,221.69696,140.7501,2.1697032,14,14.345249
[-1.161 -1.202 -1.11  -0.913 -0.176],100,206.41660571098328,10.661675,7.964789,-20.687616,347.72787,-3.8146973e-07,1500,3.590541e-08,58452,401633.56,7728434.0,-107.23244853869677,347.72787,40.14,246.60884,140.31747,2.3524942,15,19.028358
[-1.194 -1.293 -1.218 -0.846 -0.159],100,220.8640480041504,10.901863,7.42052,-17.576149,548.4243,-1.1062622e-06,1600,3.666724e-05,62233,32576456.0,19394444.0,-107.8641756097008,548.4243,37.81,541.8934,151.42308,3.4377184,16,27.430347
[-1.234 -1.216 -1.317 -0.76  -0.068],100,234.51542162895203,10.805923,7.452297,-19.03584,675.3764,7.8201293e-07,1700,0.00015493929,65503,578.81665,22814728.0,-110.39042391686215,675.3764,32.7,349.6043,195.83546,3.3075237,17,23.301575
[-1.208 -1.031 -1.262 -0.681 -0.062],100,246.7979371547699,14.03331,8.552448,-20.083092,30224.428,-1.1444092e-06,1800,1.2022745e-12,68357,1801550000000000.0,91232080000.0,-110.00637182248003,30224.428,28.54,11508.855,268.12772,107.35256,18,1104.7632
[-1.226 -0.938 -1.435 -0.684  0.001],100,260.1666486263275,15.286118,7.783309,-13.848299,927.5743,5.0544736e-07,1900,2.3239386e-08,70734,1276.156,34135136.0,-109.98971518161716,927.5743,23.77,157.8715,383.0232,2.4470878,19,15.431227
[-1.345 -0.789 -1.476 -0.7   -0.213],100,270.9143695831299,17.55029,7.1347694,-12.689117,7335.646,7.6293946e-07,2000,4.2119336e-05,72699,125241.02,4715964400.0,-108.78648757891432,7335.646,19.65,3133.2905,545.4345,12.986725,20,124.75723
[-1.19  -0.658 -1.298 -0.609 -0.238],100,284.3064513206482,15.991989,8.295517,-15.672989,9610.892,1.5068055e-06,2100,1.0201418e-07,74896,24552.387,3791021300.0,-109.89351441425781,9610.892,21.97,2234.1382,451.43674,20.522865,21,135.30992
[-1.274 -0.797 -1.309 -0.581 -0.337],100,297.70409655570984,16.514355,8.764633,-15.498272,573.9217,-9.536743e-07,2200,2.2989645e-05,77184,25.362576,2643481.0,-108.88922886031266,573.9217,22.88,38.056885,424.68372,1.335263,22,3.7685926
[-1.319 -0.759 -1.328 -0.513 -0.419],100,309.0860595703125,14.921808,8.014603,-17.721945,3153.8303,1.14440915e-07,2300,6.6708344e-06,79557,253763.45,902548600.0,-109.9837320721399,3153.8303,23.73,805.64655,378.98438,8.1683,23,78.57215
[-1.259 -0.748 -1.225 -0.457 -0.352],100,321.8282117843628,14.065208,8.302168,-15.189339,416.47,8.9645386e-07,2400,0.01224833,82085,4.7474804,162643.4,-110.52962397482617,416.47,25.28,12.036172,338.57367,1.22591,24,1.1643987
[-1.262 -0.781 -1.286 -0.426 -0.35 ],100,331.13778805732727,14.531727,8.325828,-14.708204,541.2589,-1.2111664e-06,2500,9.915613e-05,84511,11.008212,971855.7,-109.70646270244066,541.2589,24.26,16.336298,365.20883,1.4784414,25,2.6669877
[-1.133 -0.702 -1.162 -0.44  -0.468],100,342.0220024585724,13.536729,8.409864,-19.031977,23181.994,-2.0980835e-07,2600,1.2474039e-17,87185,inf,52640678000.0,-111.57798559516569,23181.994,26.74,7851.5166,302.53244,76.69093,26,767.9428
[-1.09  -0.409 -0.998 -0.605 -0.207],100,355.1996295452118,16.17598,8.174621,-15.7005825,1450.9784,-1.7929077e-06,2700,0.00029093845,89436,17361.06,130473220.0,-109.80787974018924,1450.9784,22.51,277.1422,430.48676,3.2615962,27,26.31837
[-1.182 -0.355 -0.959 -0.538 -0.112],100,365.7825565338135,16.72854,8.556797,-22.750473,2358.2405,3.4332277e-07,2800,0.0005354457,91745,3789953.5,420292400.0,-110.13869809534539,2358.2405,23.09,658.15656,428.23132,5.299454,28,47.190746
[-1.253 -0.368 -0.946 -0.633  0.051],100,377.6972358226776,15.306831,8.2705145,-20.826912,839.1727,-7.05719e-07,2900,5.777229e-06,94220,243.84698,10795136.0,-108.52234422148487,839.1727,24.75,152.86852,353.89215,2.302153,29,9.078944
[-1.407 -0.323 -0.914 -0.7    0.02 ],100,388.9614472389221,17.597895,8.314262,-16.266216,420.5344,1.3160706e-06,3000,0.07126022,96568,1.4319596,54149.504,-108.10189314247377,420.5344,23.48,3.9142609,403.53198,1.0425636,30,0.5700179
[-1.486 -0.269 -0.911 -0.698  0.019],100,399.1620078086853,15.643391,8.907183,-24.240587,664.4231,8.773804e-07,3100,7.137206e-06,99184,16629446000.0,12637743.0,-108.77859911872129,664.4231,26.16,104.18332,334.78226,1.9835263,31,10.730409
[-1.371 -0.134 -0.926 -0.664  0.052],100,409.98651361465454,17.71397,7.8926997,-14.550077,785.2437,4.005432e-07,3200,6.1309754e-07,101363,12.178762,3392721.5,-108.79783436986406,785.2437,21.79,36.369507,464.2528,1.669874,32,3.9056327
[-1.395 -0.067 -0.857 -0.672 -0.142],100,420.2878158092499,18.064991,8.726395,-18.36776,1942.9275,1.411438e-06,3300,4.3363925e-19,103596,3.4456544e+23,223319020.0,-107.77206766604534,1942.9275,22.33,340.72986,448.4183,4.3074007,33,33.353424
[-1.34  -0.049 -1.033 -0.505 -0.159],100,431.916779756546,19.64272,6.7495856,-14.795204,1554.8619,-2.6130676e-06,3400,0.001683239,105380,3.81783,34600920.0,-108.66043255574773,1554.8619,17.84,88.31372,667.4097,2.2941966,34,8.728921
[-1.329 -0.052 -1.029 -0.519 -0.372],100,442.4936933517456,18.818756,6.1657443,-13.795988,2126.514,-1.5640259e-06,3500,7.1602217e-06,107148,5.7758716e+16,366929540.0,-108.82714619661569,2126.514,17.68,737.30566,670.4295,3.1437738,35,28.494507
[-1.4    0.037 -1.035 -0.63  -0.184],100,454.7067041397095,18.755127,7.2347116,-18.26988,985.6034,4.959106e-07,3600,9.822774e-05,109062,708.75397,34292710.0,-108.7861414291427,985.6034,19.14,114.81914,585.40857,1.6694322,36,9.960182
[-1.457 -0.146 -1.11  -0.615 -0.214],100,464.96222615242004,19.75257,7.097064,-14.780987,2437.0847,-6.1035155e-07,3700,2.6980556e-14,110905,3854793000000.0,173043100.0,-107.9118076274888,2437.0847,18.43,165.591,620.0355,3.8686807,37,21.12118
[-1.503 -0.24  -1.184 -0.77  -0.241],100,476.9017062187195,17.21566,8.981926,-21.773514,1006.6688,-1.964569e-06,3800,0.0015174621,113117,4790.81,17949402.0,-108.92695001912965,1006.6688,22.12,184.85858,455.19302,2.176666,38,9.1350155
[-1.498 -0.345 -1.176 -0.809 -0.146],100,488.11816000938416,17.235722,8.25365,-15.26762,552.3474,1.7356873e-06,3900,0.009125022,115345,4216.768,1147641.6,-108.31762669074396,552.3474,22.28,18.838284,439.4777,1.2626354,39,2.4674757
[-1.372 -0.301 -1.141 -0.737 -0.067],100,499.2409131526947,17.929127,6.678029,-14.775267,870.0559,1.5258789e-06,4000,0.0015821452,117338,63.220093,11559312.0,-109.24028258221212,870.0559,19.93,53.58179,532.57635,1.6110826,40,6.3110137
[-1.463 -0.348 -1.107 -0.76  -0.126],100,510.95154213905334,17.527048,8.283648,-14.595804,2803.533,-1.5258789e-07,4100,1.4469438e-07,119571,10544030000.0,370841500.0,-109.15379937755188,2803.533,22.33,391.25476,445.52194,6.219064,41,43.22132
[-1.543 -0.553 -1.14  -0.831 -0.113],100,524.0204374790192,14.9095745,8.20835,-20.273672,476.52832,6.9618227e-07,4200,0.03294854,121990,18.86563,542999.1,-109.52272660903219,476.52832,24.19,38.038322,384.82242,1.2317345,42,1.8928883
[-1.624 -0.528 -1.125 -0.867 -0.015],100,534.1452641487122,16.351252,8.053736,-17.039965,3565.6567,-8.010864e-07,4300,8.6616546e-21,124389,1284738900000.0,965345200.0,-108.80735846906975,3565.6567,23.99,1437.4309,376.72687,9.362381,43,81.925644
[-1.649 -0.532 -1.19  -0.631 -0.251],100,546.8210933208466,15.873195,8.170557,-16.905008,557.0676,1.9073487e-07,4400,1.3960483e-06,126740,23.517601,2784657.8,-109.14576778706005,557.0676,23.51,54.007187,395.80322,1.4014325,44,4.2292657
[-1.673 -0.479 -1.176 -0.682 -0.363],100,556.4134261608124,16.136738,8.30714,-15.1714115,543.35706,2.603531e-06,4500,0.0010264206,129115,188.39116,2385650.8,-109.24034777187627,543.35706,23.75,73.85629,393.99124,1.3671438,45,3.9013214
[-1.676 -0.518 -1.129 -0.716 -0.313],100,568.3432576656342,14.099673,8.117465,-16.109352,2736.0269,7.4386594e-07,4600,2.6130552e-05,131735,204830.84,597485100.0,-109.4958990636632,2736.0269,26.2,2992.4453,318.244,8.216413,46,75.65715
[-1.739 -0.463 -1.034 -0.711 -0.305],100,580.2461059093475,14.954739,9.193891,-16.379597,6908.933,-1.3256073e-06,4700,1.1226489e-06,134550,175678100.0,4574965000.0,-108.42470047834733,6908.933,28.15,7083.6074,291.48993,22.458006,47,226.2507
[-1.769 -0.49  -1.048 -0.599 -0.22 ],100,593.9309158325195,11.514753,8.472008,-15.836632,253.13199,7.8201293e-07,4800,0.04620116,137705,4.3712873,173240.64,-109.43603153165371,253.13199,31.55,18.672289,220.37933,1.1373761,48,1.8080661
[-1.778 -0.445 -0.997 -0.604 -0.157],100,605.4041321277618,12.637349,8.764745,-21.057274,278.86975,1.4686584e-06,4900,0.0027692276,140887,35.855736,543329.56,-108.63323282321466,278.86975,31.82,80.42364,217.13312,1.2628146,49,3.284651
[-1.814 -0.444 -1.049 -0.529 -0.151],100,616.7661719322205,14.137839,8.278615,-19.68259,1325.6945,-1.7166138e-07,5000,1.0033552e-07,143962,1598463500000.0,118288320.0,-109.21985638801813,1325.6945,30.75,442.67038,251.1032,5.0203238,50,42.249603
[-1.839 -0.45  -0.945 -0.51  -0.052],100,631.2986357212067,10.917265,8.027295,-19.715668,342.8911,-3.0517577e-07,5100,1.9416128e-11,147885,16771672.0,3544000.0,-107.34149883814337,342.8911,39.23,112.63339,155.45618,2.2123988,51,12.141208
[-1.947 -0.537 -1.076 -0.589 -0.208],100,642.6529269218445,11.5595045,7.997087,-21.802803,2284.4993,-3.862381e-07,5200,1.6350523e-18,151129,2.786002e+18,511723460.0,-109.40035319263707,2284.4993,32.44,1214.7876,207.67699,12.038302,52,119.589134
[-1.901 -0.448 -1.162 -0.635 -0.289],100,654.5420408248901,14.730621,8.3874855,-17.482038,422.84668,2.2888183e-07,5300,0.0076125152,153689,49.047028,1396596.2,-109.16411212245612,422.84668,25.6,40.63888,338.80026,1.2427858,53,3.4462042
[-1.901 -0.49  -1.144 -0.679 -0.196],100,665.9409940242767,15.011341,8.592564,-17.613302,11167.022,-3.7193297e-07,5400,5.418986e-08,156349,4054942000000000.0,12346593000.0,-108.84325490833155,11167.022,26.6,3536.2974,321.83392,34.439976,54,345.97055
[-1.861 -0.373 -1.172 -0.744 -0.137],100,678.8519251346588,15.618055,8.237157,-17.704617,603.28204,3.8146972e-08,5500,1.5859541e-06,158852,85.679855,3087214.0,-108.90867847750042,603.28204,25.03,38.06583,354.08704,1.7047431,55,5.002302
[-1.938 -0.331 -1.191 -0.781 -0.383],100,690.2694928646088,15.9935465,8.251191,-16.742033,279237.97,1.5258789e-07,5600,,161249,inf,7795938700000.0,-108.91432196312846,279237.97,23.97,356662.75,390.72577,711.37213,56,7300.1064
[-1.93  -0.45  -1.421 -0.479 -0.361],100,703.0913727283478,16.843689,8.484415,-15.665167,3767.3452,1.9073486e-08,5700,3.6329396e-07,163521,14860.446,1146065800.0,-109.31574766332125,3767.3452,22.72,2244.7366,436.47864,8.293537,57,76.95077
[-1.967 -0.443 -1.438 -0.374 -0.42 ],100,715.504204750061,17.215548,7.86683,-15.003351,755.3161,9.155273e-07,5800,0.0025527407,165647,55.865707,3341408.8,-108.72759323945579,755.3161,21.26,194.99966,485.59937,1.5463929,58,3.8750265
[-1.946 -0.483 -1.399 -0.358 -0.418],100,726.9112894535065,16.696377,8.351232,-16.37479,460.0987,-1.4305115e-06,5900,0.047531955,167991,1.7844259,153505.77,-109.05492880074036,460.0987,23.44,8.442965,412.13608,1.1115462,59,0.9344612
[-1.957 -0.458 -1.372 -0.345 -0.47 ],100,736.3177671432495,16.414917,7.8521633,-15.594418,965.3009,8.5830686e-07,6000,0.00012995797,170264,851.28485,44491844.0,-108.9824270528198,965.3009,22.73,157.49263,434.86365,2.16165,60,15.027325
[-1.879 -0.528 -1.426 -0.321 -0.56 ],100,747.2769510746002,16.3165,8.462239,-15.352011,528.2805,1.7166138e-07,6100,0.0008652763,172702,202.63141,4242112.5,-109.44280900327134,528.2805,24.38,116.953,377.17722,1.379129,61,5.379757
[-1.879 -0.559 -1.498 -0.329 -0.549],100,756.2146375179291,16.759811,7.845223,-15.123697,567.8309,-2.670288e-07,6200,1.3017243e-06,174893,428.49857,1736131.8,-109.36060420166416,567.8309,21.91,16.485952,464.48886,1.2278312,62,2.8529012
[-1.838 -0.539 -1.536 -0.303 -0.601],100,765.4411997795105,18.086794,6.5012717,-16.602257,685.2696,4.6730042e-07,6300,0.0016950613,176840,28.206022,3596007.5,-109.41411725278964,685.2696,19.47,41.560707,563.5773,1.2109128,63,3.3440878
[-1.805 -0.585 -1.55  -0.258 -0.596],100,775.85373878479,17.948433,6.958425,-14.391264,7189.606,-1.1444092e-06,6400,5.0972478e-14,178816,1.4945519e+21,4708452400.0,-108.96876831615822,7189.606,19.76,8844.678,539.6752,13.28713,64,131.71484
[-1.807 -0.468 -1.349 -0.361 -0.624],100,789.2408599853516,16.304123,7.95622,-15.297228,2723.364,-1.0204316e-06,6500,0.0001507661,181173,110717.48,563984700.0,-109.26539236474446,2723.364,23.57,772.66907,398.84686,6.5632677,65,58.66483
[-1.806 -0.425 -1.309 -0.302 -0.57 ],100,800.4450399875641,18.409807,8.114564,-14.034477,2189.8928,2.307892e-06,6600,5.2568815e-08,183339,57819.79,292651900.0,-108.71343388571523,2189.8928,21.66,365.41907,475.40042,4.6027074,66,36.208183
[-1.756 -0.352 -1.326 -0.328 -0.621],100,811.8156931400299,18.400684,6.621661,-14.175587,2178.0786,-2.479553e-07,6700,2.1198794e-09,185369,16797091000000.0,251765730.0,-109.27997407635463,2178.0786,20.3,370.26886,521.0011,4.1675844,67,30.369913
[-1.738 -0.276 -1.208 -0.265 -0.62 ],100,823.3816025257111,18.828094,6.9675345,-13.573153,1727.6515,-7.6293946e-07,6800,8.814141e-11,187308,646233000.0,213923980.0,-108.68292891307047,1727.6515,19.39,358.1138,572.266,3.0301356,68,25.696049
[-1.815 -0.308 -1.346 -0.303 -0.655],100,834.6968557834625,19.121105,6.046268,-15.003647,1294.6559,1.3542175e-06,6900,5.2714813e-06,189066,6192.016,34130870.0,-108.34987082416616,1294.6559,17.58,172.88028,674.59607,1.9144996,69,8.63343
[-1.783 -0.297 -1.313 -0.232 -0.725],100,846.1417725086212,18.164124,7.761792,-16.793072,933.6197,9.536743e-07,7000,1.6494624e-07,191114,47158584.0,25186310.0,-108.95509809223202,933.6197,20.48,89.26228,531.22644,1.7444997,70,9.422869
[-1.844 -0.248 -1.287 -0.317 -0.704],100,856.614663362503,18.231396,7.0454855,-15.416702,990.7324,1.9073486e-06,7100,1.4154355e-18,193068,189277920000000.0,41825530.0,-108.66554950830965,990.7324,19.54,116.55617,570.41095,1.7463094,71,11.46792
[-1.921 -0.214 -1.199 -0.336 -0.726],100,868.0594670772552,17.38305,7.286834,-14.745384,665.4594,-1.8692017e-06,7200,0.00089332444,195175,22.224354,3434419.0,-108.36312760471401,665.4594,21.07,30.545616,489.6163,1.3529384,72,3.7584877
[-1.929 -0.142 -1.158 -0.364 -0.757],100,878.0085303783417,19.263136,6.270376,-12.174751,727.6879,-1.8692017e-06,7300,7.387857e-08,197174,1078102.5,1877572.9,-109.15622572511374,727.6879,19.99,35.62144,540.6078,1.3476291,73,2.5644464
[-1.912 -0.127 -1.169 -0.305 -0.755],100,886.9714112281799,20.068516,6.505311,-13.916729,14131.292,7.8201293e-07,7400,,199120,inf,19570287000.0,-108.91850124115093,14131.292,19.46,2419.4846,590.24335,23.68271,74,236.75381
[-1.953 -0.184 -1.165 -0.473 -0.781],100,900.2787079811096,17.63715,7.189248,-13.312672,6763.592,-9.727478e-07,7500,9.746624e-10,201371,73389690000000.0,4074268400.0,-108.72147579517487,6763.592,22.51,2771.9788,463.77972,13.983702,75,136.42673
[-1.986 -0.195 -1.139 -0.415 -0.778],100,914.2010819911957,17.939684,8.885086,-18.817986,46807.242,-2.670288e-06,7600,1.244866e-05,203886,2145389900000.0,212058950000.0,-107.97647201978576,46807.242,25.15,51308.64,396.28558,112.2745,76,1246.2604
[-1.948 -0.208 -1.112 -0.377 -0.752],100,929.1458475589752,15.7144375,8.082587,-16.729887,3791.88,5.531311e-07,7700,1.9783093e-09,206484,2.0529982e+16,1204028500.0,-108.58940676427181,3791.88,25.98,2239.4177,362.1832,9.986822,77,94.148796
[-1.885 -0.267 -1.148 -0.394 -0.722],100,942.3896594047546,17.188492,8.795579,-19.512377,890.9069,1.0490418e-06,7800,5.391552e-08,209065,29869480.0,34322980.0,-108.78446822114242,890.9069,25.81,245.0074,359.67944,2.4016829,78,16.129541
[-1.901 -0.185 -1.145 -0.415 -0.746],100,953.0138831138611,18.019653,7.2279334,-11.70298,1376.9249,-1.0871887e-06,7900,5.151272e-12,211275,269760560000.0,141085500.0,-109.37416701214161,1376.9249,22.1,263.1893,462.19455,2.9766417,79,25.816483
[-1.977 -0.31  -1.188 -0.436 -0.773],100,964.2498948574066,17.283905,7.695655,-15.500385,516.3536,-8.010864e-07,8000,0.00023131198,213488,62.49617,2686958.8,-108.64374061110605,516.3536,22.13,25.819798,450.98956,1.1439043,80,3.6303346
[-1.988 -0.284 -1.22  -0.438 -0.766],100,973.3363647460938,17.337315,7.817561,-15.386118,620.66473,-4.310608e-06,8100,2.448828e-10,215695,4328758800000000.0,8235943.5,-108.5856056682462,620.66473,22.07,62.197205,463.841,1.3410304,81,6.1896954
[-1.952 -0.308 -1.285 -0.356 -0.737],100,983.8363959789276,17.67243,7.868306,-17.584991,559.9249,-1.6021728e-06,8200,0.0069530923,217916,24.41056,1023118.9,-109.08834504976208,559.9249,22.21,40.7108,452.6888,1.2309667,82,2.2044203
[-1.975 -0.343 -1.298 -0.383 -0.73 ],100,992.9205937385559,17.212694,8.441632,-15.658434,1143.411,2.2888185e-06,8300,1.8237943e-05,220217,3383.5146,107306410.0,-108.912521235498,1143.411,23.01,254.332,426.4405,2.5808396,83,24.130373
[-2.046 -0.358 -1.279 -0.353 -0.788],100,1004.9743547439575,17.270308,7.4512906,-13.446716,4434.3076,-1.411438e-06,8400,3.9194454e-14,222518,1.05030195e+17,1773794700.0,-109.16281471627552,4434.3076,23.01,1017.0496,420.69058,10.446651,84,99.619675
[-2.037 -0.431 -1.404 -0.374 -0.819],100,1017.8766214847565,17.961647,7.5932546,-13.764364,1530.081,-3.2424927e-07,8500,2.1570745e-06,224663,7166.345,69662200.0,-108.0063443184302,1530.081,21.45,177.52873,474.55246,3.1605062,85,17.383608
[-2.068 -0.481 -1.485 -0.391 -0.859],100,1029.5758395195007,17.542713,7.7144403,-14.821798,1052.0575,-6.294251e-07,8600,1.3529481e-19,226808,1.4810677e+19,109961144.0,-108.44587038459026,1052.0575,21.45,73732.05,473.23007,2.4835532,86,349.24146
[-2.1   -0.397 -1.568 -0.408 -0.879],100,1039.9507629871368,19.163857,6.9809923,-13.767017,1238.054,5.7220458e-08,8700,9.240481e-07,228760,868.5652,42515596.0,-108.2553549185617,1238.054,19.52,113.15924,560.4191,2.2069528,87,11.647445
[-2.073 -0.31  -1.529 -0.424 -0.902],100,1050.6882796287537,19.862583,7.120174,-13.06283,1112.0184,2.5177003e-06,8800,1.9120493e-20,230651,7865323700000000.0,39405200.0,-108.40223207708958,1112.0184,18.91,105.52551,594.45593,1.8602363,88,10.531256
[-2.002 -0.304 -1.547 -0.339 -0.953],100,1061.646341085434,19.06224,5.68939,-13.135347,1616.3019,-2.632141e-06,8900,8.75688e-06,232417,2944.373,142898020.0,-109.13966497375507,1616.3019,17.66,238.94627,664.28357,2.4258559,89,17.975744
[-2.034 -0.281 -1.555 -0.392 -0.969],100,1072.0690324306488,18.716478,5.8737707,-12.486853,190967.06,-2.4223327e-06,9000,,234218,inf,3646584800000.0,-108.78008886902069,190967.06,18.01,30122.578,643.52203,292.0525,90,2941.829
[-1.991 -0.264 -1.609 -0.073 -0.809],100,1084.8475141525269,10.066264,4.8319745,-12.02067,1053.0042,-1.5258789e-07,9100,0.0005622195,235850,119.08193,25879660.0,-108.30209203087898,1053.0042,16.32,66.57346,762.42523,1.3809988,91,6.707565
[-1.996 -0.279 -1.576 -0.052 -0.82 ],100,1094.256528377533,9.718586,5.190076,-13.332441,5135.6543,5.1498415e-07,9200,5.108678e-09,237447,3.3805398e+20,2200068000.0,-108.07106103450306,5135.6543,15.97,592.6777,803.98254,6.3456664,92,58.09592
[-2.005 -0.231 -1.431 -0.147 -0.753],100,1106.4066727161407,20.347584,5.457524,-11.668465,913.80896,9.155273e-07,9300,0.0011978052,239178,137.40933,2871780.5,-108.90959824567649,913.80896,17.31,127.50402,691.8388,1.3131201,93,2.558933
[-2.031 -0.208 -1.432 -0.098 -0.78 ],100,1116.1257107257843,9.232726,4.8906507,-14.453665,1093.8085,3.30925e-06,9400,0.0002768397,240874,24203.87,35363624.0,-108.09944244155933,1093.8085,16.96,207.1185,694.8714,1.569473,94,8.591497
[-2.074 -0.219 -1.387 -0.138 -0.685],100,1126.095501422882,20.477718,6.4168253,-14.829645,659.1133,1.8882752e-06,9500,0.09189744,242719,1.4589527,149921.84,-108.72894081636576,659.1133,18.45,11.6219845,629.94904,1.044551,95,0.611924
[-2.064 -0.23  -1.385 -0.161 -0.689],100,1133.6116437911987,18.951393,5.6133423,-14.202095,970.08154,-1.5258789e-07,9600,5.445314e-06,244483,43805252.0,6222323.0,-108.81109390787883,970.08154,17.64,30.779001,668.9883,1.4462972,96,3.7234836
[-2.107 -0.221 -1.358 -0.244 -0.657],100,1142.9403789043427,19.556284,7.1595287,-12.352388,811.0645,2.861023e-07,9700,0.00047312686,246391,25.9896,2116408.2,-108.12947224550844,811.0645,19.08,25.66429,599.89764,1.3536068,97,2.4279385
[-2.115 -0.133 -1.304 -0.272 -0.727],100,1152.9758367538452,18.096323,7.0075803,-16.800116,629.58496,-8.9645386e-07,9800,0.011032457,248377,8.972858,994091.56,-108.50925381916991,629.58496,19.86,22.405994,555.023,1.1309775,98,1.7801523
[-2.099 -0.111 -1.285 -0.315 -0.765],100,1163.441992521286,18.649828,7.6928244,-13.159098,2017.4321,-1.66893e-06,9900,1.3085383e-05,250560,2427.334,202975490.0,-108.29567108279687,2017.4321,21.83,353.862,484.20035,4.0378027,99,30.376266
[-2.118 -0.065 -1.241 -0.336 -0.819],100,1175.945752620697,20.677551,7.7871823,-15.804054,696.3192,-1.1825562e-06,10000,0.020749504,252595,28651.553,5916187.0,-107.83284289380879,696.3192,20.35,44.4426,558.7962,1.2309169,100,4.3312187
[-2.099 -0.071 -1.235 -0.3   -0.83 ],100,1185.233609199524,19.290531,7.0142508,-15.709717,3678.662,-4.7683716e-07,10100,5.4432994e-06,254551,26509662.0,1135575800.0,-108.57175389226826,3678.662,19.56,959.99,571.47516,6.319425,101,58.498188
[-2.104 -0.205 -1.293 -0.288 -0.845],100,1197.441927433014,20.222155,7.3106327,-16.92101,3002.3438,7.2479247e-07,10200,7.5507517e-10,256655,513268600000000.0,678458940.0,-108.53646814268997,3002.3438,21.04,787.49884,514.21545,5.8041177,102,50.651962
