EpsThisIter,Delta,J,Bound,VanillaAvgRet,VarJ,eRenyi2,AvgRet,MinNormIw,VarNormIw,BatchSize,AvgDiscRet,VarRet,ESSRenyi,AvgVanillaIw,AvgEpLen,VarVanillaIw,ESSClassic,AvgNormIw,VarDiscRet,IterType,MinVanillaIw,MaxNormIw,MaxVanillaIw
100,1.0,-74.8694,-74.8694,-84.0051760824,63.2369,1.0,-84.0051760824,0.0025,5.4346e-20,500,-84.0051760824,7214.58137613,500.0,1.0,116.9,,400.0,0.0025,7214.58137613,2,1.0,0.0025,1.0
100,1.0,-73.6118,-73.6118,-80.1953623538,52.5749,inf,-80.1953623538,0.00103655,1.74868e-06,500,-80.1953623538,4847.05475975,,0.923487,114.13,0.372831,348.117810103,0.002,4847.05475975,1,0.47862,0.0115233,5.32082
100,1.0,-71.7056,-71.7056,-71.7055956358,49.9191,1.0,-71.7055956358,0.01,3.50449e-18,500,-71.7055956358,2517.08548691,500.0,1.0,103.72,,100.0,0.01,2517.08548691,2,1.0,0.01,1.0
100,1.0,-73.4808,-73.4808,-75.2560266727,55.598,1.0,-75.2560266727,0.005,2.1793e-19,500,-75.2560266727,3721.27164355,500.0,1.0,107.87,,200.000000102,0.005,3721.27164355,2,1.0,0.005,1.0
100,1.0,-70.9707,-70.9707,-65.9504170243,50.0985,1.0,-65.9504170243,0.00333333,5.43914e-20,500,-65.9504170243,1322.7285349,500.0,1.0,96.26,,299.999969474,0.00333333,1322.7285349,2,1.0,0.00333333,1.0
100,1.0,-69.8812,-69.8812,-66.6126147872,47.0162,1.0,-66.6126147872,0.0025,5.4346e-20,500,-66.6126147872,1311.3854921,500.0,1.0,97.25,,400.0,0.0025,1311.3854921,2,1.0,0.0025,1.0
100,1.0,-55.1042,-55.1042,-69.0155145651,3.64354e-09,5210.86,-69.0155145651,,0.002,500,-69.0155145651,1312.02645978,0.0959535345009,0.325066,101.57,52.8339,1.0,0.002,1312.02645978,1,,1.0,162.533
100,1.0,-78.632,-78.632,-78.6319713543,69.6263,1.0,-78.6319713543,0.01,3.50449e-18,500,-78.6319713543,4896.78364395,500.0,1.0,111.25,,100.0,0.01,4896.78364395,2,1.0,0.01,1.0
100,1.0,-76.4618,-76.4618,-74.2916662169,65.4032,1.0,-74.2916662169,0.005,2.1793e-19,500,-74.2916662169,3735.27088863,500.0,1.0,106.1,,200.000000102,0.005,3735.27088863,2,1.0,0.005,1.0
100,1.0,-75.0546,-75.0546,-72.2402256425,60.7425,1.0,-72.2402256425,0.00333333,5.43914e-20,500,-72.2402256425,2527.19546398,500.0,1.0,104.6,,299.999969474,0.00333333,2527.19546398,2,1.0,0.00333333,1.0
100,1.0,-78.5591,-78.5591,-89.0723779616,69.6218,1.0,-89.0723779616,0.0025,5.4346e-20,500,-89.0723779616,8255.01539832,500.0,1.0,122.99,,400.0,0.0025,8255.01539832,2,1.0,0.0025,1.0
100,1.0,-74.336,-74.336,-70.8966880736,54.8212,inf,-70.8966880736,0.000625972,1.17522e-06,500,-70.8966880736,2542.95015865,,0.930315,102.67,0.254285,386.632204669,0.002,2542.95015865,1,0.291176,0.00952032,4.42845
100,1.0,-78.8002,-78.8002,-78.8002442601,69.5817,1.0,-78.8002442601,0.01,3.50449e-18,500,-78.8002442601,4890.52155313,500.0,1.0,111.76,,100.0,0.01,4890.52155313,2,1.0,0.01,1.0
100,1.0,-75.9862,-75.9862,-73.1721064049,65.4944,1.0,-73.1721064049,0.005,2.1793e-19,500,-73.1721064049,3759.17177977,500.0,1.0,104.3,,200.000000102,0.005,3759.17177977,2,1.0,0.005,1.0
100,1.0,-77.1805,-77.1805,-79.5690542147,66.7997,1.0,-79.5690542147,0.00333333,5.43914e-20,500,-79.5690542147,4847.49323025,500.0,1.0,112.74,,299.999969474,0.00333333,4847.49323025,2,1.0,0.00333333,1.0
100,1.0,-76.6343,-76.6343,-74.9959754321,65.3617,1.0,-74.9959754321,0.0025,5.4346e-20,500,-74.9959754321,3735.77685309,500.0,1.0,107.17,,400.0,0.0025,3735.77685309,2,1.0,0.0025,1.0
100,1.0,-71.8824,-71.8824,-68.7771166517,48.7466,inf,-68.7771166517,0.000960027,2.72351e-06,500,-68.7771166517,1285.48146276,,1.01472,100.69,0.701073,297.705001308,0.002,1285.48146276,1,0.48708,0.0205112,10.4066
100,1.0,-84.653,-84.653,-84.6530425628,84.3439,1.0,-84.6530425628,0.01,3.50449e-18,500,-84.6530425628,7185.75167625,500.0,1.0,118.04,,100.0,0.01,7185.75167625,2,1.0,0.01,1.0
100,1.0,-73.8331,-73.8331,-63.0130685292,60.9706,1.0,-63.0130685292,0.005,2.1793e-19,500,-63.0130685292,87.6678740712,500.0,1.0,92.86,,200.000000102,0.005,87.6678740712,2,1.0,0.005,1.0
100,1.0,-74.6628,-74.6628,-76.3223875973,60.8707,1.0,-76.3223875973,0.00333333,5.43914e-20,500,-76.3223875973,3713.90407869,500.0,1.0,109.54,,299.999969474,0.00333333,3713.90407869,2,1.0,0.00333333,1.0
100,1.0,-74.9358,-74.9358,-75.7545625408,60.7749,1.0,-75.7545625408,0.0025,5.4346e-20,500,-75.7545625408,3694.6950932,500.0,1.0,108.82,,400.0,0.0025,3694.6950932,2,1.0,0.0025,1.0
100,1.0,-72.4085,-72.4085,-71.0506806561,48.9468,9.21566e+36,-71.0506806561,0.000600885,1.29261e-06,500,-71.0506806561,2539.44145093,5.42554543548e-35,0.96279,102.62,0.29955,378.070076804,0.002,2539.44145093,1,0.289263,0.0141431,6.80841
100,1.0,-70.8131,-70.8131,-70.8131412736,50.1757,1.0,-70.8131412736,0.01,3.50449e-18,500,-70.8131412736,2543.02748526,500.0,1.0,102.33,,100.0,0.01,2543.02748526,2,1.0,0.01,1.0
100,1.0,-69.2944,-69.2944,-67.7757591721,43.7705,1.0,-67.7757591721,0.005,2.1793e-19,500,-67.7757591721,1322.72549899,500.0,1.0,99.05,,200.000000102,0.005,1322.72549899,2,1.0,0.005,1.0
100,1.0,-70.3622,-70.3622,-72.4976852098,45.9088,1.0,-72.4976852098,0.00333333,5.43914e-20,500,-72.4976852098,2509.39201302,500.0,1.0,105.41,,299.999969474,0.00333333,2509.39201302,2,1.0,0.00333333,1.0
100,1.0,-71.2055,-71.2055,-73.7354824841,50.0891,1.0,-73.7354824841,0.0025,5.4346e-20,500,-73.7354824841,3741.70830064,500.0,1.0,105.76,,400.0,0.0025,3741.70830064,2,1.0,0.0025,1.0
100,1.0,-68.2019,-68.2019,-67.5213027056,29.8847,inf,-67.5213027056,0.000925622,3.42238e-06,500,-67.5213027056,1312.15102784,,0.83197,98.71,0.592219,269.704107164,0.002,1312.15102784,1,0.385045,0.017247,7.17448
100,1.0,-74.1378,-74.1378,-74.1378201595,60.6764,1.0,-74.1378201595,0.01,3.50449e-18,500,-74.1378201595,3718.8144411,500.0,1.0,105.95,,100.0,0.01,3718.8144411,2,1.0,0.01,1.0
100,1.0,-77.5435,-77.5435,-80.9492585517,69.606,1.0,-80.9492585517,0.005,2.1793e-19,500,-80.9492585517,6045.63381778,500.0,1.0,114.12,,200.000000102,0.005,6045.63381778,2,1.0,0.005,1.0
100,1.0,-78.4994,-78.4994,-80.4111406688,72.3646,1.0,-80.4111406688,0.00333333,5.43914e-20,500,-80.4111406688,6075.17538149,500.0,1.0,112.58,,299.999969474,0.00333333,6075.17538149,2,1.0,0.00333333,1.0
100,1.0,-76.2081,-76.2081,-69.3342537305,67.6328,1.0,-69.3342537305,0.0025,5.4346e-20,500,-69.3342537305,2549.36737139,500.0,1.0,99.78,,400.0,0.0025,2549.36737139,2,1.0,0.0025,1.0
100,1.0,-52.4036,-52.4036,-69.0509578705,3.41738e-09,2.24149e+06,-69.0509578705,,0.002,500,-69.0509578705,1313.42308909,0.000223066180724,0.0164833,101.35,0.13585,1.0,0.002,1313.42308909,1,,1.0,8.24167
100,1.0,-68.5528,-68.5528,-68.5527874114,35.7521,1.0,-68.5527874114,0.01,3.50449e-18,500,-68.5527874114,1291.12728239,500.0,1.0,100.65,,100.0,0.01,1291.12728239,2,1.0,0.01,1.0
100,1.0,-71.6255,-71.6255,-74.6982942636,49.9323,1.0,-74.6982942636,0.005,2.1793e-19,500,-74.6982942636,3726.64540744,500.0,1.0,106.81,,200.000000102,0.005,3726.64540744,2,1.0,0.005,1.0
100,1.0,-73.3489,-73.3489,-76.7957054168,57.4783,1.0,-76.7957054168,0.00333333,5.43914e-20,500,-76.7957054168,4956.53333405,500.0,1.0,108.16,,299.999969474,0.00333333,4956.53333405,2,1.0,0.00333333,1.0
100,1.0,-76.2394,-76.2394,-84.9108133499,65.3934,1.0,-84.9108133499,0.0025,5.4346e-20,500,-84.9108133499,7165.30797399,500.0,1.0,118.31,,400.0,0.0025,7165.30797399,2,1.0,0.0025,1.0
100,1.0,-54.3702,-54.3702,-67.3969718164,0.000124698,3541.58,-67.3969718164,,0.00199999,500,-67.3969718164,1329.80933622,0.141179961159,5.51077e-13,98.59,1.51842e-22,1.0000046337,0.002,1329.80933622,1,,0.999998,2.75538e-10
100,1.0,-63.8202,-63.8202,-63.820189061,8.51964,1.0,-63.820189061,0.01,3.50449e-18,500,-63.820189061,73.3174115518,500.0,1.0,94.46,,100.0,0.01,73.3174115518,2,1.0,0.01,1.0
100,1.0,-71.3031,-71.3031,-78.7860609604,50.0725,1.0,-78.7860609604,0.005,2.1793e-19,500,-78.7860609604,4878.72845304,500.0,1.0,111.9,,200.000000102,0.005,4878.72845304,2,1.0,0.005,1.0
100,1.0,-70.1766,-70.1766,-67.9234976566,45.8969,1.0,-67.9234976566,0.00333333,5.43914e-20,500,-67.9234976566,1310.55299565,500.0,1.0,99.38,,299.999969474,0.00333333,1310.55299565,2,1.0,0.00333333,1.0
100,1.0,-70.4171,-70.4171,-71.1385698102,46.9606,1.0,-71.1385698102,0.0025,5.4346e-20,500,-71.1385698102,2526.18082341,500.0,1.0,102.87,,400.0,0.0025,2526.18082341,2,1.0,0.0025,1.0
100,1.0,-69.1316,-69.1316,-70.392917819,39.471,inf,-70.392917819,0.00113536,2.45375e-06,500,-70.392917819,2541.92617657,,0.943278,101.76,0.545821,310.133147002,0.002,2541.92617657,1,0.535478,0.017654,8.32632
100,1.0,-74.5868,-74.5868,-74.5868401477,60.705,1.0,-74.5868401477,0.01,3.50449e-18,500,-74.5868401477,3722.31685237,500.0,1.0,107.09,,100.0,0.01,3722.31685237,2,1.0,0.01,1.0
100,1.0,-79.8091,-79.8091,-85.0314258173,73.653,1.0,-85.0314258173,0.005,2.1793e-19,500,-85.0314258173,7181.70545675,500.0,1.0,118.62,,200.000000102,0.005,7181.70545675,2,1.0,0.005,1.0
100,1.0,-77.8804,-77.8804,-74.023069215,69.7438,1.0,-74.023069215,0.00333333,5.43914e-20,500,-74.023069215,3758.33706614,500.0,1.0,105.84,,299.999969474,0.00333333,3758.33706614,2,1.0,0.00333333,1.0
100,1.0,-77.0001,-77.0001,-74.3592052123,67.6371,1.0,-74.3592052123,0.0025,5.4346e-20,500,-74.3592052123,3734.53549996,500.0,1.0,107.04,,400.0,0.0025,3734.53549996,2,1.0,0.0025,1.0
100,1.0,-54.2645,-54.2645,-70.7983103065,7.55686e-05,7108.53,-70.7983103065,,0.00199999,500,-70.7983103065,2543.55860443,0.0703380133069,1.90021e-28,102.52,,inf,0.002,2543.55860443,1,,0.999999,9.50105e-26
100,1.0,-72.2598,-72.2598,-72.2597627434,50.0158,1.0,-72.2597627434,0.01,3.50449e-18,500,-72.2597627434,2526.85298603,500.0,1.0,104.7,,100.0,0.01,2526.85298603,2,1.0,0.01,1.0
100,1.0,-71.8372,-71.8372,-71.4146694081,50.0757,1.0,-71.4146694081,0.005,2.1793e-19,500,-71.4146694081,2538.60511042,500.0,1.0,103.35,,200.000000102,0.005,2538.60511042,2,1.0,0.005,1.0
100,1.0,-71.7604,-71.7604,-71.6067526782,50.1335,1.0,-71.6067526782,0.00333333,5.43914e-20,500,-71.6067526782,2550.42417389,500.0,1.0,103.89,,299.999969474,0.00333333,2550.42417389,2,1.0,0.00333333,1.0
100,1.0,-72.1158,-72.1158,-73.1820151713,50.0245,1.0,-73.1820151713,0.0025,5.4346e-20,500,-73.1820151713,2493.09505541,500.0,1.0,105.96,,400.0,0.0025,2493.09505541,2,1.0,0.0025,1.0
100,1.0,-69.7854,-69.7854,-72.161385095,38.7655,480.918,-72.161385095,5.19148e-05,3.34068e-06,500,-72.161385095,2514.75257103,1.03967867938,0.973098,104.27,0.790839,272.702938463,0.002,2514.75257103,1,0.0252591,0.0218358,10.6242
100,1.0,-68.6083,-68.6083,-68.6083290344,50.2692,1.0,-68.6083290344,0.01,3.50449e-18,500,-68.6083290344,2552.52132151,500.0,1.0,98.4,,100.0,0.01,2552.52132151,2,1.0,0.01,1.0
100,1.0,-69.7674,-69.7674,-70.9263911076,50.161,1.0,-70.9263911076,0.005,2.1793e-19,500,-70.9263911076,2527.85579543,500.0,1.0,102.24,,200.000000102,0.005,2527.85579543,2,1.0,0.005,1.0
100,1.0,-68.4272,-68.4272,-65.7468562312,41.2714,1.0,-65.7468562312,0.00333333,5.43914e-20,500,-65.7468562312,67.6210398322,500.0,1.0,97.37,,299.999969474,0.00333333,67.6210398322,2,1.0,0.00333333,1.0
100,1.0,-70.9094,-70.9094,-78.3561709993,50.1369,1.0,-78.3561709993,0.0025,5.4346e-20,500,-78.3561709993,4920.11140384,500.0,1.0,111.35,,400.0,0.0025,4920.11140384,2,1.0,0.0025,1.0
100,1.0,-54.9251,-54.9251,-71.0617120278,9.85643e-07,2.95592e+08,-71.0617120278,,0.002,500,-71.0617120278,2534.1627965,1.69151891362e-06,3.51274e-24,102.54,5.60519e-45,1.0001858346,0.002,2534.1627965,1,,1.0,1.75637e-21
100,1.0,-76.3111,-76.3111,-76.3111455305,60.5006,1.0,-76.3111455305,0.01,3.50449e-18,500,-76.3111455305,3697.29373189,500.0,1.0,109.51,,100.0,0.01,3697.29373189,2,1.0,0.01,1.0
100,1.0,-74.1372,-74.1372,-71.9631777549,55.5878,1.0,-71.9631777549,0.005,2.1793e-19,500,-71.9631777549,2535.58137674,500.0,1.0,103.82,,200.000000102,0.005,2535.58137674,2,1.0,0.005,1.0
100,1.0,-76.5057,-76.5057,-81.2426314704,63.8028,1.0,-81.2426314704,0.00333333,5.43914e-20,500,-81.2426314704,6059.34258943,500.0,1.0,114.14,,299.999969474,0.00333333,6059.34258943,2,1.0,0.00333333,1.0
100,1.0,-73.9664,-73.9664,-66.3485857008,58.3162,1.0,-66.3485857008,0.0025,5.4346e-20,500,-66.3485857008,1326.59059902,500.0,1.0,96.63,,400.0,0.0025,1326.59059902,2,1.0,0.0025,1.0
100,1.0,-68.9624,-68.9624,-79.8293950179,79.4237,8.19581e+09,-79.8293950179,,0.000997996,500,-79.8293950179,4846.10140923,6.10067728489e-08,4.68198e-13,113.55,5.46926e-23,2.00000014074,0.002,4846.10140923,1,,0.5,1.1705e-10
100,1.0,-67.928,-67.928,-67.9280283979,35.9231,1.0,-67.9280283979,0.01,3.50449e-18,500,-67.9280283979,1303.50809803,500.0,1.0,99.15,,100.0,0.01,1303.50809803,2,1.0,0.01,1.0
100,1.0,-71.7904,-71.7904,-75.6526689464,49.9599,1.0,-75.6526689464,0.005,2.1793e-19,500,-75.6526689464,3708.7530085,500.0,1.0,108.07,,200.000000102,0.005,3708.7530085,2,1.0,0.005,1.0
100,1.0,-77.5419,-77.5419,-89.0451284571,66.6823,1.0,-89.0451284571,0.00333333,5.43914e-20,500,-89.0451284571,8231.44244074,500.0,1.0,123.46,,299.999969474,0.00333333,8231.44244074,2,1.0,0.00333333,1.0
100,1.0,-76.6539,-76.6539,-73.9896081732,65.2864,1.0,-73.9896081732,0.0025,5.4346e-20,500,-73.9896081732,3737.5824915,500.0,1.0,105.59,,400.0,0.0025,3737.5824915,2,1.0,0.0025,1.0
100,1.0,-67.1159,-67.1159,-81.5214942181,34.2868,13.4438,-81.5214942181,0.00065427,2.94719e-05,500,-81.5214942181,6039.76909281,37.1918522796,2.16301,114.97,34.4719,59.8571197509,0.002,6039.76909281,1,0.707597,0.0238565,25.8009
100,1.0,-68.3477,-68.3477,-68.347680596,35.8208,1.0,-68.347680596,0.01,3.50449e-18,500,-68.347680596,1296.0922543,500.0,1.0,100.03,,100.0,0.01,1296.0922543,2,1.0,0.01,1.0
100,1.0,-76.4459,-76.4459,-84.5440749425,65.2799,1.0,-84.5440749425,0.005,2.1793e-19,500,-84.5440749425,7180.43411173,500.0,1.0,117.95,,200.000000102,0.005,7180.43411173,2,1.0,0.005,1.0
100,1.0,-74.2514,-74.2514,-69.8624776883,60.7668,1.0,-69.8624776883,0.00333333,5.43914e-20,500,-69.8624776883,2551.49633906,500.0,1.0,100.77,,299.999969474,0.00333333,2551.49633906,2,1.0,0.00333333,1.0
100,1.0,-72.5541,-72.5541,-67.4621390508,55.7322,1.0,-67.4621390508,0.0025,5.4346e-20,500,-67.4621390508,1325.21488171,500.0,1.0,98.78,,400.0,0.0025,1325.21488171,2,1.0,0.0025,1.0
100,1.0,-64.0591,-64.0591,-68.1455083904,24.6456,91.6867,-68.1455083904,1.74439e-32,3.45306e-05,500,-68.1455083904,1333.21626567,5.45335371351,8.38758,99.64,607.32,52.0000030595,0.002,1333.21626567,1,7.31561e-29,0.0192308,80.6498
100,1.0,-67.8123,-67.8123,-67.8123171087,36.1825,1.0,-67.8123171087,0.01,3.50449e-18,500,-67.8123171087,1322.39465686,500.0,1.0,99.33,,100.0,0.01,1322.39465686,2,1.0,0.01,1.0
100,1.0,-71.0966,-71.0966,-74.3808688231,50.203,1.0,-74.3808688231,0.005,2.1793e-19,500,-74.3808688231,3747.41473965,500.0,1.0,106.21,,200.000000102,0.005,3747.41473965,2,1.0,0.005,1.0
100,1.0,-69.6271,-69.6271,-66.6881466374,46.0483,1.0,-66.6881466374,0.00333333,5.43914e-20,500,-66.6881466374,1320.89488603,500.0,1.0,97.17,,299.999969474,0.00333333,1320.89488603,2,1.0,0.00333333,1.0
100,1.0,-70.0963,-70.0963,-71.5039655222,47.0645,1.0,-71.5039655222,0.0025,5.4346e-20,500,-71.5039655222,2521.52315767,500.0,1.0,103.09,,400.0,0.0025,2521.52315767,2,1.0,0.0025,1.0
100,1.0,-69.2039,-69.2039,-65.634395169,42.3213,1.0,-65.634395169,0.002,5.43187e-20,500,-65.634395169,80.0664713112,500.0,1.0,97.18,,500.000006643,0.002,80.0664713112,1,1.0,0.002,1.0
100,1.0,-75.7973,-75.7973,-75.7972881585,60.6092,1.0,-75.7972881585,0.01,3.50449e-18,500,-75.7972881585,3710.58547358,500.0,1.0,108.49,,100.0,0.01,3710.58547358,2,1.0,0.01,1.0
100,1.0,-75.4481,-75.4481,-75.0989703754,60.6711,1.0,-75.0989703754,0.005,2.1793e-19,500,-75.0989703754,3725.50125294,500.0,1.0,107.58,,200.000000102,0.005,3725.50125294,2,1.0,0.005,1.0
100,1.0,-76.4799,-76.4799,-78.543336167,63.789,1.0,-78.543336167,0.00333333,5.43914e-20,500,-78.543336167,4887.62256204,500.0,1.0,111.53,,299.999969474,0.00333333,4887.62256204,2,1.0,0.00333333,1.0
100,1.0,-74.848,-74.848,-69.9524862054,60.751,1.0,-69.9524862054,0.0025,5.4346e-20,500,-69.9524862054,2549.16856721,500.0,1.0,101.12,,400.0,0.0025,2549.16856721,2,1.0,0.0025,1.0
100,1.0,-58.575,-58.575,-66.0669678831,68.7314,8.68905,-66.0669678831,8.65105e-05,0.000913526,500,-66.0669678831,1343.18667223,57.5436918959,16.3745,96.48,61234.8,2.18412691494,0.002,1343.18667223,1,0.708284,0.478459,3917.27
100,1.0,-62.8698,-62.8698,-62.8698115708,8.04642,1.0,-62.8698115708,0.01,3.50449e-18,500,-62.8698115708,65.3987997978,500.0,1.0,92.72,,100.0,0.01,65.3987997978,2,1.0,0.01,1.0
