VarVanillaIw,Bound,MinNormIw,AvgDiscRet,AvgRet,VarNormIw,AvgVanillaIw,MaxVanillaIw,VanillaAvgRet,J,ESSRenyi,AvgNormIw,VarJ,Delta,ESSClassic,eRenyi2,IterType,MinVanillaIw,EpsThisIter,VarRet,VarDiscRet,AvgEpLen,MaxNormIw,BatchSize
120.46,753.722,3.21461e-06,905.543485897,905.543485897,0.000839548,1.89395,153.911,905.543485897,1443.92,41.9915192089,0.005,2953.82,0.2,5.8115846204,4.76287,1,0.00121767,100,107473.935989,107473.935989,97.83,0.406324,200
,505.601,0.01,982.137263309,982.137263309,3.50449e-18,1.0,1.0,982.137263309,982.137,200.0,0.01,451.263,0.2,100.0,1.0,2,1.0,100,205695.05121,205695.05121,106.26,0.01,200
236.57,1092.11,3.47545e-05,1078.7351838,1078.7351838,0.00155236,1.95188,217.851,1078.7351838,1867.72,54.4761180643,0.005,5005.13,0.2,3.18552031816,3.67133,1,0.0135673,100,161153.036157,161153.036157,116.76,0.558053,200
,301.559,0.01,1112.39738457,1112.39738457,3.50449e-18,1.0,1.0,1112.39738457,1112.4,200.0,0.01,484.782,0.2,100.0,1.0,2,1.0,100,237387.134578,237387.134578,120.52,0.01,200
53.1232,920.934,5.53162e-07,1106.45286343,1106.45286343,0.000632023,1.44959,101.773,1106.45286343,2269.09,36.1733039667,0.005,8936.2,0.2,7.6468696673,5.52894,1,0.000160372,100,184087.044171,184087.044171,119.91,0.35104,200
,481.991,0.01,1413.35786403,1413.35786403,3.50449e-18,1.0,1.0,1413.35786403,1413.36,200.0,0.01,758.904,0.2,100.0,1.0,2,1.0,100,581752.23075,581752.23075,153.26,0.01,200
146.14,1650.95,2.67773e-06,1358.95233036,1358.95233036,0.00116063,1.77422,170.055,1358.95233036,3253.83,33.7629030708,0.005,8657.63,0.2,4.23790407736,5.92366,1,0.000950177,100,381237.709361,381237.709361,147.44,0.479239,200
,710.443,0.01,1639.17761806,1639.17761806,3.50449e-18,1.0,1.0,1639.17761806,1639.18,200.0,0.01,772.428,0.2,100.0,1.0,2,1.0,100,602671.192946,602671.192946,178.07,0.01,200
179.493,1872.88,2.61282e-08,1799.1567508,1799.1567508,0.00134113,1.82919,188.409,1799.1567508,3598.89,29.0989195121,0.005,7771.57,0.2,3.67802910042,6.87311,1,9.55869e-06,100,687927.138982,687927.138982,195.38,0.515008,200
,1348.43,0.01,2282.19598754,2282.19598754,3.50449e-18,1.0,1.0,2282.19598754,2282.2,200.0,0.01,1054.6,0.2,100.0,1.0,2,1.0,100,1123425.95812,1123425.95812,247.98,0.01,200
54.7206,2484.08,2.11238e-08,2403.75529489,2403.75529489,0.000607334,1.50083,100.452,2403.75529489,3961.06,39.9694218919,0.005,3538.29,0.2,7.94537646791,5.00383,1,6.34064e-06,100,1243460.29163,1243460.29163,262.24,0.334656,200
,2294.59,0.01,3229.81731151,3229.81731151,3.50449e-18,1.0,1.0,3229.81731151,3229.82,200.0,0.01,1102.33,0.2,100.0,1.0,2,1.0,100,1227410.43913,1227410.43913,350.75,0.01,200
23.0903,2955.77,4.51357e-06,3216.49104479,3216.49104479,0.000377709,1.23625,67.0904,3216.49104479,4025.23,76.4720602302,0.005,2076.93,0.2,12.4744266159,2.61533,1,0.00111598,100,1173071.92245,1173071.92245,350.52,0.271347,200
,2847.94,0.01,3780.16865105,3780.16865105,3.50449e-18,1.0,1.0,3780.16865105,3780.17,200.0,0.01,939.23,0.2,100.0,1.0,2,1.0,100,891063.114531,891063.114531,411.45,0.01,200
0.708497,3307.77,0.000254989,3758.41022121,3758.41022121,1.54217e-05,1.0717,4.51894,3758.41022121,4132.46,128.18052769,0.005,756.585,0.2,123.932349501,1.5603,1,0.0546543,100,967044.669396,967044.669396,409.1,0.0210831,200
,2910.31,0.01,3844.52205435,3844.52205435,3.50449e-18,1.0,1.0,3844.52205435,3844.52,200.0,0.01,959.082,0.2,100.0,1.0,2,1.0,100,929129.650997,929129.650997,416.92,0.01,200
0.611842,3419.31,3.77712e-06,4024.68025237,4024.68025237,1.38652e-05,1.05033,3.49832,4024.68025237,4224.23,134.717530036,0.005,772.706,0.2,128.879616728,1.48459,1,0.000793446,100,816508.231562,816508.231562,436.99,0.0166534,200
,3310.99,0.01,4244.17350404,4244.17350404,3.50449e-18,1.0,1.0,4244.17350404,4244.17,200.0,0.01,715.213,0.2,100.0,1.0,2,1.0,100,516696.228399,516696.228399,460.84,0.01,200
0.0925642,3583.68,0.00191138,4190.05826559,4190.05826559,2.23119e-06,1.01841,2.31802,4190.05826559,4272.09,184.505214677,0.005,643.685,0.2,183.688169571,1.08398,1,0.389314,100,550064.943805,550064.943805,454.65,0.0113806,200
,3189.72,0.01,4123.06795541,4123.06795541,3.50449e-18,1.0,1.0,4123.06795541,4123.07,200.0,0.01,758.794,0.2,100.0,1.0,2,1.0,100,581583.468578,581583.468578,447.37,0.01,200
0.261178,3599.61,0.000284719,4215.0492182,4215.0492182,6.39779e-06,1.01024,2.7732,4215.0492182,4331.25,162.911278438,0.005,595.667,0.2,159.409238954,1.22766,1,0.0575268,100,637277.684205,637277.684205,456.96,0.0137255,200
,3342.06,0.01,4275.51022539,4275.51022539,3.50449e-18,1.0,1.0,4275.51022539,4275.51,200.0,0.01,643.448,0.2,100.0,1.0,2,1.0,100,418206.963253,418206.963253,463.99,0.01,200
0.188465,3662.39,0.000543316,4259.57294174,4259.57294174,4.64198e-06,1.00748,2.09392,4259.57294174,4375.06,171.965592564,0.005,533.806,0.2,168.811911189,1.16302,1,0.109475,100,586891.878467,586891.878467,461.99,0.0103919,200
,3425.01,0.01,4358.83871114,4358.83871114,3.50449e-18,1.0,1.0,4358.83871114,4358.84,200.0,0.01,656.113,0.2,100.0,1.0,2,1.0,100,434832.534718,434832.534718,471.56,0.01,200
0.155873,3765.21,0.000505081,4384.73443481,4384.73443481,3.81249e-06,1.011,2.29008,4384.73443481,4463.9,178.695322593,0.005,434.904,0.2,173.650692042,1.11922,1,0.102127,100,308089.711006,308089.711006,475.05,0.0113258,200
,3299.59,0.01,4234.12728982,4234.12728982,3.50449e-18,1.0,1.0,4234.12728982,4234.13,200.0,0.01,684.946,0.2,100.0,1.0,2,1.0,100,473890.249549,473890.249549,459.26,0.01,200
0.163525,3706.21,0.000490661,4378.49302672,4378.49302672,4.08341e-06,1.00058,2.12418,4378.49302672,4410.62,176.011504963,0.005,472.985,0.2,172.040086033,1.13629,1,0.0981886,100,365632.233686,365632.233686,474.7,0.0106148,200
,3517.64,0.01,4451.77907932,4451.77907932,3.50449e-18,1.0,1.0,4451.77907932,4451.78,200.0,0.01,468.792,0.2,100.0,1.0,2,1.0,100,221986.229505,221986.229505,481.63,0.01,200
0.0917063,3785.11,0.00127825,4364.10539412,4364.10539412,2.28667e-06,1.00131,1.79403,4364.10539412,4476.52,182.53858209,0.005,403.368,0.2,183.316398923,1.09566,1,0.255985,100,373404.606661,373404.606661,472.48,0.00895845,200
,3508.87,0.01,4442.79985365,4442.79985365,3.50449e-18,1.0,1.0,4442.79985365,4442.8,200.0,0.01,479.454,0.2,100.0,1.0,2,1.0,100,232197.976347,232197.976347,480.13,0.01,200
0.0586219,3794.59,0.00126074,4424.68723777,4424.68723777,1.51003e-06,0.985162,1.69631,4424.68723777,4474.71,188.602261309,0.005,388.916,0.2,188.661616723,1.06043,1,0.248407,100,255559.187924,255559.187924,478.64,0.00860931,200
,3516.47,0.01,4450.6772016,4450.6772016,3.50449e-18,1.0,1.0,4450.6772016,4450.68,200.0,0.01,472.553,0.2,100.0,1.0,2,1.0,100,225562.13452,225562.13452,481.58,0.01,200
0.072894,3802.91,0.000898807,4422.01615122,4422.01615122,1.92018e-06,0.974192,1.72835,4422.01615122,4483.7,188.302963974,0.005,401.289,0.2,185.800438789,1.06212,1,0.175122,100,305394.572934,305394.572934,478.39,0.00887069,200
,3542.92,0.01,4477.28589314,4477.28589314,3.50449e-18,1.0,1.0,4477.28589314,4477.29,200.0,0.01,462.739,0.2,100.0,1.0,2,1.0,100,216290.104482,216290.104482,484.09,0.01,200
0.093722,3833.48,0.0015088,4434.3959468,4434.3959468,2.49325e-06,0.969411,1.76738,4434.3959468,4524.23,182.976880012,0.005,302.405,0.2,181.945329829,1.09303,1,0.29253,100,248104.744053,248104.744053,479.48,0.00911573,200
,3615.83,0.01,4549.78231791,4549.78231791,3.50449e-18,1.0,1.0,4549.78231791,4549.78,200.0,0.01,277.369,0.2,100.0,1.0,2,1.0,100,77710.7412391,77710.7412391,492.07,0.01,200
0.0313805,3864.28,0.00255932,4479.11147156,4479.11147156,7.97911e-07,0.991568,1.37233,4479.11147156,4533.23,194.924793947,0.005,333.753,0.2,193.844132188,1.02604,1,0.507549,100,213400.830961,213400.830961,484.57,0.00692001,200
,3616.53,0.01,4550.92016457,4550.92016457,3.50449e-18,1.0,1.0,4550.92016457,4550.92,200.0,0.01,305.648,0.2,100.0,1.0,2,1.0,100,94364.5510412,94364.5510412,492.22,0.01,200
0.0222287,3892.68,0.00290373,4542.63997023,4542.63997023,5.59014e-07,0.997047,1.40039,4542.63997023,4559.53,196.340049519,0.005,246.139,0.2,195.647111814,1.01864,1,0.579031,100,72602.8495666,72602.8495666,490.9,0.00702271,200
,3614.6,0.01,4548.98465614,4548.98465614,3.50449e-18,1.0,1.0,4548.98465614,4548.98,200.0,0.01,349.691,0.2,100.0,1.0,2,1.0,100,123519.143946,123519.143946,491.37,0.01,200
0.0462785,3898.17,0.00140084,4533.32389889,4533.32389889,1.16854e-06,0.995034,1.42957,4533.32389889,4571.87,192.367079866,0.005,238.822,0.2,191.111807356,1.03968,1,0.278776,100,110757.036715,110757.036715,489.18,0.00718352,200
,3608.82,0.01,4542.1417995,4542.1417995,3.50449e-18,1.0,1.0,4542.1417995,4542.14,200.0,0.01,355.935,0.2,100.0,1.0,2,1.0,100,127969.676531,127969.676531,491.67,0.01,200
0.0631035,3871.94,0.000684333,4457.18381855,4457.18381855,1.56945e-06,1.00259,1.56787,4457.18381855,4552.42,188.388026954,0.005,261.772,0.2,188.241649743,1.06164,1,0.137221,100,248152.331807,248152.331807,482.6,0.00781913,200
,3632.23,0.01,4565.66149426,4565.66149426,3.50449e-18,1.0,1.0,4565.66149426,4565.66,200.0,0.01,309.974,0.2,100.0,1.0,2,1.0,100,97054.3904731,97054.3904731,493.37,0.01,200
0.0279185,3882.73,0.00213056,4496.40808495,4496.40808495,6.87399e-07,1.00766,1.31871,4496.40808495,4551.82,194.6267604,0.005,291.42,0.2,194.674025778,1.02761,1,0.429373,100,185313.030098,185313.030098,486.27,0.00654347,200
,3621.09,0.01,4554.6581089,4554.6581089,3.50449e-18,1.0,1.0,4554.6581089,4554.66,200.0,0.01,279.121,0.2,100.0,1.0,2,1.0,100,78695.2877311,78695.2877311,492.83,0.01,200
0.00960025,3909.35,0.00263476,4577.85039176,4577.85039176,2.43426e-07,0.992952,1.26154,4577.85039176,4572.89,198.283206514,0.005,225.673,0.2,198.080864575,1.00866,1,0.523238,100,52412.8166944,52412.8166944,494.89,0.00635246,200
,3599.52,0.01,4532.95567282,4532.95567282,3.50449e-18,1.0,1.0,4532.95567282,4532.96,200.0,0.01,356.961,0.2,100.0,1.0,2,1.0,100,128707.953942,128707.953942,490.2,0.01,200
0.0342307,3903.69,0.00260887,4570.5985692,4570.5985692,8.74102e-07,0.989457,1.61021,4570.5985692,4574.42,193.984398893,0.005,226.328,0.2,193.276046646,1.03101,1,0.516273,100,73373.5659897,73373.5659897,493.67,0.00813683,200
,3624.9,0.01,4558.49568087,4558.49568087,3.50449e-18,1.0,1.0,4558.49568087,4558.5,200.0,0.01,359.737,0.2,100.0,1.0,2,1.0,100,130717.883619,130717.883619,492.55,0.01,200
0.0384562,3905.47,0.00187352,4543.74955262,4543.74955262,9.44127e-07,1.00911,1.38823,4543.74955262,4575.65,194.249335037,0.005,240.896,0.2,192.756923121,1.0296,1,0.378116,100,104033.024135,104033.024135,491.46,0.00687848,200
,3605.66,0.01,4539.16668659,4539.16668659,3.50449e-18,1.0,1.0,4539.16668659,4539.17,200.0,0.01,341.738,0.2,100.0,1.0,2,1.0,100,117964.815657,117964.815657,490.84,0.01,200
0.0330578,3919.7,0.00222858,4596.67268413,4596.67268413,7.91951e-07,1.02155,1.59912,4596.67268413,4589.33,194.608564244,0.005,196.676,0.2,193.888727298,1.0277,1,0.45532,100,43775.3826636,43775.3826636,496.26,0.00782698,200
,3671.85,0.01,4605.94910039,4605.94910039,3.50449e-18,1.0,1.0,4605.94910039,4605.95,200.0,0.01,171.602,0.2,100.0,1.0,2,1.0,100,29744.5886694,29744.5886694,497.38,0.01,200
0.0313148,3925.63,0.00212548,4545.33942093,4545.33942093,8.04238e-07,0.986625,1.33319,4545.33942093,4593.71,195.491347315,0.005,174.034,0.2,193.796784027,1.02306,1,0.41941,100,109141.905005,109141.905005,491.2,0.0067563,200
,3647.72,0.01,4581.63618994,4581.63618994,3.50449e-18,1.0,1.0,4581.63618994,4581.64,200.0,0.01,240.933,0.2,100.0,1.0,2,1.0,100,58634.8879601,58634.8879601,494.94,0.01,200
0.0211078,3913.36,0.00225333,4547.30315707,4547.30315707,5.31398e-07,0.99651,1.33186,4547.30315707,4581.0,195.694382429,0.005,241.779,0.2,195.857651973,1.022,1,0.449092,100,165081.592772,165081.592772,491.08,0.00668262,200
,3647.26,0.01,4581.24318756,4581.24318756,3.50449e-18,1.0,1.0,4581.24318756,4581.24,200.0,0.01,233.378,0.2,100.0,1.0,2,1.0,100,55015.361651,55015.361651,494.82,0.01,200
0.0277528,3923.75,0.00220655,4569.66219353,4569.66219353,7.24127e-07,0.97885,1.3465,4569.66219353,4591.52,195.6253114,0.005,196.139,0.2,194.397308437,1.02236,1,0.431976,100,90299.4518441,90299.4518441,494.08,0.00687797,200
,3660.52,0.01,4594.42543012,4594.42543012,3.50449e-18,1.0,1.0,4594.42543012,4594.43,200.0,0.01,212.09,0.2,100.0,1.0,2,1.0,100,45436.493975,45436.493975,496.53,0.01,200
0.0144283,3935.32,0.0027067,4586.95005083,4586.95005083,3.62424e-07,0.997631,1.28692,4586.95005083,4599.88,197.485770249,0.005,179.974,0.2,197.156180039,1.01273,1,0.540058,100,56418.4832025,56418.4832025,495.77,0.00644986,200
,3661.12,0.01,4594.71351473,4594.71351473,3.50449e-18,1.0,1.0,4594.71351473,4594.71,200.0,0.01,184.7,0.2,100.0,1.0,2,1.0,100,34458.8186065,34458.8186065,496.42,0.01,200
0.0163061,3934.68,0.00266909,4584.33515074,4584.33515074,3.99629e-07,1.00999,1.23537,4584.33515074,4599.33,197.303061692,0.005,152.743,0.2,196.868684438,1.01367,1,0.539151,100,41985.9547538,41985.9547538,495.16,0.00611576,200
,3579.52,0.01,4512.9217802,4512.9217802,3.50449e-18,1.0,1.0,4512.9217802,4512.92,200.0,0.01,470.39,0.2,100.0,1.0,2,1.0,100,223501.373117,223501.373117,487.61,0.01,200
0.0488677,3895.07,0.00182634,4557.13026109,4557.13026109,1.20587e-06,1.00654,1.60128,4557.13026109,4569.06,191.943949473,0.005,273.96,0.2,190.840916978,1.04197,1,0.367657,100,130432.073879,130432.073879,492.05,0.0079544,200
,3632.73,0.01,4566.45667127,4566.45667127,3.50449e-18,1.0,1.0,4566.45667127,4566.46,200.0,0.01,278.663,0.2,100.0,1.0,2,1.0,100,78437.6443894,78437.6443894,493.51,0.01,200
0.013208,3933.84,0.00327538,4612.76625225,4612.76625225,3.33486e-07,0.995061,1.45016,4612.76625225,4597.88,197.752461472,0.005,173.254,0.2,197.380246182,1.01137,1,0.651841,100,14011.8395902,14011.8395902,498.37,0.00728676,200
,3601.66,0.01,4535.60538087,4535.60538087,3.50449e-18,1.0,1.0,4535.60538087,4535.6,200.0,0.01,315.412,0.2,100.0,1.0,2,1.0,100,100489.550322,100489.550322,490.79,0.01,200
0.0244445,3919.89,0.00216687,4606.08445505,4606.08445505,6.2776e-07,0.986651,1.34226,4606.08445505,4587.45,195.731802001,0.005,185.817,0.2,195.124777516,1.02181,1,0.42759,100,27388.5927359,27388.5927359,497.23,0.00680212,200
,3684.16,0.01,4618.17195793,4618.17195793,3.50449e-18,1.0,1.0,4618.17195793,4618.17,200.0,0.01,141.001,0.2,100.0,1.0,2,1.0,100,20082.1992039,20082.1992039,498.64,0.01,200
0.00578059,3960.83,0.00296753,4619.34554178,4619.34554178,1.42672e-07,1.00644,1.10953,4619.34554178,4623.03,198.940365971,0.005,79.079,0.2,198.87078727,1.00533,1,0.597327,100,7827.14719981,7827.14719981,499.26,0.00551217,200
,3652.44,0.01,4586.16362204,4586.16362204,3.50449e-18,1.0,1.0,4586.16362204,4586.16,200.0,0.01,205.183,0.2,100.0,1.0,2,1.0,100,42525.1873076,42525.1873076,495.6,0.01,200
0.0204548,3932.16,0.00198965,4584.6635925,4584.6635925,5.02328e-07,1.00896,1.39611,4584.6635925,4598.17,196.626372277,0.005,165.224,0.2,196.079871555,1.01716,1,0.401496,100,52539.0879672,52539.0879672,495.55,0.00691857,200
,3648.06,0.01,4581.58018896,4581.58018896,3.50449e-18,1.0,1.0,4581.58018896,4581.58,200.0,0.01,296.226,0.2,100.0,1.0,2,1.0,100,88636.2147205,88636.2147205,494.39,0.01,200
0.0317974,3920.26,0.00207492,4559.65512667,4559.65512667,8.35892e-07,0.975193,1.37014,4559.65512667,4589.08,195.038798585,0.005,213.976,0.2,193.560512686,1.02544,1,0.404689,100,94999.8763562,94999.8763562,492.6,0.00702499,200
,3683.29,0.01,4617.07223755,4617.07223755,3.50449e-18,1.0,1.0,4617.07223755,4617.07,200.0,0.01,144.968,0.2,100.0,1.0,2,1.0,100,21228.137438,21228.137438,498.3,0.01,200
0.00691071,3953.72,0.00294394,4606.55978803,4606.55978803,1.70917e-07,1.0054,1.14852,4606.55978803,4616.11,198.789434496,0.005,129.432,0.2,198.648720754,1.00609,1,0.591967,100,31533.9698555,31533.9698555,496.96,0.00571175,200
,3662.59,0.01,4596.63856572,4596.63856572,3.50449e-18,1.0,1.0,4596.63856572,4596.64,200.0,0.01,233.185,0.2,100.0,1.0,2,1.0,100,54924.6974233,54924.6974233,495.98,0.01,200
0.0132424,3949.56,0.00243552,4610.61074403,4610.61074403,3.21563e-07,1.01466,1.30934,4610.61074403,4614.43,197.359275837,0.005,154.829,0.2,197.472679494,1.01338,1,0.494245,100,52424.1531037,52424.1531037,497.44,0.00645213,200
,3694.81,0.01,4628.79817206,4628.79817206,3.50449e-18,1.0,1.0,4628.79817206,4628.8,200.0,0.01,39.2034,0.2,100.0,1.0,2,1.0,100,1552.42534513,1552.42534513,500.0,0.01,200
0.0074712,3956.07,0.00335839,4599.02236475,4599.02236475,1.85988e-07,1.00213,1.1947,4599.02236475,4618.76,198.636709301,0.005,115.3,0.2,198.530345239,1.00686,1,0.673106,100,43732.6380115,43732.6380115,496.46,0.00596083,200
,3645.07,0.01,4578.89804452,4578.89804452,3.50449e-18,1.0,1.0,4578.89804452,4578.9,200.0,0.01,244.491,0.2,100.0,1.0,2,1.0,100,60379.7621429,60379.7621429,494.82,0.01,200
0.0205713,3933.97,0.00257582,4594.33858766,4594.33858766,5.13203e-07,1.00105,1.35508,4594.33858766,4600.15,196.492414872,0.005,157.139,0.2,195.99670623,1.01785,1,0.515705,100,41177.7358158,41177.7358158,496.08,0.00676829,200
,3668.17,0.01,4601.95115419,4601.95115419,3.50449e-18,1.0,1.0,4601.95115419,4601.95,200.0,0.01,173.209,0.2,100.0,1.0,2,1.0,100,30304.4917138,30304.4917138,497.07,0.01,200
0.00751595,3957.19,0.00304168,4628.12485377,4628.12485377,1.87091e-07,1.00216,1.15536,4628.12485377,4619.8,198.705640754,0.005,105.43,0.2,198.521607013,1.00651,1,0.609647,100,8621.27487929,8621.27487929,499.18,0.00576437,200
,3694.56,0.01,4628.5009632,4628.5009632,3.50449e-18,1.0,1.0,4628.5009632,4628.5,200.0,0.01,54.2156,0.2,100.0,1.0,2,1.0,100,2969.02018023,2969.02018023,499.61,0.01,200
0.00210657,3957.99,0.00414531,4606.91552625,4606.91552625,5.27417e-08,0.999266,1.09059,4606.91552625,4619.23,199.557071553,0.005,107.535,0.2,199.581052157,1.00222,1,0.828453,100,24313.3508769,24313.3508769,497.18,0.00545695,200
,3678.0,0.01,4611.47425523,4611.47425523,3.50449e-18,1.0,1.0,4611.47425523,4611.47,200.0,0.01,152.258,0.2,100.0,1.0,2,1.0,100,23416.7831752,23416.7831752,498.09,0.01,200
0.00416895,3958.32,0.00359934,4622.84045427,4622.84045427,1.04053e-07,1.00082,1.11698,4622.84045427,4620.14,199.178909556,0.005,88.8162,0.2,199.175213532,1.00412,1,0.720457,100,3509.5607886,3509.5607886,499.39,0.00558031,200
,3682.87,0.01,4616.57967655,4616.57967655,3.50449e-18,1.0,1.0,4616.57967655,4616.58,200.0,0.01,110.251,0.2,100.0,1.0,2,1.0,100,12278.0079206,12278.0079206,498.68,0.01,200
0.00228215,3964.54,0.00406735,4631.99106146,4631.99106146,5.74598e-08,0.996461,1.09378,4631.99106146,4625.72,199.587316275,0.005,89.6632,0.2,199.543675686,1.00207,1,0.810592,100,7461.5480658,7461.5480658,499.14,0.0054883,200
,3694.56,0.01,4628.39227555,4628.39227555,3.50449e-18,1.0,1.0,4628.39227555,4628.39,200.0,0.01,52.2426,0.2,100.0,1.0,2,1.0,100,2756.85387242,2756.85387242,499.46,0.01,200
0.000369964,3968.72,0.00472115,4629.40512727,4629.40512727,9.25102e-09,0.999897,1.05261,4629.40512727,4629.17,199.924759571,0.005,44.2103,0.2,199.926450985,1.00038,1,0.944133,100,1394.38657552,1394.38657552,500.0,0.00526359,200
,3689.09,0.01,4622.869907,4622.869907,3.50449e-18,1.0,1.0,4622.869907,4622.87,200.0,0.01,141.682,0.2,100.0,1.0,2,1.0,100,20276.5824199,20276.5824199,498.26,0.01,200
0.00707771,3965.42,0.00361336,4624.53032346,4624.53032346,1.76724e-07,1.00062,1.40388,4624.53032346,4627.35,199.002379529,0.005,117.926,0.2,198.603071414,1.00501,1,0.72312,100,25269.9829323,25269.9829323,498.31,0.00701506,200
,3684.26,0.01,4618.08521278,4618.08521278,3.50449e-18,1.0,1.0,4618.08521278,4618.09,200.0,0.01,122.813,0.2,100.0,1.0,2,1.0,100,15235.3921394,15235.3921394,498.54,0.01,200
0.0123953,3959.95,0.00218405,4614.17323644,4614.17323644,3.19157e-07,0.985364,1.17378,4614.17323644,4623.65,198.214895639,0.005,107.69,0.2,197.491360309,1.00901,1,0.430418,100,35922.1783962,35922.1783962,497.21,0.00595606,200
,3672.14,0.01,4605.80906787,4605.80906787,3.50449e-18,1.0,1.0,4605.80906787,4605.81,200.0,0.01,164.063,0.2,100.0,1.0,2,1.0,100,27188.461989,27188.461989,497.08,0.01,200
0.00703963,3961.62,0.00244563,4632.5856173,4632.5856173,1.76114e-07,0.999648,1.18912,4632.5856173,4623.78,198.823664511,0.005,90.0038,0.2,198.60793344,1.00592,1,0.488953,100,1091.84615323,1091.84615323,500.0,0.00594768,200
