AvgEpLen,Bound,VarRet,VarDiscRet,VarJ,BatchSize,MaxNormIw,ESSClassic,MinNormIw,VanillaAvgRet,IterType,Delta,MinVanillaIw,VarNormIw,VarVanillaIw,AvgDiscRet,J,AvgNormIw,AvgRet,eRenyi2,EpsThisIter,AvgVanillaIw,MaxVanillaIw,ESSRenyi
500.0,-560.6,1866.33671346,1866.33671346,42.8788,200,0.0090989,178.320122724,0.000459801,-533.242286746,1,0.7,0.0924195,3.05474e-06,0.123413,-533.242286746,-527.21,0.005,-533.242286746,1.14794,100,1.00499,1.82887,174.225851411
500.0,-581.884,1785.27137292,1785.27137292,42.0407,200,0.01,100.0,0.01,-539.027912017,2,0.7,1.0,3.50449e-18,,-539.027912017,-539.028,0.01,-539.027912017,1.0,100,1.0,1.0,200.0
500.0,-564.876,1568.49873337,1568.49873337,46.5631,200,0.0128467,168.076265053,0.000927674,-535.583772209,1,0.7,0.196969,4.77226e-06,0.215143,-535.583772209,-531.48,0.005,-535.583772209,1.21444,100,1.06163,2.72767,164.68437733
500.0,-569.821,1857.28514499,1857.28514499,42.8802,200,0.01,100.0,0.01,-527.36395741,2,0.7,1.0,3.50449e-18,,-527.36395741,-527.364,0.01,-527.36395741,1.0,100,1.0,1.0,200.0
500.0,-554.865,2071.86298333,2071.86298333,43.6345,200,0.013541,158.113779092,0.000160799,-529.870766546,1,0.7,0.0322041,6.65607e-06,0.266976,-529.870766546,-521.589,0.005,-529.870766546,1.22853,100,1.00137,2.71193,162.79616498
500.0,-559.665,1437.27120465,1437.27120465,37.7213,200,0.01,100.0,0.01,-518.935886355,2,0.7,1.0,3.50449e-18,,-518.935886355,-518.936,0.01,-518.935886355,1.0,100,1.0,1.0,200.0
500.0,-546.723,1667.66435589,1667.66435589,46.2314,200,0.0124884,146.082344553,0.000137768,-523.877432407,1,0.7,0.0281421,9.27365e-06,0.386964,-523.877432407,-513.762,0.005,-523.877432407,1.30983,100,1.02136,2.55104,152.691312416
500.0,-556.357,1886.71258296,1886.71258296,43.2186,200,0.01,100.0,0.01,-515.479762069,2,0.7,1.0,3.50449e-18,,-515.479762069,-515.48,0.01,-515.479762069,1.0,100,1.0,1.0,200.0
500.0,-547.039,1926.58101768,1926.58101768,43.1708,200,0.00980088,171.778286682,0.000387269,-525.594442073,1,0.7,0.0768367,4.12793e-06,0.162497,-525.594442073,-515.815,0.005,-525.594442073,1.15116,100,0.992033,1.94456,173.738244445
500.0,-558.609,1707.34819425,1707.34819425,41.113,200,0.01,100.0,0.01,-518.426683952,2,0.7,1.0,3.50449e-18,,-518.426683952,-518.427,0.01,-518.426683952,1.0,100,1.0,1.0,200.0
500.0,-547.424,2097.78360983,2097.78360983,45.1436,200,0.00964153,179.244579303,0.000485012,-519.866398621,1,0.7,0.0954382,2.90939e-06,0.112653,-519.866398621,-515.229,0.005,-519.866398621,1.13207,100,0.983876,1.89721,176.668068592
500.0,-566.712,1554.29013192,1554.29013192,39.2269,200,0.01,100.0,0.01,-526.454844478,2,0.7,1.0,3.50449e-18,,-526.454844478,-526.455,0.01,-526.454844478,1.0,100,1.0,1.0,200.0
500.0,-545.375,2147.70147119,2147.70147119,54.3523,200,0.0166372,127.62059941,8.63814e-08,-517.715136343,1,0.7,1.63946e-05,1.42499e-05,0.513299,-517.715136343,-509.412,0.005,-517.715136343,1.56616,100,0.948963,3.15762,127.701148603
500.0,-557.194,2141.91495014,2141.91495014,46.0488,200,0.01,100.0,0.01,-512.136009555,2,0.7,1.0,3.50449e-18,,-512.136009555,-512.136,0.01,-512.136009555,1.0,100,1.0,1.0,200.0
500.0,-535.07,1494.48978355,1494.48978355,91.6597,200,0.137934,20.2800616673,6.42086e-15,-517.182436859,1,0.7,5.83527e-13,0.000222661,1.83899,-517.182436859,-503.209,0.005,-517.182436859,1.0,100,0.4544,12.5355,199.999713898
500.0,-652.066,22972.2012931,22972.2012931,150.806,200,0.01,100.0,0.01,-523.675911957,2,0.7,1.0,3.50449e-18,,-523.675911957,-523.676,0.01,-523.675911957,1.0,100,1.0,1.0,200.0
500.0,-608.279,2739.57052604,2739.57052604,85.3085,200,0.00776966,184.346770949,0.00116185,-515.843589068,1,0.7,0.225031,2.13346e-06,0.0800331,-515.843589068,-514.673,0.005,-515.843589068,1.06308,100,0.968418,1.50486,188.132245499
500.0,-578.561,3186.33388217,3186.33388217,56.1647,200,0.01,100.0,0.01,-525.156935281,2,0.7,1.0,3.50449e-18,,-525.156935281,-525.157,0.01,-525.156935281,1.0,100,1.0,1.0,200.0
500.0,-556.514,1866.0639409,1866.0639409,52.4854,200,0.0117057,170.216563667,0.00123477,-518.055972659,1,0.7,0.243043,4.39634e-06,0.170328,-518.055972659,-515.56,0.005,-518.055972659,1.17617,100,0.984164,2.30406,170.043188813
500.0,-556.86,2145.50579122,2145.50579122,46.0874,200,0.01,100.0,0.01,-511.978005598,2,0.7,1.0,3.50449e-18,,-511.978005598,-511.978,0.01,-511.978005598,1.0,100,1.0,1.0,200.0
500.0,-539.284,2159.34603574,2159.34603574,54.9658,200,0.0162317,155.476700381,0.000630694,-509.924183149,1,0.7,0.130939,7.19514e-06,0.310128,-509.924183149,-503.994,0.005,-509.924183149,1.23649,100,1.03806,3.36988,161.748203988
500.0,-556.387,2403.48590378,2403.48590378,48.7796,200,0.01,100.0,0.01,-511.333267535,2,0.7,1.0,3.50449e-18,,-511.333267535,-511.333,0.01,-511.333267535,1.0,100,1.0,1.0,200.0
500.0,-540.812,2333.13606913,2333.13606913,52.4734,200,0.0117244,167.12307677,0.000372669,-511.346754814,1,0.7,0.073934,4.9428e-06,0.194543,-511.346754814,-506.313,0.005,-511.346754814,1.17268,100,0.991954,2.32601,170.549455554
500.0,-550.215,2028.29319359,2028.29319359,44.8108,200,0.01,100.0,0.01,-509.352076173,2,0.7,1.0,3.50449e-18,,-509.352076173,-509.352,0.01,-509.352076173,1.0,100,1.0,1.0,200.0
500.0,-534.202,1646.8977373,1646.8977373,48.4705,200,0.0153899,151.962871947,0.000117564,-507.666418192,1,0.7,0.0243276,7.94248e-06,0.340102,-507.666418192,-501.295,0.005,-507.666418192,1.29702,100,1.03466,3.18466,154.199645944
500.0,-539.453,1755.48812479,1755.48812479,41.6885,200,0.01,100.0,0.01,-500.073655641,2,0.7,1.0,3.50449e-18,,-500.073655641,-500.074,0.01,-500.073655641,1.0,100,1.0,1.0,200.0
500.0,-529.57,1725.32041679,1725.32041679,42.1444,200,0.00880178,178.526313089,0.000327909,-507.158856514,1,0.7,0.0660434,3.02219e-06,0.122596,-507.158856514,-499.584,0.005,-507.158856514,1.11815,100,1.00704,1.77275,178.867527363
500.0,-543.315,2046.66734661,2046.66734661,45.0133,200,0.01,100.0,0.01,-503.285446839,2,0.7,1.0,3.50449e-18,,-503.285446839,-503.285,0.01,-503.285446839,1.0,100,1.0,1.0,200.0
500.0,-532.073,2222.83889835,2222.83889835,47.7067,200,0.0144778,171.650652012,0.000593357,-505.664213281,1,0.7,0.118682,4.14968e-06,0.166018,-505.664213281,-500.361,0.005,-505.664213281,1.14177,100,1.00009,2.89583,175.166845917
500.0,-536.464,1886.89617164,1886.89617164,43.2207,200,0.01,100.0,0.01,-496.322216016,2,0.7,1.0,3.50449e-18,,-496.322216016,-496.322,0.01,-496.322216016,1.0,100,1.0,1.0,200.0
500.0,-509.765,2038.83554568,2038.83554568,299.664,200,0.39985,6.14324725691,0.000584909,-501.55073468,1,0.7,0.202389,0.000792866,94.929,-501.55073468,-462.128,0.005,-501.55073468,2.57749,100,1.73009,138.356,77.594881033
500.0,-525.736,1960.24347587,1960.24347587,44.0527,200,0.01,100.0,0.01,-487.016846645,2,0.7,1.0,3.50449e-18,,-487.016846645,-487.017,0.01,-487.016846645,1.0,100,1.0,1.0,200.0
500.0,-522.796,1936.90966446,1936.90966446,46.0925,200,0.00868892,182.094516996,0.00104786,-502.089079668,1,0.7,0.211315,2.47063e-06,0.100477,-502.089079668,-491.377,0.005,-502.089079668,1.10326,100,1.00832,1.75225,181.281649189
500.0,-540.512,2158.83223092,2158.83223092,46.2303,200,0.01,100.0,0.01,-501.208343991,2,0.7,1.0,3.50449e-18,,-501.208343991,-501.208,0.01,-501.208343991,1.0,100,1.0,1.0,200.0
500.0,-522.685,2384.64382114,2384.64382114,51.9157,200,0.0154672,132.173351833,7.16506e-05,-496.478545077,1,0.7,0.0150917,1.28936e-05,0.57202,-496.478545077,-484.654,0.005,-496.478545077,1.44536,100,1.05315,3.25784,138.373356647
500.0,-547.595,2903.22951679,2903.22951679,53.6115,200,0.01,100.0,0.01,-496.294375735,2,0.7,1.0,3.50449e-18,,-496.294375735,-496.294,0.01,-496.294375735,1.0,100,1.0,1.0,200.0
500.0,-531.76,2098.46038556,2098.46038556,45.2058,200,0.01538,171.624155085,0.00113807,-498.903037175,1,0.7,0.228766,4.1542e-06,0.167854,-498.903037175,-493.624,0.005,-498.903037175,1.10527,100,1.00506,3.09157,180.951997808
500.0,-544.768,3362.870806,3362.870806,57.6996,200,0.01,100.0,0.01,-493.393718352,2,0.7,1.0,3.50449e-18,,-493.393718352,-493.394,0.01,-493.393718352,1.0,100,1.0,1.0,200.0
500.0,-524.357,1795.84181674,1795.84181674,85.4596,200,0.105222,61.4891589678,0.000492565,-489.797069139,1,0.7,0.108501,5.65981e-05,2.74624,-489.797069139,-480.713,0.005,-489.797069139,1.44338,100,1.10138,23.178,138.563798157
500.0,-531.667,2283.98176535,2283.98176535,47.5515,200,0.01,100.0,0.01,-490.71130181,2,0.7,1.0,3.50449e-18,,-490.71130181,-490.711,0.01,-490.71130181,1.0,100,1.0,1.0,200.0
500.0,-512.693,2417.98845865,2417.98845865,69.6762,200,0.0350974,90.3402845527,1.62091e-05,-489.340105882,1,0.7,0.00290186,3.04988e-05,0.977501,-489.340105882,-471.535,0.005,-489.340105882,1.89908,100,0.895133,6.28337,105.314387994
500.0,-536.528,2280.54109592,2280.54109592,47.5156,200,0.01,100.0,0.01,-493.252311471,2,0.7,1.0,3.50449e-18,,-493.252311471,-493.252,0.01,-493.252311471,1.0,100,1.0,1.0,200.0
500.0,-513.839,1945.51217172,1945.51217172,56.4872,200,0.0232526,141.334609571,0.000339619,-482.571180984,1,0.7,0.0705251,1.04292e-05,0.449733,-482.571180984,-477.711,0.005,-482.571180984,1.39384,100,1.0383,4.82862,143.488803621
500.0,-511.74,2016.71929765,2016.71929765,44.6828,200,0.01,100.0,0.01,-474.145793152,2,0.7,1.0,3.50449e-18,,-474.145793152,-474.146,0.01,-474.145793152,1.0,100,1.0,1.0,200.0
500.0,-501.426,2023.95712509,2023.95712509,66.858,200,0.0305902,107.344617481,3.60924e-09,-486.596289489,1,0.7,7.9704e-07,2.16874e-05,1.05763,-486.596289489,-464.704,0.005,-486.596289489,1.79546,100,1.10416,6.75533,111.391993584
500.0,-523.152,1899.77380875,1899.77380875,43.3679,200,0.01,100.0,0.01,-485.504091239,2,0.7,1.0,3.50449e-18,,-485.504091239,-485.504,0.01,-485.504091239,1.0,100,1.0,1.0,200.0
500.0,-496.899,2278.16425959,2278.16425959,247.322,200,0.482806,4.24571295295,4.64548e-05,-484.832862272,1,0.7,0.0180643,0.00115845,175.17,-484.832862272,-447.589,0.005,-484.832862272,2.72032,100,1.94429,187.743,73.5207239706
500.0,-530.46,1771.46786033,1771.46786033,41.8778,200,0.01,100.0,0.01,-490.926074853,2,0.7,1.0,3.50449e-18,,-490.926074853,-490.926,0.01,-490.926074853,1.0,100,1.0,1.0,200.0
500.0,-516.943,2770.76095458,2770.76095458,53.9015,200,0.0214372,162.860855414,0.000714744,-487.4800381,1,0.7,0.142214,5.72971e-06,0.226839,-487.4800381,-484.479,0.005,-487.4800381,1.19876,100,0.99486,4.2654,166.839278176
500.0,-531.458,2186.34666299,2186.34666299,46.524,200,0.01,100.0,0.01,-489.908946998,2,0.7,1.0,3.50449e-18,,-489.908946998,-489.909,0.01,-489.908946998,1.0,100,1.0,1.0,200.0
500.0,-508.102,2117.49623158,2117.49623158,194.374,200,0.181955,25.0103938923,2.98783e-05,-484.94279355,1,0.7,0.00795976,0.000175796,12.4766,-484.94279355,-464.325,0.005,-484.94279355,2.22024,100,1.33203,48.4741,90.080163172
500.0,-531.008,2871.49044579,2871.49044579,53.3177,200,0.01,100.0,0.01,-482.289443389,2,0.7,1.0,3.50449e-18,,-482.289443389,-482.289,0.01,-482.289443389,1.0,100,1.0,1.0,200.0
500.0,-514.532,1951.24926113,1951.24926113,52.2523,200,0.0117848,158.851508482,0.000508542,-482.268178406,1,0.7,0.095163,6.50848e-06,0.227909,-482.268178406,-476.317,0.005,-482.268178406,1.23057,100,0.935645,2.20528,162.525668883
500.0,-532.299,2223.049083,2223.049083,46.9129,200,0.01,100.0,0.01,-488.501349178,2,0.7,1.0,3.50449e-18,,-488.501349178,-488.501,0.01,-488.501349178,1.0,100,1.0,1.0,200.0
500.0,-516.593,2519.2495063,2519.2495063,49.4785,200,0.0109105,176.798675041,0.00135385,-486.486095203,1,0.7,0.261583,3.29724e-06,0.123091,-486.486095203,-483.628,0.005,-486.486095203,1.13298,100,0.96607,2.10805,176.524900033
500.0,-520.671,2086.51214599,2086.51214599,45.4494,200,0.01,100.0,0.01,-480.520942928,2,0.7,1.0,3.50449e-18,,-480.520942928,-480.521,0.01,-480.520942928,1.0,100,1.0,1.0,200.0
500.0,-508.234,2520.51688027,2520.51688027,50.5648,200,0.0145587,154.287761307,7.76478e-05,-484.862405939,1,0.7,0.0152626,7.44421e-06,0.28762,-484.862405939,-474.626,0.005,-484.862405939,1.3195,100,0.982811,2.86168,151.572911215
500.0,-520.7,2162.27792307,2162.27792307,46.2672,200,0.01,100.0,0.01,-481.779230781,2,0.7,1.0,3.50449e-18,,-481.779230781,-481.779,0.01,-481.779230781,1.0,100,1.0,1.0,200.0
500.0,-504.225,1721.09582193,1721.09582193,60.0886,200,0.0350535,123.397396678,3.75558e-05,-480.89625231,1,0.7,0.00733086,1.55975e-05,0.594306,-480.89625231,-471.71,0.005,-480.89625231,1.39591,100,0.975995,6.84241,143.276064921
500.0,-528.112,2456.31882499,2456.31882499,49.3128,200,0.01,100.0,0.01,-488.233394099,2,0.7,1.0,3.50449e-18,,-488.233394099,-488.233,0.01,-488.233394099,1.0,100,1.0,1.0,200.0
500.0,-507.471,2065.36090048,2065.36090048,51.7246,200,0.0125856,174.103797577,0.000663217,-473.78176587,1,0.7,0.132515,3.73719e-06,0.149198,-473.78176587,-477.318,0.005,-473.78176587,1.14344,100,0.999031,2.51467,174.910794246
500.0,-513.107,2548.65618564,2548.65618564,50.2312,200,0.01,100.0,0.01,-473.128508737,2,0.7,1.0,3.50449e-18,,-473.128508737,-473.129,0.01,-473.128508737,1.0,100,1.0,1.0,200.0
