IterType,AvgEpLen,VarRet,MinNormIw,AvgNormIw,Bound,VarDiscRet,VarNormIw,ESSRenyi,VanillaAvgRet,MaxVanillaIw,EpsThisIter,AvgVanillaIw,eRenyi2,MaxNormIw,AvgRet,BatchSize,Delta,VarJ,ESSClassic,MinVanillaIw,J,AvgDiscRet,VarVanillaIw
,215.57,1631358.5016508594,nan,nan,nan,2338383.862712827,nan,nan,2146.244031740357,inf,100,inf,nan,nan,2146.244031740357,400,1.0,nan,nan,0.3303615,nan,4089.1028375646792,nan
1,255.34,1911753.607863266,,0.0025,4999.9775,1911753.607863266,0.0024999978,0.003492228597737213,2544.159118837088,0.00021744135,100,5.436036e-07,114540.04,0.9999995,2544.159118837088,400,1.0,0.00012689373,1.000000936927857,,4999.9775,2544.159118837088,1.1820184e-10
2,487.97,532598.087045187,0.01,0.009999998,4878.8613,532598.087045187,3.5044917e-18,400.0,4878.861479052348,1.0,100,1.0,1.0,0.01,4878.861479052348,400,1.0,726.1351,100.0,1.0,4878.8613,4878.861479052348,
2,495.01,249946.71467691907,0.005,0.0049999994,4914.165,249946.71467691907,2.179301e-19,400.0,4949.468708434257,1.0,100,1.0,1.0,0.005,4949.468708434257,400,1.0,623.3827,200.00000010221265,1.0,4914.165,4949.468708434257,
2,495.01,249943.92389273923,0.0033333334,0.0033333336,4925.9243,249943.92389273923,5.4391416e-20,400.0,4949.441145535302,1.0,100,1.0,1.0,0.0033333334,4949.441145535302,400,1.0,584.66125,299.999969473632,1.0,4925.9243,4949.441145535302,
,255.34,1911753.607863266,nan,nan,nan,391067.8673852816,nan,238368338189103.66,2544.159118837088,inf,100,inf,2.097594e-12,nan,2544.159118837088,500,1.0,nan,nan,4598.941,nan,4911.369505001039,nan
1,224.5,1458133.414829499,,0.002,4986.6235,1458133.414829499,0.0019999999,1.3367469644508292e-06,2235.4048559874964,3.4163494e-38,100,6.8327e-41,374042370.0,1.0,2235.4048559874964,500,1.0,,inf,,4986.6235,2235.4048559874964,
2,69.59,398249.89245084743,0.01,0.009999998,685.6437,398249.89245084743,3.5044917e-18,500.0,685.643620782309,1.0,100,1.0,1.0,0.01,685.643620782309,500,1.0,627.9071,100.0,1.0,685.6437,685.643620782309,
2,93.76,650729.4893181765,0.005,0.0049999994,806.47266,650729.4893181765,2.179301e-19,500.0,927.301787565643,1.0,100,1.0,1.0,0.005,927.301787565643,500,1.0,730.6466,200.00000010221265,1.0,806.47266,927.301787565643,
2,72.1,444442.7114448123,0.0033333334,0.0033333336,774.58887,444442.7114448123,5.4391416e-20,500.0,710.821248585049,1.0,100,1.0,1.0,0.0033333334,710.821248585049,500,1.0,710.3489,299.999969473632,1.0,774.58887,710.821248585049,
2,72.37,344887.38170906866,0.0025,0.0024999997,759.29736,344887.38170906866,5.434597e-20,500.0,713.4229497753431,1.0,100,1.0,1.0,0.0025,713.4229497753431,500,1.0,681.54803,400.0,1.0,759.29736,713.4229497753431,
1,77.9,631513.1344360289,,0.002,4289.017,631513.1344360289,0.0019999999,1.556362985890847e-18,768.7067554729541,4.983728e-30,100,9.967457e-33,3.212618e+20,1.0,768.7067554729541,500,1.0,,inf,,4289.017,768.7067554729541,
2,480.04,969591.0943048662,0.01,0.009999998,4799.738,969591.0943048662,3.5044917e-18,500.0,4799.737799101477,1.0,100,1.0,1.0,0.01,4799.737799101477,500,1.0,979.74243,100.0,1.0,4799.738,4799.737799101477,
2,480.06,967635.1900883199,0.005,0.0049999994,4799.8096,967635.1900883199,2.179301e-19,500.0,4799.8824429765755,1.0,100,1.0,1.0,0.005,4799.8824429765755,500,1.0,979.24817,200.00000010221265,1.0,4799.8096,4799.8824429765755,
2,495.02,248971.5889524995,0.0033333334,0.0033333336,4849.8027,248971.5889524995,5.4391416e-20,500.0,4949.787088656698,1.0,100,1.0,1.0,0.0033333334,4949.787088656698,500,1.0,852.31665,299.999969473632,1.0,4849.8027,4949.787088656698,
2,495.01,249971.21498468937,0.0025,0.0024999997,4874.7803,249971.21498468937,5.434597e-20,500.0,4949.714098077967,1.0,100,1.0,1.0,0.0025,4949.714098077967,500,1.0,780.1105,400.0,1.0,4874.7803,4949.714098077967,
1,495.02,248973.67839531382,6.0023312e-06,0.002,4979.4014,248973.67839531382,3.36442e-05,,4949.8092060429835,53.37193,100,0.98154396,inf,0.10875097,4949.8092060429835,500,1.0,201.43405,53.22418374343424,0.0029457759,4979.4014,4949.8092060429835,8.103445
2,490.02,494884.9362684717,0.01,0.009999998,4899.6797,494884.9362684717,3.5044917e-18,500.0,4899.679933702267,1.0,100,1.0,1.0,0.01,4899.679933702267,500,1.0,699.9543,100.0,1.0,4899.6797,4899.679933702267,
2,485.03,734749.621310885,0.005,0.0049999994,4874.6763,734749.621310885,2.179301e-19,500.0,4849.673239132038,1.0,100,1.0,1.0,0.005,4849.673239132038,500,1.0,780.57306,200.00000010221265,1.0,4874.6763,4849.673239132038,
2,485.21,717405.6584070129,0.0033333334,0.0033333336,4866.924,717405.6584070129,5.4391416e-20,500.0,4851.417299267999,1.0,100,1.0,1.0,0.0033333334,4851.417299267999,500,1.0,801.9104,299.999969473632,1.0,4866.924,4851.417299267999,
2,495.01,249963.96571543984,0.0025,0.0024999997,4887.6025,249963.96571543984,5.434597e-20,500.0,4949.641769791974,1.0,100,1.0,1.0,0.0025,4949.641769791974,500,1.0,738.5419,400.0,1.0,4887.6025,4949.641769791974,
1,500.0,0.25638082319703726,5.963699e-14,0.0020000003,4996.551,0.25638082319703726,2.1817365e-05,,4999.5790436135585,29.972113,100,1.0790586,inf,0.055552337,4999.5790436135585,500,1.0,43.249123,77.59840081433248,3.21759e-11,4996.551,4999.5790436135585,6.3508563
2,480.06,967653.5506086146,0.01,0.009999998,4799.9272,967653.5506086146,3.5044917e-18,500.0,4799.927225958539,1.0,100,1.0,1.0,0.01,4799.927225958539,500,1.0,978.76294,100.0,1.0,4799.9272,4799.927225958539,
2,490.03,493906.03348432685,0.005,0.0049999994,4849.873,493906.03348432685,2.179301e-19,500.0,4899.819396358222,1.0,100,1.0,1.0,0.005,4899.819396358222,500,1.0,852.03674,200.00000010221265,1.0,4849.873,4899.819396358222,
2,490.02,494898.7817559808,0.0033333334,0.0033333336,4866.4985,494898.7817559808,5.4391416e-20,500.0,4899.74861089134,1.0,100,1.0,1.0,0.0033333334,4899.74861089134,500,1.0,804.8895,299.999969473632,1.0,4866.4985,4899.74861089134,
2,500.0,0.09985429807811783,0.0025,0.0024999997,4899.792,0.09985429807811783,5.434597e-20,500.0,4999.674704532088,1.0,100,1.0,1.0,0.0025,4999.674704532088,500,1.0,699.4361,400.0,1.0,4899.792,4999.674704532088,
1,490.03,493903.17882285797,2.6990628e-11,0.0019999999,4999.725,493903.17882285797,0.00058588927,498.2888452096041,4899.805654426229,131.41858,100,0.5268209,1.0034341,0.49891177,4899.805654426229,500,1.0,3.9377046,3.3972152437540166,7.109614e-09,4999.725,4899.805654426229,40.651966
2,485.04,733748.1727873895,0.01,0.009999998,4849.6914,733748.1727873895,3.5044917e-18,500.0,4849.691590559585,1.0,100,1.0,1.0,0.01,4849.691590559585,500,1.0,852.29724,100.0,1.0,4849.6914,4849.691590559585,
2,495.01,249960.35163334766,0.005,0.0049999994,4899.6484,249960.35163334766,2.179301e-19,500.0,4949.605093991703,1.0,100,1.0,1.0,0.005,4949.605093991703,500,1.0,699.5937,200.00000010221265,1.0,4899.6484,4949.605093991703,
2,485.21,717388.9147923366,0.0033333334,0.0033333336,4883.5874,717388.9147923366,5.4391416e-20,500.0,4851.464849141068,1.0,100,1.0,1.0,0.0033333334,4851.464849141068,500,1.0,750.6943,299.999969473632,1.0,4883.5874,4851.464849141068,
2,490.02,494879.29184080206,0.0025,0.0024999997,4887.603,494879.29184080206,5.434597e-20,500.0,4899.651536471499,1.0,100,1.0,1.0,0.0025,4899.651536471499,500,1.0,738.368,400.0,1.0,4887.603,4899.651536471499,
1,495.02,248963.64566086742,2.5726314e-20,0.002,4999.4546,248963.64566086742,6.78084e-05,,4949.7076983471325,31.109718,100,0.82430065,inf,0.07548148,4949.7076983471325,500,1.0,3.586323,27.90459676897738,1.0603109e-17,4999.4546,4949.7076983471325,11.51847
2,490.03,493888.00086162647,0.01,0.009999998,4899.7305,493888.00086162647,3.5044917e-18,500.0,4899.730514287852,1.0,100,1.0,1.0,0.01,4899.730514287852,500,1.0,699.2489,100.0,1.0,4899.7305,4899.730514287852,
2,500.0,0.09902624269673492,0.005,0.0049999994,4949.6953,0.09902624269673492,2.179301e-19,500.0,4999.66049598736,1.0,100,1.0,1.0,0.005,4999.66049598736,500,1.0,496.96182,200.00000010221265,1.0,4949.6953,4999.66049598736,
2,495.01,249965.7268947074,0.0033333334,0.0033333336,4949.6836,249965.7268947074,5.4391416e-20,500.0,4949.6593363425145,1.0,100,1.0,1.0,0.0033333334,4949.6593363425145,500,1.0,497.1278,299.999969473632,1.0,4949.6836,4949.6593363425145,
2,480.06,967619.8482105542,0.0025,0.0024999997,4912.2236,967619.8482105542,5.434597e-20,500.0,4799.843922289854,1.0,100,1.0,1.0,0.0025,4799.843922289854,500,1.0,655.0174,400.0,1.0,4912.2236,4799.843922289854,
1,485.04,733778.4284442869,,0.002,4999.9443,733778.4284442869,0.0013197265,0.008333689793892877,4849.791853070891,0.011566058,100,2.8844455e-05,59997.434,0.8019606,4849.791853070891,500,1.0,1.2408522,1.5139048120922909,,4999.9443,4849.791853070891,2.7450392e-07
2,500.0,0.06080648630753945,0.01,0.009999998,4999.7466,0.06080648630753945,3.5044917e-18,500.0,4999.746211625746,1.0,100,1.0,1.0,0.01,4999.746211625746,500,1.0,0.24536392,100.0,1.0,4999.7466,4999.746211625746,
2,485.04,733790.5588539161,0.005,0.0049999994,4924.789,733790.5588539161,2.179301e-19,500.0,4849.832240118947,1.0,100,1.0,1.0,0.005,4849.832240118947,500,1.0,607.32605,200.00000010221265,1.0,4924.789,4849.832240118947,
2,495.02,248980.492174602,0.0033333334,0.0033333336,4933.1514,248980.492174602,5.4391416e-20,500.0,4949.875551880326,1.0,100,1.0,1.0,0.0033333334,4949.875551880326,500,1.0,572.88745,299.999969473632,1.0,4933.1514,4949.875551880326,
2,490.03,493913.35501595243,0.0025,0.0024999997,4924.827,493913.35501595243,5.434597e-20,500.0,4899.856123129672,1.0,100,1.0,1.0,0.0025,4899.856123129672,500,1.0,607.12555,400.0,1.0,4924.827,4899.856123129672,
1,495.01,249978.60320965826,3.647241e-05,0.0019999999,4975.5923,249978.60320965826,1.5614833e-05,,4949.7878217922635,34.67506,100,1.0012586,inf,0.069262944,4949.7878217922635,500,1.0,254.07246,102.12627383626186,0.018259158,4975.5923,4949.7878217922635,3.913541
2,495.01,249975.7614553038,0.01,0.009999998,4949.7593,249975.7614553038,3.5044917e-18,500.0,4949.7594463855585,1.0,100,1.0,1.0,0.01,4949.7594463855585,500,1.0,497.46957,100.0,1.0,4949.7593,4949.7594463855585,
2,485.06,731840.6327956046,0.005,0.0049999994,4899.9014,731840.6327956046,2.179301e-19,500.0,4850.044669378418,1.0,100,1.0,1.0,0.005,4850.044669378418,500,1.0,698.91693,200.00000010221265,1.0,4899.9014,4850.044669378418,
2,495.02,248971.2699719823,0.0033333334,0.0033333336,4916.5303,248971.2699719823,5.4391416e-20,500.0,4949.7851930407505,1.0,100,1.0,1.0,0.0033333334,4949.7851930407505,500,1.0,639.0384,299.999969473632,1.0,4916.5303,4949.7851930407505,
2,490.04,492923.83155979123,0.0025,0.0024999997,4912.383,492923.83155979123,5.434597e-20,500.0,4899.942674670007,1.0,100,1.0,1.0,0.0025,4899.942674670007,500,1.0,654.4675,400.0,1.0,4912.383,4899.942674670007,
1,490.04,492917.0814441728,0.00010582208,0.002,4973.9844,492917.0814441728,6.785677e-05,,4899.910217436281,101.7703,100,1.1242398,inf,0.18104734,4899.910217436281,500,1.0,250.93289,27.885817499438208,0.059484694,4973.9844,4899.910217436281,21.441292
2,495.01,249975.7410709787,0.01,0.009999998,4949.7593,249975.7410709787,3.5044917e-18,500.0,4949.759360016431,1.0,100,1.0,1.0,0.01,4949.759360016431,500,1.0,497.4696,100.0,1.0,4949.7593,4949.759360016431,
2,495.02,248979.12792951477,0.005,0.0049999994,4949.8115,248979.12792951477,2.179301e-19,500.0,4949.863114337122,1.0,100,1.0,1.0,0.005,4949.863114337122,500,1.0,496.9735,200.00000010221265,1.0,4949.8115,4949.863114337122,
2,490.03,493909.158903201,0.0033333334,0.0033333336,4933.1523,493909.158903201,5.4391416e-20,500.0,4899.834514022215,1.0,100,1.0,1.0,0.0033333334,4899.834514022215,500,1.0,572.8876,299.999969473632,1.0,4933.1523,4899.834514022215,
2,500.0,0.053984038949245854,0.0025,0.0024999997,4949.8086,0.053984038949245854,5.434597e-20,500.0,4999.777822287698,1.0,100,1.0,1.0,0.0025,4999.777822287698,500,1.0,496.9733,400.0,1.0,4949.8086,4999.777822287698,
1,475.08,1196525.284533857,,0.002,4999.9897,1196525.284533857,0.0010383818,3.858295766644598e-09,4750.10226903067,3.4593113e-38,100,1.15237e-40,129590895000.0,0.6003806,4750.10226903067,500,1.0,0.15449733,inf,,4999.9897,4750.10226903067,
2,481.53,617994.9571998181,0.01,0.009999998,4814.224,617994.9571998181,3.5044917e-18,500.0,4814.22460369032,1.0,100,1.0,1.0,0.01,4814.22460369032,500,1.0,782.18604,100.0,1.0,4814.224,4814.22460369032,
2,467.0,1386574.485430352,0.005,0.0049999994,4741.508,1386574.485430352,2.179301e-19,500.0,4668.7914327367025,1.0,100,1.0,1.0,0.005,4668.7914327367025,500,1.0,998.77405,200.00000010221265,1.0,4741.508,4668.7914327367025,
2,466.24,1295892.675236757,0.0033333334,0.0033333336,4714.666,1295892.675236757,5.4391416e-20,500.0,4660.982046526112,1.0,100,1.0,1.0,0.0033333334,4660.982046526112,500,1.0,1046.0012,299.999969473632,1.0,4714.666,4660.982046526112,
2,480.59,634681.4789376935,0.0025,0.0024999997,4737.171,634681.4789376935,5.434597e-20,500.0,4804.686466508483,1.0,100,1.0,1.0,0.0025,4804.686466508483,500,1.0,989.5413,400.0,1.0,4737.171,4804.686466508483,
1,476.12,927653.6627625343,,0.002,4999.921,927653.6627625343,0.0019962925,,4759.97751095885,127.93252,100,0.25610214,inf,0.99907416,4759.97751095885,500,1.0,0.011276999,1.0018533925453914,,4999.921,4759.97751095885,32.733353
2,490.03,493924.30932647496,0.01,0.009999998,4899.9097,493924.30932647496,3.5044917e-18,500.0,4899.910087234161,1.0,100,1.0,1.0,0.01,4899.910087234161,500,1.0,699.27466,100.0,1.0,4899.9097,4899.910087234161,
2,500.0,0.04748908686033733,0.005,0.0049999994,4949.85,0.04748908686033733,2.179301e-19,500.0,4999.79086825574,1.0,100,1.0,1.0,0.005,4999.79086825574,500,1.0,496.97745,200.00000010221265,1.0,4949.85,4999.79086825574,
2,495.01,249980.04421984704,0.0033333334,0.0033333336,4949.8345,249980.04421984704,5.4391416e-20,500.0,4949.802057053049,1.0,100,1.0,1.0,0.0033333334,4949.802057053049,500,1.0,497.143,299.999969473632,1.0,4949.8345,4949.802057053049,
2,470.09,1421292.4804989456,0.0025,0.0024999997,4887.4053,1421292.4804989456,5.434597e-20,500.0,4700.117989783555,1.0,100,1.0,1.0,0.0025,4700.117989783555,500,1.0,740.8275,400.0,1.0,4887.4053,4700.117989783555,
1,495.02,248983.96004997395,2.1069267e-05,0.0020000003,4972.051,248983.96004997395,3.0035175e-05,,4949.910632192173,39.46348,100,1.0700378,inf,0.07376091,4949.910632192173,500,1.0,292.6893,58.86662869914056,0.0112724565,4972.051,4949.910632192173,8.597426
2,485.04,733800.820769515,0.01,0.009999998,4849.866,733800.820769515,3.5044917e-18,500.0,4849.866494798016,1.0,100,1.0,1.0,0.01,4849.866494798016,500,1.0,852.3279,100.0,1.0,4849.866,4849.866494798016,
2,490.03,493919.90972560114,0.005,0.0049999994,4874.8774,493919.90972560114,2.179301e-19,500.0,4899.888896796929,1.0,100,1.0,1.0,0.005,4899.888896796929,500,1.0,779.96625,200.00000010221265,1.0,4874.8774,4899.888896796929,
2,485.04,733811.008617866,0.0033333334,0.0033333336,4866.552,733811.008617866,5.4391416e-20,500.0,4849.8994965914735,1.0,100,1.0,1.0,0.0033333334,4849.8994965914735,500,1.0,804.8982,299.999969473632,1.0,4866.552,4849.8994965914735,
2,495.02,248985.5398813617,0.0025,0.0024999997,4887.3955,248985.5398813617,5.434597e-20,500.0,4949.926009180345,1.0,100,1.0,1.0,0.0025,4949.926009180345,500,1.0,740.826,400.0,1.0,4887.3955,4949.926009180345,
1,485.04,733802.120941515,,0.002,4970.852,733802.120941515,3.4693792e-05,,4849.870805200257,30.758564,100,0.88010645,inf,0.069897376,4849.870805200257,500,1.0,325.66614,51.78073546125097,,4970.852,4849.870805200257,6.718343
2,500.0,0.03815053255133539,0.01,0.009999998,4999.782,0.03815053255133539,3.5044917e-18,500.0,4999.782431294953,1.0,100,1.0,1.0,0.01,4999.782431294953,500,1.0,0.1943216,100.0,1.0,4999.782,4999.782431294953,
2,500.0,0.05021124409063195,0.005,0.0049999994,4999.785,0.05021124409063195,2.179301e-19,500.0,4999.787959935558,1.0,100,1.0,1.0,0.005,4999.787959935558,500,1.0,0.2091363,200.00000010221265,1.0,4999.785,4999.787959935558,
2,475.07,1197476.264218046,0.0033333334,0.0033333336,4916.5205,1197476.264218046,5.4391416e-20,500.0,4749.991247010606,1.0,100,1.0,1.0,0.0033333334,4749.991247010606,500,1.0,639.557,299.999969473632,1.0,4916.5205,4749.991247010606,
2,495.01,249980.5715420186,0.0025,0.0024999997,4924.842,249980.5715420186,5.434597e-20,500.0,4949.807282766199,1.0,100,1.0,1.0,0.0025,4949.807282766199,500,1.0,607.3326,400.0,1.0,4924.842,4949.807282766199,
1,490.03,493917.34655131656,3.6750126e-07,0.002,4982.408,493917.34655131656,2.493928e-05,,4899.87556229787,27.06409,100,1.0403804,inf,0.0520273,4899.87556229787,500,1.0,202.1949,69.22954923915803,0.00019117055,4982.408,4899.87556229787,6.748514
2,480.06,967689.4497991757,0.01,0.009999998,4800.0166,967689.4497991757,3.5044917e-18,500.0,4800.0167057849885,1.0,100,1.0,1.0,0.01,4800.0167057849885,500,1.0,978.7811,100.0,1.0,4800.0166,4800.0167057849885,
2,500.0,0.06937927134204407,0.005,0.0049999994,4899.89,0.06937927134204407,2.179301e-19,500.0,4999.763956387123,1.0,100,1.0,1.0,0.005,4999.763956387123,500,1.0,699.27185,200.00000010221265,1.0,4899.89,4999.763956387123,
2,500.0,0.03956315961846943,0.0033333334,0.0033333336,4933.181,0.03956315961846943,5.4391416e-20,500.0,4999.763343912036,1.0,100,1.0,1.0,0.0033333334,4999.763343912036,500,1.0,572.8909,299.999969473632,1.0,4933.181,4999.763343912036,
2,490.03,493920.13326823385,0.0025,0.0024999997,4924.8584,493920.13326823385,5.434597e-20,500.0,4899.889893326293,1.0,100,1.0,1.0,0.0025,4899.889893326293,500,1.0,607.1293,400.0,1.0,4924.8584,4899.889893326293,
1,495.01,249980.30785524522,1.2659586e-06,0.0020000003,4981.092,249980.30785524522,1.451561e-05,,4949.804718895578,26.139511,100,1.0318925,inf,0.05066324,4949.804718895578,500,1.0,261.4715,108.18657767278243,0.0006531667,4981.092,4949.804718895578,3.8640637
2,495.02,248980.89380114563,0.01,0.009999998,4949.88,248980.89380114563,3.5044917e-18,500.0,4949.879908237886,1.0,100,1.0,1.0,0.01,4949.879908237886,500,1.0,496.47867,100.0,1.0,4949.88,4949.879908237886,
2,485.03,734803.3790008319,0.005,0.0049999994,4899.865,734803.3790008319,2.179301e-19,500.0,4849.851047736993,1.0,100,1.0,1.0,0.005,4849.851047736993,500,1.0,699.62463,200.00000010221265,1.0,4899.865,4849.851047736993,
2,490.03,493918.40509041416,0.0033333334,0.0033333336,4899.871,493918.40509041416,5.4391416e-20,500.0,4899.880783809371,1.0,100,1.0,1.0,0.0033333334,4899.880783809371,500,1.0,699.50665,299.999969473632,1.0,4899.871,4899.880783809371,
2,495.01,249981.889015295,0.0025,0.0024999997,4912.358,249981.889015295,5.434597e-20,500.0,4949.820313087485,1.0,100,1.0,1.0,0.0025,4949.820313087485,500,1.0,655.2255,400.0,1.0,4912.358,4949.820313087485,
1,490.17,480266.5444229957,,0.0019999999,4999.7207,480266.5444229957,0.0008649465,,4901.263565644275,38.022003,100,0.12597212,inf,0.6036575,4901.263565644275,500,1.0,1.4455512,2.306229001568757,,4999.7207,4901.263565644275,3.4314535
2,490.03,493909.5582804695,0.01,0.009999998,4899.837,493909.5582804695,3.5044917e-18,500.0,4899.836909034352,1.0,100,1.0,1.0,0.01,4899.836909034352,500,1.0,699.2642,100.0,1.0,4899.837,4899.836909034352,
2,495.15,236186.7131399895,0.005,0.0049999994,4925.503,236186.7131399895,2.179301e-19,500.0,4951.168663192825,1.0,100,1.0,1.0,0.005,4951.168663192825,500,1.0,601.71124,200.00000010221265,1.0,4925.503,4951.168663192825,
2,485.05,732812.8871771232,0.0033333334,0.0033333336,4900.3125,732812.8871771232,5.4391416e-20,500.0,4849.9292044593785,1.0,100,1.0,1.0,0.0033333334,4849.9292044593785,500,1.0,696.03766,299.999969473632,1.0,4900.3125,4849.9292044593785,
2,490.17,480290.9523268105,0.0025,0.0024999997,4900.546,480290.9523268105,5.434597e-20,500.0,4901.247687371177,1.0,100,1.0,1.0,0.0025,4901.247687371177,500,1.0,694.4231,400.0,1.0,4900.546,4901.247687371177,
1,485.05,732817.0861998968,,0.0020000003,4999.926,732817.0861998968,0.001999998,2.961508502165623e-36,4849.943515452393,1.935821e-12,100,3.8716445e-15,1.6883288e+38,0.99999946,4849.943515452393,500,1.0,0.010918297,1.0000011201474024,,4999.926,4849.943515452393,7.494806e-27
2,490.56,444411.59400412283,0.01,0.009999998,4905.2427,444411.59400412283,3.5044917e-18,500.0,4905.242148169402,1.0,100,1.0,1.0,0.01,4905.242148169402,500,1.0,663.3004,100.0,1.0,4905.2427,4905.242148169402,
2,490.13,484152.92135689454,0.005,0.0049999994,4903.0737,484152.92135689454,2.179301e-19,500.0,4900.90554192925,1.0,100,1.0,1.0,0.005,4900.90554192925,500,1.0,677.9706,200.00000010221265,1.0,4903.0737,4900.90554192925,
2,471.46,1310043.9131059689,0.0033333334,0.0033333336,4839.9927,1310043.9131059689,5.4391416e-20,500.0,4713.831872779262,1.0,100,1.0,1.0,0.0033333334,4713.831872779262,500,1.0,864.1193,299.999969473632,1.0,4839.9927,4713.831872779262,
2,482.1,800508.0795868752,0.0025,0.0024999997,4835.0996,800508.0795868752,5.434597e-20,500.0,4820.419606410465,1.0,100,1.0,1.0,0.0025,4820.419606410465,500,1.0,870.76074,400.0,1.0,4835.0996,4820.419606410465,
1,470.66,1368710.6808933623,1.1225987e-12,0.002,4879.9634,1368710.6808933623,8.940585e-06,,4705.803976940646,11.022623,100,0.98903495,inf,0.022289652,4705.803976940646,500,1.0,1021.67267,154.7663785754995,5.5514465e-10,4879.9634,4705.803976940646,2.1863978
2,500.0,0.029331334931225847,0.01,0.009999998,4999.834,0.029331334931225847,3.5044917e-18,500.0,4999.834077261006,1.0,100,1.0,1.0,0.01,4999.834077261006,500,1.0,0.170381,100.0,1.0,4999.834,4999.834077261006,
2,490.02,494914.7651502037,0.005,0.0049999994,4949.831,494914.7651502037,2.179301e-19,500.0,4899.827940730849,1.0,100,1.0,1.0,0.005,4899.827940730849,500,1.0,497.47675,200.00000010221265,1.0,4949.831,4899.827940730849,
2,490.02,494910.7192693304,0.0033333334,0.0033333336,4933.1567,494910.7192693304,5.4391416e-20,500.0,4899.807914711487,1.0,100,1.0,1.0,0.0033333334,4899.807914711487,500,1.0,573.46783,299.999969473632,1.0,4933.1567,4899.807914711487,
2,500.0,0.023408208000028782,0.0025,0.0024999997,4949.8257,0.023408208000028782,5.434597e-20,500.0,4999.832671658119,1.0,100,1.0,1.0,0.0025,4999.832671658119,500,1.0,497.47626,400.0,1.0,4949.8257,4999.832671658119,
1,480.06,967699.9607804565,3.24914e-20,0.002,4976.808,967699.9607804565,3.2230044e-05,,4800.042304121299,41.92076,100,1.1303471,inf,0.07417325,4800.042304121299,500,1.0,356.56592,55.3011954671858,1.836328e-17,4976.808,4800.042304121299,10.294957
2,490.04,492945.7372359074,0.01,0.009999998,4900.0513,492945.7372359074,3.5044917e-18,500.0,4900.051051073577,1.0,100,1.0,1.0,0.01,4900.051051073577,500,1.0,698.58167,100.0,1.0,4900.0513,4900.051051073577,
2,490.03,493934.60751762136,0.005,0.0049999994,4900.006,493934.60751762136,2.179301e-19,500.0,4899.961050928314,1.0,100,1.0,1.0,0.005,4899.961050928314,500,1.0,698.9319,200.00000010221265,1.0,4900.006,4899.961050928314,
2,485.04,733833.2410207967,0.0033333334,0.0033333336,4883.328,733833.2410207967,5.4391416e-20,500.0,4849.973150898417,1.0,100,1.0,1.0,0.0033333334,4849.973150898417,500,1.0,753.91766,299.999969473632,1.0,4883.328,4849.973150898417,
