AvgVanillaIw,MinVanillaIw,Delta,VarDiscRet,AvgRet,J,MaxNormIw,ESSRenyi,MinNormIw,AvgDiscRet,Bound,eRenyi2,EpsThisIter,AvgEpLen,VarRet,MaxVanillaIw,AvgNormIw,VarNormIw,ESSClassic,VanillaAvgRet,VarVanillaIw,BatchSize,VarJ,IterType
1.0,1.0,1.0,967738.1388334904,4800.137101639911,4800.137,0.01,500.0,0.01,4800.137101639911,4800.137,1.0,100,480.06,967738.1388334904,1.0,0.009999998,3.5044917e-18,100.0,4800.137101639911,,500,978.8058,2
1.0,1.0,1.0,819250.3780492314,4819.14926021298,4809.643,0.005,500.0,0.005,4819.14926021298,4809.643,1.0,100,481.96,819250.3780492314,1.0,0.0049999994,2.179301e-19,200.00000010221265,4819.14926021298,,500,940.55817,2
1.0,1.0,1.0,493948.85756920226,4900.032613423068,4839.773,0.0033333334,500.0,0.0033333334,4900.032613423068,4839.773,1.0,100,490.03,493948.85756920226,1.0,0.0033333336,5.4391416e-20,299.999969473632,4900.032613423068,,500,868.6686,2
1.0,1.0,1.0,1854840.6447851988,4600.350739688539,4779.918,0.0025,500.0,0.0025,4600.350739688539,4779.918,1.0,100,460.12,1854840.6447851988,1.0,0.0024999997,5.434597e-20,400.0,4600.350739688539,,500,1017.7229,2
1.0175841,3.7947334e-06,1.0,961972.1723453562,4800.730895274388,4907.9355,0.036950875,,7.458319e-09,4800.730895274388,4907.9355,inf,100,480.12,961972.1723453562,18.800312,0.0019999999,6.9504476e-06,182.87309460797246,4800.730895274388,1.799258,500,686.725,1
1.0,1.0,1.0,965755.3331035017,4800.214098805296,4800.214,0.01,500.0,0.01,4800.214098805296,4800.214,1.0,100,480.08,965755.3331035017,1.0,0.009999998,3.5044917e-18,100.0,4800.214098805296,,500,977.8025,2
1.0,1.0,1.0,1196534.5399510232,4750.120146053978,4775.167,0.005,500.0,0.005,4750.120146053978,4775.167,1.0,100,475.08,1196534.5399510232,1.0,0.0049999994,2.179301e-19,200.00000010221265,4750.120146053978,,500,1034.8724,2
1.0,1.0,1.0,1404534.4274428778,4701.920724473692,4750.752,0.0033333334,500.0,0.0033333334,4701.920724473692,4750.752,1.0,100,470.27,1404534.4274428778,1.0,0.0033333336,5.4391416e-20,299.999969473632,4701.920724473692,,500,1085.6622,2
1.0,1.0,1.0,967699.0176252952,4800.03977617012,4763.074,0.0025,500.0,0.0025,4800.03977617012,4763.074,1.0,100,480.06,967699.0176252952,1.0,0.0024999997,5.434597e-20,400.0,4800.03977617012,,500,1060.1687,2
1.0143077,0.00059809437,1.0,727017.443274425,4850.629058987002,4885.7227,0.028328126,,1.1793154e-06,4850.629058987002,4885.7227,inf,100,485.11,727017.443274425,14.366719,0.0020000003,8.795691e-06,156.5177933688142,4850.629058987002,2.262296,500,999.7749,1
1.0,1.0,1.0,493917.5252002588,4899.876638032901,4899.8765,0.01,500.0,0.01,4899.876638032901,4899.8765,1.0,100,490.03,493917.5252002588,1.0,0.009999998,3.5044917e-18,100.0,4899.876638032901,,500,699.26984,2
1.0,1.0,1.0,733800.2920292796,4849.863701989638,4874.87,0.005,500.0,0.005,4849.863701989638,4874.87,1.0,100,485.04,733800.2920292796,1.0,0.0049999994,2.179301e-19,200.00000010221265,4849.863701989638,,500,779.96515,2
1.0,1.0,1.0,732834.688533909,4850.000845064622,4866.5806,0.0033333334,500.0,0.0033333334,4850.000845064622,4866.5806,1.0,100,485.05,732834.688533909,1.0,0.0033333336,5.4391416e-20,299.999969473632,4850.000845064622,,500,804.6966,2
1.0,1.0,1.0,731843.0081357819,4850.052786153637,4862.4487,0.0025,500.0,0.0025,4850.052786153637,4862.4487,1.0,100,485.06,731843.0081357819,1.0,0.0024999997,5.434597e-20,400.0,4850.052786153637,,500,816.5996,2
0.00033732684,,1.0,967690.853340713,4800.020019336956,4999.999,0.99999976,2.2951642590348052e-10,,4800.020019336956,4999.999,2178493300000.0,100,480.06,967690.853340713,0.16866338,0.002,0.0019999992,1.0000005300912247,4800.020019336956,5.6894667e-05,500,0.010918298,1
1.0,1.0,1.0,732749.237806312,4849.71808758585,4849.718,0.01,500.0,0.01,4849.71808758585,4849.718,1.0,100,485.05,732749.237806312,1.0,0.009999998,3.5044917e-18,100.0,4849.71808758585,,500,851.7169,2
1.0,1.0,1.0,967547.8023209187,4799.66533248359,4824.6914,0.005,500.0,0.005,4799.66533248359,4824.6914,1.0,100,480.06,967547.8023209187,1.0,0.0049999994,2.179301e-19,200.00000010221265,4799.66533248359,,500,917.75446,2
1.0,1.0,1.0,967576.625281525,4799.736553651446,4816.373,0.0033333334,500.0,0.0033333334,4799.736553651446,4816.373,1.0,100,480.06,967576.625281525,1.0,0.0033333336,5.4391416e-20,299.999969473632,4799.736553651446,,500,938.5916,2
1.0,1.0,1.0,733717.7853829677,4849.591747349339,4824.6777,0.0025,500.0,0.0025,4849.591747349339,4824.6777,1.0,100,485.04,733717.7853829677,1.0,0.0024999997,5.434597e-20,400.0,4849.591747349339,,500,917.8876,2
1.0516793,3.3292245e-08,1.0,968497.4457721082,4799.523616112152,4893.4546,0.039375268,,6.331255e-11,4799.523616112152,4893.4546,inf,100,480.05,968497.4457721082,20.705074,0.002,8.970459e-06,154.41013006404586,4799.523616112152,2.4803975,500,786.43884,1
1.0,1.0,1.0,1419194.4590716194,4699.979289910853,4699.979,0.01,500.0,0.01,4699.979289910853,4699.979,1.0,100,470.11,1419194.4590716194,1.0,0.009999998,3.5044917e-18,100.0,4699.979289910853,,500,1185.328,2
1.0,1.0,1.0,966571.1267895913,4799.740496910172,4749.86,0.005,500.0,0.005,4799.740496910172,4749.86,1.0,100,480.07,966571.1267895913,1.0,0.0049999994,2.179301e-19,200.00000010221265,4799.740496910172,,500,1087.8612,2
1.0,1.0,1.0,1853573.898435874,4600.029224198595,4699.9165,0.0033333334,500.0,0.0033333334,4600.029224198595,4699.9165,1.0,100,460.13,1853573.898435874,1.0,0.0033333336,5.4391416e-20,299.999969473632,4600.029224198595,,500,1185.5924,2
1.0,1.0,1.0,966588.1301557033,4799.782037455909,4724.883,0.0025,500.0,0.0025,4799.782037455909,4724.883,1.0,100,480.07,966588.1301557033,1.0,0.0024999997,5.434597e-20,400.0,4799.782037455909,,500,1138.1224,2
1.0299599,0.03700547,1.0,249950.13018127286,4949.505405296594,4910.3394,0.03058382,,7.185807e-05,4949.505405296594,4910.3394,inf,100,495.01,249950.13018127286,15.750054,0.002,6.5031154e-06,190.6557980286704,4949.505405296594,1.7246546,500,532.8671,1
1.0,1.0,1.0,494850.04289555014,4899.507059003761,4899.507,0.01,500.0,0.01,4899.507059003761,4899.507,1.0,100,490.02,494850.04289555014,1.0,0.009999998,3.5044917e-18,100.0,4899.507059003761,,500,699.9296,2
1.0,1.0,1.0,1197307.416330287,4749.656407398844,4824.582,0.005,500.0,0.005,4749.656407398844,4824.582,1.0,100,475.07,1197307.416330287,1.0,0.0049999994,2.179301e-19,200.00000010221265,4749.656407398844,,500,918.2764,2
1.0,1.0,1.0,494835.58744522877,4899.435516654762,4849.5337,0.0033333334,500.0,0.0033333334,4899.435516654762,4849.5337,1.0,100,490.02,494835.58744522877,1.0,0.0033333336,5.4391416e-20,299.999969473632,4899.435516654762,,500,852.46436,2
1.0,1.0,1.0,731747.2290884918,4849.73487552632,4849.5835,0.0025,500.0,0.0025,4849.73487552632,4849.5835,1.0,100,485.06,731747.2290884918,1.0,0.0024999997,5.434597e-20,400.0,4849.73487552632,,500,852.13196,2
0.9987212,0.041726653,1.0,732721.3858435813,4849.6271775780215,4913.658,0.030899594,,8.356016e-05,4849.6271775780215,4913.658,inf,100,485.05,732721.3858435813,15.430039,0.002,7.862031e-06,168.82900792632736,4849.6271775780215,1.9604841,500,680.3435,1
1.0,1.0,1.0,956180.5065124686,4801.10393039256,4801.104,0.01,500.0,0.01,4801.10393039256,4801.104,1.0,100,480.18,956180.5065124686,1.0,0.009999998,3.5044917e-18,100.0,4801.10393039256,,500,972.9433,2
1.0,1.0,1.0,249975.0365423394,4949.751959948375,4875.4277,0.005,500.0,0.005,4949.751959948375,4875.4277,1.0,100,495.01,249975.0365423394,1.0,0.0049999994,2.179301e-19,200.00000010221265,4949.751959948375,,500,776.2545,2
1.0,1.0,1.0,683053.4218773234,4855.329519590818,4868.7285,0.0033333334,500.0,0.0033333334,4855.329519590818,4868.7285,1.0,100,485.59,683053.4218773234,1.0,0.0033333336,5.4391416e-20,299.999969473632,4855.329519590818,,500,791.96686,2
1.0,1.0,1.0,1842681.9248762175,4601.4345939331215,4801.9053,0.0025,500.0,0.0025,4601.4345939331215,4801.9053,1.0,100,460.25,1842681.9248762175,1.0,0.0024999997,5.434597e-20,400.0,4601.4345939331215,,500,969.4681,2
1.1905892,5.1143645e-23,1.0,733756.2337841026,4849.718589312094,4978.183,0.2519868,,8.5913165e-26,4849.718589312094,4978.183,inf,100,485.04,733756.2337841026,150.00638,0.002,0.00014538504,13.414334173484093,4849.718589312094,51.52092,500,266.39117,1
1.0,1.0,1.0,967540.8442576997,4799.648367132559,4799.648,0.01,500.0,0.01,4799.648367132559,4799.648,1.0,100,480.06,967540.8442576997,1.0,0.009999998,3.5044917e-18,100.0,4799.648367132559,,500,978.706,2
1.0,1.0,1.0,1854472.0147145812,4599.893652544194,4699.7705,0.005,500.0,0.005,4599.893652544194,4699.7705,1.0,100,460.12,1854472.0147145812,1.0,0.0049999994,2.179301e-19,200.00000010221265,4599.893652544194,,500,1186.1163,2
1.0,1.0,1.0,1196372.8084833624,4749.800298354722,4716.4478,0.0033333334,500.0,0.0033333334,4749.800298354722,4716.4478,1.0,100,475.08,1196372.8084833624,1.0,0.0033333336,5.4391416e-20,299.999969473632,4749.800298354722,,500,1154.6748,2
1.0,1.0,1.0,494838.4504021322,4899.450190430983,4762.198,0.0025,500.0,0.0025,4899.450190430983,4762.198,1.0,100,490.02,494838.4504021322,1.0,0.0024999997,5.434597e-20,400.0,4899.450190430983,,500,1062.4064,2
0.9584702,0.15086672,1.0,1419187.336300877,4699.967560760165,4811.262,0.012289058,,0.00031480732,4699.967560760165,4811.262,inf,100,470.11,1419187.336300877,5.889348,0.002,2.2725376e-06,319.08143877792,4699.967560760165,0.5219253,500,931.1057,1
1.0,1.0,1.0,2265877.8958363035,4500.19817724879,4500.1978,0.01,500.0,0.01,4500.19817724879,4500.1978,1.0,100,450.17,2265877.8958363035,1.0,0.009999998,3.5044917e-18,100.0,4500.19817724879,,500,1497.738,2
1.0,1.0,1.0,1855441.8447118113,4599.847886468593,4550.023,0.005,500.0,0.005,4599.847886468593,4550.023,1.0,100,460.11,1855441.8447118113,1.0,0.0049999994,2.179301e-19,200.00000010221265,4599.847886468593,,500,1429.1732,2
1.0,1.0,1.0,493855.26238724514,4899.569127278323,4666.5386,0.0033333334,500.0,0.0033333334,4899.569127278323,4666.5386,1.0,100,490.03,493855.26238724514,1.0,0.0033333336,5.4391416e-20,299.999969473632,4899.569127278323,,500,1245.7184,2
1.0,1.0,1.0,248951.02116458848,4949.583530651908,4737.3,0.0025,500.0,0.0025,4949.583530651908,4737.3,1.0,100,495.02,248951.02116458848,1.0,0.0024999997,5.434597e-20,400.0,4949.583530651908,,500,1113.7762,2
4.4728574e-14,,1.0,1641693.176089714,4649.671556175405,4999.3965,1.0,0.001245510712326259,,4649.671556175405,4999.3965,401441.75,100,465.09,1641693.176089714,2.2364288e-11,0.002,0.0019999999,1.0,4649.671556175405,1.000323e-24,500,,1
1.0,1.0,1.0,5808889.02660196,2918.717070891019,2918.717,0.01,500.0,0.01,2918.717070891019,2918.717,1.0,100,292.37,5808889.02660196,1.0,0.009999998,3.5044917e-18,100.0,2918.717070891019,,500,2398.0825,2
1.0,1.0,1.0,5095943.195445146,3475.8797727484803,3197.2983,0.005,500.0,0.005,3475.8797727484803,3197.2983,1.0,100,347.98,5095943.195445146,1.0,0.0049999994,2.179301e-19,200.00000010221265,3475.8797727484803,,500,2339.9785,2
1.0,1.0,1.0,5781292.681757441,2861.6616456341712,3085.4194,0.0033333334,500.0,0.0033333334,2861.6616456341712,3085.4194,1.0,100,286.67,5781292.681757441,1.0,0.0033333336,5.4391416e-20,299.999969473632,2861.6616456341712,,500,2362.8784,2
1.0,1.0,1.0,5908528.93011338,2948.0925114877,3051.088,0.0025,500.0,0.0025,2948.0925114877,3051.088,1.0,100,295.29,5908528.93011338,1.0,0.0024999997,5.434597e-20,400.0,2948.0925114877,,500,2377.6653,2
0.8411813,2.1180711e-33,1.0,5750328.688866621,3002.7345936946685,4934.0815,0.13635339,,5.0359444e-36,3002.7345936946685,4934.0815,inf,100,300.75,5750328.688866621,57.34896,0.0019999999,9.537044e-05,20.165412505636464,3002.7345936946685,16.870697,500,978.71606,1
1.0,1.0,1.0,1197134.3466360357,4749.312970809353,4749.313,0.01,500.0,0.01,4749.312970809353,4749.313,1.0,100,475.07,1197134.3466360357,1.0,0.009999998,3.5044917e-18,100.0,4749.312970809353,,500,1088.652,2
1.0,1.0,1.0,734558.9235333698,4849.043801326571,4799.178,0.005,500.0,0.005,4849.043801326571,4799.178,1.0,100,485.03,734558.9235333698,1.0,0.0049999994,2.179301e-19,200.00000010221265,4849.043801326571,,500,979.1193,2
1.0,1.0,1.0,1198057.813083109,4749.147599084599,4782.502,0.0033333334,500.0,0.0033333334,4749.147599084599,4782.502,1.0,100,475.06,1198057.813083109,1.0,0.0033333336,5.4391416e-20,299.999969473632,4749.147599084599,,500,1017.36505,2
1.0,1.0,1.0,248905.6577630189,4949.1355233935055,4824.1597,0.0025,500.0,0.0025,4949.1355233935055,4824.1597,1.0,100,495.02,248905.6577630189,1.0,0.0024999997,5.434597e-20,400.0,4949.1355233935055,,500,918.19617,2
6.127074e-36,,1.0,1419877.064979027,4699.4432763949835,4997.731,1.0,8.67101803786793e-06,,4699.4432763949835,4997.731,57663356.0,100,470.1,1419877.064979027,3.063537e-33,0.002,0.0019999999,inf,4699.4432763949835,,500,,1
1.0,1.0,1.0,535803.6612957042,1090.024000092426,1090.024,0.01,500.0,0.01,1090.024000092426,1090.024,1.0,100,110.07,535803.6612957042,1.0,0.009999998,3.5044917e-18,100.0,1090.024000092426,,500,728.31696,2
1.0,1.0,1.0,271861.8904803288,948.8147534772237,1019.41943,0.005,500.0,0.005,948.8147534772237,1019.41943,1.0,100,95.94,271861.8904803288,1.0,0.0049999994,2.179301e-19,200.00000010221265,948.8147534772237,,500,636.2228,2
1.0,1.0,1.0,404233.8731401357,993.9878395280327,1010.9422,0.0033333334,500.0,0.0033333334,993.9878395280327,1010.9422,1.0,100,100.46,404233.8731401357,1.0,0.0033333336,5.4391416e-20,299.999969473632,993.9878395280327,,500,635.13293,2
1.0,1.0,1.0,481299.42084977886,1102.017415024358,1033.711,0.0025,500.0,0.0025,1102.017415024358,1033.711,1.0,100,111.27,481299.42084977886,1.0,0.0024999997,5.434597e-20,400.0,1102.017415024358,,500,650.55536,2
0.873591,0.00797325,1.0,650821.2797146328,1144.9859988907726,2093.316,0.1378326,,1.8253966e-05,1144.9859988907726,2093.316,inf,100,115.57,650821.2797146328,60.20466,0.0019999999,7.674273e-05,24.8172060254694,1144.9859988907726,14.6417675,500,4696.234,1
1.0,1.0,1.0,1638543.4396515035,2149.898995543546,2149.899,0.01,500.0,0.01,2149.898995543546,2149.899,1.0,100,216.06,1638543.4396515035,1.0,0.009999998,3.5044917e-18,100.0,2149.898995543546,,500,1273.6396,2
1.0,1.0,1.0,1266356.919668458,2000.1089232426802,2075.004,0.005,500.0,0.005,2000.1089232426802,2075.004,1.0,100,201.11,1266356.919668458,1.0,0.0049999994,2.179301e-19,200.00000010221265,2000.1089232426802,,500,1201.472,2
1.0,1.0,1.0,1897152.6197699038,2254.7519156646504,2134.92,0.0033333334,500.0,0.0033333334,2254.7519156646504,2134.92,1.0,100,226.57,1897152.6197699038,1.0,0.0033333336,5.4391416e-20,299.999969473632,2254.7519156646504,,500,1263.1694,2
1.0,1.0,1.0,1492380.6828367414,1909.0452906247501,2078.4512,0.0025,500.0,0.0025,1909.0452906247501,2078.4512,1.0,100,192.0,1492380.6828367414,1.0,0.0024999997,5.434597e-20,400.0,1909.0452906247501,,500,1255.2401,2
1.6917666,3.946422e-32,1.0,937143.3668631779,1669.6718237118027,3186.7842,0.64970565,,4.665445e-35,1669.6718237118027,3186.7842,inf,100,168.07,937143.3668631779,549.57513,0.002,0.00086122274,2.3161550112771923,1669.6718237118027,616.22095,500,6404.5366,1
1.0,1.0,1.0,1104035.3629160326,2416.4111750609754,2416.4111,0.01,500.0,0.01,2416.4111750609754,2416.4111,1.0,100,242.71,1104035.3629160326,1.0,0.009999998,3.5044917e-18,100.0,2416.4111750609754,,500,1045.464,2
1.0,1.0,1.0,1008331.9505045498,2344.546523830526,2380.4788,0.005,500.0,0.005,2344.546523830526,2380.4788,1.0,100,235.53,1008331.9505045498,1.0,0.0049999994,2.179301e-19,200.00000010221265,2344.546523830526,,500,1023.1876,2
1.0,1.0,1.0,1217828.2576540967,2522.230882536663,2427.7295,0.0033333334,500.0,0.0033333334,2522.230882536663,2427.7295,1.0,100,253.31,1217828.2576540967,1.0,0.0033333336,5.4391416e-20,299.999969473632,2522.230882536663,,500,1050.8523,2
1.0,1.0,1.0,1113749.8173752634,2462.079193142638,2436.317,0.0025,500.0,0.0025,2462.079193142638,2436.317,1.0,100,247.31,1113749.8173752634,1.0,0.0024999997,5.434597e-20,400.0,2462.079193142638,,500,1050.7579,2
0.10894311,4.1479998e-23,1.0,1374960.311004731,2358.950430702481,3714.496,0.54443234,,7.614983e-25,2358.950430702481,3714.496,inf,100,236.95,1374960.311004731,29.656076,0.002,0.00065779604,3.028098941485531,2358.950430702481,1.9517792,500,6096.827,1
1.0,1.0,1.0,1881662.3152340064,3993.925658800355,3993.9255,0.01,500.0,0.01,3993.925658800355,3993.9255,1.0,100,400.22,1881662.3152340064,1.0,0.009999998,3.5044917e-18,100.0,3993.925658800355,,500,1364.861,2
1.0,1.0,1.0,1969287.0588734078,3824.12978704665,3909.0278,0.005,500.0,0.005,3824.12978704665,3909.0278,1.0,100,383.3,1969287.0588734078,1.0,0.0049999994,2.179301e-19,200.00000010221265,3824.12978704665,,500,1383.267,2
1.0,1.0,1.0,2414134.71507556,3886.6564309898185,3901.5708,0.0033333334,500.0,0.0033333334,3886.6564309898185,3901.5708,1.0,100,389.46,2414134.71507556,1.0,0.0033333336,5.4391416e-20,299.999969473632,3886.6564309898185,,500,1439.5812,2
1.0,1.0,1.0,1080709.7174596922,4225.41168256556,3982.5308,0.0025,500.0,0.0025,4225.41168256556,3982.5308,1.0,100,423.4,1080709.7174596922,1.0,0.0024999997,5.434597e-20,400.0,4225.41168256556,,500,1356.9948,2
1.6541511e-10,,1.0,2200532.6797396834,3896.440074695761,4998.3716,1.0,0.010259317885205127,,3896.440074695761,4998.3716,48736.184,100,390.45,2200532.6797396834,8.270756e-08,0.002,0.0019999999,1.0,3896.440074695761,1.36810834e-17,500,2.4732171e-05,1
1.0,1.0,1.0,968332.2253948334,4799.113969036294,4799.114,0.01,500.0,0.01,4799.113969036294,4799.114,1.0,100,480.05,968332.2253948334,1.0,0.009999998,3.5044917e-18,100.0,4799.113969036294,,500,979.10614,2
1.0,1.0,1.0,1419418.6586964251,4698.551004828387,4748.8325,0.005,500.0,0.005,4698.551004828387,4748.8325,1.0,100,470.02,1419418.6586964251,1.0,0.0049999994,2.179301e-19,200.00000010221265,4698.551004828387,,500,1088.3313,2
