Weights,EpisodesSoFar,MinIW,ReturnStepMaxmin,InitialBound,MinD2w0t,InitialReturnMax,MeanD2w0t,ReturnMeanIW,MaxD2w0t,ReturnStepMax,MeanIW,Iteration,EpThisIter,InitialReturnMin,InitialReturnStd,Bound,StdIW,EpRewMean,J_sample_variance,StdD2w0t,TimestepsSoFar,TimeElapsed,EmpiricalD2,MaxIW,EpLenMean,InitialReturnMean
[-0.393 -0.634 -0.452 -0.267 -0.042],3000,0.766418,94.0236,-105.47601,,20.29155,0.095418416,174.67484,1.0216156,100.0,1.0161362,30,100,-17.104538,8.45111,-104.053955,0.104053125,-120.39121450559642,364.50616,0.29498413,139658,433.5000145435333,1.012662,1.3181798,47.36,-2.2888183e-07
[-0.394 -0.637 -0.45  -0.27  -0.046],3100,0.79247105,94.01948,-123.5302,,28.753456,0.096192986,172.012,1.0158979,100.0,1.0118405,31,100,-18.623917,9.062985,-122.67648,0.07288526,-121.18123601149256,149.27962,0.2954875,144449,447.840758562088,1.0062268,1.1633421,47.91,-7.133484e-06
[-0.389 -0.633 -0.446 -0.267 -0.051],3200,0.5905197,94.111465,-98.224884,,17.342968,0.096207626,178.41902,1.1094933,100.0,1.0677806,32,100,-17.051353,8.265773,-93.756485,0.2052936,-120.04510911944895,568.8716,0.29723793,149192,461.99726390838623,1.0552937,1.9659239,47.43,-4.119873e-06
[-0.372 -0.64  -0.448 -0.273 -0.048],3300,0.66624343,94.112015,-108.19406,,24.619602,0.09485227,174.878,1.0358292,100.0,1.0278703,33,100,-18.965797,9.958347,-106.0504,0.119725466,-118.1916400635066,399.5743,0.29476726,153884,476.0508601665497,1.0189148,1.517273,46.92,3.5095215e-06
[-0.377 -0.637 -0.449 -0.277 -0.042],3400,0.8217578,94.12363,-105.33209,,26.940155,0.096122265,170.70891,1.0103937,100.0,1.0083364,34,100,-18.499702,9.5460825,-104.64766,0.08453106,-120.33068293139155,217.06218,0.29534736,158673,491.4488425254822,1.0065397,1.3251256,47.89,5.8746336e-06
[-0.377 -0.634 -0.447 -0.277 -0.035],3500,0.7617266,93.9394,-94.454315,,24.205849,0.092321515,178.66803,1.0174627,100.0,1.0146741,35,100,-18.721863,8.43758,-93.13675,0.08758087,-118.35498039167318,296.45813,0.29045218,163261,504.83441734313965,1.0104698,1.2554046,45.88,-8.087158e-06
[-0.373 -0.629 -0.441 -0.279 -0.043],3600,0.7478199,94.252686,-142.46779,,54.650646,0.100273125,160.96956,1.0374553,100.0,1.024156,36,100,-19.019638,11.606772,-140.8531,0.13522696,-118.44590627264346,360.1068,0.30115324,168251,519.8739006519318,1.0147457,1.6700132,49.9,3.4713746e-06
[-0.382 -0.623 -0.441 -0.275 -0.046],3700,0.721406,94.23221,-117.43588,,28.54255,0.098474436,169.87563,1.0355518,100.0,1.0281014,37,100,-17.093628,9.446737,-115.42964,0.15533695,-120.65596139235745,565.00806,0.29965335,173125,535.2266688346863,1.0224953,1.587622,48.74,9.918213e-07
[-0.379 -0.62  -0.44  -0.278 -0.036],3800,0.8334675,94.133286,-112.00008,,30.408913,0.09675631,167.26828,1.0119112,100.0,1.0088567,38,100,-17.25753,9.909075,-111.25433,0.082005784,-118.58717179034399,244.47775,0.29630396,177943,549.5158452987671,1.006092,1.2853694,48.18,5.340576e-07
[-0.376 -0.616 -0.435 -0.278 -0.032],3900,0.5950156,94.08956,-112.89476,,22.748646,0.09615412,175.03194,1.0503274,100.0,1.0379615,39,100,-16.13005,8.89793,-110.26988,0.16442892,-119.62567534202608,527.5045,0.29675645,182694,564.300535440445,1.0257977,1.6037073,47.51,2.5939942e-06
[-0.389 -0.611 -0.439 -0.272 -0.035],4000,0.7700112,93.991196,-120.285065,,54.173447,0.096068904,171.13754,1.0204629,100.0,1.0169922,40,100,-15.64798,11.305394,-119.189575,0.11227803,-119.61379480088362,333.13232,0.29561406,187470,579.4384231567383,1.0104047,1.4235499,47.76,3.8146973e-07
[-0.387 -0.612 -0.441 -0.271 -0.026],4100,0.73939884,94.15874,-113.64227,,23.696587,0.097358264,168.27377,1.0110896,100.0,1.0055135,41,100,-17.745125,9.392618,-113.063995,0.085099205,-120.65428926684797,185.43118,0.29702306,192321,594.4073581695557,1.0065571,1.2071794,48.51,1.5258789e-07
[-0.385 -0.614 -0.441 -0.269 -0.032],4200,0.6063596,93.92594,-109.52002,,40.331326,0.09411744,176.11342,1.0508153,100.0,1.0280617,42,100,-18.607422,10.557229,-107.490036,0.15398207,-118.3564435826142,455.25742,0.29341176,196986,608.5309743881226,1.0246503,1.4096622,46.65,-3.929138e-06
[-0.378 -0.624 -0.444 -0.275 -0.038],4300,0.63709253,93.901024,-113.84961,,50.182705,0.09520623,175.81491,1.0466989,100.0,1.0238998,43,100,-16.59269,8.962379,-112.22946,0.15967321,-120.43787287561436,549.90015,0.2947557,201710,622.377382516861,1.0239621,1.5216806,47.24,3.4713746e-06
[-0.387 -0.621 -0.442 -0.272 -0.042],4400,0.77155274,93.93919,-118.02083,,32.721977,0.09319607,176.93777,1.0273769,100.0,1.0187119,44,100,-16.883835,10.331991,-116.538635,0.105028026,-118.33415988585551,316.88007,0.29178202,206339,636.5516288280487,1.0133584,1.2653205,46.29,4.6920777e-06
[-0.382 -0.623 -0.439 -0.278 -0.046],4500,0.5815413,94.19096,-124.91911,,26.828789,0.102299474,174.978,1.1294892,100.0,1.0922662,45,100,-19.087456,9.417006,-118.51459,0.29051834,-119.134986786357,1790.5673,0.30948976,211266,651.5499305725098,1.0597806,2.2540014,49.27,-2.9754638e-06
[-0.377 -0.616 -0.426 -0.279 -0.057],4600,0.61165094,94.212685,-118.25194,,33.461437,0.10090104,165.50294,1.0442973,100.0,1.032384,46,100,-18.508469,10.639461,-115.984024,0.15949674,-120.75431878049145,525.016,0.30319434,216252,666.4929835796356,1.0256896,1.5006527,49.86,-2.2888183e-07
[-0.38  -0.612 -0.424 -0.275 -0.07 ],4700,0.61233383,94.35678,-140.89737,,34.680862,0.102500506,158.8327,1.057255,100.0,1.0379194,47,100,-19.77002,9.70301,-138.68723,0.17613927,-118.02199367781293,553.32544,0.30504104,221325,682.1912066936493,1.02614,2.2020712,50.73,-2.2506713e-06
[-0.388 -0.613 -0.425 -0.273 -0.06 ],4800,0.6492439,94.043724,-118.19397,,41.029285,0.09698904,172.19911,1.045504,100.0,1.0365795,48,100,-17.22467,11.084871,-115.3087,0.15045172,-118.73648815860311,575.5044,0.29793707,226116,696.720059633255,1.022448,1.5596266,47.91,-9.918213e-07
[-0.391 -0.618 -0.428 -0.271 -0.073],4900,0.62579775,94.24564,-114.77179,,27.883102,0.100040056,170.80435,1.1430755,100.0,1.062668,49,100,-18.446945,8.941245,-110.3692,0.26803437,-119.2137947276426,1083.1418,0.30331537,231024,711.5012829303741,1.0582826,2.3983185,49.08,8.354187e-06
[-0.403 -0.605 -0.425 -0.263 -0.068],5000,0.71934754,94.10529,-133.05203,,38.606052,0.096753456,169.43575,1.0443422,100.0,1.0269861,50,100,-13.306427,9.230969,-131.12013,0.14116704,-117.78064289005637,374.35046,0.2971518,235817,727.515303850174,1.0207967,1.5998235,47.93,4.53949e-06
[-0.403 -0.603 -0.427 -0.267 -0.066],5100,0.58977103,94.13812,-104.201004,,25.089905,0.097806975,172.57663,1.071451,100.0,1.0441539,51,100,-16.664322,9.973692,-100.07785,0.187938,-119.21473888387109,683.20685,0.2993564,240640,743.2613923549652,1.0359035,1.6888263,48.23,-4.0817263e-06
[-0.422 -0.615 -0.439 -0.263 -0.063],5200,0.71486545,94.07985,-120.74118,,22.061348,0.09827712,169.74525,1.0426497,100.0,1.0307811,52,100,-16.989357,9.622743,-118.79433,0.18531887,-119.9721224745122,656.75385,0.29957813,245498,759.3358535766602,1.0231947,1.8665055,48.58,3.890991e-06
[-0.413 -0.609 -0.434 -0.264 -0.051],5300,0.6520827,94.06936,-113.13336,,30.45953,0.09664779,172.63097,1.0515623,100.0,1.0386487,53,100,-16.145523,9.113295,-110.35521,0.16964042,-118.96769817915687,442.4839,0.29737806,250275,774.3975539207458,1.0287621,1.5577859,47.77,-3.1661987e-06
[-0.4   -0.596 -0.426 -0.264 -0.047],5400,0.45279792,94.05162,-106.21533,,26.228802,0.09851916,177.96814,1.1204023,100.0,1.0708936,54,100,-16.749619,9.56439,-101.38406,0.28556475,-119.08215875994047,1759.2645,0.30326506,255051,790.4952812194824,1.0581533,2.1911225,47.76,2.2506713e-06
[-0.403 -0.617 -0.433 -0.275 -0.04 ],5500,0.6660753,94.27781,-133.02165,,52.159473,0.10219627,160.0136,1.0434498,100.0,1.0278,55,100,-18.593285,11.223491,-131.03984,0.1184904,-119.9079713651038,368.96548,0.30412647,260124,805.7046544551849,1.0160573,1.3843853,50.73,-3.4332274e-06
[-0.402 -0.627 -0.438 -0.28  -0.044],5600,0.83507955,94.039444,-115.068665,,39.002995,0.096394524,168.71277,1.0155445,100.0,1.0080922,56,100,-15.383095,9.546851,-114.36578,0.088743314,-119.00401403518384,268.2359,0.29586023,264922,819.9415988922119,1.0076575,1.283545,47.98,6.4849854e-07
[-0.401 -0.633 -0.437 -0.283 -0.041],5700,0.7696734,94.10128,-110.80467,,27.858429,0.098712705,169.27158,1.0261639,100.0,1.0195475,57,100,-16.198967,9.534694,-109.0101,0.11304846,-121.57499713428336,338.41916,0.29964933,269817,835.5010743141174,1.0116704,1.4233537,48.95,7.6293944e-08
[-0.388 -0.632 -0.429 -0.285 -0.039],5800,0.6538824,94.32324,-124.25331,,22.911999,0.10274684,164.92699,1.0493596,100.0,1.0430827,58,100,-16.394531,9.028869,-121.09459,0.16623285,-120.91314801327525,610.8264,0.30662876,274865,851.3259718418121,1.0299203,1.4825076,50.48,-1.9073487e-07
[-0.384 -0.638 -0.424 -0.287 -0.051],5900,0.83738863,94.28552,-116.32347,,24.377632,0.09879415,165.70769,1.0125476,100.0,1.0155648,59,100,-19.302353,9.751079,-114.66426,0.06512544,-120.15072497398684,226.28749,0.29902142,279786,866.5529406070709,1.0054666,1.2051151,49.21,6.4849854e-07
[-0.391 -0.647 -0.431 -0.29  -0.051],6000,0.5295811,94.08525,-120.95441,,36.338696,0.09989877,173.17082,1.1033986,100.0,1.056611,60,100,-17.863548,10.200647,-117.07399,0.2625459,-120.13044396198991,1311.3932,0.30396542,284662,881.971230506897,1.0599797,1.8960066,48.76,-1.335144e-06
[-0.386 -0.639 -0.433 -0.292 -0.049],6100,0.7623198,94.15581,-124.03302,,46.67796,0.097808436,164.5063,1.0156854,100.0,1.014553,61,100,-20.566978,10.579295,-123.044235,0.09779445,-117.85938431523647,201.54666,0.2978757,289528,897.0978934764862,1.0086735,1.2838651,48.66,-3.4713746e-06
[-0.386 -0.633 -0.433 -0.289 -0.048],6200,0.7190027,94.287,-127.81152,,25.545979,0.10204787,162.1733,1.0555217,100.0,1.0374142,62,100,-20.175934,9.919095,-125.53508,0.145989,-119.66487918320144,456.0339,0.3048066,294568,912.8884906768799,1.0227878,1.5032885,50.4,-2.0980835e-06
[-0.39  -0.627 -0.432 -0.293 -0.053],6300,0.7616743,94.06977,-108.912384,,32.966557,0.09513999,173.8906,1.040113,100.0,1.0356425,63,100,-17.021492,9.336033,-106.4682,0.15176705,-117.38907721091253,506.47253,0.2953161,299270,927.7099485397339,1.0228192,1.6616123,47.02,-4.4250487e-06
[-0.397 -0.621 -0.434 -0.288 -0.044],6400,0.5906511,93.98165,-94.170456,,22.912407,0.094612904,187.08315,1.1086793,100.0,1.0757191,64,100,-18.161385,9.255685,-88.88008,0.2600004,-118.28048479252325,1364.2678,0.298268,303844,942.3792045116425,1.062695,2.200532,45.74,3.1280517e-06
[-0.392 -0.61  -0.438 -0.282 -0.048],6500,0.74668723,94.32755,-121.23537,,19.708889,0.09926636,165.64294,1.0347781,100.0,1.0264972,65,100,-16.696747,7.923539,-119.29404,0.13836132,-118.70433579709061,393.78964,0.30068675,308758,957.8606038093567,1.0182127,1.5282583,49.14,-2.2888183e-07
[-0.393 -0.615 -0.442 -0.283 -0.036],6600,0.6624392,94.171295,-110.18468,,26.29348,0.09728746,172.36307,1.0691842,100.0,1.0464686,66,100,-16.023544,9.246585,-106.47919,0.2133904,-118.4110401518864,932.7225,0.29859936,313557,972.9898900985718,1.0310222,2.0721796,47.99,9.536743e-07
[-0.412 -0.614 -0.447 -0.281 -0.027],6700,0.64921993,94.255135,-124.83513,,23.833744,0.09989381,168.99672,1.0681137,100.0,1.0521628,67,100,-18.166618,9.85713,-120.73607,0.18935464,-118.42217062211427,772.4293,0.3028508,318464,988.8005669116974,1.0373093,1.6873322,49.07,-2.4795531e-06
[-0.423 -0.617 -0.447 -0.283 -0.015],6800,0.3288152,93.96404,-101.63925,,27.872639,0.09942351,192.46393,1.2624543,100.0,1.1191279,68,100,-15.160408,8.490863,-95.56174,0.60485846,-119.1276831968048,6414.179,0.31145915,323099,1003.9808044433594,1.1508416,4.069318,46.35,-2.9373168e-06
[-0.424 -0.629 -0.448 -0.275 -0.041],6900,0.7957769,94.22769,-126.04155,,42.875317,0.1008852,160.05038,1.01561,100.0,1.0094026,69,100,-19.233994,10.714685,-125.37744,0.09525189,-119.85933673052911,318.26315,0.30189818,328122,1019.8547086715698,1.0088162,1.2412237,50.23,-7.6293946e-07
[-0.425 -0.631 -0.446 -0.275 -0.044],7000,0.78023875,94.34962,-133.88094,,31.514961,0.1008062,156.84058,1.0163208,100.0,1.0078912,70,100,-20.456703,9.448417,-133.18048,0.09786876,-117.34909064937145,242.54156,0.30161244,333146,1035.126999616623,1.0092376,1.3921803,50.24,2.670288e-06
[-0.428 -0.633 -0.446 -0.272 -0.045],7100,0.680222,94.35665,-128.46428,,32.2887,0.10249805,162.69824,1.0494833,100.0,1.039181,71,100,-20.114723,9.612696,-125.85013,0.16243015,-120.29647988100595,508.94635,0.3055082,338205,1050.252567768097,1.0297531,1.547352,50.59,-2.3269654e-06
[-0.43  -0.634 -0.446 -0.267 -0.053],7200,0.61947846,94.3687,-133.9696,,29.456326,0.103302985,158.26836,1.0276396,100.0,1.0179044,72,100,-20.234657,9.793344,-133.05455,0.09964921,-122.00268422591517,149.98456,0.30506098,343349,1066.0734567642212,1.0097967,1.3073655,51.44,5.340576e-07
[-0.426 -0.642 -0.45  -0.268 -0.053],7300,0.78002584,94.10963,-126.849,,55.824295,0.09797154,165.8022,1.0129144,100.0,1.0106794,73,100,-18.808815,10.902355,-125.80385,0.07141502,-119.54144280704602,207.26271,0.29784352,348231,1080.600525856018,1.0070491,1.2116879,48.82,4.7302246e-06
[-0.421 -0.638 -0.447 -0.268 -0.059],7400,0.694964,94.43829,-122.56479,,25.461647,0.10278377,160.45847,1.0368693,100.0,1.0279758,74,100,-17.488266,8.943615,-120.03345,0.11539702,-119.75389425107264,403.49847,0.3055827,353313,1095.5403201580048,1.0184685,1.3998826,50.82,-9.155273e-07
[-0.432 -0.643 -0.452 -0.272 -0.065],7500,0.7315474,94.35959,-138.94618,,46.1046,0.104275174,156.41719,1.0414069,100.0,1.0335213,75,100,-20.971283,10.972331,-136.90129,0.14879623,-119.9554825358366,401.93686,0.30706003,358483,1110.3569412231445,1.0218172,1.5572999,51.7,2.2888185e-06
[-0.441 -0.644 -0.455 -0.268 -0.072],7600,0.70170283,94.29097,-126.47604,,28.606861,0.10105804,159.67725,1.0265161,100.0,1.0152746,76,100,-17.071587,9.938255,-125.50275,0.083035804,-119.58842406654911,147.2123,0.30210796,363515,1124.610411643982,1.0085666,1.261386,50.32,1.9454956e-06
[-0.435 -0.65  -0.457 -0.268 -0.071],7700,0.86215264,94.47294,-127.776855,,24.338558,0.10483936,151.72778,1.0058506,100.0,1.0052994,77,100,-20.8059,10.480605,-127.42752,0.05500705,-120.27113807882981,149.01003,0.30663425,368748,1140.3624625205994,1.0029987,1.1941758,52.33,-2.3651123e-06
[-0.437 -0.654 -0.46  -0.27  -0.067],7800,0.5349318,94.398026,-129.90802,,34.61657,0.10401478,157.2356,1.0801748,100.0,1.0444115,78,100,-18.995682,10.954029,-127.1427,0.20653717,-118.12567834521535,617.30884,0.30755457,373881,1156.3108539581299,1.041985,1.9641477,51.33,2.3651123e-06
[-0.451 -0.655 -0.464 -0.264 -0.075],7900,0.8219745,94.41928,-138.92339,,49.19427,0.10576022,151.81647,1.0113477,100.0,1.0101454,79,100,-20.676407,11.461795,-137.91971,0.071852066,-120.73826323648555,261.46875,0.30818948,379149,1172.6421587467194,1.0069497,1.2280378,52.68,-2.2888183e-07
[-0.457 -0.658 -0.468 -0.264 -0.082],8000,0.61330354,94.50668,-138.92874,,26.471958,0.105461806,154.76189,1.0365932,100.0,1.0283936,80,100,-17.98928,9.038166,-136.82228,0.14115831,-119.69884688538558,440.84256,0.30898845,384366,1188.5791354179382,1.0218228,1.4714994,52.17,4.119873e-06
[-0.46  -0.668 -0.469 -0.265 -0.087],8100,0.8593956,94.51648,-139.41077,,24.280773,0.10377541,154.3674,1.0116638,100.0,1.010404,81,100,-20.29879,9.627409,-138.84476,0.07070343,-120.24090158504605,126.89066,0.30548644,389539,1203.3804795742035,1.0053263,1.2582678,51.73,4.4250487e-06
[-0.459 -0.665 -0.468 -0.263 -0.084],8200,0.8207865,94.340324,-121.46492,,20.468975,0.100498825,160.99246,1.0078423,100.0,1.0085211,82,100,-19.970634,8.599475,-120.70154,0.055136386,-120.3444327807348,149.35928,0.301093,394551,1218.6544873714447,1.0037689,1.2056655,50.12,-4.8446655e-06
[-0.466 -0.666 -0.473 -0.261 -0.083],8300,0.49034458,94.19973,-121.540985,,31.98779,0.10149335,166.2838,1.0607603,100.0,1.0442985,83,100,-19.181084,9.977975,-118.11998,0.14151219,-121.02462283236959,434.35187,0.3040704,399564,1233.2221064567566,1.0199257,1.5458834,50.13,1.411438e-06
[-0.466 -0.682 -0.481 -0.261 -0.08 ],8400,0.85930395,94.30663,-128.458,,27.562588,0.10140337,157.70435,1.006563,100.0,1.0049458,84,100,-19.07196,9.808111,-128.14667,0.055081792,-119.91056395133715,159.8713,0.3021646,404625,1247.5806138515472,1.0033511,1.1925181,50.61,-1.7166137e-06
