Iteration,EpLenMean,ReturnStepMaxmin,InitialReturnStd,ReturnStepMax,Bound,ReturnMeanIW,EpisodesSoFar,StdD2w0t,TimestepsSoFar,MeanD2w0t,MinIW,MaxIW,InitialReturnMean,MeanIW,InitialBound,MinD2w0t,Weights,EmpiricalD2,J_sample_variance,StdIW,InitialReturnMin,EpThisIter,TimeElapsed,EpRewMean,InitialReturnMax,MaxD2w0t
42,16.52,86.2472,2.8188317,100.0,445.3232,673.90485,4200,0.2955907,70391,0.049859125,0.054647617,15.722947,-9.155273e-07,1.230084,383.2423,,[-0.532  0.761 -0.82   0.232 -0.46 ],2.6755936,531604.75,1.4630204,-4.038574,100,416.55874276161194,-108.24916303988903,8.677795,5.4056106
43,16.65,86.346725,2.8554566,100.0,418.3188,603.7363,4300,0.2044301,72056,0.037675224,0.28367907,3.8400626,-2.2888185e-06,1.099362,381.26294,,[-0.525  0.743 -0.788  0.208 -0.446],1.4048063,92822.01,0.6080706,-4.270996,100,425.6375575065613,-108.2776947970583,7.6657715,1.6619589
44,16.43,86.27166,2.703121,100.0,419.51282,609.36664,4400,0.2016752,73699,0.036990907,0.36655372,4.5027385,-4.348755e-06,1.0975249,383.63858,,[-0.549  0.743 -0.771  0.203 -0.429],1.2526162,108600.2,0.62600803,-3.8367004,100,435.14086532592773,-107.65706046279938,8.39592,1.7386323
45,16.24,86.07533,2.9181542,100.0,480.42206,692.8951,4500,0.25344917,75323,0.04455073,0.017119203,9.527961,2.8991699e-06,1.2332175,389.99908,,[-0.537  0.761 -0.76   0.225 -0.39 ],1.6384952,353726.66,1.1136619,-4.1908493,100,445.52415919303894,-107.93123837513704,10.806976,3.431055
46,16.52,86.25321,2.9108062,100.0,561.76135,845.6588,4600,0.5475491,76975,0.07489623,0.00606837,50.04709,2.2888185e-06,1.5491269,379.28467,,[-0.55   0.788 -0.712  0.194 -0.447],5.8923693,3459589.2,3.6528065,-3.962143,100,455.55610942840576,-108.59748020960149,10.00695,26.02589
47,16.75,86.45322,2.888811,100.0,436.5906,667.72614,4700,0.28741252,78650,0.05034945,0.11825195,22.174088,-8.621216e-06,1.219356,370.81744,,[-0.734  0.79  -0.755  0.248 -0.457],1.6979359,465497.53,1.2491815,-4.30777,100,466.6314916610718,-108.17808961687616,7.782936,4.914437
48,16.9,86.62752,2.6171775,100.0,385.1521,579.27484,4800,0.19768886,80340,0.036884997,0.2744046,2.8085845,2.0599366e-06,1.0778154,359.71545,,[-0.777  0.759 -0.803  0.273 -0.408],1.2044944,54637.742,0.47622913,-4.9725266,100,476.5341992378235,-107.71295454058482,6.23098,1.55604
49,16.9,86.62676,3.0534587,100.0,389.96277,602.3411,4900,0.23139785,82030,0.04272497,0.14602672,3.6849656,-1.6784668e-06,1.1195927,357.46375,,[-0.741  0.784 -0.78   0.277 -0.394],1.4401481,129270.1,0.7105156,-4.3396072,100,486.36381483078003,-107.81113451517628,11.6328125,2.2118845
50,16.55,86.281456,2.8094897,100.0,548.9242,847.77795,5000,0.62726086,83685,0.08067744,0.009247398,55.121696,6.790161e-06,1.5766605,382.56696,,[-0.755  0.737 -0.821  0.295 -0.422],5.3296185,7423353.5,5.5005,-3.9020462,100,496.11560916900635,-108.351957386776,9.330414,16.035776
51,16.54,86.32788,2.8042898,100.0,425.35797,652.78906,5100,0.25770205,85339,0.045502286,0.1059146,18.240833,-8.31604e-06,1.1949469,378.31317,,[-0.687  0.724 -0.83   0.237 -0.48 ],2.423871,974902.25,2.0306149,-3.9739227,100,507.80581974983215,-108.0370257185435,9.190727,3.4267497
52,16.24,86.06503,2.710435,100.0,392.7378,588.6766,5200,0.18666263,86963,0.034160137,0.28099585,2.4560142,1.9073486e-06,1.0436229,377.08075,,[-0.714  0.674 -0.854  0.232 -0.441],1.1274216,32950.918,0.3515835,-3.8460846,100,517.936651468277,-107.96339534552706,11.54261,1.2825348
53,16.14,85.97478,2.6175199,100.0,438.68793,616.2543,5300,0.18883872,88577,0.03445708,0.39735726,2.3662164,-1.0147095e-05,1.0818257,401.27127,,[-0.734  0.658 -0.866  0.242 -0.443],1.1238781,41430.035,0.38163042,-4.219269,100,526.6762459278107,-108.142004168541,7.5864105,1.2081141
54,16.61,86.37436,2.7697787,100.0,433.56335,631.68164,5400,0.2366315,90238,0.043084666,0.06747303,4.282042,-1.083374e-05,1.1530185,382.14703,,[-0.75   0.671 -0.861  0.258 -0.495],1.4491652,149853.95,0.7430931,-3.9889832,100,536.0221626758575,-108.16589293449844,6.4040604,2.3211293
55,16.55,86.335815,2.9320855,100.0,377.92847,564.2301,5500,0.1819752,91893,0.033664823,0.3828619,1.6575059,8.544922e-06,1.0197412,371.65475,,[-0.707  0.687 -0.824  0.225 -0.549],1.0348403,10358.838,0.19871248,-4.1346283,100,545.8467481136322,-107.89736649856084,8.318794,1.1587962
56,16.36,86.13986,2.355185,100.0,1081.5789,2027.6206,5600,36.029613,93529,0.7590591,0.000103125334,334.29205,9.9182125e-06,3.9078841,393.4148,,[-0.72   0.678 -0.832  0.22  -0.548],208.93755,267886940.0,32.788654,-3.4011688,100,554.7317361831665,-108.38136161870314,6.6017075,6427.4272
57,16.69,86.42946,2.4564793,100.0,448.12305,643.3934,5700,0.22406082,95198,0.040383905,0.17002423,6.2806067,-2.670288e-06,1.1826322,375.14474,,[-0.682  0.74  -0.843  0.276 -0.506],1.4667758,198633.86,0.8789489,-4.3302307,100,566.6007754802704,-108.00501687196972,7.736328,3.5764065
58,16.34,86.13988,2.2189915,100.0,420.6291,608.6994,5800,0.2025492,96832,0.03706836,0.2992783,3.442544,1.0681152e-06,1.0806234,390.5125,,[-0.61   0.703 -0.874  0.288 -0.499],1.1687468,59425.67,0.44938666,-3.812317,100,577.6802520751953,-108.25462253983113,6.260483,1.4632623
59,16.06,85.92569,2.4442866,100.0,724.4592,1148.0533,5900,2.3289723,98438,0.16629457,0.0022884442,139.79619,-8.69751e-06,2.0699174,400.664,,[-0.612  0.726 -0.843  0.282 -0.528],8.653793,30498570.0,10.195073,-3.7792358,100,587.4409756660461,-107.96723580454271,7.033478,127.98157
60,16.39,86.1528,2.7163851,100.0,1712.4072,2978.535,6000,17.356102,100077,0.654176,0.00078876363,397.71756,-1.335144e-05,5.855802,391.51886,,[-0.636  0.771 -0.78   0.212 -0.535],121.49355,366863500.0,39.07374,-4.281578,100,598.4170513153076,-108.24631926005902,9.08313,2594.6538
