Iteration,MinIW,MeanIW,TimeElapsed,ESSRenyi,InitialReturnMax,EpisodesSoFar,EpLenMean,InitialBound,StdIW,MinIWNorm,TimestepsSoFar,ReturnMeanIW,MaxIW,Weights,J_sample_variance,EmpiricalD2,ReturnStepMaxmin,EpThisIter,MaxIWNorm,InitialReturnStd,EpRewMean,MeanIWNorm,InitialReturnMean,ESSClassic,InitialReturnMin,StdIWNorm,ReturnStepMax,Bound
25,1.0,1.0,86.42339515686035,100.0,7.4970474,2500,17.58,-0.24990731,,0.01,42448,-5.7294965e-06,1.0,[-0.77   0.835 -0.565  0.2   -0.028],6.313837,1.0,86.94428,100,0.01,2.5001397,-109.32669554494525,0.009999999,-5.722046e-06,100.0,-4.2385864,9.313226e-10,100.0,-0.24990731
26,0.10339853,0.92306364,90.65861511230469,46.191235,9.5846405,2600,17.42,-0.31947964,0.92652416,0.0010339853,44190,0.4794285,5.5056353,[-0.77   0.835 -0.565  0.2   -0.028],24.365553,2.164913,86.852325,100,0.055056352,3.2234945,-108.99150368456904,0.009230637,8.392334e-06,49.812904,-3.7993622,0.009265241,100.0,0.009345233
27,0.008002083,1.1432048,93.97607088088989,6.2011786,10.0251465,2700,17.15,-0.33418205,4.5702205,8.002083e-05,45905,3.5120132,42.706154,[-0.782  0.83  -0.619  0.189 -0.026],1533.1615,16.125967,86.70627,100,0.42706153,2.8535182,-108.70734875637804,0.011432047,-1.0528564e-05,5.8886495,-3.956627,0.045702204,100.0,2.1700754
28,0.0013377675,1.4423592,97.93588137626648,3.0138557,10.041901,2800,17.08,-0.33472747,6.8293376,1.3377674e-05,47613,6.5923963,66.83667,[-0.776  0.838 -0.576  0.042 -0.068],3484.5913,33.180088,86.68472,100,0.6683667,3.1691418,-108.22545506394934,0.01442359,2.5939942e-06,4.2700925,-4.608467,0.06829337,100.0,4.664279
29,0.24396032,1.1277149,101.81040143966675,78.52513,11.394089,2900,17.0,-0.37980986,0.57571685,0.0024396032,49313,0.37807286,3.1468906,[-0.759  0.796 -0.513  0.07  -0.143],16.090229,1.2734777,86.60769,100,0.031468906,2.9781237,-108.65048844861762,0.011277148,-6.866455e-06,79.32561,-4.2806854,0.005757168,100.0,-0.050528973
30,0.06856349,1.0966913,105.33674192428589,39.817413,10.462975,3000,18.29,-0.34875667,1.5565902,0.0006856349,51142,0.5179254,13.275612,[-0.758  0.826 -0.505  0.057 -0.155],32.675297,2.5114639,87.43309,100,0.13275611,3.2700934,-109.07391496404315,0.010966913,9.155274e-06,33.17236,-4.8210144,0.015565901,100.0,-0.034784734
31,0.33147904,1.0357765,108.50818157196045,84.74494,10.537956,3100,17.12,-0.35126853,0.41347423,0.0033147903,52854,0.083386555,2.4473124,[-0.77   0.794 -0.49   0.064 -0.15 ],11.73579,1.1800114,86.70033,100,0.024473123,3.1156218,-108.48919482448288,0.010357764,-3.2806397e-06,86.254875,-4.1290436,0.004134742,100.0,-0.29818702
32,0.00012600837,2.072153,111.47726011276245,3.6247635,9.913948,3200,17.05,-0.3304628,11.256197,1.2600836e-06,54559,4.490642,112.079636,[-0.766  0.797 -0.509  0.067 -0.153],1890.3182,27.588007,86.691505,100,1.1207963,3.314266,-107.98992460456384,0.020721529,2.0599366e-06,3.277829,-4.868347,0.112561956,100.0,2.7548985
33,0.0058742887,1.7726212,115.28375840187073,2.5027287,10.074806,3300,17.4,-0.3358189,12.862728,5.8742888e-05,56299,2.9948442,129.43622,[-0.824  0.711 -0.507  0.068 -0.202],926.9537,39.956387,86.91089,100,1.2943622,3.2767966,-108.22277837528502,0.017726213,8.010864e-06,1.8637818,-4.6244125,0.12862727,100.0,0.8720467
34,0.0004152754,5.199787,120.27164149284363,3.5627904,9.7571945,3400,17.01,-0.3252418,27.304987,4.1527537e-06,58000,15.568626,213.48537,[-0.858  0.672 -0.458  0.077 -0.209],17421.377,28.067888,86.63087,100,2.1348536,3.348849,-108.247960839323,0.05199787,-1.9836425e-06,3.4995842,-4.667053,0.27304983,100.0,13.845534
35,1.0,1.0,124.26922559738159,100.0,9.229134,3500,18.04,-0.3076354,,0.01,59804,2.4102628e-06,1.0,[-0.919  0.677 -0.437 -0.036 -0.376],10.266969,1.0,87.333954,100,0.01,3.1881497,-108.45704811778366,0.009999999,2.4414062e-06,100.0,-4.8832397,9.313226e-10,100.0,-0.3076354
36,0.0053818305,1.3533607,126.96534013748169,5.174212,12.042305,3600,17.12,-0.40140674,4.987196,5.3818305e-05,61516,3.380998,46.54122,[-0.919  0.677 -0.437 -0.036 -0.376],1205.8872,19.326614,86.63508,100,0.4654122,3.0269248,-108.85470288222633,0.013533606,3.4332274e-06,6.8589153,-4.3314056,0.04987196,100.0,1.6163167
37,0.010324067,1.1538632,131.05447435379028,12.081142,10.847771,3700,17.43,-0.3615923,2.5248098,0.00010324067,63259,1.2927735,22.826221,[-0.907  0.758 -0.43  -0.021 -0.343],317.19446,8.277363,86.97378,100,0.22826222,3.521728,-108.08514582992541,0.011538632,7.6293944e-08,17.2773,-5.04023,0.025248101,100.0,0.25245762
38,0.014333425,2.8625107,135.60811161994934,3.4225132,11.594147,3800,18.37,-0.38647193,19.00636,0.00014333424,65096,5.5117702,191.60901,[-0.911  0.727 -0.395 -0.018 -0.37 ],3126.9253,29.218294,87.52922,100,1.91609,3.2202938,-108.5957859178621,0.028625106,-3.8146973e-07,2.2179692,-4.897484,0.19006358,100.0,3.4227388
39,0.049312543,0.9995159,140.35277462005615,42.614365,9.741379,3900,17.16,-0.32471016,1.194219,0.0004931254,66812,0.5183635,10.818394,[-0.942  0.704 -0.395 -0.085 -0.359],22.02917,2.3466265,86.77161,100,0.108183935,3.1442256,-108.02789486677662,0.009995159,2.4414062e-06,41.19395,-5.5303802,0.011942188,100.0,0.020945877
40,0.008913221,1.2113314,143.53456854820251,7.9626966,11.323425,4000,17.92,-0.377456,3.0980513,8.9132205e-05,68604,2.2043133,25.220222,[-0.946  0.741 -0.344 -0.08  -0.355],433.8104,12.558559,87.25961,100,0.2522022,3.625375,-108.5018236902179,0.012113314,-8.544922e-06,13.2606535,-5.00663,0.030980509,100.0,0.86671257
41,3.9762683e-05,2.4862754,148.60124945640564,1.7928096,11.5236435,4100,18.48,-0.3841202,9.440348,3.9762682e-07,70452,8.654846,85.10651,[-0.906  0.711 -0.419 -0.092 -0.356],9531.202,55.77837,87.61959,100,0.85106504,3.6413622,-108.63045150810149,0.024862751,1.2969971e-06,6.48631,-4.5761337,0.094403476,100.0,5.7860384
42,0.01218452,1.6086862,152.64369559288025,16.216177,11.4661255,4200,17.75,-0.38219976,3.1051934,0.0001218452,72227,1.8326187,21.5158,[-0.919  0.672 -0.423 -0.03  -0.382],148.75984,6.1666813,87.12447,100,0.215158,3.4654682,-108.52527434504937,0.016086863,4.4250487e-06,21.159855,-4.797615,0.031051936,100.0,0.8834985
43,0.06365611,1.1024152,156.5744662284851,17.621689,12.2229,4300,18.13,-0.40742737,2.8213904,0.0006365611,74040,3.64558,27.811497,[-0.911  0.654 -0.414  0.014 -0.366],1166.9923,5.6748247,87.37024,100,0.27811497,3.4556441,-108.82590665285723,0.011024152,2.670288e-06,13.245171,-4.8759384,0.028213907,100.0,2.6750047
44,1.0,1.0,161.14315819740295,100.0,11.962479,4400,17.88,-0.39876372,,0.01,75828,-1.4394522e-05,1.0,[-1.009  0.652 -0.401  0.014 -0.281],10.6060505,1.0,87.21889,100,0.01,3.2403688,-108.59717437798444,0.009999999,-1.4419556e-05,100.0,-5.4408264,9.313226e-10,100.0,-0.39876372
45,0.17003684,0.94462657,164.03013563156128,62.744503,10.169075,4500,17.39,-0.33896348,0.65654266,0.0017003684,77567,0.3564446,3.9047515,[-1.009  0.652 -0.401  0.014 -0.281],12.449147,1.5937651,86.936035,100,0.039047513,2.909003,-108.36615261543817,0.009446264,5.722046e-06,67.42793,-4.8101273,0.006565426,100.0,-0.07148504
46,7.4925105e-05,2.400861,167.04013013839722,1.4727718,10.724709,4600,17.3,-0.35749105,13.75589,7.4925106e-07,79297,8.498155,136.39212,[-1.023  0.638 -0.38  -0.008 -0.277],6733.6294,67.899185,86.87902,100,1.3639212,2.8068268,-108.4860729073937,0.02400861,-7.6293946e-07,2.9561381,-4.4180527,0.13755889,100.0,5.5524
47,0.0031668097,2.047867,171.3479220867157,6.0895786,10.981529,4700,18.66,-0.36604708,8.238727,3.1668096e-05,81163,6.252917,80.58771,[-1.005  0.591 -0.385  0.071 -0.337],2718.915,16.421497,87.66163,100,0.80587703,3.532913,-109.36742023953964,0.020478668,3.890991e-06,5.818979,-4.9297867,0.08238725,100.0,4.769552
48,0.0031097843,2.8922465,175.44486689567566,0.66628784,13.234428,4800,19.09,-0.44114166,22.909494,3.1097843e-05,83072,23.685839,230.54892,[-1.083  0.598 -0.345  0.009 -0.33 ],54634.57,150.08528,87.90135,100,2.305489,3.651496,-109.65328108964012,0.028922467,6.027222e-06,1.568817,-5.1822968,0.22909491,100.0,18.28137
49,0.014408241,1.7562938,179.55978989601135,19.04218,14.917252,4900,19.47,-0.49724576,9.132018,0.00014408241,85019,1.916283,92.50627,[-1.095  0.517 -0.339  0.011 -0.315],417.50015,5.2514997,88.13091,100,0.9250627,3.7959435,-109.54579225038445,0.017562937,-4.043579e-06,3.5668685,-5.9785614,0.09132018,100.0,0.77679634
50,0.02200495,1.2334085,184.1161985397339,4.929956,8.330139,5000,19.77,-0.27767187,4.694979,0.00022004951,86996,2.7942998,47.33806,[-1.135  0.575 -0.287  0.004 -0.295],663.0501,20.284157,88.19108,100,0.47338057,3.5348265,-110.27886390016239,0.012334083,-6.1035155e-07,6.455987,-5.5682526,0.046949785,100.0,1.5437256
51,0.00012642557,1.8076062,188.6799168586731,4.164291,12.013443,5100,19.32,-0.40046585,8.358387,1.2642556e-06,88928,8.114533,79.04973,[-1.131  0.594 -0.214 -0.014 -0.241],5039.712,24.01369,87.99273,100,0.79049724,3.4678323,-109.4981826992769,0.018076062,-1.7776489e-05,4.4679847,-5.805519,0.08358387,100.0,6.152187
52,0.055398077,0.98751295,193.33096599578857,77.01162,10.636421,5200,18.36,-0.35455763,0.5580293,0.00055398076,90764,0.27423486,4.5201035,[-1.108  0.605 -0.176 -0.054 -0.508],16.932964,1.2985053,87.57942,100,0.045201033,3.4226775,-108.28588269083099,0.00987513,-1.0223389e-05,75.79652,-5.176285,0.005580293,100.0,-0.12977892
53,0.002442233,2.2610593,197.01135802268982,3.0555842,15.051514,5300,20.03,-0.50172627,11.4556,2.442233e-05,92767,7.982501,110.16147,[-1.109  0.59  -0.193 -0.046 -0.52 ],2786.5688,32.726967,88.424866,100,1.1016147,4.080211,-109.33217210761512,0.022610594,-9.155274e-06,3.7496483,-5.9255066,0.11455601,100.0,5.1123037
54,0.3582112,0.98856485,201.37695145606995,85.448524,12.683662,5400,20.84,-0.42278576,0.41903576,0.0035821118,94851,0.19084373,3.6704135,[-1.172  0.549 -0.18  -0.042 -0.543],19.22235,1.1702952,88.74383,100,0.036704134,4.452859,-109.54019414676493,0.009885648,3.0517579e-06,84.76898,-6.7986526,0.004190358,100.0,-0.26652992
55,0.20945758,0.96770585,204.86756706237793,64.11692,12.188171,5500,19.5,-0.40627778,0.7788541,0.0020945757,96801,0.3190881,5.195204,[-1.17   0.547 -0.166 -0.044 -0.543],21.40225,1.5596508,88.1486,100,0.051952038,3.5850282,-108.65625728874922,0.009677058,-5.340576e-06,60.687828,-6.28566,0.0077885403,100.0,-0.1882891
56,3.388141e-06,3.4648902,208.6238453388214,0.2534841,13.448784,5600,20.97,-0.44829276,26.101007,3.388141e-08,98898,24.220894,261.53543,[-1.177  0.553 -0.169 -0.067 -0.545],52243.383,394.50208,88.846695,100,2.6153543,4.074994,-110.01920417272768,0.0346489,,1.7317195,-5.7915115,0.2610101,100.0,15.316868
57,0.0027947277,2.464605,214.52840542793274,2.2125742,11.619911,5700,21.77,-0.3873223,10.911874,2.7947277e-05,101075,10.815204,106.167206,[-1.239  0.505 -0.142 -0.076 -0.648],6225.2104,45.196224,89.23961,100,1.0616721,4.681371,-109.14366895482809,0.024646053,8.087158e-06,4.853859,-7.224823,0.10911873,100.0,8.211254
58,0.08962688,0.9588607,218.88151621818542,25.017052,15.956848,5800,22.04,-0.53190273,1.3141177,0.00089626876,103279,1.7287287,8.956942,[-1.281  0.488 -0.154 -0.108 -0.683],140.69022,3.9972734,89.24176,100,0.08956941,4.406471,-109.31515280065253,0.009588607,-7.705688e-06,34.743126,-6.594879,0.013141176,100.0,0.66530144
59,0.006949665,1.3911508,224.0210564136505,9.64128,20.247536,5900,23.51,-0.6749191,3.4950905,6.949665e-05,105630,5.7882113,25.971333,[-1.323  0.473 -0.155 -0.095 -0.651],2257.4004,10.3720665,89.884,100,0.25971332,5.5135856,-109.61683459799043,0.01391151,-1.2969971e-06,13.676109,-7.6297073,0.034950905,100.0,3.6145916
60,0.0043301713,1.2955027,228.86356401443481,10.468955,20.826256,6000,24.52,-0.69420743,4.7896714,4.3301712e-05,108082,8.348054,45.021637,[-1.313  0.429 -0.165 -0.083 -0.695],8870.624,9.552052,90.2521,100,0.45021635,5.6693883,-109.3817170983598,0.012955026,1.2207031e-06,6.817124,-8.841904,0.04789671,100.0,6.2025056
