EpisodesSoFar,Bound,InitialReturnMean,MinIWNorm,InitialReturnMax,ESSClassic,InitialReturnMin,MaxIW,InitialReturnStd,J_sample_variance,ReturnMeanIW,MeanIWNorm,EmpiricalD2,TimeElapsed,MaxIWNorm,TimestepsSoFar,EpRewMean,EpLenMean,MeanIW,StdIWNorm,MinIW,EpThisIter,Iteration,InitialBound,StdIW,ESSRenyi,Weights
2800,4.1455994,-7.019043e-06,1.11649415e-05,8.741852,5.5698056,-3.773056,85.91387,2.6199481,3574.5007,6.086136,0.0221951,44.348526,148.01934480667114,0.8591387,49046,-108.73198214835281,16.66,2.21951,0.09138872,0.0011164942,100,28,-0.2914021,9.138872,2.2548664,[ 0.821  0.629  0.716  0.308 -0.117]
2900,6.54451,-1.6021728e-06,3.906425e-05,8.631607,4.0929637,-4.1679306,111.93021,2.786346,5390.503,9.263274,0.030211234,89.28986,154.0595886707306,1.119302,50720,-108.45924375631493,16.74,3.0211236,0.14624289,0.003906425,100,29,-0.2877219,14.6242895,1.1199479,[ 0.797  0.689  0.66   0.199 -0.113]
3000,-0.27385256,,0.01,8.215576,100.0,-4.692383,1.0,2.796038,7.8967957,-3.7252903e-09,0.010000002,1.0,159.66915154457092,0.01,52388,-108.26295837220816,16.68,1.0,1.8626451e-09,1.0,100,30,-0.27385256,,100.0,[ 0.716  0.844  0.651  0.258 -0.035]
3100,1.4371244,-4.7302246e-06,9.7366894e-05,8.556541,13.046285,-4.146446,27.149864,2.7304058,552.38544,2.3183446,0.011133863,9.545856,163.86944103240967,0.27149865,54053,-108.10026204771623,16.65,1.1133864,0.028743958,0.00973669,100,31,-0.28522286,2.8743956,10.475749,[ 0.716  0.844  0.651  0.258 -0.035]
3200,0.36053365,5.0354006e-06,0.00010763456,8.001366,40.418575,-3.921585,9.58236,2.7048771,22.918165,0.7732457,0.010370109,2.394465,169.26681637763977,0.0958236,55692,-108.44736286437522,16.39,1.0370111,0.012590655,0.010763456,100,32,-0.26670712,1.2590655,41.76298,[0.724 0.917 0.583 0.204 0.019]
3300,0.07028037,6.408691e-06,0.0015676529,9.678009,64.126686,-4.5623093,4.8378325,3.0465403,24.930176,0.472537,0.01011249,1.5548086,176.67123007774353,0.048378322,57389,-107.87060505821938,16.97,1.011249,0.007563526,0.1567653,100,33,-0.32259393,0.75635266,64.3166,[ 0.769  0.876  0.676  0.208 -0.103]
3400,0.07317066,5.4931643e-06,0.0002146443,8.814392,57.406105,-5.3127594,4.701462,2.6478686,16.66108,0.49811387,0.010382295,2.091797,181.90761041641235,0.047014616,59033,-107.97201892679864,16.44,1.0382295,0.008943098,0.02146443,100,34,-0.2938076,0.8943098,47.805782,[ 0.778  0.875  0.635  0.228 -0.104]
3500,2.1640573,3.2806397e-06,2.6535192e-05,12.232277,11.110946,-4.22229,33.493713,3.0732207,1688.1993,3.7415457,0.0117424205,14.967874,186.70626163482666,0.33493713,60718,-108.48505476568296,16.85,1.1742421,0.033212863,0.0026535192,100,35,-0.4077393,3.3212864,6.680976,[ 0.781  0.899  0.6    0.173 -0.096]
3600,0.956327,-1.9836425e-06,0.0007370644,7.6513443,30.527111,-4.393341,16.10993,2.881565,151.54884,1.4976944,0.013131751,4.5055842,192.6299376487732,0.1610993,62356,-108.2227930485813,16.38,1.3131752,0.019810136,0.07370644,100,36,-0.25504684,1.9810138,22.19468,[ 0.785  0.844  0.697  0.21  -0.104]
3700,2.794309,5.645752e-06,0.00019362824,7.461441,5.082424,-3.9364243,60.711548,2.5488315,1217.2633,3.7956848,0.013912661,16.210312,199.32022380828857,0.60711545,64061,-108.87851394364428,17.05,1.391266,0.060124017,0.019362824,100,37,-0.24870905,6.0124016,6.168913,[ 0.792  0.768  0.765  0.192 -0.016]
3800,-0.10280284,-5.8746336e-06,0.002143709,10.025536,72.21998,-4.322258,3.9600186,2.8100824,17.040703,0.29796234,0.009834779,1.4381601,205.86061358451843,0.039600186,65750,-108.50123938792609,16.89,0.983478,0.0060996115,0.2143709,100,38,-0.3341904,0.60996115,69.53329,[0.697 0.789 0.674 0.14  0.113]
3900,5.2957153,-6.1035155e-07,1.3361633e-06,6.9724274,1.5473915,-4.713997,206.18217,2.740611,10283.56,9.484679,0.025678478,324.8536,210.64944338798523,2.0618217,67436,-108.13337072660273,16.86,2.5678475,0.20482491,0.00013361634,100,39,-0.23241487,20.482492,0.30783096,[0.701 0.779 0.64  0.166 0.101]
4000,2.961657,1.0681152e-06,4.7559322e-08,7.4139786,2.8807688,-3.9724045,88.97773,2.6194668,1097.176,4.1306353,0.015518852,22.374458,217.1133427619934,0.8897773,69129,-108.61025649863952,16.93,1.5518851,0.09010688,4.7559324e-06,100,40,-0.24713156,9.010687,4.469382,[0.678 0.682 0.677 0.281 0.044]
4100,0.3084372,-9.994506e-06,3.8581773e-05,6.654419,43.223625,-4.475807,6.983734,2.6045423,21.975044,0.65313375,0.010683035,2.4148831,223.29018568992615,0.06983734,70767,-107.73625062932818,16.38,1.0683035,0.012243846,0.0038581772,100,41,-0.22182396,1.2243847,41.40987,[ 0.613  0.681  0.682  0.217 -0.31 ]
4200,14.658527,4.272461e-06,7.19935e-07,7.2052,1.4346299,-4.643753,657.2615,2.8986363,24459.412,19.52285,0.079208225,410.19952,229.13083720207214,6.5726147,72463,-107.99887875342483,16.96,7.9208217,0.65654194,7.19935e-05,100,42,-0.2401691,65.65418,0.2437838,[ 0.597  0.649  0.735  0.2   -0.446]
4300,0.043309927,-6.713867e-06,0.000121647594,7.785568,20.681252,-3.9184418,19.902264,2.553096,18.73037,0.5678812,0.011048808,4.0857415,235.4898223876953,0.19902264,74069,-108.08107619796037,16.06,1.1048808,0.021637892,0.012164759,100,43,-0.25952566,2.163789,24.47536,[ 0.585  0.594  0.859  0.156 -0.457]
4400,0.45226675,7.6293944e-08,0.0001004055,8.371056,31.381994,-3.6841888,10.820909,2.9621365,67.48363,0.9805604,0.0109604355,3.5845346,240.91423392295837,0.10820908,75691,-107.79543418196188,16.22,1.0960436,0.01620715,0.0100405505,100,44,-0.2790351,1.6207149,27.897625,[ 0.596  0.601  0.909  0.218 -0.432]
4500,3.874685,-3.2043456e-06,9.815681e-06,7.477806,9.987004,-4.194687,37.86567,3.007097,793.5789,5.2828283,0.020287277,31.914482,248.18599319458008,0.3786567,77350,-108.04050468276398,16.59,2.0287278,0.060905818,0.0009815681,100,45,-0.2492634,6.0905814,3.1333737,[ 0.56   0.566  0.958  0.179 -0.479]
4600,-0.18579602,-4.653931e-06,0.0047519323,7.246086,88.53862,-3.8996124,1.9670159,2.846708,7.2980833,0.07423141,0.009495566,1.1589744,254.29793882369995,0.019670159,78993,-108.05152788751931,16.43,0.9495565,0.0034164283,0.47519326,100,46,-0.24154094,0.34164283,86.28318,[ 0.556  0.609  0.932  0.123 -0.486]
