MaxIW,Bound,ReturnStepMaxmin,MinIW,MeanIW,EpRewMean,ESSClassic,MaxIWNorm,ESSRenyi,TimestepsSoFar,InitialReturnMax,InitialReturnMean,ReturnStepMax,InitialReturnStd,InitialBound,Weights,ReturnMeanIW,MinIWNorm,StdIW,EmpiricalD2,MeanIWNorm,Iteration,J_sample_variance,TimeElapsed,EpLenMean,EpThisIter,EpisodesSoFar,StdIWNorm,InitialReturnMin
5.7920356,-0.06647569,99.9147,0.18535116,0.97036093,-142.50486478847452,65.26418,0.057920355,66.45344,128772,18.921692,5.569458e-06,100.0,3.374177,-0.6307176,[ 0.426 -0.707  0.209  0.057 -0.144],0.7072374,0.0018535116,0.7079207,1.5048131,0.009703608,27,47.81439,246.0797357559204,48.11,100,2700,0.007079207,-3.6196518
2.0931118,-0.33952188,100.0,0.4989579,0.942809,-147.3926043758981,93.50088,0.020931117,90.42008,134060,15.2651825,1.2969971e-06,100.0,3.3670952,-0.5088382,[ 0.394 -0.651  0.176  0.04  -0.131],0.19559461,0.004989579,0.24856675,1.105949,0.0094280895,28,13.47442,257.0261878967285,52.88,100,2800,0.0024856676,-3.4300919
316.96323,17.425453,100.0,6.9413545e-06,4.0712686,-145.81019785273813,1.6421839,3.1696322,0.4297125,139254,11.178108,-3.890991e-06,100.0,3.1956058,-0.37260753,[ 0.405 -0.646  0.16   0.033 -0.13 ],23.109507,6.9413545e-08,31.508179,232.71373,0.04071269,29,53169.35,265.7306454181671,51.94,100,2900,0.31508178,-3.9137573
3.6972296,-0.0900739,100.0,0.123717554,1.0408458,-150.3437357665877,68.143135,0.036972295,64.73667,144827,6.9724197,-2.2888183e-07,100.0,2.5085716,-0.23241425,[ 0.319 -0.731  0.184  0.112 -0.177],0.19878589,0.0012371755,0.711667,1.5447196,0.010408457,30,10.339383,276.81107807159424,55.73,100,3000,0.0071166693,-3.2665558
6.4239063,0.43500918,100.0,0.110127166,1.1253036,-157.78415892406852,60.582546,0.06423906,60.268375,151228,9.77446,1.4801026e-05,100.0,3.0129502,-0.32580054,[ 0.307 -0.744  0.17   0.104 -0.175],0.8546974,0.0011012716,0.90769553,1.659245,0.0112530375,31,26.416698,287.2912805080414,64.01,100,3100,0.009076956,-3.7618103
58.736565,2.4380484,100.0,0.00048471132,1.5004059,-157.69801239721752,6.0621314,0.5873656,5.9351344,157697,9.531349,3.0517579e-06,100.0,3.478029,-0.31770864,[ 0.345 -0.807  0.179  0.064 -0.16 ],3.7421694,4.847113e-06,5.9063125,16.848818,0.01500406,32,1089.5815,299.9050953388214,64.69,100,3200,0.05906312,-4.461075
327.87958,12.0906725,100.0,7.1700444e-05,3.9137409,-159.00853847454647,1.4223471,3.2787957,0.25985757,164315,14.738419,-1.197815e-05,100.0,4.096158,-0.49129263,[ 0.411 -0.749  0.133  0.036 -0.24 ],21.728119,7.170044e-07,32.582058,384.8262,0.039137408,33,52346.344,312.25857424736023,66.18,100,3300,0.32582057,-4.415039
4.240422,0.065615535,100.0,0.21167,1.0605775,-152.73956099488555,68.662285,0.042404216,62.707893,170397,12.344688,-2.2888185e-06,100.0,4.1252027,-0.41149193,[ 0.426 -0.73   0.139 -0.056 -0.288],0.5852498,0.0021167,0.7165012,1.5946956,0.010605775,34,35.530025,324.47468423843384,60.82,100,3400,0.0071650115,-4.8630447
8.34002,0.39145267,100.0,0.036831234,0.9824557,-147.68180826252717,35.535297,0.0834002,33.021797,175939,14.309753,5.340576e-07,100.0,4.121196,-0.47699127,[ 0.451 -0.733  0.146 -0.05  -0.251],1.2215147,0.00036831232,1.3232563,3.028303,0.009824556,35,84.884895,333.9062819480896,55.42,100,3500,0.013232562,-4.9509583
27.565948,2.3616517,100.0,0.035247255,1.1536281,-154.49732069097982,14.186317,0.27565947,11.34724,182528,20.365562,2.2888185e-06,100.0,6.1005363,-0.67884976,[ 0.427 -0.751  0.139 -0.092 -0.264],4.376907,0.00035247253,2.837326,8.812716,0.01153628,36,1395.6088,345.2718119621277,65.89,100,3600,0.02837326,-7.0133133
