MinIW,EpisodesSoFar,EpRewMean,TimestepsSoFar,StdD2w0t,EpLenMean,ReturnStepMaxmin,InitialReturnMax,Bound,MaxD2w0t,EpThisIter,ReturnMeanIW,InitialReturnStd,MinD2w0t,MeanD2w0t,TimeElapsed,InitialBound,StdIW,InitialReturnMin,MaxIW,InitialReturnMean,EmpiricalD2,Iteration,J_sample_variance,ReturnStepMax,MeanIW,Weights
0.94285315,4400,-123.68702237001249,206491,0.29291973,47.37,99.08983,-52.6184,-383.148,1.0009853,100,-82.8574,8.023043,,0.09476188,638.9746866226196,-383.20114,0.019990021,-96.94131,1.0610018,-82.9559,1.0004712,44,75.37416,100.0,0.9979817,[-0.378 -0.693 -0.471 -0.235  0.004]
0.69234854,4500,-121.379181827567,211510,0.30165696,50.19,99.03138,-47.8632,-389.31927,1.0245029,100,-77.435165,9.682298,,0.10076352,653.904580116272,-390.29556,0.09840869,-96.359665,1.2010875,-79.33567,1.010389,45,146.89735,100.0,0.9722075,[-0.376 -0.692 -0.471 -0.235  0.005]
0.8272933,4600,-124.06097514812103,216422,0.29860553,49.12,99.22598,-55.317036,-378.76367,1.0115716,100,-80.702324,9.125312,,0.09856094,668.9943308830261,-379.46548,0.07089149,-98.37539,1.2280009,-81.99662,1.0059522,46,103.13757,100.0,0.981605,[-0.374 -0.695 -0.474 -0.238  0.008]
0.7312599,4700,-121.91811133281657,221357,0.29929724,49.35,99.0024,-55.84188,-381.20712,1.0114224,100,-79.04736,9.011286,,0.09904539,683.9255893230438,-381.9112,0.09203582,-97.62317,1.1905944,-80.36876,1.0075173,47,154.04822,100.0,0.97720164,[-0.375 -0.691 -0.472 -0.239  0.015]
0.8278955,4800,-123.45604656346686,226053,0.2928881,46.96,99.2401,-61.784424,-378.1925,1.012535,100,-81.5151,7.7356067,,0.09429819,697.9140343666077,-378.96954,0.07322862,-97.76944,1.1788437,-82.986084,1.0068811,48,98.85443,100.0,0.97849876,[-0.371 -0.687 -0.472 -0.239  0.009]
0.8052112,4900,-123.18084214691,230936,0.29739386,48.83,99.189186,-57.02808,-386.2956,1.0102874,100,-80.78844,8.776518,,0.09783471,713.0830178260803,-386.703,0.06505768,-98.71613,1.1579632,-81.598724,1.0044982,49,103.54857,100.0,0.9871299,[-0.366 -0.682 -0.467 -0.238  0.017]
0.8466567,5000,-124.64860027950246,235632,0.2920639,46.96,99.18844,-60.99533,-375.59702,1.0046356,100,-83.44659,8.799203,,0.09403012,728.6905043125153,-375.79657,0.044485178,-97.75913,1.1499783,-83.83818,1.0021617,50,85.53748,100.0,0.9951371,[-0.36  -0.685 -0.466 -0.24   0.014]
0.9034071,5100,-122.32989259344633,240299,0.2910426,46.67,99.00002,-43.903008,-381.79416,1.0035056,100,-82.12259,8.693442,,0.093381874,744.1449160575867,-381.909,0.03974491,-98.35894,1.1322532,-82.33455,1.0016806,51,78.70165,100.0,0.9979559,[-0.36  -0.685 -0.465 -0.242  0.011]
0.71176577,5200,-123.82243484817614,245111,0.2959926,48.12,99.18959,-55.65697,-386.7281,1.0137122,100,-80.900894,8.874817,,0.096587576,758.8175613880157,-387.52136,0.07662773,-99.23866,1.2259419,-82.41707,1.0058087,52,87.622536,100.0,0.9821573,[-0.363 -0.684 -0.465 -0.241  0.011]
0.7096058,5300,-122.86765537287978,249826,0.2939291,47.15,99.10296,-55.46775,-378.76224,1.0180136,100,-80.29635,7.9188366,,0.094841994,774.0851852893829,-379.901,0.10226694,-96.654526,1.2903861,-82.43212,1.0100362,53,75.062294,100.0,0.9757375,[-0.37  -0.686 -0.468 -0.243  0.008]
