Bound,MaxNormIw,VarDiscRet,VarVanillaIw,ESSClassic,AvgEpLen,AvgDiscRet,AvgVanillaIw,EpsThisIter,MaxVanillaIw,ESSRenyi,VanillaAvgRet,Delta,MinVanillaIw,IterType,AvgNormIw,VarNormIw,J,eRenyi2,VarJ,AvgRet,BatchSize,VarRet,MinNormIw
4639.54,0.0025,15476.9236552,,400.0,498.68,4643.55273778,1.0,100,1.0,500.0,4643.55273778,1.0,1.0,2,0.0025,5.4346e-20,4639.54,1.0,174.421,4643.55273778,500,15476.9236552,0.0025
4657.6,0.0588136,109075.989297,5.0631,37.6567961736,496.46,4622.3306758,0.641524,100,18.8652,,4622.3306758,1.0,1.4908e-11,1,0.002,4.92097e-05,4657.6,inf,25.2001,4622.3306758,500,109075.989297,4.64767e-14
4657.34,0.01,69.6546696466,,100.0,500.0,4657.34024294,1.0,100,1.0,500.0,4657.34024294,1.0,1.0,2,0.01,3.50449e-18,4657.34,1.0,8.30413,4657.34024294,500,69.6546696466,0.01
4657.58,0.005,81.859678569,,200.000000102,500.0,4657.81748348,1.0,100,1.0,500.0,4657.81748348,1.0,1.0,2,0.005,2.1793e-19,4657.58,1.0,8.66352,4657.81748348,500,81.859678569,0.005
4652.23,0.00333333,27665.1378645,,299.999969474,498.26,4641.54580369,1.0,100,1.0,500.0,4641.54580369,1.0,1.0,2,0.00333333,5.43914e-20,4652.23,1.0,96.1075,4641.54580369,500,27665.1378645,0.00333333
4649.87,0.0025,23629.041667,,400.0,498.36,4642.78799547,1.0,100,1.0,500.0,4642.78799547,1.0,1.0,2,0.0025,5.4346e-20,4649.87,1.0,113.104,4642.78799547,500,23629.041667,0.0025
4663.73,0.577443,64.882734413,127.183,2.85610616094,500.0,4659.02341538,0.853938,100,246.55,,4659.02341538,1.0,,1,0.002,0.000697649,4663.73,inf,42.9326,4659.02341538,500,64.882734413,
4660.96,0.01,34.5944211361,,100.0,500.0,4660.962855,1.0,100,1.0,500.0,4660.962855,1.0,1.0,2,0.01,3.50449e-18,4660.96,1.0,5.85219,4660.962855,500,34.5944211361,0.01
4660.8,0.005,39.0915737877,,200.000000102,500.0,4660.64145318,1.0,100,1.0,500.0,4660.64145318,1.0,1.0,2,0.005,2.1793e-19,4660.8,1.0,6.04154,4660.64145318,500,39.0915737877,0.005
4660.52,0.00333333,41.6652287691,,299.999969474,500.0,4659.96253723,1.0,100,1.0,500.0,4659.96253723,1.0,1.0,2,0.00333333,5.43914e-20,4660.52,1.0,6.18382,4659.96253723,500,41.6652287691,0.00333333
4660.5,0.0025,51.686339975,,400.0,500.0,4660.43821796,1.0,100,1.0,500.0,4660.43821796,1.0,1.0,2,0.0025,5.4346e-20,4660.5,1.0,6.43998,4660.43821796,500,51.686339975,0.0025
4668.12,1.0,46.4036556908,,inf,500.0,4659.18088209,7.82583e-41,100,3.91292e-38,2.72423161779e-08,4659.18088209,1.0,,1,0.002,0.002,4668.12,1.83538e+10,,4659.18088209,500,46.4036556908,
4666.81,0.01,20.0037106094,,100.0,500.0,4666.80686853,1.0,100,1.0,500.0,4666.80686853,1.0,1.0,2,0.01,3.50449e-18,4666.81,1.0,4.45014,4666.80686853,500,20.0037106094,0.01
4667.24,0.005,14.0873124163,,200.000000102,500.0,4667.66656302,1.0,100,1.0,500.0,4667.66656302,1.0,1.0,2,0.005,2.1793e-19,4667.24,1.0,4.13036,4667.66656302,500,14.0873124163,0.005
4667.18,0.00333333,16.8537488736,,299.999969474,500.0,4667.06697262,1.0,100,1.0,500.0,4667.06697262,1.0,1.0,2,0.00333333,5.43914e-20,4667.18,1.0,4.11599,4667.06697262,500,16.8537488736,0.00333333
4667.08,0.0025,20.6034207804,,400.0,500.0,4666.76447,1.0,100,1.0,500.0,4666.76447,1.0,1.0,2,0.0025,5.4346e-20,4667.08,1.0,4.22348,4666.76447,500,20.6034207804,0.0025
4670.45,0.290538,15.0524748149,84.652,7.49212936733,500.0,4667.22701365,1.13365,100,164.684,0.053469731276,4667.22701365,1.0,3.12763e-24,1,0.002,0.000263474,4670.45,9351.08,11.6732,4667.22701365,500,15.0524748149,5.5178e-27
4668.06,0.01,13.6907532571,,100.0,500.0,4668.05512167,1.0,100,1.0,500.0,4668.05512167,1.0,1.0,2,0.01,3.50449e-18,4668.06,1.0,3.68156,4668.05512167,500,13.6907532571,0.01
4667.99,0.005,21.9489124579,,200.000000102,500.0,4667.92546782,1.0,100,1.0,500.0,4667.92546782,1.0,1.0,2,0.005,2.1793e-19,4667.99,1.0,4.2007,4667.92546782,500,21.9489124579,0.005
4667.98,0.00333333,12.9516366405,,299.999969474,500.0,4667.96430391,1.0,100,1.0,500.0,4667.96430391,1.0,1.0,2,0.00333333,5.43914e-20,4667.98,1.0,4.00476,4667.96430391,500,12.9516366405,0.00333333
4668.15,0.0025,13.7315606456,,400.0,500.0,4668.65257949,1.0,100,1.0,500.0,4668.65257949,1.0,1.0,2,0.0025,5.4346e-20,4668.15,1.0,3.93847,4668.65257949,500,13.7315606456,0.0025
4669.26,0.0927338,13.5858928467,10.6186,62.1053665266,500.0,4668.02053145,1.22597,100,56.8444,,4668.02053145,1.0,1.17867e-07,1,0.002,2.82599e-05,4669.26,inf,5.66705,4668.02053145,500,13.5858928467,1.92284e-10
4668.17,0.01,13.2929965426,,100.0,500.0,4668.16655653,1.0,100,1.0,500.0,4668.16655653,1.0,1.0,2,0.01,3.50449e-18,4668.17,1.0,3.62771,4668.16655653,500,13.2929965426,0.01
4668.02,0.005,14.7239111326,,200.000000102,500.0,4667.86599765,1.0,100,1.0,500.0,4667.86599765,1.0,1.0,2,0.005,2.1793e-19,4668.02,1.0,3.72706,4667.86599765,500,14.7239111326,0.005
4668.07,0.00333333,11.8054533129,,299.999969474,500.0,4668.18001512,1.0,100,1.0,500.0,4668.18001512,1.0,1.0,2,0.00333333,5.43914e-20,4668.07,1.0,3.628,4668.18001512,500,11.8054533129,0.00333333
4668.19,0.0025,10.5055581719,,400.0,500.0,4668.55757767,1.0,100,1.0,500.0,4668.55757767,1.0,1.0,2,0.0025,5.4346e-20,4668.19,1.0,3.53784,4668.55757767,500,10.5055581719,0.0025
4669.52,0.0847081,15.8765634281,5.27082,38.6732414796,500.0,4667.82520147,0.664057,100,28.1255,,4667.82520147,1.0,2.41e-09,1,0.002,4.7811e-05,4669.52,inf,7.48636,4667.82520147,500,15.8765634281,7.25841e-12
4668.31,0.01,15.9825632177,,100.0,500.0,4668.31390862,1.0,100,1.0,500.0,4668.31390862,1.0,1.0,2,0.01,3.50449e-18,4668.31,1.0,3.97778,4668.31390862,500,15.9825632177,0.01
4668.17,0.005,13.5175202472,,200.000000102,500.0,4668.01654368,1.0,100,1.0,500.0,4668.01654368,1.0,1.0,2,0.005,2.1793e-19,4668.17,1.0,3.82422,4668.01654368,500,13.5175202472,0.005
4668.23,0.00333333,14.7771352506,,299.999969474,500.0,4668.35532642,1.0,100,1.0,500.0,4668.35532642,1.0,1.0,2,0.00333333,5.43914e-20,4668.23,1.0,3.82548,4668.35532642,500,14.7771352506,0.00333333
4668.38,0.0025,11.515557093,,400.0,500.0,4668.81753662,1.0,100,1.0,500.0,4668.81753662,1.0,1.0,2,0.0025,5.4346e-20,4668.38,1.0,3.72704,4668.81753662,500,11.515557093,0.0025
4671.0,0.706629,9.41840588587,2.76321,1.9038541023,500.0,4668.81768297,0.102667,100,36.2739,0.282041412438,4668.81768297,1.0,,1,0.002,0.0010486,4671.0,1772.79,29.0095,4668.81768297,500,9.41840588587,
4616.53,0.01,102820.887813,,100.0,494.47,4616.52832312,1.0,100,1.0,500.0,4616.52832312,1.0,1.0,2,0.01,3.50449e-18,4616.53,1.0,319.05,4616.52832312,500,102820.887813,0.01
4632.81,0.005,31975.6584603,,200.000000102,498.12,4649.09819798,1.0,100,1.0,500.0,4649.09819798,1.0,1.0,2,0.005,2.1793e-19,4632.81,1.0,258.823,4649.09819798,500,31975.6584603,0.005
4641.23,0.00333333,9121.64701295,,299.999969474,499.02,4658.05162861,1.0,100,1.0,500.0,4658.05162861,1.0,1.0,2,0.00333333,5.43914e-20,4641.23,1.0,218.658,4658.05162861,500,9121.64701295,0.00333333
4648.43,0.0025,20.7570218636,,400.0,500.0,4670.05963779,1.0,100,1.0,500.0,4670.05963779,1.0,1.0,2,0.0025,5.4346e-20,4648.43,1.0,189.788,4670.05963779,500,20.7570218636,0.0025
4643.42,0.0020001,72441.038355,4.81691e-10,500.000165484,495.21,4623.33830454,1.0,100,1.00005,500.0,4623.33830454,1.0,0.999882,1,0.002,1.92696e-15,4643.42,1.0,207.977,4623.33830454,500,72441.038355,0.00199976
4652.2,0.01,30545.2980602,,100.0,498.16,4652.19672091,1.0,100,1.0,500.0,4652.19672091,1.0,1.0,2,0.01,3.50449e-18,4652.2,1.0,173.896,4652.19672091,500,30545.2980602,0.01
4638.49,0.005,94314.8292895,,200.000000102,495.42,4624.78452497,1.0,100,1.0,500.0,4624.78452497,1.0,1.0,2,0.005,2.1793e-19,4638.49,1.0,248.985,4624.78452497,500,94314.8292895,0.005
4645.41,0.00333333,8692.01060894,,299.999969474,499.04,4659.23743204,1.0,100,1.0,500.0,4659.23743204,1.0,1.0,2,0.00333333,5.43914e-20,4645.41,1.0,210.459,4659.23743204,500,8692.01060894,0.00333333
4646.78,0.0025,30523.609318,,400.0,498.16,4650.90028527,1.0,100,1.0,500.0,4650.90028527,1.0,1.0,2,0.0025,5.4346e-20,4646.78,1.0,201.941,4650.90028527,500,30523.609318,0.0025
4643.82,0.00200001,66340.0113998,9.60899e-13,500.000067678,496.15,4631.99584766,1.0,100,1.0,500.0,4631.99584766,1.0,0.999997,1,0.002,3.71214e-18,4643.82,1.0,213.996,4631.99584766,500,66340.0113998,0.00199999
4659.17,0.01,9171.64845497,,100.0,499.02,4659.16472533,1.0,100,1.0,500.0,4659.16472533,1.0,1.0,2,0.01,3.50449e-18,4659.17,1.0,95.2887,4659.16472533,500,9171.64845497,0.01
4653.27,0.005,35148.0810144,,200.000000102,497.74,4647.37774095,1.0,100,1.0,500.0,4647.37774095,1.0,1.0,2,0.005,2.1793e-19,4653.27,1.0,148.233,4647.37774095,500,35148.0810144,0.005
4642.26,0.00333333,84980.531734,,299.999969474,495.1,4620.24386521,1.0,100,1.0,500.0,4620.24386521,1.0,1.0,2,0.00333333,5.43914e-20,4642.26,1.0,207.207,4620.24386521,500,84980.531734,0.00333333
4644.11,0.0025,29821.6075503,,400.0,498.11,4649.66481041,1.0,100,1.0,500.0,4649.66481041,1.0,1.0,2,0.0025,5.4346e-20,4644.11,1.0,198.978,4649.66481041,500,29821.6075503,0.0025
4647.13,0.002,7742.04207719,,500.000006643,499.1,4659.22034019,1.0,100,1.0,500.0,4659.22034019,1.0,1.0,1,0.002,5.43187e-20,4647.13,1.0,182.327,4659.22034019,500,7742.04207719,0.002
4636.58,0.01,45705.475171,,100.0,496.66,4636.57922903,1.0,100,1.0,500.0,4636.57922903,1.0,1.0,2,0.01,3.50449e-18,4636.58,1.0,212.717,4636.57922903,500,45705.475171,0.01
4612.49,0.005,157823.602292,,200.000000102,491.49,4588.4044459,1.0,100,1.0,500.0,4588.4044459,1.0,1.0,2,0.005,2.1793e-19,4612.49,1.0,318.319,4588.4044459,500,157823.602292,0.005
4631.47,0.00333333,32.9602869339,,299.999969474,500.0,4669.42741229,1.0,100,1.0,500.0,4669.42741229,1.0,1.0,2,0.00333333,5.43914e-20,4631.47,1.0,261.309,4669.42741229,500,32.9602869339,0.00333333
4636.5,0.0025,33315.8816837,,400.0,498.08,4651.5751537,1.0,100,1.0,500.0,4651.5751537,1.0,1.0,2,0.0025,5.4346e-20,4636.5,1.0,243.995,4651.5751537,500,33315.8816837,0.0025
4641.16,0.002,9634.03440547,,500.000006643,498.99,4659.82507335,1.0,100,1.0,500.0,4659.82507335,1.0,1.0,1,0.002,5.43187e-20,4641.16,1.0,222.759,4659.82507335,500,9634.03440547,0.002
4668.48,0.01,49.2046168237,,100.0,500.0,4668.48385023,1.0,100,1.0,500.0,4668.48385023,1.0,1.0,2,0.01,3.50449e-18,4668.48,1.0,6.97943,4668.48385023,500,49.2046168237,0.01
4642.86,0.005,133061.785549,,200.000000102,494.5,4617.23486459,1.0,100,1.0,500.0,4617.23486459,1.0,1.0,2,0.005,2.1793e-19,4642.86,1.0,257.966,4617.23486459,500,133061.785549,0.005
4651.55,0.00333333,37.6847937014,,299.999969474,500.0,4668.94332602,1.0,100,1.0,500.0,4668.94332602,1.0,1.0,2,0.00333333,5.43914e-20,4651.55,1.0,211.017,4668.94332602,500,37.6847937014,0.00333333
4648.57,0.0025,44198.3213736,,400.0,497.0,4639.63856173,1.0,100,1.0,500.0,4639.63856173,1.0,1.0,2,0.0025,5.4346e-20,4648.57,1.0,210.622,4639.63856173,500,44198.3213736,0.0025
4650.72,0.002,7963.15620379,6.25527e-13,500.000006643,499.09,4659.30542489,1.0,100,1.0,499.996185332,4659.30542489,1.0,0.999992,1,0.002,2.61284e-18,4650.72,1.00001,192.573,4659.30542489,500,7963.15620379,0.00199998
4633.53,0.01,64432.1447925,,100.0,496.21,4633.52959062,1.0,100,1.0,500.0,4633.52959062,1.0,1.0,2,0.01,3.50449e-18,4633.53,1.0,252.563,4633.52959062,500,64432.1447925,0.01
4633.44,0.005,64844.5753242,,200.000000102,496.19,4633.34619966,1.0,100,1.0,500.0,4633.34619966,1.0,1.0,2,0.005,2.1793e-19,4633.44,1.0,252.966,4633.34619966,500,64844.5753242,0.005
4630.61,0.00333333,78150.1130999,,299.999969474,495.38,4624.95869683,1.0,100,1.0,500.0,4624.95869683,1.0,1.0,2,0.00333333,5.43914e-20,4630.61,1.0,261.662,4624.95869683,500,78150.1130999,0.00333333
4640.05,0.0025,54.7949485257,,400.0,500.0,4668.37417289,1.0,100,1.0,500.0,4668.37417289,1.0,1.0,2,0.0025,5.4346e-20,4640.05,1.0,227.225,4668.37417289,500,54.7949485257,0.0025
4636.46,0.002,97686.9660422,,500.000006643,495.16,4622.10425339,1.0,100,1.0,500.0,4622.10425339,1.0,1.0,1,0.002,5.43187e-20,4636.46,1.0,246.37,4622.10425339,500,97686.9660422,0.002
4642.63,0.01,38967.8946844,,100.0,497.23,4642.62538709,1.0,100,1.0,500.0,4642.62538709,1.0,1.0,2,0.01,3.50449e-18,4642.63,1.0,196.413,4642.62538709,500,38967.8946844,0.01
4650.3,0.005,10765.3544072,,200.000000102,498.93,4657.98094761,1.0,100,1.0,500.0,4657.98094761,1.0,1.0,2,0.005,2.1793e-19,4650.3,1.0,157.089,4657.98094761,500,10765.3544072,0.005
4655.27,0.00333333,987.42978072,,299.999969474,499.72,4665.19748173,1.0,100,1.0,500.0,4665.19748173,1.0,1.0,2,0.00333333,5.43914e-20,4655.27,1.0,129.717,4665.19748173,500,987.42978072,0.00333333
4658.55,0.0025,54.4397084207,,400.0,500.0,4668.3895198,1.0,100,1.0,500.0,4668.3895198,1.0,1.0,2,0.0025,5.4346e-20,4658.55,1.0,112.541,4668.3895198,500,54.4397084207,0.0025
4658.44,0.002,11996.9537549,,500.000006643,498.87,4658.01325171,1.0,100,1.0,500.0,4658.01325171,1.0,1.0,1,0.002,5.43187e-20,4658.44,1.0,111.839,4658.01325171,500,11996.9537549,0.002
4643.6,0.01,69173.7373129,,100.0,497.21,4643.60490981,1.0,100,1.0,500.0,4643.60490981,1.0,1.0,2,0.01,3.50449e-18,4643.6,1.0,261.691,4643.60490981,500,69173.7373129,0.01
4647.46,0.005,33319.2512272,,200.000000102,498.08,4651.31734564,1.0,100,1.0,500.0,4651.31734564,1.0,1.0,2,0.005,2.1793e-19,4647.46,1.0,225.275,4651.31734564,500,33319.2512272,0.005
