VanillaAvgRet,VarDiscRet,AvgVanillaIw,VarJ,AvgNormIw,IterType,AvgEpLen,AvgRet,ESSRenyi,AvgDiscRet,delta,MinVanillaIw,VarNormIw,renyi2,SamplesThisIter,BatchSize,ESSClassic,EpsThisIter,VarRet,MaxNormIw,MaxVanillaIw,VarVanillaIw,MinNormIw,J,Bound
68.5181179356,89.3433325919,0.949042,250.417,8.48436e-07,1,7.63591936469,68.5181179356,nan,68.5181179356,0.7,1.12944e-11,3.99349e-12,nan,50000,100,42.5149350509,6548,89.3433325919,0.00012083,135.158,4.99673,1.00971e-17,12932.2,73.8099
68.7072971736,89.1398975847,0.953102,281.556,8.50774e-07,1,7.65696784074,68.7072971736,,68.7072971736,0.7,1.70047e-07,2.43807e-12,inf,50000,100,40.0416767154,6530,89.1398975847,0.000108493,121.542,3.05982,1.51791e-13,12855.6,73.2531
68.2566019923,87.8000249765,0.946046,262.096,8.4508e-07,1,7.60571950106,68.2566019923,nan,68.2566019923,0.7,5.57984e-13,5.36656e-12,nan,50000,100,38.817655886,6574,87.8000249765,0.000141199,158.069,6.7255,4.98433e-19,12954.8,73.6728
68.2312596723,87.7538758725,0.961852,262.977,8.44823e-07,1,7.60340632603,68.2312596723,nan,68.2312596723,0.7,1.7805e-16,5.51428e-12,nan,50000,100,51.0353470141,6576,87.7538758725,0.000241159,274.565,7.14783,1.56386e-22,12941.1,73.9875
68.8173291055,87.7443317463,0.952811,248.722,8.52079e-07,1,7.66871165644,68.8173291055,nan,68.8173291055,0.7,7.55771e-15,5.13328e-12,nan,50000,100,40.5233917502,6520,87.7443317463,8.38645e-05,93.7788,6.41872,6.7587e-21,13029.7,74.3216
68.541874152,88.2968776805,0.939489,250.979,8.48695e-07,1,7.63825236786,68.541874152,nan,68.541874152,0.7,9.99859e-15,5.03376e-12,nan,50000,100,39.3523871239,6546,88.2968776805,9.45787e-05,104.697,6.16842,9.0323e-21,12992.4,74.1624
68.4990045038,89.4973791443,0.953661,263.726,8.48177e-07,1,7.63358778626,68.4990045038,nan,68.4990045038,0.7,2.39692e-27,5.43175e-12,nan,50000,100,40.7478990516,6550,89.4973791443,0.000212688,239.139,6.86681,2.1318e-33,12988.7,74.3308
68.3276136299,92.382877646,0.95043,262.687,8.4611e-07,1,7.61498629302,68.3276136299,nan,68.3276136299,0.7,5.18117e-13,5.38964e-12,nan,50000,100,44.2124697814,6566,92.382877646,0.000135281,151.96,6.80059,4.61247e-19,12968.6,74.1939
68.4971647381,90.6344068776,0.953633,258.684,8.48177e-07,1,7.63358778626,68.4971647381,nan,68.4971647381,0.7,7.82363e-14,5.27411e-12,nan,50000,100,42.1835418498,6550,90.6344068776,0.000167499,188.325,6.66713,6.95846e-20,12998.0,74.2495
68.128461761,88.2524569235,0.957331,268.244,8.4354e-07,1,7.59186152445,68.128461761,nan,68.128461761,0.7,1.36521e-14,5.74529e-12,nan,50000,100,41.6342972742,6586,88.2524569235,0.000171845,195.027,7.39988,1.20294e-20,12945.6,73.9516
68.5000517069,90.0720990605,0.947709,258.917,8.48176e-07,1,7.63358778626,68.5000517069,nan,68.5000517069,0.7,3.18719e-16,5.36043e-12,nan,50000,100,49.1787460587,6550,90.0720990605,0.000118225,132.098,6.69234,2.85246e-22,13003.1,74.1702
68.3539981785,88.6754271156,0.948834,262.66,8.46367e-07,1,7.61730652041,68.3539981785,nan,68.3539981785,0.7,9.9007e-17,5.4376e-12,nan,50000,100,40.7040135044,6564,88.6754271156,0.00027575,309.134,6.83392,8.8315e-23,12972.1,74.0558
68.1957757772,87.1781801023,0.949228,262.014,8.44309e-07,1,7.59878419453,68.1957757772,nan,68.1957757772,0.7,2.88272e-19,5.37311e-12,nan,50000,100,42.5100745676,6580,87.1781801023,0.000265485,298.476,6.79147,2.56409e-25,12934.4,74.0603
68.5414117912,88.7324691392,0.946523,254.738,8.48695e-07,1,7.63825236786,68.5414117912,nan,68.5414117912,0.7,2.66511e-18,5.28421e-12,nan,50000,100,45.5985539521,6546,88.7324691392,9.63815e-05,107.491,6.57263,2.38966e-24,12996.3,74.1862
68.1694215654,88.6492926548,0.954863,264.931,8.44053e-07,1,7.59647523549,68.1694215654,nan,68.1694215654,0.7,3.64933e-18,5.56354e-12,nan,50000,100,39.591810471,6582,88.6492926548,9.94336e-05,112.488,7.12024,3.22583e-24,12943.5,74.3351
68.4330205113,89.8756113238,0.948778,262.172,8.474e-07,1,7.62660158633,68.4330205113,nan,68.4330205113,0.7,1.83175e-11,5.43534e-12,nan,50000,100,40.2263730627,6556,89.8756113238,0.000142172,159.181,6.81363,1.63602e-17,12979.6,74.1269
68.4357891752,88.5794897189,0.944655,255.622,8.474e-07,1,7.62660158633,68.4357891752,nan,68.4357891752,0.7,7.22301e-16,5.15669e-12,nan,50000,100,38.999426231,6556,88.5794897189,0.000112562,125.481,6.40826,6.47938e-22,12979.1,74.1265
68.3538966964,89.064118664,0.945978,268.121,8.46368e-07,1,7.61730652041,68.3538966964,nan,68.3538966964,0.7,6.17354e-18,5.52073e-12,nan,50000,100,38.6758191752,6564,89.064118664,0.000147852,165.253,6.89669,5.52347e-24,12977.1,74.3303
68.4106501669,91.9736424195,0.950392,266.304,8.47142e-07,1,7.62427569381,68.4106501669,nan,68.4106501669,0.7,2.25047e-17,5.54713e-12,nan,50000,100,38.3531150395,6558,91.9736424195,8.66607e-05,97.223,6.98172,2.00598e-23,12999.1,74.3854
68.3761367497,87.9232291315,0.944014,261.438,8.46625e-07,1,7.61962816215,68.3761367497,nan,68.3761367497,0.7,8.28723e-15,5.39759e-12,nan,50000,100,40.0951877355,6562,87.9232291315,9.88166e-05,110.184,6.7108,7.43228e-21,12979.7,74.0628
68.6228240636,89.9452269502,0.94337,256.266,8.49733e-07,1,7.64759865402,68.6228240636,nan,68.6228240636,0.7,6.00435e-14,5.36783e-12,nan,50000,100,37.4144082452,6538,89.9452269502,0.000108834,120.827,6.61604,5.40837e-20,13024.3,74.2636
68.4101228506,92.5905250092,0.950964,262.694,8.47142e-07,1,7.62427569381,68.4101228506,nan,68.4101228506,0.7,1.71603e-17,5.52501e-12,nan,50000,100,44.1070072156,6558,92.5905250092,0.000120577,135.355,6.96223,1.52868e-23,13002.2,74.3311
68.1457907583,90.9091649687,0.950249,267.908,8.43796e-07,1,7.59416767922,68.1457907583,nan,68.1457907583,0.7,4.04236e-19,5.51146e-12,nan,50000,100,46.6600632613,6584,90.9091649687,0.000140868,158.64,6.98983,3.58951e-25,12949.0,74.0132
68.3925545667,91.5909221427,0.943936,260.187,8.46884e-07,1,7.62195121951,68.3925545667,nan,68.3925545667,0.7,9.17654e-11,5.3129e-12,nan,50000,100,39.3958433019,6560,91.5909221427,0.000109335,121.865,6.60039,8.23304e-17,12989.4,74.2069
68.5601143833,91.1135956652,0.945919,256.699,8.48954e-07,1,7.64058679707,68.5601143833,nan,68.5601143833,0.7,5.56064e-23,5.22103e-12,nan,50000,100,48.6386026232,6544,91.1135956652,9.34083e-05,104.077,6.4818,4.99062e-29,13014.4,74.3108
