MinNormIw,VarNormIw,AvgRet,MaxVanillaIw,Delta,Bound,VarVanillaIw,MinVanillaIw,MaxNormIw,ESSRenyi,IterType,AvgDiscRet,eRenyi2,EpsThisIter,AvgVanillaIw,VarDiscRet,VarJ,J,AvgEpLen,VanillaAvgRet,AvgNormIw,VarRet,BatchSize,ESSClassic
0.005,2.179301e-19,2242.8262796975723,1.0,0.9,2202.7212,,1.0,0.005,500.0,2,2242.8262796975723,1.0,100,1.0,3361611.851591411,1892.6831,2320.5723,225.08,2242.8262796975723,0.0049999994,3361611.851591411,500,200.00000010221265
0.0033333334,5.4391416e-20,2252.91781286328,1.0,0.9,2201.7954,,1.0,0.0033333334,500.0,2,2252.91781286328,1.0,100,1.0,3312898.3861190416,1866.1298,2298.0205,226.09,2252.91781286328,0.0033333336,3312898.3861190416,500,299.999969473632
0.0025,5.434597e-20,2207.238830118163,1.0,0.9,2191.992,,1.0,0.0025,500.0,2,2207.238830118163,1.0,100,1.0,3270384.119563148,1850.0798,2275.3252,221.54,2207.238830118163,0.0024999997,3270384.119563148,500,400.0
1.8188e-31,4.5473826e-05,2241.9826781216575,32.983383,0.9,4666.178,10.622644,8.79064e-29,0.068243235,35.11972429280164,1,2241.9826781216575,14.237014,100,0.9666418,3410517.603272496,324.9138,4947.4155,225.01,2241.9826781216575,0.002,3410517.603272496,500,40.49986460461367
0.01,3.5044917e-18,4893.546691107835,1.0,0.9,4726.8804,,1.0,0.01,500.0,2,4893.546691107835,1.0,100,1.0,331962.8726009035,573.2741,4893.547,489.42,4893.546691107835,0.009999998,331962.8726009035,500,100.0
0.005,2.179301e-19,4842.05411554418,1.0,0.9,4749.949,,1.0,0.005,500.0,2,4842.05411554418,1.0,100,1.0,460880.55857979076,626.9931,4867.8003,484.3,4842.05411554418,0.0049999994,460880.55857979076,500,200.00000010221265
0.0033333334,5.4391416e-20,4902.260122836665,1.0,0.9,4783.0615,,1.0,0.0033333334,500.0,2,4902.260122836665,1.0,100,1.0,287968.2182893489,597.8074,4879.2866,490.29,4902.260122836665,0.0033333336,287968.2182893489,500,299.999969473632
0.0025,5.434597e-20,4946.906737034094,1.0,0.9,4812.8584,,1.0,0.0025,500.0,2,4946.906737034094,1.0,100,1.0,140628.02267591574,551.08344,4896.192,494.74,4946.906737034094,0.0024999997,140628.02267591574,500,400.0
4.762109e-06,1.6872049e-06,4902.888531410255,2.6753898,0.9,4903.306,0.43952984,0.0024305782,0.005241756,350.3685829202767,1,4902.888531410255,1.4270686,100,1.020799,215916.56338776633,45.882347,4992.346,490.37,4902.888531410255,0.0019999999,215916.56338776633,500,351.87542627754993
0.01,3.5044917e-18,4999.838772623098,1.0,0.9,4833.1724,,1.0,0.01,500.0,2,4999.838772623098,1.0,100,1.0,0.023127108741568977,0.1513202,4999.839,500.0,4999.838772623098,0.009999998,0.023127108741568977,500,100.0
0.005,2.179301e-19,4999.797843722135,1.0,0.9,4881.9673,,1.0,0.005,500.0,2,4999.797843722135,1.0,100,1.0,0.05593259143942029,0.19887908,4999.8184,500.0,4999.797843722135,0.0049999994,0.05593259143942029,500,200.00000010221265
0.0033333334,5.4391416e-20,4991.897325096961,1.0,0.9,4900.953,,1.0,0.0033333334,500.0,2,4991.897325096961,1.0,100,1.0,6259.753060369602,45.603592,4997.178,499.22,4991.897325096961,0.0033333336,6259.753060369602,500,299.999969473632
0.0025,5.434597e-20,4999.818142543229,1.0,0.9,4914.5044,,1.0,0.0025,500.0,2,4999.818142543229,1.0,100,1.0,0.07773881457989607,39.51065,4997.838,500.0,4999.818142543229,0.0024999997,0.07773881457989607,500,400.0
0.0005647617,1.1102032e-07,4984.607847123422,1.2550783,0.9,4922.4053,0.02785064,0.28286654,0.0025058466,487.123802820909,1,4984.607847123422,1.0264331,100,1.00172,23100.087295769517,30.314737,4997.9194,498.49,4984.607847123422,0.002,23100.087295769517,500,486.52354121819997
0.01,3.5044917e-18,4999.833602521175,1.0,0.9,4833.1675,,1.0,0.01,500.0,2,4999.833602521175,1.0,100,1.0,0.03135752484967555,0.1762021,4999.834,500.0,4999.833602521175,0.009999998,0.03135752484967555,500,100.0
0.005,2.179301e-19,4949.835258066424,1.0,0.9,4856.983,,1.0,0.005,500.0,2,4949.835258066424,1.0,100,1.0,249983.39458324152,352.6567,4974.834,495.01,4949.835258066424,0.0049999994,249983.39458324152,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.85730649739,1.0,0.9,4886.95,,1.0,0.0033333334,500.0,2,4999.85730649739,1.0,100,1.0,0.031929236577390246,288.1845,4983.1753,500.0,4999.85730649739,0.0033333336,0.031929236577390246,500,299.999969473632
0.0025,5.434597e-20,4990.848579945944,1.0,0.9,4901.7603,,1.0,0.0025,500.0,2,4990.848579945944,1.0,100,1.0,8098.334502977248,253.58063,4985.0938,499.11,4990.848579945944,0.0024999997,8098.334502977248,500,400.0
0.00017154358,3.603624e-07,4999.842889786888,1.6428894,0.9,4918.2056,0.08964463,0.085559234,0.0032939417,461.456996018269,1,4999.842889786888,1.0835246,100,0.9975219,0.02764879629133006,76.12849,4995.7915,500.0,4999.842889786888,0.002,0.02764879629133006,500,458.7533932711566
0.01,3.5044917e-18,4966.49927766837,1.0,0.9,4799.8325,,1.0,0.01,500.0,2,4966.49927766837,1.0,100,1.0,110951.27417381473,331.42383,4966.499,496.68,4966.49927766837,0.009999998,110951.27417381473,500,100.0
0.005,2.179301e-19,4999.748412186213,1.0,0.9,4865.273,,1.0,0.005,500.0,2,4999.748412186213,1.0,100,1.0,0.15302269899121348,234.94115,4983.124,500.0,4999.748412186213,0.0049999994,0.15302269899121348,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.836423943398,1.0,0.9,4892.47,,1.0,0.0033333334,500.0,2,4999.836423943398,1.0,100,1.0,0.03145707702716492,191.99037,4988.6953,500.0,4999.836423943398,0.0033333336,0.03145707702716492,500,299.999969473632
0.0025,5.434597e-20,4999.833825248019,1.0,0.9,4908.146,,1.0,0.0025,500.0,2,4999.833825248019,1.0,100,1.0,0.05284049744690079,166.33846,4991.4795,500.0,4999.833825248019,0.0024999997,0.05284049744690079,500,400.0
0.00029024962,1.16285314e-07,4999.851986763031,1.2132521,0.9,4923.139,0.029546278,0.14630549,0.0024069224,484.431126313133,1,4999.851986763031,1.0321385,100,1.0081356,0.029827581227804312,21.635723,4998.863,500.0,4999.851986763031,0.002,0.029827581227804312,500,485.9023925014655
0.01,3.5044917e-18,4999.834231270667,1.0,0.9,4833.1675,,1.0,0.01,500.0,2,4999.834231270667,1.0,100,1.0,0.04647655136428564,0.21452853,4999.834,500.0,4999.834231270667,0.009999998,0.04647655136428564,500,100.0
0.005,2.179301e-19,4999.825577912597,1.0,0.9,4881.979,,1.0,0.005,500.0,2,4999.825577912597,1.0,100,1.0,0.03472235127619485,0.20055176,4999.83,500.0,4999.825577912597,0.0049999994,0.03472235127619485,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.810937554017,1.0,0.9,4903.5986,,1.0,0.0033333334,500.0,2,4999.810937554017,1.0,100,1.0,0.06708690579243655,0.22142439,4999.8237,500.0,4999.810937554017,0.0033333336,0.06708690579243655,500,299.999969473632
0.0025,5.434597e-20,4999.872691619429,1.0,0.9,4916.5024,,1.0,0.0025,500.0,2,4999.872691619429,1.0,100,1.0,0.014174101235829756,0.20182328,4999.836,500.0,4999.872691619429,0.0024999997,0.014174101235829756,500,400.0
0.0019845522,9.987463e-12,4999.856196186808,1.0023489,0.9,4925.305,2.4962894e-06,0.99216056,0.0020049312,499.9991655363658,1,4999.856196186808,1.0000017,100,0.99988353,0.0270874746916993,0.19446969,4999.841,500.0,4999.856196186808,0.0019999999,0.0270874746916993,500,499.9987906774543
0.01,3.5044917e-18,4999.8417010266285,1.0,0.9,4833.175,,1.0,0.01,500.0,2,4999.8417010266285,1.0,100,1.0,0.025604928790299786,0.15921557,4999.8413,500.0,4999.8417010266285,0.009999998,0.025604928790299786,500,100.0
0.005,2.179301e-19,4999.845233508423,1.0,0.9,4881.992,,1.0,0.005,500.0,2,4999.845233508423,1.0,100,1.0,0.03692212437347599,0.1759339,4999.8433,500.0,4999.845233508423,0.0049999994,0.03692212437347599,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.838867089766,1.0,0.9,4903.617,,1.0,0.0033333334,500.0,2,4999.838867089766,1.0,100,1.0,0.03822011535222769,0.1823619,4999.8423,500.0,4999.838867089766,0.0033333336,0.03822011535222769,500,299.999969473632
0.0025,5.434597e-20,4999.846390760338,1.0,0.9,4916.5093,,1.0,0.0025,500.0,2,4999.846390760338,1.0,100,1.0,0.04407060984631129,0.18934786,4999.843,500.0,4999.846390760338,0.0024999997,0.04407060984631129,500,400.0
0.0019885905,9.832888e-12,4999.8574145051,1.0037256,0.9,4925.311,2.458418e-06,0.9943361,0.0020073687,499.99809265864315,1,4999.8574145051,1.0000038,100,1.0000411,0.024096835491204446,0.18267328,4999.8467,500.0,4999.8574145051,0.002,0.024096835491204446,500,499.9987506773225
0.01,3.5044917e-18,4949.82890017429,1.0,0.9,4783.162,,1.0,0.01,500.0,2,4949.82890017429,1.0,100,1.0,249982.76425173524,497.47656,4949.8286,495.01,4949.82890017429,0.009999998,249982.76425173524,500,100.0
0.005,2.179301e-19,4962.833803315875,1.0,0.9,4838.4805,,1.0,0.005,500.0,2,4962.833803315875,1.0,100,1.0,136966.68438064458,437.70108,4956.3315,496.31,4962.833803315875,0.0049999994,136966.68438064458,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.850203420431,1.0,0.9,4874.6133,,1.0,0.0033333334,500.0,2,4999.850203420431,1.0,100,1.0,0.027332688887747734,357.96985,4970.8384,500.0,4999.850203420431,0.0033333336,0.027332688887747734,500,299.999969473632
0.0025,5.434597e-20,4999.825220209116,1.0,0.9,4894.7515,,1.0,0.0025,500.0,2,4999.825220209116,1.0,100,1.0,0.02321328860699018,310.26495,4978.085,500.0,4999.825220209116,0.0024999997,0.02321328860699018,500,400.0
4.535102e-05,5.8365754e-07,4999.82047871574,1.5838817,0.9,4915.569,0.13823138,0.022070456,0.0032546064,438.7706191029434,1,4999.82047871574,1.1395476,100,0.9733169,0.035949361287672774,77.852905,4995.1353,500.0,4999.82047871574,0.0019999999,0.035949361287672774,500,436.44390584554907
0.01,3.5044917e-18,4999.815225614737,1.0,0.9,4833.1484,,1.0,0.01,500.0,2,4999.815225614737,1.0,100,1.0,0.04865361266002173,0.21945347,4999.815,500.0,4999.815225614737,0.009999998,0.04865361266002173,500,100.0
0.005,2.179301e-19,4999.850657208445,1.0,0.9,4881.982,,1.0,0.005,500.0,2,4999.850657208445,1.0,100,1.0,0.026017108332883537,0.19305424,4999.833,500.0,4999.850657208445,0.0049999994,0.026017108332883537,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.860041513766,1.0,0.9,4903.6167,,1.0,0.0033333334,500.0,2,4999.860041513766,1.0,100,1.0,0.022403532923393716,0.18000709,4999.842,500.0,4999.860041513766,0.0033333336,0.022403532923393716,500,299.999969473632
0.0025,5.434597e-20,4999.817112956722,1.0,0.9,4916.5024,,1.0,0.0025,500.0,2,4999.817112956722,1.0,100,1.0,0.034926524046389004,0.18183224,4999.836,500.0,4999.817112956722,0.0024999997,0.034926524046389004,500,400.0
0.0019997298,1.251377e-15,4999.81210154654,1.0000304,0.9,4925.296,3.1272981e-10,0.99986565,0.0020000592,500.0,1,4999.81210154654,1.0,100,1.0000007,0.09588298172153183,0.2133597,4999.8315,500.0,4999.81210154654,0.002,0.09588298172153183,500,499.9999713714813
0.01,3.5044917e-18,4999.829552622486,1.0,0.9,4833.1626,,1.0,0.01,500.0,2,4999.829552622486,1.0,100,1.0,0.04613489370257646,0.21370895,4999.829,500.0,4999.829552622486,0.009999998,0.04613489370257646,500,100.0
0.005,2.179301e-19,4999.851117270689,1.0,0.9,4881.9897,,1.0,0.005,500.0,2,4999.851117270689,1.0,100,1.0,0.020903415811804594,0.18248162,4999.841,500.0,4999.851117270689,0.0049999994,0.020903415811804594,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.8407407467985,1.0,0.9,4903.6157,,1.0,0.0033333334,500.0,2,4999.8407407467985,1.0,100,1.0,0.023792975557275286,0.17336488,4999.841,500.0,4999.8407407467985,0.0033333336,0.023792975557275286,500,299.999969473632
0.0025,5.434597e-20,4999.810676507993,1.0,0.9,4916.5005,,1.0,0.0025,500.0,2,4999.810676507993,1.0,100,1.0,0.06135624625555335,0.19467565,4999.834,500.0,4999.810676507993,0.0024999997,0.06135624625555335,500,400.0
0.002,5.431875e-20,4999.830054726754,1.0,0.9,4925.2974,,1.0,0.002,500.0,1,4999.830054726754,1.0,100,1.0,0.022289387867981535,0.18636717,4999.833,500.0,4999.830054726754,0.0020000003,0.022289387867981535,500,500.00000664260017
0.01,3.5044917e-18,4999.816276620377,1.0,0.9,4833.15,,1.0,0.01,500.0,2,4999.816276620377,1.0,100,1.0,0.06175994711064534,0.2472699,4999.8164,500.0,4999.816276620377,0.009999998,0.06175994711064534,500,100.0
0.005,2.179301e-19,4999.86870540859,1.0,0.9,4881.9917,,1.0,0.005,500.0,2,4999.86870540859,1.0,100,1.0,0.017703791270781723,0.2000582,4999.843,500.0,4999.86870540859,0.0049999994,0.017703791270781723,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.826916647528,1.0,0.9,4903.6123,,1.0,0.0033333334,500.0,2,4999.826916647528,1.0,100,1.0,0.045621460847109684,0.20442142,4999.8374,500.0,4999.826916647528,0.0033333336,0.045621460847109684,500,299.999969473632
0.0025,5.434597e-20,4999.834060148358,1.0,0.9,4916.503,,1.0,0.0025,500.0,2,4999.834060148358,1.0,100,1.0,0.051739917465532026,0.21011461,4999.8364,500.0,4999.834060148358,0.0024999997,0.051739917465532026,500,400.0
0.002,5.431875e-20,4999.818616411611,1.0,0.9,4925.298,,1.0,0.002,500.0,1,4999.818616411611,1.0,100,1.0,0.04932732250636651,0.21245149,4999.8335,500.0,4999.818616411611,0.0020000003,0.04932732250636651,500,500.00000664260017
0.01,3.5044917e-18,4999.847344697443,1.0,0.9,4833.1807,,1.0,0.01,500.0,2,4999.847344697443,1.0,100,1.0,0.03300617878542853,0.18076669,4999.847,500.0,4999.847344697443,0.009999998,0.03300617878542853,500,100.0
0.005,2.179301e-19,4999.868246145283,1.0,0.9,4882.007,,1.0,0.005,500.0,2,4999.868246145283,1.0,100,1.0,0.025682664486138873,0.17076713,4999.858,500.0,4999.868246145283,0.0049999994,0.025682664486138873,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.863784043199,1.0,0.9,4903.635,,1.0,0.0033333334,500.0,2,4999.863784043199,1.0,100,1.0,0.022249440691977023,0.16368015,4999.86,500.0,4999.863784043199,0.0033333336,0.022249440691977023,500,299.999969473632
0.0025,5.434597e-20,4999.8419088223345,1.0,0.9,4916.522,,1.0,0.0025,500.0,2,4999.8419088223345,1.0,100,1.0,0.023161082082932733,0.16088791,4999.8555,500.0,4999.8419088223345,0.0024999997,0.023161082082932733,500,400.0
0.002,5.431875e-20,4999.84571083963,1.0,0.9,4925.3184,,1.0,0.002,500.0,1,4999.84571083963,1.0,100,1.0,0.02368115212697411,0.15940689,4999.854,500.0,4999.84571083963,0.0020000003,0.02368115212697411,500,500.00000664260017
0.01,3.5044917e-18,4999.83359229276,1.0,0.9,4833.1665,,1.0,0.01,500.0,2,4999.83359229276,1.0,100,1.0,0.038784396040523965,0.19595362,4999.833,500.0,4999.83359229276,0.009999998,0.038784396040523965,500,100.0
0.005,2.179301e-19,4999.864828923724,1.0,0.9,4881.998,,1.0,0.005,500.0,2,4999.864828923724,1.0,100,1.0,0.015906819186243194,0.16527896,4999.849,500.0,4999.864828923724,0.0049999994,0.015906819186243194,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.8385371329305,1.0,0.9,4903.62,,1.0,0.0033333334,500.0,2,4999.8385371329305,1.0,100,1.0,0.025777479326699545,0.1635291,4999.845,500.0,4999.8385371329305,0.0033333336,0.025777479326699545,500,299.999969473632
0.0025,5.434597e-20,4999.849838126558,1.0,0.9,4916.513,,1.0,0.0025,500.0,2,4999.849838126558,1.0,100,1.0,0.018509868811252994,0.15697312,4999.8467,500.0,4999.849838126558,0.0024999997,0.018509868811252994,500,400.0
0.002,5.431875e-20,4999.872103935674,1.0,0.9,4925.317,,1.0,0.002,500.0,1,4999.872103935674,1.0,100,1.0,0.016618368038843773,0.15200998,4999.8525,500.0,4999.872103935674,0.0020000003,0.016618368038843773,500,500.00000664260017
0.01,3.5044917e-18,4999.8186545961225,1.0,0.9,4833.1523,,1.0,0.01,500.0,2,4999.8186545961225,1.0,100,1.0,0.034873290576479934,0.185791,4999.819,500.0,4999.8186545961225,0.009999998,0.034873290576479934,500,100.0
0.005,2.179301e-19,4999.869009175319,1.0,0.9,4881.9927,,1.0,0.005,500.0,2,4999.869009175319,1.0,100,1.0,0.019534804853048093,0.166013,4999.8438,500.0,4999.869009175319,0.0049999994,0.019534804853048093,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.828864786452,1.0,0.9,4903.614,,1.0,0.0033333334,500.0,2,4999.828864786452,1.0,100,1.0,0.04600172882602673,0.18331616,4999.839,500.0,4999.828864786452,0.0033333336,0.04600172882602673,500,299.999969473632
0.0025,5.434597e-20,4999.787289264431,1.0,0.9,4916.4917,,1.0,0.0025,500.0,2,4999.787289264431,1.0,100,1.0,0.101345907999735,0.22536124,4999.825,500.0,4999.787289264431,0.0024999997,0.101345907999735,500,400.0
0.002,5.431875e-20,4999.809896366798,1.0,0.9,4925.2876,,1.0,0.002,500.0,1,4999.809896366798,1.0,100,1.0,0.03214541281269962,0.21687682,4999.823,500.0,4999.809896366798,0.0020000003,0.03214541281269962,500,500.00000664260017
0.01,3.5044917e-18,4999.8103458133755,1.0,0.9,4833.144,,1.0,0.01,500.0,2,4999.8103458133755,1.0,100,1.0,0.04039206531246775,0.19996355,4999.8105,500.0,4999.8103458133755,0.009999998,0.04039206531246775,500,100.0
0.005,2.179301e-19,4999.850393445737,1.0,0.9,4881.979,,1.0,0.005,500.0,2,4999.850393445737,1.0,100,1.0,0.01925598723702911,0.17298795,4999.83,500.0,4999.850393445737,0.0049999994,0.01925598723702911,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.802853272803,1.0,0.9,4903.596,,1.0,0.0033333334,500.0,2,4999.802853272803,1.0,100,1.0,0.06465437553987975,0.20360526,4999.8213,500.0,4999.802853272803,0.0033333336,0.06465437553987975,500,299.999969473632
0.0025,5.434597e-20,4999.849467775894,1.0,0.9,4916.4946,,1.0,0.0025,500.0,2,4999.849467775894,1.0,100,1.0,0.032995111038850916,0.19850788,4999.828,500.0,4999.849467775894,0.0024999997,0.032995111038850916,500,400.0
0.002,5.431875e-20,4999.840569053247,1.0,0.9,4925.296,,1.0,0.002,500.0,1,4999.840569053247,1.0,100,1.0,0.02363205818072158,0.19033723,4999.8315,500.0,4999.840569053247,0.0020000003,0.02363205818072158,500,500.00000664260017
0.01,3.5044917e-18,4999.8493191617945,1.0,0.9,4833.1826,,1.0,0.01,500.0,2,4999.8493191617945,1.0,100,1.0,0.03570673832361437,0.18802246,4999.849,500.0,4999.8493191617945,0.009999998,0.03570673832361437,500,100.0
0.005,2.179301e-19,4999.834229642507,1.0,0.9,4881.9907,,1.0,0.005,500.0,2,4999.834229642507,1.0,100,1.0,0.0231407672264045,0.1708396,4999.842,500.0,4999.834229642507,0.0049999994,0.0231407672264045,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.847024648069,1.0,0.9,4903.618,,1.0,0.0033333334,500.0,2,4999.847024648069,1.0,100,1.0,0.03165559065498946,0.17294174,4999.8433,500.0,4999.847024648069,0.0033333336,0.03165559065498946,500,299.999969473632
0.0025,5.434597e-20,4999.87375072137,1.0,0.9,4916.518,,1.0,0.0025,500.0,2,4999.87375072137,1.0,100,1.0,0.024663209018648338,0.16943322,4999.8516,500.0,4999.87375072137,0.0024999997,0.024663209018648338,500,400.0
0.002,5.431875e-20,4999.865037518341,1.0,0.9,4925.319,,1.0,0.002,500.0,1,4999.865037518341,1.0,100,1.0,0.016445954294736734,0.162027,4999.8545,500.0,4999.865037518341,0.0020000003,0.016445954294736734,500,500.00000664260017
0.01,3.5044917e-18,4999.894178922271,1.0,0.9,4833.2275,,1.0,0.01,500.0,2,4999.894178922271,1.0,100,1.0,0.015180668379060031,0.122571304,4999.894,500.0,4999.894178922271,0.009999998,0.015180668379060031,500,100.0
0.005,2.179301e-19,4999.857780868488,1.0,0.9,4882.025,,1.0,0.005,500.0,2,4999.857780868488,1.0,100,1.0,0.038067754426513827,0.16335143,4999.876,500.0,4999.857780868488,0.0049999994,0.038067754426513827,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.827306780693,1.0,0.9,4903.635,,1.0,0.0033333334,500.0,2,4999.827306780693,1.0,100,1.0,0.02452471855937083,0.16250615,4999.86,500.0,4999.827306780693,0.0033333336,0.02452471855937083,500,299.999969473632
0.0025,5.434597e-20,4992.338281144196,1.0,0.9,4914.646,,1.0,0.0025,500.0,2,4992.338281144196,1.0,100,1.0,5657.291150082877,37.5607,4997.9795,499.26,4992.338281144196,0.0024999997,5657.291150082877,500,400.0
0.000593435,3.763016e-08,4999.86722652635,1.1109557,0.9,4924.56,0.009364367,0.2960359,0.0022270274,495.704383994849,1,4999.86722652635,1.0086657,100,0.9977028,0.02388743022482519,9.98598,4999.418,500.0,4999.86722652635,0.002,0.02388743022482519,500,495.34929091104925
0.01,3.5044917e-18,4999.867790206263,1.0,0.9,4833.201,,1.0,0.01,500.0,2,4999.867790206263,1.0,100,1.0,0.01538787174716811,0.12343404,4999.8677,500.0,4999.867790206263,0.009999998,0.01538787174716811,500,100.0
0.005,2.179301e-19,4999.84619077475,1.0,0.9,4882.006,,1.0,0.005,500.0,2,4999.84619077475,1.0,100,1.0,0.034795908833557695,0.15798378,4999.857,500.0,4999.84619077475,0.0049999994,0.034795908833557695,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.881612003944,1.0,0.9,4903.64,,1.0,0.0033333334,500.0,2,4999.881612003944,1.0,100,1.0,0.018261751651004344,0.15099719,4999.865,500.0,4999.881612003944,0.0033333336,0.018261751651004344,500,299.999969473632
0.0025,5.434597e-20,4999.869900242284,1.0,0.9,4916.5327,,1.0,0.0025,500.0,2,4999.869900242284,1.0,100,1.0,0.021543310895907237,0.1497908,4999.866,500.0,4999.869900242284,0.0024999997,0.021543310895907237,500,400.0
