EmpiricalD2,MeanD2w0t,ReturnStepMaxmin,MaxIW,StdD2w0t,TimeElapsed,MeanIW,InitialReturnMean,J_sample_variance,MeanEntropy,Iteration,ReturnStepMax,EpRewMean,InitialReturnMin,Weights,InitialBound,Bound,EntropyCoefficient,ReturnMeanIW,MinIW,EpLenMean,EpisodesSoFar,MaxD2w0t,MinD2w0t,EpThisIter,InitialReturnStd,StdIW,TimestepsSoFar,InitialReturnMax
  0.577 -0.064],-1468.8334,-1457.7075,10.0,-602.6103,0.66803056,39.68,2200,1.1374607,,100,88.82741,0.15506732,81176,288.3466
1.0097508,0.07269968,9.143756,1.264081,0.260257,359.52362990379333,0.98274,-1.9836425e-05,11994.582,1.3491629,23,9.35986,334.82292000782866,-117.48981,[-0.484  0.588 -0.488  0.13  -0.112  0.422  0.12  -0.493 -0.22   0.702
  0.577 -0.075],-1461.6033,-1454.9716,10.0,-632.1314,0.6452408,36.19,2300,1.0451807,,100,78.60464,0.08799164,84795,244.8263
1.090226,0.08039777,9.149784,1.5215442,0.2755845,376.4687387943268,0.94444364,1.3885498e-05,23194.568,1.3627728,24,9.359676,363.248072197672,-130.02573,[-0.48   0.572 -0.48   0.133 -0.106  0.431  0.12  -0.495 -0.22   0.702
  0.577 -0.07 ],-1467.0414,-1444.5,10.0,-584.5725,0.49418128,39.25,2400,1.2005825,,100,74.347725,0.21675876,88720,281.945
1.0370364,0.07896964,9.136615,1.7399181,0.2710397,393.1721742153168,0.972665,-3.2043456e-05,13713.302,1.3613225,25,9.359845,361.8832690001407,-136.50821,[-0.486  0.567 -0.49   0.129 -0.111  0.421  0.083 -0.521 -0.22   0.702
  0.577 -0.056],-1446.2133,-1430.6927,10.0,-601.50085,0.5532736,39.13,2500,1.1628718,,100,77.986084,0.17197162,92633,234.93015
1.0115913,0.07881406,9.138341,1.2828214,0.2702413,409.5596420764923,0.9708603,1.0986329e-05,13532.631,1.3646157,26,9.359941,362.5663704600827,-118.5683,[-0.492  0.554 -0.492  0.128 -0.117  0.407  0.057 -0.543 -0.22   0.702
  0.577 -0.058],-1475.395,-1462.9043,10.0,-607.9732,0.5983397,39.2,2600,1.0837803,,100,94.163605,0.08903841,96553,297.79523
1.0205593,0.07547854,9.1338625,1.4477562,0.265527,425.82165455818176,0.97260594,-1.2054444e-05,10830.858,1.36071,27,9.359597,345.73531100594454,-110.35687,[-0.481  0.531 -0.484  0.131 -0.118  0.396  0.059 -0.537 -0.22   0.702
  0.577 -0.054],-1427.5433,-1415.2418,10.0,-613.4047,0.6624521,37.39,2700,1.1395172,,100,71.46855,0.1325516,100292,186.2167
1.0776597,0.08243983,9.135913,1.9018234,0.27907103,441.69490671157837,0.93882185,-1.8920899e-05,31103.648,1.3632814,28,9.359822,371.76426754840605,-125.34679,[-0.497  0.538 -0.491  0.124 -0.124  0.382  0.054 -0.535 -0.22   0.702
  0.577 -0.058],-1460.9567,-1438.5693,10.0,-580.50574,0.27777377,40.2,2800,1.5566645,,100,86.36083,0.23514651,104312,272.02075
1.0396544,0.078747064,9.138943,1.7363999,0.27226856,458.6750259399414,0.95722455,-1.5258789e-05,20236.945,1.3721865,29,9.359932,357.1208126227245,-124.098175,[-0.481  0.532 -0.487  0.13  -0.119  0.363  0.07  -0.516 -0.22   0.702
  0.577 -0.056],-1467.9458,-1453.0027,10.0,-600.636,0.59045756,38.61,2900,1.135394,,100,85.67314,0.1761359,108173,276.89178
1.0929435,0.085884646,9.136839,2.4747071,0.28638372,474.8078610897064,0.9247286,-2.4108887e-05,26046.219,1.3753508,30,9.359926,382.5130335745175,-141.05466,[-0.494  0.526 -0.49   0.14  -0.107  0.354  0.073 -0.511 -0.22   0.702
  0.577 -0.047],-1453.3325,-1428.349,10.0,-563.14154,0.3237065,41.36,3000,1.6189947,,100,84.103935,0.22492452,112309,266.21823
1.0420816,0.079217225,9.141033,1.5113282,0.27332455,491.1613414287567,0.9551697,1.6784668e-06,18726.35,1.3618623,31,9.359758,358.54529832742986,-132.7539,[-0.492  0.527 -0.487  0.123 -0.123  0.336  0.082 -0.491 -0.22   0.702
  0.577 -0.044],-1470.9261,-1454.8857,10.0,-596.81775,0.50514144,38.76,3100,1.1698151,,100,82.95768,0.17733067,116185,285.08862
1.0101881,0.08119834,9.139241,1.2683231,0.27383652,508.85250544548035,0.98914903,-8.850097e-06,10737.195,1.3543811,32,9.3596735,373.7705719662613,-127.34241,[-0.495  0.538 -0.489  0.116 -0.129  0.348  0.089 -0.502 -0.22   0.702
  0.577 -0.057],-1429.4192,-1426.4171,10.0,-610.17773,0.70218015,40.41,3200,1.0455993,,100,85.067535,0.08274162,120226,207.62045
1.0241148,0.08588838,9.144439,1.3682077,0.2812762,525.7474036216736,0.9850403,-2.1972657e-05,13050.388,1.3607267,33,9.359838,394.60368829267856,-139.69244,[-0.506  0.532 -0.492  0.116 -0.131  0.344  0.092 -0.496 -0.22   0.702
  0.577 -0.065],-1467.4976,-1461.347,10.0,-593.6135,0.5957761,42.65,3300,1.1296086,,100,92.4602,0.12439027,124491,313.06323
1.0817128,0.08130165,9.15063,2.2275805,0.27676862,541.9580671787262,0.9499809,-1.3732911e-06,31185.691,1.3539603,34,9.359902,367.8968419780381,-131.23352,[-0.521  0.529 -0.497  0.115 -0.131  0.349  0.08  -0.51  -0.22   0.702
  0.577 -0.058],-1465.4662,-1440.4587,10.0,-581.9547,0.33721754,39.75,3400,1.2797399,,100,84.722885,0.27512947,128466,280.46457
1.0217669,0.07601697,9.136473,1.4323224,0.2665442,558.4246904850006,0.97775656,-2.8991699e-06,9952.822,1.3451058,35,9.359913,347.8246024974982,-111.84259,[-0.503  0.522 -0.514  0.118 -0.128  0.345  0.05  -0.544 -0.22   0.702
  0.577 -0.065],-1492.1437,-1480.3616,10.0,-614.50793,0.5057317,37.61,3500,1.073486,,100,82.59095,0.14423107,132227,329.4586
1.0390962,0.08666014,9.139064,1.5303986,0.2844308,575.7266294956207,0.9512697,5.7983398e-06,22936.19,1.358398,36,9.359691,393.0061838914981,-150.48676,[-0.517  0.519 -0.518  0.118 -0.128  0.354  0.047 -0.56  -0.22   0.702
  0.577 -0.074],-1477.7294,-1460.8643,10.0,-578.9463,0.50247824,42.49,3600,1.1422403,,100,109.57836,0.16504672,136476,335.8171
1.014619,0.0774899,9.141052,1.4340274,0.2680037,591.7673680782318,0.9824528,-1.9836425e-06,11115.463,1.3535438,37,9.359892,356.88314951426605,-131.88728,[-0.516  0.52  -0.525  0.122 -0.124  0.345  0.052 -0.557 -0.22   0.702
  0.577 -0.061],-1454.2749,-1446.7737,10.0,-615.4416,0.5525087,38.58,3700,1.084675,,100,81.9131,0.113172546,140334,244.05576
1.033432,0.08746244,9.153814,1.695909,0.2847961,607.3248653411865,0.9637717,1.0681152e-05,18504.295,1.3393431,38,9.359896,398.97036590756704,-159.0986,[-0.53   0.509 -0.532  0.122 -0.126  0.34   0.038 -0.567 -0.22   0.702
  0.577 -0.065],-1422.1423,-1405.8444,10.0,-576.3393,0.5667559,43.1,3800,1.0669161,,100,88.06056,0.18844995,144644,207.62631
1.0967962,0.09055252,9.153747,2.095257,0.29388055,624.6146469116211,0.9139509,1.739502e-05,25086.645,1.3281322,39,9.359822,402.3924218962173,-137.6497,[-0.531  0.523 -0.535  0.12  -0.128  0.348  0.055 -0.561 -0.22   0.702
  0.577 -0.08 ],-1438.1151,-1410.4601,10.0,-546.80005,0.31062976,43.47,3900,1.5388708,,100,91.22226,0.21428584,148991,244.62262
1.01265,0.08772632,9.1555395,1.3562658,0.28386492,643.0915751457214,0.9769296,-1.3580322e-05,16975.684,1.3228565,40,9.359828,403.5425240714076,-144.17075,[-0.552  0.528 -0.534  0.115 -0.135  0.329  0.059 -0.532 -0.22   0.702
  0.577 -0.091],-1468.7325,-1460.7964,10.0,-588.34625,0.58248806,43.59,4000,1.0472939,,100,100.59043,0.114515066,153350,323.04446
1.0880563,0.08125247,9.144325,1.7483708,0.27687734,659.3998365402222,0.9513347,-9.155273e-07,22985.217,1.3212605,41,9.359682,367.21201904677145,-130.38028,[-0.549  0.517 -0.529  0.111 -0.139  0.328  0.053 -0.533 -0.22   0.702
  0.577 -0.096],-1456.1909,-1435.1821,10.0,-586.0404,0.31678677,39.69,4100,1.3622683,,100,90.95813,0.22072186,157319,253.33069
1.0489972,0.091722645,9.142043,1.5292486,0.29281425,677.846866607666,0.9414606,1.373291e-05,18540.498,1.3101803,42,9.3597,413.5139384457679,-142.9349,[-0.551  0.512 -0.537  0.106 -0.144  0.329  0.021 -0.553 -0.22   0.702
  0.577 -0.098],-1463.2297,-1441.0159,10.0,-554.2052,0.5302699,44.7,4200,1.1605619,,100,98.39274,0.18290871,161789,323.64462
1.046856,0.08076086,9.13491,2.0241787,0.2745906,695.0797832012177,0.9594752,-9.9182125e-06,21857.348,1.2997812,43,9.359717,368.2279905868109,-131.28998,[-0.556  0.524 -0.535  0.113 -0.137  0.338  0.033 -0.558 -0.22   0.702
  0.577 -0.109],-1462.5034,-1442.8213,10.0,-590.72974,0.55403906,39.82,4300,1.1565244,,100,86.31512,0.21668711,165771,271.14752
1.0778145,0.08504398,9.143116,2.4691021,0.28479588,711.982442855835,0.91902274,-2.7465821e-06,29248.69,1.2885805,44,9.35997,379.3132889272628,-145.85254,[-0.559  0.503 -0.539  0.115 -0.134  0.327  0.007 -0.572 -0.22   0.702
  0.577 -0.119],-1470.6311,-1439.7323,10.0,-560.55115,0.30255023,41.0,4400,1.3945566,,100,90.69802,0.24322808,169871,300.51224
1.008167,0.08770076,9.14819,1.4158397,0.28339475,730.7297158241272,0.98506415,9.307862e-06,12906.607,1.284057,45,9.359591,404.3949857911128,-147.43422,[-0.546  0.498 -0.539  0.1   -0.147  0.306  0.008 -0.558 -0.22   0.702
  0.577 -0.13 ],-1421.2924,-1415.8052,10.0,-589.4648,0.55587626,43.7,4500,1.0662881,,100,90.44153,0.09119814,174241,209.03851
1.0456814,0.08824772,9.149788,1.4647586,0.28658205,748.9036045074463,0.95497,3.2043456e-06,18940.635,1.2813745,46,9.359676,401.00751508769923,-143.64635,[-0.563  0.505 -0.544  0.102 -0.146  0.305  0.007 -0.556 -0.22   0.702
  0.577 -0.135],-1467.2585,-1449.0442,10.0,-569.77325,0.40864265,43.33,4600,1.2769119,,100,94.0779,0.18600664,178574,314.74243
1.0111852,0.09155331,9.147928,1.3049228,0.28919393,766.7890455722809,0.98084587,-2.7465821e-06,13083.19,1.2806665,47,9.359869,421.5150274343741,-149.00168,[-5.717e-01  5.070e-01 -5.424e-01  1.087e-01 -1.387e-01  3.182e-01
  2.306e-04 -5.712e-01 -2.198e-01  7.020e-01  5.769e-01 -1.375e-01],-1442.7083,-1434.8206,10.0,-576.90826,0.6926162,45.55,4700,1.0353839,,100,98.063835,0.09460592,183129,269.5421
1.0227268,0.08693406,9.15458,1.5865616,0.2833292,783.8442523479462,0.9692133,7.93457e-06,19962.441,1.2874968,48,9.359607,398.3326768715101,-142.18457,[-0.558  0.487 -0.542  0.112 -0.138  0.312 -0.005 -0.567 -0.22   0.702
  0.577 -0.138],-1440.0071,-1430.5989,10.0,-586.0556,0.5132314,43.03,4800,1.1084484,,100,93.10384,0.14738646,187432,243.35776
1.0740416,0.089716874,9.146821,1.9481298,0.290379,801.1205253601074,0.9418468,-3.0517579e-06,21297.795,1.3046813,49,9.359567,403.531770363638,-146.9003,[-0.558  0.481 -0.542  0.106 -0.141  0.319 -0.009 -0.569 -0.22   0.702
  0.577 -0.132],-1415.8286,-1390.8756,10.0,-555.9916,0.46720347,43.61,4900,1.3483233,,100,91.18418,0.23641622,191793,196.56076
1.0377667,0.083455175,9.139304,2.4919307,0.27880564,817.6709804534912,0.95610577,-3.8452148e-05,21924.541,1.3046645,50,9.359839,380.4348794098451,-138.83893,[-0.551  0.471 -0.545  0.103 -0.142  0.326 -0.024 -0.592 -0.22   0.702
  0.577 -0.114],-1459.0734,-1440.949,10.0,-584.5709,0.44452694,41.13,5000,1.2917774,,100,87.86499,0.21319959,195906,274.84515
1.0348182,0.08898215,9.14731,1.734106,0.28636757,834.0521650314331,0.9621165,5.7983398e-06,19471.89,1.3045883,51,9.359737,407.4325744945292,-149.0216,[-0.563  0.483 -0.547  0.11  -0.131  0.323 -0.009 -0.572 -0.22   0.702
  0.577 -0.114],-1447.5361,-1431.5938,10.0,-573.5812,0.487414,44.03,5100,1.1061445,,100,91.483406,0.16119927,200309,267.2314
1.0672495,0.08310996,9.142207,1.6752512,0.27907434,851.2123622894287,0.9517416,4.8828124e-06,23053.072,1.2939686,52,9.359887,376.9801219470635,-143.02654,[-0.56   0.497 -0.548  0.116 -0.124  0.324  0.011 -0.554 -0.22   0.702
  0.577 -0.114],-1458.8237,-1433.2307,10.0,-579.6458,0.39235607,40.75,5200,1.2110171,,100,97.704575,0.22643544,204384,269.101
1.064704,0.091093175,9.138965,1.7893536,0.29193974,869.5476627349854,0.94057006,-4.577637e-06,29130.371,1.2813686,53,9.359679,410.577350352124,-158.02707,[-0.564  0.478 -0.554  0.12  -0.117  0.314 -0.02  -0.579 -0.22   0.702
  0.577 -0.125],-1416.7898,-1395.2888,10.0,-557.7947,0.44369885,44.39,5300,1.1777434,,100,90.31758,0.23060305,208823,201.26385
1.0175399,0.08821883,9.1379595,1.3211968,0.2848978,887.3299462795258,0.97495085,1.3427734e-05,13971.781,1.2899151,54,9.35974,404.6371427843703,-138.95027,[-0.57   0.503 -0.56   0.111 -0.127  0.324  0.005 -0.559 -0.22   0.702
  0.577 -0.137],-1443.0983,-1433.612,10.0,-582.71124,0.64715195,43.75,5400,1.0967073,,100,95.346565,0.10711727,213198,248.71027
1.034144,0.082669005,9.132181,1.5867293,0.2770677,903.6130845546722,0.96154034,1.3427734e-05,20106.443,1.2835977,55,9.359833,378.06920567202417,-145.27408,[-0.559  0.489 -0.555  0.115 -0.123  0.324  0.002 -0.56  -0.22   0.702
  0.577 -0.129],-1450.1116,-1436.8962,10.0,-591.4654,0.28724444,40.89,5500,1.2255193,,100,89.26529,0.15964726,217287,247.9263
1.0303345,0.08775909,9.145525,1.6684655,0.2851518,921.3861637115479,0.9628021,-5.9509275e-06,21292.902,1.2796915,56,9.359762,400.36192626243815,-136.17561,[-0.563  0.489 -0.554  0.117 -0.122  0.317  0.015 -0.546 -0.22   0.702
  0.577 -0.135],-1446.2845,-1434.0166,10.0,-580.0141,0.45420685,43.27,5600,1.1502786,,100,95.80887,0.16105402,221614,262.218
1.0070622,0.08261961,9.155343,1.1842136,0.27589595,937.9481983184814,0.99082524,-2.7465821e-06,10092.183,1.2743139,57,9.359834,380.94983343213374,-131.33958,[-0.551  0.484 -0.553  0.121 -0.119  0.323  0.016 -0.538 -0.22   0.702
  0.577 -0.139],-1455.781,-1452.0256,10.0,-606.92255,0.73846906,41.15,5700,1.0186481,,100,90.678825,0.07795684,225729,264.81592
1.0249923,0.08714168,9.141796,1.4731877,0.28370544,955.0704643726349,0.98040813,-6.713867e-06,16573.832,1.2620803,58,9.359444,398.7942926673267,-149.64777,[-0.561  0.484 -0.556  0.124 -0.114  0.33   0.021 -0.537 -0.22   0.702
  0.577 -0.145],-1420.5354,-1412.5515,10.0,-588.7535,0.59373575,43.11,5800,1.047877,,100,99.85003,0.14467503,230040,201.00668
1.0259936,0.08538717,9.14677,1.4752195,0.28144833,972.0143117904663,0.9697846,-8.544922e-06,15387.592,1.2616162,59,9.359725,390.0243055066736,-144.18393,[-0.562  0.498 -0.56   0.125 -0.115  0.332  0.034 -0.524 -0.22   0.702
  0.577 -0.157],-1440.2825,-1428.3225,10.0,-586.27765,0.53351676,42.15,5900,1.151127,,100,93.088066,0.16310337,234255,234.52478
