MaxNormIw,Bound,ESSClassic,MaxVanillaIw,MinVanillaIw,AvgDiscRet,MinNormIw,AvgEpLen,ESSRenyi,VarVanillaIw,AvgVanillaIw,VarJ,VarRet,J,VanillaAvgRet,AvgNormIw,eRenyi2,AvgRet,VarNormIw,VarDiscRet,BatchSize
0.01,-251.66895,100.0,1.0,1.0,3.751665644813329e-13,0.01,201.92,100.0,,1.0,1549.8411,2426270.458244311,-1.7166138e-05,2009.5422100339194,0.009999998,1.0,3.751665644813329e-13,3.5044917e-18,2426270.458244311,100
0.01,-256.84616,100.0,1.0,1.0,2.6375346351414917e-13,0.01,195.81,100.0,,1.0,1305.2382,1720855.2871587803,2.861023e-05,1947.8877066926084,0.009999998,1.0,2.6375346351414917e-13,3.5044917e-18,1720855.2871587803,100
0.01,-277.94406,100.0,1.0,1.0,-2.2396307031158358e-13,0.01,170.78,100.0,,1.0,1189.067,1428161.9342257485,-1.9073486e-06,1697.414657171162,0.009999998,1.0,-2.2396307031158358e-13,3.5044917e-18,1428161.9342257485,100
0.01,-286.87775,100.0,1.0,1.0,-1.7053025658242404e-13,0.01,160.12,100.0,,1.0,1169.8674,1382413.9503226243,7.6293945e-06,1590.6284438231887,0.009999998,1.0,-1.7053025658242404e-13,3.5044917e-18,1382413.9503226243,100
0.01,-244.20409,100.0,1.0,1.0,2.4783730623312296e-13,0.01,210.8,100.0,,1.0,1536.1101,2383469.0289106253,-1.5258789e-05,2098.4085279767814,0.009999998,1.0,2.4783730623312296e-13,3.5044917e-18,2383469.0289106253,100
0.01,-247.73073,100.0,1.0,1.0,-1.8417267710901798e-13,0.01,206.6,100.0,,1.0,1486.029,2230588.129616121,-5.722046e-06,2056.4211758365577,0.009999998,1.0,-1.8417267710901798e-13,3.5044917e-18,2230588.129616121,100
0.01,-240.40327,100.0,1.0,1.0,-1.8189894035458566e-13,0.01,215.32,100.0,,1.0,1438.9084,2091371.388838394,5.722046e-06,2143.513231727281,0.009999998,1.0,-1.8189894035458566e-13,3.5044917e-18,2091371.388838394,100
0.01,-256.56097,100.0,1.0,1.0,-1.0913936421275138e-13,0.01,196.11,100.0,,1.0,1395.4404,1966923.1276770027,9.536743e-06,1951.318524303262,0.009999998,1.0,-1.0913936421275138e-13,3.5044917e-18,1966923.1276770027,100
0.01,-247.00508,100.0,1.0,1.0,5.456968210637569e-14,0.01,207.5,100.0,,1.0,1270.3823,1630173.2390171413,8.583069e-06,2065.0730251683644,0.009999998,1.0,5.456968210637569e-14,3.5044917e-18,1630173.2390171413,100
0.01,-272.94427,100.0,1.0,1.0,3.7061909097246823e-13,0.01,176.68,100.0,,1.0,1329.3416,1784999.0312293612,1.9073486e-06,1756.6277780686712,0.009999998,1.0,3.7061909097246823e-13,3.5044917e-18,1784999.0312293612,100
0.01,-264.88385,100.0,1.0,1.0,2.660272002685815e-13,0.01,186.26,100.0,,1.0,1301.6273,1711347.1055160752,3.8146973e-06,1852.5174659351774,0.009999998,1.0,2.660272002685815e-13,3.5044917e-18,1711347.1055160752,100
0.01,-225.50912,100.0,1.0,1.0,1.2278178473934532e-13,0.01,232.99,100.0,,1.0,1604.2659,2599665.625493829,7.6293945e-06,2320.5381477947435,0.009999998,1.0,1.2278178473934532e-13,3.5044917e-18,2599665.625493829,100
0.01,-275.62885,100.0,1.0,1.0,1.0686562745831906e-13,0.01,173.52,100.0,,1.0,1243.5165,1561952.5300382127,-1.1444092e-05,1725.0242822690366,0.009999998,1.0,1.0686562745831906e-13,3.5044917e-18,1561952.5300382127,100
0.01,-256.33295,100.0,1.0,1.0,-7.73070496506989e-14,0.01,196.42,100.0,,1.0,1419.5992,2035618.0360980674,6.67572e-06,1954.2102869172645,0.009999998,1.0,-7.73070496506989e-14,3.5044917e-18,2035618.0360980674,100
0.01,-233.58064,100.0,1.0,1.0,2.2509993868879974e-13,0.01,223.41,100.0,,1.0,1509.5793,2301848.147324021,-2.861023e-06,2224.6341834793966,0.009999998,1.0,2.2509993868879974e-13,3.5044917e-18,2301848.147324021,100
0.01,-251.89128,100.0,1.0,1.0,-2.7284841053187846e-14,0.01,201.66,100.0,,1.0,1491.5848,2247298.4815881,7.6293945e-06,2006.706915333264,0.009999998,1.0,-2.7284841053187846e-14,3.5044917e-18,2247298.4815881,100
