eRenyi2,Delta,MaxNormIw,MinNormIw,VarRet,AvgVanillaIw,AvgEpLen,Bound,MaxVanillaIw,VarDiscRet,VarNormIw,J,AvgDiscRet,VanillaAvgRet,VarVanillaIw,VarJ,MinVanillaIw,EpsThisIter,ESSRenyi,IterType,BatchSize,AvgNormIw,AvgRet,ESSClassic
1.0,0.6,0.01,0.01,6397.17470648,1.0,51.24,-0.57152,1.0,6397.17470648,3.50449e-18,17.5587,17.5586740444,17.5586740444,,79.5814,1.0,100,500.0,2,500,0.01,17.5586740444,100.0
1.0,0.6,0.005,0.005,763.992738209,1.0,42.98,-9.40154,1.0,763.992738209,2.1793e-19,3.41845,-10.7217805068,-10.7217805068,,61.1942,1.0,100,500.0,2,500,0.005,-10.7217805068,200.000000102
1.0,0.6,0.00333333,0.00333333,77.1963386513,1.0,28.7,-6.33929,1.0,77.1963386513,5.43914e-20,4.12818,5.54764282697,5.54764282697,,50.2291,1.0,100,500.0,2,500,0.00333333,5.54764282697,299.999969474
1.0,0.6,0.0025,0.0025,715.825021192,1.0,37.22,-7.57224,1.0,715.825021192,5.4346e-20,1.49286,-6.41311345229,-6.41311345229,,45.719,1.0,100,500.0,2,500,0.0025,-6.41311345229,400.0
1.07817,0.6,0.0833103,3.20736e-07,689.860185925,2546.44,44.02,213.567,106072.0,689.860185925,0.0001629,221.986,-19.0236886142,-19.0236886142,2.64076e+08,0.407714,0.408367,100,463.749399762,1,500,0.002,-19.0236886142,12.0066444902
1.0,0.6,0.01,0.01,255.110077986,1.0,29.76,-10.9701,1.0,255.110077986,3.50449e-18,-7.75432,-7.75432015866,-7.75432015866,,15.8921,1.0,100,500.0,2,500,0.01,-7.75432015866,100.0
1.0,0.6,0.005,0.005,393.522958389,1.0,36.3,-5.40856,1.0,393.522958389,2.1793e-19,-3.13463,1.48506468308,1.48506468308,,18.5045,1.0,100,500.0,2,500,0.005,1.48506468308,200.000000102
1.0,0.6,0.00333333,0.00333333,1766.89684961,1.0,61.3,-7.38878,1.0,1766.89684961,5.43914e-20,-4.04752,-5.87331133641,-5.87331133641,,28.5135,1.0,100,500.0,2,500,0.00333333,-5.87331133641,299.999969474
1.0,0.6,0.0025,0.0025,953.863303949,1.0,47.08,-9.09534,1.0,953.863303949,5.4346e-20,-5.94512,-11.6379169399,-11.6379169399,,29.2686,1.0,100,500.0,2,500,0.0025,-11.6379169399,400.0
1.06498,0.6,0.0833116,2.94442e-07,4608.91684824,2911.0,52.72,195.581,121260.0,4608.91684824,0.000162906,203.242,32.5088874985,32.5088874985,3.45113e+08,0.346021,0.428561,100,469.490532235,1,500,0.002,32.5088874985,12.006250373
1.0,0.6,0.01,0.01,1034.09255358,1.0,65.58,14.8528,1.0,1034.09255358,3.50449e-18,20.803,20.8030375696,20.8030375696,,31.9961,1.0,100,500.0,2,500,0.01,20.8030375696,100.0
1.0,0.6,0.005,0.005,864.629203543,1.0,37.6,1.53366,1.0,864.629203543,2.1793e-19,5.74114,-9.32075987676,-9.32075987676,,34.1574,1.0,100,500.0,2,500,0.005,-9.32075987676,200.000000102
1.0,0.6,0.00333333,0.00333333,89.046962034,1.0,32.8,0.86969,1.0,89.046962034,5.43914e-20,4.30508,1.43296029783,1.43296029783,,28.4838,1.0,100,500.0,2,500,0.00333333,1.43296029783,299.999969474
1.0,0.6,0.0025,0.0025,849.535980821,1.0,42.34,-1.53771,1.0,849.535980821,5.4346e-20,1.43742,-7.16554655547,-7.16554655547,,29.0418,1.0,100,500.0,2,500,0.0025,-7.16554655547,400.0
1.07744,0.6,0.0833156,1.21132e-07,412.450528603,3614.99,39.32,70.0988,150593.0,412.450528603,0.000162922,72.861,-3.37169926705,-3.37169926705,5.32272e+08,0.095706,0.218946,100,464.063518765,1,500,0.002,-3.37169926705,12.0051041234
1.0,0.6,0.01,0.01,300.277538161,1.0,43.86,-0.106422,1.0,300.277538161,3.50449e-18,2.26951,2.269511865,2.269511865,,17.2417,1.0,100,500.0,2,500,0.01,2.269511865,100.0
1.0,0.6,0.005,0.005,1346.24071506,1.0,36.02,-5.16511,1.0,1346.24071506,2.1793e-19,-0.623873,-3.51725710327,-3.51725710327,,28.6949,1.0,100,500.0,2,500,0.005,-3.51725710327,200.000000102
1.0,0.6,0.00333333,0.00333333,198.428818324,1.0,36.72,-4.9867,1.0,198.428818324,5.43914e-20,-1.2788,-2.58865196934,-2.58865196934,,24.8047,1.0,100,500.0,2,500,0.00333333,-2.58865196934,299.999969474
1.0,0.6,0.0025,0.0025,12819.011538,1.0,100.9,-9.71617,1.0,12819.011538,5.4346e-20,4.02788,19.9478976331,19.9478976331,,60.9807,1.0,100,500.0,2,500,0.0025,19.9478976331,400.0
1.07919,0.6,0.0999767,3.33914e-07,2067.71334791,3148.92,40.94,323.81,157410.0,2067.71334791,0.0001963,336.58,4.53703838967,4.53703838967,4.86613e+08,0.561388,0.525734,100,463.312434972,1,500,0.002,4.53703838967,10.0046539843
1.0,0.6,0.01,0.01,805.216640792,1.0,45.76,-25.9802,1.0,805.216640792,3.50449e-18,-19.4447,-19.4446841302,-19.4446841302,,28.2341,1.0,100,500.0,2,500,0.01,-19.4446841302,100.0
1.0,0.6,0.005,0.005,3208.54846184,1.0,102.06,-14.8393,1.0,3208.54846184,2.1793e-19,-5.79463,7.85541626266,7.85541626266,,46.6169,1.0,100,500.0,2,500,0.005,7.85541626266,200.000000102
1.0,0.6,0.00333333,0.00333333,252.068073363,1.0,61.3,-9.73792,1.0,252.068073363,5.43914e-20,-2.35299,4.53031264669,4.53031264669,,39.4415,1.0,100,500.0,2,500,0.00333333,4.53031264669,299.999969474
1.0,0.6,0.0025,0.0025,596.982026571,1.0,35.36,-11.5901,1.0,596.982026571,5.4346e-20,-5.19456,-13.7192683321,-13.7192683321,,36.5882,1.0,100,500.0,2,500,0.0025,-13.7192683321,400.0
1.0817,0.6,0.0833102,3.01753e-07,762.955402182,2567.68,39.0,150.664,106957.0,762.955402182,0.0001629,156.613,-10.844119197,-10.844119197,2.68499e+08,0.294651,0.387402,100,462.23691242,1,500,0.002,-10.844119197,12.006652375
1.0,0.6,0.01,0.01,357.640585491,1.0,42.58,-4.14596,1.0,357.640585491,3.50449e-18,-1.02916,-1.02916008668,-1.02916008668,,18.8166,1.0,100,500.0,2,500,0.01,-1.02916008668,100.0
1.0,0.6,0.005,0.005,472.704608164,1.0,30.38,-11.5222,1.0,472.704608164,2.1793e-19,-8.22234,-15.4155291712,-15.4155291712,,21.5119,1.0,100,500.0,2,500,0.005,-15.4155291712,200.000000102
1.0,0.6,0.00333333,0.00333333,274.447533413,1.0,36.52,-5.96648,1.0,274.447533413,5.43914e-20,-3.27219,6.62812756906,6.62812756906,,21.168,1.0,100,500.0,2,500,0.00333333,6.62812756906,299.999969474
1.0,0.6,0.0025,0.0025,878.600641594,1.0,42.7,-3.74261,1.0,878.600641594,5.4346e-20,0.153758,10.431588748,10.431588748,,24.2637,1.0,100,500.0,2,500,0.0025,10.431588748,400.0
1.08782,0.6,0.0999749,2.86901e-07,560.3251083,2942.71,38.22,91.7824,147099.0,560.3251083,0.000196292,95.4172,-1.24750956562,-1.24750956562,4.2495e+08,0.171008,0.422134,100,459.636455449,1,500,0.002,-1.24750956562,10.0050257332
1.0,0.6,0.01,0.01,427.47413041,1.0,37.86,2.76968,1.0,427.47413041,3.50449e-18,7.29257,7.29256751918,7.29256751918,,20.5718,1.0,100,500.0,2,500,0.01,7.29256751918,100.0
1.0,0.6,0.005,0.005,395.541303169,1.0,82.66,-6.19955,1.0,395.541303169,2.1793e-19,-3.00138,-13.2953302204,-13.2953302204,,22.6574,1.0,100,500.0,2,500,0.005,-13.2953302204,200.000000102
1.0,0.6,0.00333333,0.00333333,377.869570564,1.0,52.52,1.26348,1.0,377.869570564,5.43914e-20,3.87477,17.6270631922,17.6270631922,,23.696,1.0,100,500.0,2,500,0.00333333,17.6270631922,299.999969474
1.0,0.6,0.0025,0.0025,426.246674426,1.0,75.1,0.960239,1.0,426.246674426,5.4346e-20,3.22168,1.26243136951,1.26243136951,,22.9761,1.0,100,500.0,2,500,0.0025,1.26243136951,400.0
1.0931,0.6,0.0833148,6.14906e-09,6588.4849431,3155.97,59.28,46.1011,131470.0,6588.4849431,0.000162918,55.3829,-26.6287197081,-26.6287197081,4.05674e+08,0.0713598,0.00970313,100,457.416757602,1,500,0.002,-26.6287197081,12.0053366035
1.0,0.6,0.01,0.01,198.092712689,1.0,34.74,-1.6774,1.0,198.092712689,3.50449e-18,0.162604,0.162604441603,0.162604441603,,14.004,1.0,100,500.0,2,500,0.01,0.162604441603,100.0
1.0,0.6,0.005,0.005,720.822041634,1.0,38.84,-5.10262,1.0,720.822041634,2.1793e-19,-2.0329,-4.22841149466,-4.22841149466,,21.4402,1.0,100,500.0,2,500,0.005,-4.22841149466,200.000000102
1.0,0.6,0.00333333,0.00333333,386.470145804,1.0,37.0,0.229152,1.0,386.470145804,5.43914e-20,2.73557,12.2725132943,12.2725132943,,21.8967,1.0,100,500.0,2,500,0.00333333,12.2725132943,299.999969474
1.0,0.6,0.0025,0.0025,1285.57220843,1.0,96.74,-1.7312,1.0,1285.57220843,5.4346e-20,1.91823,-0.533803294564,-0.533803294564,,26.0727,1.0,100,500.0,2,500,0.0025,-0.533803294564,400.0
1.08604,0.6,0.0999614,2.57214e-07,988.938629632,1800.22,49.86,85.9582,89976.4,988.938629632,0.000196238,89.3598,11.6445605809,11.6445605809,1.58992e+08,0.232106,0.231521,100,460.389353154,1,500,0.002,11.6445605809,10.0077155131
1.0,0.6,0.01,0.01,840.404260132,1.0,38.52,-5.11678,1.0,840.404260132,3.50449e-18,0.764362,0.764361419156,0.764361419156,,28.8444,1.0,100,500.0,2,500,0.01,0.764361419156,100.0
1.0,0.6,0.005,0.005,540.688650913,1.0,41.92,-0.338295,1.0,540.688650913,2.1793e-19,3.8203,6.87623309053,6.87623309053,,26.3245,1.0,100,500.0,2,500,0.005,6.87623309053,200.000000102
1.0,0.6,0.00333333,0.00333333,325.70645526,1.0,29.16,1.08321,1.0,325.70645526,5.43914e-20,4.47869,5.79546905818,5.79546905818,,23.8817,1.0,100,500.0,2,500,0.00333333,5.79546905818,299.999969474
1.0,0.6,0.0025,0.0025,406.410757745,1.0,32.96,5.17725,1.0,406.410757745,5.4346e-20,8.11782,19.0352175141,19.0352175141,,23.8342,1.0,100,500.0,2,500,0.0025,19.0352175141,400.0
1.08454,0.6,0.0833157,7.37207e-08,292.831452356,3673.33,37.16,69.277,153023.0,292.831452356,0.000162922,72.016,-12.6696987362,-12.6696987362,5.49589e+08,0.0845396,0.1354,100,461.024389214,1,500,0.002,-12.6696987362,12.0050912742
1.0,0.6,0.01,0.01,801.650707259,1.0,42.14,7.67978,1.0,801.650707259,3.50449e-18,12.0134,12.0133619499,12.0133619499,,28.1715,1.0,100,500.0,2,500,0.01,12.0133619499,100.0
1.0,0.6,0.005,0.005,799.5507825,1.0,68.38,6.10434,1.0,799.5507825,2.1793e-19,9.2395,6.46564353468,6.46564353468,,28.2894,1.0,100,500.0,2,500,0.005,6.46564353468,200.000000102
1.0,0.6,0.00333333,0.00333333,432.529835158,1.0,42.32,5.90956,1.0,432.529835158,5.43914e-20,8.46941,6.92921341744,6.92921341744,,26.0278,1.0,100,500.0,2,500,0.00333333,6.92921341744,299.999969474
1.0,0.6,0.0025,0.0025,250.066600251,1.0,36.16,0.528625,1.0,250.066600251,5.4346e-20,2.74552,-14.4261487396,-14.4261487396,,25.8508,1.0,100,500.0,2,500,0.0025,-14.4261487396,400.0
1.11374,0.6,0.0833127,2.71952e-08,837.196444851,3714.79,46.18,50.6536,154744.0,837.196444851,0.00016291,53.384,-13.524248743,-13.524248743,5.62024e+08,0.0569557,0.0505121,100,448.937970453,1,500,0.002,-13.524248743,12.0059604118
1.0,0.6,0.01,0.01,1617.41291162,1.0,49.36,-3.67522,1.0,1617.41291162,3.50449e-18,5.53477,5.53476876214,5.53476876214,,40.0155,1.0,100,500.0,2,500,0.01,5.53476876214,100.0
1.0,0.6,0.005,0.005,442.903854817,1.0,43.06,1.45574,1.0,442.903854817,2.1793e-19,7.96818,10.4015995126,10.4015995126,,32.0278,1.0,100,500.0,2,500,0.005,10.4015995126,200.000000102
1.0,0.6,0.00333333,0.00333333,585.229832679,1.0,78.76,-1.25273,1.0,585.229832679,5.43914e-20,4.06465,-3.74241261757,-3.74241261757,,30.124,1.0,100,500.0,2,500,0.00333333,-3.74241261757,299.999969474
1.0,0.6,0.0025,0.0025,1179.71037704,1.0,58.06,-3.13208,1.0,1179.71037704,5.4346e-20,1.47291,-6.30232636487,-6.30232636487,,31.5075,1.0,100,500.0,2,500,0.0025,-6.30232636487,400.0
1.08983,0.6,0.0999882,7.0119e-08,1351.95046143,6169.06,47.42,108.487,308417.0,1351.95046143,0.000196346,112.786,3.28065472721,3.28065472721,1.86809e+09,0.0887603,0.216284,100,458.78602902,1,500,0.002,3.28065472721,10.0023509214
1.0,0.6,0.01,0.01,1051.78236326,1.0,87.82,-9.69577,1.0,1051.78236326,3.50449e-18,-3.86906,-3.86906260438,-3.86906260438,,32.2686,1.0,100,500.0,2,500,0.01,-3.86906260438,100.0
1.0,0.6,0.005,0.005,3545.33254374,1.0,51.06,-2.08538,1.0,3545.33254374,2.1793e-19,7.23534,18.3397356435,18.3397356435,,48.9784,1.0,100,500.0,2,500,0.005,18.3397356435,200.000000102
1.0,0.6,0.00333333,0.00333333,283.22973953,1.0,102.76,0.863926,1.0,283.22973953,5.43914e-20,8.47426,10.9520981218,10.9520981218,,41.18,1.0,100,500.0,2,500,0.00333333,10.9520981218,299.999969474
1.0,0.6,0.0025,0.0025,573.593095638,1.0,39.18,-0.420319,1.0,573.593095638,5.4346e-20,6.17042,-0.741082229544,-0.741082229544,,37.8118,1.0,100,500.0,2,500,0.0025,-0.741082229544,400.0
1.0749,0.6,0.0833029,3.01599e-07,768.962310266,2057.94,54.84,155.271,85716.4,768.962310266,0.000162871,161.383,-4.32872274502,-4.32872274502,1.72445e+08,0.372283,0.310337,100,465.159536272,1,500,0.002,-4.32872274502,12.0087754922
1.0,0.6,0.01,0.01,318.467386211,1.0,40.78,-3.69823,1.0,318.467386211,3.50449e-18,-1.2894,-1.28939930647,-1.28939930647,,17.7562,1.0,100,500.0,2,500,0.01,-1.28939930647,100.0
1.0,0.6,0.005,0.005,2804.27540401,1.0,48.72,0.53032,1.0,2804.27540401,2.1793e-19,10.4225,22.1343508362,22.1343508362,,41.0235,1.0,100,500.0,2,500,0.005,22.1343508362,200.000000102
1.0,0.6,0.00333333,0.00333333,1001.24792548,1.0,60.64,4.82864,1.0,1001.24792548,5.43914e-20,12.9056,17.8717025179,17.8717025179,,38.2713,1.0,100,500.0,2,500,0.00333333,17.8717025179,299.999969474
1.0,0.6,0.0025,0.0025,696.638257378,1.0,49.04,0.866218,1.0,696.638257378,5.4346e-20,7.86103,-7.27254373491,-7.27254373491,,36.7053,1.0,100,500.0,2,500,0.0025,-7.27254373491,400.0
1.10685,0.6,0.0999832,9.84838e-08,2512.4577255,4432.93,64.04,164.731,221609.0,2512.4577255,0.000196326,171.313,23.2102902549,23.2102902549,9.64491e+08,0.169692,0.218286,100,451.731020029,1,500,0.002,23.2102902549,10.0033565151
1.0,0.6,0.01,0.01,531.69429405,1.0,54.72,-27.086,1.0,531.69429405,3.50449e-18,-21.1875,-21.1875459309,-21.1875459309,,22.9429,1.0,100,500.0,2,500,0.01,-21.1875459309,100.0
1.0,0.6,0.005,0.005,499.606868937,1.0,47.88,-12.3493,1.0,499.606868937,2.1793e-19,-8.17845,4.8306353662,4.8306353662,,26.0716,1.0,100,500.0,2,500,0.005,4.8306353662,200.000000102
1.0,0.6,0.00333333,0.00333333,357.458950883,1.0,34.86,-6.4261,1.0,357.458950883,5.43914e-20,-3.02063,7.29502148737,7.29502148737,,24.9864,1.0,100,500.0,2,500,0.00333333,7.29502148737,299.999969474
1.0,0.6,0.0025,0.0025,1567.31874371,1.0,37.12,-4.01278,1.0,1567.31874371,5.4346e-20,0.44375,10.8368872048,10.8368872048,,29.869,1.0,100,500.0,2,500,0.0025,10.8368872048,400.0
1.10069,0.6,0.0999904,3.19843e-08,805.938847131,8184.22,46.58,104.971,409172.0,805.938847131,0.000196355,109.153,3.04317126605,3.04317126605,3.28803e+09,0.0689819,0.130883,100,454.259128793,1,500,0.002,3.04317126605,10.0019090298
1.0,0.6,0.01,0.01,425.538828342,1.0,45.22,-4.59199,1.0,425.538828342,3.50449e-18,-1.59338,-1.59337516404,-1.59337516404,,20.5252,1.0,100,500.0,2,500,0.01,-1.59337516404,100.0
1.0,0.6,0.005,0.005,2751.93118415,1.0,47.28,-8.50319,1.0,2751.93118415,2.1793e-19,-0.811065,-0.0287541322795,-0.0287541322795,,39.6669,1.0,100,500.0,2,500,0.005,-0.0287541322795,200.000000102
1.0,0.6,0.00333333,0.00333333,3817.23647664,1.0,60.64,2.72212,1.0,3817.23647664,5.43914e-20,11.2719,35.4377937165,35.4377937165,,50.9966,1.0,100,500.0,2,500,0.00333333,35.4377937165,299.999969474
1.0,0.6,0.0025,0.0025,1332.42272088,1.0,54.44,4.6015,1.0,1332.42272088,5.4346e-20,12.0058,14.2076104909,14.2076104909,,47.7691,1.0,100,500.0,2,500,0.0025,14.2076104909,400.0
1.07375,0.6,0.0833189,1.3505e-07,1275.83253539,4417.63,51.24,174.478,184036.0,1275.83253539,0.000162935,181.34,16.3252689748,16.3252689748,7.94936e+08,0.18235,0.2983,100,465.656182353,1,500,0.002,16.3252689748,12.0041582793
1.0,0.6,0.01,0.01,314.979459546,1.0,30.06,1.63939,1.0,314.979459546,3.50449e-18,4.35455,4.35454653906,4.35454653906,,17.6587,1.0,100,500.0,2,500,0.01,4.35454653906,100.0
1.0,0.6,0.005,0.005,337.039728724,1.0,45.76,-1.74743,1.0,337.039728724,2.1793e-19,0.561231,-3.23208444343,-3.23208444343,,18.3613,1.0,100,500.0,2,500,0.005,-3.23208444343,200.000000102
1.0,0.6,0.00333333,0.00333333,147.581269049,1.0,28.98,-6.40196,1.0,147.581269049,5.43914e-20,-4.51694,-14.6732941179,-14.6732941179,,18.0288,1.0,100,500.0,2,500,0.00333333,-14.6732941179,299.999969474
1.0,0.6,0.0025,0.0025,858.69375149,1.0,44.82,-6.31973,1.0,858.69375149,5.4346e-20,-3.82262,-1.73964304261,-1.73964304261,,21.3951,1.0,100,500.0,2,500,0.0025,-1.73964304261,400.0
1.08131,0.6,0.0833192,1.334e-07,2101.1957121,4560.23,67.54,66.1574,189978.0,2101.1957121,0.000162936,69.9312,-9.04371101398,-9.04371101398,8.47094e+08,0.0803751,0.304168,100,462.400032809,1,500,0.002,-9.04371101398,12.0040669403
1.0,0.6,0.01,0.01,1241.73542877,1.0,42.22,-4.16913,1.0,1241.73542877,3.50449e-18,3.49848,3.49848419225,3.49848419225,,35.0616,1.0,100,500.0,2,500,0.01,3.49848419225,100.0
1.0,0.6,0.005,0.005,874.852717587,1.0,49.46,-7.36474,1.0,874.852717587,2.1793e-19,-1.94292,-7.38432474423,-7.38432474423,,32.8226,1.0,100,500.0,2,500,0.005,-7.38432474423,200.000000102
1.0,0.6,0.00333333,0.00333333,851.641574032,1.0,79.4,-5.07371,1.0,851.641574032,5.43914e-20,-0.646817,1.94539036693,1.94539036693,,31.6641,1.0,100,500.0,2,500,0.00333333,1.94539036693,299.999969474
1.0,0.6,0.0025,0.0025,388.775689865,1.0,34.2,-4.59489,1.0,388.775689865,5.4346e-20,-0.761084,-1.10388725951,-1.10388725951,,29.1243,1.0,100,500.0,2,500,0.0025,-1.10388725951,400.0
1.08237,0.6,0.0833168,1.28799e-07,3377.8759405,3885.14,102.24,148.721,161849.0,3377.8759405,0.000162926,154.595,27.8545724153,27.8545724153,6.14815e+08,0.185398,0.250201,100,461.951156116,1,500,0.002,27.8545724153,12.0047667265
1.0,0.6,0.01,0.01,592.294320295,1.0,49.36,0.3636,1.0,592.294320295,3.50449e-18,3.81322,3.81321815967,3.81321815967,,24.2151,1.0,100,500.0,2,500,0.01,3.81321815967,100.0
1.0,0.6,0.005,0.005,591.08385971,1.0,50.82,1.70767,1.0,591.08385971,2.1793e-19,4.493,5.17277273633,5.17277273633,,24.2123,1.0,100,500.0,2,500,0.005,5.17277273633,200.000000102
1.0,0.6,0.00333333,0.00333333,321.630694908,1.0,46.34,-0.324937,1.0,321.630694908,5.43914e-20,1.94928,-3.13816388247,-3.13816388247,,22.581,1.0,100,500.0,2,500,0.00333333,-3.13816388247,299.999969474
1.0,0.6,0.0025,0.0025,480.285572417,1.0,39.48,2.20278,1.0,480.285572417,5.4346e-20,4.3207,11.4349803057,11.4349803057,,22.7633,1.0,100,500.0,2,500,0.0025,11.4349803057,400.0
1.08297,0.6,0.0833188,9.82301e-08,647.732414924,4633.91,38.64,58.4688,193046.0,647.732414924,0.000162934,60.7787,8.94168193914,8.94168193914,8.74677e+08,0.0552293,0.227595,100,461.691568575,1,500,0.002,8.94168193914,12.0041910227
1.0,0.6,0.01,0.01,130.33480855,1.0,24.84,-2.07282,1.0,130.33480855,3.50449e-18,0.0786706,0.0786705129872,0.0786705129872,,11.3592,1.0,100,500.0,2,500,0.01,0.0786705129872,100.0
1.0,0.6,0.005,0.005,1021.23696242,1.0,43.52,-15.3138,1.0,1021.23696242,2.1793e-19,-10.5187,-21.1161317146,-21.1161317146,,26.1215,1.0,100,500.0,2,500,0.005,-21.1161317146,200.000000102
1.0,0.6,0.00333333,0.00333333,651.734427236,1.0,46.16,-14.0626,1.0,651.734427236,5.43914e-20,-10.1474,-9.40478287133,-9.40478287133,,25.8889,1.0,100,500.0,2,500,0.00333333,-9.40478287133,299.999969474
1.0,0.6,0.0025,0.0025,299.555030752,1.0,29.84,-10.5524,1.0,299.555030752,5.4346e-20,-7.16175,1.79523832847,1.79523832847,,24.5675,1.0,100,500.0,2,500,0.0025,1.79523832847,400.0
1.07569,0.6,0.0832991,1.25307e-07,191.682495007,1924.35,34.06,24.7266,80148.4,191.682495007,0.000162855,27.8719,3.5334977877,3.5334977877,1.50769e+08,0.0669796,0.120567,100,464.818844611,1,500,0.002,3.5334977877,12.0098771502
1.0,0.6,0.01,0.01,280.289633048,1.0,33.1,-5.76536,1.0,280.289633048,3.50449e-18,-3.10352,-3.1035197671,-3.1035197671,,16.6579,1.0,100,500.0,2,500,0.01,-3.1035197671,100.0
1.0,0.6,0.005,0.005,792.613367622,1.0,48.86,1.4,1.0,792.613367622,2.1793e-19,6.32607,15.7556562669,15.7556562669,,24.8999,1.0,100,500.0,2,500,0.005,15.7556562669,200.000000102
1.0,0.6,0.00333333,0.00333333,262.398582689,1.0,37.72,0.0291858,1.0,262.398582689,5.43914e-20,4.0513,-0.498223373371,-0.498223373371,,22.5893,1.0,100,500.0,2,500,0.00333333,-0.498223373371,299.999969474
1.0,0.6,0.0025,0.0025,2336.94516654,1.0,62.44,3.50122,1.0,2336.94516654,5.4346e-20,9.28089,24.9696342285,24.9696342285,,32.2978,1.0,100,500.0,2,500,0.0025,24.9696342285,400.0
1.08546,0.6,0.083304,3.29833e-07,511.343697726,2151.45,86.0,136.14,89612.3,511.343697726,0.000162875,141.525,-13.0613712746,-13.0613712746,1.88477e+08,0.306767,0.35481,100,460.633211642,1,500,0.002,-13.0613712746,12.0084482573
1.0,0.6,0.01,0.01,2606.1385057,1.0,49.36,-17.6894,1.0,2606.1385057,3.50449e-18,-9.36705,-9.36704996036,-9.36704996036,,50.7945,1.0,100,500.0,2,500,0.01,-9.36704996036,100.0
1.0,0.6,0.005,0.005,590.069267937,1.0,42.08,-9.43789,1.0,590.069267937,2.1793e-19,-3.55309,2.26087443132,2.26087443132,,40.1986,1.0,100,500.0,2,500,0.005,2.26087443132,200.000000102
