MaxNormIw,VarJ,AvgVanillaIw,MaxVanillaIw,VanillaAvgRet,VarRet,AvgEpLen,J,ESSRenyi,VarDiscRet,EpsThisIter,AvgDiscRet,Bound,AvgNormIw,VarNormIw,Delta,ESSClassic,MinNormIw,AvgRet,MinVanillaIw,IterType,VarVanillaIw,BatchSize,eRenyi2
0.0025,1560.8346,1.0,1.0,1824.8606340782214,2369153.2161635286,183.43,1864.6123,500.0,2369153.2161635286,100,1824.8606340782214,1720.2748,0.0024999997,5.434597e-20,0.75,400.0,0.0025,1824.8606340782214,1.0,2,,500,1.0
0.21604672,1906.7614,0.77971244,84.22716,1859.712982094046,2156908.5806403356,186.91,4776.496,16.707322187385557,2156908.5806403356,100,1859.712982094046,4070.2502,0.002,0.0001588947,0.75,12.301869504163106,,1859.712982094046,,1,24.150068,500,29.926998
0.01,1006.8049,1.0,1.0,4399.79514563448,1023895.0675112508,440.38,4399.795,500.0,1023895.0675112508,100,4399.79514563448,4111.1196,0.009999998,3.5044917e-18,0.75,100.0,0.01,4399.79514563448,1.0,2,,500,1.0
0.005,990.9854,1.0,1.0,4375.283771643526,959745.2981230805,438.01,4387.5396,500.0,959745.2981230805,100,4375.283771643526,4183.4155,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,4375.283771643526,1.0,2,,500,1.0
0.0033333334,1046.2802,1.0,1.0,4292.631487251286,1327269.9595584287,429.64,4355.904,500.0,1327269.9595584287,100,4292.631487251286,4189.2373,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,4292.631487251286,1.0,2,,500,1.0
0.0025,1061.3392,1.0,1.0,4297.748572875778,1231435.0919997836,430.21,4341.3647,500.0,1231435.0919997836,100,4297.748572875778,4197.0273,0.0024999997,5.434597e-20,0.75,400.0,0.0025,4297.748572875778,1.0,2,,500,1.0
0.014099479,219.34384,1.0049078,7.084338,4419.671355963572,930376.4089485726,442.37,4952.978,152.00033746412814,930376.4089485726,100,4419.671355963572,4718.832,0.002,9.695057e-06,0.75,146.24514452819585,2.2562067e-28,4419.671355963572,1.13364e-25,1,2.4476135,500,3.2894664
0.01,544.1058,1.0,1.0,4870.146288225971,299041.4733832331,487.17,4870.146,500.0,299041.4733832331,100,4870.146288225971,4581.4707,0.009999998,3.5044917e-18,0.75,100.0,0.01,4870.146288225971,1.0,2,,500,1.0
0.005,429.29086,1.0,1.0,4945.437381355489,70399.87823184783,494.65,4907.7915,500.0,70399.87823184783,100,4945.437381355489,4703.6675,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,4945.437381355489,1.0,2,,500,1.0
0.0033333334,420.01608,1.0,1.0,4941.441341280019,161519.54204662616,494.25,4919.009,500.0,161519.54204662616,100,4941.441341280019,4752.3423,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,4941.441341280019,1.0,2,,500,1.0
0.0025,399.24777,1.0,1.0,4919.458078345228,109448.88045834647,492.09,4919.12,500.0,109448.88045834647,100,4919.458078345228,4774.7827,0.0024999997,5.434597e-20,0.75,400.0,0.0025,4919.458078345228,1.0,2,,500,1.0
0.004002285,161.31705,1.0040196,2.0091863,4957.563458683073,112679.64931447251,495.84,4977.862,402.70779762068213,112679.64931447251,100,4957.563458683073,4834.0103,0.002,9.985012e-07,0.75,400.2798208901945,4.1642692e-05,4957.563458683073,0.02090504,1,0.2516361,500,1.241595
0.01,127.28618,1.0,1.0,4979.1470271512135,16365.426617773843,498.0,4979.1465,500.0,16365.426617773843,100,4979.1470271512135,4690.471,0.009999998,3.5044917e-18,0.75,100.0,0.01,4979.1470271512135,1.0,2,,500,1.0
0.005,90.574326,1.0,1.0,4999.40750887935,0.4073854895490102,500.0,4989.2773,500.0,0.4073854895490102,100,4999.40750887935,4785.1533,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,4999.40750887935,1.0,2,,500,1.0
0.0033333334,77.6349,1.0,1.0,4993.475435061939,1679.153707873333,499.45,4990.677,500.0,1679.153707873333,100,4993.475435061939,4824.0103,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,4993.475435061939,1.0,2,,500,1.0
0.0025,282.542,1.0,1.0,4918.282448338509,300310.8351713794,491.91,4972.5776,500.0,300310.8351713794,100,4918.282448338509,4828.24,0.0024999997,5.434597e-20,0.75,400.0,0.0025,4918.282448338509,1.0,2,,500,1.0
0.0028324872,76.22704,1.0107716,1.4314989,4999.624858103837,0.17345177922212995,500.0,4991.562,465.6357109821892,0.17345177922212995,100,4999.624858103837,4857.7837,0.002,2.783583e-07,0.75,467.5299004906004,0.00020238881,4999.624858103837,0.10228443,1,0.07109683,500,1.0738008
0.01,248.87686,1.0,1.0,4974.448977540873,62565.346330389744,497.51,4974.4487,500.0,62565.346330389744,100,4974.448977540873,4685.7734,0.009999998,3.5044917e-18,0.75,100.0,0.01,4974.448977540873,1.0,2,,500,1.0
0.005,177.58437,1.0,1.0,4996.395984728203,900.8997427109883,499.71,4985.423,500.0,900.8997427109883,100,4996.395984728203,4781.299,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,4996.395984728203,1.0,2,,500,1.0
0.0033333334,150.99025,1.0,1.0,4992.1693017252555,5344.874143349027,499.28,4987.6714,500.0,5344.874143349027,100,4992.1693017252555,4821.005,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,4992.1693017252555,1.0,2,,500,1.0
0.0025,212.15886,1.0,1.0,4949.985181377544,111703.17997515357,495.11,4978.25,500.0,111703.17997515357,100,4949.985181377544,4833.9126,0.0024999997,5.434597e-20,0.75,400.0,0.0025,4949.985181377544,1.0,2,,500,1.0
0.002832064,70.33888,1.012473,1.4336941,4942.970519532313,211646.90981567177,494.38,4990.933,464.69710237928945,211646.90981567177,100,4942.970519532313,4857.0195,0.0019999999,2.915553e-07,0.75,466.09488376979465,0.00013887418,4942.970519532313,0.07030318,1,0.07471845,500,1.0759697
0.01,116.74334,1.0,1.0,4980.705815556966,13766.676463535789,498.17,4980.706,500.0,13766.676463535789,100,4980.705815556966,4692.031,0.009999998,3.5044917e-18,0.75,100.0,0.01,4980.705815556966,1.0,2,,500,1.0
0.005,232.74582,1.0,1.0,4955.684526248292,95352.70693706784,495.65,4968.1953,500.0,95352.70693706784,100,4955.684526248292,4764.0713,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,4955.684526248292,1.0,2,,500,1.0
0.0033333334,190.6084,1.0,1.0,4999.492501146656,0.4353580488264727,500.0,4978.628,500.0,0.4353580488264727,100,4999.492501146656,4811.9614,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,4999.492501146656,1.0,2,,500,1.0
0.0025,169.88525,1.0,1.0,4988.658264106068,6438.234528753779,498.94,4981.1357,500.0,6438.234528753779,100,4988.658264106068,4836.7983,0.0024999997,5.434597e-20,0.75,400.0,0.0025,4988.658264106068,1.0,2,,500,1.0
0.0027190256,78.61126,0.9910594,1.347358,4999.475904597819,0.251330048374694,500.0,4991.0874,479.79147856463294,0.251330048374694,100,4999.475904597819,4859.2974,0.002,1.7637002e-07,0.75,478.9252890110368,0.0005715314,4999.475904597819,0.2832108,1,0.04330761,500,1.0421194
0.01,319.4927,1.0,1.0,4967.366341888216,103106.66131986606,496.8,4967.366,500.0,103106.66131986606,100,4967.366341888216,4678.691,0.009999998,3.5044917e-18,0.75,100.0,0.01,4967.366341888216,1.0,2,,500,1.0
0.005,232.3082,1.0,1.0,4987.271415976306,5717.714625765376,498.81,4977.3184,500.0,5717.714625765376,100,4987.271415976306,4773.1943,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,4987.271415976306,1.0,2,,500,1.0
0.0033333334,205.14786,1.0,1.0,4980.372550468515,18501.469723518872,498.1,4978.337,500.0,18501.469723518872,100,4980.372550468515,4811.6704,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,4980.372550468515,1.0,2,,500,1.0
0.0025,177.89873,1.0,1.0,4999.460524091804,0.2923380567273099,500.0,4983.617,500.0,0.2923380567273099,100,4999.460524091804,4839.28,0.0024999997,5.434597e-20,0.75,400.0,0.0025,4999.460524091804,1.0,2,,500,1.0
0.0026451522,56.181026,0.9955243,1.3166566,4995.163709268191,1939.3302490681708,499.57,4993.825,480.27928838623654,1939.3302490681708,100,4995.163709268191,4862.102,0.0019999999,1.765579e-07,0.75,478.90372897291513,0.00036006214,4995.163709268191,0.17922531,1,0.04374525,500,1.0410609
0.01,0.484123,1.0,1.0,4999.458709855646,0.23673371768669893,500.0,4999.459,500.0,0.23673371768669893,100,4999.458709855646,4710.7837,0.009999998,3.5044917e-18,0.75,100.0,0.01,4999.458709855646,1.0,2,,500,1.0
0.005,0.48808518,1.0,1.0,4999.551705851041,0.24017991448429535,500.0,4999.505,500.0,0.24017991448429535,100,4999.551705851041,4795.381,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,4999.551705851041,1.0,2,,500,1.0
0.0033333334,293.9114,1.0,1.0,4939.300342820255,259328.11763029304,494.0,4979.437,500.0,259328.11763029304,100,4939.300342820255,4812.7705,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,4939.300342820255,1.0,2,,500,1.0
0.0025,254.6832,1.0,1.0,4999.510743589349,0.22727226273491938,500.0,4984.4556,500.0,0.22727226273491938,100,4999.510743589349,4840.118,0.0024999997,5.434597e-20,0.75,400.0,0.0025,4999.510743589349,1.0,2,,500,1.0
0.0032080193,158.63344,0.99934435,1.602958,4998.322927148823,144.64985882299615,499.89,4991.4,485.0638008112029,144.64985882299615,100,4998.322927148823,4860.328,0.002,1.2702664e-07,0.75,484.6402327742524,0.0005819252,4998.322927148823,0.29077184,1,0.03171503,500,1.0307922
0.01,0.5066351,1.0,1.0,4999.4928526340145,0.2592798605810955,500.0,4999.4927,500.0,0.2592798605810955,100,4999.4928526340145,4710.8174,0.009999998,3.5044917e-18,0.75,100.0,0.01,4999.4928526340145,1.0,2,,500,1.0
0.005,13.411075,1.0,1.0,4997.610257973759,361.29895132156923,499.82,4998.5513,500.0,361.29895132156923,100,4997.610257973759,4794.4272,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,4997.610257973759,1.0,2,,500,1.0
0.0033333334,12.977402,1.0,1.0,4998.250258209689,146.9339938369419,499.89,4998.451,500.0,146.9339938369419,100,4998.250258209689,4831.7847,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,4998.250258209689,1.0,2,,500,1.0
0.0025,22.447954,1.0,1.0,4995.600973391405,1519.5059227281931,499.62,4997.7383,500.0,1519.5059227281931,100,4995.600973391405,4853.401,0.0024999997,5.434597e-20,0.75,400.0,0.0025,4995.600973391405,1.0,2,,500,1.0
0.00218159,14.591904,0.998985,1.0896878,4995.916564798723,1297.3093602791728,499.65,4998.2764,497.23635342809774,1297.3093602791728,100,4995.916564798723,4868.819,0.002,2.5456922e-08,0.75,496.8442647180315,0.0008521158,4995.916564798723,0.42562544,1,0.0063513177,500,1.005558
0.01,0.473994,1.0,1.0,4999.520742377063,0.2269349429980434,500.0,4999.521,500.0,0.2269349429980434,100,4999.520742377063,4710.8457,0.009999998,3.5044917e-18,0.75,100.0,0.01,4999.520742377063,1.0,2,,500,1.0
0.005,0.4633254,1.0,1.0,4999.608269377784,0.2028479699438645,500.0,4999.5645,500.0,0.2028479699438645,100,4999.608269377784,4795.4404,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,4999.608269377784,1.0,2,,500,1.0
0.0033333334,207.54277,1.0,1.0,4963.498429653639,129650.91669559099,496.41,4987.5425,500.0,129650.91669559099,100,4963.498429653639,4820.876,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,4963.498429653639,1.0,2,,500,1.0
0.0025,179.81245,1.0,1.0,4999.530790110201,0.2917638551261339,500.0,4990.539,500.0,0.2917638551261339,100,4999.530790110201,4846.2017,0.0024999997,5.434597e-20,0.75,400.0,0.0025,4999.530790110201,1.0,2,,500,1.0
0.0024460608,62.047215,1.0085039,1.2334309,4999.418250732031,0.29112639414347313,500.0,4996.7573,488.3297190549584,0.29112639414347313,100,4999.418250732031,4866.1245,0.0019999999,8.886413e-08,0.75,489.15469033178107,0.0006414218,4999.418250732031,0.3234382,1,0.022595486,500,1.0238984
0.01,500.55228,1.0,1.0,4943.31166441397,253083.45567212635,494.41,4943.3115,500.0,253083.45567212635,100,4943.31166441397,4654.636,0.009999998,3.5044917e-18,0.75,100.0,0.01,4943.31166441397,1.0,2,,500,1.0
0.005,355.05774,1.0,1.0,4999.512755300344,0.1863095252869429,500.0,4971.412,500.0,0.1863095252869429,100,4999.512755300344,4767.288,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,4999.512755300344,1.0,2,,500,1.0
0.0033333334,290.2044,1.0,1.0,4999.428723097063,0.421550934322159,500.0,4980.7515,500.0,0.421550934322159,100,4999.428723097063,4814.085,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,4999.428723097063,1.0,2,,500,1.0
0.0025,251.45547,1.0,1.0,4999.487416500839,0.3217466588726535,500.0,4985.4346,500.0,0.3217466588726535,100,4999.487416500839,4841.097,0.0024999997,5.434597e-20,0.75,400.0,0.0025,4999.487416500839,1.0,2,,500,1.0
0.0028824762,166.46635,0.9952356,1.4343715,4999.4705695564635,0.25609161529755875,500.0,4991.3633,488.93648634486783,0.25609161529755875,100,4999.4705695564635,4860.8115,0.002,1.03016404e-07,0.75,487.470748933743,0.0008678491,4999.4705695564635,0.43185717,1,0.02550928,500,1.0226277
0.01,61.690144,1.0,1.0,4993.273871646372,3844.1138233381535,499.39,4993.274,500.0,3844.1138233381535,100,4993.273871646372,4704.599,0.009999998,3.5044917e-18,0.75,100.0,0.01,4993.273871646372,1.0,2,,500,1.0
0.005,43.736458,1.0,1.0,4999.580448985358,0.19794173346298363,500.0,4996.4272,500.0,0.19794173346298363,100,4999.580448985358,4792.303,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,4999.580448985358,1.0,2,,500,1.0
0.0033333334,35.74098,1.0,1.0,4999.497423864283,0.21507389726192605,500.0,4997.45,500.0,0.21507389726192605,100,4999.497423864283,4830.7837,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,4999.497423864283,1.0,2,,500,1.0
0.0025,30.966194,1.0,1.0,4999.455116915436,0.3579199992170221,500.0,4997.9517,500.0,0.3579199992170221,100,4999.455116915436,4853.6143,0.0024999997,5.434597e-20,0.75,400.0,0.0025,4999.455116915436,1.0,2,,500,1.0
0.0021306572,18.60151,0.99981654,1.0651331,4999.585834879385,0.21090028327236915,500.0,4998.685,498.67422193317964,0.21090028327236915,100,4999.585834879385,4869.414,0.0019999999,1.2815181e-08,0.75,498.4064822493586,0.0013119088,4999.585834879385,0.6558341,1,0.00320262,500,1.0026586
0.01,0.4022825,1.0,1.0,4999.564660886997,0.1634637286950809,500.0,4999.565,500.0,0.1634637286950809,100,4999.564660886997,4710.8896,0.009999998,3.5044917e-18,0.75,100.0,0.01,4999.564660886997,1.0,2,,500,1.0
0.005,0.41458878,1.0,1.0,4999.632856053905,0.1814308127698901,500.0,4999.5986,500.0,0.1814308127698901,100,4999.632856053905,4795.4746,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,4999.632856053905,1.0,2,,500,1.0
0.0033333334,0.45493,1.0,1.0,4999.5002521674705,0.2733829226439886,500.0,4999.5664,500.0,0.2733829226439886,100,4999.5002521674705,4832.9,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,4999.5002521674705,1.0,2,,500,1.0
0.0025,0.45108628,1.0,1.0,4999.546701121987,0.19470735270173722,500.0,4999.5615,500.0,0.19470735270173722,100,4999.546701121987,4855.224,0.0024999997,5.434597e-20,0.75,400.0,0.0025,4999.546701121987,1.0,2,,500,1.0
0.0020127178,0.470473,1.00004,1.0063992,4999.507521368936,0.3006349689186252,500.0,4999.5522,499.9930859568154,0.3006349689186252,100,4999.507521368936,4870.452,0.002,6.1832886e-11,0.75,499.99227853825903,0.00196355,4999.507521368936,0.98181427,1,1.5459458e-05,500,1.0000138
0.01,15.9778,1.0,1.0,4997.916786770206,257.86932179384024,499.85,4997.917,500.0,257.86932179384024,100,4997.916786770206,4709.242,0.009999998,3.5044917e-18,0.75,100.0,0.01,4997.916786770206,1.0,2,,500,1.0
0.005,11.332207,1.0,1.0,4999.491728773309,0.31063492543515736,500.0,4998.7036,500.0,0.31063492543515736,100,4999.491728773309,4794.5796,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,4999.491728773309,1.0,2,,500,1.0
0.0033333334,9.265233,1.0,1.0,4999.616585243665,0.14230954247567637,500.0,4999.0083,500.0,0.14230954247567637,100,4999.616585243665,4832.342,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,4999.616585243665,1.0,2,,500,1.0
0.0025,14.027442,1.0,1.0,4997.157001250641,532.2959859017595,499.78,4998.5454,500.0,532.2959859017595,100,4997.157001250641,4854.208,0.0024999997,5.434597e-20,0.75,400.0,0.0025,4997.157001250641,1.0,2,,500,1.0
0.0020761061,11.314928,0.99957037,1.0376071,4999.508966418746,0.21252603341858692,500.0,4998.8115,499.72132487800366,0.21252603341858692,100,4999.508966418746,4869.6763,0.002,2.316678e-09,0.75,499.71112496865805,0.0017493389,4999.508966418746,0.8742937,1,0.00057867187,500,1.0005577
0.01,0.5519814,1.0,1.0,4999.495858358295,0.3077574831895186,500.0,4999.4956,500.0,0.3077574831895186,100,4999.495858358295,4710.8203,0.009999998,3.5044917e-18,0.75,100.0,0.01,4999.495858358295,1.0,2,,500,1.0
0.005,0.5175785,1.0,1.0,4999.497215590043,0.23339176199747075,500.0,4999.496,500.0,0.23339176199747075,100,4999.497215590043,4795.372,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,4999.497215590043,1.0,2,,500,1.0
0.0033333334,0.48138034,1.0,1.0,4999.561989513346,0.15813546565804285,500.0,4999.5186,500.0,0.15813546565804285,100,4999.561989513346,4832.852,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,4999.561989513346,1.0,2,,500,1.0
0.0025,0.4901218,1.0,1.0,4999.470349220488,0.2666477018778249,500.0,4999.507,500.0,0.2666477018778249,100,4999.470349220488,4855.1694,0.0024999997,5.434597e-20,0.75,400.0,0.0025,4999.470349220488,1.0,2,,500,1.0
0.002,0.47752124,1.0,1.0,4999.575164191757,0.1772118210713174,500.0,4999.5205,500.0,0.1772118210713174,100,4999.575164191757,4870.421,0.0020000003,5.431875e-20,0.75,500.00000664260017,0.002,4999.575164191757,1.0,1,,500,1.0
0.01,0.49097157,1.0,1.0,4999.488549175497,0.24347213220690944,500.0,4999.4883,500.0,0.24347213220690944,100,4999.488549175497,4710.813,0.009999998,3.5044917e-18,0.75,100.0,0.01,4999.488549175497,1.0,2,,500,1.0
0.005,0.47690707,1.0,1.0,4999.548046366397,0.21419290339817199,500.0,4999.5186,500.0,0.21419290339817199,100,4999.548046366397,4795.3945,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,4999.548046366397,1.0,2,,500,1.0
0.0033333334,0.45998308,1.0,1.0,4999.522325752923,0.18167708595033039,500.0,4999.5195,500.0,0.18167708595033039,100,4999.522325752923,4832.853,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,4999.522325752923,1.0,2,,500,1.0
0.0025,0.45592454,1.0,1.0,4999.512099700397,0.1986600428305395,500.0,4999.5176,500.0,0.1986600428305395,100,4999.512099700397,4855.18,0.0024999997,5.434597e-20,0.75,400.0,0.0025,4999.512099700397,1.0,2,,500,1.0
0.002003352,0.47316054,0.99999815,1.0016742,4999.539157575974,0.2911502037927393,500.0,4999.523,499.99988079073887,0.2911502037927393,100,4999.539157575974,4870.4233,0.002,1.1304912e-12,0.75,499.99988157219667,0.0019962606,4999.539157575974,0.9981285,1,2.8262204e-07,500,1.0000002
0.01,0.48504654,1.0,1.0,4999.518486117836,0.23765699696137954,500.0,4999.5186,500.0,0.23765699696137954,100,4999.518486117836,4710.8433,0.009999998,3.5044917e-18,0.75,100.0,0.01,4999.518486117836,1.0,2,,500,1.0
0.005,0.48911244,1.0,1.0,4999.529286191905,0.2455865067333563,500.0,4999.524,500.0,0.2455865067333563,100,4999.529286191905,4795.4,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,4999.529286191905,1.0,2,,500,1.0
0.0033333334,0.5087152,1.0,1.0,4999.4849909977065,0.29992176734773335,500.0,4999.511,500.0,0.29992176734773335,100,4999.4849909977065,4832.8447,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,4999.4849909977065,1.0,2,,500,1.0
0.0025,0.51155025,1.0,1.0,4999.555962556696,0.27156688860678985,500.0,4999.5225,500.0,0.27156688860678985,100,4999.555962556696,4855.185,0.0024999997,5.434597e-20,0.75,400.0,0.0025,4999.555962556696,1.0,2,,500,1.0
0.0020474636,8.203639,0.99963224,1.0233554,4997.581518452663,400.4943952840346,499.81,4999.167,499.8659255108357,400.4943952840346,100,4997.581518452663,4870.0503,0.0019999999,1.2526692e-09,0.75,499.84387634647095,0.0017917692,4997.581518452663,0.89555514,1,0.0003129371,500,1.0002682
0.01,287.65588,1.0,1.0,4970.5178447612925,83581.74127229162,497.12,4970.5176,500.0,83581.74127229162,100,4970.5178447612925,4681.8423,0.009999998,3.5044917e-18,0.75,100.0,0.01,4970.5178447612925,1.0,2,,500,1.0
0.005,273.6366,1.0,1.0,4973.483575434516,67680.48010538945,497.41,4972.0005,500.0,67680.48010538945,100,4973.483575434516,4767.8765,0.0049999994,2.179301e-19,0.75,200.00000010221265,0.005,4973.483575434516,1.0,2,,500,1.0
0.0033333334,223.79997,1.0,1.0,4999.523693365333,0.29205546682946887,500.0,4981.175,500.0,0.29205546682946887,100,4999.523693365333,4814.5083,0.0033333336,5.4391416e-20,0.75,299.999969473632,0.0033333334,4999.523693365333,1.0,2,,500,1.0
0.0025,193.97858,1.0,1.0,4999.474347648226,0.2890251115700607,500.0,4985.7495,500.0,0.2890251115700607,100,4999.474347648226,4841.412,0.0024999997,5.434597e-20,0.75,400.0,0.0025,4999.474347648226,1.0,2,,500,1.0
0.0027281132,48.481762,1.0065545,1.3729973,4999.370093978198,0.33696412941029763,500.0,4996.4595,483.147339697192,0.33696412941029763,100,4999.370093978198,4865.128,0.002,1.512268e-07,0.75,481.82048130393235,0.00049051543,4999.370093978198,0.24686524,1,0.038303927,500,1.034881
0.01,0.45415616,1.0,1.0,4999.45620422695,0.20835281011896903,500.0,4999.456,500.0,0.20835281011896903,100,4999.45620422695,4710.781,0.009999998,3.5044917e-18,0.75,100.0,0.01,4999.45620422695,1.0,2,,500,1.0
