AvgEpLen,VanillaAvgRet,AvgVanillaIw,J,EpsThisIter,AvgDiscRet,AvgRet,MaxNormIw,MinNormIw,BatchSize,ESSRenyi,VarJ,MinVanillaIw,VarVanillaIw,VarNormIw,VarRet,VarDiscRet,ESSClassic,Bound,Delta,MaxVanillaIw,IterType,eRenyi2,AvgNormIw
16.76,-108.785849817,1.0,-108.438,100,-108.785849817,-108.785849817,0.00333333,0.00333333,400,400.0,4.57318,1.0,,5.43914e-20,24.7689685174,24.7689685174,299.999969474,-108.438,1.0,1.0,2,1.0,0.00333333
17.87,-107.582031855,0.989711,-102.773,100,-107.582031855,-107.582031855,0.0900751,7.24692e-11,400,,75.2225,2.86894e-08,6.40224,4.08504e-05,36.7019947699,36.7019947699,53.1935125167,-102.773,1.0,35.6593,1,inf,0.0025
19.48,-106.524342837,1.0,-106.524,100,-106.524342837,-106.524342837,0.01,0.01,400,400.0,5.83111,1.0,,3.50449e-18,34.3452485841,34.3452485841,100.0,-106.524,1.0,1.0,2,1.0,0.01
17.16,-106.762211018,1.0,-106.643,100,-106.762211018,-106.762211018,0.005,0.005,400,400.0,4.48578,1.0,,2.1793e-19,6.27719985759,6.27719985759,200.000000102,-106.643,1.0,1.0,2,1.0,0.005
17.73,-106.483797972,1.0,-106.59,100,-106.483797972,-106.483797972,0.00333333,0.00333333,400,400.0,3.8816,1.0,,5.43914e-20,4.98894442481,4.98894442481,299.999969474,-106.59,1.0,1.0,2,1.0,0.00333333
17.87,-107.582031855,90350.7,-106.238,100,-107.100181747,-107.582031855,0.964465,7.75953e-10,500,nan,0.473487,0.0280432,3.03749e+12,0.00232558,36.7019947699,5.54610873413,1.07479973862,nan,1.0,3.48561e+07,,nan,0.0025
16.87,-107.656278833,0.95159,-102.52,100,-107.656278833,-107.656278833,0.0915296,1.92593e-12,500,,85.1548,9.16346e-10,9.60365,4.24225e-05,8.75675396646,8.75675396646,43.1614527545,-102.52,1.0,43.5493,1,inf,0.002
18.27,-106.985181728,1.0,-106.985,100,-106.985181728,-106.985181728,0.01,0.01,500,500.0,3.49788,1.0,,3.50449e-18,12.3587670835,12.3587670835,100.0,-106.985,1.0,1.0,2,1.0,0.01
18.93,-106.590990513,1.0,-106.788,100,-106.590990513,-106.590990513,0.005,0.005,500,500.0,3.36877,1.0,,2.1793e-19,10.4892360041,10.4892360041,200.000000102,-106.788,1.0,1.0,2,1.0,0.005
19.72,-106.654092353,1.0,-106.743,100,-106.654092353,-106.654092353,0.00333333,0.00333333,500,500.0,3.14016,1.0,,5.43914e-20,6.94205548074,6.94205548074,299.999969474,-106.743,1.0,1.0,2,1.0,0.00333333
18.79,-106.610579402,1.0,-106.71,100,-106.610579402,-106.610579402,0.0025,0.0025,500,500.0,3.11521,1.0,,5.4346e-20,9.31612649704,9.31612649704,400.0,-106.71,1.0,1.0,2,1.0,0.0025
20.6,-106.371236923,1.18441,-105.566,100,-106.371236923,-106.371236923,0.157134,8.41154e-18,500,,9.08396,4.98137e-15,22.5447,6.42832e-05,10.7734955161,10.7734955161,29.3450334146,-105.566,1.0,93.0559,1,inf,0.002
21.91,-106.135607174,1.0,-106.136,100,-106.135607174,-106.135607174,0.01,0.01,500,500.0,5.81695,1.0,,3.50449e-18,34.1786336465,34.1786336465,100.0,-106.136,1.0,1.0,2,1.0,0.01
23.23,-106.021074897,1.0,-106.078,100,-106.021074897,-106.021074897,0.005,0.005,500,500.0,4.83116,1.0,,2.1793e-19,12.966515401,12.966515401,200.000000102,-106.078,1.0,1.0,2,1.0,0.005
19.29,-106.387058001,1.0,-106.181,100,-106.387058001,-106.387058001,0.00333333,0.00333333,500,500.0,4.16612,1.0,,5.43914e-20,5.37963517105,5.37963517105,299.999969474,-106.181,1.0,1.0,2,1.0,0.00333333
22.63,-106.177098759,1.0,-106.18,100,-106.177098759,-106.177098759,0.0025,0.0025,500,500.0,4.07372,1.0,,5.4346e-20,14.4556371516,14.4556371516,400.0,-106.18,1.0,1.0,2,1.0,0.0025
21.95,-106.128382612,0.939934,-104.738,100,-106.128382612,-106.128382612,0.0403135,0.000531025,500,,13.4102,0.249564,1.44674,6.55024e-06,14.0684844738,14.0684844738,189.804991108,-104.738,1.0,18.946,1,inf,0.002
26.35,-105.105826702,1.0,-105.106,100,-105.105826702,-105.105826702,0.01,0.01,500,500.0,3.91901,1.0,,3.50449e-18,15.513767462,15.513767462,100.0,-105.106,1.0,1.0,2,1.0,0.01
27.93,-104.394230714,1.0,-104.75,100,-104.394230714,-104.394230714,0.005,0.005,500,500.0,6.02964,1.0,,2.1793e-19,57.6781275222,57.6781275222,200.000000102,-104.75,1.0,1.0,2,1.0,0.005
24.66,-105.42276692,1.0,-104.974,100,-105.42276692,-105.42276692,0.00333333,0.00333333,500,500.0,5.36399,1.0,,5.43914e-20,13.4365423107,13.4365423107,299.999969474,-104.974,1.0,1.0,2,1.0,0.00333333
34.55,-105.355082203,1.0,-105.069,100,-105.355082203,-105.355082203,0.0025,0.0025,500,500.0,5.39084,1.0,,5.4346e-20,30.1198357128,30.1198357128,400.0,-105.069,1.0,1.0,2,1.0,0.0025
25.96,-105.671850303,0.933548,-99.3259,100,-105.671850303,-105.671850303,0.198439,1.98877e-06,500,,81.5421,0.000928304,27.7578,0.000127401,18.8540286305,18.8540286305,15.2502233979,-99.3259,1.0,92.626,1,inf,0.002
114.13,-127.355487468,1.0,-127.355,100,-127.355487468,-127.355487468,0.01,0.01,500,500.0,91.4385,1.0,,3.50449e-18,8445.45860224,8445.45860224,100.0,-127.355,1.0,1.0,2,1.0,0.01
94.74,-118.952645812,1.0,-123.154,100,-118.952645812,-118.952645812,0.005,0.005,500,500.0,77.2424,1.0,,2.1793e-19,3572.18926001,3572.18926001,200.000000102,-123.154,1.0,1.0,2,1.0,0.005
106.12,-126.359554976,1.0,-124.223,100,-126.359554976,-126.359554976,0.00333333,0.00333333,500,500.0,80.5799,1.0,,5.43914e-20,7615.91846791,7615.91846791,299.999969474,-124.223,1.0,1.0,2,1.0,0.00333333
109.04,-118.609299979,1.0,-122.819,100,-118.609299979,-118.609299979,0.0025,0.0025,500,500.0,80.6705,1.0,,5.4346e-20,6593.82083994,6593.82083994,400.0,-122.819,1.0,1.0,2,1.0,0.0025
105.91,-111.377964211,0.000394359,30.3152,100,-111.377964211,-111.377964211,1.0,,500,0.00125667362419,,,7.77595e-05,0.002,4072.79441029,4072.79441029,1.0,30.3152,1.0,0.19718,1,397876.0,0.002
340.81,-74.0379458606,1.0,-74.0379,100,-74.0379458606,-74.0379458606,0.01,0.01,500,500.0,55.0696,1.0,,3.50449e-18,3063.29916813,3063.29916813,100.0,-74.0379,1.0,1.0,2,1.0,0.01
377.76,-74.330213903,1.0,-74.1841,100,-74.330213903,-74.330213903,0.005,0.005,500,500.0,54.2851,1.0,,2.1793e-19,2889.93044764,2889.93044764,200.000000102,-74.1841,1.0,1.0,2,1.0,0.005
332.89,-78.9311344994,1.0,-75.7664,100,-78.9311344994,-78.9311344994,0.00333333,0.00333333,500,500.0,53.5957,1.0,,5.43914e-20,2736.10060233,2736.10060233,299.999969474,-75.7664,1.0,1.0,2,1.0,0.00333333
344.18,-71.1184992997,1.0,-74.6044,100,-71.1184992997,-71.1184992997,0.0025,0.0025,500,500.0,55.2192,1.0,,5.4346e-20,3598.92298129,3598.92298129,400.0,-74.6044,1.0,1.0,2,1.0,0.0025
365.68,-71.7168190231,3.46177e-41,99.238,100,-71.7168190231,-71.7168190231,1.0,,500,,,,,0.002,3603.24076808,3603.24076808,inf,99.238,1.0,1.73089e-38,1,inf,0.002
61.47,-101.738005907,1.0,-101.738,100,-101.738005907,-101.738005907,0.01,0.01,500,500.0,7.5787,1.0,,3.50449e-18,58.0168603856,58.0168603856,100.0,-101.738,1.0,1.0,2,1.0,0.01
60.74,-102.268561644,1.0,-102.003,100,-102.268561644,-102.268561644,0.005,0.005,500,500.0,7.41414,1.0,,2.1793e-19,52.8904448766,52.8904448766,200.000000102,-102.003,1.0,1.0,2,1.0,0.005
68.0,-101.450313366,1.0,-101.819,100,-101.450313366,-101.450313366,0.00333333,0.00333333,500,500.0,7.61461,1.0,,5.43914e-20,64.4487454151,64.4487454151,299.999969474,-101.819,1.0,1.0,2,1.0,0.00333333
61.38,-102.423565676,1.0,-101.97,100,-102.423565676,-102.423565676,0.0025,0.0025,500,500.0,7.57209,1.0,,5.4346e-20,55.6818761238,55.6818761238,400.0,-101.97,1.0,1.0,2,1.0,0.0025
66.02,-102.859382657,0.0586558,-88.338,100,-102.859382657,-102.859382657,1.0,,500,0.0468314970722,0.000182871,,1.72025,0.002,61.8372298366,61.8372298366,1.00000091049,-88.338,1.0,29.3279,1,10676.6,0.002
58.04,-102.404516495,1.0,-102.405,100,-102.404516495,-102.404516495,0.01,0.01,500,500.0,7.23463,1.0,,3.50449e-18,52.8685233098,52.8685233098,100.0,-102.405,1.0,1.0,2,1.0,0.01
56.63,-102.391249656,1.0,-102.398,100,-102.391249656,-102.391249656,0.005,0.005,500,500.0,7.18252,1.0,,2.1793e-19,51.3508051287,51.3508051287,200.000000102,-102.398,1.0,1.0,2,1.0,0.005
62.37,-100.795553573,1.0,-101.864,100,-100.795553573,-100.795553573,0.00333333,0.00333333,500,500.0,7.58354,1.0,,5.43914e-20,68.3246725781,68.3246725781,299.999969474,-101.864,1.0,1.0,2,1.0,0.00333333
59.09,-103.302186516,1.0,-102.223,100,-103.302186516,-103.302186516,0.0025,0.0025,500,500.0,7.46389,1.0,,5.4346e-20,49.2488928428,49.2488928428,400.0,-102.223,1.0,1.0,2,1.0,0.0025
58.41,-101.465045451,1.10857,-100.568,100,-101.465045451,-101.465045451,0.055172,0.000194583,500,,12.6522,0.107854,3.17447,1.03325e-05,54.2131734397,54.2131734397,139.74483313,-100.568,1.0,30.581,1,inf,0.002
57.96,-103.509980567,1.0,-103.51,100,-103.509980567,-103.509980567,0.01,0.01,500,500.0,7.24845,1.0,,3.50449e-18,53.0707815911,53.0707815911,100.0,-103.51,1.0,1.0,2,1.0,0.01
59.33,-102.289382313,1.0,-102.9,100,-102.289382313,-102.289382313,0.005,0.005,500,500.0,7.6245,1.0,,2.1793e-19,63.6170371171,63.6170371171,200.000000102,-102.9,1.0,1.0,2,1.0,0.005
59.22,-103.356207961,1.0,-103.052,100,-103.356207961,-103.356207961,0.00333333,0.00333333,500,500.0,7.54796,1.0,,5.43914e-20,55.0609747149,55.0609747149,299.999969474,-103.052,1.0,1.0,2,1.0,0.00333333
61.59,-101.42368672,1.0,-102.645,100,-101.42368672,-101.42368672,0.0025,0.0025,500,500.0,8.18174,1.0,,5.4346e-20,95.8181451365,95.8181451365,400.0,-102.645,1.0,1.0,2,1.0,0.0025
59.03,-103.34427154,2.35241e-17,-69.4062,100,-103.34427154,-103.34427154,1.0,,500,2.56373278786e-15,1.57779e-09,,2.76692e-31,0.002,43.4733956643,43.4733956643,1.0,-69.4062,1.0,1.1762e-14,1,1.95028e+17,0.002
63.61,-101.875661257,1.0,-101.876,100,-101.875661257,-101.875661257,0.01,0.01,500,500.0,8.5184,1.0,,3.50449e-18,73.2960546274,73.2960546274,100.0,-101.876,1.0,1.0,2,1.0,0.01
65.5,-102.117720854,1.0,-101.997,100,-102.117720854,-102.117720854,0.005,0.005,500,500.0,7.47906,1.0,,2.1793e-19,39.6769711352,39.6769711352,200.000000102,-101.997,1.0,1.0,2,1.0,0.005
63.95,-101.695933704,1.0,-101.896,100,-101.695933704,-101.695933704,0.00333333,0.00333333,500,500.0,7.43005,1.0,,5.43914e-20,54.2261441345,54.2261441345,299.999969474,-101.896,1.0,1.0,2,1.0,0.00333333
63.94,-101.360436175,1.0,-101.762,100,-101.360436175,-101.360436175,0.0025,0.0025,500,500.0,7.58278,1.0,,5.4346e-20,64.8103713377,64.8103713377,400.0,-101.762,1.0,1.0,2,1.0,0.0025
63.24,-103.096202099,1.20265,-99.5166,100,-103.096202099,-103.096202099,0.131159,0.000471064,500,,46.07,0.283263,14.3502,3.96862e-05,74.3061320444,74.3061320444,45.8644182875,-99.5166,1.0,78.8693,1,inf,0.002
64.1,-103.292113293,1.0,-103.292,100,-103.292113293,-103.292113293,0.01,0.01,500,500.0,6.76675,1.0,,3.50449e-18,46.2514041929,46.2514041929,100.0,-103.292,1.0,1.0,2,1.0,0.01
63.35,-101.549863735,1.0,-102.421,100,-101.549863735,-101.549863735,0.005,0.005,500,500.0,7.51398,1.0,,2.1793e-19,66.2760201314,66.2760201314,200.000000102,-102.421,1.0,1.0,2,1.0,0.005
65.26,-101.725561296,1.0,-102.189,100,-101.725561296,-101.725561296,0.00333333,0.00333333,500,500.0,7.66932,1.0,,5.43914e-20,63.8517040621,63.8517040621,299.999969474,-102.189,1.0,1.0,2,1.0,0.00333333
62.67,-101.872862743,1.0,-102.11,100,-101.872862743,-101.872862743,0.0025,0.0025,500,500.0,8.01211,1.0,,5.4346e-20,81.0554200183,81.0554200183,400.0,-102.11,1.0,1.0,2,1.0,0.0025
62.98,-101.863844387,0.713522,-100.623,100,-101.863844387,-101.863844387,0.0450044,3.05303e-12,500,499.999880791,15.9328,1.0892e-09,2.3145,1.81845e-05,50.3892679863,50.3892679863,90.3009207654,-100.623,1.0,16.0558,1,1.0,0.002
63.91,-101.832970364,1.0,-101.833,100,-101.832970364,-101.832970364,0.01,0.01,500,500.0,8.00125,1.0,,3.50449e-18,64.6665939897,64.6665939897,100.0,-101.833,1.0,1.0,2,1.0,0.01
63.96,-101.715185978,1.0,-101.774,100,-101.715185978,-101.715185978,0.005,0.005,500,500.0,7.41661,1.0,,2.1793e-19,46.4499814239,46.4499814239,200.000000102,-101.774,1.0,1.0,2,1.0,0.005
64.54,-100.705810463,1.0,-101.418,100,-100.705810463,-100.705810463,0.00333333,0.00333333,500,500.0,7.99452,1.0,,5.43914e-20,81.7815321969,81.7815321969,299.999969474,-101.418,1.0,1.0,2,1.0,0.00333333
63.87,-101.256191913,1.0,-101.378,100,-101.256191913,-101.256191913,0.0025,0.0025,500,500.0,7.83753,1.0,,5.4346e-20,54.4957984196,54.4957984196,400.0,-101.378,1.0,1.0,2,1.0,0.0025
62.8,-102.115670436,0.957846,-100.064,100,-102.115670436,-102.115670436,0.0251277,6.68373e-06,500,,16.1277,0.00320099,1.44859,6.31559e-06,72.6907752806,72.6907752806,194.119005573,-100.064,1.0,12.0342,1,inf,0.002
63.36,-102.756852831,1.0,-102.757,100,-102.756852831,-102.756852831,0.01,0.01,500,500.0,9.16344,1.0,,3.50449e-18,84.8168720242,84.8168720242,100.0,-102.757,1.0,1.0,2,1.0,0.01
62.6,-101.423840308,1.0,-102.09,100,-101.423840308,-101.423840308,0.005,0.005,500,500.0,8.87525,1.0,,2.1793e-19,73.4173250312,73.4173250312,200.000000102,-102.09,1.0,1.0,2,1.0,0.005
62.66,-101.708409067,1.0,-101.963,100,-101.708409067,-101.708409067,0.00333333,0.00333333,500,500.0,8.92093,1.0,,5.43914e-20,81.9305545346,81.9305545346,299.999969474,-101.963,1.0,1.0,2,1.0,0.00333333
62.77,-101.895698186,1.0,-101.946,100,-101.895698186,-101.895698186,0.0025,0.0025,500,500.0,8.71484,1.0,,5.4346e-20,65.698796636,65.698796636,400.0,-101.946,1.0,1.0,2,1.0,0.0025
63.9,-101.804737246,0.980274,-101.178,100,-101.804737246,-101.804737246,0.0135539,0.00015421,500,,10.2783,0.0755841,0.586314,2.44059e-06,54.4569227472,54.4569227472,310.765892084,-101.178,1.0,6.64327,1,inf,0.002
65.08,-101.193113333,1.0,-101.193,100,-101.193113333,-101.193113333,0.01,0.01,500,500.0,8.13144,1.0,,3.50449e-18,66.7882388609,66.7882388609,100.0,-101.193,1.0,1.0,2,1.0,0.01
67.4,-100.650391923,1.0,-100.922,100,-100.650391923,-100.650391923,0.005,0.005,500,500.0,8.36316,1.0,,2.1793e-19,74.3607982225,74.3607982225,200.000000102,-100.922,1.0,1.0,2,1.0,0.005
62.82,-103.048094431,1.0,-101.631,100,-103.048094431,-103.048094431,0.00333333,0.00333333,500,500.0,8.09002,1.0,,5.43914e-20,53.9859429701,53.9859429701,299.999969474,-101.631,1.0,1.0,2,1.0,0.00333333
63.75,-100.804006497,1.0,-101.424,100,-100.804006497,-100.804006497,0.0025,0.0025,500,500.0,8.01329,1.0,,5.4346e-20,60.6001266017,60.6001266017,400.0,-101.424,1.0,1.0,2,1.0,0.0025
63.46,-101.860345565,0.995635,-99.6433,100,-101.860345565,-101.860345565,0.0798764,1.15392e-18,500,,24.7198,5.7444e-16,6.20874,2.50532e-05,54.0659592423,54.0659592423,68.9581674712,-99.6433,1.0,39.7638,1,inf,0.002
63.33,-101.603355794,1.0,-101.603,100,-101.603355794,-101.603355794,0.01,0.01,500,500.0,7.66672,1.0,,3.50449e-18,59.3723606,59.3723606,100.0,-101.603,1.0,1.0,2,1.0,0.01
62.24,-102.309098501,1.0,-101.956,100,-102.309098501,-102.309098501,0.005,0.005,500,500.0,7.50426,1.0,,2.1793e-19,54.1416521601,54.1416521601,200.000000102,-101.956,1.0,1.0,2,1.0,0.005
65.26,-101.466081608,1.0,-101.793,100,-101.466081608,-101.466081608,0.00333333,0.00333333,500,500.0,7.83105,1.0,,5.43914e-20,71.9069605576,71.9069605576,299.999969474,-101.793,1.0,1.0,2,1.0,0.00333333
66.41,-102.452090915,1.0,-101.958,100,-102.452090915,-102.452090915,0.0025,0.0025,500,500.0,7.69041,1.0,,5.4346e-20,52.7954312334,52.7954312334,400.0,-101.958,1.0,1.0,2,1.0,0.0025
58.77,-101.768877342,1.98053e-20,-77.7968,100,-101.768877342,-101.768877342,1.0,,500,1.14665070265e-08,1.79438e-05,,1.96125e-37,0.002,49.496831146,49.496831146,1.0,-77.7968,1.0,9.90266e-18,1,4.36053e+10,0.002
58.26,-104.070641364,1.0,-104.071,100,-104.070641364,-104.070641364,0.01,0.01,500,500.0,8.6452,1.0,,3.50449e-18,75.4943868888,75.4943868888,100.0,-104.071,1.0,1.0,2,1.0,0.01
58.73,-102.319580975,1.0,-103.195,100,-102.319580975,-102.319580975,0.005,0.005,500,500.0,8.50361,1.0,,2.1793e-19,69.040674195,69.040674195,200.000000102,-103.195,1.0,1.0,2,1.0,0.005
58.43,-104.523313952,1.0,-103.638,100,-104.523313952,-104.523313952,0.00333333,0.00333333,500,500.0,8.44121,1.0,,5.43914e-20,68.6494700588,68.6494700588,299.999969474,-103.638,1.0,1.0,2,1.0,0.00333333
62.62,-102.956014391,1.0,-103.467,100,-102.956014391,-102.956014391,0.0025,0.0025,500,500.0,8.77035,1.0,,5.4346e-20,94.5103677961,94.5103677961,400.0,-103.467,1.0,1.0,2,1.0,0.0025
65.04,-103.566385605,1.01044,-102.211,100,-103.566385605,-103.566385605,0.0191092,0.000269349,500,,15.0453,0.136081,1.04563,4.09653e-06,49.5249084064,49.5249084064,247.269658713,-102.211,1.0,9.65437,1,inf,0.002
63.79,-104.172947322,1.0,-104.173,100,-104.172947322,-104.172947322,0.01,0.01,500,500.0,6.79604,1.0,,3.50449e-18,46.6527515821,46.6527515821,100.0,-104.173,1.0,1.0,2,1.0,0.01
57.02,-105.125578307,1.0,-104.649,100,-105.125578307,-105.125578307,0.005,0.005,500,500.0,6.69985,1.0,,2.1793e-19,43.5718274333,43.5718274333,200.000000102,-104.649,1.0,1.0,2,1.0,0.005
63.78,-102.165297182,1.0,-103.821,100,-102.165297182,-102.165297182,0.00333333,0.00333333,500,500.0,7.48711,1.0,,5.43914e-20,75.0313386178,75.0313386178,299.999969474,-103.821,1.0,1.0,2,1.0,0.00333333
57.4,-103.270801232,1.0,-103.684,100,-103.270801232,-103.270801232,0.0025,0.0025,500,500.0,7.85627,1.0,,5.4346e-20,79.2787201283,79.2787201283,400.0,-103.684,1.0,1.0,2,1.0,0.0025
57.36,-103.973759815,0.930516,-101.18,100,-103.973759815,-103.973759815,0.120982,9.48042e-20,500,,25.8217,4.41084e-17,11.1267,5.14019e-05,52.0940281531,52.0940281531,36.1669776553,-101.18,1.0,56.2879,1,inf,0.002
59.64,-102.01354797,1.0,-102.014,100,-102.01354797,-102.01354797,0.01,0.01,500,500.0,8.19871,1.0,,3.50449e-18,67.8978419091,67.8978419091,100.0,-102.014,1.0,1.0,2,1.0,0.01
64.36,-103.088322213,1.0,-102.551,100,-103.088322213,-103.088322213,0.005,0.005,500,500.0,7.83339,1.0,,2.1793e-19,55.482383238,55.482383238,200.000000102,-102.551,1.0,1.0,2,1.0,0.005
60.49,-103.085382846,1.0,-102.729,100,-103.085382846,-103.085382846,0.00333333,0.00333333,500,500.0,7.77309,1.0,,5.43914e-20,58.9375106033,58.9375106033,299.999969474,-102.729,1.0,1.0,2,1.0,0.00333333
64.41,-102.970484327,1.0,-102.789,100,-102.970484327,-102.970484327,0.0025,0.0025,500,500.0,8.11785,1.0,,5.4346e-20,83.1226345808,83.1226345808,400.0,-102.789,1.0,1.0,2,1.0,0.0025
62.68,-102.784283786,1.13043,-101.242,100,-102.784283786,-102.784283786,0.414953,1.6166e-13,500,,20.8523,9.13726e-11,116.558,0.00036485,52.0219138128,52.0219138128,5.43301055024,-101.242,1.0,234.538,1,inf,0.002
59.56,-102.639770217,1.0,-102.64,100,-102.639770217,-102.639770217,0.01,0.01,500,500.0,8.18228,1.0,,3.50449e-18,67.6259653122,67.6259653122,100.0,-102.64,1.0,1.0,2,1.0,0.01
66.84,-102.653358663,1.0,-102.647,100,-102.653358663,-102.653358663,0.005,0.005,500,500.0,8.15859,1.0,,2.1793e-19,66.8439210362,66.8439210362,200.000000102,-102.647,1.0,1.0,2,1.0,0.005
64.01,-102.041169176,1.0,-102.445,100,-102.041169176,-102.041169176,0.00333333,0.00333333,500,500.0,8.3286,1.0,,5.43914e-20,75.4817290276,75.4817290276,299.999969474,-102.445,1.0,1.0,2,1.0,0.00333333
61.27,-103.755464599,1.0,-102.772,100,-103.755464599,-103.755464599,0.0025,0.0025,500,500.0,8.16203,1.0,,5.4346e-20,57.6666034684,57.6666034684,400.0,-102.772,1.0,1.0,2,1.0,0.0025
64.57,-102.096590414,0.943691,-102.073,100,-102.096590414,-102.096590414,0.0163066,2.7111e-05,500,,11.4326,0.0127922,0.807482,3.62688e-06,65.2113721678,65.2113721678,262.480258964,-102.073,1.0,7.69419,1,inf,0.002
65.19,-102.228497259,1.0,-102.228,100,-102.228497259,-102.228497259,0.01,0.01,500,500.0,8.92782,1.0,,3.50449e-18,80.5111688705,80.5111688705,100.0,-102.228,1.0,1.0,2,1.0,0.01
62.0,-101.725653165,1.0,-101.977,100,-101.725653165,-101.725653165,0.005,0.005,500,500.0,8.8496,1.0,,2.1793e-19,77.5741988058,77.5741988058,200.000000102,-101.977,1.0,1.0,2,1.0,0.005
64.15,-101.555509795,1.0,-101.837,100,-101.555509795,-101.555509795,0.00333333,0.00333333,500,500.0,9.52279,1.0,,5.43914e-20,116.465756425,116.465756425,299.999969474,-101.837,1.0,1.0,2,1.0,0.00333333
59.5,-103.094904821,1.0,-102.151,100,-103.094904821,-103.094904821,0.0025,0.0025,500,500.0,9.0466,1.0,,5.4346e-20,54.6727392102,54.6727392102,400.0,-102.151,1.0,1.0,2,1.0,0.0025
60.06,-102.39815841,0.999481,-101.624,100,-102.39815841,-102.39815841,0.0411305,0.000430023,500,,16.6672,0.2149,1.82231,7.29681e-06,70.9571248121,70.9571248121,177.270074951,-101.624,1.0,20.5546,1,inf,0.002
60.25,-103.130452065,1.0,-103.13,100,-103.130452065,-103.130452065,0.01,0.01,500,500.0,7.60667,1.0,,3.50449e-18,58.4458450164,58.4458450164,100.0,-103.13,1.0,1.0,2,1.0,0.01
62.6,-102.206913276,1.0,-102.669,100,-102.206913276,-102.206913276,0.005,0.005,500,500.0,7.56729,1.0,,2.1793e-19,56.8080213091,56.8080213091,200.000000102,-102.669,1.0,1.0,2,1.0,0.005
64.79,-102.881106364,1.0,-102.739,100,-102.881106364,-102.881106364,0.00333333,0.00333333,500,500.0,7.61345,1.0,,5.43914e-20,59.9352640426,59.9352640426,299.999969474,-102.739,1.0,1.0,2,1.0,0.00333333
62.01,-101.962141747,1.0,-102.545,100,-101.962141747,-101.962141747,0.0025,0.0025,500,500.0,7.87913,1.0,,5.4346e-20,74.723157729,74.723157729,400.0,-102.545,1.0,1.0,2,1.0,0.0025
63.51,-101.988728774,1.23411,-97.6674,100,-101.988728774,-101.988728774,0.142792,0.000179459,500,,74.713,0.110737,16.5345,4.34251e-05,70.8164318774,70.8164318774,42.2491318076,-97.6674,1.0,88.1106,1,inf,0.002
60.61,-103.286146676,1.0,-103.286,100,-103.286146676,-103.286146676,0.01,0.01,500,500.0,6.80514,1.0,,3.50449e-18,46.7776630556,46.7776630556,100.0,-103.286,1.0,1.0,2,1.0,0.01
