Delta,MaxNormIw,EpsThisIter,AvgRet,ESSRenyi,Bound,ESSClassic,VarRet,VarNormIw,J,AvgVanillaIw,MinVanillaIw,MinNormIw,eRenyi2,VarVanillaIw,AvgEpLen,AvgNormIw,MaxVanillaIw,VanillaAvgRet,AvgDiscRet,IterType,VarJ,VarDiscRet,BatchSize
0.2,0.011258275,100,4944.454578980218,98.01054646967367,3965.0107,98.03515501951382,206930.5181588421,2.0244554e-06,4975.109,1.0203465,0.32251328,0.003160821,1.0202984,0.021076746,494.48,0.010000002,1.1487342,4944.454578980218,4944.454578980218,1,176.13072,206930.5181588421,100
0.2,0.01,100,4999.87732409399,100.0,3999.877,100.0,0.0262704222001885,3.5044917e-18,4999.877,1.0,1.0,0.01,1.0,,500.0,0.009999998,1.0,4999.87732409399,4999.87732409399,1,0.16126366,0.0262704222001885,100
0.2,0.011838483,100,4964.050776205941,98.91301438438599,3970.8337,98.85288180231149,63527.534362055565,1.1721427e-06,4976.3135,0.9896834,0.58346814,0.005895503,1.0109893,0.011480823,496.44,0.010000002,1.1716349,4964.050776205941,4964.050776205941,1,166.92082,63527.534362055565,100
0.2,0.011574142,100,4963.279035232445,98.52446002514141,3977.506,98.70947336653134,133995.60230711644,1.3205979e-06,4984.9663,1.0038732,0.4091701,0.004075914,1.0149764,0.013308475,496.35,0.01,1.1618971,4963.279035232445,4963.279035232445,1,149.3482,133995.60230711644,100
0.2,0.0112423645,100,4972.9005052077155,98.89889229007673,3981.7932,98.70162752571478,72900.00573068947,1.3287384e-06,4987.3447,1.0006309,0.46531242,0.004650191,1.0111337,0.013304152,497.31,0.01,1.1249456,4972.9005052077155,4972.9005052077155,1,125.60714,72900.00573068947,100
0.2,0.01,100,4999.895788619056,100.0,3999.896,100.0,0.010444398053493568,3.5044917e-18,4999.896,1.0,1.0,0.01,1.0,,500.0,0.009999998,1.0,4999.895788619056,4999.895788619056,1,0.101690695,0.010444398053493568,100
0.2,0.01,100,4999.890912654385,100.0,3999.891,100.0,0.013152119954402117,3.5044917e-18,4999.891,1.0,1.0,0.01,1.0,,500.0,0.009999998,1.0,4999.890912654385,4999.890912654385,1,0.11410354,0.013152119954402117,100
0.2,0.012337515,100,4910.101740665963,96.97274602103005,3932.9019,97.2238093575189,404432.6497416422,2.8843017e-06,4948.3906,1.0131377,0.34999567,0.0034545714,1.0312176,0.029605858,491.04,0.01,1.2499602,4910.101740665963,4910.101740665963,1,401.08353,404432.6497416422,100
0.2,0.010009226,100,4999.913581099037,99.99998807907247,3999.914,99.99997711194432,0.007073787924779157,2.157355e-11,4999.914,1.0000054,0.9985994,0.00998594,1.0000001,2.1573787e-07,500.0,0.01,1.000928,4999.913581099037,4999.913581099037,1,0.08369472,0.007073787924779157,100
0.2,0.0100009395,100,4999.89868860979,100.0,3999.899,99.9999771117435,0.014751327870192564,3.7580033e-13,4999.899,0.99999666,0.999776,0.0099977935,1.0,3.758612e-09,500.0,0.01,1.0000906,4999.89868860979,4999.89868860979,1,0.120849736,0.014751327870192564,100
0.2,0.0100017125,100,4999.88713519875,99.99990463265931,3999.8872,99.99998092645819,0.01130961379490189,6.5199793e-13,4999.8877,0.99999696,0.99977505,0.009997781,1.000001,6.5199512e-09,500.0,0.010000002,1.0001682,4999.88713519875,4999.88713519875,1,0.10580791,0.01130961379490189,100
0.2,0.012518554,100,4952.415656416377,98.0431134029294,3970.722,97.4128596633889,225630.7076525027,2.6826667e-06,4980.6523,0.981262,0.39796668,0.0040556616,1.0199594,0.025830735,495.26,0.01,1.2283982,4952.415656416377,4952.415656416377,1,192.85382,225630.7076525027,100
0.2,0.010002578,100,4999.900398505764,100.0,3999.901,100.0,0.03151946763010019,2.3042466e-12,4999.901,0.9999825,0.99926394,0.009992815,1.0,2.304098e-08,500.0,0.01,1.0002402,4999.900398505764,4999.900398505764,1,0.17655903,0.03151946763010019,100
0.2,0.010009125,100,4999.904944119355,99.99998807907247,3999.9053,99.99996185341661,0.016882897976594435,2.2720017e-11,4999.9053,1.0000099,0.9977071,0.009976972,1.0000001,2.2720477e-07,500.0,0.01,1.0009224,4999.904944119355,4999.904944119355,1,0.12910677,0.016882897976594435,100
0.2,0.010001624,100,4999.922035288096,100.0,3999.9224,100.00001525899337,0.008003394880936548,8.4242314e-13,4999.9224,0.9999867,0.9996723,0.009996856,1.0,8.423423e-09,500.0,0.01,1.0001491,4999.922035288096,4999.922035288096,1,0.088991396,0.008003394880936548,100
0.2,0.011179293,100,4979.995099231613,99.25947715535005,3985.7378,98.77494617697802,39599.49225862622,1.2527847e-06,4989.461,0.98996496,0.51910126,0.0052436325,1.0074605,0.012277673,498.02,0.01,1.1067108,4979.995099231613,4979.995099231613,1,104.327515,39599.49225862622,100
0.2,0.010000415,100,4999.887889207383,100.0,3999.8887,99.99998092648002,0.09118774719483957,1.3400893e-13,4999.8887,0.9999981,0.999747,0.009997489,1.0,1.3399851e-09,500.0,0.01,1.0000396,4999.887889207383,4999.887889207383,1,0.30040875,0.09118774719483957,100
0.2,0.010010057,100,4999.916707293638,99.99998807907247,3999.9175,99.99998474131047,0.012601085549001594,3.2076716e-11,4999.9175,1.0000064,0.9974717,0.009974653,1.0000001,3.2076937e-07,500.0,0.009999999,1.0010121,4999.916707293638,4999.916707293638,1,0.11156728,0.012601085549001594,100
0.2,0.010010438,100,4999.883151647494,99.99998807907247,3999.8833,99.99993132997304,0.07279964326234167,6.035456e-11,4999.8833,0.9999197,0.9960761,0.00996156,1.0000001,6.034521e-07,500.0,0.010000002,1.0009634,4999.883151647494,4999.883151647494,1,0.26761,0.07279964326234167,100
0.2,0.010066715,100,4999.9105863796185,99.99995231630692,3999.911,99.99976734063412,0.007823620676671413,2.0560748e-10,4999.911,1.000158,0.9987686,0.009986108,1.0000005,2.056718e-06,500.0,0.010000003,1.0068306,4999.9105863796185,4999.9105863796185,1,0.087974265,0.007823620676671413,100
