J,BatchSize,MinNormIw,MaxVanillaIw,VarJ,AvgEpLen,AvgDiscRet,VarNormIw,AvgRet,AvgNormIw,ESSRenyi,VanillaAvgRet,VarDiscRet,VarRet,eRenyi2,Bound,VarVanillaIw,ESSClassic,AvgVanillaIw,MaxNormIw,MinVanillaIw
4999.9966,100,,75.10558,0.030605584,500.0,4999.939034860549,0.0064846026,4999.939034860549,0.01,4.112687551042068,4999.939034860549,0.0028191756823622216,0.0028191756823622216,24.315,4999.9746,56.50515,1.5337999250840972,0.9334742,0.8045812,
4999.9673,100,4.1889284e-11,6.7356634,0.056090824,500.0,4999.953502952361,0.0003091318,4999.953502952361,0.01,21.978716670125156,4999.953502952361,0.0022558013661080445,0.0022558013661080445,4.549856,4999.959,3.053834,24.628082749466433,0.99391866,0.06776876,4.163454e-09
4997.179,100,7.749392e-06,2.33814,27.805683,495.01,4949.9465267164205,4.8604907e-05,4949.9465267164205,0.010000002,66.12127140065806,4949.9465267164205,249994.60083012373,249994.60083012373,1.5123726,4945.4653,0.5393203,67.51333972366287,1.0533757,0.022196637,0.00081630226
4999.9814,100,1.6268785e-08,51.489414,0.065864496,500.0,4999.940757298728,0.0022437212,4999.940757298728,0.010000002,9.237082015995687,4999.940757298728,0.003036406713505568,0.003036406713505568,10.82593,4999.9663,30.563059,4.307961383142082,1.167116,0.44116792,1.898756e-06
4999.9937,100,,3.6123656e-15,0.004882743,500.0,4999.935136207353,0.009999715,4999.935136207353,0.01,97.94630087441212,4999.935136207353,0.0028971149498343003,0.0028971149498343003,1.0209676,4999.9893,1.3049177e-31,1.0000283724645687,3.612417e-17,0.9999858,
4999.989,100,3.5690964e-11,136.07732,0.080497935,500.0,4999.94602389213,0.00436945,4999.94602389213,0.010000002,3.445288156683963,4999.94602389213,0.002285506332494686,0.002285506332494686,29.025148,4999.9673,187.41124,2.2595013567675264,2.0710206,0.6570544,7.391672e-09
4999.989,100,,22.376797,0.039824024,500.0,4999.941719854982,0.0022472239,4999.941719854982,0.01,9.17229152284518,4999.941719854982,0.0033289186724704146,0.0033289186724704146,10.902401,4999.9727,7.7019906,4.30153527856077,0.58543456,0.3822254,
4999.962,100,1.3177562e-08,9.350031,0.056935865,500.0,4999.943245108355,0.0002061877,4999.943245108355,0.01,99.02134388004978,4999.943245108355,0.002964902443932347,0.002964902443932347,1.0098833,4999.9575,2.0643272,32.88113089240729,1.000594,0.0934448,1.318539e-06
4999.993,100,,57.750076,0.050198127,500.0,4999.941547331624,0.0065068454,4999.941547331624,0.010000002,3.171588114578073,4999.941547331624,0.002923538604800252,0.002923538604800252,31.529945,4999.968,33.553387,1.528637078514578,0.7180969,0.80421007,
4999.9766,100,1.7109922e-22,14.653361,0.06770079,500.0,4999.9457662301775,0.0008984242,4999.9457662301775,0.01,94.61187861458458,4999.9457662301775,0.0023611424497137607,0.0023611424497137607,1.0569497,4999.972,4.4103107,10.106728505930755,0.70063835,0.20914301,1.1987867e-20
4999.942,100,0.0025143556,3.9138443,0.06045391,500.0,4999.936255834426,3.5330406e-05,4999.936255834426,0.01,62.569357036062414,4999.936255834426,0.003259547583906016,0.003259547583906016,1.5982264,4999.936,0.38839707,74.08663885514139,1.0484884,0.03732845,0.26362726
