MinNormIw,VarVanillaIw,AvgEpLen,AvgDiscRet,MaxVanillaIw,AvgRet,BatchSize,VarJ,J,MinVanillaIw,VarRet,VarDiscRet,MaxNormIw,AvgNormIw,VarNormIw,AvgVanillaIw,eRenyi2,ESSRenyi,ESSClassic,Bound
0.01,,200.0,-7.779897719953326,1.0,-7.779897719953326,100,6.586729,-7.779897,1.0,43.82323380019989,43.82323380019989,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.336652
0.01,,200.0,-7.81483969050679,1.0,-7.81483969050679,100,7.1972766,-7.81484,1.0,52.32403468379565,52.32403468379565,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.423202
0.01,,200.0,-7.636093526274384,1.0,-7.636093526274384,100,7.1758423,-7.6360936,1.0,52.012837764787854,52.012837764787854,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.242643
0.01,,200.0,-8.21435913213674,1.0,-8.21435913213674,100,6.88418,-8.214359,1.0,47.87064217730432,47.87064217730432,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.796256
0.01,,200.0,-7.505843619800462,1.0,-7.505843619800462,100,7.039824,-7.5058436,1.0,50.05972093874385,50.05972093874385,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.100897
0.01,,200.0,-7.353870767747775,1.0,-7.353870767747775,100,6.9271755,-7.3538704,1.0,48.47046887233156,48.47046887233156,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.9394016
0.01,,200.0,-6.417051844808568,1.0,-6.417051844808568,100,5.699549,-6.417052,1.0,32.8129942991063,32.8129942991063,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-6.898816
0.01,,200.0,-7.422351841625729,1.0,-7.422351841625729,100,6.891258,-7.422352,1.0,47.969128236146474,47.969128236146474,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.004848
0.01,,200.0,-7.465733977811816,1.0,-7.465733977811816,100,7.050854,-7.4657335,1.0,50.2167107758364,50.2167107758364,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.061719
0.01,,200.0,-8.202419547268066,1.0,-8.202419547268066,100,7.451117,-8.202419,1.0,56.07995275117157,56.07995275117157,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.832237
0.01,,200.0,-7.5438796228137495,1.0,-7.5438796228137495,100,6.496829,-7.54388,1.0,42.63514371530348,42.63514371530348,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.093036
0.01,,200.0,-7.995358936707094,1.0,-7.995358936707094,100,6.8561625,-7.9953585,1.0,47.48178100358637,47.48178100358637,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.574887
0.01,,200.0,-9.078113491291306,1.0,-9.078113491291306,100,8.228374,-9.078114,1.0,68.39004209211974,68.39004209211974,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-9.773631
0.01,,200.0,-6.486095517161013,1.0,-6.486095517161013,100,6.1679487,-6.486095,1.0,38.42787566619,38.42787566619,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.007451
0.01,,200.0,-7.841538339179949,1.0,-7.841538339179949,100,6.9920063,-7.8415384,1.0,49.38197749189043,49.38197749189043,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.432549
0.01,,200.0,-9.132797068719341,1.0,-9.132797068719341,100,7.4144034,-9.132797,1.0,55.528661439271225,55.528661439271225,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-9.759512
0.01,,200.0,-8.074051715019941,1.0,-8.074051715019941,100,7.6542063,-8.074052,1.0,59.178672438460666,59.178672438460666,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.721037
0.01,,200.0,-7.829498543024269,1.0,-7.829498543024269,100,6.4085894,-7.829498,1.0,41.484868637186196,41.484868637186196,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.371195
0.01,,200.0,-7.383099348451114,1.0,-7.383099348451114,100,6.9593606,-7.3830996,1.0,48.92191977649036,48.92191977649036,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.971351
0.01,,200.0,-8.087553132104183,1.0,-8.087553132104183,100,7.3643246,-8.087553,1.0,54.78109183581925,54.78109183581925,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.710035
0.01,,200.0,-6.821565244982708,1.0,-6.821565244982708,100,6.498769,-6.821565,1.0,42.66060335428246,42.66060335428246,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.3708844
0.01,,200.0,-8.329728344767858,1.0,-8.329728344767858,100,7.117038,-8.329728,1.0,51.163863316184354,51.163863316184354,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.931308
0.01,,200.0,-7.269353523045899,1.0,-7.269353523045899,100,6.754006,-7.2693534,1.0,46.07737381603952,46.07737381603952,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.840247
0.01,,200.0,-7.5109712476553465,1.0,-7.5109712476553465,100,6.7519784,-7.5109706,1.0,46.04971405658883,46.04971405658883,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.081693
0.01,,200.0,-7.702015416298799,1.0,-7.702015416298799,100,7.2195296,-7.7020144,1.0,52.648084844937856,52.648084844937856,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.312258
0.01,,200.0,-7.71688125797721,1.0,-7.71688125797721,100,7.209536,-7.7168813,1.0,52.50242851313933,52.50242851313933,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.32628
0.01,,200.0,-7.818054114095804,1.0,-7.818054114095804,100,7.297716,-7.8180537,1.0,53.794611827658755,53.794611827658755,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.434906
0.01,,200.0,-7.568379990468136,1.0,-7.568379990468136,100,7.133857,-7.56838,1.0,51.405976757127036,51.405976757127036,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.171381
0.01,,200.0,-7.4686005966776134,1.0,-7.4686005966776134,100,6.9722586,-7.4686003,1.0,49.10342709623058,49.10342709623058,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.057942
0.01,,200.0,-7.684973111364854,1.0,-7.684973111364854,100,6.8976493,-7.684973,1.0,48.05814590557509,48.05814590557509,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.268008
0.01,,200.0,-8.830219664823407,1.0,-8.830219664823407,100,7.7518873,-8.830219,1.0,60.69874540398764,60.69874540398764,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-9.48546
0.01,,200.0,-7.277436605040034,1.0,-7.277436605040034,100,6.7927847,-7.2774363,1.0,46.60800570467142,46.60800570467142,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.851608
0.01,,200.0,-7.201785782215188,1.0,-7.201785782215188,100,6.879822,-7.2017856,1.0,47.810050489858185,47.810050489858185,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.783314
0.01,,200.0,-8.25938001076503,1.0,-8.25938001076503,100,6.9280624,-8.259379,1.0,48.48287660225827,48.48287660225827,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.844986
0.01,,200.0,-8.059003103877904,1.0,-8.059003103877904,100,6.6134486,-8.059002,1.0,44.179504773213196,44.179504773213196,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.618015
0.01,,200.0,-7.238051530797237,1.0,-7.238051530797237,100,6.7377186,-7.2380514,1.0,45.85541029646655,45.85541029646655,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.8075686
0.01,,200.0,-7.358957188546746,1.0,-7.358957188546746,100,6.7662916,-7.358957,1.0,46.245156268116695,46.245156268116695,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.930889
0.01,,200.0,-8.197740486808804,1.0,-8.197740486808804,100,6.912317,-8.197741,1.0,48.26275700227892,48.26275700227892,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.782016
0.01,,200.0,-7.836970849024613,1.0,-7.836970849024613,100,6.901237,-7.8369703,1.0,48.10815732923602,48.10815732923602,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.420309
0.01,,200.0,-8.413356148251601,1.0,-8.413356148251601,100,7.2103996,-8.413355,1.0,52.51501076265166,52.51501076265166,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-9.022826
0.01,,200.0,-9.4080727640192,1.0,-9.4080727640192,100,7.319749,-9.4080715,1.0,54.11991981151829,54.11991981151829,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-10.026786
0.01,,200.0,-8.199036032347053,1.0,-8.199036032347053,100,7.159651,-8.199036,1.0,51.77838921102749,51.77838921102749,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.804217
0.01,,200.0,-7.744397744219815,1.0,-7.744397744219815,100,6.8466234,-7.7443976,1.0,47.34975471208199,47.34975471208199,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.32312
0.01,,200.0,-6.993547587649893,1.0,-6.993547587649893,100,6.822747,-6.9935474,1.0,47.02007968689437,47.02007968689437,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.570252
0.01,,200.0,-6.647102515228573,1.0,-6.647102515228573,100,5.615452,-6.647103,1.0,31.85182261160094,31.85182261160094,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.1217585
0.01,,200.0,-6.6387931833063565,1.0,-6.6387931833063565,100,6.391157,-6.6387925,1.0,41.25948328649066,41.25948328649066,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.179016
0.01,,200.0,-7.574628814174745,1.0,-7.574628814174745,100,7.00749,-7.574629,1.0,49.60092507771153,49.60092507771153,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.166948
0.01,,200.0,-7.7165269521757445,1.0,-7.7165269521757445,100,6.8675113,-7.7165265,1.0,47.6390960280502,47.6390960280502,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.297014
0.01,,200.0,-7.186642815847196,1.0,-7.186642815847196,100,7.561871,-7.1866426,1.0,57.759491109769385,57.759491109769385,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.825823
0.01,,200.0,-9.114040831483525,1.0,-9.114040831483525,100,7.435913,-9.11404,1.0,55.85131554177772,55.85131554177772,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-9.742574
0.01,,200.0,-9.029541063912255,1.0,-9.029541063912255,100,6.955649,-9.02954,1.0,48.869747490869905,48.869747490869905,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-9.617478
0.01,,200.0,-7.317752997796635,1.0,-7.317752997796635,100,7.2524757,-7.317753,1.0,53.12970414017727,53.12970414017727,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.930781
0.01,,200.0,-8.03554662232871,1.0,-8.03554662232871,100,6.9818025,-8.035546,1.0,49.237945884683896,49.237945884683896,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.625695
0.01,,200.0,-8.04754289769901,1.0,-8.04754289769901,100,6.7354093,-8.047543,1.0,45.82398457205446,45.82398457205446,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.616864
0.01,,200.0,-8.858314758944136,1.0,-8.858314758944136,100,7.842377,-8.8583145,1.0,62.124119938140765,62.124119938140765,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-9.521205
0.01,,200.0,-7.868538758403193,1.0,-7.868538758403193,100,7.1818447,-7.868538,1.0,52.099893581931035,52.099893581931035,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.475595
0.01,,200.0,-8.53721822203852,1.0,-8.53721822203852,100,6.871831,-8.537218,1.0,47.699047919134465,47.699047919134465,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-9.118072
0.01,,200.0,-7.385930606180945,1.0,-7.385930606180945,100,6.9867935,-7.3859305,1.0,49.30837126293549,49.30837126293549,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.976501
0.01,,200.0,-7.406220390417994,1.0,-7.406220390417994,100,6.984513,-7.4062204,1.0,49.27618148675241,49.27618148675241,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.9965982
0.01,,200.0,-6.9057690663811995,1.0,-6.9057690663811995,100,6.401204,-6.9057693,1.0,41.38930823120108,41.38930823120108,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.446842
0.01,,200.0,-8.468350787677897,1.0,-8.468350787677897,100,7.135848,-8.46835,1.0,51.43466997924986,51.43466997924986,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-9.07152
0.01,,200.0,-6.837233309804048,1.0,-6.837233309804048,100,6.6023717,-6.8372326,1.0,44.031626373158446,44.031626373158446,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.3953094
0.01,,200.0,-7.689541350147604,1.0,-7.689541350147604,100,6.702596,-7.6895413,1.0,45.3785817358047,45.3785817358047,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.25609
0.01,,200.0,-7.5160016964811645,1.0,-7.5160016964811645,100,7.081158,-7.5160017,1.0,50.649296863737355,50.649296863737355,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.114549
0.01,,200.0,-8.239652871286586,1.0,-8.239652871286586,100,7.0658236,-8.239653,1.0,50.430167350128364,50.430167350128364,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.836904
0.01,,200.0,-7.9597646515621845,1.0,-7.9597646515621845,100,6.7572737,-7.9597645,1.0,46.121971635954935,46.121971635954935,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.530934
0.01,,200.0,-7.137721993286621,1.0,-7.137721993286621,100,6.8945417,-7.1377215,1.0,48.01485611077071,48.01485611077071,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.7204943
0.01,,200.0,-8.521883322327541,1.0,-8.521883322327541,100,7.351064,-8.521883,1.0,54.583983025494206,54.583983025494206,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-9.143244
0.01,,200.0,-8.1455288822186,1.0,-8.1455288822186,100,6.9562793,-8.145529,1.0,48.8786086223028,48.8786086223028,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.7335205
0.01,,200.0,-8.457535192442347,1.0,-8.457535192442347,100,7.313433,-8.457534,1.0,54.026569439963176,54.026569439963176,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-9.075714
0.01,,200.0,-7.5705636594245025,1.0,-7.5705636594245025,100,6.5209503,-7.5705633,1.0,42.95231562218493,42.95231562218493,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.1217575
0.01,,200.0,-7.845118736637312,1.0,-7.845118736637312,100,7.061651,-7.8451185,1.0,50.37062803002735,50.37062803002735,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.442017
0.01,,200.0,-7.487947513446462,1.0,-7.487947513446462,100,6.939728,-7.487947,1.0,48.646289399662706,48.646289399662706,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.074539
0.01,,200.0,-7.8923565683661705,1.0,-7.8923565683661705,100,6.809273,-7.892356,1.0,46.834540824873926,46.834540824873926,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.467921
0.01,,200.0,-9.038232797450796,1.0,-9.038232797450796,100,7.723173,-9.038233,1.0,60.24990429135912,60.24990429135912,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-9.691048
0.01,,200.0,-8.591511755527613,1.0,-8.591511755527613,100,7.246255,-8.591511,1.0,53.03859844934994,53.03859844934994,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-9.204013
0.01,,200.0,-7.532697423169299,1.0,-7.532697423169299,100,6.820904,-7.532697,1.0,46.99468299695617,46.99468299695617,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.109245
0.01,,200.0,-7.507865566862539,1.0,-7.507865566862539,100,7.338547,-7.507865,1.0,54.39826125235106,54.39826125235106,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.128168
0.01,,200.0,-9.042156583111378,1.0,-9.042156583111378,100,7.0857954,-9.042157,1.0,50.71565372603904,50.71565372603904,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-9.641096
0.01,,200.0,-8.450390274606672,1.0,-8.450390274606672,100,6.7551966,-8.45039,1.0,46.09362058446921,46.09362058446921,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-9.021384
0.01,,200.0,-7.697087004061256,1.0,-7.697087004061256,100,7.2216344,-7.697087,1.0,52.67878856261598,52.67878856261598,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.3075075
0.01,,200.0,-7.618040875493976,1.0,-7.618040875493976,100,7.1506724,-7.6180406,1.0,51.64859912025521,51.64859912025521,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-8.222464
0.01,,200.0,-7.1284835665778985,1.0,-7.1284835665778985,100,7.255661,-7.1284833,1.0,53.17637916155676,53.17637916155676,0.01,0.009999998,3.5044917e-18,1.0,1.0,100.0,100.0,-7.7417803
