eRenyi2,VarDiscRet,AvgRet,Bound,MinNormIw,VanillaAvgRet,ESSRenyi,AvgNormIw,ESSClassic,MinVanillaIw,Delta,AvgEpLen,IterType,AvgDiscRet,VarNormIw,EpsThisIter,AvgVanillaIw,MaxNormIw,VarRet,J,VarJ,VarVanillaIw,MaxVanillaIw,BatchSize
43.5766,16459.03583,323.354726853,582.398,1.10921e-22,323.354726853,11.4740361764,0.002,1.84861584081,9.22075e-20,0.5,34.93,1,323.354726853,0.00108005,100,1.66258,0.731019,16459.03583,889.96,2556.0,746.361,607.688,500
1.0,16205.9211233,362.342678211,280.19,0.01,362.342678211,500.0,0.01,100.0,1.0,0.5,39.12,2,362.342678211,3.50449e-18,100,1.0,0.01,16205.9211233,362.343,126.664,,1.0,500
1.0,21810.4133274,370.156541227,285.475,0.005,370.156541227,500.0,0.005,200.000000102,1.0,0.5,39.97,2,370.156541227,2.1793e-19,100,1.0,0.005,21810.4133274,366.25,137.235,,1.0,500
1.0,23614.7701452,369.83184437,292.395,0.00333333,369.83184437,500.0,0.00333333,299.999969474,1.0,0.5,39.96,2,369.83184437,5.43914e-20,100,1.0,0.00333333,23614.7701452,367.444,142.658,,1.0,500
1.0,11684.1333427,354.266025898,299.155,0.0025,354.266025898,500.0,0.0025,400.0,1.0,0.5,38.25,2,354.266025898,5.4346e-20,100,1.0,0.0025,11684.1333427,364.149,134.862,,1.0,500
22.6949,23615.3418451,389.84318684,822.568,1.18483e-13,389.84318684,22.0313347126,0.002,1.68633802061,1.64162e-10,0.5,42.11,1,389.84318684,0.00118437,100,2.77106,0.76843,23615.3418451,1099.51,3528.68,2273.63,1064.68,500
1.0,22576.1939132,485.134457306,395.792,0.01,485.134457306,500.0,0.01,100.0,1.0,0.5,52.31,2,485.134457306,3.50449e-18,100,1.0,0.01,22576.1939132,485.134,149.501,,1.0,500
1.0,27407.3471368,456.433114952,387.594,0.005,456.433114952,500.0,0.005,200.000000102,1.0,0.5,49.23,2,456.433114952,2.1793e-19,100,1.0,0.005,27407.3471368,470.784,157.949,,1.0,500
1.0,16411.6345108,443.035703713,393.611,0.00333333,443.035703713,500.0,0.00333333,299.999969474,1.0,0.5,47.78,2,443.035703713,5.43914e-20,100,1.0,0.00333333,16411.6345108,461.534,149.06,,1.0,500
1.0,19340.6268165,441.917685376,397.806,0.0025,441.917685376,500.0,0.0025,400.0,1.0,0.5,47.66,2,441.917685376,5.4346e-20,100,1.0,0.0025,19340.6268165,456.63,146.707,,1.0,500
6.72337,19006.5288053,450.145157933,457.446,3.19653e-10,450.145157933,74.3674613987,0.002,34.9787087801,2.08481e-07,0.5,48.56,1,450.145157933,5.32842e-05,100,1.30442,0.126991,19006.5288053,593.87,759.648,22.666,82.8249,500
1.0,32476.192596,510.339454446,390.495,0.01,510.339454446,500.0,0.01,100.0,1.0,0.5,55.05,2,510.339454446,3.50449e-18,100,1.0,0.01,32476.192596,510.339,179.308,,1.0,500
1.0,44402.0093536,541.821993378,441.338,0.005,541.821993378,500.0,0.005,200.000000102,1.0,0.5,58.44,2,541.821993378,2.1793e-19,100,1.0,0.005,44402.0093536,526.081,195.71,,1.0,500
1.0,30188.0155992,506.443496824,450.343,0.00333333,506.443496824,500.0,0.00333333,299.999969474,1.0,0.5,54.62,2,506.443496824,5.43914e-20,100,1.0,0.00333333,30188.0155992,519.535,188.634,,1.0,500
1.0,41998.8893549,526.696850249,452.522,0.0025,526.696850249,500.0,0.0025,400.0,1.0,0.5,56.85,2,526.696850249,5.4346e-20,100,1.0,0.0025,41998.8893549,521.325,192.591,,1.0,500
9.26692,38686.9423202,522.514515547,555.036,4.35996e-15,522.514515547,53.9553423135,0.002,20.3811958172,3.07115e-12,0.5,56.39,1,522.514515547,9.43183e-05,100,1.4088,0.189576,38686.9423202,742.374,1055.01,46.7987,133.538,500
1.0,49943.0815875,585.755241417,452.4,0.01,585.755241417,500.0,0.01,100.0,1.0,0.5,63.18,2,585.755241417,3.50449e-18,100,1.0,0.01,49943.0815875,585.755,222.359,,1.0,500
1.0,45714.7285908,578.404115622,487.784,0.005,578.404115622,500.0,0.005,200.000000102,1.0,0.5,62.42,2,578.404115622,2.1793e-19,100,1.0,0.005,45714.7285908,582.08,217.633,,1.0,500
1.0,41856.6088302,546.281551906,489.09,0.00333333,546.281551906,500.0,0.00333333,299.999969474,1.0,0.5,58.97,2,546.281551906,5.43914e-20,100,1.0,0.00333333,41856.6088302,570.147,213.714,,1.0,500
1.0,42909.4922991,561.090928278,497.685,0.0025,561.090928278,500.0,0.0025,400.0,1.0,0.5,60.59,2,561.090928278,5.4346e-20,100,1.0,0.0025,42909.4922991,567.883,211.874,,1.0,500
9.67995,60853.7991652,610.945000709,612.265,2.00382e-08,610.945000709,51.6531351993,0.002,18.3742864958,1.22517e-05,0.5,66.0,1,610.945000709,0.000105058,100,1.22283,0.219323,60853.7991652,820.51,3130.17,39.2736,134.097,500
1.0,67720.368832,642.398354865,492.169,0.01,642.398354865,500.0,0.01,100.0,1.0,0.5,69.35,2,642.398354865,3.50449e-18,100,1.0,0.01,67720.368832,642.398,258.927,,1.0,500
1.0,72312.7842389,657.5857166,532.876,0.005,657.5857166,500.0,0.005,200.000000102,1.0,0.5,71.05,2,657.5857166,2.1793e-19,100,1.0,0.005,72312.7842389,649.992,263.39,,1.0,500
1.0,63483.508283,628.07596525,547.062,0.00333333,628.07596525,500.0,0.00333333,299.999969474,1.0,0.5,67.76,2,628.07596525,5.43914e-20,100,1.0,0.00333333,63483.508283,642.687,259.433,,1.0,500
1.0,72253.558976,646.230978692,560.759,0.0025,646.230978692,500.0,0.0025,400.0,1.0,0.5,69.78,2,646.230978692,5.4346e-20,100,1.0,0.0025,72253.558976,643.573,261.466,,1.0,500
11.3753,56313.0387718,630.466295461,802.092,4.04916e-09,630.466295461,43.9550194797,0.002,2.76349821113,4.80862e-06,0.5,68.02,1,630.466295461,0.000721163,100,2.37512,0.598031,56313.0387718,1051.91,2193.95,1017.05,710.198,500
1.0,53429.5559543,627.646346592,493.705,0.01,627.646346592,500.0,0.01,100.0,1.0,0.5,67.78,2,627.646346592,3.50449e-18,100,1.0,0.01,53429.5559543,627.646,229.99,,1.0,500
1.0,80660.6010609,699.867415733,560.781,0.005,699.867415733,500.0,0.005,200.000000102,1.0,0.5,75.6,2,699.867415733,2.1793e-19,100,1.0,0.005,80660.6010609,663.757,260.151,,1.0,500
1.0,73760.6919071,717.642483645,597.64,0.00333333,717.642483645,500.0,0.00333333,299.999969474,1.0,0.5,77.47,2,717.642483645,5.43914e-20,100,1.0,0.00333333,73760.6919071,681.719,264.774,,1.0,500
1.0,62493.546641,658.807943657,603.176,0.0025,658.807943657,500.0,0.0025,400.0,1.0,0.5,71.11,2,658.807943657,5.4346e-20,100,1.0,0.0025,62493.546641,675.991,261.045,,1.0,500
5.85049,106457.150119,719.644931777,717.831,1.53914e-08,719.644931777,85.4629813994,0.002,22.1657864496,9.80922e-06,0.5,77.71,1,719.644931777,8.6402e-05,100,1.27464,0.160253,106457.150119,951.482,1898.26,35.0942,102.132,500
1.0,79273.7268114,689.75119564,538.044,0.01,689.75119564,500.0,0.01,100.0,1.0,0.5,74.48,2,689.75119564,3.50449e-18,100,1.0,0.01,79273.7268114,689.751,280.145,,1.0,500
1.0,62795.0347311,677.618740608,576.412,0.005,677.618740608,500.0,0.005,200.000000102,1.0,0.5,73.24,2,677.618740608,2.1793e-19,100,1.0,0.005,62795.0347311,683.685,265.256,,1.0,500
1.0,57602.341953,671.296100811,591.967,0.00333333,671.296100811,500.0,0.00333333,299.999969474,1.0,0.5,72.54,2,671.296100811,5.43914e-20,100,1.0,0.00333333,57602.341953,679.555,256.808,,1.0,500
1.0,73951.850771,723.316617863,613.993,0.0025,723.316617863,500.0,0.0025,400.0,1.0,0.5,78.08,2,723.316617863,5.4346e-20,100,1.0,0.0025,73951.850771,690.496,261.007,,1.0,500
15.2883,81770.6173763,697.497831328,863.772,3.73391e-10,697.497831328,32.704720454,0.002,2.08337112405,5.26431e-07,0.5,75.38,1,697.497831328,0.000957899,100,2.81973,0.691512,81770.6173763,1140.78,2559.68,1904.03,974.939,500
1.0,67364.3068287,781.992770747,627.219,0.01,781.992770747,500.0,0.01,100.0,1.0,0.5,84.45,2,781.992770747,3.50449e-18,100,1.0,0.01,67364.3068287,781.993,258.245,,1.0,500
1.0,78013.548519,779.311699001,665.035,0.005,779.311699001,500.0,0.005,200.000000102,1.0,0.5,84.32,2,779.311699001,2.1793e-19,100,1.0,0.005,78013.548519,780.652,268.261,,1.0,500
1.0,77183.3580968,776.984127933,685.028,0.00333333,776.984127933,500.0,0.00333333,299.999969474,1.0,0.5,83.94,2,776.984127933,5.43914e-20,100,1.0,0.00333333,77183.3580968,779.43,271.015,,1.0,500
1.0,58962.4802438,791.54924076,696.014,0.0025,791.54924076,500.0,0.0025,400.0,1.0,0.5,85.51,2,791.54924076,5.4346e-20,100,1.0,0.0025,58962.4802438,782.459,264.022,,1.0,500
6.27445,81905.3238056,814.029584496,831.217,4.05489e-12,814.029584496,79.6882072433,0.002,45.226573494,2.55557e-09,0.5,88.15,1,814.029584496,4.03024e-05,100,1.26048,0.0796977,81905.3238056,1024.89,1128.23,16.0083,50.2289,500
1.0,82639.7862055,870.803546234,703.134,0.01,870.803546234,500.0,0.01,100.0,1.0,0.5,94.12,2,870.803546234,3.50449e-18,100,1.0,0.01,82639.7862055,870.803,286.03,,1.0,500
1.0,88273.3535716,827.352106938,729.455,0.005,827.352106938,500.0,0.005,200.000000102,1.0,0.5,89.53,2,827.352106938,2.1793e-19,100,1.0,0.005,88273.3535716,849.078,291.674,,1.0,500
1.0,72919.929804,855.363822586,753.502,0.00333333,855.363822586,500.0,0.00333333,299.999969474,1.0,0.5,92.39,2,855.363822586,5.43914e-20,100,1.0,0.00333333,72919.929804,851.173,284.233,,1.0,500
1.0,84068.8672378,829.255350456,761.108,0.0025,829.255350456,500.0,0.0025,400.0,1.0,0.5,89.54,2,829.255350456,5.4346e-20,100,1.0,0.0025,84068.8672378,845.694,285.462,,1.0,500
2.66307,87997.9776745,877.05092833,804.957,7.01235e-07,877.05092833,187.753184321,0.002,179.553258286,0.000358844,0.5,94.83,1,877.05092833,7.15306e-06,100,1.02346,0.0191701,87997.9776745,947.575,535.079,1.87316,9.80995,500
1.0,81846.5576728,877.529729482,731.726,0.01,877.529729482,500.0,0.01,100.0,1.0,0.5,94.92,2,877.529729482,3.50449e-18,100,1.0,0.01,81846.5576728,877.53,284.654,,1.0,500
1.0,86394.1486391,903.069206155,763.226,0.005,903.069206155,500.0,0.005,200.000000102,1.0,0.5,97.77,2,903.069206155,2.1793e-19,100,1.0,0.005,86394.1486391,890.299,288.864,,1.0,500
1.0,87926.2063138,869.054265686,779.462,0.00333333,869.054265686,500.0,0.00333333,299.999969474,1.0,0.5,93.96,2,869.054265686,5.43914e-20,100,1.0,0.00333333,87926.2063138,883.218,291.108,,1.0,500
1.0,78429.9602988,853.302578165,785.884,0.0025,853.302578165,500.0,0.0025,400.0,1.0,0.5,92.21,2,853.302578165,5.4346e-20,100,1.0,0.0025,78429.9602988,875.739,288.335,,1.0,500
20.2998,75574.886793,897.192964449,1054.98,7.44881e-12,897.192964449,24.630801995,0.002,2.45685669311,9.0171e-09,0.5,97.11,1,897.192964449,0.000811672,100,2.42108,0.634193,75574.886793,1417.09,3115.19,1189.43,767.718,500
1.0,112413.120378,885.342817248,717.041,0.01,885.342817248,500.0,0.01,100.0,1.0,0.5,95.67,2,885.342817248,3.50449e-18,100,1.0,0.01,112413.120378,885.343,333.6,,1.0,500
1.0,122610.427507,972.808076348,788.341,0.005,972.808076348,500.0,0.005,200.000000102,1.0,0.5,105.21,2,972.808076348,2.1793e-19,100,1.0,0.005,122610.427507,929.075,343.874,,1.0,500
1.0,97562.3427137,971.666556899,828.363,0.00333333,971.666556899,500.0,0.00333333,299.999969474,1.0,0.5,105.05,2,971.666556899,5.43914e-20,100,1.0,0.00333333,97562.3427137,943.273,333.814,,1.0,500
1.0,83250.0981522,898.221409123,832.495,0.0025,898.221409123,500.0,0.0025,400.0,1.0,0.5,97.26,2,898.221409123,5.4346e-20,100,1.0,0.0025,83250.0981522,932.01,323.355,,1.0,500
12.5359,90303.9958337,909.608630881,1035.03,1.10916e-11,909.608630881,39.8853879355,0.002,4.98628034814,8.92995e-09,0.5,98.44,1,909.608630881,0.000397897,100,1.61022,0.441928,90303.9958337,1350.18,3929.47,257.917,355.801,500
1.0,88406.1279178,1009.98344966,810.102,0.01,1009.98344966,500.0,0.01,100.0,1.0,0.5,109.31,2,1009.98344966,3.50449e-18,100,1.0,0.01,88406.1279178,1009.98,295.841,,1.0,500
1.0,88033.4184559,901.91120979,814.61,0.005,901.91120979,500.0,0.005,200.000000102,1.0,0.5,97.6,2,901.91120979,2.1793e-19,100,1.0,0.005,88033.4184559,955.947,300.429,,1.0,500
1.0,96122.4243113,970.442814685,845.377,0.00333333,970.442814685,500.0,0.00333333,299.999969474,1.0,0.5,104.93,2,970.442814685,5.43914e-20,100,1.0,0.00333333,96122.4243113,960.779,303.214,,1.0,500
1.0,78863.4328391,903.156800636,845.002,0.0025,903.156800636,500.0,0.0025,400.0,1.0,0.5,97.58,2,903.156800636,5.4346e-20,100,1.0,0.0025,78863.4328391,946.374,298.488,,1.0,500
7.20478,93538.9742202,907.753135797,940.533,4.42807e-10,907.753135797,69.3983660633,0.002,34.5212111505,2.55906e-07,0.5,98.13,1,907.753135797,5.40435e-05,100,1.15583,0.103237,93538.9742202,1183.91,1643.41,18.0499,59.6625,500
1.0,96102.4657887,967.203081539,802.555,0.01,967.203081539,500.0,0.01,100.0,1.0,0.5,104.75,2,967.203081539,3.50449e-18,100,1.0,0.01,96102.4657887,967.203,308.45,,1.0,500
1.0,99857.0811125,890.492935677,802.394,0.005,890.492935677,500.0,0.005,200.000000102,1.0,0.5,96.44,2,890.492935677,2.1793e-19,100,1.0,0.005,99857.0811125,928.848,313.801,,1.0,500
1.0,88389.3586776,968.869179927,838.939,0.00333333,968.869179927,500.0,0.00333333,299.999969474,1.0,0.5,105.0,2,968.869179927,5.43914e-20,100,1.0,0.00333333,88389.3586776,942.188,308.499,,1.0,500
1.0,81353.7998776,963.410809328,858.078,0.0025,963.410809328,500.0,0.0025,400.0,1.0,0.5,104.44,2,963.410809328,5.4346e-20,100,1.0,0.0025,81353.7998776,947.494,302.652,,1.0,500
5.02127,90139.6542706,948.670753084,1019.73,7.6148e-06,948.670753084,99.5763965301,0.002,4.05167575815,0.00714117,0.5,102.86,1,948.670753084,0.000490604,100,1.8756,0.49552,90139.6542706,1200.95,2276.21,431.473,464.7,500
1.0,86560.5249297,1009.80559311,829.527,0.01,1009.80559311,500.0,0.01,100.0,1.0,0.5,109.24,2,1009.80559311,3.50449e-18,100,1.0,0.01,86560.5249297,1009.81,292.737,,1.0,500
1.0,85320.7992594,917.052073193,819.527,0.005,917.052073193,500.0,0.005,200.000000102,1.0,0.5,99.4,2,917.052073193,2.1793e-19,100,1.0,0.005,85320.7992594,963.429,295.351,,1.0,500
1.0,98081.0385471,915.739350636,830.037,0.00333333,915.739350636,500.0,0.00333333,299.999969474,1.0,0.5,99.04,2,915.739350636,5.43914e-20,100,1.0,0.00333333,98081.0385471,947.532,301.707,,1.0,500
1.0,95110.9191347,958.72283054,847.629,0.0025,958.72283054,500.0,0.0025,400.0,1.0,0.5,103.75,2,958.72283054,5.4346e-20,100,1.0,0.0025,95110.9191347,950.33,303.041,,1.0,500
14.433,99196.6959629,958.953940135,1377.43,2.21527e-08,958.953940135,34.6428653788,0.002,2.11929886154,3.16065e-05,0.5,103.84,1,958.953940135,0.000941592,100,2.85351,0.686006,99196.6959629,1726.41,5063.31,1916.73,978.763,500
1.0,112858.071904,1061.86198615,858.741,0.01,1061.86198615,500.0,0.01,100.0,1.0,0.5,115.06,2,1061.86198615,3.50449e-18,100,1.0,0.01,112858.071904,1061.86,334.26,,1.0,500
1.0,91359.2440753,951.874587246,863.24,0.005,951.874587246,500.0,0.005,200.000000102,1.0,0.5,103.08,2,951.874587246,2.1793e-19,100,1.0,0.005,91359.2440753,1006.87,322.664,,1.0,500
1.0,126958.052063,1001.20112805,857.53,0.00333333,1001.20112805,500.0,0.00333333,299.999969474,1.0,0.5,108.36,2,1001.20112805,5.43914e-20,100,1.0,0.00333333,126958.052063,1004.98,333.633,,1.0,500
1.0,89746.5658451,915.132801386,854.823,0.0025,915.132801386,500.0,0.0025,400.0,1.0,0.5,99.04,2,915.132801386,5.4346e-20,100,1.0,0.0025,89746.5658451,982.518,327.428,,1.0,500
8.14977,81878.7513682,898.68269553,1080.47,9.83948e-08,898.68269553,61.3513903786,0.002,2.60834945281,0.000132661,0.5,97.26,1,898.68269553,0.000764298,100,2.69651,0.618102,81878.7513682,1406.52,3278.0,1389.34,833.359,500
1.0,90926.4605785,1067.90747591,872.466,0.01,1067.90747591,500.0,0.01,100.0,1.0,0.5,115.61,2,1067.90747591,3.50449e-18,100,1.0,0.01,90926.4605785,1067.91,300.029,,1.0,500
1.0,118046.944133,987.502809007,881.726,0.005,987.502809007,500.0,0.005,200.000000102,1.0,0.5,106.72,2,987.502809007,2.1793e-19,100,1.0,0.005,118046.944133,1027.71,324.127,,1.0,500
1.0,92963.6187965,959.026833306,885.621,0.00333333,959.026833306,500.0,0.00333333,299.999969474,1.0,0.5,103.86,2,959.026833306,5.43914e-20,100,1.0,0.00333333,92963.6187965,1004.81,319.006,,1.0,500
1.0,88053.369623,931.582598007,883.282,0.0025,931.582598007,500.0,0.0025,400.0,1.0,0.5,101.0,2,931.582598007,5.4346e-20,100,1.0,0.0025,88053.369623,986.505,314.837,,1.0,500
4.96358,91586.5776682,904.345523727,1019.45,2.64411e-07,904.345523727,100.733838698,0.002,12.4328945872,0.000164357,0.5,97.85,1,904.345523727,0.000157178,100,1.24319,0.276315,91586.5776682,1225.14,2918.6,60.7304,171.756,500
1.0,96968.5194938,959.207766878,779.098,0.01,959.207766878,500.0,0.01,100.0,1.0,0.5,103.86,2,959.207766878,3.50449e-18,100,1.0,0.01,96968.5194938,959.208,309.837,,1.0,500
1.0,90647.6066188,985.02986787,844.762,0.005,985.02986787,500.0,0.005,200.000000102,1.0,0.5,106.73,2,985.02986787,2.1793e-19,100,1.0,0.005,90647.6066188,972.119,305.019,,1.0,500
1.0,81688.7120184,934.56364708,855.614,0.00333333,934.56364708,500.0,0.00333333,299.999969474,1.0,0.5,101.32,2,934.56364708,5.43914e-20,100,1.0,0.00333333,81688.7120184,959.6,298.823,,1.0,500
1.0,65030.8981715,996.591589826,878.794,0.0025,996.591589826,500.0,0.0025,400.0,1.0,0.5,107.77,2,996.591589826,5.4346e-20,100,1.0,0.0025,65030.8981715,968.848,288.657,,1.0,500
5.77014,125689.120306,965.941574304,982.31,3.58602e-06,965.941574304,86.6530577098,0.002,9.86407935463,0.00264019,0.5,104.66,1,965.941574304,0.000199154,100,1.47249,0.313234,125689.120306,1204.24,2717.18,107.953,230.618,500
1.0,132485.182725,993.985937986,787.482,0.01,993.985937986,500.0,0.01,100.0,1.0,0.5,107.76,2,993.985937986,3.50449e-18,100,1.0,0.01,132485.182725,993.986,362.161,,1.0,500
1.0,96042.9099758,969.479550305,835.713,0.005,969.479550305,500.0,0.005,200.000000102,1.0,0.5,104.89,2,969.479550305,2.1793e-19,100,1.0,0.005,96042.9099758,981.733,336.558,,1.0,500
1.0,76408.8322801,972.101836497,859.298,0.00333333,972.101836497,500.0,0.00333333,299.999969474,1.0,0.5,105.32,2,972.101836497,5.43914e-20,100,1.0,0.00333333,76408.8322801,978.522,317.411,,1.0,500
1.0,90337.2324982,987.083425096,877.411,0.0025,987.083425096,500.0,0.0025,400.0,1.0,0.5,106.92,2,987.083425096,5.4346e-20,100,1.0,0.0025,90337.2324982,980.663,312.945,,1.0,500
7.39278,76414.8183788,1007.46548968,1021.51,5.55425e-08,1007.46548968,67.6335139407,0.002,3.59001160097,5.46654e-05,0.5,109.23,1,1007.46548968,0.000554211,100,1.96842,0.525268,76414.8183788,1272.61,2339.31,536.846,516.974,500
1.0,81224.5456863,970.922396066,792.314,0.01,970.922396066,500.0,0.01,100.0,1.0,0.5,105.15,2,970.922396066,3.50449e-18,100,1.0,0.01,81224.5456863,970.922,283.571,,1.0,500
1.0,106452.284967,1013.57311701,854.05,0.005,1013.57311701,500.0,0.005,200.000000102,1.0,0.5,109.84,2,1013.57311701,2.1793e-19,100,1.0,0.005,106452.284967,992.248,305.54,,1.0,500
1.0,86451.9041322,956.997825268,867.66,0.00333333,956.997825268,500.0,0.00333333,299.999969474,1.0,0.5,103.7,2,956.997825268,5.43914e-20,100,1.0,0.00333333,86451.9041322,980.498,301.731,,1.0,500
1.0,104064.979939,973.124112851,880.934,0.0025,973.124112851,500.0,0.0025,400.0,1.0,0.5,105.53,2,973.124112851,5.4346e-20,100,1.0,0.0025,104064.979939,978.654,306.672,,1.0,500
5.20546,92240.1464254,1006.88353875,1114.5,1.74041e-05,1006.88353875,96.0529188032,0.002,2.6358361479,0.0240632,0.5,109.05,1,1006.88353875,0.000756285,100,2.76524,0.615265,92240.1464254,1332.63,2520.94,1445.74,850.676,500
1.0,89661.9816001,954.35916199,783.768,0.01,954.35916199,500.0,0.01,100.0,1.0,0.5,103.24,2,954.35916199,3.50449e-18,100,1.0,0.01,89661.9816001,954.359,297.935,,1.0,500
1.0,98389.8302281,1045.92271346,875.279,0.005,1045.92271346,500.0,0.005,200.000000102,1.0,0.5,113.46,2,1045.92271346,2.1793e-19,100,1.0,0.005,98389.8302281,1000.14,308.515,,1.0,500
1.0,94439.4316089,1021.72690931,888.854,0.00333333,1021.72690931,500.0,0.00333333,299.999969474,1.0,0.5,110.54,2,1021.72690931,5.43914e-20,100,1.0,0.00333333,94439.4316089,1007.34,307.771,,1.0,500
1.0,108383.571157,977.453030542,897.256,0.0025,977.453030542,500.0,0.0025,400.0,1.0,0.5,105.87,2,977.453030542,5.4346e-20,100,1.0,0.0025,108383.571157,999.865,313.105,,1.0,500
5.94208,88598.444834,1013.68851208,1149.25,2.80564e-06,1013.68851208,84.1456525089,0.002,3.48804468405,0.0025665,0.5,109.71,1,1013.68851208,0.000570528,100,1.82953,0.534133,88598.444834,1372.97,3345.55,477.416,488.607,500
1.0,85139.3595278,1000.49103647,833.693,0.01,1000.49103647,500.0,0.01,100.0,1.0,0.5,108.4,2,1000.49103647,3.50449e-18,100,1.0,0.01,85139.3595278,1000.49,290.324,,1.0,500
