Delta,AvgDiscRet,eRenyi2,MinVanillaIw,VarNormIw,VarVanillaIw,VarRet,VanillaAvgRet,VarDiscRet,AvgEpLen,ESSRenyi,AvgNormIw,AvgVanillaIw,Bound,MaxNormIw,AvgRet,J,EpsThisIter,BatchSize,IterType,MaxVanillaIw,ESSClassic,VarJ,MinNormIw
1.0,-9.368546241313569,1.0,1.0,5.434597e-20,,88.06822132676821,-9.368546241313569,88.06822132676821,200.0,500.0,0.0024999997,1.0,-10.386867,0.0025,-9.368546241313569,-10.386867,100,500,2,1.0,400.0,9.3456745,0.0025
1.0,-10.09286196869726,2941.4534,,0.002,0.10683781,81.9736784439255,-10.09286196869726,81.9736784439255,200.0,0.16998399677030407,0.002,0.014617647,-0.10919325,1.0,-10.09286196869726,-0.10919325,100,500,1,7.3088236,1.0,,
1.0,-9.931655505269323,1.0,1.0,3.5044917e-18,,95.58215155751915,-9.931655505269323,95.58215155751915,200.0,500.0,0.009999998,1.0,-9.931655,0.01,-9.931655505269323,-9.931655,100,500,2,1.0,100.0,9.727607,0.01
1.0,-11.225280896837667,1.0,1.0,2.179301e-19,,93.78636931842681,-11.225280896837667,93.78636931842681,200.0,500.0,0.0049999994,1.0,-10.578468,0.005,-11.225280896837667,-10.578468,100,500,2,1.0,200.00000010221265,9.703391,0.005
1.0,-11.396746779312535,1.0,1.0,5.4391416e-20,,83.00922058165516,-11.396746779312535,83.00922058165516,200.0,500.0,0.0033333336,1.0,-10.851228,0.0033333334,-11.396746779312535,-10.851228,100,500,2,1.0,299.999969473632,9.503282,0.0033333334
1.0,-8.713512575359745,1.0,1.0,5.434597e-20,,76.21017092548476,-8.713512575359745,76.21017092548476,200.0,500.0,0.0024999997,1.0,-10.316799,0.0025,-8.713512575359745,-10.316799,100,500,2,1.0,400.0,9.351638,0.0025
1.0,-9.805855079369433,1973.0626,,0.0009979958,31075.6,78.67250844413071,-9.805855079369433,78.67250844413071,200.0,0.2534131427999764,0.002,11.160287,-1.0434102,0.5,-9.805855079369433,-1.0434102,100,500,1,2790.0718,2.0000000236154287,16.126875,
1.0,-10.834652383782164,1.0,1.0,3.5044917e-18,,77.2879007380276,-10.834652383782164,77.2879007380276,200.0,500.0,0.009999998,1.0,-10.834652,0.01,-10.834652383782164,-10.834652,100,500,2,1.0,100.0,8.747287,0.01
1.0,-11.436354498548653,1.0,1.0,2.179301e-19,,100.73431733989423,-11.436354498548653,100.73431733989423,200.0,500.0,0.0049999994,1.0,-11.135504,0.005,-11.436354498548653,-11.135504,100,500,2,1.0,200.00000010221265,9.392097,0.005
1.0,-9.989154588018918,1.0,1.0,5.4391416e-20,,82.09783065903413,-9.989154588018918,82.09783065903413,200.0,500.0,0.0033333336,1.0,-10.7533865,0.0033333334,-9.989154588018918,-10.7533865,100,500,2,1.0,299.999969473632,9.283963,0.0033333334
1.0,-8.240272462462197,1.0,1.0,5.434597e-20,,69.3311537087503,-8.240272462462197,69.3311537087503,200.0,500.0,0.0024999997,1.0,-10.125109,0.0025,-8.240272462462197,-10.125109,100,500,2,1.0,400.0,9.1097555,0.0025
1.0,-9.135582584456373,1.0,1.0,5.431875e-20,,73.47623256365004,-9.135582584456373,73.47623256365004,200.0,500.0,0.0020000003,1.0,-9.927203,0.002,-9.135582584456373,-9.927203,100,500,1,1.0,500.00000664260017,9.0052805,0.002
1.0,-10.439006897906184,1.0,1.0,3.5044917e-18,,81.24979395971727,-10.439006897906184,81.24979395971727,200.0,500.0,0.009999998,1.0,-10.439007,0.01,-10.439006897906184,-10.439007,100,500,2,1.0,100.0,8.968684,0.01
1.0,-10.496161954468652,1.0,1.0,2.179301e-19,,83.361068603151,-10.496161954468652,83.361068603151,200.0,500.0,0.0049999994,1.0,-10.467585,0.005,-10.496161954468652,-10.467585,100,500,2,1.0,200.00000010221265,9.026804,0.005
1.0,-10.487214096601555,1.0,1.0,5.4391416e-20,,84.40802954854529,-10.487214096601555,84.40802954854529,200.0,500.0,0.0033333336,1.0,-10.474128,0.0033333334,-10.487214096601555,-10.474128,100,500,2,1.0,299.999969473632,9.0651455,0.0033333334
1.0,-11.005388316564401,1.0,1.0,5.434597e-20,,83.94538148603152,-11.005388316564401,83.94538148603152,200.0,500.0,0.0024999997,1.0,-10.606943,0.0025,-11.005388316564401,-10.606943,100,500,2,1.0,400.0,9.080862,0.0025
1.0,-10.102945581891252,1.0,1.0,5.431875e-20,,93.41885104392719,-10.102945581891252,93.41885104392719,200.0,500.0,0.0020000003,1.0,-10.506145,0.002,-10.102945581891252,-10.506145,100,500,1,1.0,500.00000664260017,9.192781,0.002
1.0,-10.268838399349859,1.0,1.0,3.5044917e-18,,87.83649175764896,-10.268838399349859,87.83649175764896,200.0,500.0,0.009999998,1.0,-10.268837,0.01,-10.268838399349859,-10.268837,100,500,2,1.0,100.0,9.325134,0.01
1.0,-9.93856584980823,1.0,1.0,2.179301e-19,,89.7519921002956,-9.93856584980823,89.7519921002956,200.0,500.0,0.0049999994,1.0,-10.103703,0.005,-9.93856584980823,-10.103703,100,500,2,1.0,200.00000010221265,9.37729,0.005
1.0,-10.712225665508177,1.0,1.0,5.4391416e-20,,77.89017222501407,-10.712225665508177,77.89017222501407,200.0,500.0,0.0033333336,1.0,-10.306544,0.0033333334,-10.712225665508177,-10.306544,100,500,2,1.0,299.999969473632,9.187406,0.0033333334
1.0,-9.316685085664727,1.0,1.0,5.434597e-20,,69.38122194935099,-9.316685085664727,69.38122194935099,200.0,500.0,0.0024999997,1.0,-10.059078,0.0025,-9.316685085664727,-10.059078,100,500,2,1.0,400.0,8.981196,0.0025
1.0,-10.223374664291184,1.0,1.0,5.431875e-20,,83.80922942972413,-10.223374664291184,83.80922942972413,200.0,500.0,0.0020000003,1.0,-10.091939,0.002,-10.223374664291184,-10.091939,100,500,1,1.0,500.00000664260017,9.007112,0.002
1.0,-10.086663485092027,1.0,1.0,3.5044917e-18,,92.31078731701948,-10.086663485092027,92.31078731701948,200.0,500.0,0.009999998,1.0,-10.086663,0.01,-10.086663485092027,-10.086663,100,500,2,1.0,100.0,9.5596895,0.01
1.0,-10.719963956775437,1.0,1.0,2.179301e-19,,89.89037030556091,-10.719963956775437,89.89037030556091,200.0,500.0,0.0049999994,1.0,-10.403314,0.005,-10.719963956775437,-10.403314,100,500,2,1.0,200.00000010221265,9.502096,0.005
1.0,-9.995199601147505,1.0,1.0,5.4391416e-20,,80.9039594836383,-9.995199601147505,80.9039594836383,200.0,500.0,0.0033333336,1.0,-10.267276,0.0033333334,-9.995199601147505,-10.267276,100,500,2,1.0,299.999969473632,9.323548,0.0033333334
1.0,-10.92939171629772,1.0,1.0,5.434597e-20,,89.21422744979114,-10.92939171629772,89.21422744979114,200.0,500.0,0.0024999997,1.0,-10.432804,0.0025,-10.92939171629772,-10.432804,100,500,2,1.0,400.0,9.346611,0.0025
1.0,-10.665508129960234,1.0,1.0,5.431875e-20,,82.54724471082824,-10.665508129960234,82.54724471082824,200.0,500.0,0.0020000003,1.0,-10.479345,0.002,-10.665508129960234,-10.479345,100,500,1,1.0,500.00000664260017,9.286568,0.002
1.0,-9.440213836346508,1.0,1.0,3.5044917e-18,,74.11257421848534,-9.440213836346508,74.11257421848534,200.0,500.0,0.009999998,1.0,-9.440213,0.01,-9.440213836346508,-9.440213,100,500,2,1.0,100.0,8.565713,0.01
1.0,-9.797152985761151,1.0,1.0,2.179301e-19,,82.44325755642708,-9.797152985761151,82.44325755642708,200.0,500.0,0.0049999994,1.0,-9.618683,0.005,-9.797152985761151,-9.618683,100,500,2,1.0,200.00000010221265,8.804941,0.005
1.0,-7.886857990415809,1.0,1.0,5.4391416e-20,,66.73418862988376,-7.886857990415809,66.73418862988376,200.0,500.0,0.0033333336,1.0,-9.0414095,0.0033333334,-7.886857990415809,-9.0414095,100,500,2,1.0,299.999969473632,8.624003,0.0033333334
1.0,-9.646311271063366,1.0,1.0,5.434597e-20,,79.50979535493519,-9.646311271063366,79.50979535493519,200.0,500.0,0.0024999997,1.0,-9.192634,0.0025,-9.646311271063366,-9.192634,100,500,2,1.0,400.0,8.690648,0.0025
1.0,-10.42890341576923,1.0,1.0,5.431875e-20,,91.61166952684727,-10.42890341576923,91.61166952684727,200.0,500.0,0.0020000003,1.0,-9.439888,0.002,-10.42890341576923,-9.439888,100,500,1,1.0,500.00000664260017,8.877249,0.002
1.0,-9.84927075805556,1.0,1.0,3.5044917e-18,,81.24839704779276,-9.84927075805556,81.24839704779276,200.0,500.0,0.009999998,1.0,-9.84927,0.01,-9.84927075805556,-9.84927,100,500,2,1.0,100.0,8.968607,0.01
1.0,-9.981308439943568,1.0,1.0,2.179301e-19,,82.0300778305842,-9.981308439943568,82.0300778305842,200.0,500.0,0.0049999994,1.0,-9.915289,0.005,-9.981308439943568,-9.915289,100,500,2,1.0,200.00000010221265,8.990395,0.005
1.0,-8.854922619825452,1.0,1.0,5.4391416e-20,,71.09544871862728,-8.854922619825452,71.09544871862728,200.0,500.0,0.0033333336,1.0,-9.561833,0.0033333334,-8.854922619825452,-9.561833,100,500,2,1.0,299.999969473632,8.808868,0.0033333334
1.0,-10.905240949426345,1.0,1.0,5.434597e-20,,98.19580197414375,-10.905240949426345,98.19580197414375,200.0,500.0,0.0024999997,1.0,-9.897685,0.0025,-10.905240949426345,-9.897685,100,500,2,1.0,400.0,9.101592,0.0025
1.0,-9.800547112438867,1.0,1.0,5.431875e-20,,90.66195751955479,-9.800547112438867,90.66195751955479,200.0,500.0,0.0020000003,1.0,-9.878258,0.002,-9.800547112438867,-9.878258,100,500,1,1.0,500.00000664260017,9.177351,0.002
1.0,-10.628647815225836,1.0,1.0,3.5044917e-18,,88.57292309328065,-10.628647815225836,88.57292309328065,200.0,500.0,0.009999998,1.0,-10.628647,0.01,-10.628647815225836,-10.628647,100,500,2,1.0,100.0,9.364144,0.01
1.0,-8.936146654299845,1.0,1.0,2.179301e-19,,75.7472291974114,-8.936146654299845,75.7472291974114,200.0,500.0,0.0049999994,1.0,-9.782397,0.005,-8.936146654299845,-9.782397,100,500,2,1.0,200.00000010221265,9.0584,0.005
1.0,-10.186027344534045,1.0,1.0,5.4391416e-20,,79.85823108633073,-10.186027344534045,79.85823108633073,200.0,500.0,0.0033333336,1.0,-9.916941,0.0033333334,-10.186027344534045,-9.916941,100,500,2,1.0,299.999969473632,9.005137,0.0033333334
1.0,-10.68349869502996,1.0,1.0,5.434597e-20,,96.91289216209255,-10.68349869502996,96.91289216209255,200.0,500.0,0.0024999997,1.0,-10.10858,0.0025,-10.68349869502996,-10.10858,100,500,2,1.0,400.0,9.21496,0.0025
1.0,-10.43253827941972,1.0,1.0,5.431875e-20,,80.44405047924175,-10.43253827941972,80.44405047924175,200.0,500.0,0.0020000003,1.0,-10.173373,0.002,-10.43253827941972,-10.173373,100,500,1,1.0,500.00000664260017,9.158444,0.002
1.0,-9.707916766209697,1.0,1.0,3.5044917e-18,,87.1209725432305,-9.707916766209697,87.1209725432305,200.0,500.0,0.009999998,1.0,-9.707917,0.01,-9.707916766209697,-9.707917,100,500,2,1.0,100.0,9.287075,0.01
1.0,-9.277374932241624,1.0,1.0,2.179301e-19,,78.26826206024613,-9.277374932241624,78.26826206024613,200.0,500.0,0.0049999994,1.0,-9.492645,0.005,-9.277374932241624,-9.492645,100,500,2,1.0,200.00000010221265,9.050636,0.005
1.0,-10.279075606991372,1.0,1.0,5.4391416e-20,,83.55084042633642,-10.279075606991372,83.55084042633642,200.0,500.0,0.0033333336,1.0,-9.754789,0.0033333334,-10.279075606991372,-9.754789,100,500,2,1.0,299.999969473632,9.072957,0.0033333334
1.0,-9.446523136363817,1.0,1.0,5.434597e-20,,74.13970687733814,-9.446523136363817,74.13970687733814,200.0,500.0,0.0024999997,1.0,-9.677722,0.0025,-9.446523136363817,-9.677722,100,500,2,1.0,400.0,8.9502125,0.0025
1.0,-9.574581267679138,1.0,1.0,5.431875e-20,,69.12958511200355,-9.574581267679138,69.12958511200355,200.0,500.0,0.0020000003,1.0,-9.657095,0.002,-9.574581267679138,-9.657095,100,500,1,1.0,500.00000664260017,8.818981,0.002
1.0,-10.493656178274659,1.0,1.0,3.5044917e-18,,91.66772487204805,-10.493656178274659,91.66772487204805,200.0,500.0,0.009999998,1.0,-10.493657,0.01,-10.493656178274659,-10.493657,100,500,2,1.0,100.0,9.526334,0.01
1.0,-9.386555010330083,1.0,1.0,2.179301e-19,,78.35884671520584,-9.386555010330083,78.35884671520584,200.0,500.0,0.0049999994,1.0,-9.940105,0.005,-9.386555010330083,-9.940105,100,500,2,1.0,200.00000010221265,9.190733,0.005
1.0,-9.792075617492833,1.0,1.0,5.4391416e-20,,74.49540224629358,-9.792075617492833,74.49540224629358,200.0,500.0,0.0033333336,1.0,-9.890762,0.0033333334,-9.792075617492833,-9.890762,100,500,2,1.0,299.999969473632,8.99452,0.0033333334
1.0,-10.098264796315794,1.0,1.0,5.434597e-20,,74.75635132141156,-10.098264796315794,74.75635132141156,200.0,500.0,0.0024999997,1.0,-9.942638,0.0025,-10.098264796315794,-9.942638,100,500,2,1.0,400.0,8.898669,0.0025
1.0,-10.960337849551916,1.0,1.0,5.431875e-20,,99.29759068838571,-10.960337849551916,99.29759068838571,200.0,500.0,0.0020000003,1.0,-10.146178,0.002,-10.960337849551916,-10.146178,100,500,1,1.0,500.00000664260017,9.120071,0.002
1.0,-10.256219690831932,1.0,1.0,3.5044917e-18,,73.94453961806327,-10.256219690831932,73.94453961806327,200.0,500.0,0.009999998,1.0,-10.25622,0.01,-10.256219690831932,-10.25622,100,500,2,1.0,100.0,8.555998,0.01
1.0,-8.886071384227755,1.0,1.0,2.179301e-19,,76.10722009052682,-8.886071384227755,76.10722009052682,200.0,500.0,0.0049999994,1.0,-9.571145,0.005,-8.886071384227755,-9.571145,100,500,2,1.0,200.00000010221265,8.645516,0.005
1.0,-10.284152758352095,1.0,1.0,5.4391416e-20,,83.82098454526617,-10.284152758352095,83.82098454526617,200.0,500.0,0.0033333336,1.0,-9.808815,0.0033333334,-10.284152758352095,-9.808815,100,500,2,1.0,299.999969473632,8.809305,0.0033333334
1.0,-9.09645037031574,1.0,1.0,5.434597e-20,,80.70351576073872,-9.09645037031574,80.70351576073872,200.0,500.0,0.0024999997,1.0,-9.630723,0.0025,-9.09645037031574,-9.630723,100,500,2,1.0,400.0,8.847156,0.0025
1.0,-10.187265674664161,1.0,1.0,5.431875e-20,,89.39731007910939,-10.187265674664161,89.39731007910939,200.0,500.0,0.0020000003,1.0,-9.742032,0.002,-10.187265674664161,-9.742032,100,500,1,1.0,500.00000664260017,8.964817,0.002
1.0,-11.470211374907679,1.0,1.0,3.5044917e-18,,77.30929190816182,-11.470211374907679,77.30929190816182,200.0,500.0,0.009999998,1.0,-11.470212,0.01,-11.470211374907679,-11.470212,100,500,2,1.0,100.0,8.748497,0.01
1.0,-10.06660553158736,1.0,1.0,2.179301e-19,,98.31463633065262,-10.06660553158736,98.31463633065262,200.0,500.0,0.0049999994,1.0,-10.768408,0.005,-10.06660553158736,-10.768408,100,500,2,1.0,200.00000010221265,9.350207,0.005
1.0,-8.670959181991888,1.0,1.0,5.4391416e-20,,70.98332169111373,-8.670959181991888,70.98332169111373,200.0,500.0,0.0033333336,1.0,-10.069259,0.0033333334,-8.670959181991888,-10.069259,100,500,2,1.0,299.999969473632,9.0932045,0.0033333334
1.0,-10.758115781271277,1.0,1.0,5.434597e-20,,102.27490637435098,-10.758115781271277,102.27490637435098,200.0,500.0,0.0024999997,1.0,-10.241473,0.0025,-10.758115781271277,-10.241473,100,500,2,1.0,400.0,9.349694,0.0025
1.0,-10.604240151591501,1.0,1.0,5.431875e-20,,81.89027141288453,-10.604240151591501,81.89027141288453,200.0,500.0,0.0020000003,1.0,-10.314027,0.002,-10.604240151591501,-10.314027,100,500,1,1.0,500.00000664260017,9.282713,0.002
1.0,-11.098819304721014,1.0,1.0,3.5044917e-18,,86.40131871680471,-11.098819304721014,86.40131871680471,200.0,500.0,0.009999998,1.0,-11.09882,0.01,-11.098819304721014,-11.09882,100,500,2,1.0,100.0,9.248638,0.01
1.0,-10.434289494274795,1.0,1.0,2.179301e-19,,64.0381044597565,-10.434289494274795,64.0381044597565,200.0,500.0,0.0049999994,1.0,-10.766554,0.005,-10.434289494274795,-10.766554,100,500,2,1.0,200.00000010221265,8.635851,0.005
1.0,-10.906494542097283,1.0,1.0,5.4391416e-20,,79.4937464844604,-10.906494542097283,79.4937464844604,200.0,500.0,0.0033333336,1.0,-10.813201,0.0033333334,-10.906494542097283,-10.813201,100,500,2,1.0,299.999969473632,8.715268,0.0033333334
1.0,-10.575812674304293,1.0,1.0,5.434597e-20,,90.22040968411514,-10.575812674304293,90.22040968411514,200.0,500.0,0.0024999997,1.0,-10.753854,0.0025,-10.575812674304293,-10.753854,100,500,2,1.0,400.0,8.90545,0.0025
1.0,-10.891580378585502,1.0,1.0,5.431875e-20,,90.06718196650137,-10.891580378585502,90.06718196650137,200.0,500.0,0.0020000003,1.0,-10.7814,0.002,-10.891580378585502,-10.7814,100,500,1,1.0,500.00000664260017,9.015652,0.002
1.0,-10.66257169888725,1.0,1.0,3.5044917e-18,,77.68033972925461,-10.66257169888725,77.68033972925461,200.0,500.0,0.009999998,1.0,-10.662572,0.01,-10.66257169888725,-10.662572,100,500,2,1.0,100.0,8.769466,0.01
1.0,-11.711100923846068,1.0,1.0,2.179301e-19,,96.7416173092881,-11.711100923846068,96.7416173092881,200.0,500.0,0.0049999994,1.0,-11.186836,0.005,-11.711100923846068,-11.186836,100,500,2,1.0,200.00000010221265,9.306649,0.005
1.0,-10.88177763456042,1.0,1.0,5.4391416e-20,,79.220153089756,-10.88177763456042,79.220153089756,200.0,500.0,0.0033333336,1.0,-11.085151,0.0033333334,-10.88177763456042,-11.085151,100,500,2,1.0,299.999969473632,9.160011,0.0033333334
1.0,-9.720551454703077,1.0,1.0,5.434597e-20,,70.99225811496444,-9.720551454703077,70.99225811496444,200.0,500.0,0.0024999997,1.0,-10.7439995,0.0025,-9.720551454703077,-10.7439995,100,500,2,1.0,400.0,8.991612,0.0025
1.0,-8.805273064108393,1.0,1.0,5.431875e-20,,75.71796476373211,-8.805273064108393,75.71796476373211,200.0,500.0,0.0020000003,1.0,-10.356256,0.002,-8.805273064108393,-10.356256,100,500,1,1.0,500.00000664260017,8.959511,0.002
1.0,-10.709420018008592,1.0,1.0,3.5044917e-18,,78.31002583209862,-10.709420018008592,78.31002583209862,200.0,500.0,0.009999998,1.0,-10.70942,0.01,-10.709420018008592,-10.70942,100,500,2,1.0,100.0,8.804937,0.01
1.0,-9.493902003885545,1.0,1.0,2.179301e-19,,88.90032157480786,-9.493902003885545,88.90032157480786,200.0,500.0,0.0049999994,1.0,-10.101661,0.005,-9.493902003885545,-10.101661,100,500,2,1.0,200.00000010221265,9.118031,0.005
1.0,-10.445784252212325,1.0,1.0,5.4391416e-20,,81.43783515291221,-10.445784252212325,81.43783515291221,200.0,500.0,0.0033333336,1.0,-10.216369,0.0033333334,-10.445784252212325,-10.216369,100,500,2,1.0,299.999969473632,9.073394,0.0033333334
1.0,-8.892894853827318,1.0,1.0,5.434597e-20,,81.06441465765359,-8.892894853827318,81.06441465765359,200.0,500.0,0.0024999997,1.0,-9.8855,0.0025,-8.892894853827318,-9.8855,100,500,2,1.0,400.0,9.062931,0.0025
1.0,-9.682564765888399,1.0,1.0,5.431875e-20,,80.13550175164056,-9.682564765888399,80.13550175164056,200.0,500.0,0.0020000003,1.0,-9.844914,0.002,-9.682564765888399,-9.844914,100,500,1,1.0,500.00000664260017,9.032319,0.002
1.0,-9.88513221346759,1.0,1.0,3.5044917e-18,,74.03473687484725,-9.88513221346759,74.03473687484725,200.0,500.0,0.009999998,1.0,-9.885133,0.01,-9.88513221346759,-9.885133,100,500,2,1.0,100.0,8.561214,0.01
1.0,-10.271602905996003,1.0,1.0,2.179301e-19,,88.79343882356777,-10.271602905996003,88.79343882356777,200.0,500.0,0.0049999994,1.0,-10.078367,0.005,-10.271602905996003,-10.078367,100,500,2,1.0,200.00000010221265,8.979827,0.005
1.0,-9.596167587894211,1.0,1.0,5.4391416e-20,,79.60632602187248,-9.596167587894211,79.60632602187248,200.0,500.0,0.0033333336,1.0,-9.917634,0.0033333334,-9.596167587894211,-9.917634,100,500,2,1.0,299.999969473632,8.94874,0.0033333334
1.0,-11.471418144745373,1.0,1.0,5.434597e-20,,86.52792146853531,-11.471418144745373,86.52792146853531,200.0,500.0,0.0024999997,1.0,-10.30608,0.0025,-11.471418144745373,-10.30608,100,500,2,1.0,400.0,9.051425,0.0025
1.0,-9.944751704049077,1.0,1.0,5.431875e-20,,90.5316138909326,-9.944751704049077,90.5316138909326,200.0,500.0,0.0020000003,1.0,-10.233814,0.002,-9.944751704049077,-10.233814,100,500,1,1.0,500.00000664260017,9.13722,0.002
