AvgVanillaIw,VarJ,Bound,EpsThisIter,ESSClassic,ESSRenyi,AvgNormIw,MinNormIw,MaxNormIw,MaxVanillaIw,MinVanillaIw,IterType,eRenyi2,AvgRet,AvgEpLen,VarRet,VarDiscRet,AvgDiscRet,VanillaAvgRet,VarVanillaIw,J,VarNormIw,BatchSize
1.0,22.412233,15.644795,100,100.0,500.0,0.009999998,0.01,0.01,1.0,1.0,2,1.0,22.40149508805001,500.0,507.38206369022424,507.38206369022424,22.40149508805001,22.40149508805001,,22.401495,3.5044917e-18,500
1.0,21.296741,16.290573,100,200.00000010221265,500.0,0.0049999994,0.005,0.005,1.0,1.0,2,1.0,21.068280788654945,500.0,455.8303506360902,455.8303506360902,21.068280788654945,21.068280788654945,,21.068281,2.179301e-19,500
1.0,21.330427,16.988754,100,299.999969473632,500.0,0.0033333336,0.0033333334,0.0033333334,1.0,1.0,2,1.0,20.889736247400457,500.0,456.5088509734454,456.5088509734454,20.889736247400457,20.889736247400457,,20.889736,5.4391416e-20,500
1.0,21.809746,18.08832,100,400.0,500.0,0.0024999997,0.0025,0.0025,1.0,1.0,2,1.0,21.466669947867466,500.0,476.8571242025425,476.8571242025425,21.466669947867466,21.466669947867466,,21.46667,5.434597e-20,500
21.654432,41.859844,65.77855,100,1.1022369979883584,44.488097273588544,0.0019999999,1.2922694e-09,0.9524761,10312.664,1.3991679e-05,1,11.238961,21.4344352616598,500.0,474.2009479760624,474.2009479760624,21.4344352616598,21.4344352616598,212666.73,75.90862,0.0018141202,500
1.0,23.878124,24.63784,100,100.0,500.0,0.009999998,0.01,0.01,1.0,1.0,2,1.0,32.42657442204842,500.0,575.9239864870074,575.9239864870074,32.42657442204842,32.42657442204842,,32.426575,3.5044917e-18,500
1.0,22.091404,26.562765,100,200.00000010221265,500.0,0.0049999994,0.005,0.005,1.0,1.0,2,1.0,32.07023381794681,500.0,490.48249970080474,490.48249970080474,32.07023381794681,32.07023381794681,,32.070232,2.179301e-19,500
1.0,22.112814,28.752981,100,299.999969473632,500.0,0.0033333336,0.0033333334,0.0033333334,1.0,1.0,2,1.0,33.24981085847305,500.0,490.61196113827447,490.61196113827447,33.24981085847305,33.24981085847305,,33.24981,5.4391416e-20,500
1.0,22.409262,30.246326,100,400.0,500.0,0.0024999997,0.0025,0.0025,1.0,1.0,2,1.0,34.14069257158352,500.0,503.43368878340345,503.43368878340345,34.14069257158352,34.14069257158352,,34.140694,5.434597e-20,500
8.655872,70.158585,72.13793,100,1.2009130926268048,45.37593258417047,0.0019999996,1.0545255e-09,0.9124641,3949.0862,4.5639185e-06,1,11.019057,33.00580639745727,500.0,521.7884293104427,521.7884293104427,33.00580639745727,33.00580639745727,31182.088,83.70049,0.0016647292,500
1.0,18.845972,43.941868,100,100.0,500.0,0.009999998,0.01,0.01,1.0,1.0,2,1.0,51.44064221958601,500.0,358.7582418089649,358.7582418089649,51.44064221958601,51.44064221958601,,51.44064,3.5044917e-18,500
1.0,20.222282,43.610546,100,200.00000010221265,500.0,0.0049999994,0.005,0.005,1.0,1.0,2,1.0,48.95592351401758,500.0,410.99573404450865,410.99573404450865,48.95592351401758,48.95592351401758,,48.955917,2.179301e-19,500
