Bound,MaxNormIw,VarNormIw,AvgEpLen,VarDiscRet,AvgVanillaIw,MinNormIw,MaxVanillaIw,AvgRet,VarRet,AvgDiscRet,ESSRenyi,VanillaAvgRet,Delta,BatchSize,eRenyi2,EpsThisIter,MinVanillaIw,AvgNormIw,VarVanillaIw,ESSClassic,IterType,J,VarJ
-82.175,0.01,3.50449e-18,98.35,1375.3521752,1.0,0.01,1.0,-68.2705171515,1375.3521752,-68.2705171515,500.0,-68.2705171515,0.9,500,1.0,100,1.0,0.01,,100.0,2,-68.2705,36.8998
-83.685,0.005,2.1793e-19,110.44,6143.5433026,1.0,0.005,1.0,-79.4355349365,6143.5433026,-79.4355349365,500.0,-79.4355349365,0.9,500,1.0,100,1.0,0.005,,200.000000102,2,-73.853,61.2619
-80.3239,0.00333333,5.43914e-20,99.02,2576.11210982,1.0,0.00333333,1.0,-69.1821863751,2576.11210982,-69.1821863751,500.0,-69.1821863751,0.9,500,1.0,100,1.0,0.00333333,,299.999969474,2,-72.2961,57.9394
-84.0103,0.0025,5.4346e-20,124.65,9425.26562763,1.0,0.0025,1.0,-91.3433629625,9425.26562763,-91.3433629625,500.0,-91.3433629625,0.9,500,1.0,100,1.0,0.0025,,400.0,2,-77.0579,70.1321
-78.8148,0.0208254,1.03974e-05,111.4,4913.13766026,1.03664,4.02836e-10,10.7942,-79.7577472225,4913.13766026,-79.7577472225,133.061139288,-79.7577472225,0.9,500,3.75767,100,2.08798e-07,0.002,2.79331,139.115038378,1,-66.7606,39.332
-95.2242,0.01,3.50449e-18,113.15,6096.45047691,1.0,0.01,1.0,-81.3194486672,6096.45047691,-81.3194486672,500.0,-81.3194486672,0.9,500,1.0,100,1.0,0.01,,100.0,2,-81.3194,77.6884
-94.0503,0.005,2.1793e-19,119.84,8351.648126,1.0,0.005,1.0,-87.1168477531,8351.648126,-87.1168477531,500.0,-87.1168477531,0.9,500,1.0,100,1.0,0.005,,200.000000102,2,-84.2181,84.618
-94.0273,0.00333333,5.43914e-20,123.28,8259.85676215,1.0,0.00333333,1.0,-89.5616901644,8259.85676215,-89.5616901644,500.0,-89.5616901644,0.9,500,1.0,100,1.0,0.00333333,,299.999969474,2,-85.9993,86.6347
-89.3153,0.0025,5.4346e-20,101.33,3811.02867284,1.0,0.0025,1.0,-71.4537273882,3811.02867284,-71.4537273882,500.0,-71.4537273882,0.9,500,1.0,100,1.0,0.0025,,400.0,2,-82.3629,81.3147
-82.5793,0.0270043,1.65162e-05,128.6,10478.0921938,0.966334,9.8385e-11,13.0476,-94.7893567693,10478.0921938,-94.7893567693,102.944055311,-94.7893567693,0.9,500,4.85701,100,4.75364e-08,0.002,3.85571,97.6411470281,1,-68.8748,68.2873
-93.9273,0.01,3.50449e-18,111.41,6119.3440016,1.0,0.01,1.0,-80.0226331772,6119.3440016,-80.0226331772,500.0,-80.0226331772,0.9,500,1.0,100,1.0,0.01,,100.0,2,-80.0226,77.8341
-88.4583,0.005,2.1793e-19,107.85,4964.84320706,1.0,0.005,1.0,-77.229845046,4964.84320706,-77.229845046,500.0,-77.229845046,0.9,500,1.0,100,1.0,0.005,,200.000000102,2,-78.6262,74.0852
-85.1929,0.00333333,5.43914e-20,105.13,3777.361683,1.0,0.00333333,1.0,-74.2426768273,3777.361683,-74.2426768273,500.0,-74.2426768273,0.9,500,1.0,100,1.0,0.00333333,,299.999969474,2,-77.1651,70.0705
-82.9669,0.0025,5.4346e-20,102.38,3781.57657871,1.0,0.0025,1.0,-72.5628367165,3781.57657871,-72.5628367165,500.0,-72.5628367165,0.9,500,1.0,100,1.0,0.0025,,400.0,2,-76.0145,67.9877
-77.9304,0.0146028,1.38459e-05,112.2,6094.74539688,0.897286,,6.55146,-80.510585003,6094.74539688,-80.510585003,120.880504247,-80.510585003,0.9,500,4.13632,100,,0.002,2.78691,112.244611683,1,-65.2835,28.5682
-104.888,0.01,3.50449e-18,124.02,9421.84984079,1.0,0.01,1.0,-90.9834772667,9421.84984079,-90.9834772667,500.0,-90.9834772667,0.9,500,1.0,100,1.0,0.01,,100.0,2,-90.9835,96.5797
-99.2666,0.005,2.1793e-19,120.72,8326.13959922,1.0,0.005,1.0,-87.8854891209,8326.13959922,-87.8854891209,500.0,-87.8854891209,0.9,500,1.0,100,1.0,0.005,,200.000000102,2,-89.4345,93.7425
-88.7084,0.00333333,5.43914e-20,92.52,80.9517678889,1.0,0.00333333,1.0,-63.1725479756,80.9517678889,-63.1725479756,500.0,-63.1725479756,0.9,500,1.0,100,1.0,0.00333333,,299.999969474,2,-80.6805,77.7072
-84.5202,0.0025,5.4346e-20,98.41,1360.47548378,1.0,0.0025,1.0,-68.2299003474,1360.47548378,-68.2299003474,500.0,-68.2299003474,0.9,500,1.0,100,1.0,0.0025,,400.0,2,-77.5679,69.9614
-83.329,0.0169588,4.42999e-06,116.44,7239.8874188,0.988417,2.98856e-06,8.38117,-84.3167227764,7239.8874188,-84.3167227764,224.708419901,-84.3167227764,0.9,500,2.22511,100,0.00147697,0.002,1.08199,237.497912901,1,-74.0532,63.5817
-88.8917,0.01,3.50449e-18,105.89,3771.73913739,1.0,0.01,1.0,-74.9869671717,3771.73913739,-74.9869671717,500.0,-74.9869671717,0.9,500,1.0,100,1.0,0.01,,100.0,2,-74.987,61.1066
-85.9298,0.005,2.1793e-19,107.98,4955.2186891,1.0,0.005,1.0,-77.2083988842,4955.2186891,-77.2083988842,500.0,-77.2083988842,0.9,500,1.0,100,1.0,0.005,,200.000000102,2,-76.0977,65.7349
-85.5667,0.00333333,5.43914e-20,111.98,6119.69894653,1.0,0.00333333,1.0,-80.4209931535,6119.69894653,-80.4209931535,500.0,-80.4209931535,0.9,500,1.0,100,1.0,0.00333333,,299.999969474,2,-77.5388,70.0312
-83.1547,0.0025,5.4346e-20,102.28,3794.22862792,1.0,0.0025,1.0,-72.1930565499,3794.22862792,-72.1930565499,500.0,-72.1930565499,0.9,500,1.0,100,1.0,0.0025,,400.0,2,-76.2023,67.9905
-75.4672,0.0123526,9.99443e-06,116.75,7225.42349847,0.894834,1.68232e-24,5.52676,-84.503690654,7225.42349847,-84.503690654,156.287317693,-84.503690654,0.9,500,3.19924,100,7.52698e-22,0.002,2.0007,143.118447928,1,-64.3448,23.9259
-95.3511,0.01,3.50449e-18,113.6,6074.97731688,1.0,0.01,1.0,-81.4463242176,6074.97731688,-81.4463242176,500.0,-81.4463242176,0.9,500,1.0,100,1.0,0.01,,100.0,2,-81.4463,77.5515
-87.241,0.005,2.1793e-19,104.23,3784.98555166,1.0,0.005,1.0,-73.3713828552,3784.98555166,-73.3713828552,500.0,-73.3713828552,0.9,500,1.0,100,1.0,0.005,,200.000000102,2,-77.4089,69.9784
-83.0885,0.00333333,5.43914e-20,100.16,2601.12586665,1.0,0.00333333,1.0,-70.363976931,2601.12586665,-70.363976931,500.0,-70.363976931,0.9,500,1.0,100,1.0,0.00333333,,299.999969474,2,-75.0606,64.2966
-80.9202,0.0025,5.4346e-20,101.34,2597.59448961,1.0,0.0025,1.0,-70.6897489731,2597.59448961,-70.6897489731,500.0,-70.6897489731,0.9,500,1.0,100,1.0,0.0025,,400.0,2,-73.9679,61.213
-79.0373,0.00809476,2.8752e-06,102.78,3789.50644674,0.990364,5.94107e-12,4.00838,-72.7131674033,3789.50644674,-72.7131674033,290.558154041,-72.7131674033,0.9,500,1.72083,100,2.94191e-09,0.002,0.705013,291.144403418,1,-70.88,61.3852
