IterType,MaxNormIw,AvgNormIw,AvgRet,Bound,renyi2,VanillaAvgRet,VarJ,ESSClassic,MinNormIw,VarDiscRet,delta,J,AvgEpLen,MinVanillaIw,ESSRenyi,VarNormIw,EpsThisIter,AvgDiscRet,VarRet,VarVanillaIw,AvgVanillaIw,BatchSize,MaxVanillaIw,SamplesThisIter
1,0.00366107,5.52486e-05,51.8484132521,65.253,nan,51.8484132521,182.65,0.992294047751,8.01827e-26,341.925298912,0.8,13424.0,500.0,4.16699e-21,nan,3.86875e-08,100,51.8484132521,341.925298912,104.485,2.8712,100,190.261,50000
1,0.00188407,5.52486e-05,53.9762645336,64.9533,nan,53.9762645336,137.762,0.853767957368,1.38978e-25,261.14954545,0.8,13226.6,500.0,8.02191e-21,nan,3.39331e-08,100,53.9762645336,261.14954545,113.054,3.18898,100,108.75,50000
1,0.00191172,5.52486e-05,48.7716937568,65.2964,nan,48.7716937568,199.838,0.673232356656,7.87944e-27,480.462683052,0.8,13273.9,500.0,3.68666e-22,nan,3.13441e-08,100,48.7716937568,480.462683052,68.6171,2.58499,100,89.4462,50000
1,0.00212089,5.52486e-05,53.8896612322,65.0167,nan,53.8896612322,194.986,0.887084912861,4.3086e-24,317.783674917,0.8,13153.8,500.0,1.50282e-19,nan,2.25885e-08,100,53.8896612322,317.783674917,27.4807,1.92704,100,73.9755,50000
1,0.00208094,5.52486e-05,54.0013880124,64.6281,nan,54.0013880124,230.156,0.487247754912,2.36928e-33,292.048613138,0.8,13332.5,500.0,1.11965e-28,nan,3.01055e-08,100,54.0013880124,292.048613138,67.232,2.61088,100,98.3386,50000
1,0.00223939,5.52486e-05,58.2111835886,68.7329,nan,58.2111835886,186.524,0.412288760391,2.61772e-31,210.303385837,0.8,14288.2,500.0,1.53599e-26,nan,4.28358e-08,100,58.2111835886,210.303385837,147.482,3.24181,100,131.4,50000
1,0.00202489,5.52486e-05,49.9756838764,63.8935,nan,49.9756838764,172.563,0.565603706148,4.515e-25,391.122580267,0.8,13104.2,500.0,2.13445e-20,nan,3.14773e-08,100,49.9756838764,391.122580267,70.348,2.61185,100,95.7256,50000
1,0.00177685,5.52486e-05,55.6131948764,64.599,nan,55.6131948764,148.667,0.962785654209,1.47632e-26,314.002351321,0.8,12995.2,500.0,5.03661e-22,nan,2.20178e-08,100,55.6131948764,314.002351321,25.6265,1.88486,100,60.6189,50000
1,0.00149296,5.52486e-05,60.7947440708,71.5437,nan,60.7947440708,181.773,0.700756418818,6.92091e-37,305.2833887,0.8,14391.8,500.0,2.27834e-32,nan,1.93483e-08,100,60.7947440708,305.2833887,20.9678,1.81877,100,49.1476,50000
1,0.00198676,5.52486e-05,58.8190621926,71.4492,nan,58.8190621926,168.568,0.761654785803,2.37777e-22,313.892023537,0.8,14579.5,500.0,1.46556e-17,nan,3.18154e-08,100,58.8190621926,313.892023537,120.865,3.40529,100,122.455,50000
