J,AvgDiscRet,MaxNormIw,VarDiscRet,MinNormIw,AvgVanillaIw,MaxVanillaIw,VarVanillaIw,ESSRenyi,AvgNormIw,IterType,Bound,BatchSize,VarNormIw,AvgRet,MinVanillaIw,VarRet,EpsThisIter,ESSClassic,eRenyi2,VarJ,AvgEpLen,VanillaAvgRet,Delta
nan,-68.8972678165,nan,3834.10404595,nan,inf,inf,nan,1.59118157113e+27,nan,,nan,500,nan,-314.616530239,3.59696e+37,22183.815505,100,nan,3.14232e-25,nan,386.94,-314.616530239,1.0
-52.1047,-339.962654546,1.0,19804.8160374,,4.27886e-41,2.13943e-38,,6.65549990919e-08,0.002,1,-52.1047,500,0.002,-339.962654546,,19804.8160374,100,inf,7.51258e+09,,413.0,-339.962654546,1.0
-58.9354,-58.9354444171,0.01,45.0241190639,0.01,1.0,1.0,,500.0,0.01,2,-58.9354,500,3.50449e-18,-58.9354444171,1.0,45.0241190639,100,100.0,1.0,6.67637,86.99,-58.9354444171,1.0
-64.1543,-69.3730487044,0.005,3827.71236962,0.005,1.0,1.0,,500.0,0.005,2,-64.1543,500,2.1793e-19,-69.3730487044,1.0,3827.71236962,100,200.000000102,1.0,44.0935,98.49,-69.3730487044,1.0
-63.1893,-61.2592877442,0.00333333,1346.24534329,0.00333333,1.0,1.0,,500.0,0.00333333,2,-63.1893,500,5.43914e-20,-61.2592877442,1.0,1346.24534329,100,299.999969474,1.0,41.7407,88.66,-61.2592877442,1.0
-64.0524,-66.641953876,0.0025,2588.10894194,0.0025,1.0,1.0,,500.0,0.0025,2,-64.0524,500,5.4346e-20,-66.641953876,1.0,2588.10894194,100,400.0,1.0,44.1532,96.24,-66.641953876,1.0
-40.566,-62.8923944652,1.0,1329.00925591,,1.07391e-07,5.36953e-05,5.76636e-12,1.72449678925e-09,0.002,1,-40.566,500,0.002,-62.8923944652,,1329.00925591,100,1.0,2.8994e+11,5.64302e-09,91.62,-62.8923944652,1.0
-69.564,-69.564017566,0.01,3815.88063096,0.01,1.0,1.0,,500.0,0.01,2,-69.564,500,3.50449e-18,-69.564017566,1.0,3815.88063096,100,100.0,1.0,61.4632,98.88,-69.564017566,1.0
-66.4308,-63.2975165547,0.005,1362.94413183,0.005,1.0,1.0,,500.0,0.005,2,-66.4308,500,2.1793e-19,-63.2975165547,1.0,1362.94413183,100,200.000000102,1.0,50.7281,92.08,-63.2975165547,1.0
-65.1427,-62.5667018768,0.00333333,1356.29915068,0.00333333,1.0,1.0,,500.0,0.00333333,2,-65.1427,500,5.43914e-20,-62.5667018768,1.0,1356.29915068,100,299.999969474,1.0,46.5452,90.58,-62.5667018768,1.0
-64.31,-61.8117270045,0.0025,1348.72549386,0.0025,1.0,1.0,,500.0,0.0025,2,-64.31,500,5.4346e-20,-61.8117270045,1.0,1348.72549386,100,400.0,1.0,44.2801,89.29,-61.8117270045,1.0
-61.0417,-58.8260531674,0.0492925,70.3496167504,0.000155259,1.07599,26.5192,2.20201,,0.002,1,-61.0417,500,7.60784e-06,-58.8260531674,0.083529,70.3496167504,100,172.523422569,inf,27.2753,86.62,-58.8260531674,1.0
-61.8852,-61.885230336,0.01,1341.8639941,0.01,1.0,1.0,,500.0,0.01,2,-61.8852,500,3.50449e-18,-61.885230336,1.0,1341.8639941,100,100.0,1.0,36.4478,89.78,-61.885230336,1.0
-63.9356,-65.9859268484,0.005,2605.28671796,0.005,1.0,1.0,,500.0,0.005,2,-63.9356,500,2.1793e-19,-65.9859268484,1.0,2605.28671796,100,200.000000102,1.0,44.2498,94.77,-65.9859268484,1.0
-65.6806,-69.1706581365,0.00333333,3835.93523908,0.00333333,1.0,1.0,,500.0,0.00333333,2,-65.6806,500,5.43914e-20,-69.1706581365,1.0,3835.93523908,100,299.999969474,1.0,50.7672,98.15,-69.1706581365,1.0
-64.9362,-62.7029462612,0.0025,1351.54870944,0.0025,1.0,1.0,,500.0,0.0025,2,-64.9362,500,5.4346e-20,-62.7029462612,1.0,1351.54870944,100,400.0,1.0,47.6356,90.96,-62.7029462612,1.0
-60.2303,-67.3665014836,0.188944,2598.18145249,2.00666e-35,0.486596,45.9697,9.65192,,0.002,1,-60.2303,500,0.000163056,-67.3665014836,4.88217e-33,2598.18145249,100,11.9954718687,inf,32.7948,96.92,-67.3665014836,1.0
-67.9623,-67.9622862376,0.01,2587.90674353,0.01,1.0,1.0,,500.0,0.01,2,-67.9623,500,3.50449e-18,-67.9622862376,1.0,2587.90674353,100,100.0,1.0,50.6165,97.94,-67.9622862376,1.0
-66.4789,-64.9954753631,0.005,2620.05694972,0.005,1.0,1.0,,500.0,0.005,2,-66.4789,500,2.1793e-19,-64.9954753631,1.0,2620.05694972,100,200.000000102,1.0,50.7951,92.89,-64.9954753631,1.0
-66.2917,-65.917405334,0.00333333,2600.43401456,0.00333333,1.0,1.0,,500.0,0.00333333,2,-66.2917,500,5.43914e-20,-65.917405334,1.0,2600.43401456,100,299.999969474,1.0,50.7771,94.15,-65.917405334,1.0
-64.5275,-59.2349363467,0.0025,55.5029914409,0.0025,1.0,1.0,,500.0,0.0025,2,-64.5275,500,5.4346e-20,-59.2349363467,1.0,55.5029914409,100,400.0,1.0,44.2358,86.6,-59.2349363467,1.0
-63.6081,-66.2920108229,0.013118,2593.59314319,0.00080138,1.00433,6.58739,0.40932,4.55225761843e-20,0.002,1,-63.6081,500,1.62319e-06,-66.2920108229,0.402425,2593.59314319,100,355.875676472,1.09836e+22,37.5425,94.74,-66.2920108229,1.0
-63.7922,-63.7922171184,0.01,1325.12580936,0.01,1.0,1.0,,500.0,0.01,2,-63.7922,500,3.50449e-18,-63.7922171184,1.0,1325.12580936,100,100.0,1.0,36.2198,92.58,-63.7922171184,1.0
-61.5875,-59.3828536494,0.005,59.0200387273,0.005,1.0,1.0,,500.0,0.005,2,-61.5875,500,2.1793e-19,-59.3828536494,1.0,59.0200387273,100,200.000000102,1.0,26.2681,87.38,-59.3828536494,1.0
-63.4035,-67.0355011113,0.00333333,2593.03078497,0.00333333,1.0,1.0,,500.0,0.00333333,2,-63.4035,500,5.43914e-20,-67.0355011113,1.0,2593.03078497,100,299.999969474,1.0,36.3635,96.16,-67.0355011113,1.0
-61.8063,-57.0147338791,0.0025,61.9406143313,0.0025,1.0,1.0,,500.0,0.0025,2,-61.8063,500,5.4346e-20,-57.0147338791,1.0,61.9406143313,100,400.0,1.0,31.8545,83.65,-57.0147338791,1.0
-52.4468,-63.6874034391,0.992354,1331.42849567,,3.07479e-39,1.52564e-36,,0.000560616678346,0.002,1,-52.4468,500,0.00196959,-63.6874034391,,1331.42849567,100,inf,891875.0,0.258673,92.33,-63.6874034391,1.0
-63.5704,-63.5703690115,0.01,1333.68648138,0.01,1.0,1.0,,500.0,0.01,2,-63.5704,500,3.50449e-18,-63.5703690115,1.0,1333.68648138,100,100.0,1.0,36.3366,92.53,-63.5703690115,1.0
-66.6009,-69.631340522,0.005,3835.12348843,0.005,1.0,1.0,,500.0,0.005,2,-66.6009,500,2.1793e-19,-69.631340522,1.0,3835.12348843,100,200.000000102,1.0,50.6729,98.41,-69.631340522,1.0
-67.9767,-70.7283917271,0.00333333,3829.23998707,0.00333333,1.0,1.0,,500.0,0.00333333,2,-67.9767,500,5.43914e-20,-70.7283917271,1.0,3829.23998707,100,299.999969474,1.0,54.5826,100.19,-70.7283917271,1.0
-68.6095,-70.5077753094,0.0025,3837.27282203,0.0025,1.0,1.0,,500.0,0.0025,2,-68.6095,500,5.4346e-20,-70.5077753094,1.0,3837.27282203,100,400.0,1.0,56.4391,99.76,-70.5077753094,1.0
-50.0135,-67.1800475498,1.0,2601.77072404,,3.60624e-41,1.80312e-38,,1.11736780611e-12,0.002,1,-50.0135,500,0.002,-67.1800475498,,2601.77072404,100,inf,4.4748e+14,,96.47,-67.1800475498,1.0
-64.7901,-64.7901332471,0.01,2626.19871317,0.01,1.0,1.0,,500.0,0.01,2,-64.7901,500,3.50449e-18,-64.7901332471,1.0,2626.19871317,100,100.0,1.0,50.9896,92.31,-64.7901332471,1.0
-65.0891,-65.3880346268,0.005,2611.76043614,0.005,1.0,1.0,,500.0,0.005,2,-65.0891,500,2.1793e-19,-65.3880346268,1.0,2611.76043614,100,200.000000102,1.0,50.9203,93.6,-65.3880346268,1.0
-63.2063,-59.4406004851,0.00333333,79.9238593284,0.00333333,1.0,1.0,,500.0,0.00333333,2,-63.2063,500,5.43914e-20,-59.4406004851,1.0,79.9238593284,100,299.999969474,1.0,41.9768,87.21,-59.4406004851,1.0
-63.2073,-63.2105136742,0.0025,1327.01941133,0.0025,1.0,1.0,,500.0,0.0025,2,-63.2073,500,5.4346e-20,-63.2105136742,1.0,1327.01941133,100,400.0,1.0,40.6199,91.67,-63.2105136742,1.0
-40.3621,-66.3319382739,1.0,2594.24642094,,2.64181e-22,1.32091e-19,3.48965e-41,6.22743450187e-05,0.002,1,-40.3621,500,0.002,-66.3319382739,,2594.24642094,100,1.0,8.02899e+06,3.20266e-06,94.46,-66.3319382739,1.0
-64.735,-64.7350132839,0.01,2591.48877666,0.01,1.0,1.0,,500.0,0.01,2,-64.735,500,3.50449e-18,-64.7350132839,1.0,2591.48877666,100,100.0,1.0,50.6515,92.81,-64.7350132839,1.0
-63.0581,-61.3812075469,0.005,1357.82492043,0.005,1.0,1.0,,500.0,0.005,2,-63.0581,500,2.1793e-19,-61.3812075469,1.0,1357.82492043,100,200.000000102,1.0,44.2462,88.57,-61.3812075469,1.0
-63.8608,-65.4662514536,0.00333333,2604.35389828,0.00333333,1.0,1.0,,500.0,0.00333333,2,-63.8608,500,5.43914e-20,-65.4662514536,1.0,2604.35389828,100,299.999969474,1.0,46.5389,93.74,-65.4662514536,1.0
-63.3987,-62.0124479476,0.0025,1338.42800851,0.0025,1.0,1.0,,500.0,0.0025,2,-63.3987,500,5.4346e-20,-62.0124479476,1.0,1338.42800851,100,400.0,1.0,44.2302,89.32,-62.0124479476,1.0
-59.0241,-60.4471417119,0.0917851,65.898126642,3.81598e-08,1.06494,48.8728,5.39296,,0.002,1,-59.0241,500,1.90211e-05,-60.4471417119,2.0319e-05,65.898126642,100,87.0205125785,inf,49.747,88.37,-60.4471417119,1.0
-69.8995,-69.8994557957,0.01,3837.62471029,0.01,1.0,1.0,,500.0,0.01,2,-69.8995,500,3.50449e-18,-69.8994557957,1.0,3837.62471029,100,100.0,1.0,61.638,99.03,-69.8994557957,1.0
-65.5219,-61.1444022803,0.005,1351.89291523,0.005,1.0,1.0,,500.0,0.005,2,-65.5219,500,2.1793e-19,-61.1444022803,1.0,1351.89291523,100,200.000000102,1.0,50.8721,88.35,-61.1444022803,1.0
-65.956,-66.8242322382,0.00333333,2608.30998896,0.00333333,1.0,1.0,,500.0,0.00333333,2,-65.956,500,5.43914e-20,-66.8242322382,1.0,2608.30998896,100,299.999969474,1.0,50.857,95.63,-66.8242322382,1.0
-65.896,-65.7159345445,0.0025,2599.85531401,0.0025,1.0,1.0,,500.0,0.0025,2,-65.896,500,5.4346e-20,-65.7159345445,1.0,2599.85531401,100,400.0,1.0,50.8262,94.27,-65.7159345445,1.0
-65.0452,-71.0317110403,0.0180134,3798.90220588,0.0012509,0.98774,8.89625,0.470654,,0.002,1,-65.0452,500,1.92964e-06,-71.0317110403,0.617782,3798.90220588,100,337.50814074,inf,44.6705,100.75,-71.0317110403,1.0
-63.2299,-63.229915732,0.01,1347.38979841,0.01,1.0,1.0,,500.0,0.01,2,-63.2299,500,3.50449e-18,-63.229915732,1.0,1347.38979841,100,100.0,1.0,36.5228,92.02,-63.229915732,1.0
-64.4059,-65.5819017293,0.005,2595.26387945,0.005,1.0,1.0,,500.0,0.005,2,-64.4059,500,2.1793e-19,-65.5819017293,1.0,2595.26387945,100,200.000000102,1.0,44.1927,93.84,-65.5819017293,1.0
-67.1976,-72.78113354,0.00333333,5038.20549233,0.00333333,1.0,1.0,,500.0,0.00333333,2,-67.1976,500,5.43914e-20,-72.78113354,1.0,5038.20549233,100,299.999969474,1.0,54.5911,101.91,-72.78113354,1.0
-66.1401,-62.9675791043,0.0025,1341.55863153,0.0025,1.0,1.0,,500.0,0.0025,2,-66.1401,500,5.4346e-20,-62.9675791043,1.0,1341.55863153,100,400.0,1.0,50.7004,91.27,-62.9675791043,1.0
-52.1788,-63.4019723786,1.0,1336.3680492,,6.63509e-37,3.31754e-34,,0.0269818227887,0.002,1,-52.1788,500,0.002,-63.4019723786,,1336.3680492,100,inf,18531.0,,91.74,-63.4019723786,1.0
-65.8368,-65.8368038385,0.01,2596.3988839,0.01,1.0,1.0,,500.0,0.01,2,-65.8368,500,3.50449e-18,-65.8368038385,1.0,2596.3988839,100,100.0,1.0,50.6995,93.67,-65.8368038385,1.0
-62.1914,-58.5459079561,0.005,55.6081451546,0.005,1.0,1.0,,500.0,0.005,2,-62.1914,500,2.1793e-19,-58.5459079561,1.0,55.6081451546,100,200.000000102,1.0,36.4147,85.75,-58.5459079561,1.0
-66.5477,-75.2604804143,0.00333333,6270.71704556,0.00333333,1.0,1.0,,500.0,0.00333333,2,-66.5477,500,5.43914e-20,-75.2604804143,1.0,6270.71704556,100,299.999969474,1.0,54.6929,104.46,-75.2604804143,1.0
-66.346,-65.7407189718,0.0025,2624.55144849,0.0025,1.0,1.0,,500.0,0.0025,2,-66.346,500,5.4346e-20,-65.7407189718,1.0,2624.55144849,100,400.0,1.0,53.7883,94.02,-65.7407189718,1.0
-50.2583,-66.1169738938,1.0,2596.46862246,,0.122212,61.1059,7.46787,0.0985743492216,0.002,1,-50.2583,500,0.002,-66.1169738938,,2596.46862246,100,1.0,5072.31,5.8127e-08,94.99,-66.1169738938,1.0
-59.1904,-59.1903984386,0.01,64.351402901,0.01,1.0,1.0,,500.0,0.01,2,-59.1904,500,3.50449e-18,-59.1903984386,1.0,64.351402901,100,100.0,1.0,7.98172,86.91,-59.1903984386,1.0
-58.8664,-58.5424301869,0.005,64.4042284719,0.005,1.0,1.0,,500.0,0.005,2,-58.8664,500,2.1793e-19,-58.5424301869,1.0,64.4042284719,100,200.000000102,1.0,7.98993,85.45,-58.5424301869,1.0
-60.5844,-64.0203558287,0.00333333,1368.49109446,0.00333333,1.0,1.0,,500.0,0.00333333,2,-60.5844,500,5.43914e-20,-64.0203558287,1.0,1368.49109446,100,299.999969474,1.0,22.3621,92.48,-64.0203558287,1.0
-60.997,-62.2346387959,0.0025,1358.48378926,0.0025,1.0,1.0,,500.0,0.0025,2,-60.997,500,5.4346e-20,-62.2346387959,1.0,1358.48378926,100,400.0,1.0,26.6793,90.21,-62.2346387959,1.0
-50.4035,-65.9293960989,1.0,2592.23237548,,6.02877e-15,3.01438e-12,1.8173e-26,1.05579781658e-05,0.002,1,-50.4035,500,0.002,-65.9293960989,,2592.23237548,100,1.0,4.73576e+07,2.3651e-11,95.13,-65.9293960989,1.0
-63.0717,-63.0716575731,0.01,1347.53115551,0.01,1.0,1.0,,500.0,0.01,2,-63.0717,500,3.50449e-18,-63.0716575731,1.0,1347.53115551,100,100.0,1.0,36.5247,91.7,-63.0716575731,1.0
-60.7861,-58.5006198525,0.005,56.6301709437,0.005,1.0,1.0,,500.0,0.005,2,-60.7861,500,2.1793e-19,-58.5006198525,1.0,56.6301709437,100,200.000000102,1.0,26.4629,85.91,-58.5006198525,1.0
-61.7151,-63.5729648615,0.00333333,1335.37678492,0.00333333,1.0,1.0,,500.0,0.00333333,2,-61.7151,500,5.43914e-20,-63.5729648615,1.0,1335.37678492,100,299.999969474,1.0,30.1539,92.29,-63.5729648615,1.0
-62.7555,-65.8767764822,0.0025,2598.75315958,0.0025,1.0,1.0,,500.0,0.0025,2,-62.7555,500,5.4346e-20,-65.8767764822,1.0,2598.75315958,100,400.0,1.0,36.447,94.06,-65.8767764822,1.0
-50.8293,-84.2412094599,1.0,8492.36490637,,1.37258e-21,6.8629e-19,9.41988e-40,1.45639031447e-06,0.002,1,-50.8293,500,0.002,-84.2412094599,,8492.36490637,100,1.0,3.43315e+08,2.05657e-10,115.88,-84.2412094599,1.0
-58.5134,-58.513379969,0.01,63.2571566728,0.01,1.0,1.0,,500.0,0.01,2,-58.5134,500,3.50449e-18,-58.513379969,1.0,63.2571566728,100,100.0,1.0,7.91357,85.97,-58.513379969,1.0
-58.932,-59.3506339593,0.005,58.4644203745,0.005,1.0,1.0,,500.0,0.005,2,-58.932,500,2.1793e-19,-59.3506339593,1.0,58.4644203745,100,200.000000102,1.0,7.77351,87.45,-59.3506339593,1.0
-60.821,-64.5991066866,0.00333333,2621.49535504,0.00333333,1.0,1.0,,500.0,0.00333333,2,-60.821,500,5.43914e-20,-64.5991066866,1.0,2621.49535504,100,299.999969474,1.0,30.2079,92.61,-64.5991066866,1.0
-61.2551,-62.5572429213,0.0025,1334.41233963,0.0025,1.0,1.0,,500.0,0.0025,2,-61.2551,500,5.4346e-20,-62.5572429213,1.0,1334.41233963,100,400.0,1.0,31.8625,90.66,-62.5572429213,1.0
-58.903,-58.966091813,0.107303,66.0442813023,,18.6561,1000.92,2378.95,,0.002,1,-58.903,500,2.73403e-05,-58.966091813,,66.0442813023,100,63.9268026329,inf,19.0821,86.29,-58.966091813,1.0
-61.1427,-61.1427350709,0.01,1351.31222964,0.01,1.0,1.0,,500.0,0.01,2,-61.1427,500,3.50449e-18,-61.1427350709,1.0,1351.31222964,100,100.0,1.0,36.5759,88.21,-61.1427350709,1.0
-63.4835,-65.8243557723,0.005,2599.31580483,0.005,1.0,1.0,,500.0,0.005,2,-63.4835,500,2.1793e-19,-65.8243557723,1.0,2599.31580483,100,200.000000102,1.0,44.2836,94.44,-65.8243557723,1.0
-63.9523,-64.8896609949,0.00333333,2632.87279448,0.00333333,1.0,1.0,,500.0,0.00333333,2,-63.9523,500,5.43914e-20,-64.8896609949,1.0,2632.87279448,100,299.999969474,1.0,46.6546,92.3,-64.8896609949,1.0
-63.8535,-63.5574461988,0.0025,1346.04877352,0.0025,1.0,1.0,,500.0,0.0025,2,-63.8535,500,5.4346e-20,-63.5574461988,1.0,1346.04877352,100,400.0,1.0,44.3358,91.86,-63.5574461988,1.0
-64.0844,-70.7871217696,0.0126757,3827.60364033,0.00117611,0.994277,6.30156,0.785637,,0.002,1,-64.0844,500,3.17883e-06,-70.7871217696,0.584689,3827.60364033,100,278.844369035,inf,44.1691,100.52,-70.7871217696,1.0
-60.8345,-60.8345138893,0.01,1353.27607838,0.01,1.0,1.0,,500.0,0.01,2,-60.8345,500,3.50449e-18,-60.8345138893,1.0,1353.27607838,100,100.0,1.0,36.6025,87.68,-60.8345138893,1.0
-63.2308,-65.6271165054,0.005,2615.25045443,0.005,1.0,1.0,,500.0,0.005,2,-63.2308,500,2.1793e-19,-65.6271165054,1.0,2615.25045443,100,200.000000102,1.0,44.3865,93.89,-65.6271165054,1.0
-66.7778,-73.8718874584,0.00333333,5014.22732066,0.00333333,1.0,1.0,,500.0,0.00333333,2,-66.7778,500,5.43914e-20,-73.8718874584,1.0,5014.22732066,100,299.999969474,1.0,54.7111,103.73,-73.8718874584,1.0
-67.5827,-69.9972895938,0.0025,3835.59846944,0.0025,1.0,1.0,,500.0,0.0025,2,-67.5827,500,5.4346e-20,-69.9972895938,1.0,3835.59846944,100,400.0,1.0,56.5352,99.06,-69.9972895938,1.0
-60.4525,-66.8914973241,0.0333333,2608.50462076,,5.18167,86.3612,421.488,8.16422174577,0.002,1,-60.4525,500,6.27923e-05,-66.8914973241,,2608.50462076,100,30.0000027726,61.2428,31.7731,96.06,-66.8914973241,1.0
-58.9417,-58.9417276444,0.01,71.2408598192,0.01,1.0,1.0,,500.0,0.01,2,-58.9417,500,3.50449e-18,-58.9417276444,1.0,71.2408598192,100,100.0,1.0,8.39812,86.75,-58.9417276444,1.0
-60.7603,-62.5789533386,0.005,1327.50663808,0.005,1.0,1.0,,500.0,0.005,2,-60.7603,500,2.1793e-19,-62.5789533386,1.0,1327.50663808,100,200.000000102,1.0,26.3759,90.31,-62.5789533386,1.0
-60.1221,-58.8456736077,0.00333333,57.8850464405,0.00333333,1.0,1.0,,500.0,0.00333333,2,-60.1221,500,5.43914e-20,-58.8456736077,1.0,57.8850464405,100,299.999969474,1.0,21.9934,86.33,-58.8456736077,1.0
-59.8443,-59.0108088869,0.0025,61.6847380542,0.0025,1.0,1.0,,500.0,0.0025,2,-59.8443,500,5.4346e-20,-59.0108088869,1.0,61.6847380542,100,400.0,1.0,19.4494,86.81,-59.0108088869,1.0
-60.8666,-64.9559833002,0.002,2613.98075972,0.002,1.0,1.0,,500.0,0.002,1,-60.8666,500,5.43187e-20,-64.9559833002,1.0,2613.98075972,100,500.000006643,1.0,28.7119,92.92,-64.9559833002,1.0
-59.1851,-59.1851391214,0.01,39.7734573661,0.01,1.0,1.0,,500.0,0.01,2,-59.1851,500,3.50449e-18,-59.1851391214,1.0,39.7734573661,100,100.0,1.0,6.27501,86.95,-59.1851391214,1.0
-62.8266,-66.4681089529,0.005,2598.65751189,0.005,1.0,1.0,,500.0,0.005,2,-62.8266,500,2.1793e-19,-66.4681089529,1.0,2598.65751189,100,200.000000102,1.0,36.3219,95.62,-66.4681089529,1.0
-65.945,-72.1818617007,0.00333333,3791.19698175,0.00333333,1.0,1.0,,500.0,0.00333333,2,-65.945,500,5.43914e-20,-72.1818617007,1.0,3791.19698175,100,299.999969474,1.0,46.3688,102.83,-72.1818617007,1.0
-67.041,-70.329030734,0.0025,3826.5756895,0.0025,1.0,1.0,,500.0,0.0025,2,-67.041,500,5.4346e-20,-70.329030734,1.0,3826.5756895,100,400.0,1.0,50.6284,99.73,-70.329030734,1.0
-66.0486,-62.0787080075,0.002,1343.85760957,0.002,1.0,1.0,,500.0,0.002,1,-66.0486,500,5.43187e-20,-62.0787080075,1.0,1343.85760957,100,500.000006643,1.0,48.1727,89.2,-62.0787080075,1.0
-66.3879,-66.3878959513,0.01,2603.29400217,0.01,1.0,1.0,,500.0,0.01,2,-66.3879,500,3.50449e-18,-66.3878959513,1.0,2603.29400217,100,100.0,1.0,50.7667,94.87,-66.3878959513,1.0
-65.8196,-65.2513443229,0.005,2623.70717006,0.005,1.0,1.0,,500.0,0.005,2,-65.8196,500,2.1793e-19,-65.2513443229,1.0,2623.70717006,100,200.000000102,1.0,50.8693,93.47,-65.2513443229,1.0
-68.8655,-74.9573609321,0.00333333,5010.26662016,0.00333333,1.0,1.0,,500.0,0.00333333,2,-68.8655,500,5.43914e-20,-74.9573609321,1.0,5010.26662016,100,299.999969474,1.0,58.2844,105.7,-74.9573609321,1.0
-67.4396,-63.1618510655,0.0025,1343.45850902,0.0025,1.0,1.0,,500.0,0.0025,2,-67.4396,500,5.4346e-20,-63.1618510655,1.0,1343.45850902,100,400.0,1.0,53.7253,91.62,-63.1618510655,1.0
-65.6219,-58.3510084407,0.002,52.6302517816,0.002,1.0,1.0,,500.0,0.002,1,-65.6219,500,5.43187e-20,-58.3510084407,1.0,52.6302517816,100,500.000006643,1.0,48.2987,85.5,-58.3510084407,1.0
-61.7915,-61.7914740153,0.01,1341.73426644,0.01,1.0,1.0,,500.0,0.01,2,-61.7915,500,3.50449e-18,-61.7914740153,1.0,1341.73426644,100,100.0,1.0,36.4461,89.48,-61.7914740153,1.0
-64.0317,-66.2718453112,0.005,2606.69048265,0.005,1.0,1.0,,500.0,0.005,2,-64.0317,500,2.1793e-19,-66.2718453112,1.0,2606.69048265,100,200.000000102,1.0,44.2661,94.81,-66.2718453112,1.0
-66.9138,-72.6780797055,0.00333333,5048.94484598,0.00333333,1.0,1.0,,500.0,0.00333333,2,-66.9138,500,5.43914e-20,-72.6780797055,1.0,5048.94484598,100,299.999969474,1.0,54.6726,102.07,-72.6780797055,1.0
-67.0719,-67.5460945387,0.0025,2575.39513482,0.0025,1.0,1.0,,500.0,0.0025,2,-67.0719,500,5.4346e-20,-67.5460945387,1.0,2575.39513482,100,400.0,1.0,53.6591,97.11,-67.5460945387,1.0
-67.7475,-70.4500996274,0.002,3816.14861424,0.002,1.0,1.0,,500.0,0.002,1,-67.7475,500,5.43187e-20,-70.4500996274,1.0,3816.14861424,100,500.000006643,1.0,55.3251,99.76,-70.4500996274,1.0
-73.4765,-73.4764839734,0.01,5028.47924654,0.01,1.0,1.0,,500.0,0.01,2,-73.4765,500,3.50449e-18,-73.4764839734,1.0,5028.47924654,100,100.0,1.0,70.5563,102.92,-73.4764839734,1.0
