ReturnStepMax,InitialBound,ReturnStepMaxmin,InitialReturnStd,TimestepsSoFar,ReturnMeanIW,EmpiricalD2Harmonic,EmpiricalD2Arithmetic,MinBehavPdf,MinIW,StdIW,DivergenceHarmonic,Inner Iteration,InitialReturnMin,MinTargetPdf,MeanEntropy,ESSRenyiHarmonic,MaxIW,EpRewMean,MeanD2-0,MeanIW,Iteration,InitialReturnMax,EpLenMean,EpThisIter,Bound,ESSRenyiArithmetic,InitialReturnMean,EpisodesSoFar,TimeElapsed
9.999999,-100363.17,9.999999,170.44965,15411,85906.586,1.0,1.0,-84.7684,0.549068,0.21330643,1.2100126,1,,-84.7684,1.1979982,100.0,1.5102876,257.6622172251853,1.0,1.0444427,11,699.6865,26.78,100,-91318.914,100.0,257.6622,1100,667.9301319122314
9.999998,-181464.64,9.999998,226.11122,18944,135509.22,1.0,1.0,-134.31433,0.492963,0.32091248,1.3746756,1,9.98119,-134.31433,1.1854416,100.0,1.8850224,343.13508770023486,1.0,1.0098063,12,1119.5337,35.33,100,-150278.4,100.0,343.13513,1200,729.1532981395721
9.999999,-175696.89,9.999999,223.16454,22342,136221.02,1.0,1.0,-155.24443,0.3636268,0.22681934,1.1799146,1,,-155.24443,1.1751542,100.0,1.8886825,329.6363711806174,1.0,1.0006475,13,1309.5037,33.98,100,-154941.67,100.0,329.63635,1300,794.5699388980865
9.999999,-211795.78,9.999999,238.86581,26214,184321.0,1.0,1.0,-119.167435,0.4802594,0.1556295,1.1167837,1,9.981423,-119.167435,1.1833013,100.0,1.379062,377.01620507121356,1.0,1.0281613,14,1119.578,38.72,100,-197633.98,100.0,377.0162,1400,860.8491024971008
9.999998,-209551.2,9.999998,243.09944,30071,193043.11,1.0,1.0,-113.88643,0.80914533,0.05894358,1.0099403,1,,-113.88643,1.1678597,100.0,1.1512564,375.51178682645366,1.0,0.9910145,15,969.40265,38.57,100,-202534.69,100.0,375.51175,1500,924.1389443874359
9.999999,-184692.69,9.999999,237.09775,33617,153249.69,1.0,1.0,-130.10007,0.29587018,0.2567963,1.2189302,1,,-130.10007,1.1714035,100.0,1.7576274,344.430858485706,1.0,1.025719,16,989.71497,35.46,100,-164118.75,100.0,344.43085,1600,949.0711283683777
9.999998,-245383.86,9.999998,241.05719,37909,221542.05,1.0,1.0,-134.35844,0.6750354,0.15784718,1.0738552,1,9.979468,-134.35844,1.1751542,100.0,1.4537209,419.0067120940557,1.0,1.0232205,17,1079.3489,42.92,100,-233675.34,100.0,419.00668,1700,1002.6994543075562
9.999997,-257399.06,9.999997,243.4878,42282,214162.38,1.0,1.0,-144.336,0.62547857,0.20958322,1.1576502,1,,-144.336,1.1735272,100.0,1.6125851,427.10930223188916,1.0,1.0120406,18,1249.4683,43.73,100,-231044.28,100.0,427.10928,1800,1037.328157901764
9.999999,-256709.7,9.999999,231.13567,46773,238069.97,1.0,1.0,-112.71454,0.76816696,0.087680265,1.0271907,1,,-112.71454,1.1638955,100.0,1.25044,438.90038706182116,1.0,1.0040442,19,1029.515,44.91,100,-248866.23,100.0,438.9004,1900,1090.7818381786346
10.0,-360875.78,10.0,300.03336,51836,328096.7,1.0,1.0,-192.07747,0.6632227,0.13871427,1.0421262,1,9.981103,-192.07747,1.1576375,100.0,1.610971,496.0821443975816,1.0,1.0222335,20,1569.5247,50.63,100,-353370.97,100.0,496.08215,2000,1133.610561132431
10.0,-300351.4,10.0,271.33234,56553,286600.6,1.0,1.0,-152.14288,0.99998474,3.872761e-06,0.9999956,1,,-152.14288,1.1561725,100.0,1.0000153,461.49694050085964,1.0,0.9999998,21,1169.6943,47.17,100,-300351.34,100.0,461.49695,2100,1149.829211473465
9.999998,-268900.44,9.999998,259.7632,60979,254435.53,1.0,1.0,-132.03044,0.9999542,2.2648448e-05,0.9999989,1,,-132.03044,1.1561725,100.0,1.0000534,432.3897397352672,1.0,1.0000004,22,1199.5896,44.26,100,-268898.16,100.0,432.38974,2200,1159.8813376426697
10.0,-354030.22,10.0,309.13254,65950,332618.72,1.0,1.0,-170.82935,0.9999695,7.690163e-06,0.99999523,1,,-170.82935,1.1561725,100.0,1.0000153,486.88504203858895,1.0,0.9999991,23,1459.5552,49.71,100,-354029.0,100.0,486.88507,2300,1171.4572558403015
9.999999,-278494.28,9.999999,260.63315,70452,261526.3,1.0,1.0,-147.02818,0.99998474,4.480763e-06,0.9999956,1,,-147.02818,1.1561725,100.0,1.0000153,439.99666007410156,1.0,0.9999997,24,1299.3296,45.02,100,-278493.88,100.0,439.99667,2400,1185.342443704605
9.999999,-374717.88,9.999999,321.28757,75575,355314.03,1.0,1.0,-167.08551,0.9999695,6.308458e-06,0.999995,1,,-167.08551,1.1561725,100.0,1.0000153,502.08463196572734,1.0,0.9999995,25,1389.4606,51.23,100,-374717.25,100.0,502.08466,2500,1194.9968132972717
9.999998,-267223.2,9.999998,241.2653,80140,249710.6,1.0,1.0,-113.16876,0.7628639,0.10657336,1.0369071,1,9.979073,-113.16876,1.1561725,100.0,1.2545203,446.28844564241814,1.0,0.9991194,26,989.5231,45.65,100,-259731.44,100.0,446.2884,2600,1207.0371758937836
10.0,-306197.75,10.0,255.366,85014,276999.38,1.0,1.0,-133.38177,0.5346655,0.15948577,1.104395,1,29.948471,-133.38177,1.1559887,100.0,1.5015558,477.18534974208006,1.0,1.0137032,27,1149.5013,48.74,100,-290955.47,100.0,477.1853,2700,1255.1651804447174
9.999999,-314798.6,9.999999,271.94046,89879,291680.34,1.0,1.0,-128.40015,0.8510232,0.06332945,1.0137995,1,,-128.40015,1.1525921,100.0,1.1831704,476.29855289410955,1.0,0.9956814,28,1179.6827,48.65,100,-305763.12,100.0,476.29855,2800,1289.573266029358
9.999997,-368598.97,9.999997,270.7117,95252,351102.4,1.0,1.0,-148.22977,1.0,,1.000006,1,,-148.22977,1.147766,100.0,1.0,527.0840464809278,1.0,1.0,29,1319.4246,53.73,100,-368598.97,100.0,527.08405,2900,1321.209463596344
9.999999,-408624.0,9.999999,313.10236,100644,377861.16,1.0,1.0,-201.12703,0.9999695,5.718717e-06,1.0000061,1,,-201.12703,1.147766,100.0,1.0000153,528.9889899623245,1.0,0.9999989,30,1749.4941,53.92,100,-408622.75,100.0,528.989,3000,1329.9251465797424
10.0,-343989.9,10.0,290.87662,105695,320119.5,1.0,1.0,-133.2388,0.6881393,0.123951465,1.0444026,1,,-133.2388,1.147766,100.0,1.3893797,494.89045677834633,1.0,0.99845666,31,1199.6501,50.51,100,-334901.25,100.0,494.89044,3100,1338.764765739441
9.999997,-400080.06,9.999997,346.5978,110803,370716.2,1.0,1.0,-203.9801,0.99998474,4.5236116e-06,0.9999925,1,,-203.9801,1.1445487,100.0,1.0000153,500.5865253253302,1.0,0.9999994,32,1709.272,51.08,100,-400079.38,100.0,500.58652,3200,1369.1250703334808
10.0,-401765.12,10.0,335.46283,115950,367017.06,1.0,1.0,-201.29222,0.9999695,6.08291e-06,0.99999225,1,,-201.29222,1.1445487,100.0,1.0000153,504.4636985880233,1.0,0.99999976,33,1859.359,51.47,100,-401763.25,100.0,504.4637,3300,1381.461020708084
9.999999,-333405.7,9.999999,242.92215,121160,319888.25,1.0,1.0,-133.77682,0.99998474,5.55904e-06,0.99999595,1,19.970524,-133.77682,1.1445487,100.0,1.0000153,510.76208163267125,1.0,0.9999989,34,1159.6948,52.1,100,-333404.9,100.0,510.76212,3400,1392.1074602603912
10.0,-346533.66,10.0,257.3293,126373,327414.9,1.0,1.0,-152.88297,1.0,,0.99999774,1,,-152.88297,1.1445487,100.0,1.0,511.0739089871636,1.0,1.0,35,1379.237,52.13,100,-346533.66,100.0,511.07394,3500,1401.536827325821
10.0,-387214.0,10.0,301.3978,131690,362772.88,1.0,1.0,-180.54144,0.99998474,3.6199015e-06,0.99999774,1,,-180.54144,1.1445487,100.0,1.0000153,521.4713099191517,1.0,0.9999998,36,1559.4412,53.17,100,-387213.94,100.0,521.4713,3600,1408.1050488948822
10.0,-402548.44,10.0,319.61966,136905,363572.78,1.0,1.0,-229.83722,0.9999695,6.5758163e-06,0.99999475,1,,-229.83722,1.1445487,100.0,1.0000153,511.2891167330047,1.0,1.0000006,37,1969.2599,52.15,100,-402547.88,100.0,511.2891,3700,1420.1810703277588
10.0,-369138.7,10.0,281.96204,142163,313777.5,1.0,1.0,-170.13763,0.5603503,0.17675164,1.1343024,1,,-170.13763,1.1445487,100.0,1.6454289,515.5776733164984,1.0,0.97576976,38,1539.3639,52.58,100,-339142.2,100.0,515.5777,3800,1430.6449899673462
10.0,-406749.1,10.0,298.3717,147675,374268.75,1.0,1.0,-195.50266,0.6790541,0.109059095,1.0346057,1,,-195.50266,1.1406858,100.0,1.2623932,540.9693382619182,1.0,1.0044925,39,1579.5508,55.12,100,-399774.44,100.0,540.96936,3900,1449.107173204422
10.0,-462682.62,10.0,296.18686,153626,429780.9,1.0,1.0,-210.20691,0.99998474,3.1450475e-06,0.99999094,1,19.959497,-210.20691,1.1416799,100.0,1.0000153,584.8541467621224,1.0,1.0000001,40,1809.333,59.51,100,-462682.53,100.0,584.8541,4000,1463.4969210624695
9.999999,-433729.62,9.999999,305.2699,159278,401186.94,1.0,1.0,-204.95245,1.0,,0.99999154,1,,-204.95245,1.1416799,100.0,1.0,554.9749873281704,1.0,1.0,41,1799.4363,56.52,100,-433729.62,100.0,554.975,4100,1474.6315886974335
10.0,-370787.12,10.0,288.67026,164563,351937.16,1.0,1.0,-156.59795,0.9999695,6.049305e-06,0.9999918,1,,-156.59795,1.1416799,100.0,1.0000153,518.2739897834701,1.0,0.99999845,42,1369.4636,52.85,100,-370785.88,100.0,518.274,4200,1481.9831428527832
9.999999,-403906.84,9.999999,300.0399,170084,370939.16,1.0,1.0,-151.4635,0.6492396,0.15011008,1.084841,1,9.982533,-151.4635,1.1416799,100.0,1.4280691,541.8745829424156,1.0,1.0174279,43,1419.6273,55.21,100,-392035.84,100.0,541.8746,4300,1493.9083642959595
10.0,-397674.25,10.0,334.17838,175344,377714.44,1.0,1.0,-152.09938,1.0,,1.0000029,1,9.980162,-152.09938,1.1379353,100.0,1.0,515.7899368063802,1.0,1.0,44,1409.2455,52.6,100,-397674.25,100.0,515.79,4400,1511.6437208652496
10.0,-376845.1,10.0,295.12546,180693,362380.62,1.0,1.0,-129.60925,0.9999695,1.2193817e-05,0.9999939,1,,-129.60925,1.1379353,100.0,1.0000305,524.6743604225408,1.0,0.9999992,45,1199.5995,53.49,100,-376843.47,100.0,524.6744,4500,1517.9195532798767
10.0,-477658.2,10.0,341.25687,186556,448292.56,1.0,1.0,-186.87932,1.0,,0.99999475,1,,-186.87932,1.1379353,100.0,1.0,576.0523693731246,1.0,1.0,46,1709.3425,58.63,100,-477658.2,100.0,576.05237,4600,1529.1553573608398
9.999999,-371918.12,9.999999,313.50748,191490,331751.28,1.0,1.0,-228.10687,0.9999542,1.542336e-05,0.9999956,1,,-228.10687,1.1379353,100.0,1.0000458,483.1843610446834,1.0,0.99999785,47,1999.0701,49.34,100,-371915.3,100.0,483.1844,4700,1536.7170901298523
10.0,-420298.75,10.0,316.07687,197041,396785.2,1.0,1.0,-188.33257,0.9999695,7.825225e-06,0.9999914,1,9.979731,-188.33257,1.1379353,100.0,1.0000153,544.8693848703617,1.0,0.9999986,48,1529.4998,55.51,100,-420296.62,100.0,544.86945,4800,1551.567878484726
9.999999,-342129.94,9.999999,281.38226,202108,325673.03,1.0,1.0,-145.18121,0.9999695,8.82809e-06,1.000008,1,9.987694,-145.18121,1.1379353,100.0,1.0000229,496.4850956374081,1.0,1.0000001,49,1279.6068,50.67,100,-342129.53,100.0,496.48508,4900,1563.0229742527008
10.0,-425369.75,10.0,344.77118,207576,406790.0,1.0,1.0,-151.44766,0.9999695,5.7762895e-06,1.0000018,1,,-151.44766,1.1379353,100.0,1.0000153,536.5856951221256,1.0,0.9999986,50,1359.6046,54.68,100,-425368.38,100.0,536.5857,5000,1576.4133341312408
9.999999,-325688.6,9.999999,266.42242,212582,285449.88,1.0,1.0,-121.51393,0.40175572,0.17560151,1.1196436,1,,-121.51393,1.1379353,100.0,1.5910976,490.3908655795767,1.0,0.9870057,51,1189.6719,50.06,100,-300501.28,100.0,490.39087,5100,1589.0311703681946
10.0,-499450.0,10.0,285.49786,218984,478327.3,1.0,1.0,-170.42313,0.9999695,6.325746e-06,0.99999535,1,,-170.42313,1.1273628,100.0,1.0000153,629.9357164965953,1.0,0.9999991,52,1449.6953,64.02,100,-499449.3,100.0,629.9357,5200,1642.2474620342255
9.999999,-383541.03,9.999999,285.48105,224381,361841.03,1.0,1.0,-172.12091,1.0,,0.99999607,1,9.981911,-172.12091,1.1273628,100.0,1.0,529.4729663981324,1.0,1.0,53,1469.397,53.97,100,-383541.03,100.0,529.47296,5300,1657.0079610347748
10.0,-472555.47,10.0,330.3997,230136,414132.53,1.0,1.0,-222.37106,0.67278343,0.14958732,1.0640491,1,,-222.37106,1.1273628,100.0,1.5433806,565.2598809730762,1.0,1.0173192,54,2089.33,57.55,100,-459388.66,100.0,565.2599,5400,1668.4396569728851
10.0,-438817.3,10.0,326.4413,235803,416217.78,1.0,1.0,-160.65613,1.0,,0.9999982,1,,-160.65613,1.120863,100.0,1.0,556.4655051664704,1.0,1.0,55,1499.542,56.67,100,-438817.3,100.0,556.4655,5500,1698.757717847824
9.999999,-397457.28,9.999999,309.93552,241226,366242.2,1.0,1.0,-161.0524,0.53868634,0.15719739,1.0631893,1,,-161.0524,1.120863,100.0,1.5905151,532.0629105717917,1.0,1.012874,56,1349.613,54.23,100,-385118.03,100.0,532.06287,5600,1708.679948091507
9.999998,-439773.38,9.999998,293.3432,247075,416268.0,1.0,1.0,-161.82451,0.9999695,8.476275e-06,1.0000008,1,,-161.82451,1.1207931,100.0,1.0000153,574.6484232317262,1.0,0.9999968,57,1529.2,58.49,100,-439770.34,100.0,574.6484,5700,1727.958957195282
9.999999,-399279.3,9.999999,264.93524,252708,376081.1,1.0,1.0,-166.36452,0.9999695,5.823334e-06,1.0000083,1,,-166.36452,1.1207931,100.0,1.0000153,553.0745223837082,1.0,0.99999815,58,1519.2383,56.33,100,-399278.3,100.0,553.0745,5800,1739.7919464111328
10.0,-495396.66,10.0,298.4063,259015,473986.22,1.0,1.0,-169.95709,0.99998474,2.6428997e-06,1.0000093,1,9.9840355,-169.95709,1.1207931,100.0,1.0000153,620.4352501435188,1.0,1.0,59,1459.5557,63.07,100,-495396.66,100.0,620.4353,5900,1752.7019338607788
9.999999,-474705.16,9.999999,333.81116,264769,430837.06,1.0,1.0,-231.66891,0.99998474,2.287949e-06,1.0000086,1,,-231.66891,1.1207931,100.0,1.0000153,565.1612168105381,1.0,1.0000001,60,2089.2104,57.54,100,-474705.16,100.0,565.1612,6000,1762.813309431076
10.0,-430566.72,10.0,281.91693,270567,389467.9,1.0,1.0,-192.77292,0.7358701,0.10783762,1.0406997,1,,-192.77292,1.1207931,100.0,1.3944985,569.5667332335493,1.0,1.0051361,61,1629.3989,57.98,100,-416688.66,100.0,569.5668,6100,1772.0063617229462
10.0,-540174.7,10.0,356.39014,276812,504295.1,1.0,1.0,-219.45734,0.99990845,3.801201e-05,0.9999994,1,,-219.45734,1.120549,100.0,1.0000839,614.2343653658357,1.0,0.9999988,62,1889.3672,62.45,100,-540172.0,100.0,614.2344,6200,1806.6254317760468
9.999999,-404878.9,9.999999,260.82516,282577,388675.12,1.0,1.0,-138.00497,0.9999695,9.078114e-06,0.99999976,1,,-138.00497,1.120549,100.0,1.0000153,566.2574166514742,1.0,0.9999956,63,1269.666,57.65,100,-404876.84,100.0,566.25745,6300,1820.2977063655853
10.0,-570916.0,10.0,348.7169,289020,523614.06,1.0,1.0,-241.27512,0.9999695,6.5225677e-06,0.99999976,1,9.979428,-241.27512,1.120549,100.0,1.0000153,634.043744572723,1.0,0.9999995,64,2169.4233,64.43,100,-570915.1,100.0,634.0437,6400,1833.7381319999695
10.0,-502463.2,10.0,304.8741,295396,486515.44,1.0,1.0,-152.81155,0.99998474,5.059939e-06,0.99999964,1,,-152.81155,1.120549,100.0,1.0000153,627.3497860613644,1.0,0.9999992,65,1259.654,63.76,100,-502462.66,100.0,627.3498,6500,1848.2093362808228
9.999998,-562912.4,9.999998,372.5459,301665,519037.78,1.0,1.0,-229.60464,0.9999695,4.66308e-06,0.9999995,1,,-229.60464,1.120549,100.0,1.0000153,616.6426075137314,1.0,0.9999994,66,2089.3525,62.69,100,-562911.6,100.0,616.6426,6600,1860.3476264476776
9.999999,-497097.3,9.999999,304.3184,307964,476565.06,1.0,1.0,-162.13266,0.9999695,1.1319259e-05,1.0000064,1,9.983423,-162.13266,1.120549,100.0,1.0000305,619.6436867177584,1.0,0.99999726,67,1429.2104,62.99,100,-497094.47,100.0,619.6437,6700,1874.2577357292175
9.999999,-541107.4,9.999999,317.56876,314314,491160.4,1.0,1.0,-241.51141,0.99998474,3.6448619e-06,0.9999975,1,,-241.51141,1.120549,100.0,1.0000153,624.7484876521871,1.0,0.99999976,68,2229.2708,63.5,100,-541107.2,100.0,624.7485,6800,1886.2892088890076
9.999999,-475388.25,9.999999,285.40213,320552,457889.4,1.0,1.0,-162.78458,1.0,,0.9999976,1,9.98102,-162.78458,1.120549,100.0,1.0,613.54302968976,1.0,1.0,69,1319.5138,62.38,100,-475388.25,100.0,613.543,6900,1900.1453878879547
9.999999,-610568.75,9.999999,368.85275,327289,576194.2,1.0,1.0,-208.23203,0.9999695,9.036324e-06,0.9999974,1,9.983394,-208.23203,1.120549,100.0,1.0000153,663.4332885603118,1.0,0.9999997,70,1849.3354,67.37,100,-610566.9,100.0,663.4333,7000,1911.2813827991486
9.999999,-529286.94,9.999999,342.91617,333522,493415.62,1.0,1.0,-212.13834,1.0,,0.99999774,1,,-212.13834,1.120549,100.0,1.0,613.0449524826246,1.0,1.0,71,1889.2202,62.33,100,-529286.94,100.0,613.0449,7100,1928.8906302452087
9.999999,-434482.88,9.999999,278.62527,339480,420497.7,1.0,1.0,-143.04906,1.0,,0.9999976,1,,-143.04906,1.120549,100.0,1.0,585.5472936083016,1.0,1.0,72,1179.6223,59.58,100,-434482.88,100.0,585.5473,7200,1938.7772569656372
10.0,-445347.53,10.0,283.34473,345382,416657.9,1.0,1.0,-191.91487,0.99998474,4.1456733e-06,0.99999774,1,,-191.91487,1.120549,100.0,1.0000153,579.9773251466776,1.0,1.0000001,73,1689.5504,59.02,100,-445347.5,100.0,579.97736,7300,1948.161284685135
10.0,-407923.5,10.0,256.01016,351198,391982.38,1.0,1.0,-135.08585,0.99998474,3.852139e-06,0.9999976,1,9.986321,-135.08585,1.120549,100.0,1.0000153,571.3503394457072,1.0,1.0000001,74,1259.4116,58.16,100,-407923.44,100.0,571.35034,7400,1962.6252880096436
9.999999,-463599.16,9.999999,341.31143,356949,435586.75,1.0,1.0,-191.88647,0.9999695,4.614077e-06,0.99999774,1,9.97999,-191.88647,1.120549,100.0,1.0000153,564.88388515537,1.0,0.9999991,75,1669.4752,57.51,100,-463598.6,100.0,564.88385,7500,1976.8659391403198
9.999999,-484035.6,9.999999,291.42038,363170,459283.06,1.0,1.0,-185.18556,0.99998474,5.990003e-06,0.9999976,1,9.979881,-185.18556,1.120549,100.0,1.0000153,611.8478727101799,1.0,0.9999987,76,1569.3274,62.21,100,-484035.0,100.0,611.8479,7600,1996.9886190891266
10.0,-462548.06,10.0,318.10046,369120,443142.1,1.0,1.0,-157.23886,0.99998474,3.3683534e-06,0.99999785,1,,-157.23886,1.120549,100.0,1.0000153,584.7686212516764,1.0,0.99999994,77,1389.5542,59.5,100,-462547.94,100.0,584.7686,7700,2014.1113617420197
10.0,-475598.75,10.0,347.97495,374792,431312.12,1.0,1.0,-236.04048,0.9999695,9.510869e-06,0.99999917,1,,-236.04048,1.120549,100.0,1.0000305,556.9797486836231,1.0,1.0000023,78,2099.138,56.72,100,-475597.88,100.0,556.97974,7800,2027.486421585083
10.0,-484045.66,10.0,313.44302,380898,458659.8,1.0,1.0,-179.97086,0.99993896,1.8420176e-05,0.9999938,1,9.979587,-179.97086,1.120549,100.0,1.0000305,600.348061283373,1.0,0.99999666,79,1589.1539,61.06,100,-484041.06,100.0,600.3481,7900,2045.4045968055725
9.999999,-509817.34,9.999999,347.6853,386991,479756.0,1.0,1.0,-185.59369,0.9999695,3.652729e-06,0.9999975,1,,-185.59369,1.120549,100.0,1.0000076,599.0588441671554,1.0,0.9999997,80,1729.4545,60.93,100,-509816.78,100.0,599.0588,8000,2061.0832567214966
9.999999,-476549.78,9.999999,367.5172,392560,433931.44,1.0,1.0,-232.90088,0.99998474,5.6252134e-06,0.99999785,1,,-232.90088,1.120549,100.0,1.0000153,546.6838611917134,1.0,0.9999993,81,2059.225,55.69,100,-476549.1,100.0,546.68384,8100,2074.0693628787994
10.0,-508311.28,10.0,341.49268,398750,487201.2,1.0,1.0,-147.34584,0.9999695,9.363114e-06,1.0000064,1,,-147.34584,1.120549,100.0,1.0000153,608.7570849686156,1.0,1.0000006,82,1449.2428,61.9,100,-508310.12,100.0,608.7571,8200,2089.1453371047974
10.0,-547158.4,10.0,314.30054,405304,514972.0,1.0,1.0,-196.30078,0.9999695,9.159286e-06,1.0000019,1,19.965511,-196.30078,1.120549,100.0,1.0000153,645.1281415912457,1.0,0.99999803,83,1789.4663,65.54,100,-547155.25,100.0,645.1282,8300,2101.124445438385
10.0,-514944.25,10.0,320.25885,411635,490504.06,1.0,1.0,-166.82819,1.0,,1.0000021,1,9.979759,-166.82819,1.120549,100.0,1.0,622.8469536212375,1.0,1.0,84,1559.4121,63.31,100,-514944.25,100.0,622.8469,8400,2116.711675643921
10.0,-468254.44,10.0,358.7839,417291,437153.88,1.0,1.0,-202.4968,1.0,,1.0000019,1,9.979134,-202.4968,1.120549,100.0,1.0,555.3629654683187,1.0,1.0,85,1759.1084,56.56,100,-468254.44,100.0,555.363,8500,2126.3026235103607
9.999999,-540527.56,9.999999,371.2174,423418,500755.75,1.0,1.0,-218.33942,0.9999924,7.592986e-07,1.000002,1,,-218.33942,1.120549,100.0,1.0,602.4561755364088,1.0,0.99999994,86,1989.2816,61.27,100,-540527.56,100.0,602.4562,8600,2136.021516084671
10.0,-544480.7,10.0,348.77066,429771,512301.16,1.0,1.0,-206.64188,0.9999695,6.7446445e-06,1.0000023,1,,-206.64188,1.120549,100.0,1.0000153,625.0293749731584,1.0,0.9999986,87,1789.3228,63.53,100,-544479.25,100.0,625.02936,8700,2147.8543977737427
9.999999,-531238.6,9.999999,364.65588,435921,498699.7,1.0,1.0,-201.29822,1.0,,1.0000021,1,,-201.29822,1.120549,100.0,1.0,604.7526481430779,1.0,1.0,88,1799.3273,61.5,100,-531238.6,100.0,604.7527,8800,2162.9488837718964
10.0,-475063.84,10.0,335.9768,441752,441062.47,1.0,1.0,-214.33508,1.0,,1.0000018,1,,-214.33508,1.120549,100.0,1.0,572.8717902183478,1.0,1.0,89,1839.318,58.31,100,-475063.84,100.0,572.87177,8900,2174.553657054901
10.0,-454472.03,10.0,288.79123,447742,430036.7,1.0,1.0,-178.01022,1.0,,1.0000019,1,,-178.01022,1.120549,100.0,1.0,588.7582769671666,1.0,1.0,90,1559.2571,59.9,100,-454472.03,100.0,588.7583,9000,2184.320303916931
9.999998,-515414.0,9.999998,339.6995,453863,477605.4,1.0,1.0,-203.07547,0.9999695,6.3360044e-06,1.0000019,1,,-203.07547,1.120549,100.0,1.0000153,601.839768572718,1.0,0.9999989,91,1939.5258,61.21,100,-515412.56,100.0,601.8398,9100,2194.3499281406403
10.0,-564275.1,10.0,323.07327,460617,546774.5,1.0,1.0,-148.18723,0.99998474,3.7561522e-06,1.0000023,1,,-148.18723,1.120549,100.0,1.0000153,665.130592540127,1.0,0.9999992,92,1319.5604,67.54,100,-564274.6,100.0,665.13055,9200,2206.7372875213623
9.999998,-631786.7,9.999998,376.64694,467414,589978.0,1.0,1.0,-224.71056,0.9999695,6.1455135e-06,1.000002,1,,-224.71056,1.120549,100.0,1.0000153,669.4153775299715,1.0,0.9999994,93,2039.5415,67.97,100,-631784.9,100.0,669.4154,9300,2223.2345657348633
10.0,-522234.3,10.0,321.72446,473783,496195.2,1.0,1.0,-181.45547,1.0,,1.000002,1,,-181.45547,1.120549,100.0,1.0,626.6486819788598,1.0,1.0,94,1609.6146,63.69,100,-522234.3,100.0,626.64874,9400,2238.642380952835
