IterType,AvgVanillaIw,eRenyi2,Bound,AvgDiscRet,BatchSize,VarJ,VarRet,VarVanillaIw,VarDiscRet,J,MaxVanillaIw,VarNormIw,MinNormIw,VanillaAvgRet,AvgNormIw,EpsThisIter,Delta,ESSRenyi,MaxNormIw,ESSClassic,MinVanillaIw,AvgRet,AvgEpLen
1,1.02274,1.02994,-9.58963,-7.37247937909,100,6.69626,45.1691936788,0.037705,45.1691936788,-7.313,1.81516,3.60472e-06,0.00845893,-7.37247937909,0.01,100,0.5,97.0926403603,0.0177481,96.5543011715,0.865126,-7.37247937909,200.0
1,1.00862,1.02581,-8.85799,-6.54382346982,100,6.52849,42.8218809378,0.0263328,42.8218809378,-6.48423,1.69982,2.58844e-06,0.00894998,-6.54382346982,0.01,100,0.5,97.4836220094,0.0168528,97.5014902153,0.902717,-6.54382346982,200.0
,1.01033,1.01726,-12.2302,-9.79858766015,200,7.70937,42.8218809378,0.0146016,59.2185559774,-9.75723,1.10777,1.43045e-06,0.00582282,-6.54382346982,0.01,100,0.5,196.607431682,0.0109644,98.6036240449,0.588299,-6.54382346982,200.0
1,1.02258,1.06743,-9.39266,-9.00500743102,200,7.34983,54.7661046654,0.0709974,54.7661046654,-7.68045,2.97609,1.6974e-06,0.00419692,-9.00500743102,0.005,100,0.5,187.365766391,0.0145518,187.343705288,0.858342,-9.00500743102,200.0
2,1.0,1.0,-9.07318,-6.89047523885,200,6.65738,44.7683574155,,44.7683574155,-6.89048,1.0,3.50449e-18,0.01,-6.89047523885,0.01,100,0.5,200.0,0.01,100.0,1.0,-6.89047523885,200.0
1,0.991513,2.63397,-8.81573,-8.4393373422,200,9.3225,49.0930002037,1.57603,49.0930002037,-5.98415,3.73458,4.00781e-05,5.82896e-20,-8.4393373422,0.005,100,0.5,75.9310359373,0.0188328,77.0680268205,1.1559e-17,-8.4393373422,200.0
2,1.0,1.0,-11.445,-8.93334373113,200,7.36517,54.7936648558,,54.7936648558,-8.93334,1.0,3.50449e-18,0.01,-8.93334373113,0.01,100,0.5,200.0,0.01,100.0,1.0,-8.93334373113,200.0
1,1.00489,1.04614,-10.3488,-8.30309510049,200,7.63409,56.9874677425,0.041193,56.9874677425,-8.53232,1.37361,1.01983e-06,0.00230487,-8.30309510049,0.005,100,0.5,191.17977151,0.00683462,192.198834853,0.463228,-8.30309510049,200.0
2,1.0,1.0,-11.6257,-9.19774970151,200,7.44847,56.0401479469,,56.0401479469,-9.19775,1.0,3.50449e-18,0.01,-9.19774970151,0.01,100,0.5,200.0,0.01,100.0,1.0,-9.19774970151,200.0
1,1.00022,1.09649,-10.8472,-9.18047601649,200,7.66445,60.4758128498,0.0853581,60.4758128498,-9.00431,1.54484,2.13301e-06,0.00136808,-9.18047601649,0.005,100,0.5,182.400854447,0.00772249,184.349799654,0.273676,-9.18047601649,200.0
2,1.0,1.0,-10.502,-8.14135216816,200,6.83041,47.125825445,,47.125825445,-8.14135,1.0,3.50449e-18,0.01,-8.14135216816,0.01,100,0.5,200.0,0.01,100.0,1.0,-8.14135216816,200.0
1,1.01468,1.05673,-10.3869,-9.39797150901,200,7.06328,53.6276799378,0.0496499,53.6276799378,-8.67102,1.64373,1.2056e-06,0.00251381,-9.39797150901,0.005,100,0.5,189.263034327,0.00809979,190.842774317,0.51014,-9.39797150901,200.0
2,1.0,1.0,-9.95863,-7.613504155,200,6.48266,42.4493212368,,42.4493212368,-7.6135,1.0,3.50449e-18,0.01,-7.613504155,0.01,100,0.5,200.0,0.01,100.0,1.0,-7.613504155,200.0
1,1.01753,1.17035,-9.25017,-7.85618119628,200,6.93024,46.9513313597,0.167929,46.9513313597,-7.45623,2.16665,4.05483e-06,0.00160041,-7.85618119628,0.005,100,0.5,170.889770438,0.0106466,172.208563516,0.325692,-7.85618119628,200.0
2,1.0,1.0,-10.978,-8.56040512038,200,7.35009,54.5695701607,,54.5695701607,-8.5604,1.0,3.50449e-18,0.01,-8.56040512038,0.01,100,0.5,200.0,0.01,100.0,1.0,-8.56040512038,200.0
1,1.01758,1.11037,-9.67576,-7.47586472413,200,7.43737,52.3032146412,0.113228,52.3032146412,-7.83356,2.48404,2.73373e-06,0.00187475,-7.47586472413,0.005,100,0.5,180.119882265,0.0122056,180.374774698,0.381543,-7.47586472413,200.0
2,1.0,1.0,-11.199,-8.78866625633,200,7.51545,57.0524968003,,57.0524968003,-8.78867,1.0,3.50449e-18,0.01,-8.78866625633,0.01,100,0.5,200.0,0.01,100.0,1.0,-8.78866625633,200.0
1,1.0363,1.15283,-10.935,-9.9372114016,200,8.37611,63.0594409297,0.154436,63.0594409297,-9.10502,1.42087,3.59512e-06,0.000171778,-9.9372114016,0.005,100,0.5,173.485595824,0.00685545,174.964998136,0.0356028,-9.9372114016,200.0
2,1.0,1.0,-10.6434,-8.20809093085,200,7.33737,54.3808621841,,54.3808621841,-8.20809,1.0,3.50449e-18,0.01,-8.20809093085,0.01,100,0.5,200.0,0.01,100.0,1.0,-8.20809093085,200.0
1,1.00554,1.04206,-10.1991,-8.82876691815,200,7.26397,54.2237270623,0.0427782,54.2237270623,-8.44119,1.41899,1.05771e-06,0.002244,-8.82876691815,0.005,100,0.5,191.926932114,0.00705589,191.920731161,0.451286,-8.82876691815,200.0
2,1.0,1.0,-10.028,-7.58766612624,200,7.53021,57.2768519584,,57.2768519584,-7.58767,1.0,3.50449e-18,0.01,-7.58766612624,0.01,100,0.5,200.0,0.01,100.0,1.0,-7.58766612624,200.0
1,1.00061,1.12727,-8.76688,-6.76310876204,200,7.44521,52.562204513,0.0891414,52.562204513,-6.93479,2.9025,2.2258e-06,0.00404094,-6.76310876204,0.005,100,0.5,177.420143193,0.0145036,183.724471484,0.808684,-6.76310876204,200.0
2,1.0,1.0,-11.269,-8.84077805408,200,6.63002,44.4011454404,,44.4011454404,-8.84078,1.0,3.50449e-18,0.01,-8.84077805408,0.01,100,0.5,200.0,0.01,100.0,1.0,-8.84077805408,200.0
,1.05388,1.06012,-10.8308,-9.38183105444,300,6.8684,52.562204513,0.0384255,50.7971006461,-9.06295,1.23658,8.6492e-07,0.00163458,-6.76310876204,0.005,100,0.5,282.987471706,0.00586677,193.344339184,0.344531,-6.76310876204,200.0
1,1.00961,1.03184,-8.9117,-8.21602600056,300,7.49829,50.9775564162,0.034451,50.9775564162,-7.48053,2.23219,3.75539e-07,0.00284335,-8.21602600056,0.00333333,100,0.5,290.743230433,0.00736983,290.223548062,0.861199,-8.21602600056,200.0
2,1.0,1.0,-9.84229,-7.66066397261,300,6.50668,42.7645393298,,42.7645393298,-7.66066,1.0,3.50449e-18,0.01,-7.66066397261,0.01,100,0.5,300.0,0.01,100.0,1.0,-7.66066397261,200.0
2,1.0,1.0,-9.46061,-7.82478475063,300,6.72178,48.4993870313,,48.4993870313,-7.74272,1.0,2.1793e-19,0.005,-7.82478475063,0.005,100,0.5,300.0,0.005,200.000000102,1.0,-7.82478475063,200.0
1,0.990399,1.00843,-9.35322,-8.39378393939,300,6.95599,53.9413665333,0.00493251,53.9413665333,-7.94467,1.50021,5.58734e-08,0.00316751,-8.39378393939,0.00333333,100,0.5,297.492773048,0.00504919,298.503967871,0.941131,-8.39378393939,200.0
2,1.0,1.0,-11.2228,-8.80949059748,300,7.80344,61.5087840336,,61.5087840336,-8.80949,1.0,3.50449e-18,0.01,-8.80949059748,0.01,100,0.5,300.0,0.01,100.0,1.0,-8.80949059748,200.0
2,1.0,1.0,-9.8675,-7.51259604601,300,7.65215,55.9353621607,,55.9353621607,-8.16104,1.0,2.1793e-19,0.005,-7.51259604601,0.005,100,0.5,300.0,0.005,200.000000102,1.0,-7.51259604601,200.0
1,0.923,7.07679,-7.99089,-7.5093099389,300,10.741,45.759973237,5.49489,45.759973237,-4.28437,9.98134,7.16661e-05,,-7.5093099389,0.00333333,100,0.5,42.3921195049,0.0360467,40.3852815417,,-7.5093099389,200.0
2,1.0,1.0,-10.272,-7.84243811153,300,7.99588,64.5798668302,,64.5798668302,-7.84244,1.0,3.50449e-18,0.01,-7.84243811153,0.01,100,0.5,300.0,0.01,100.0,1.0,-7.84243811153,200.0
2,1.0,1.0,-9.36547,-7.45252593096,300,7.49926,48.9572669254,,48.9572669254,-7.64748,1.0,2.1793e-19,0.005,-7.45252593096,0.005,100,0.5,300.0,0.005,200.000000102,1.0,-7.45252593096,200.0
1,1.03412,1.51475,-8.91738,-8.12833670412,300,8.64605,59.2313502317,0.608085,59.2313502317,-7.19096,9.06993,6.31802e-06,0.00145367,-8.12833670412,0.00333333,100,0.5,198.052358717,0.0292356,191.482039734,0.45098,-8.12833670412,200.0
2,1.0,1.0,-11.5272,-9.11272875802,300,7.56556,57.8159018494,,57.8159018494,-9.11273,1.0,3.50449e-18,0.01,-9.11272875802,0.01,100,0.5,300.0,0.01,100.0,1.0,-9.11272875802,200.0
2,1.0,1.0,-10.2744,-8.00038392797,300,7.27269,48.4117530255,,48.4117530255,-8.55656,1.0,2.1793e-19,0.005,-8.00038392797,0.005,100,0.5,300.0,0.005,200.000000102,1.0,-8.00038392797,200.0
1,1.0138,1.03035,-9.92635,-8.48152355826,300,7.42579,54.9125500696,0.0234885,54.9125500696,-8.50261,1.14783,2.53929e-07,0.000965252,-8.48152355826,0.00333333,100,0.5,291.16253175,0.00377404,293.318898511,0.29357,-8.48152355826,200.0
2,1.0,1.0,-10.159,-7.74099143257,300,6.81804,46.9551916698,,46.9551916698,-7.74099,1.0,3.50449e-18,0.01,-7.74099143257,0.01,100,0.5,300.0,0.01,100.0,1.0,-7.74099143257,200.0
2,1.0,1.0,-10.0918,-9.00393386637,300,7.01057,51.5282723772,,51.5282723772,-8.37246,1.0,2.1793e-19,0.005,-9.00393386637,0.005,100,0.5,300.0,0.005,200.000000102,1.0,-9.00393386637,200.0
1,0.996937,1.016,-9.30303,-6.98938758692,300,6.9542,43.3412088226,0.0153281,43.3412088226,-7.88802,1.33504,1.7136e-07,0.00209938,-6.98938758692,0.00333333,100,0.5,295.274160679,0.00446381,295.458499336,0.627885,-6.98938758692,200.0
2,1.0,1.0,-9.82311,-7.43938030624,300,7.19711,52.3215680701,,52.3215680701,-7.43938,1.0,3.50449e-18,0.01,-7.43938030624,0.01,100,0.5,300.0,0.01,100.0,1.0,-7.43938030624,200.0
2,1.0,1.0,-9.52334,-8.2362103844,300,7.30378,55.1259142259,,55.1259142259,-7.8378,1.0,2.1793e-19,0.005,-8.2362103844,0.005,100,0.5,300.0,0.005,200.000000102,1.0,-8.2362103844,200.0
1,0.995041,4.74001,-8.17862,-9.32010308474,300,14.2406,57.9210708645,3.89273,57.9210708645,-5.18232,6.77502,4.36847e-05,3.14588e-38,-9.32010308474,0.00333333,100,0.5,63.2909831221,0.0226959,60.9940049922,9.39085e-36,-9.32010308474,200.0
2,1.0,1.0,-10.2286,-7.7966793778,300,6.799,46.6933687176,,46.6933687176,-7.79668,1.0,3.50449e-18,0.01,-7.7966793778,0.01,100,0.5,300.0,0.01,100.0,1.0,-7.7966793778,200.0
2,1.0,1.0,-9.1412,-7.04648192455,300,6.72751,44.4554611351,,44.4554611351,-7.42158,1.0,2.1793e-19,0.005,-7.04648192455,0.005,100,0.5,300.0,0.005,200.000000102,1.0,-7.04648192455,200.0
1,1.00279,1.20706,-8.88634,-8.06729705734,300,7.1243,53.6833691777,0.175462,53.6833691777,-7.34375,4.57536,1.93874e-06,0.00235318,-8.06729705734,0.00333333,100,0.5,248.537798236,0.0152088,255.557228705,0.707922,-8.06729705734,200.0
2,1.0,1.0,-11.4956,-9.07789636104,300,7.72391,60.2613880198,,60.2613880198,-9.0779,1.0,3.50449e-18,0.01,-9.07789636104,0.01,100,0.5,300.0,0.01,100.0,1.0,-9.07789636104,200.0
2,1.0,1.0,-11.3352,-10.173317025,300,7.84991,63.6197637288,,63.6197637288,-9.62561,1.0,2.1793e-19,0.005,-10.173317025,0.005,100,0.5,300.0,0.005,200.000000102,1.0,-10.173317025,200.0
,1.09687,1.10337,-10.6665,-8.75154203109,400,7.95224,53.6833691777,0.073902,56.0695070074,-9.20021,1.41258,6.82501e-07,0.000664199,-8.06729705734,0.00333333,100,0.5,362.526829384,0.00429277,282.69340773,0.218562,-8.06729705734,200.0
1,0.996291,1.16592,-8.47798,-6.54683428669,400,6.85857,38.6581924827,0.132244,38.6581924827,-7.16502,4.15879,8.32692e-07,0.00184443,-6.54683428669,0.0025,100,0.5,343.076004763,0.0104357,353.076914441,0.735034,-6.54683428669,200.0
2,1.0,1.0,-10.0307,-7.59421033616,400,7.52032,57.1264901436,,57.1264901436,-7.59421,1.0,3.50449e-18,0.01,-7.59421033616,0.01,100,0.5,400.0,0.01,100.0,1.0,-7.59421033616,200.0
2,1.0,1.0,-9.24879,-7.45760652366,400,7.45917,55.2666207493,,55.2666207493,-7.52591,1.0,2.1793e-19,0.005,-7.45760652366,0.005,100,0.5,400.0,0.005,200.000000102,1.0,-7.45760652366,200.0
2,1.0,1.0,-8.63299,-6.62697524757,400,7.05287,37.7895352311,,37.7895352311,-7.22626,1.0,5.43914e-20,0.00333333,-6.62697524757,0.00333333,100,0.5,400.0,0.00333333,299.999969474,1.0,-6.62697524757,200.0
1,1.01413,1.19238,-8.23507,-6.79450322609,400,7.13026,39.452579377,0.206568,39.452579377,-6.90478,5.60366,1.25532e-06,0.00195088,-6.79450322609,0.0025,100,0.5,335.46414407,0.0138139,333.236184886,0.791381,-6.79450322609,200.0
2,1.0,1.0,-11.2123,-8.77946681944,400,7.79504,61.3764061029,,61.3764061029,-8.77947,1.0,3.50449e-18,0.01,-8.77946681944,0.01,100,0.5,400.0,0.01,100.0,1.0,-8.77946681944,200.0
2,1.0,1.0,-10.3759,-8.53176198403,400,7.50015,52.2334727645,,52.2334727645,-8.65561,1.0,2.1793e-19,0.005,-8.53176198403,0.005,100,0.5,400.0,0.005,200.000000102,1.0,-8.53176198403,200.0
2,1.0,1.0,-9.55672,-7.14522067887,400,7.34719,48.4023601252,,48.4023601252,-8.15215,1.0,5.43914e-20,0.00333333,-7.14522067887,0.00333333,100,0.5,400.0,0.00333333,299.999969474,1.0,-7.14522067887,200.0
1,1.00659,1.09309,-9.00429,-6.86893032805,400,7.2572,41.8683037001,0.0856153,41.8683037001,-7.73254,3.25792,5.2811e-07,0.00201708,-6.86893032805,0.0025,100,0.5,365.936638615,0.00809145,368.906207754,0.81215,-6.86893032805,200.0
2,1.0,1.0,-9.78533,-7.434118996,400,7.13378,51.4049318252,,51.4049318252,-7.43412,1.0,3.50449e-18,0.01,-7.434118996,0.01,100,0.5,400.0,0.01,100.0,1.0,-7.434118996,200.0
2,1.0,1.0,-9.77003,-8.68859358694,400,7.40931,58.7051548588,,58.7051548588,-8.06136,1.0,2.1793e-19,0.005,-8.68859358694,0.005,100,0.5,400.0,0.005,200.000000102,1.0,-8.68859358694,200.0
2,1.0,1.0,-9.76152,-8.94837918384,400,7.67087,66.8751147269,,66.8751147269,-8.35703,1.0,5.43914e-20,0.00333333,-8.94837918384,0.00333333,100,0.5,400.0,0.00333333,299.999969474,1.0,-8.94837918384,200.0
1,0.995883,1.15367,-9.52101,-8.54402078631,400,8.0734,57.1039206228,0.126878,57.1039206228,-8.21457,4.01262,7.9956e-07,0.00199229,-8.54402078631,0.0025,100,0.5,346.719039987,0.010073,354.732588089,0.793634,-8.54402078631,200.0
2,1.0,1.0,-10.7251,-8.30651316215,400,7.13327,51.3975494296,,51.3975494296,-8.30651,1.0,3.50449e-18,0.01,-8.30651316215,0.01,100,0.5,400.0,0.01,100.0,1.0,-8.30651316215,200.0
2,1.0,1.0,-10.0263,-8.32567202212,400,7.17369,52.5654864412,,52.5654864412,-8.31609,1.0,2.1793e-19,0.005,-8.32567202212,0.005,100,0.5,400.0,0.005,200.000000102,1.0,-8.32567202212,200.0
2,1.0,1.0,-9.77868,-8.51473174475,400,7.38972,61.4889889828,,61.4889889828,-8.38231,1.0,5.43914e-20,0.00333333,-8.51473174475,0.00333333,100,0.5,400.0,0.00333333,299.999969474,1.0,-8.51473174475,200.0
1,0.958974,1.47799,-9.18397,-7.69185287663,400,8.8478,56.8481166144,0.472626,56.8481166144,-7.7138,1.94756,3.21207e-06,1.31136e-11,-7.69185287663,0.0025,100,0.5,270.637950947,0.0050772,264.437299925,5.03024e-09,-7.69185287663,200.0
2,1.0,1.0,-10.5849,-8.16062820592,400,6.77246,46.3295760388,,46.3295760388,-8.16063,1.0,3.50449e-18,0.01,-8.16062820592,0.01,100,0.5,400.0,0.01,100.0,1.0,-8.16062820592,200.0
2,1.0,1.0,-9.76555,-7.94205885723,400,6.98239,52.1386648082,,52.1386648082,-8.05134,1.0,2.1793e-19,0.005,-7.94205885723,0.005,100,0.5,400.0,0.005,200.000000102,1.0,-7.94205885723,200.0
2,1.0,1.0,-9.45447,-8.05649144857,400,7.16585,57.111687773,,57.111687773,-8.05306,1.0,5.43914e-20,0.00333333,-8.05649144857,0.00333333,100,0.5,400.0,0.00333333,299.999969474,1.0,-8.05649144857,200.0
1,1.00022,1.16551,-9.32891,-8.64159591841,400,7.45108,54.6182270898,0.155786,54.6182270898,-8.01713,4.20329,9.73236e-07,0.00200531,-8.64159591841,0.0025,100,0.5,343.197030342,0.0105059,346.221932481,0.8023,-8.64159591841,200.0
2,1.0,1.0,-11.9001,-9.52191695279,400,7.50956,56.9631818144,,56.9631818144,-9.52192,1.0,3.50449e-18,0.01,-9.52191695279,0.01,100,0.5,400.0,0.01,100.0,1.0,-9.52191695279,200.0
2,1.0,1.0,-10.7412,-8.51932898946,400,7.33488,51.2169990725,,51.2169990725,-9.02062,1.0,2.1793e-19,0.005,-8.51932898946,0.005,100,0.5,400.0,0.005,200.000000102,1.0,-8.51932898946,200.0
2,1.0,1.0,-10.1327,-8.1424202417,400,7.35851,54.8768230525,,54.8768230525,-8.72789,1.0,5.43914e-20,0.00333333,-8.1424202417,0.00333333,100,0.5,400.0,0.00333333,299.999969474,1.0,-8.1424202417,200.0
1,1.00068,1.19124,-9.77294,-8.50706798136,400,7.84825,55.221172816,0.179401,55.221172816,-8.44505,1.82341,1.11973e-06,0.000321934,-8.50706798136,0.0025,100,0.5,335.785380325,0.00455541,339.354575684,0.128862,-8.50706798136,200.0
2,1.0,1.0,-10.4088,-8.0480195586,400,7.51402,57.0308204135,,57.0308204135,-8.04802,1.0,3.50449e-18,0.01,-8.0480195586,0.01,100,0.5,400.0,0.01,100.0,1.0,-8.0480195586,200.0
2,1.0,1.0,-9.42285,-7.4142247553,400,7.27012,49.5434371934,,49.5434371934,-7.73112,1.0,2.1793e-19,0.005,-7.4142247553,0.005,100,0.5,400.0,0.005,200.000000102,1.0,-7.4142247553,200.0
2,1.0,1.0,-9.04819,-7.47917447584,400,7.16509,48.7512868159,,48.7512868159,-7.64714,1.0,5.43914e-20,0.00333333,-7.47917447584,0.00333333,100,0.5,400.0,0.00333333,299.999969474,1.0,-7.47917447584,200.0
1,1.00436,1.03024,-8.83846,-7.66538971188,400,7.15224,42.7069174525,0.0243791,42.7069174525,-7.6069,2.09059,1.5105e-07,0.00223487,-7.66538971188,0.0025,100,0.5,388.259024239,0.00520381,390.583949294,0.897843,-7.66538971188,200.0
2,1.0,1.0,-9.83578,-7.4144884508,400,7.16313,51.8287597383,,51.8287597383,-7.41449,1.0,3.50449e-18,0.01,-7.4144884508,0.01,100,0.5,400.0,0.01,100.0,1.0,-7.4144884508,200.0
2,1.0,1.0,-9.09201,-7.34530160109,400,6.9512,45.7833387759,,45.7833387759,-7.3799,1.0,2.1793e-19,0.005,-7.34530160109,0.005,100,0.5,400.0,0.005,200.000000102,1.0,-7.34530160109,200.0
2,1.0,1.0,-9.04497,-8.18131125444,400,6.88741,45.6998735647,,45.6998735647,-7.64703,1.0,5.43914e-20,0.00333333,-8.18131125444,0.00333333,100,0.5,400.0,0.00333333,299.999969474,1.0,-8.18131125444,200.0
1,0.97949,1.12324,-8.92425,-8.19690044819,400,7.41585,57.4912503995,0.100181,57.4912503995,-7.64117,2.65061,6.52624e-07,0.00144224,-8.19690044819,0.0025,100,0.5,356.113734177,0.00676529,362.266642376,0.565063,-8.19690044819,200.0
2,1.0,1.0,-10.5081,-8.09722303934,400,7.35744,54.6786779439,,54.6786779439,-8.09722,1.0,3.50449e-18,0.01,-8.09722303934,0.01,100,0.5,400.0,0.01,100.0,1.0,-8.09722303934,200.0
2,1.0,1.0,-9.41678,-7.32686595733,400,7.31342,53.0743945822,,53.0743945822,-7.71204,1.0,2.1793e-19,0.005,-7.32686595733,0.005,100,0.5,400.0,0.005,200.000000102,1.0,-7.32686595733,200.0
2,1.0,1.0,-9.05752,-7.57271840329,400,7.41257,58.4376811458,,58.4376811458,-7.6656,1.0,5.43914e-20,0.00333333,-7.57271840329,0.00333333,100,0.5,400.0,0.00333333,299.999969474,1.0,-7.57271840329,200.0
1,1.05355,1.23974,-8.85818,-8.22543838085,400,8.3523,47.8457580068,0.430286,47.8457580068,-7.516,9.5012,2.42286e-06,0.00188104,-8.22543838085,0.0025,100,0.5,322.647828189,0.0225457,288.456926682,0.792708,-8.22543838085,200.0
2,1.0,1.0,-11.173,-8.74594516813,400,7.94264,63.722779744,,63.722779744,-8.74594,1.0,3.50449e-18,0.01,-8.74594516813,0.01,100,0.5,400.0,0.01,100.0,1.0,-8.74594516813,200.0
2,1.0,1.0,-10.0762,-7.97405325689,400,7.45585,48.2787338558,,48.2787338558,-8.36,1.0,2.1793e-19,0.005,-7.97405325689,0.005,100,0.5,400.0,0.005,200.000000102,1.0,-7.97405325689,200.0
2,1.0,1.0,-9.40135,-7.28024288694,400,7.22159,44.9470649974,,44.9470649974,-8.00008,1.0,5.43914e-20,0.00333333,-7.28024288694,0.00333333,100,0.5,400.0,0.00333333,299.999969474,1.0,-7.28024288694,200.0
1,0.995589,1.02106,-9.24946,-8.19940052118,400,7.11484,46.9732044123,0.0177942,46.9732044123,-8.02321,1.75309,1.12202e-07,0.00226342,-8.19940052118,0.0025,100,0.5,391.748016126,0.00440213,392.963056822,0.901374,-8.19940052118,200.0
