VarJ,EpsThisIter,ESSClassic,AvgEpLen,MinNormIw,AvgVanillaIw,VarDiscRet,AvgRet,Delta,Bound,IterType,AvgNormIw,eRenyi2,VanillaAvgRet,AvgDiscRet,VarRet,J,MaxNormIw,MaxVanillaIw,ESSRenyi,VarVanillaIw,VarNormIw,BatchSize,MinVanillaIw
45.1922,100,156.028736778,106.29,0.000103433,0.96356,5008.03132003,-75.982691817,0.8,-84.2782,1,0.005,1.24741,-75.982691817,-75.982691817,5008.03132003,-67.8062,0.00938574,1.80875,160.33174109,0.262966,7.08079e-06,200,0.0199327
60.845,100,100.0,108.66,0.01,1.0,3739.51166472,-76.748409109,0.8,-97.6054,2,0.01,1.0,-76.748409109,-76.748409109,3739.51166472,-76.7484,0.01,1.0,200.0,,3.50449e-18,200,1.0
61.6101,100,179.784600573,108.6,0.000370754,1.00038,4946.10299924,-77.4638805781,0.8,-90.9791,1,0.005,1.10121,-77.4638805781,-77.4638805781,4946.10299924,-75.5026,0.00816693,1.634,181.617792404,0.113092,2.82518e-06,200,0.0741787
50.3835,100,100.0,101.92,0.01,1.0,2564.14231253,-71.2842360759,0.8,-92.1382,2,0.01,1.0,-71.2842360759,-71.2842360759,2564.14231253,-71.2842,0.01,1.0,200.0,,3.50449e-18,200,1.0
49.7519,100,155.5700256,109.87,0.000147632,0.979654,4950.42920132,-78.5577352735,0.8,-88.066,1,0.005,1.28099,-78.5577352735,-78.5577352735,4950.42920132,-71.374,0.0112941,2.21287,156.128836412,0.275469,7.17575e-06,200,0.0289257
96.6136,100,100.0,123.92,0.01,1.0,9428.46610796,-91.0116204806,0.8,-111.869,2,0.01,1.0,-91.0116204806,-91.0116204806,9428.46610796,-91.0116,0.01,1.0,200.0,,3.50449e-18,200,1.0
82.2216,100,122.267356563,113.61,3.99429e-09,0.902102,6094.02478245,-81.7060466996,0.8,-96.9163,1,0.005,1.59665,-81.7060466996,-81.7060466996,6094.02478245,-78.2807,0.0169334,3.05514,125.262220767,0.519974,1.59739e-05,200,7.20651e-07
106.947,100,100.0,131.17,0.01,1.0,11553.196516,-97.6754160322,0.8,-118.533,2,0.01,1.0,-97.6754160322,-97.6754160322,11553.196516,-97.6754,0.01,1.0,200.0,,3.50449e-18,200,1.0
74.7409,100,158.194152165,106.43,0.00325499,1.07327,3778.10175284,-75.4881921665,0.8,-98.3702,1,0.005,1.22402,-75.4881921665,-75.4881921665,3778.10175284,-82.0534,0.0231298,4.96492,163.395815496,0.305944,6.63992e-06,200,0.698699
70.0263,100,100.0,109.16,0.01,1.0,4953.21973945,-77.957624943,0.8,-98.8147,2,0.01,1.0,-77.957624943,-77.957624943,4953.21973945,-77.9576,0.01,1.0,200.0,,3.50449e-18,200,1.0
86.1748,100,101.692351564,128.27,1.47375e-17,1.11253,10450.0195288,-95.0362807992,0.8,-98.5198,1,0.005,2.06601,-95.0362807992,-95.0362807992,10450.0195288,-77.3213,0.0139817,3.111,96.8047291937,1.20253,2.42894e-05,200,3.27917e-15
110.971,100,100.0,137.73,0.01,1.0,12438.9082332,-102.788481296,0.8,-123.648,2,0.01,1.0,-102.788481296,-102.788481296,12438.9082332,-102.788,0.01,1.0,200.0,,3.50449e-18,200,1.0
93.6998,100,13.9485010241,119.23,4.53158e-09,1.19867,8373.35570479,-87.0855061795,0.8,-100.975,1,0.005,4.02188,-87.0855061795,-87.0855061795,8373.35570479,-71.395,0.249362,59.7805,49.7279565745,19.2611,0.000335137,200,1.08637e-06
70.1694,100,100.0,107.93,0.01,1.0,4973.47871149,-77.1486998577,0.8,-98.0055,2,0.01,1.0,-77.1486998577,-77.1486998577,4973.47871149,-77.1487,0.01,1.0,200.0,,3.50449e-18,200,1.0
57.5977,100,182.764629175,105.1,0.00117244,1.01479,3782.27942237,-74.6771291859,0.8,-89.6984,1,0.005,1.09709,-74.6771291859,-74.6771291859,3782.27942237,-74.2509,0.0159077,3.22861,182.300091839,0.0976026,2.36945e-06,200,0.237956
61.2464,100,100.0,106.35,0.01,1.0,3789.01150013,-75.4136244763,0.8,-96.2705,2,0.01,1.0,-75.4136244763,-75.4136244763,3789.01150013,-75.4136,0.01,1.0,200.0,,3.50449e-18,200,1.0
56.0961,100,129.582370233,114.86,6.1706e-07,0.948905,7259.99189541,-83.3544469708,0.8,-92.106,1,0.005,1.45475,-83.3544469708,-83.3544469708,7259.99189541,-74.3178,0.0136027,2.58153,137.480277976,0.491766,1.36538e-05,200,0.000117106
50.6202,100,100.0,99.32,0.01,1.0,2588.28764193,-70.3744614868,0.8,-91.2316,2,0.01,1.0,-70.3744614868,-70.3744614868,2588.28764193,-70.3745,0.01,1.0,200.0,,3.50449e-18,200,1.0
46.5625,100,192.251645025,101.22,0.00200701,1.01684,2554.81517598,-71.1114754133,0.8,-84.8007,1,0.005,1.05571,-71.1114754133,-71.1114754133,2554.81517598,-69.6472,0.0114892,2.33653,189.445480784,0.0418809,1.01263e-06,200,0.40816
90.9322,100,100.0,120.18,0.01,1.0,8352.1870557,-88.074765926,0.8,-108.932,2,0.01,1.0,-88.074765926,-88.074765926,8352.1870557,-88.0748,0.01,1.0,200.0,,3.50449e-18,200,1.0
66.0912,100,156.331654524,100.09,0.00362628,1.00847,2570.10853931,-70.5681105524,0.8,-92.8792,1,0.005,1.14983,-70.5681105524,-70.5681105524,2570.10853931,-77.0647,0.0315159,6.35659,173.938902894,0.285512,7.01838e-06,200,0.7314
61.358,100,100.0,103.78,0.01,1.0,3802.83432906,-73.89718899,0.8,-94.7544,2,0.01,1.0,-73.89718899,-73.89718899,3802.83432906,-73.8972,0.01,1.0,200.0,,3.50449e-18,200,1.0
73.7149,100,176.731761606,115.0,0.00025667,0.970424,7285.50305583,-84.3126747736,0.8,-92.8581,1,0.005,1.11124,-84.3126747736,-84.3126747736,7285.50305583,-77.3111,0.00779055,1.51203,179.979330053,0.124609,3.308e-06,200,0.0498157
36.7278,100,100.0,98.41,0.01,1.0,1362.56025136,-68.690624499,0.8,-89.5462,2,0.01,1.0,-68.690624499,-68.690624499,1362.56025136,-68.6906,0.01,1.0,200.0,,3.50449e-18,200,1.0
43.6428,100,169.774245368,108.44,0.000666444,1.01799,4975.11452042,-77.362406674,0.8,-86.0366,1,0.005,1.16467,-77.362406674,-77.362406674,4975.11452042,-70.1204,0.0112556,2.29162,171.721988985,0.185425,4.47325e-06,200,0.135686
77.3898,100,100.0,115.0,0.01,1.0,6049.68335722,-83.0499406745,0.8,-103.907,2,0.01,1.0,-83.0499406745,-83.0499406745,6049.68335722,-83.0499,0.01,1.0,200.0,,3.50449e-18,200,1.0
23.7441,100,75.5148870928,105.5,1.58917e-19,0.819369,3752.03047452,-75.0993195044,0.8,-87.7933,1,0.005,2.26337,-75.0993195044,-75.0993195044,3752.03047452,-65.6056,0.0194023,3.17952,88.3636797245,1.1123,4.14192e-05,200,2.60424e-17
70.0416,100,100.0,107.68,0.01,1.0,4955.37650897,-77.4264279285,0.8,-98.2834,2,0.01,1.0,-77.4264279285,-77.4264279285,4955.37650897,-77.4264,0.01,1.0,200.0,,3.50449e-18,200,1.0
62.2149,100,141.956383233,110.49,1.08346e-05,0.93821,6129.28003256,-79.9038187629,0.8,-90.5794,1,0.005,1.4167,-79.9038187629,-79.9038187629,6129.28003256,-73.0255,0.0133893,2.5124,141.173385899,0.361723,1.02734e-05,200,0.00203302
69.9979,100,100.0,109.16,0.01,1.0,4949.19501312,-78.8151686513,0.8,-99.6709,2,0.01,1.0,-78.8151686513,-78.8151686513,4949.19501312,-78.8152,0.01,1.0,200.0,,3.50449e-18,200,1.0
55.5289,100,135.735572043,108.56,6.97873e-05,1.0066,4984.35161089,-77.8376290546,0.8,-89.7491,1,0.005,1.48469,-77.8376290546,-77.8376290546,4984.35161089,-71.779,0.0142344,2.86566,134.708508816,0.482132,1.18958e-05,200,0.0140495
61.2094,100,100.0,104.01,0.01,1.0,3784.42951701,-73.6805003193,0.8,-94.5363,2,0.01,1.0,-73.6805003193,-73.6805003193,3784.42951701,-73.6805,0.01,1.0,200.0,,3.50449e-18,200,1.0
58.4485,100,180.539816192,110.96,0.00364119,0.991436,6147.10882195,-80.709711528,0.8,-90.2894,1,0.005,1.14186,-80.709711528,-80.709711528,6147.10882195,-74.5299,0.0134513,2.66721,175.153258433,0.106483,2.70826e-06,200,0.722002
96.5961,100,100.0,124.61,0.01,1.0,9425.06665035,-91.3871395634,0.8,-112.244,2,0.01,1.0,-91.3871395634,-91.3871395634,9425.06665035,-91.3871,0.01,1.0,200.0,,3.50449e-18,200,1.0
58.0981,100,91.3138733598,107.23,2.11033e-09,1.04013,3754.41672076,-76.1001618524,0.8,-94.5058,1,0.005,2.35832,-76.1001618524,-76.1001618524,3754.41672076,-71.8572,0.0192078,3.99571,84.806090391,1.29415,2.99057e-05,200,4.39001e-07
36.7192,100,100.0,97.44,0.01,1.0,1361.91971249,-67.6795930569,0.8,-88.5314,2,0.01,1.0,-67.6795930569,-67.6795930569,1361.91971249,-67.6796,0.01,1.0,200.0,,3.50449e-18,200,1.0
49.3823,100,106.059415625,131.25,2.28184e-06,0.981055,10332.7610503,-97.3799894817,0.8,-90.9165,1,0.005,1.87153,-97.3799894817,-97.3799894817,10332.7610503,-70.7404,0.0186128,3.65204,106.864467955,0.856776,2.22547e-05,200,0.000447722
61.1171,100,100.0,104.14,0.01,1.0,3773.02979676,-74.0922003712,0.8,-94.9491,2,0.01,1.0,-74.0922003712,-74.0922003712,3773.02979676,-74.0922,0.01,1.0,200.0,,3.50449e-18,200,1.0
53.3176,100,147.660111279,110.1,0.00255639,1.01954,6160.91530571,-79.636084636,0.8,-89.4329,1,0.005,1.23367,-79.636084636,-79.636084636,6160.91530571,-73.0521,0.0276016,5.6282,162.118551131,0.370302,8.90607e-06,200,0.52127
90.6332,100,100.0,121.17,0.01,1.0,8297.34638103,-88.7877410661,0.8,-109.645,2,0.01,1.0,-88.7877410661,-88.7877410661,8297.34638103,-88.7877,0.01,1.0,200.0,,3.50449e-18,200,1.0
85.5887,100,178.570363631,120.72,0.00206728,0.974089,8337.90472348,-88.149427999,0.8,-101.588,1,0.005,1.15089,-88.149427999,-88.149427999,8337.90472348,-85.7662,0.0171197,3.33523,173.779293092,0.11444,3.01524e-06,200,0.402742
69.9283,100,100.0,108.61,0.01,1.0,4939.36287812,-77.86247694,0.8,-98.7173,2,0.01,1.0,-77.86247694,-77.86247694,4939.36287812,-77.8625,0.01,1.0,200.0,,3.50449e-18,200,1.0
66.0785,100,180.237999671,107.18,0.000588986,1.03478,4978.53631625,-76.8285668121,0.8,-90.5108,1,0.005,1.13889,-76.8285668121,-76.8285668121,4978.53631625,-74.7717,0.011291,2.33675,175.609837792,0.117994,2.75488e-06,200,0.121894
11.2716,100,100.0,92.45,0.01,1.0,128.332283491,-63.6758372515,0.8,-68.8979,2,0.01,1.0,-63.6758372515,-63.6758372515,128.332283491,-63.6758,0.01,1.0,200.0,,3.50449e-18,200,1.0
35.1113,100,177.163070217,110.83,0.000485799,1.0074,4926.45650033,-79.3476648262,0.8,-84.1618,1,0.005,1.14483,-79.3476648262,-79.3476648262,4926.45650033,-68.3819,0.0145218,2.92585,174.697700959,0.131476,3.23878e-06,200,0.0978788
77.0924,100,100.0,116.33,0.01,1.0,6003.26853996,-83.9190109348,0.8,-104.776,2,0.01,1.0,-83.9190109348,-83.9190109348,6003.26853996,-83.919,0.01,1.0,200.0,,3.50449e-18,200,1.0
45.4257,100,94.1571266578,114.2,3.92258e-12,1.17308,6066.38315659,-82.4690833172,0.8,-93.0865,1,0.005,2.3205,-82.4690833172,-82.4690833172,6066.38315659,-70.6204,0.0177933,4.1746,86.1884758496,1.55468,2.82439e-05,200,9.20301e-10
70.228,100,100.0,108.7,0.01,1.0,4981.79315071,-78.4385052708,0.8,-99.2957,2,0.01,1.0,-78.4385052708,-78.4385052708,4981.79315071,-78.4385,0.01,1.0,200.0,,3.50449e-18,200,1.0
62.4816,100,164.825600468,110.32,0.000209626,0.989868,4924.84906412,-78.8997056372,0.8,-91.6326,1,0.005,1.19368,-78.8997056372,-78.8997056372,4924.84906412,-75.5193,0.013258,2.62474,167.549235742,0.210152,5.36191e-06,200,0.0415003
84.5899,100,100.0,117.54,0.01,1.0,7227.72415535,-85.1193065912,0.8,-105.977,2,0.01,1.0,-85.1193065912,-85.1193065912,7227.72415535,-85.1193,0.01,1.0,200.0,,3.50449e-18,200,1.0
43.6596,100,124.456164841,97.21,9.18037e-07,0.933497,1379.16121096,-68.0352568705,0.8,-86.407,1,0.005,1.4969,-68.0352568705,-68.0352568705,1379.16121096,-68.3628,0.015743,2.93921,133.609877877,0.5316,1.5251e-05,200,0.000171397
90.7548,100,100.0,120.96,0.01,1.0,8319.63094864,-88.5200767782,0.8,-109.377,2,0.01,1.0,-88.5200767782,-88.5200767782,8319.63094864,-88.5201,0.01,1.0,200.0,,3.50449e-18,200,1.0
31.7845,100,95.3808286459,97.3,4.7958e-08,0.966467,1373.7545153,-67.7704983766,0.8,-87.6089,1,0.005,1.94418,-67.7704983766,-67.7704983766,1373.7545153,-67.0453,0.0166651,3.22125,102.870899327,1.02968,2.75592e-05,200,9.26997e-06
90.6161,100,100.0,121.22,0.01,1.0,8294.21670326,-89.3081103423,0.8,-110.165,2,0.01,1.0,-89.3081103423,-89.3081103423,8294.21670326,-89.3081,0.01,1.0,200.0,,3.50449e-18,200,1.0
69.3476,100,82.9253071082,112.26,4.00709e-11,0.938266,6127.06813484,-81.0699702553,0.8,-94.6289,1,0.005,2.1528,-81.0699702553,-81.0699702553,6127.06813484,-72.9896,0.027591,5.17754,92.9022117829,1.24912,3.54726e-05,200,7.51944e-09
61.0756,100,100.0,104.96,0.01,1.0,3767.90596703,-74.6280502489,0.8,-95.4849,2,0.01,1.0,-74.6280502489,-74.6280502489,3767.90596703,-74.6281,0.01,1.0,200.0,,3.50449e-18,200,1.0
73.5283,100,176.844245542,123.8,0.00284164,0.989705,9440.53224808,-91.0987778038,0.8,-95.6662,1,0.005,1.18272,-91.0987778038,-91.0987778038,9440.53224808,-79.627,0.0129724,2.56777,169.101125747,0.128901,3.28992e-06,200,0.562477
10.8561,100,100.0,93.64,0.01,1.0,119.044348047,-64.721416177,0.8,-69.5882,2,0.01,1.0,-64.721416177,-64.721416177,119.044348047,-64.7214,0.01,1.0,200.0,,3.50449e-18,200,1.0
41.2403,100,166.066039872,115.04,7.13034e-05,1.01122,6059.23606472,-83.0746006981,0.8,-86.1249,1,0.005,1.19574,-83.0746006981,-83.0746006981,6059.23606472,-69.998,0.0140867,2.84894,167.260977002,0.21,5.13417e-06,200,0.0144207
77.8537,100,100.0,112.23,0.01,1.0,6122.42251477,-81.2265172672,0.8,-102.083,2,0.01,1.0,-81.2265172672,-81.2265172672,6122.42251477,-81.2265,0.01,1.0,200.0,,3.50449e-18,200,1.0
67.6404,100,184.998985861,113.23,0.00382025,0.973067,6105.25841748,-81.5052021737,0.8,-94.4211,1,0.005,1.13716,-81.5052021737,-81.5052021737,6105.25841748,-78.694,0.0126203,2.45608,175.876477744,0.077164,2.03737e-06,200,0.743471
61.3972,100,100.0,104.12,0.01,1.0,3807.69162522,-73.8885803118,0.8,-94.7452,2,0.01,1.0,-73.8885803118,-73.8885803118,3807.69162522,-73.8886,0.01,1.0,200.0,,3.50449e-18,200,1.0
47.9688,100,155.088254601,106.43,0.000408814,0.979634,4977.09925398,-76.743491192,0.8,-87.7741,1,0.005,1.31951,-76.743491192,-76.743491192,4977.09925398,-70.8331,0.0159779,3.13051,151.571267979,0.279309,7.27609e-06,200,0.0800977
69.9803,100,100.0,108.95,0.01,1.0,4946.71090941,-77.9748500982,0.8,-98.8319,2,0.01,1.0,-77.9748500982,-77.9748500982,4946.71090941,-77.9749,0.01,1.0,200.0,,3.50449e-18,200,1.0
28.4019,100,87.6086101962,115.63,5.25551e-14,0.947294,6061.7798093,-83.6695086983,0.8,-89.445,1,0.005,2.19399,-83.6695086983,-83.6695086983,6061.7798093,-67.5998,0.0190178,3.60308,91.1582771378,1.157,3.22332e-05,200,9.95703e-12
61.0986,100,100.0,103.64,0.01,1.0,3770.74951753,-73.6753285044,0.8,-94.5312,2,0.01,1.0,-73.6753285044,-73.6753285044,3770.74951753,-73.6753,0.01,1.0,200.0,,3.50449e-18,200,1.0
57.4414,100,159.88001521,112.99,0.000656479,1.02999,6108.4994967,-81.649945731,0.8,-90.3193,1,0.005,1.24465,-81.649945731,-81.649945731,6108.4994967,-73.8658,0.0149676,3.08331,160.68774273,0.267555,6.30497e-06,200,0.135234
70.1621,100,100.0,109.18,0.01,1.0,4972.44166094,-78.4728533015,0.8,-99.33,2,0.01,1.0,-78.4728533015,-78.4728533015,4972.44166094,-78.4729,0.01,1.0,200.0,,3.50449e-18,200,1.0
59.892,100,164.542883961,106.37,9.0655e-06,1.01164,4979.71484727,-76.1302229355,0.8,-90.5211,1,0.005,1.19966,-76.1302229355,-76.1302229355,4979.71484727,-74.3675,0.0118145,2.3904,166.714075775,0.221642,5.41429e-06,200,0.0018342
69.7732,100,100.0,110.64,0.01,1.0,4917.47970011,-78.7317459677,0.8,-99.5889,2,0.01,1.0,-78.7317459677,-78.7317459677,4917.47970011,-78.7318,0.01,1.0,200.0,,3.50449e-18,200,1.0
31.1294,100,114.81534161,104.99,1.33762e-10,0.982153,3759.93318605,-74.4989012703,0.8,-87.7319,1,0.005,1.71014,-74.4989012703,-74.4989012703,3759.93318605,-68.4453,0.0151551,2.97694,116.94931086,0.719279,1.86414e-05,200,2.6275e-08
90.7051,100,100.0,120.4,0.01,1.0,8310.52681692,-88.5547979924,0.8,-109.412,2,0.01,1.0,-88.5547979924,-88.5547979924,8310.52681692,-88.5548,0.01,1.0,200.0,,3.50449e-18,200,1.0
77.8909,100,192.636694972,108.01,0.00421897,0.986091,4970.72508385,-77.2035401841,0.8,-97.3272,1,0.005,1.04289,-77.2035401841,-77.2035401841,4970.72508385,-82.266,0.0110989,2.1889,191.773977325,0.0373549,9.60404e-07,200,0.832058
50.5017,100,100.0,99.48,0.01,1.0,2576.17856397,-70.1796156612,0.8,-91.0365,2,0.01,1.0,-70.1796156612,-70.1796156612,2576.17856397,-70.1796,0.01,1.0,200.0,,3.50449e-18,200,1.0
30.7743,100,164.984079567,101.12,1.07016e-05,1.04733,2624.29452444,-71.3190910512,0.8,-82.2701,1,0.005,1.21711,-71.3190910512,-71.3190910512,2624.29452444,-65.9997,0.0133542,2.79724,164.323567028,0.233974,5.33262e-06,200,0.00224163
61.0663,100,100.0,105.6,0.01,1.0,3766.75718553,-74.9513763358,0.8,-95.8077,2,0.01,1.0,-74.9513763358,-74.9513763358,3766.75718553,-74.9514,0.01,1.0,200.0,,3.50449e-18,200,1.0
54.5159,100,157.231703215,107.81,0.000778176,1.04352,4976.52174844,-76.8001886448,0.8,-88.5249,1,0.005,1.2619,-76.8001886448,-76.8001886448,4976.52174844,-71.9578,0.0136163,2.84177,158.491320357,0.297687,6.83437e-06,200,0.162408
61.1088,100,100.0,104.23,0.01,1.0,3772.00902369,-73.9167525855,0.8,-94.7738,2,0.01,1.0,-73.9167525855,-73.9167525855,3772.00902369,-73.9168,0.01,1.0,200.0,,3.50449e-18,200,1.0
61.3021,100,144.089024254,117.9,3.6612e-06,1.06551,7210.29547277,-85.9773769464,0.8,-91.9436,1,0.005,1.42997,-85.9773769464,-85.9773769464,7210.29547277,-74.3076,0.0109633,2.3363,139.863397977,0.442747,9.74951e-06,200,0.000780206
61.4085,100,100.0,103.52,0.01,1.0,3809.09943291,-73.5837206966,0.8,-94.4407,2,0.01,1.0,-73.5837206966,-73.5837206966,3809.09943291,-73.5837,0.01,1.0,200.0,,3.50449e-18,200,1.0
57.3588,100,115.265334729,115.7,7.94884e-07,1.16038,7241.96258761,-84.3757405889,0.8,-91.1358,1,0.005,1.91659,-84.3757405889,-84.3757405889,7241.96258761,-70.7183,0.0150853,3.50093,104.351806792,0.994808,1.84705e-05,200,0.000184473
50.5192,100,100.0,102.99,0.01,1.0,2577.96624325,-72.8081082685,0.8,-93.6652,2,0.01,1.0,-72.8081082685,-72.8081082685,2577.96624325,-72.8081,0.01,1.0,200.0,,3.50449e-18,200,1.0
23.0335,100,105.690334642,119.4,4.49166e-07,1.03264,7165.8463031,-86.5432159594,0.8,-87.6837,1,0.005,1.8412,-86.5432159594,-86.5432159594,7165.8463031,-67.6717,0.0148386,3.06458,108.624887618,0.956305,2.24201e-05,200,9.27654e-05
36.7998,100,100.0,96.76,0.01,1.0,1367.90680522,-67.4982157448,0.8,-88.3554,2,0.01,1.0,-67.4982157448,-67.4982157448,1367.90680522,-67.4982,0.01,1.0,200.0,,3.50449e-18,200,1.0
41.9278,100,186.70672424,105.91,0.00342626,1.01291,3770.09388958,-75.7533150972,0.8,-85.5613,1,0.005,1.08122,-75.7533150972,-75.7533150972,3770.09388958,-70.2258,0.0128972,2.61275,184.976164104,0.0734169,1.78892e-06,200,0.694102
77.7494,100,100.0,112.61,0.01,1.0,6106.03657831,-80.8275132497,0.8,-101.684,2,0.01,1.0,-80.8275132497,-80.8275132497,6106.03657831,-80.8275,0.01,1.0,200.0,,3.50449e-18,200,1.0
86.3144,100,191.01353891,105.91,0.0018324,1.04436,9318.46370339,-75.7533150972,0.8,-100.748,,0.005,1.05843,-75.7533150972,-93.1693806298,3770.09388958,-85.575,0.00689754,1.44071,283.439104711,0.051571,1.18207e-06,300,0.382739
40.0072,100,279.99505746,98.7,0.00248141,1.01024,1352.78663331,-68.868297085,0.8,-82.2041,1,0.00333333,1.0706,-68.868297085,-68.868297085,1352.78663331,-69.7444,0.0114422,3.46782,280.216349112,0.0731619,7.96513e-07,300,0.752047
90.7771,100,100.0,120.75,0.01,1.0,8323.72757489,-88.3589171723,0.8,-109.216,2,0.01,1.0,-88.3589171723,-88.3589171723,8323.72757489,-88.3589,0.01,1.0,300.0,,3.50449e-18,300,1.0
