LearnableVariance,VarianceInit,EpRewMean,InitialReturnMax,EpLenMean,StdIW,MeanIWNorm,StdIWNorm,MaxIWNorm,ReturnMeanIW,EpThisIter,TimeElapsed,InitialReturnMin,Iteration,EpisodesSoFar,EmpiricalD2,OptimizationReturnMean,MinIW,Bound,InitialReturnStd,ReturnStepMax,Weights,InitialReturnMean,InitialBound,TimestepsSoFar,OptimizationReturnMin,MinIWNorm,OptimizationReturnMax,ESSRenyi,MeanEntropy,J_sample_variance,MeanIW,ESSClassic,ReturnStepMaxmin,MaxIW
True,-1,73.5990716803363,199.97049,8.363636363636363,0.3454252,0.116242096,0.031402294,0.1693786,101.0034,11,10.416277647018433,39.934566,14,154,1.1602054,33.664505,0.664265,21.463943,46.765804,9.999991,[-0.329 -0.819  0.44   0.564 -0.773],73.599075,-0.24491882,996,,0.060387727,160.03592,9.48108,0.56625384,10428.487,1.2786629,10.251834,9.999991,1.8631644
True,-1,65.41346233826484,109.956635,7.545454545454546,1.6177503,0.1421398,0.14706822,0.52600855,124.02203,11,11.023197412490845,39.94825,15,165,2.4773157,25.465212,0.34364694,60.11312,23.489347,9.999973,[-0.727 -0.778  0.234  0.591 -0.853],65.41346,24.809288,1079,,0.031240633,70.008385,4.44029,0.6883528,15248.689,1.5635377,5.312603,9.999973,5.7860937
True,-1,87.21732215121327,199.95032,9.727272727272727,13.825137,0.41949576,1.2568307,4.390988,758.61536,11,11.801432132720947,29.953144,16,176,16.232018,57.264175,0.0009949629,461.13544,51.53202,9.9999695,[-0.767 -0.863  0.179  0.49  -0.731],87.217316,13.380768,1186,,9.0451176e-05,169.99718,0.677673,0.3711364,4167657.8,4.614453,1.1026107,9.9999695,48.300865
True,-1,126.28206797463295,299.76727,13.636363636363637,4.9369545,0.21230449,0.44881406,1.6307437,571.9114,11,12.650525569915771,39.944042,17,187,3.6961899,86.33802,0.548139,359.09225,79.43426,9.999964,[-1.043 -0.46  -0.315  0.045 -1.048],126.282074,15.58567,1336,,0.049830817,259.82324,2.9760375,0.44170156,1937161.9,2.335349,2.0113208,9.999964,17.93818
True,-1,99.02674295653756,249.86958,10.909090909090908,1.290574,0.15820347,0.11732491,0.36348614,151.96422,11,13.535805940628052,29.95424,18,198,1.8841214,69.0725,0.05822072,25.31073,54.65997,9.999967,[-1.162 -0.369 -0.415  0.141 -0.977],99.02674,6.7562943,1456,,0.0052927933,219.91534,5.838265,0.29909137,12376.023,1.7402382,7.096857,9.999967,3.9983475
True,-1,69.04959038341498,159.95198,7.909090909090909,0.48835668,0.11458163,0.04439606,0.2331622,91.77923,11,14.23379373550415,9.982572,19,209,1.1622472,59.067017,0.79360676,28.101414,42.72601,9.99999,[-1.157 -0.475 -0.34   0.316 -1.12 ],69.04959,9.98341,1543,,0.07214607,149.9694,9.464424,0.35544127,4365.012,1.2603978,9.56416,9.99999,2.564784
True,-1,71.76993356689341,149.97298,8.181818181818182,0.35349396,0.1068022,0.032135814,0.16012137,91.483116,11,14.866973638534546,39.938057,20,220,1.2143683,31.831879,0.3000394,30.453938,37.857533,9.99981,[-1.314 -0.684 -0.449  0.472 -1.063],71.769936,16.388744,1633,,0.027276311,110.03492,9.0582075,0.35580543,6320.7744,1.1748242,10.08679,9.99981,1.761335
True,-1,119.03333269953555,259.95813,12.909090909090908,3.8734407,0.24286105,0.35213095,1.3052293,478.06583,11,15.64856481552124,39.942818,21,231,5.31014,79.09052,0.122733064,256.85535,58.849323,9.999996,[-1.28  -0.869 -0.293  0.449 -1.063],119.03333,23.037437,1775,,0.011157552,220.01532,2.0715084,0.11803956,883645.0,2.6714716,3.5457683,9.999996,14.357522
True,-1,108.121112080602,249.95157,11.818181818181818,1.1195769,0.12635468,0.10177973,0.40536508,194.62337,11,16.62624478340149,59.95756,22,242,1.878374,48.163548,0.41363436,68.12172,51.848186,9.999997,[-1.545 -0.522 -0.647  0.308 -1.301],108.12112,15.820374,1905,,0.037603125,189.994,5.8561287,-0.03878399,68294.71,1.3899014,6.6713448,9.999997,4.459016
True,-1,94.481368450149,139.96548,10.454545454545455,3.9576414,0.31585982,0.35978562,1.091201,294.16885,11,17.160184621810913,59.925182,23,253,6.850273,34.556187,0.08013484,158.89178,26.071411,9.999953,[-1.65  -0.648 -0.632  0.285 -1.458],94.48137,42.79569,2020,,0.0072849854,80.0403,1.6057754,-0.4279885,69669.24,3.4744582,4.7878666,9.999953,12.00321
True,-1,119.0238080980139,219.95337,12.909090909090908,0.6459239,0.10584159,0.05872036,0.23738782,147.35129,11,17.980350255966187,59.912968,24,264,1.3273678,59.11084,0.2147579,53.772903,60.827385,10.0,[-1.525 -0.665 -0.579  0.276 -1.847],119.02381,37.80066,2162,,0.019523446,160.0404,8.287078,-0.51895213,17473.271,1.1642575,8.411092,10.0,2.611266
True,-1,117.2145780700712,319.95096,12.727272727272727,0.7962099,0.122515395,0.07238272,0.27715793,153.9405,11,18.57377791404724,39.946236,25,275,1.2299659,77.26834,0.5245927,22.907944,70.07933,9.999997,[-1.575 -0.684 -0.571  0.233 -1.938],117.21458,-0.9351349,2302,,0.047690246,280.00473,8.943337,-0.5115667,10836.586,1.3476694,8.153882,9.999997,3.0487373
True,-1,180.85276515726437,399.93347,19.09090909090909,1.813367,0.12110149,0.16485155,0.6295744,383.84424,11,19.594178199768066,79.93184,26,286,2.5211973,100.92093,0.29971397,149.34552,97.46005,9.999997,[-1.656 -0.82  -0.806  0.344 -1.931],180.85277,33.16754,2512,,0.027246725,320.00165,4.3630066,-0.48573673,440089.84,1.3321162,3.8555226,9.999997,6.9253182
True,-1,147.21399345250794,239.93616,15.727272727272727,0.28429112,0.092518255,0.025844648,0.15041363,160.96037,11,20.483657121658325,89.91376,27,297,1.1053933,57.300236,0.66480434,67.80597,46.54068,10.0,[-1.683 -0.781 -0.987  0.279 -1.905],147.214,58.61171,2685,,0.06043676,150.0224,9.951209,-0.45486745,15318.697,1.0177007,10.203755,10.0,1.65455
True,-1,124.4815522758222,199.94669,13.454545454545455,20.802603,0.61103505,1.8911457,6.591267,1071.5664,11,21.254055500030518,69.91915,28,308,33.34219,54.5624,0.004681058,645.22205,39.169037,9.999996,[-1.715 -0.763 -1.051  0.268 -1.874],124.48156,50.646347,2833,,0.00042555077,130.02753,0.32991233,-0.5517859,4104895.8,6.721385,1.039801,9.999996,72.50394
True,-1,139.93077768560553,289.93372,15.0,0.24430531,0.09834363,0.022209574,0.1509984,149.60153,11,22.396151304244995,99.913345,29,319,1.0743076,40.017433,0.8251944,38.629807,49.913322,9.999977,[-1.704 -0.474 -1.119  0.057 -1.971],139.93077,32.86567,2998,,0.075017676,190.02037,10.239154,-0.5365494,15599.007,1.08178,10.466199,9.999977,1.6609824
True,-1,179.01909507732623,349.93448,18.90909090909091,138.42036,3.999195,12.583669,43.791992,7063.5884,11,22.925538301467896,119.93823,30,330,584.1481,59.08086,5.93174e-05,3940.405,69.60549,9.999998,[-1.704 -0.517 -1.113  0.068 -1.955],179.0191,49.79724,3206,,5.392491e-06,229.99625,0.018830841,-0.72763795,64177932.0,43.991146,1.0091022,9.999998,481.7119
True,-1,116.29478477759356,159.9522,12.636363636363637,8.1200285,0.31120944,0.7381845,2.6269882,448.3168,11,24.112417459487915,79.94603,31,341,14.706582,36.348755,0.058656707,221.80264,26.384897,9.999955,[-1.777 -0.445 -1.184  0.338 -2.147],116.29478,57.22853,3345,,0.005332428,80.006165,0.7479644,-0.7551806,350324.47,3.4233038,1.6600468,9.999955,28.89687
True,-1,167.2026949990044,369.9449,17.727272727272727,0.9209007,0.13013189,0.08371825,0.30592003,244.09415,11,25.18551778793335,109.903885,32,352,1.7228158,57.298813,0.054015,64.783646,70.33718,9.999996,[-1.75  -0.527 -1.114  0.475 -2.174],167.2027,30.591507,3540,,0.0049104546,260.04102,6.3848963,-0.7930518,48509.26,1.4314506,7.7800174,9.999996,3.3651204
True,-1,141.75905905188037,199.94685,15.181818181818182,0.85629046,0.10524869,0.07784458,0.31517363,176.63245,11,25.748140811920166,109.91409,33,363,1.3138661,31.844965,0.4506724,91.99951,25.164812,9.999993,[-1.815 -0.573 -1.156  0.455 -2.212],141.75905,67.9238,3707,,0.040970217,90.03276,8.372238,-0.8830823,25896.582,1.1577353,7.110326,9.999993,3.46691
True,-1,150.83587619478647,249.96007,16.09090909090909,6.3152766,0.23808213,0.5741161,2.0522804,553.6524,11,26.69411540031433,89.88671,34,374,4.8785553,60.94916,0.18810424,349.77667,54.520638,9.999996,[-1.798 -0.557 -1.128  0.461 -2.302],150.83588,58.532005,3884,,0.017100386,160.07336,2.254766,-0.9509323,950337.7,2.6189034,1.6140989,9.999996,22.575083
True,-1,154.47048212895686,249.85881,16.454545454545453,0.74472505,0.10178759,0.06770228,0.28901502,203.82988,11,27.75559663772583,69.88399,35,385,1.1689634,84.586494,0.28249553,104.07264,53.31839,9.999991,[-1.835 -0.468 -1.17   0.438 -2.37 ],154.47047,62.203995,4065,,0.025681412,179.97482,9.410047,-0.977033,33275.31,1.1196634,7.6261683,9.999991,3.1791651
True,-1,137.20304304508699,209.89987,14.727272727272727,11.869761,0.38630494,1.0790693,3.7961912,632.6271,11,28.46264886856079,89.95964,36,396,27.90777,47.243404,0.017111702,223.15524,32.499237,9.999991,[-1.865 -0.465 -1.211  0.454 -2.396],137.20303,59.692383,4227,,0.0015556093,119.94023,0.39415547,-0.99465144,720576.94,4.2493544,1.2496338,9.999991,41.758102
True,-1,148.1204102170928,199.95628,15.818181818181818,18.177929,0.6296105,1.652539,5.829273,1116.9441,11,29.549668312072754,79.96467,37,407,29.690218,68.15574,0.00039851404,714.6061,33.253654,10.0,[-1.847 -0.531 -1.163  0.431 -2.414],148.1204,74.28167,4401,,3.622855e-05,119.991615,0.3704924,-1.262025,3325795.5,6.9257145,1.394337,10.0,64.122
True,-1,178.12875392228727,369.9342,18.818181818181817,0.42527968,0.111045964,0.03866179,0.18625596,216.57002,11,30.561997652053833,99.90822,38,418,1.2356296,78.220535,0.68872714,64.71893,66.854164,9.999999,[-1.908 -0.564 -1.216  0.536 -2.681],178.12875,41.5215,4608,,0.06261156,270.026,8.902345,-1.3023516,22211.97,1.2215056,9.8107815,9.999999,2.0488155
True,-1,176.31296053040884,299.86893,18.636363636363637,0.53546256,0.10976498,0.048678413,0.1819868,221.25497,11,31.244429111480713,129.95297,39,429,1.168914,46.359985,0.47419173,101.5335,45.561234,9.999997,[-1.957 -0.539 -1.249  0.525 -2.721],176.31294,65.57902,4813,,0.04310834,169.91595,9.410444,-1.2720169,33446.543,1.2074147,9.19215,9.999997,2.0018547
True,-1,144.48138879636164,239.95477,15.454545454545455,2.8177083,0.15331669,0.2561553,0.94675213,231.37695,11,32.503331422805786,89.929886,40,440,2.4642208,54.551502,0.24848069,92.279724,43.345768,9.999993,[-1.935 -0.55  -1.202  0.528 -2.691],144.48138,55.87223,4983,,0.022589155,150.02489,4.463886,-1.2740614,47632.57,1.6864835,2.9012744,9.999993,10.414273
True,-1,134.48619558862026,179.92859,14.454545454545455,7.108339,0.5006964,0.64621264,1.8531859,730.54614,11,33.80801725387573,79.969345,41,451,11.32868,54.516846,0.23161314,506.9115,30.85257,9.999999,[-1.982 -0.553 -1.174  0.558 -2.693],134.48619,68.043175,5142,,0.021055741,99.95924,0.9709869,-1.2497593,382698.0,5.507661,4.1264663,9.999999,20.385044
True,-1,131.75978055388921,229.93202,14.181818181818182,1.3158623,0.12085351,0.119623855,0.432468,206.789,11,35.035841941833496,69.97485,42,462,1.9063281,61.784924,0.07734676,89.55662,45.289024,9.999999,[-1.967 -0.456 -1.198  0.495 -2.669],131.75978,46.851753,5298,,0.0070315236,159.95717,5.7702556,-1.1582645,57224.438,1.3293887,5.5562453,9.999999,4.757148
True,-1,161.76722234430497,289.94885,17.181818181818183,0.4336141,0.10888999,0.03941947,0.1583607,198.04669,11,36.1151647567749,119.94196,43,473,1.2393541,41.825256,0.4218616,78.84885,45.693447,9.999992,[-1.936 -0.426 -1.191  0.458 -2.577],161.76723,54.696503,5487,,0.038351055,170.0069,8.87559,-1.2011863,27221.38,1.1977899,9.725454,9.999992,1.7419677
True,-1,144.47842169398345,199.92813,15.454545454545455,0.92692536,0.11804514,0.08426593,0.36070442,183.21274,11,36.75486636161804,109.91091,44,484,1.540002,34.56751,0.372434,91.5941,28.406311,9.999998,[-1.937 -0.417 -1.205  0.437 -2.62 ],144.47842,70.65007,5657,,0.033857636,90.01722,7.142848,-1.2166183,24836.223,1.2984964,7.286819,9.999998,3.9677486
True,-1,169.939755101936,219.90482,18.0,6.300921,0.33864906,0.572811,2.0888991,695.66327,11,37.782644271850586,99.954056,45,495,9.753055,69.985695,0.15691511,442.06027,34.102886,9.999978,[-1.925 -0.427 -1.198  0.416 -2.636],169.93976,88.73453,5855,,0.014265011,119.95076,1.1278517,-1.2665575,519777.5,3.725139,2.8489769,9.999978,22.97789
True,-1,142.6691123621101,199.94196,15.272727272727273,19.7822,0.5912237,1.7983817,6.277704,908.76385,11,38.95978355407715,99.93208,46,506,48.053444,42.737026,0.015314494,396.94592,29.269714,9.999999,[-1.958 -0.423 -1.258  0.362 -2.686],142.66913,68.835655,6023,,0.0013922268,100.00987,0.22891179,-1.3745884,1154380.2,6.5034604,1.0729066,9.999999,69.05474
True,-1,159.02171099767327,289.8927,16.90909090909091,0.97960025,0.10900693,0.08905458,0.36706588,219.20984,11,39.855528354644775,89.963394,47,517,1.4977876,69.05832,0.17269975,88.19765,52.63308,9.999994,[-1.962 -0.319 -1.276  0.365 -2.794],159.02171,51.97174,6209,,0.015699977,199.9293,7.3441653,-1.4038736,66418.39,1.1990762,6.596988,9.999994,4.0377245
True,-1,142.65716664988133,269.9243,15.272727272727273,24.89921,1.0897349,2.2635648,7.3884683,2437.962,11,40.907679319381714,89.94471,48,528,27.661863,52.71246,0.12545574,1913.7197,49.91766,9.999996,[-2.001 -0.292 -1.32   0.363 -2.823],142.65717,42.981033,6377,,0.0114050675,179.97958,0.3976594,-1.3110822,20643724.0,11.9870825,2.069756,9.999996,81.27315
True,-1,180.851855941923,259.9284,19.09090909090909,1.6961805,0.13965999,0.15419821,0.5715337,290.8004,11,42.329517126083374,129.91269,49,539,2.1905234,50.939163,0.15319856,148.73872,33.15713,9.999999,[-1.905 -0.277 -1.121  0.35  -2.73 ],180.85185,84.86694,6587,,0.013927142,130.01572,5.021631,-1.3268881,59768.09,1.5362598,4.9571185,9.999999,6.2868705
True,-1,129.0367154015777,189.95662,13.909090909090908,1.4011431,0.17521653,0.12737665,0.39777184,249.38351,11,43.32271480560303,79.95131,50,550,2.8207724,49.085403,0.06393621,131.57199,34.235054,9.999997,[-1.929 -0.267 -1.129  0.37  -2.746],129.03671,58.890587,6740,,0.005812383,110.00531,3.899641,-1.3824009,41831.277,1.9273816,7.1966863,9.999997,4.37549
True,-1,146.31012668080282,239.91208,15.636363636363637,2.6903977,0.20607227,0.24458162,0.8188083,354.19528,11,44.048532485961914,89.94406,51,561,3.809462,56.366066,0.016208885,181.28006,50.67795,9.999999,[-1.921 -0.285 -1.095  0.41  -2.801],146.31012,57.716713,6912,,0.0014735351,149.96802,2.8875468,-1.3674158,131693.42,2.2667952,4.5668406,9.999999,9.006891
True,-1,156.30421720576587,289.96863,16.636363636363637,0.5895122,0.11379206,0.053592023,0.23593262,197.83289,11,45.19916582107544,69.96716,52,572,1.2868196,86.33705,0.5275527,76.365654,79.449234,9.999998,[-1.785 -0.254 -0.98   0.394 -2.786],156.30421,49.226204,7095,,0.04795934,220.00146,8.548207,-1.3953824,25573.342,1.2517127,9.003055,9.999998,2.5952587
True,-1,142.66110919098935,219.92911,15.272727272727273,1.4119104,0.1340351,0.1283555,0.41785902,230.31592,11,45.824684143066406,89.9623,53,583,2.1806765,52.698807,0.13489492,110.38598,41.786373,9.999991,[-1.78  -0.262 -0.971  0.384 -2.814],142.66112,61.446915,7263,,0.012263175,129.9668,5.0443063,-1.3688998,39559.863,1.4743861,5.73799,9.999991,4.596449
True,-1,148.11477255788756,209.96512,15.818181818181818,4.198961,0.21814634,0.38172373,1.4074222,407.1353,11,46.95069742202759,99.88791,54,594,4.8871756,48.226868,0.0640665,235.72954,35.6483,9.999997,[-1.793 -0.297 -0.982  0.385 -2.788],148.11476,70.58002,7437,,0.0058242274,110.07721,2.2507887,-1.343693,230256.17,2.3996096,2.708038,9.999997,15.481644
True,-1,130.85626742732086,219.92166,14.090909090909092,5.3292475,0.23316956,0.48447707,1.7496109,399.8755,11,47.971638202667236,69.96275,55,605,5.989805,60.89351,0.077012986,201.11794,44.19192,9.999993,[-1.771 -0.285 -0.961  0.414 -2.763],130.85626,49.644806,7592,,0.0070011807,149.95891,1.8364537,-1.3668667,431927.3,2.5648649,2.0687556,9.999993,19.24572
True,-1,113.56923052811904,149.9171,12.363636363636363,0.6693715,0.11462636,0.060851958,0.27887192,147.41335,11,48.971880197525024,69.9729,56,616,1.3541827,43.59633,0.80964637,82.99062,25.668074,9.999994,[-1.805 -0.305 -0.957  0.465 -2.786],113.56922,58.20868,7728,,0.07360422,79.9442,8.122981,-1.3750578,10876.209,1.26089,8.5815115,9.999994,3.0675912
True,-1,137.2174034679824,209.949,14.727272727272727,0.38002887,0.09821703,0.03454808,0.18463825,154.08563,11,49.97069835662842,79.960175,57,627,1.1487197,57.25723,0.5295765,70.99154,34.66253,9.999997,[-1.787 -0.275 -0.967  0.459 -2.794],137.21739,59.6886,7890,,0.048143316,129.98883,9.575878,-1.3643199,12078.631,1.0803872,9.78883,9.999997,2.0310206
True,-1,148.10745427568457,209.86487,15.818181818181818,0.85012776,0.12800924,0.07728434,0.2816466,220.51872,11,50.63830304145813,69.971085,58,638,1.5119462,78.13637,0.33184803,125.22655,41.057434,9.999992,[-1.774 -0.251 -0.964  0.436 -2.783],148.10744,70.60972,8064,,0.030168002,139.89378,7.275391,-1.3567513,29834.15,1.4081017,8.061547,9.999992,3.0981126
True,-1,131.75869127251408,219.93939,14.181818181818182,0.4444501,0.10293612,0.04040456,0.209947,161.80836,11,51.685311794281006,69.96247,59,649,1.2661707,61.79622,0.7666586,70.41841,40.85997,10.0,[-1.808 -0.268 -0.99   0.435 -2.776],131.75868,50.540695,8220,,0.06969624,149.97693,8.687612,-1.3608556,16051.523,1.1322974,9.531465,10.0,2.309417
True,-1,128.11087118193313,209.95311,13.818181818181818,1.0050924,0.11357196,0.09137204,0.3830406,181.61926,11,52.61089777946472,69.96854,60,660,1.2739242,58.142334,0.37875834,94.11214,44.86222,9.999991,[-1.816 -0.249 -1.002  0.411 -2.78 ],128.11087,50.58055,8372,,0.03443258,139.98457,8.634736,-1.3018144,36422.55,1.2492915,6.6777225,9.999991,4.2134466
True,-1,133.58046790683707,209.89767,14.363636363636363,78.3166,2.320696,7.1196904,24.834768,3806.8318,11,53.78919577598572,79.96695,61,671,129.7483,53.61352,0.0041078036,2923.9395,38.43273,9.999997,[-1.782 -0.232 -0.979  0.394 -2.721],133.58047,56.070625,8530,,0.0003734367,129.93073,0.08477952,-1.3096758,37700428.0,25.527657,1.0564654,9.999997,273.18243
True,-1,140.84881706382055,229.93925,15.090909090909092,0.63532096,0.11346828,0.05775645,0.20900321,186.48721,11,55.42794108390808,59.97631,62,682,1.4408977,80.872505,0.46187806,84.562614,46.788464,9.999997,[-1.847 -0.38  -0.973  0.489 -2.729],140.84882,55.938118,8696,,0.041988917,169.96295,7.6341295,-1.2598268,15661.034,1.2481511,8.736462,9.999997,2.2990353
True,-1,127.20528638895244,299.8811,13.727272727272727,0.11025434,0.093205236,0.010023121,0.113887094,134.09697,11,56.11807918548584,69.97382,63,693,1.0353589,57.23146,0.889973,21.417755,62.083183,10.0,[-1.854 -0.404 -0.982  0.488 -2.679],127.20528,16.46685,8847,,0.08090664,229.90729,10.624335,-1.2787472,12094.322,1.0252576,10.874246,10.0,1.252758
True,-1,165.3726532981959,289.81726,17.545454545454547,1.3398004,0.13784252,0.12180003,0.4337721,270.105,11,57.26138925552368,79.94991,64,704,2.0336847,85.42274,0.1354062,117.48363,58.789433,9.999998,[-1.859 -0.39  -0.979  0.476 -2.698],165.37267,58.350533,9040,,0.012309655,209.86734,5.408901,-1.2952414,60256.95,1.5162678,6.1770706,9.999998,4.771493
True,-1,140.85489482968367,209.96358,15.090909090909092,0.41713193,0.10359981,0.037921086,0.19806154,162.30162,11,57.97094130516052,89.958305,65,715,1.1625605,50.89659,0.54306597,78.70263,40.779675,9.999994,[-1.857 -0.407 -0.969  0.511 -2.714],140.85489,63.3207,9206,,0.049369633,120.00527,9.461873,-1.2869707,14560.289,1.1395978,9.700337,9.999994,2.1786768
True,-1,141.76974532095517,279.9705,15.181818181818182,12.867723,0.46362397,1.1697931,4.135198,1297.9902,11,59.418742418289185,79.95917,66,726,8.17096,61.81058,0.0010923008,1002.4626,50.42441,9.999998,[-1.849 -0.389 -0.984  0.491 -2.706],141.76974,38.38379,9373,,9.930007e-05,200.01132,1.346231,-1.5428938,7609421.5,5.099863,1.4932891,9.999998,45.48718
True,-1,157.20014272574855,219.88237,16.727272727272727,0.38786548,0.10841673,0.035260502,0.18637101,182.98499,11,61.39734959602356,89.94407,67,737,1.1929879,67.25607,0.750803,94.29844,42.422512,9.999998,[-1.889 -0.406 -1.028  0.473 -2.962],157.20013,76.003204,9557,,0.06825482,129.9383,9.220546,-1.5494936,15915.26,1.1925842,9.947772,9.999998,2.050081
True,-1,157.19677875523809,259.89075,16.727272727272727,69.8141,2.0635538,6.346737,22.132338,4508.045,11,62.16702151298523,99.906555,68,748,312.77225,57.290222,0.045063194,2810.7622,49.004974,9.9999695,[-1.888 -0.409 -1.031  0.466 -2.968],157.19678,61.22576,9741,,0.0040966542,159.98419,0.03516936,-1.518799,59433730.0,22.699091,1.0516727,9.9999695,243.4557
True,-1,145.3917137028103,199.9562,15.545454545454545,5.0601177,0.2653767,0.4600107,1.6254072,513.3767,11,63.55869913101196,89.94999,69,759,6.776114,55.441727,0.005403353,321.16736,37.26672,9.999999,[-2.007 -0.386 -1.196  0.443 -2.938],145.39171,71.553,9912,,0.0004912139,110.00622,1.6233493,-1.7704248,413635.22,2.9191437,2.7467294,9.999999,17.879478
