OptimizationReturnMean,LearnableVariance,TimestepsSoFar,StdIW,OptimizationReturnMin,ReturnMeanIW,EpLenMean,ReturnStepMax,InitialReturnStd,EpThisIter,Bound,MeanIWNorm,J_sample_variance,ReturnStepMaxmin,ESSClassic,OptimizationReturnMax,MeanIW,InitialReturnMin,MaxIWNorm,Iteration,MinIWNorm,InitialBound,InitialReturnMean,InitialReturnMax,MaxIW,TimeElapsed,ESSRenyi,EpisodesSoFar,VarianceInit,Weights,MeanEntropy,EpRewMean,MinIW,EmpiricalD2,StdIWNorm
218.97182,True,12128,5.6244197,,1551.3511,40.90909090909091,10.0,139.24336,11,851.7989,0.32703307,2459048.0,10.0,3.1935143,459.77142,3.5973635,179.95692,1.7670841,29,0.0015894566,162.6934,398.9287,639.72833,19.437925,27.410706043243408,1.2544178,319,-1,[-1.001  0.64  -1.418 -0.918 -1.022],0.24462454,398.9287534808877,0.017484022,8.769009,0.51131094
199.07147,True,12688,14.322841,,3080.8538,50.90909090909091,9.999997,150.56252,11,1606.7336,0.43673646,30046534.0,9.999997,1.1123906,439.91226,4.804101,299.8635,4.553958,30,0.0034233674,225.75467,498.93494,739.77576,50.093536,28.0849711894989,0.37776846,330,-1,[-1.081  0.645 -1.449 -0.86  -1.174],0.32988065,498.93497081900074,0.03765704,29.118366,1.3020763
176.34308,True,13300,1.9337155,,901.2688,55.63636363636363,9.999999,128.74278,11,405.2351,0.16933809,580155.3,9.999999,5.2943635,489.7867,1.862719,369.772,0.6786892,31,0.039338224,228.70203,546.11505,859.5587,7.465581,28.87364149093628,4.504225,341,-1,[-1.051  0.684 -1.441 -1.007 -1.089],0.31166443,546.1150869136346,0.43272045,2.4421518,0.17579232
128.08072,True,13826,56.72532,,10882.239,47.81818181818182,9.999998,113.901825,11,6346.1978,1.6523644,281220200.0,9.999998,1.0242127,319.85352,18.176006,339.9275,17.959398,32,7.097509e-08,224.3679,468.0082,659.781,197.55338,29.579654216766357,0.031734876,352,-1,[-1.051  0.635 -1.5   -1.061 -1.107],0.2050951,468.0082082131931,7.8072594e-07,346.6218,5.1568475
143.73036,True,14479,0.71639353,,833.4006,59.36363636363637,9.999997,120.00664,11,418.80746,0.129025,505161.1,9.999997,8.766458,430.0813,1.4192749,439.62927,0.22983389,33,0.023738937,262.19772,583.3596,869.7106,2.5281727,30.461852550506592,6.6008,363,-1,[-1.247  0.902 -1.59  -1.442 -1.214],0.21030553,583.3596409286522,0.2611283,1.6664647,0.06512668
333.63422,True,15275,0.40571335,,772.85376,72.36363636363636,9.999998,300.07187,11,244.07458,0.101371974,281961.38,9.999998,9.714065,979.9928,1.1150916,379.7699,0.19795184,34,0.06814152,211.27847,713.4041,1359.7627,2.1774702,31.24282145500183,9.919022,374,-1,[-1.24   0.865 -1.583 -1.468 -1.209],0.20774318,713.4041034553555,0.74955666,1.1089803,0.03688303
246.33876,True,16008,1.9124501,,1012.6415,66.63636363636364,9.999999,197.08296,11,385.0813,0.11345292,1905200.2,9.999999,3.2851968,619.9689,1.2479821,409.78784,0.6433935,35,0.0063683703,275.8638,656.1266,1029.7567,7.0773287,31.919333696365356,4.038776,385,-1,[-1.251  0.881 -1.574 -1.443 -1.211],0.13967337,656.1266007878686,0.07005207,2.7235975,0.17385912
60.097652,True,16679,7.8938737,,2341.39,61.0,10.0,51.862507,11,1385.5548,0.30273065,6404272.0,10.0,1.6618071,200.02332,3.330037,539.6647,2.561016,36,0.01018932,326.61444,599.76227,739.688,28.171175,32.73800754547119,0.8983021,396,-1,[-1.221  0.891 -1.602 -1.46  -1.279],0.08692855,599.7623331232227,0.11208251,12.245324,0.71762496
725.2647,True,17499,0.44839752,,843.16125,74.54545454545455,9.999998,362.58777,11,306.1419,0.092842914,641772.25,9.999998,9.222218,1319.759,1.0212721,9.981963,0.17914481,37,0.036876544,244.2073,735.24664,1329.741,1.9705929,33.63711738586426,9.196985,407,-1,[-1.228  0.936 -1.62  -1.321 -1.332],0.056576166,735.2466634739332,0.40564197,1.1960441,0.040763415
225.38803,True,18286,164.18523,,42947.05,71.54545454545455,9.999996,213.80983,11,30427.574,4.8549037,3748500000.0,9.999996,1.052435,629.86194,53.403934,479.8053,52.0463,38,0.0011505941,295.42157,705.19336,1109.6672,572.5093,34.4004693031311,0.011784317,418,-1,[-1.23   0.948 -1.627 -1.32  -1.362],0.17692563,705.1933453492248,0.012656534,933.444,14.925929
141.87193,True,19080,0.71281374,,1276.6716,72.18181818181819,9.999999,132.25644,11,784.8516,0.15775476,1167188.1,9.999999,9.411896,350.09772,1.7353023,569.69666,0.24338014,39,0.0066177025,371.91202,711.5686,919.7944,2.6771815,35.31936430931091,5.246388,429,-1,[-1.204  0.983 -1.641 -1.343 -1.242],0.114415504,711.5685957010472,0.07279473,2.0966806,0.064801246
231.72989,True,19819,0.80925465,,798.3794,67.18181818181819,9.9999895,134.00195,11,409.00027,0.10537854,417082.78,9.9999895,7.3954816,469.961,1.159164,429.88055,0.2859489,40,0.032993637,329.32196,661.6104,899.84155,3.1454377,35.98025822639465,8.010839,440,-1,[-1.189  0.979 -1.619 -1.388 -1.305],0.10001284,661.6104314665831,0.36293,1.3731395,0.073568605
196.33305,True,20563,0.3303884,,745.14594,67.63636363636364,9.999996,170.58768,11,313.7045,0.09654934,370770.47,9.999996,10.029398,649.99036,1.0620426,469.81454,0.15528272,41,0.050345194,252.6322,666.14764,1119.8049,1.7081099,36.65260577201843,10.104908,451,-1,[-1.196  0.981 -1.616 -1.336 -1.319],0.10545665,666.1475911465654,0.5537971,1.0885799,0.03003531
176.3391,True,21351,0.7842762,,910.26385,71.63636363636364,9.999995,169.53157,11,431.9057,0.11566577,578474.44,9.999995,7.971219,529.92395,1.2723235,529.7689,0.24675898,42,0.028967516,314.7905,706.10803,1059.6929,2.7143488,37.3804726600647,7.361137,462,-1,[-1.213  1.008 -1.619 -1.373 -1.313],0.08344545,706.1080124780666,0.31864268,1.4943343,0.07129784
163.75282,True,22147,13.867842,,3142.8452,72.36363636363636,10.0,147.75609,11,1107.3619,0.44423473,9642373.0,10.0,1.2149429,550.181,4.8865814,549.63074,4.4296074,43,0.004430045,307.25113,713.38354,1099.8118,48.725677,37.98078966140747,0.43791816,473,-1,[-1.226  0.992 -1.622 -1.376 -1.335],0.1076075,713.3835475072335,0.048730493,25.118849,1.260713
366.2734,True,22902,1.6191163,,1468.3854,68.63636363636364,9.999997,232.6571,11,695.84564,0.16583568,1914791.4,9.999997,6.1528215,949.8456,1.8241925,309.87793,0.43781018,44,0.008378674,210.96759,676.15137,1259.7235,4.815912,38.737051248550415,3.9884126,484,-1,[-1.284  0.972 -1.628 -1.337 -1.311],0.10729239,676.1513168246096,0.09216542,2.7579894,0.14719239
230.82109,True,23728,5.3593955,,2263.207,75.0909090909091,9.999999,174.04976,11,1324.239,0.21362616,11448763.0,9.999999,1.7737343,549.7798,2.3498878,509.87918,1.741396,45,0.0074072205,349.39532,740.70026,1059.6589,19.155355,39.4232497215271,1.9103891,495,-1,[-1.275  0.94  -1.632 -1.424 -1.312],0.081756525,740.7002521448838,0.08147942,5.7579894,0.48721775
272.5928,True,24611,0.23449737,,905.995,80.27272727272727,10.0,319.7574,11,244.31952,0.09995219,574656.3,10.0,10.521394,1179.8049,1.0994741,519.89087,0.14162996,46,0.0569303,164.82947,792.48364,1699.6958,1.5579295,40.29337430000305,9.897911,506,-1,[-1.232  0.967 -1.613 -1.402 -1.337],0.067406714,792.4836781605896,0.6262333,1.1113456,0.021317942
178.2027,True,25401,1.1871487,,1105.7301,71.81818181818181,9.999998,137.9241,11,605.4271,0.13201936,1006295.6,9.999998,6.5936713,480.11,1.4522129,529.7571,0.3976092,47,0.03464014,335.04172,707.9598,1009.86707,4.373701,40.98102951049805,6.111579,517,-1,[-1.218  0.966 -1.599 -1.407 -1.352],0.026558563,707.9597990781822,0.38104156,1.7998623,0.107922606
389.1345,True,26324,0.5083795,,986.64734,83.9090909090909,10.0,238.91515,11,422.8562,0.108577795,410576.0,10.0,9.312728,929.91504,1.1943558,439.6869,0.1893991,48,0.05405877,323.06232,828.82135,1369.6019,2.08339,41.833547830581665,8.852041,528,-1,[-1.175  0.957 -1.563 -1.395 -1.392],-0.00941834,828.8213743270019,0.59464645,1.2426512,0.04621632
273.53503,True,27208,1.429463,,1306.0513,80.36363636363636,9.999998,220.70985,11,618.5163,0.12838608,1351498.1,9.999998,5.4333606,719.9076,1.4122468,519.8408,0.41324192,49,0.01474908,335.56836,793.3758,1239.7484,4.545661,42.59959435462952,4.8771796,539,-1,[-1.181  0.96  -1.571 -1.409 -1.428],-0.04424664,793.3758181668396,0.16223988,2.2554018,0.12995118
214.53127,True,28071,0.18482369,,832.5886,78.45454545454545,9.999998,206.84433,11,324.9526,0.09764563,455603.56,9.999998,10.683666,769.94336,1.0741019,559.7529,0.11801733,50,0.06563442,283.2613,774.28424,1329.6963,1.2981906,43.43883228302002,10.291799,550,-1,[-1.163  0.975 -1.562 -1.398 -1.463],-0.031036422,774.2841996972825,0.7219786,1.0688123,0.016802153
173.72498,True,28933,66.72626,,19601.93,78.36363636363636,9.999999,111.86918,11,14604.182,1.9438981,683300350.0,9.999999,1.0244178,340.0714,21.382877,599.65344,21.126026,51,0.0023827218,426.3621,773.37836,939.72485,232.38628,44.07740092277527,0.05303274,561,-1,[-1.166  0.974 -1.558 -1.384 -1.45 ],0.05660619,773.3784264755067,0.02620994,207.41904,6.066024
459.0915,True,29746,0.29154408,,857.61456,73.9090909090909,9.999996,290.1274,11,336.2074,0.108571,224921.4,9.999996,10.381343,1079.9938,1.194281,269.7474,0.18261398,52,0.07923004,230.41397,728.83887,1349.7412,2.0087538,45.09419250488281,10.051672,572,-1,[-1.199  1.043 -1.586 -1.309 -1.362],0.07652169,728.8389063584638,0.8715304,1.0943453,0.026504004
233.71361,True,30641,1.5862058,,1371.7449,81.36363636363636,9.999996,145.86557,11,687.7627,0.16149126,1276909.0,9.999996,6.1202054,550.0473,1.7764039,569.6541,0.49470955,53,0.010265094,389.89066,803.36774,1119.7014,5.441805,45.884443521499634,4.019816,583,-1,[-1.216  1.063 -1.603 -1.323 -1.342],0.02339436,803.3677134924066,0.11291603,2.7364438,0.14420053
245.38033,True,31494,4.1857643,,1477.9456,77.54545454545455,9.999998,185.47015,11,583.5568,0.22287993,1857490.4,9.999998,2.8097842,669.89124,2.451679,519.807,1.3740574,54,0.012867569,325.86218,765.1873,1189.6982,15.114631,46.58030915260315,2.654069,594,-1,[-1.173  1.006 -1.614 -1.339 -1.396],0.08276728,765.1873584793816,0.14154325,4.1445794,0.38052407
241.73907,True,32321,0.77314585,,941.6589,75.18181818181819,9.999999,191.6249,11,441.92575,0.11805144,535657.1,9.999999,8.121182,619.91534,1.2985659,499.82538,0.23578763,55,0.011416659,328.07278,741.5644,1119.7407,2.593664,47.26521897315979,7.530953,605,-1,[-1.162  0.967 -1.6   -1.348 -1.336],0.06747538,741.5644400753715,0.12558325,1.4606385,0.07028599
291.94257,True,33203,1.7496163,,1221.9053,80.18181818181819,10.0,223.29654,11,514.1778,0.12664805,1318090.6,10.0,4.2680993,840.04346,1.3931285,499.626,0.6000476,56,0.013248588,296.86288,791.56854,1339.6694,6.600523,48.01732921600342,5.374703,616,-1,[-1.165  0.95  -1.603 -1.383 -1.351],0.100242384,791.5685429930799,0.14573446,2.0466247,0.15905604
256.25217,True,34035,85.69072,,34631.562,75.63636363636364,9.999999,245.19612,11,25168.875,2.5338044,5014326000.0,9.999999,1.0524032,769.9019,27.87185,489.87592,27.166662,57,0.007517256,280.92432,746.1281,1259.7778,298.83328,48.76360201835632,0.026585834,627,-1,[-1.14   0.946 -1.62  -1.422 -1.319],0.23037605,746.128104164956,0.082689814,413.75418,7.790066
405.3892,True,34866,2.025361,,1550.878,75.54545454545455,10.0,228.53928,11,735.3026,0.17862298,1626608.4,10.0,5.333233,959.88025,1.9648528,339.83017,0.6501317,58,0.014601671,265.2696,745.21936,1299.7104,7.1514487,49.672322511672974,3.8093972,638,-1,[-1.184  0.95  -1.628 -1.372 -1.189],0.14550069,745.2193844611364,0.16061838,2.887596,0.18412374
252.72365,True,35727,1.4397448,,1602.5416,78.27272727272727,9.999997,314.14188,11,651.81964,0.14436711,4624642.0,9.999997,6.0374627,1189.7592,1.5880382,519.7352,0.5112124,59,0.023558782,141.18622,772.4589,1709.4944,5.6233363,50.38243651390076,4.8497524,649,-1,[-1.188  0.968 -1.635 -1.365 -1.273],0.17020468,772.4588902280894,0.2591466,2.268157,0.13088588
149.04498,True,36507,2.258886,,1208.0508,70.9090909090909,9.999999,142.50586,11,560.6285,0.15770487,1140478.9,9.999999,4.080786,509.9181,1.7347537,549.7864,0.7069526,60,0.029998856,307.50955,698.8314,1059.7045,7.7764783,51.214224100112915,4.0186987,660,-1,[-1.2    1.01  -1.653 -1.348 -1.249],0.22686736,698.8313671787602,0.3299874,2.7372046,0.20535327
168.09828,True,37330,64.81781,,15954.056,74.81818181818181,9.999997,141.25162,11,9188.1,1.9344586,311412500.0,9.999997,1.07018,519.7761,21.279045,569.8052,20.565434,61,0.00016467029,335.5489,737.9035,1089.5813,226.21976,52.06764221191406,0.03890024,671,-1,[-1.199  0.992 -1.647 -1.391 -1.192],0.27340806,737.9034447784387,0.001811373,282.7746,5.892529
181.85287,True,38036,1.7370465,,1136.2454,64.18181818181819,9.999999,126.338165,11,535.78906,0.16729635,1109341.1,9.999999,5.8171105,500.0202,1.8402597,449.75092,0.52578634,62,0.0070206206,280.87753,631.60376,949.7711,5.7836494,53.07511353492737,3.7528946,682,-1,[-1.164  0.894 -1.651 -1.494 -1.146],0.24759482,631.6037684017269,0.077226825,2.9310708,0.15791331
252.75551,True,38754,0.7287519,,903.7227,65.27272727272727,9.999999,170.39711,11,439.21417,0.123129584,440782.4,9.999999,8.530435,600.0111,1.3544254,389.7917,0.22829382,63,0.027284091,277.03833,642.54724,989.8028,2.511232,53.74670457839966,6.810848,693,-1,[-1.209  0.87  -1.685 -1.515 -1.171],0.21195942,642.547210788841,0.300125,1.6150705,0.066250175
260.86093,True,39481,2.8730602,,1192.3407,66.0909090909091,9.999999,198.81366,11,469.2359,0.1652987,1039459.44,9.999999,3.1458297,779.8893,1.8182857,389.849,0.9641948,64,0.01981096,218.7555,650.7099,1169.7383,10.606142,54.5246365070343,3.9252396,704,-1,[-1.195  0.85  -1.702 -1.582 -1.207],0.19370301,650.7099451960476,0.21792054,2.8023767,0.2611873
224.44522,True,40311,5.0209537,,2324.368,75.45454545454545,10.0,175.22977,11,1298.0093,0.3269425,4180541.8,10.0,3.7298932,569.8247,3.5963676,519.8479,1.4417329,65,0.015219947,341.90494,744.29315,1089.6726,15.859061,55.436031341552734,1.6907722,715,-1,[-1.163  0.87  -1.711 -1.644 -1.225],0.25667226,744.2931432323261,0.16741942,6.5059032,0.45645037
445.41788,True,41285,3.996817,,2954.9055,88.54545454545455,9.999998,281.43723,11,1622.4243,0.21050471,23848798.0,9.999998,2.7642791,1110.0007,2.3155515,429.7893,1.3280362,66,0.0061139953,306.602,875.2072,1539.79,14.6083975,56.29258131980896,2.0030513,726,-1,[-1.121  0.867 -1.719 -1.697 -1.162],0.18090774,875.2071931340845,0.06725395,5.4916215,0.36334702
234.61964,True,42192,0.41149756,,1093.7166,82.45454545454545,9.999997,289.78503,11,439.07788,0.117005974,958095.5,9.999997,9.979867,1060.0634,1.2870659,579.6647,0.17594098,67,0.07162841,208.77466,814.28436,1639.728,1.9353507,57.21877694129944,9.410911,737,-1,[-1.171  0.922 -1.739 -1.626 -1.238],0.18043555,814.284336092541,0.7879125,1.168856,0.037408873
236.47226,True,43024,1.0226254,,972.5609,75.63636363636364,9.999998,220.32213,11,397.51874,0.12420575,664565.75,9.999998,7.0502543,720.131,1.3662633,509.6732,0.36708716,68,0.025335405,292.01016,746.14545,1229.8042,4.0379586,57.966460943222046,6.860627,748,-1,[-1.214  0.972 -1.741 -1.632 -1.239],0.16410106,746.1454585189005,0.27868944,1.603352,0.09296595
249.9773,True,43816,1.4209048,,1186.3162,72.0,10.0,154.69672,11,670.0794,0.13717376,915688.44,10.0,5.830123,470.06787,1.5089113,459.77344,0.35869014,69,0.019682825,366.38406,709.7508,929.8413,3.9455914,58.55112290382385,4.8664374,759,-1,[-1.222  0.945 -1.751 -1.657 -1.255],0.18042041,709.7507518393536,0.21651107,2.2603805,0.12917317
