EmpiricalD2,TimestepsSoFar,InitialReturnStd,LearnableVariance,InitialReturnMax,Bound,ReturnMeanIW,StdIWNorm,MeanIW,ReturnStepMaxmin,EpLenMean,StdIW,Iteration,MaxIW,InitialReturnMean,MinIW,MaxIWNorm,InitialBound,OptimizationReturnMean,TimeElapsed,EpRewMean,MeanIWNorm,ESSRenyi,OptimizationReturnMin,ESSClassic,InitialReturnMin,VarianceInit,OptimizationReturnMax,Weights,ReturnStepMax,J_sample_variance,MinIWNorm,MeanEntropy,EpisodesSoFar,EpThisIter
1.426492,28588,162.98177,,859.8559,341.90173,467.6801,0.0070378236,1.0470843,9.999999,42.19,0.7037823,11,3.9860702,411.73422,0.15937787,0.0398607,306.4238,401.75024,46.02971029281616,411.7342310829065,0.010470842,70.10204,,68.88163,9.984006,-1.0,849.8719,[-1.617  0.752 -1.236 -1.031],9.999999,199250.48,0.0015937787,0.4189424,1100,100
1.2145425,32784,124.55385,,789.84814,353.69055,460.3,0.0045587798,1.0611482,10.0,41.96,0.45587796,12,2.4875698,409.4435,0.25686234,0.024875697,312.7072,389.47452,51.91241502761841,409.44350248317,0.010611482,82.335526,,84.4193,19.96899,-1.0,769.87915,[-1.666  0.794 -1.332 -1.13 ],10.0,89056.32,0.0025686233,0.4189424,1200,100
1.0420482,37426,164.14632,,1209.6638,311.6882,462.92386,0.0019779087,1.0306622,10.0,46.42,0.19779088,13,1.5904629,454.0283,0.48152447,0.01590463,305.87534,224.21133,58.18625521659851,454.0282971168804,0.010306623,95.96485,,96.44799,229.81699,-1.0,979.8468,[-1.765  0.863 -1.517 -1.184],10.0,83410.484,0.0048152446,0.4189424,1300,100
1.1067258,42068,165.34096,,1129.7805,333.80127,479.3672,0.0028915885,1.0599865,9.999999,46.42,0.28915885,14,2.02608,454.03555,0.39600933,0.020260798,315.6663,454.03555,65.03640007972717,454.0355687508407,0.010599864,90.35661,,93.07375,,-1.0,1129.7805,[-1.774  0.845 -1.531 -1.182],9.999999,41801.125,0.003960093,0.4189424,1400,100
1.119489,46565,130.81383,,949.7458,341.04877,464.1218,0.003790544,1.0080631,10.0,44.97,0.37905443,15,2.3473237,439.53723,0.4068092,0.023473237,323.21756,209.65689,71.80590558052063,439.5372227996323,0.01008063,89.32647,,87.61224,229.88034,-1.0,719.8655,[-1.86   0.855 -1.641 -1.21 ],10.0,99730.54,0.004068092,0.4189424,1500,100
1.0150245,51330,142.4359,,889.8251,366.14337,475.93988,0.0010384945,1.0109965,9.999999,47.65,0.103849456,16,1.3106103,466.33243,0.7028253,0.013106103,357.35156,236.41576,78.60013699531555,466.33244120823144,0.010109964,98.51978,,98.95589,229.91667,-1.0,659.9084,[-1.933  0.916 -1.723 -1.268],9.999999,78288.79,0.007028253,0.4189424,1600,100
1.1860116,56217,151.24133,,1109.8517,370.4676,518.4994,0.00424568,1.0709412,10.0,48.87,0.424568,17,2.6671107,478.53152,0.42403793,0.026671106,342.603,478.53152,85.08194541931152,478.53150740954413,0.0107094105,84.31621,,86.4179,,-1.0,1109.8517,[-2.011  0.964 -1.716 -1.303],10.0,81950.18,0.004240379,0.4189424,1700,100
3.7136207,60842,149.55484,,849.8636,435.58832,636.1711,0.025615392,1.2519336,10.0,46.25,2.5615394,18,18.226566,452.3269,0.06374525,0.18226565,348.24036,442.3457,93.05190014839172,452.32694239251504,0.012519335,26.927898,,19.281242,9.981257,-1.0,839.8823,[-2.034  0.987 -1.735 -1.264],10.0,2214911.0,0.0006374525,0.4189424,1800,100
3.6888874,66170,196.89566,,1179.7852,553.34985,830.8711,0.03032197,1.2696568,10.0,53.28,3.0321968,19,29.064253,522.6191,0.039913774,0.29064253,378.1255,512.63837,100.54574775695801,522.6190756713513,0.012696568,27.108444,,14.917561,9.98073,-1.0,1169.8044,[-1.976  1.055 -1.796 -1.35 ],10.0,8483451.0,0.00039913773,0.4189424,1900,100
1.5763998,72117,185.29895,,1159.7324,512.0014,690.3364,0.008192399,1.1005839,10.0,59.47,0.8192398,20,4.528167,584.4926,0.20711234,0.045281667,442.4549,334.5808,109.24592089653015,584.4926301404023,0.011005839,63.435684,,64.34658,249.91183,-1.0,909.82056,[-1.866  1.068 -1.723 -1.446],10.0,343187.8,0.0020711233,0.4189424,2000,100
1.0334313,78023,179.63,,1289.7104,428.28925,588.8645,0.0017250434,1.0150216,10.0,59.06,0.17250434,21,1.3980945,580.3977,0.70157754,0.013980945,422.44107,580.3977,118.9470374584198,580.3977282307072,0.010150216,96.76502,,97.19272,,-1.0,1289.7104,[-1.89   1.112 -1.841 -1.527],10.0,41769.348,0.0070157754,0.4189424,2100,100
1.1479164,83809,224.94841,,1419.7,433.92523,620.21857,0.003918151,1.0542192,10.0,57.86,0.3918151,22,2.6468236,568.40955,0.3277396,0.026468236,394.53253,298.54922,128.7333173751831,568.4095935483241,0.010542192,87.11436,,87.86311,269.86038,-1.0,1149.8396,[-1.923  1.122 -1.854 -1.523],10.0,179944.3,0.0032773959,0.4189424,2200,100
1.1725689,89883,190.66998,,1079.629,497.74713,640.92944,0.0037241906,1.0533065,9.999999,60.74,0.3724191,23,2.2482073,597.1881,0.4759603,0.022482073,464.96115,597.1881,138.65561747550964,597.1881531349021,0.010533065,85.28284,,88.88788,,-1.0,1079.629,[-1.942  1.163 -1.901 -1.556],9.999999,118546.49,0.004759603,0.4189424,2300,100
1.0702091,96019,182.76636,,1399.7375,438.95184,616.2999,0.0027538396,1.0151747,10.0,61.36,0.27538398,24,1.9530256,603.39624,0.34285623,0.019530255,431.9641,323.5816,148.03283047676086,603.3962395848287,0.010151748,93.43968,,93.14575,279.81464,-1.0,1119.9229,[-1.927  1.188 -1.894 -1.566],10.0,130609.555,0.0034285623,0.4189424,2400,100
1.0465066,102115,169.00212,,1169.7725,470.79388,617.35474,0.0020468761,1.0114859,10.0,60.96,0.20468763,25,1.5498884,599.39496,0.6195311,0.015498883,456.12775,319.51706,157.3269031047821,599.3949841958449,0.01011486,95.55601,,96.06602,279.8779,-1.0,889.89453,[-1.93   1.194 -1.913 -1.602],10.0,126278.13,0.006195311,0.4189424,2500,100
1.0344902,108013,173.56493,,1259.7594,429.0381,585.96466,0.0018643154,1.0186458,10.0,58.98,0.18643156,26,1.7607759,579.58984,0.66617393,0.01760776,425.3014,579.58984,167.5072979927063,579.5898205886084,0.010186459,96.66597,,96.758965,,-1.0,1259.7594,[-1.943  1.215 -1.955 -1.622],10.0,38225.793,0.006661739,0.4189424,2600,100
20.8586,113831,155.6257,,1219.8037,951.0033,1633.3076,0.1542146,2.7349253,10.0,58.18,15.421459,27,153.49011,571.60376,0.004232058,1.5349011,422.20892,311.76993,176.20229363441467,571.6037544847421,0.027349252,4.7941856,,3.0492365,259.8338,-1.0,959.9699,[-1.943  1.197 -1.991 -1.614],10.0,28752596.0,4.232058e-05,0.4189424,2700,100
1.4978136,120162,191.7709,,1429.7205,500.11102,714.4127,0.007526599,1.0576949,10.0,63.31,0.7526599,28,5.5956674,622.88605,0.21282545,0.055956673,447.78174,373.07465,188.80350279808044,622.8860397163145,0.010576948,66.763985,,66.38431,249.8114,-1.0,1179.909,[-1.98   1.323 -1.997 -1.536],10.0,372736.88,0.0021282544,0.4189424,2800,100
1.2533377,126633,155.33723,,1099.7319,526.24097,677.0289,0.0045861695,1.0412928,10.0,64.71,0.458617,29,2.389238,636.8816,0.073339835,0.02389238,502.19244,297.00696,199.49143171310425,636.8815428759332,0.010412927,79.78696,,83.75358,339.87457,-1.0,759.85736,[-1.946  1.328 -2.015 -1.591],10.0,186552.42,0.0007333983,0.4189424,2900,100
1.0132198,133194,185.46321,,1319.7393,490.95703,653.6563,0.0012146346,0.99914145,10.0,65.61,0.12146347,30,1.3271111,645.88464,0.71092796,0.013271111,484.25024,396.02655,209.9110267162323,645.8846931633342,0.009991415,98.69527,,98.54366,249.85812,-1.0,1069.8811,[-1.945  1.32  -2.046 -1.639],10.0,107990.22,0.0071092793,0.4189424,3000,100
1.1881464,139774,187.24109,,1539.6733,488.1939,693.74,0.0048542386,1.0715734,10.0,65.8,0.48542383,31,3.4030952,647.7889,0.35770392,0.03403095,459.21817,327.8741,220.90336894989014,647.7889100150032,0.010715734,84.16472,,82.9731,319.9148,-1.0,1219.7585,[-1.973  1.344 -2.079 -1.663],10.0,200152.36,0.003577039,0.4189424,3100,100
2.4026005,146158,183.72609,,1179.6724,558.87646,782.8248,0.016080141,1.1342807,10.0,63.84,1.6080142,32,10.000138,628.1922,0.09697778,0.10000138,483.7125,618.2124,230.5583941936493,628.1921949123749,0.011342807,41.621567,,33.225517,9.979818,-1.0,1169.6925,[-1.964  1.335 -2.118 -1.604],10.0,1887288.2,0.00096977776,0.4189424,3200,100
2.2550535,153211,210.64539,,1349.8097,604.5332,852.7874,0.013328952,1.213734,10.0,70.53,1.332895,33,6.688872,695.0748,0.038017858,0.06688872,529.75757,445.2223,242.51428866386414,695.0748542627506,0.012137338,44.344845,,45.331047,249.85262,-1.0,1099.957,[-1.921  1.354 -2.15  -1.679],10.0,568005.44,0.00038017856,0.4189424,3300,100
1.1731566,160369,189.13869,,1439.7452,565.5453,756.53467,0.0034810475,1.0806684,10.0,71.58,0.34810475,34,1.8075134,705.57556,0.39432162,0.018075133,529.2434,295.70242,253.81867289543152,705.5755710462837,0.010806684,85.24011,,90.59931,409.87317,-1.0,1029.8721,[-1.899  1.389 -2.169 -1.754],10.0,248561.66,0.003943216,0.4189424,3400,100
1.4532745,167803,201.10617,,1579.6559,602.3937,835.6224,0.0074299625,1.1031169,10.0,74.34,0.7429963,35,5.1411724,733.1605,0.21534814,0.05141172,539.69293,243.44028,265.8607656955719,733.1604834061654,0.011031169,68.81013,,68.791885,489.7202,-1.0,1089.9357,[-1.886  1.367 -2.188 -1.784],10.0,424983.5,0.0021534814,0.4189424,3500,100
3.8638318,174864,235.00923,,1529.6628,771.2552,1139.5117,0.03191725,1.7590126,10.0,70.61,3.1917255,36,21.95048,695.8775,0.051435642,0.21950479,508.53278,695.8775,277.37409138679504,695.877451831433,0.017590126,25.881044,,23.296972,,-1.0,1529.6628,[-1.941  1.39  -2.198 -1.746],10.0,3983765.2,0.0005143564,0.4189424,3600,100
2.0561073,182443,252.08772,,1479.5833,665.2628,925.104,0.014713478,1.2447654,10.0,75.79,1.4713478,37,9.5106125,747.65735,0.12913176,0.095106125,566.44617,487.85336,287.7095510959625,747.6573257339948,0.012447654,48.635593,,41.715496,259.80396,-1.0,1219.7793,[-1.942  1.444 -2.143 -1.67 ],10.0,666019.6,0.0012913176,0.4189424,3700,100
1.2467542,189687,193.25992,,1309.6179,605.1565,784.25037,0.0044461656,1.0610836,10.0,72.44,0.44461656,38,2.5892794,714.1292,0.27796763,0.025892794,553.7345,714.1292,297.85377836227417,714.1292331306227,0.010610836,80.208275,,85.06448,,-1.0,1309.6179,[-1.924  1.49  -2.107 -1.657],10.0,189562.08,0.0027796763,0.4189424,3800,100
1.4523715,197086,204.30295,,1279.7571,608.35455,797.2459,0.0077603483,1.0789781,10.0,73.99,0.77603483,39,4.710269,729.6425,0.31965822,0.04710269,572.9048,719.66095,311.7575013637543,729.6424811136753,0.010789781,68.852905,,65.906815,9.9814825,-1.0,1269.7756,[-1.92   1.501 -2.101 -1.707],10.0,428555.9,0.0031965822,0.4189424,3900,100
1.0177203,204761,222.80608,,1519.5944,577.23065,764.98395,0.0012212266,1.0016629,10.0,76.75,0.12212267,40,1.300956,757.2492,0.75233376,0.013009559,571.1378,567.3516,326.33615279197693,757.2493102290751,0.010016629,98.25882,,98.53533,189.89769,-1.0,1329.6967,[-1.897  1.521 -2.09  -1.688],10.0,96789.15,0.0075233374,0.4189424,4000,100
1.4039165,212560,266.78473,,1729.5222,639.2763,890.25824,0.0064340183,1.0825943,9.999999,77.99,0.64340186,41,3.5272384,769.6435,0.2437096,0.035272382,557.82104,759.66064,338.77976536750793,769.6434342497923,0.010825941,71.22931,,73.89835,9.982813,-1.0,1719.5394,[-1.896  1.526 -2.11  -1.699],9.999999,541646.3,0.0024370959,0.4189424,4100,100
1.0859903,220528,232.45174,,1509.5171,610.4413,803.1035,0.0031003628,1.0050615,10.0,79.68,0.3100363,42,2.190039,786.5427,0.47349396,0.02190039,601.66547,696.6163,354.3866603374481,786.54273295186,0.010050615,92.081856,,91.31113,89.92653,-1.0,1419.5906,[-1.88   1.54  -2.129 -1.745],10.0,142989.44,0.0047349394,0.4189424,4200,100
4.831949,228415,243.03285,,1729.627,761.7733,1227.423,0.035823263,1.521963,10.0,78.87,3.5823264,43,24.709526,778.43616,0.04697278,0.24709526,566.60095,778.43616,367.5930428504944,778.4361132639225,0.015219633,20.695581,,15.2901535,,-1.0,1729.627,[-1.863  1.545 -2.128 -1.753],10.0,9707549.0,0.0004697278,0.4189424,4300,100
3.42755,236175,231.546,,1729.3073,682.5619,1074.6735,0.024157396,1.4010352,10.0,77.6,2.4157395,44,21.977543,765.7342,0.007240035,0.21977542,553.9384,535.8804,381.7604546546936,765.7343709208787,0.014010352,29.175358,,25.169582,229.85397,-1.0,1499.4532,[-1.949  1.588 -2.215 -1.684],10.0,2096547.1,7.240035e-05,0.4189424,4400,100
1.0767636,243346,249.34525,,1689.3088,515.52136,730.2128,0.0030540694,1.0347174,9.999999,71.71,0.30540696,45,2.460152,706.85016,0.6109398,0.02460152,499.9528,706.85016,396.26219868659973,706.8500969299316,0.0103471745,92.870895,,91.98623,,-1.0,1689.3088,[-1.994  1.554 -2.229 -1.628],9.999999,123580.03,0.006109398,0.4189424,4500,100
1.6580112,250855,236.2993,,1419.7848,665.7637,889.66766,0.011529635,1.1660047,10.0,75.09,1.1529635,46,10.675698,740.66077,0.14048806,0.10675698,566.7733,620.7416,410.11693501472473,740.6608445725798,0.011660045,60.313225,,50.56235,119.91925,-1.0,1299.8655,[-1.972  1.553 -2.27  -1.616],10.0,690244.2,0.0014048805,0.4189424,4600,100
1.5620002,258400,244.82245,,1699.5393,621.29895,881.4451,0.007981328,1.1223456,10.0,75.45,0.79813284,47,4.702042,744.2536,0.16848965,0.04702042,536.1034,744.2536,424.14397382736206,744.2535932395705,0.011223456,64.02048,,66.414085,,-1.0,1699.5393,[-1.948  1.586 -2.308 -1.655],10.0,634205.25,0.0016848964,0.4189424,4700,100
1.3097605,266003,224.41046,,1379.8035,623.2311,816.6321,0.0053424276,1.0567253,10.0,76.03,0.5342428,48,2.998692,750.0458,0.21175161,0.02998692,581.05505,740.0614,438.43747425079346,750.0457499990058,0.0105672525,76.34984,,79.64348,9.9844,-1.0,1369.8191,[-1.931  1.597 -2.333 -1.711],10.0,271998.1,0.002117516,0.4189424,4800,100
1.6497074,273905,214.41794,,1499.3717,672.7203,908.5825,0.008033978,1.1130581,10.0,79.02,0.80339783,49,5.241647,779.947,0.061070472,0.052416466,596.31226,769.9674,453.37510919570923,779.9469936526028,0.01113058,60.61681,,65.74686,9.979564,-1.0,1489.3921,[-1.885  1.557 -2.322 -1.725],10.0,639273.5,0.0006107047,0.4189424,4900,100
7.5860524,281995,245.3957,,1619.6714,862.5125,1408.8745,0.04319953,1.4002155,9.999999,80.9,4.319953,50,39.761665,798.7511,0.012669455,0.39761665,600.3826,788.7698,467.55850100517273,798.7510906375778,0.014002156,13.182087,,9.507063,9.981324,-1.0,1609.6901,[-1.855  1.522 -2.306 -1.767],9.999999,24637538.0,0.00012669455,0.4189424,5000,100
1.1626806,290520,244.11833,,2359.5366,578.40045,890.00415,0.0043536564,1.0465155,10.0,85.25,0.43536565,51,2.5733628,842.2277,0.32613677,0.025733627,553.24475,302.40256,484.6412892341614,842.2277471736855,0.010465154,86.00814,,85.24653,539.8252,-1.0,1819.7114,[-1.812  1.544 -2.353 -1.868],10.0,445211.16,0.0032613676,0.4189424,5100,100
1.262342,298927,228.54149,,1769.762,630.0367,873.56476,0.0054423744,1.0503092,10.0,84.07,0.5442375,52,3.113937,830.43146,0.22081438,0.031139368,613.6808,360.63257,499.0817518234253,830.4315088754812,0.010503092,79.217834,,78.833336,469.79892,-1.0,1299.963,[-1.786  1.536 -2.357 -1.886],10.0,388637.1,0.0022081437,0.4189424,5200,100
1.2694489,307299,180.40213,,1399.6741,710.58435,903.72784,0.0069931373,1.1083033,10.0,83.72,0.69931376,53,4.091114,826.9288,0.22545595,0.040911138,655.50433,297.17703,519.1544075012207,826.9287321423556,0.011083033,78.774345,,71.52402,529.7517,-1.0,869.92236,[-1.763  1.521 -2.37  -1.922],10.0,422000.7,0.0022545594,0.4189424,5300,100
1.1081359,315259,283.54025,,1889.5819,569.94434,813.56146,0.0033281106,1.0077649,10.0,79.6,0.3328111,54,2.760086,785.74493,0.46396077,0.02760086,554.31934,785.74493,535.5481448173523,785.7449805477559,0.010077648,90.24164,,90.166214,,-1.0,1889.5819,[-1.709  1.49  -2.146 -1.938],10.0,289906.44,0.0046396074,0.4189424,5400,100
1.092558,323775,224.50835,,1979.5757,622.5821,876.0016,0.003198293,1.0346055,10.0,85.16,0.31982931,55,2.1990912,841.3336,0.422532,0.021990912,598.88605,341.4686,551.6520848274231,841.3335761515499,0.010346054,91.52832,,91.277336,499.865,-1.0,1479.7107,[-1.726  1.504 -2.141 -1.915],10.0,353287.6,0.0042253197,0.4189424,5500,100
1.5046365,332270,218.80994,,1629.6633,714.4491,959.2761,0.008073738,1.1446538,10.0,84.95,0.8073738,56,4.920881,839.2318,0.22673514,0.04920881,639.6395,309.41806,568.2757906913757,839.2317617806868,0.011446539,66.461235,,66.77755,529.8137,-1.0,1099.8496,[-1.763  1.522 -2.174 -1.948],10.0,503600.5,0.0022673514,0.4189424,5600,100
1.0057805,340886,264.89227,,1799.5376,632.5132,853.5467,0.0007211539,0.99984473,10.0,86.16,0.072115384,57,1.2305274,851.3301,0.83414716,0.012305274,630.93256,851.3301,583.9112040996552,851.3300597609964,0.009998447,99.42528,,99.482475,,-1.0,1799.5376,[-1.792  1.538 -2.177 -1.897],10.0,81963.13,0.008341472,0.4189424,5700,100
8.936889,349167,227.34212,,1729.7048,977.1458,1610.4478,0.073668234,2.2198768,10.0,82.81,7.3668237,58,62.398075,817.83453,0.005469826,0.62398076,605.98975,487.9771,600.1832408905029,817.8345459615791,0.02219877,11.189576,,8.324365,329.85742,-1.0,1399.8474,[-1.783  1.534 -2.179 -1.891],10.0,5954827.0,5.469826e-05,0.4189424,5800,100
1.8080475,357633,223.74655,,1879.6501,729.5365,1039.0842,0.01142653,1.1826522,10.0,84.66,1.142653,59,6.6067576,836.32837,0.10308199,0.06606758,606.11926,496.50247,614.6714947223663,836.3284896077076,0.011826521,55.30828,,51.719666,339.82605,-1.0,1539.8241,[-1.812  1.599 -2.2   -1.795],10.0,1137359.6,0.0010308198,0.4189424,5900,100
1.1829903,365858,274.90817,,1769.4601,633.4459,869.1554,0.004261552,1.0615264,10.0,82.25,0.42615518,60,2.5556493,812.2137,0.38595977,0.025556492,595.4999,812.2137,630.921389579773,812.2136567150536,0.010615264,84.53155,,86.12033,,-1.0,1769.4601,[-1.829  1.643 -2.239 -1.768],10.0,245083.67,0.0038595977,0.4189424,6000,100
2.1454515,374046,266.9598,,1589.6803,700.3159,985.4931,0.01584735,1.147694,10.0,81.88,1.5847348,61,10.975653,808.52795,0.09298587,0.10975652,613.8325,798.5483,644.6067872047424,808.5278735167957,0.011476939,46.610233,,34.404385,9.979626,-1.0,1579.7007,[-1.839  1.628 -2.212 -1.776],10.0,2630113.2,0.00092985865,0.4189424,6100,100
10.332771,382568,268.33157,,1979.6514,799.3985,1578.7668,0.117477976,2.2185378,10.0,85.22,11.747798,62,116.32397,841.9177,0.0037719775,1.1632396,599.46094,402.0558,660.9694066047668,841.9177186322689,0.022185383,9.677946,,3.443517,439.86197,-1.0,1539.7894,[-1.756  1.601 -2.211 -1.769],10.0,6387192.0,3.7719776e-05,0.4189424,6200,100
1823.2993,390901,215.47772,,1629.6609,15081.796,23604.39,1.727203,17.809452,10.0,83.33,172.7203,63,1736.3076,823.03796,5.1999526e-05,17.363075,623.4459,333.22824,679.3192648887634,823.0378690266525,0.17809452,0.05484563,,1.0520133,489.80963,-1.0,1139.8513,[-1.745  1.509 -2.144 -1.765],10.0,21847427000.0,5.1999524e-07,0.4189424,6300,100
7.4738007,399529,205.98665,,1509.6357,915.89355,1421.3556,0.058343105,1.7222439,9.999999,86.28,5.8343105,64,55.989952,852.52014,0.019130502,0.5598995,667.6282,312.79404,698.659823179245,852.5200517037347,0.01722244,13.380074,,8.015401,539.726,-1.0,969.9097,[-1.622  1.513 -2.174 -1.893],9.999999,2488207.5,0.00019130502,0.4189424,6400,100
1.1355358,408892,248.8523,,2009.4429,703.0831,965.3369,0.004430075,1.0282547,10.0,93.63,0.44300756,65,3.4234693,926.0189,0.45290315,0.03423469,679.9133,916.0355,715.3567445278168,926.018917604171,0.010282546,88.06415,,84.344185,9.983248,-1.0,1999.4596,[-1.569  1.531 -2.193 -1.946],10.0,308144.88,0.0045290315,0.4189424,6500,100
1.4551759,418102,235.4367,,1759.7319,748.0619,1008.04785,0.0069750505,1.1139901,10.0,92.1,0.69750506,66,4.5212827,910.73047,0.15092707,0.045212824,695.2082,320.94296,732.6276695728302,910.7304862592426,0.011139899,68.720215,,71.836945,589.78754,-1.0,1169.9443,[-1.529  1.508 -2.191 -1.92 ],10.0,605912.7,0.0015092706,0.4189424,6600,100
1.2624956,427515,266.47745,,1939.645,740.6554,1007.5765,0.005095128,1.074621,10.0,94.13,0.50951284,67,3.0238266,931.0174,0.3343554,0.030238265,693.4603,411.22333,752.5639083385468,931.0174212670505,0.01074621,79.20819,,81.64586,519.79407,-1.0,1419.851,[-1.531  1.491 -2.193 -1.97 ],10.0,480326.3,0.003343554,0.4189424,6700,100
3.1074119,437393,235.96538,,1939.6309,897.21027,1315.9692,0.022669557,1.2946199,10.0,98.78,2.266956,68,14.272053,977.5261,0.051959626,0.14272052,739.9708,427.6457,770.4218497276306,977.5261100451592,0.012946201,32.18112,,24.592937,549.8804,-1.0,1389.7505,[-1.501  1.477 -2.199 -1.99 ],10.0,2487054.0,0.0005195963,0.4189424,6800,100
1.0187706,447097,247.7816,,1799.7158,765.544,988.02234,0.0014474402,1.0190525,10.0,97.04,0.14474404,69,1.3767582,960.136,0.61153495,0.013767581,739.7168,710.34,789.8191683292389,960.1360522079215,0.010190525,98.157524,,98.022415,249.79607,-1.0,1549.9198,[-1.509  1.522 -2.225 -1.928],10.0,151007.69,0.0061153495,0.4189424,6900,100
5.612445,456618,261.44934,,1619.6072,910.4427,1380.3707,0.037170347,1.4413962,10.0,95.21,3.7170346,70,32.468903,941.81757,0.0106874835,0.32468903,743.45703,931.8377,808.0749599933624,941.8175813273685,0.014413962,17.817547,,13.071771,9.9798,-1.0,1609.6273,[-1.539  1.552 -2.253 -1.962],10.0,15761310.0,0.00010687483,0.4189424,7000,100
1.0071957,465635,219.81708,,1369.6663,726.7231,895.0747,0.0007458527,1.0062025,10.0,90.17,0.074585274,71,1.2267265,891.4238,0.84071815,0.0122672655,723.6747,891.4238,827.2235770225525,891.4238794627422,0.010062026,99.28557,,99.45355,,-1.0,1369.6663,[-1.597  1.549 -2.278 -2.036],10.0,49852.78,0.008407181,0.4189424,7100,100
1.0968788,475525,289.07782,,2319.5166,729.7307,1027.255,0.0034492025,1.0408959,10.0,98.9,0.34492025,72,2.2777174,978.73083,0.43802586,0.022777174,694.6493,438.9176,846.5146677494049,978.7308280244602,0.010408959,91.16778,,90.10591,539.81323,-1.0,1779.7034,[-1.594  1.547 -2.268 -2.043],10.0,460689.5,0.0043802587,0.4189424,7200,100
